IRI,dataSet,label,parent,definition,codebookDescription,codebookValues
http://purl.obolibrary.org/obo/EUPATH_0015300,GEMS1 Case Control,"Campylobacter (non-speciated), by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011969,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015300,GEMS1A Case Control,"Campylobacter (non-speciated), by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011969,Assessed at enrollment for cases and controls,Bacteria Isolated: Campylobacter (non-speciated),0
http://purl.obolibrary.org/obo/EUPATH_0015301,GEMS1 Case Control,"Shigella flexneri serotype 4B, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015301,GEMS1A Case Control,"Shigella flexneri serotype 4B, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,Bacteria Isolated: Shigella flexneri Serotype 4B,0
http://purl.obolibrary.org/obo/EUPATH_0015302,GEMS1 Case Control,"Shigella flexneri serotype 5B, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015302,GEMS1A Case Control,"Shigella flexneri serotype 5B, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,Bacteria Isolated: Shigella flexneri Serotype 5B,0
http://purl.obolibrary.org/obo/EUPATH_0015303,GEMS1 Case Control,"Shigella flexneri serotype 6, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015303,GEMS1A Case Control,"Shigella flexneri serotype 6, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,Bacteria Isolated: Shigella flexneri Serotype 6,0
http://purl.obolibrary.org/obo/EUPATH_0015304,GEMS1 Case Control,"Shigella flexneri non-typeable, by bacteriology result",http://purl.obolibrary.org/obo/EUPATH_0011843,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015304,GEMS1A Case Control,"Shigella flexneri non-typeable, by bacteriology result",http://purl.obolibrary.org/obo/EUPATH_0011843,Assessed at enrollment for cases and controls,Bacteria Isolated: Shigella flexneri Non-typeable,0
http://purl.obolibrary.org/obo/EUPATH_0015305,GEMS1 Case Control,"Shigella non-typeable, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015305,GEMS1A Case Control,"Shigella non-typeable, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,Bacteria Isolated: Shigella non-typeable,0
http://purl.obolibrary.org/obo/EUPATH_0015306,GEMS1 Case Control,"Vibrio cholerae, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011958,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015306,GEMS1A Case Control,"Vibrio cholerae, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011958,Assessed at enrollment for cases and controls,Bacteria Isolated: Vibrio cholerae,0
http://purl.obolibrary.org/obo/EUPATH_0015309,GEMS1 Case Control,"Vibrio cholerae non-O1/O139, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011958,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015309,GEMS1A Case Control,"Vibrio cholerae non-O1/O139, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011958,Assessed at enrollment for cases and controls,Bacteria Isolated: Vibrio cholerae Non01/0139 Serotype,0
http://purl.obolibrary.org/obo/EUPATH_0015312,GEMS1 Case Control,"Vibrio (other species), by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011958,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015312,GEMS1A Case Control,"Vibrio (other species), by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011958,Assessed at enrollment for cases and controls,Bacteria Isolated: Vibrio (other species),0
http://purl.obolibrary.org/obo/EUPATH_0015315,GEMS1 Case Control,"Campylobacter coli, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011969,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015315,GEMS1A Case Control,"Campylobacter coli, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011969,Assessed at enrollment for cases and controls,Calculated: Campylobacter coli,
http://purl.obolibrary.org/obo/EUPATH_0015316,GEMS1 Case Control,"Campylobacter jejuni, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011969,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015316,GEMS1A Case Control,"Campylobacter jejuni, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011969,Assessed at enrollment for cases and controls,Calculated: Campylobacter jejuni,
http://purl.obolibrary.org/obo/EUPATH_0015319,GEMS1 Case Control,"Shigella flexneri, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015319,GEMS1A Case Control,"Shigella flexneri, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,Calculated: Shigella flexneri,
http://purl.obolibrary.org/obo/EUPATH_0015320,GEMS1 Case Control,"Shigella boydii, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015320,GEMS1A Case Control,"Shigella boydii, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,Calculated: Shigella boydii,
http://purl.obolibrary.org/obo/EUPATH_0015321,GEMS1 Case Control,"Shigella dysenteriae, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015321,GEMS1A Case Control,"Shigella dysenteriae, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,Calculated Shigella dysenteriae,
http://purl.obolibrary.org/obo/EUPATH_0015322,GEMS1 Case Control,"Vibrio parahaemolyticus, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011958,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015322,GEMS1A Case Control,"Vibrio parahaemolyticus, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011958,Assessed at enrollment for cases and controls,Bacteria Isolated: Vibrio parahaemolyticus,0
http://purl.obolibrary.org/obo/EUPATH_0015323,GEMS1 Case Control,"Shigella sonnei, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015323,GEMS1A Case Control,"Shigella sonnei, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,Calculated: Shigella sonnei,
http://purl.obolibrary.org/obo/EUPATH_0015324,GEMS1 Case Control,"Shigella flexneri serotype 4A, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015324,GEMS1A Case Control,"Shigella flexneri serotype 4A, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,Bacteria Isolated: Shigella flexneri Serotype 4A,0
http://purl.obolibrary.org/obo/EUPATH_0015325,GEMS1 Case Control,"Shigella flexneri serotype 4C, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015325,GEMS1A Case Control,"Shigella flexneri serotype 4C, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,Bacteria Isolated: Shigella flexneri Serotype 4C,0
http://purl.obolibrary.org/obo/EUPATH_0015326,GEMS1 Case Control,"Shigella flexneri serotype 5A, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015326,GEMS1A Case Control,"Shigella flexneri serotype 5A, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,Bacteria Isolated: Shigella flexneri Serotype 5A,0
http://purl.obolibrary.org/obo/EUPATH_0015327,GEMS1 Case Control,"Shigella flexneri serotype X, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015327,GEMS1A Case Control,"Shigella flexneri serotype X, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,Bacteria Isolated: Shigella flexneri Serotype X,0
http://purl.obolibrary.org/obo/EUPATH_0015328,GEMS1 Case Control,"Shigella flexneri serotype Y, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015328,GEMS1A Case Control,"Shigella flexneri serotype Y, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,Bacteria Isolated: Shigella flexneri Serotype Y,0
http://purl.obolibrary.org/obo/EUPATH_0015441,GEMS1A Case Control,"Shigella dysenteriae serotype 1, by bacteriology result",http://purl.obolibrary.org/obo/EUPATH_0011843,Assessed at enrollment for cases and controls,Bacteria Isolated: Shigella dysenteriae serotype 1,0
http://purl.obolibrary.org/obo/EUPATH_0015442,GEMS1A Case Control,"Shigella flexneri serotype 7, by bacteriology result",http://purl.obolibrary.org/obo/EUPATH_0011843,Assessed at enrollment for cases and controls,Shigella flexneri serotype  7,
http://purl.obolibrary.org/obo/EUPATH_0015443,GEMS1 Case Control,"Shigella flexneri serotype 1A, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015443,GEMS1A Case Control,"Shigella flexneri serotype 1A, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,Bacteria Isolated: Shigella flexneri Serotype 1A,0
http://purl.obolibrary.org/obo/EUPATH_0015444,GEMS1 Case Control,"Shigella flexneri serotype 1B, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015444,GEMS1A Case Control,"Shigella flexneri serotype 1B, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,Bacteria Isolated: Shigella flexneri Serotype 1B,0
http://purl.obolibrary.org/obo/EUPATH_0015445,GEMS1 Case Control,"Shigella flexneri serotype 2A, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,,
http://purl.obolibrary.org/obo/EUPATH_0015445,GEMS1A Case Control,"Shigella flexneri serotype 2A, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Assessed at enrollment for cases and controls,Bacteria Isolated: Shigella flexneri Serotype 2A,0
