overallOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,multifilter,notesForOnt
22,pastyear_dx_chk___2,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021033,Plasmodium vivax,,participant,Plasmodium species in last year,http://purl.obolibrary.org/obo/EUPATH_0000425,,binary,value,
23,pastyear_dx_chk___3,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021034,Plasmodium malariae,,participant,Plasmodium species in last year,http://purl.obolibrary.org/obo/EUPATH_0000425,,binary,value,
24,pastyear_dx_chk___4,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021035,Can't remember,,participant,Plasmodium species in last year,http://purl.obolibrary.org/obo/EUPATH_0000425,,binary,value,
25,pastyear_dx_chk___88888,CRF_DATA,,Missing,,participant,Plasmodium species in last year,http://purl.obolibrary.org/obo/EUPATH_0000425,,binary,value,
26,pastyear_treat_rad,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000428,Treated with antimalarials,Whether antimalarials were used for the most recent malaria diagnosis within the last year. ,participant,Last malaria diagnosis (days),http://purl.obolibrary.org/obo/EUPATH_0000427,,"1 Yes
2 No
3 Can't remember
88888 missing",,
27,pastyear_treat_date,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000429,Antimalarial treatment date,Date of most recent treatment with antimalarials within the last year. ,participant,Last malaria diagnosis (days),http://purl.obolibrary.org/obo/EUPATH_0000427,,date,,
28,pastyear_treat_by_chk___1,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021044,Clinic/hospital,,participant,Where treated,http://purl.obolibrary.org/obo/EUPATH_0000431,,binary,value,
29,pastyear_treat_by_chk___2,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021045,Private doctor,,participant,Where treated,http://purl.obolibrary.org/obo/EUPATH_0000431,,binary,value,
30,pastyear_treat_by_chk___3,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021046,Self-treated,,participant,Where treated,http://purl.obolibrary.org/obo/EUPATH_0000431,,binary,value,
31,pastyear_treat_by_chk___4,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021047,Can't remember,,participant,Where treated,http://purl.obolibrary.org/obo/EUPATH_0000431,,binary,value,
32,pastyear_treat_by_chk___88888,CRF_DATA,,Missing,,participant,Where treated,http://purl.obolibrary.org/obo/EUPATH_0000431,,binary,value,
33,pastyear_treat_drugs_chk___1,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021036,Artesunate,,participant,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,binary,value,
34,pastyear_treat_drugs_chk___2,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021039,Artesunate/pyrimethamine/sulphadoxine,,participant,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,binary,value,
35,pastyear_treat_drugs_chk___3,CRF_DATA,http://purl.obolibrary.org/obo/CHEBI_3638,Chloroquine,,participant,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,binary,value,
36,pastyear_treat_drugs_chk___4,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021040,Chloroquine/primaquine,,participant,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,binary,value,
37,pastyear_treat_drugs_chk___5,CRF_DATA,http://purl.obolibrary.org/obo/CHEBI_63609,Mefloquine,,participant,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,binary,value,
38,pastyear_treat_drugs_chk___6,CRF_DATA,http://purl.obolibrary.org/obo/CHEBI_8405,Primaquine,,participant,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,binary,value,
39,pastyear_treat_drugs_chk___7,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021041,Pyrimethamine/sulphadoxine,,participant,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,binary,value,
40,pastyear_treat_drugs_chk___8,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021042,Quinine/quinidine,,participant,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,binary,value,
41,pastyear_treat_drugs_chk___9,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021043,Tetracycline/doxycycline,,participant,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,binary,value,
42,pastyear_treat_drugs_chk___10,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021037,Other,,participant,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,binary,value,
43,pastyear_treat_drugs_chk___11,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021038,Can't remember,,participant,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,binary,value,
44,pastyear_treat_drugs_chk___88888,CRF_DATA,,Missing,,participant,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430,,binary,value,
45,temperature,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000110,Temperature (C),,observation,Physical examination,http://purl.obolibrary.org/obo/OGMS_0000083,,numeric,,
46,weight,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000732,Weight (kg),,observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,numeric,,
47,height,CRF_DATA,http://purl.obolibrary.org/obo/IAO_0000408,Height (cm),,observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,numeric,,
48,hemocue,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000047,Hemoglobin (g/dL),,observation,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,,numeric,,
49,bp,CRF_DATA,,,,,,,,numeric,,"Jay will split into 2 variables, EUPATH_0021086 and EUPATH_0021087. Need to discuss with him how to map this"
50,existing_illness_yn,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000412,Existing illness,,observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,,"1 Yes
2 No
88888 missing",,
51,existing_illness_list,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000411,Type of existing illness,,observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,,text,,
52,rdt_falc_chk___1,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021053,Plasmodium falciparum,,sample,"Plasmodium species, by FalciVax RDT",http://purl.obolibrary.org/obo/EUPATH_0000437,,binary,value,
53,rdt_falc_chk___2,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021054,Plasmodium vivax,,sample,"Plasmodium species, by FalciVax RDT",http://purl.obolibrary.org/obo/EUPATH_0000437,,binary,value,
54,rdt_falc_chk___3,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021055,Negative,,sample,"Plasmodium species, by FalciVax RDT",http://purl.obolibrary.org/obo/EUPATH_0000437,,binary,value,
55,rdt_falc_chk___4,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021056,FalciVax RDT performed,,sample,Microbiology tests performed,http://purl.obolibrary.org/obo/EUPATH_0011800,,binary,value,
56,rdt_falc_chk___88888,CRF_DATA,,Missing,,sample,Microbiology tests performed,http://purl.obolibrary.org/obo/EUPATH_0011800,,binary,value,
57,illnow_yn,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000417,Ill now,Ill at time of visit,observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,"1 Yes
2 No
88888 missing",,
58,fever_2wk_yn,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021096,Fever in last 2 weeks,,observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,,"1 Yes
2 No
88888 missing",,
59,fever_2wk_where_chk___1,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021023,Clinic,,observation,Fever treatment location,http://purl.obolibrary.org/obo/EUPATH_0000413,,binary,value,
60,fever_2wk_where_chk___2,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021024,Private practice,,observation,Fever treatment location,http://purl.obolibrary.org/obo/EUPATH_0000413,,binary,value,
61,fever_2wk_where_chk___3,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021025,Self-treated,,observation,Fever treatment location,http://purl.obolibrary.org/obo/EUPATH_0000413,,binary,value,
62,fever_2wk_where_chk___4,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021026,Not treated,,observation,Fever treatment location,http://purl.obolibrary.org/obo/EUPATH_0000413,,binary,value,
63,fever_2wk_where_chk___88888,CRF_DATA,,Missing,,observation,Fever treatment location,http://purl.obolibrary.org/obo/EUPATH_0000413,,binary,value,
64,fever_48hr_yn,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021090,Fever in last 48 hours,,observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,,"1 Yes
2 No
88888 missing",,
65,suppressant_now_yn,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000443,On fever suppressant,On fever suppressant at observation,observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,,"1 Yes
2 No
88888 missing",,
66,drugs_2wk_yn,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000410,Took antimalarial medication,Took antimalarial medication in last 2 weeks,observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,,"1 Yes
2 No
88888 missing",,
67,drugs_2wk_codes,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021091,Antimalarial medication in last 2 weeks,Malaria medication taken in last 2 weeks,observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,,requires coding ,,
68,symptoms_yn,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021089,Any symptoms,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,"1 Yes
2 No
88888 missing",value,
69,symptoms_chk___1,CRF_DATA,http://purl.obolibrary.org/obo/HP_0002315,Headache,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
70,symptoms_chk___2,CRF_DATA,http://purl.obolibrary.org/obo/SYMP_0019174,Chills,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
71,symptoms_chk___3,CRF_DATA,http://purl.obolibrary.org/obo/SYMP_0000099,Aches or pains,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
72,symptoms_chk___4,CRF_DATA,http://purl.obolibrary.org/obo/SYMP_0019177,Fatigue,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
73,symptoms_chk___5,CRF_DATA,http://purl.obolibrary.org/obo/HP_0002013,Vomiting,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
74,symptoms_chk___6,CRF_DATA,http://purl.obolibrary.org/obo/SYMP_0000523,Anorexia,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
75,symptoms_chk___7,CRF_DATA,http://purl.obolibrary.org/obo/SYMP_0000614,Cough,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
76,symptoms_chk___8,CRF_DATA,http://purl.obolibrary.org/obo/SYMP_0000610,Dizziness,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
77,symptoms_chk___9,CRF_DATA,http://purl.obolibrary.org/obo/HP_0000975,Sweating,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
78,symptoms_chk___10,CRF_DATA,http://purl.obolibrary.org/obo/HP_0002027,Abdominal pain,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
79,symptoms_chk___11,CRF_DATA,http://purl.obolibrary.org/obo/DOID_13250,Diarrhea,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
80,symptoms_chk___12,CRF_DATA,http://purl.obolibrary.org/obo/HP_0003419,Lower back pain,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
81,symptoms_chk___13,CRF_DATA,http://purl.bioontology.org/ontology/MEDDRA/10015958,Eye pain,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
82,symptoms_chk___14,CRF_DATA,http://purl.obolibrary.org/obo/HP_0000980,Paleness,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
83,symptoms_chk___15,CRF_DATA,http://purl.obolibrary.org/obo/HP_0100749,Chest pain,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
84,symptoms_chk___16,CRF_DATA,http://purl.obolibrary.org/obo/DOID_0050486,Rash,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
85,symptoms_chk___17,CRF_DATA,http://purl.bioontology.org/ontology/MEDDRA/10014020,Ear pain,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
86,symptoms_chk___18,CRF_DATA,http://purl.obolibrary.org/obo/HP_0001744,Splenomegaly,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
87,symptoms_chk___88888,CRF_DATA,,Missing,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
88,prelim_dx_rad,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000036,Malaria-related diagnosis,Preliminary diagnosis based on symptoms and RDT results,observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,,"1 No illness
2 Asymptomatic malaria
3 Uncomplicated malaria
4 Severe malaria
5 Illness other than malaria
88888 missing",,
89,samples_chk___1,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021081,Blood smear sample,,sample,Blood sample,http://purl.obolibrary.org/obo/OBI_0000655,,binary,value,
90,samples_chk___2,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021082,Small volume sample,,sample,Blood sample,http://purl.obolibrary.org/obo/OBI_0000655,,binary,value,
91,samples_chk___3,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000127,Filter paper sample,,sample,Blood sample,http://purl.obolibrary.org/obo/OBI_0000655,,binary,value,
92,samples_chk___4,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021083,Vacutainer sample,,sample,Blood sample,http://purl.obolibrary.org/obo/OBI_0000655,,binary,value,
93,samples_chk___88888,CRF_DATA,,Missing,,sample,Blood sample,http://purl.obolibrary.org/obo/OBI_0000655,,binary,value,
99,date_fu,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0004991,Observation date,,observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,,date,,
101,days_since_enrol,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000191,Days since enrollment,,observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,,numeric,,
102,age_fu,CRF_DATA,http://purl.obolibrary.org/obo/OBI_0001169,Age,Age in years,observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,,numeric,,
106,other_facility_rad,CRF_DATA,,Visited other health facility,,observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,"Since your last visit to this clinic, have you visited another health facility or pharmacy?",1 Yes 2 No 88888 missing,,Need to check with Brianna if this should be the same variable as EUPATH_0010395 in GEMS
107,other_facility_specify,CRF_DATA,,Other health facility name,,observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,Specify which facility you visited if you went to another facility since your last visit to this clinic,text,,
108,other_antis_rad,CRF_DATA,,Medication from outside source,,observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,"Since your last visit to this clinic, have you used any antimalarials or antibiotics that we did not give you?",1 Yes 2 No 88888 missing,,
109,other_antis_specify,CRF_DATA,,Other medication taken,,observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,Specify which other antibiotics you have used,text,,
110,temperature_fu,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000110,Temperature (C),,observation,Physical examination,http://purl.obolibrary.org/obo/OGMS_0000083,,numeric,,
111,hemocue_fu,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000047,Hemoglobin (g/dL),,sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,,numeric,,
112,illnow_rad_fu,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000417,Ill now,Ill at time of observation,observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,"1 Yes
2 No
88888 missing",,
113,fever_48hr_rad_fu,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021090,Fever in last 48 hours,,observation,Signs and symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,,"1 Yes
2 No
88888 missing",,
114,suppressant_now_rad_fu,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000443,On fever suppressant,On fever suppressant at observation,observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,,"1 Yes
2 No
88888 missing",,
115,symptoms_rad_fu,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021089,Any symptoms,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,"1 Yes
2 No
88888 missing",value,
116,symptoms_chk_fu___1,CRF_DATA,http://purl.obolibrary.org/obo/HP_0002315,Headache,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
117,symptoms_chk_fu___2,CRF_DATA,http://purl.obolibrary.org/obo/SYMP_0019174,Chills,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
118,symptoms_chk_fu___3,CRF_DATA,http://purl.obolibrary.org/obo/SYMP_0000099,Aches or pains,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
119,symptoms_chk_fu___4,CRF_DATA,http://purl.obolibrary.org/obo/SYMP_0019177,Fatigue,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
120,symptoms_chk_fu___5,CRF_DATA,http://purl.obolibrary.org/obo/HP_0002013,Vomiting,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
121,symptoms_chk_fu___6,CRF_DATA,http://purl.obolibrary.org/obo/SYMP_0000523,Anorexia,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
122,symptoms_chk_fu___7,CRF_DATA,http://purl.obolibrary.org/obo/SYMP_0000614,Cough,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
123,symptoms_chk_fu___8,CRF_DATA,http://purl.obolibrary.org/obo/SYMP_0000610,Dizziness,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
124,symptoms_chk_fu___9,CRF_DATA,http://purl.obolibrary.org/obo/HP_0000975,Sweating,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
125,symptoms_chk_fu___10,CRF_DATA,http://purl.obolibrary.org/obo/HP_0002027,Abdominal pain,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
126,symptoms_chk_fu___11,CRF_DATA,http://purl.obolibrary.org/obo/DOID_13250,Diarrhea,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
127,symptoms_chk_fu___12,CRF_DATA,http://purl.obolibrary.org/obo/HP_0003419,Lower back pain,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
128,symptoms_chk_fu___13,CRF_DATA,http://purl.bioontology.org/ontology/MEDDRA/10015958,Eye pain,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
129,symptoms_chk_fu___14,CRF_DATA,http://purl.obolibrary.org/obo/HP_0000980,Paleness,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
130,symptoms_chk_fu___15,CRF_DATA,http://purl.obolibrary.org/obo/HP_0100749,Chest pain,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
131,symptoms_chk_fu___16,CRF_DATA,http://purl.obolibrary.org/obo/DOID_0050486,Rash,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
132,symptoms_chk_fu___17,CRF_DATA,http://purl.bioontology.org/ontology/MEDDRA/10014020,Ear pain,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
133,symptoms_chk_fu___18,CRF_DATA,http://purl.obolibrary.org/obo/HP_0001744,Splenomegaly,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
134,symptoms_chk_fu___88888,CRF_DATA,,Missing,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,binary,value,
135,meds_thisvisit,CRF_DATA,,Medication provided,,observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,Was medicine provided during this visit?,1 Yes 2 No 88888 missing,,
137,samples_chk_fu___1,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021081,Blood smear sample,,sample,Blood sample,http://purl.obolibrary.org/obo/OBI_0000655,,binary,value,
138,samples_chk_fu___2,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021082,Small volume sample,,sample,Blood sample,http://purl.obolibrary.org/obo/OBI_0000655,,binary,value,
139,samples_chk_fu___3,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0000127,Filter paper sample,,sample,Blood sample,http://purl.obolibrary.org/obo/OBI_0000655,,binary,value,
140,samples_chk_fu___4,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0021083,Vacutainer sample,,sample,Blood sample,http://purl.obolibrary.org/obo/OBI_0000655,,binary,value,
141,samples_chk_fu___88888,CRF_DATA,,Missing,,sample,Blood sample,http://purl.obolibrary.org/obo/OBI_0000655,,binary,value,
147,date_eos,CRF_DATA,http://purl.obolibrary.org/obo/EUPATH_0004991,Observation date,,observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,,date,,
149,departure_rad,CRF_DATA,,Study completion status,,participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,How did the subject depart the study?,"1 Completed all study visits
2 Moved
3 Can't be traced
4 Declined to participate further
5 Other",,
152,finish_treatment_rad,CRF_DATA,,Malaria treatment completed,,observation,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,Did the participant finish his/her malaria treatment,1 Yes 2 No 99999 unknown,,
153,last_health_rad,CRF_DATA,,,,,,,Was the participant in good health at the last visit?,1 Yes 2 No 99999 unknown,,Not sure where to put this variable
161,mic_sample_collect_date,microscopy_Malaria,http://purl.obolibrary.org/obo/OBI_0001619,Sample collection date,,sample,Sample collection,http://purl.obolibrary.org/obo/OBI_0000659,,date,,
162,mic_species___1,microscopy_Malaria,http://purl.obolibrary.org/obo/EUPATH_0021027,Negative,,sample,"Plasmodium species, by microscopy",http://purl.obolibrary.org/obo/EUPATH_0000423,,binary,value,
163,mic_species___2,microscopy_Malaria,http://purl.obolibrary.org/obo/EUPATH_0021028,Plasmodium falciparum,,sample,"Plasmodium species, by microscopy",http://purl.obolibrary.org/obo/EUPATH_0000423,,binary,value,
164,mic_species___3,microscopy_Malaria,http://purl.obolibrary.org/obo/EUPATH_0021029,Plasmodium vivax,,sample,"Plasmodium species, by microscopy",http://purl.obolibrary.org/obo/EUPATH_0000423,,binary,value,
165,mic_species___4,microscopy_Malaria,http://purl.obolibrary.org/obo/EUPATH_0021030,Plasmodium malariae,,sample,"Plasmodium species, by microscopy",http://purl.obolibrary.org/obo/EUPATH_0000423,,binary,value,
