ontology term,ontology label,parent,parent label,definition,Source ID,label in variable mapping,column header
http://purl.obolibrary.org/obo/EUPATH_0021013,None,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,,EUPATH_0021013,None,cen_animals___1
http://purl.obolibrary.org/obo/EUPATH_0021014,Livestock,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,,EUPATH_0021014,Livestock,cen_animals___2
http://purl.obolibrary.org/obo/EUPATH_0021015,Other/pets,http://purl.obolibrary.org/obo/EUPATH_0000343,Animals on property,,EUPATH_0021015,Other/pets,cen_animals___3
http://purl.obolibrary.org/obo/EUPATH_0021016,None,http://purl.obolibrary.org/obo/EUPATH_0000344,Bednet treatment,,EUPATH_0021016,None,bednet_chk___1
http://purl.obolibrary.org/obo/EUPATH_0021017,Untreated,http://purl.obolibrary.org/obo/EUPATH_0000344,Bednet treatment,,EUPATH_0021017,Untreated,bednet_chk___2
http://purl.obolibrary.org/obo/EUPATH_0021018,Regular ITN treated >6 months ago,http://purl.obolibrary.org/obo/EUPATH_0000344,Bednet treatment,,EUPATH_0021018,Regular ITN treated >6 months ago,bednet_chk___3
http://purl.obolibrary.org/obo/EUPATH_0021019,Regular ITN treated <6 months ago,http://purl.obolibrary.org/obo/EUPATH_0000344,Bednet treatment,,EUPATH_0021019,Regular ITN treated <6 months ago,bednet_chk___4
http://purl.obolibrary.org/obo/EUPATH_0021020,Long-lasting ITN,http://purl.obolibrary.org/obo/EUPATH_0000344,Bednet treatment,,EUPATH_0021020,Long-lasting ITN,bednet_chk___5
http://purl.obolibrary.org/obo/EUPATH_0021021,Other,http://purl.obolibrary.org/obo/EUPATH_0000344,Bednet treatment,,EUPATH_0021021,Other,bednet_chk___6
http://purl.obolibrary.org/obo/EUPATH_0021022,Electric bat,http://purl.obolibrary.org/obo/EUPATH_0000344,Bednet treatment,,EUPATH_0021022,Electric bat,bednet_chk___7
http://purl.obolibrary.org/obo/EUPATH_0000345,Education level,http://purl.obolibrary.org/obo/EUPATH_0000307,Participant study details ,,EUPATH_0000345,Education level,education_rad
http://purl.obolibrary.org/obo/EUPATH_0000359,Occupation,http://purl.obolibrary.org/obo/EUPATH_0000307,Participant study details ,,EUPATH_0000359,Occupation,occupation_rad
http://purl.obolibrary.org/obo/EUPATH_0000395,# Livestock,http://purl.obolibrary.org/obo/EUPATH_0000339,Animal information ,,EUPATH_0000395,# Livestock,cen_animals_nonpets_count
http://purl.obolibrary.org/obo/EUPATH_0000396,# Pets/Other,http://purl.obolibrary.org/obo/EUPATH_0000339,Animal information ,,EUPATH_0000396,# Pets/Other,cen_animals_pets_count
http://purl.obolibrary.org/obo/EUPATH_0000398,"# Bednet (ITN, treated)",http://purl.obolibrary.org/obo/EUPATH_0000341,Vector intervention ,,EUPATH_0000398,"# Bednet (ITN, treated <6 mo ago)",cen_bednet_count_2
http://purl.obolibrary.org/obo/EUPATH_0000399,"# Bednet (ITN, treated >6 mo ago)",http://purl.obolibrary.org/obo/EUPATH_0000341,Vector intervention ,,EUPATH_0000399,"# Bednet (ITN, treated >6 mo ago)",cen_bednet_count_3
http://purl.obolibrary.org/obo/EUPATH_0000400,# Bednet (Long-lasting ITN),http://purl.obolibrary.org/obo/EUPATH_0000341,Vector intervention ,,EUPATH_0000400,# Bednet (Long-lasting ITN),cen_bednet_count_4
http://purl.obolibrary.org/obo/EUPATH_0000401,# Bednet (Untreated),http://purl.obolibrary.org/obo/EUPATH_0000341,Vector intervention ,,EUPATH_0000401,# Bednet (Untreated),cen_bednet_count_5
http://purl.obolibrary.org/obo/EUPATH_0000402,Blood pressure (mmHg),http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination ,,EUPATH_0000402,Blood pressure,bp
http://purl.obolibrary.org/obo/EUPATH_0000407,District,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location ,,EUPATH_0000407,District,cen_district
http://purl.obolibrary.org/obo/EUPATH_0000408,Division/Ward #,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location ,,EUPATH_0000408,Division/Ward #,cen_division
http://purl.obolibrary.org/obo/EUPATH_0000409,Take antimalarial drugs as advised?,http://purl.obolibrary.org/obo/EUPATH_0000057,Medication ,Antimalarials taken as advised in last 2 weeks,EUPATH_0000409,Take antimalarial drugs as advised?,drugs_2wk_comply_yn
http://purl.obolibrary.org/obo/EUPATH_0000410,Take antimalarial drugs?,http://purl.obolibrary.org/obo/EUPATH_0000057,Medication ,Antimalarials taken in last 2 weeks,EUPATH_0000410,Take antimalarial drugs?,drugs_2wk_yn
http://purl.obolibrary.org/obo/EUPATH_0000411,Existing illness,http://purl.obolibrary.org/obo/EUPATH_0000309,Symptoms or signs ,,EUPATH_0000411,Existing illness,existing_illness_list
http://purl.obolibrary.org/obo/EUPATH_0000412,Have an existing illness?,http://purl.obolibrary.org/obo/EUPATH_0000309,Symptoms or signs ,,EUPATH_0000412,Have an existing illness?,existing_illness_yn
http://purl.obolibrary.org/obo/EUPATH_0021023,Clinic,http://purl.obolibrary.org/obo/EUPATH_0000413,Fever treatment location,,EUPATH_0021023,Clinic,fever_2wk_where_chk___1
http://purl.obolibrary.org/obo/EUPATH_0021024,Private practice,http://purl.obolibrary.org/obo/EUPATH_0000413,Fever treatment location,,EUPATH_0021024,Private practice,fever_2wk_where_chk___2
http://purl.obolibrary.org/obo/EUPATH_0021025,Self-treated,http://purl.obolibrary.org/obo/EUPATH_0000413,Fever treatment location,,EUPATH_0021025,Self-treated,fever_2wk_where_chk___3
http://purl.obolibrary.org/obo/EUPATH_0021026,Not treated,http://purl.obolibrary.org/obo/EUPATH_0000413,Fever treatment location,,EUPATH_0021026,Not treated,fever_2wk_where_chk___4
http://purl.obolibrary.org/obo/EUPATH_0000414,Duration of fever,http://purl.obolibrary.org/obo/EUPATH_0000309,Symptoms or signs ,,EUPATH_0000414,Duration of febrile,fever_48hr_numdays
http://purl.obolibrary.org/obo/EUPATH_0000417,Ill now,http://purl.obolibrary.org/obo/EUPATH_0000309,Symptoms or signs ,Ill at time of visit,EUPATH_0000417,Illness now?,illnow_yn
http://purl.obolibrary.org/obo/EUPATH_0000418,Animals indoors,http://purl.obolibrary.org/obo/EUPATH_0000339,Animal information ,,EUPATH_0000418,Indoor residents,cen_indoor_residents
http://purl.obolibrary.org/obo/EUPATH_0000419,Freq larvicide in use,http://purl.obolibrary.org/obo/EUPATH_0000341,Vector intervention ,,EUPATH_0000419,Freq larvicide in use,cen_larvicide_in_use
http://purl.obolibrary.org/obo/EUPATH_0021027,Negative,http://purl.obolibrary.org/obo/EUPATH_0000423,Parasite species by microscopy,,EUPATH_0021027,Negative,mx_species_chk___1
http://purl.obolibrary.org/obo/EUPATH_0021028,Plasmodium falciparum,http://purl.obolibrary.org/obo/EUPATH_0000423,Parasite species by microscopy,,EUPATH_0021028,Plasmodium falciparum,mx_species_chk___2
http://purl.obolibrary.org/obo/EUPATH_0021029,Plasmodium vivax,http://purl.obolibrary.org/obo/EUPATH_0000423,Parasite species by microscopy,,EUPATH_0021029,Plasmodium vivax,mx_species_chk___3
http://purl.obolibrary.org/obo/EUPATH_0021030,Plasmodium malariae,http://purl.obolibrary.org/obo/EUPATH_0000423,Parasite species by microscopy,,EUPATH_0021030,Plasmodium malariae,mx_species_chk___4
http://purl.obolibrary.org/obo/EUPATH_0021031,Not done,http://purl.obolibrary.org/obo/EUPATH_0000423,Parasite species by microscopy,,EUPATH_0021031,Not done,mx_species_chk___5
http://purl.obolibrary.org/obo/EUPATH_0000424,Nationality,http://purl.obolibrary.org/obo/EUPATH_0000307,Participant study details ,,EUPATH_0000424,Nationality,nationality
http://purl.obolibrary.org/obo/EUPATH_0021032,Plasmodium falciparum,http://purl.obolibrary.org/obo/EUPATH_0000425,Plasmodium species in last year,,EUPATH_0021032,Plasmodium falciparum,pastyear_dx_chk___1
http://purl.obolibrary.org/obo/EUPATH_0021033,Plasmodium vivax,http://purl.obolibrary.org/obo/EUPATH_0000425,Plasmodium species in last year,,EUPATH_0021033,Plasmodium vivax,pastyear_dx_chk___2
http://purl.obolibrary.org/obo/EUPATH_0021034,Plasmodium malariae,http://purl.obolibrary.org/obo/EUPATH_0000425,Plasmodium species in last year,,EUPATH_0021034,Plasmodium malariae,pastyear_dx_chk___3
http://purl.obolibrary.org/obo/EUPATH_0021035,Can't remember,http://purl.obolibrary.org/obo/EUPATH_0000425,Plasmodium species in last year,,EUPATH_0021035,Can't remember,pastyear_dx_chk___4
http://purl.obolibrary.org/obo/EUPATH_0000426,# malaria diagnoses past year,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history ,,EUPATH_0000426,# Malaria diagnosis past year,pastyear_num_dx
http://purl.obolibrary.org/obo/EUPATH_0000427,Last malaria diagnosis (months),http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history ,,EUPATH_0000427,# Months since malaria diagnosis,pastyear_num_mo
http://purl.obolibrary.org/obo/EUPATH_0000428,Treated with antimalarials,http://purl.obolibrary.org/obo/EUPATH_0000427,Last malaria diagnosis (months) ,,EUPATH_0000428,Antimalarial drug treated?,pastyear_treat_rad
http://purl.obolibrary.org/obo/EUPATH_0000429,Antimalarial drug treated date,http://purl.obolibrary.org/obo/EUPATH_0000427,Last malaria diagnosis (months) ,,EUPATH_0000429,Antimalarial drug treated date,pastyear_treatdate
http://purl.obolibrary.org/obo/EUPATH_0021036,Artesunate,http://purl.obolibrary.org/obo/EUPATH_0000430,Antimalarial drugs used,,EUPATH_0021036,Artesunate,pastyear_treatdrugs_chk___1
http://purl.obolibrary.org/obo/EUPATH_0021037,Other,http://purl.obolibrary.org/obo/EUPATH_0000430,Antimalarial drugs used,,EUPATH_0021037,Other,pastyear_treatdrugs_chk___10
http://purl.obolibrary.org/obo/EUPATH_0021038,Can't remember,http://purl.obolibrary.org/obo/EUPATH_0000430,Antimalarial drugs used,,EUPATH_0021038,Can't remember,pastyear_treatdrugs_chk___11
http://purl.obolibrary.org/obo/EUPATH_0021039,Artesunate/pyrimethamine/sulphadoxine,http://purl.obolibrary.org/obo/EUPATH_0000430,Antimalarial drugs used,,EUPATH_0021039,Artesunate/pyrimethamine/sulphadoxine,pastyear_treatdrugs_chk___2
http://purl.obolibrary.org/obo/CHEBI_3638,Chloroquine,http://purl.obolibrary.org/obo/EUPATH_0000430,Antimalarial drugs used,,CHEBI_3638,Chloroquine,pastyear_treatdrugs_chk___3
http://purl.obolibrary.org/obo/EUPATH_0021040,Chloroquine/primaquine,http://purl.obolibrary.org/obo/EUPATH_0000430,Antimalarial drugs used,,EUPATH_0021040,Chloroquine/primaquine,pastyear_treatdrugs_chk___4
http://purl.obolibrary.org/obo/CHEBI_63609,Mefloquine,http://purl.obolibrary.org/obo/EUPATH_0000430,Antimalarial drugs used,,CHEBI_63609,Mefloquine,pastyear_treatdrugs_chk___5
http://purl.obolibrary.org/obo/CHEBI_8405,Primaquine,http://purl.obolibrary.org/obo/EUPATH_0000430,Antimalarial drugs used,,CHEBI_8405,Primaquine,pastyear_treatdrugs_chk___6
http://purl.obolibrary.org/obo/EUPATH_0021041,Pyrimethamine/sulphadoxine,http://purl.obolibrary.org/obo/EUPATH_0000430,Antimalarial drugs used,,EUPATH_0021041,Pyrimethamine/sulphadoxine,pastyear_treatdrugs_chk___7
http://purl.obolibrary.org/obo/EUPATH_0021042,Quinine/quinidine,http://purl.obolibrary.org/obo/EUPATH_0000430,Antimalarial drugs used,,EUPATH_0021042,Quinine/quinidine,pastyear_treatdrugs_chk___8
http://purl.obolibrary.org/obo/EUPATH_0021043,Tetracycline/doxycycline,http://purl.obolibrary.org/obo/EUPATH_0000430,Antimalarial drugs used,,EUPATH_0021043,Tetracycline/doxycycline,pastyear_treatdrugs_chk___9
http://purl.obolibrary.org/obo/EUPATH_0021044,Clinic/hospital,http://purl.obolibrary.org/obo/EUPATH_0000431,Where treated,,EUPATH_0021044,Clinic/hospital,pastyear_treatwhere_chk___1
http://purl.obolibrary.org/obo/EUPATH_0021045,Private doctor,http://purl.obolibrary.org/obo/EUPATH_0000431,Where treated,,EUPATH_0021045,Private doctor,pastyear_treatwhere_chk___2
http://purl.obolibrary.org/obo/EUPATH_0021046,Self-treated,http://purl.obolibrary.org/obo/EUPATH_0000431,Where treated,,EUPATH_0021046,Self-treated,pastyear_treatwhere_chk___3
http://purl.obolibrary.org/obo/EUPATH_0021047,Can't remember,http://purl.obolibrary.org/obo/EUPATH_0000431,Where treated,,EUPATH_0021047,Can't remember,pastyear_treatwhere_chk___4
http://purl.obolibrary.org/obo/EUPATH_0000432,PCR DNA sample source,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test ,,EUPATH_0000432,PCR DNA Source,pcr_dna_source_rad
http://purl.obolibrary.org/obo/EUPATH_0021048,Negative,http://purl.obolibrary.org/obo/EUPATH_0000433,Parasite species by PCR,,EUPATH_0021048,Negative,pcr_species_chk___1
http://purl.obolibrary.org/obo/EUPATH_0021049,Plasmodium falciparum,http://purl.obolibrary.org/obo/EUPATH_0000433,Parasite species by PCR,,EUPATH_0021049,Plasmodium falciparum,pcr_species_chk___2
http://purl.obolibrary.org/obo/EUPATH_0021050,Plasmodium vivax,http://purl.obolibrary.org/obo/EUPATH_0000433,Parasite species by PCR,,EUPATH_0021050,Plasmodium vivax,pcr_species_chk___3
http://purl.obolibrary.org/obo/EUPATH_0021051,Plasmodium malariae,http://purl.obolibrary.org/obo/EUPATH_0000433,Parasite species by PCR,,EUPATH_0021051,Plasmodium malariae,pcr_species_chk___4
http://purl.obolibrary.org/obo/EUPATH_0021052,Plasmodium ovale,http://purl.obolibrary.org/obo/EUPATH_0000433,Parasite species by PCR,,EUPATH_0021052,Plasmodium ovale,pcr_species_chk___5
http://purl.obolibrary.org/obo/EUPATH_0000435,Poverty line,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors ,,EUPATH_0000435,Poverty line,cen_poverty_line
http://purl.obolibrary.org/obo/EUPATH_0021053,Plasmodium falciparum,http://purl.obolibrary.org/obo/EUPATH_0000437,FalciVax RDT,,EUPATH_0021053,Plasmodium falciparum,rdt_fv_chk___1
http://purl.obolibrary.org/obo/EUPATH_0021054,Plasmodium vivax,http://purl.obolibrary.org/obo/EUPATH_0000437,FalciVax RDT,,EUPATH_0021054,Plasmodium vivax,rdt_fv_chk___2
http://purl.obolibrary.org/obo/EUPATH_0021055,Negative,http://purl.obolibrary.org/obo/EUPATH_0000437,FalciVax RDT,,EUPATH_0021055,Negative,rdt_fv_chk___3
http://purl.obolibrary.org/obo/EUPATH_0021056,Not done/blank,http://purl.obolibrary.org/obo/EUPATH_0000437,FalciVax RDT,,EUPATH_0021056,Not done/blank,rdt_fv_chk___4
http://purl.obolibrary.org/obo/EUPATH_0021057,Plasmodium falciparum,http://purl.obolibrary.org/obo/EUPATH_0000438,OptiMAL RDT,,EUPATH_0021057,Plasmodium falciparum,rdt_op_chk___1
http://purl.obolibrary.org/obo/EUPATH_0021058,Pan Plasmodium,http://purl.obolibrary.org/obo/EUPATH_0000438,OptiMAL RDT,,EUPATH_0021058,Pan Plasmodium,rdt_op_chk___2
http://purl.obolibrary.org/obo/EUPATH_0021059,Negative,http://purl.obolibrary.org/obo/EUPATH_0000438,OptiMAL RDT,,EUPATH_0021059,Negative,rdt_op_chk___3
http://purl.obolibrary.org/obo/EUPATH_0021060,Not done/blank,http://purl.obolibrary.org/obo/EUPATH_0000438,OptiMAL RDT,,EUPATH_0021060,Not done/blank,rdt_op_chk___4
http://purl.obolibrary.org/obo/EUPATH_0021061,None,http://purl.obolibrary.org/obo/EUPATH_0000439,Personal mosquito repellent,,EUPATH_0021061,None,repellent_chk___1
http://purl.obolibrary.org/obo/EUPATH_0021062,Coils,http://purl.obolibrary.org/obo/EUPATH_0000439,Personal mosquito repellent,,EUPATH_0021062,Coils,repellent_chk___2
http://purl.obolibrary.org/obo/EUPATH_0021063,Vapor/liquidizer,http://purl.obolibrary.org/obo/EUPATH_0000439,Personal mosquito repellent,,EUPATH_0021063,Vapor/liquidizer,repellent_chk___3
http://purl.obolibrary.org/obo/EUPATH_0021064,Cream/spray,http://purl.obolibrary.org/obo/EUPATH_0000439,Personal mosquito repellent,,EUPATH_0021064,Cream/spray,repellent_chk___4
http://purl.obolibrary.org/obo/EUPATH_0021065,Mat,http://purl.obolibrary.org/obo/EUPATH_0000439,Personal mosquito repellent,,EUPATH_0021065,Mat,repellent_chk___5
http://purl.obolibrary.org/obo/EUPATH_0021066,Can't remember,http://purl.obolibrary.org/obo/EUPATH_0000439,Personal mosquito repellent,,EUPATH_0021066,Can't remember,repellent_chk___6
http://purl.obolibrary.org/obo/EUPATH_0021067,Fastcard,http://purl.obolibrary.org/obo/EUPATH_0000439,Personal mosquito repellent,,EUPATH_0021067,Fastcard,repellent_chk___7
http://purl.obolibrary.org/obo/EUPATH_0021068,Permanent,http://purl.obolibrary.org/obo/EUPATH_0000440,Resident status,,EUPATH_0021068,Permanent,cen_resident_status___1
http://purl.obolibrary.org/obo/EUPATH_0021069,Temporary,http://purl.obolibrary.org/obo/EUPATH_0000440,Resident status,,EUPATH_0021069,Temporary,cen_resident_status___2
http://purl.obolibrary.org/obo/EUPATH_0021070,No/Not applicable,http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,,EUPATH_0021070,No/Not applicable,sprayed_chk___1
http://purl.obolibrary.org/obo/EUPATH_0021071,Indoor,http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,,EUPATH_0021071,Indoor,sprayed_chk___2
http://purl.obolibrary.org/obo/EUPATH_0021072,Outdoor,http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,,EUPATH_0021072,Outdoor,sprayed_chk___3
http://purl.obolibrary.org/obo/EUPATH_0021073,Can't remember,http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,,EUPATH_0021073,Can't remember,sprayed_chk___4
http://purl.obolibrary.org/obo/EUPATH_0000442,State of birth,http://purl.obolibrary.org/obo/EUPATH_0000307,Participant study details ,,EUPATH_0000442,State of birth,state_birth
http://purl.obolibrary.org/obo/EUPATH_0000443,Take fever suppressant?,http://purl.obolibrary.org/obo/EUPATH_0000057,Medication ,On fever suppressant at visit,EUPATH_0000443,Take fever suppressant?,suppressant_now_yn
http://purl.obolibrary.org/obo/EUPATH_0000444,Taluk,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location ,,EUPATH_0000444,Taluk,cen_taluk
http://purl.obolibrary.org/obo/EUPATH_0000445,Visited country,http://purl.obolibrary.org/obo/EUPATH_0000340,Traveling details ,,EUPATH_0000445,Visited country,travel_2wk_country
http://purl.obolibrary.org/obo/EUPATH_0000446,Visited district,http://purl.obolibrary.org/obo/EUPATH_0000340,Traveling details ,,EUPATH_0000446,Visited district,travel_2wk_district
http://purl.obolibrary.org/obo/EUPATH_0000447,Visited state,http://purl.obolibrary.org/obo/EUPATH_0000340,Traveling details ,,EUPATH_0000447,Visited state,travel_2wk_state
http://purl.obolibrary.org/obo/EUPATH_0000448,Visited taluk,http://purl.obolibrary.org/obo/EUPATH_0000340,Traveling details ,,EUPATH_0000448,Visited taluk,travel_2wk_taluk
http://purl.obolibrary.org/obo/EUPATH_0000449,Visited village,http://purl.obolibrary.org/obo/EUPATH_0000340,Traveling details ,,EUPATH_0000449,Visited village,travel_2wk_village
http://purl.obolibrary.org/obo/EUPATH_0000450,Traveled in last 2 weeks,http://purl.obolibrary.org/obo/EUPATH_0000340,Traveling details ,,EUPATH_0000450,Travel in last 14 days?,travel_2wk_yn
http://purl.obolibrary.org/obo/EUPATH_0021074,Public,http://purl.obolibrary.org/obo/EUPATH_0000451,Typical healthcare,,EUPATH_0021074,Public,cen_typical_healthcare___1
http://purl.obolibrary.org/obo/EUPATH_0021075,Private,http://purl.obolibrary.org/obo/EUPATH_0000451,Typical healthcare,,EUPATH_0021075,Private,cen_typical_healthcare___2
http://purl.obolibrary.org/obo/EUPATH_0000452,Village,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location ,,EUPATH_0000452,Village,cen_village
http://purl.obolibrary.org/obo/EUPATH_0000453,Zone #,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location ,,EUPATH_0000453,Zone #,cen_zone
http://purl.obolibrary.org/obo/EUPATH_0000546,# sexual P. falciparum parasites,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test ,,EUPATH_0000546,# sexual P. falciparum parasites,mx_counts1_sexual_pf
http://purl.obolibrary.org/obo/EUPATH_0000547,# sexual P. vivax parasites,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test ,,EUPATH_0000547,# sexual P. vivax parasites,mx_counts2_sexual_pv
http://purl.obolibrary.org/obo/EUPATH_0000550,# asexual P. falciparum parasites,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test ,,EUPATH_0000550,# asexual P. falciparum parasites,mx_counts1_asexual_pf
