overallOrder,variable,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag,multifilter,variableType,category,IRI,parentIRI,definition,label
38,pastyear_treat_drugs_chk___6,CRF_DATA,keep,,,binary,,,,,value,0,participant,http://purl.obolibrary.org/obo/CHEBI_8405,http://purl.obolibrary.org/obo/EUPATH_0000430,,Primaquine
39,pastyear_treat_drugs_chk___7,CRF_DATA,keep,,,binary,,,,,value,0,participant,http://purl.obolibrary.org/obo/EUPATH_0021041,http://purl.obolibrary.org/obo/EUPATH_0000430,,Pyrimethamine/sulphadoxine
40,pastyear_treat_drugs_chk___8,CRF_DATA,keep,,,binary,,,,,value,0,participant,http://purl.obolibrary.org/obo/EUPATH_0021042,http://purl.obolibrary.org/obo/EUPATH_0000430,,Quinine/quinidine
41,pastyear_treat_drugs_chk___9,CRF_DATA,keep,,,binary,,,,,value,0,participant,http://purl.obolibrary.org/obo/EUPATH_0021043,http://purl.obolibrary.org/obo/EUPATH_0000430,,Tetracycline/doxycycline
42,pastyear_treat_drugs_chk___10,CRF_DATA,keep,,,binary,,,,,value,0,participant,http://purl.obolibrary.org/obo/EUPATH_0021037,http://purl.obolibrary.org/obo/EUPATH_0000430,,Other
43,pastyear_treat_drugs_chk___11,CRF_DATA,keep,,,binary,,,,,value,0,participant,http://purl.obolibrary.org/obo/EUPATH_0021038,http://purl.obolibrary.org/obo/EUPATH_0000430,,Can't remember
44,pastyear_treat_drugs_chk___88888,CRF_DATA,keep,,,binary,,,,,value,0,participant,,,,Missing
45,temperature,CRF_DATA,keep,,,numeric,,temperature_fu,,will need to convert to C,,0,observation,http://purl.obolibrary.org/obo/EUPATH_0000110,http://purl.obolibrary.org/obo/OGMS_0000083,,Temperature (C)
46,weight,CRF_DATA,keep,,,numeric,,,,,,0,observation,http://purl.obolibrary.org/obo/EUPATH_0000732,http://purl.obolibrary.org/obo/EUPATH_0000649,,Weight (kg)
47,height,CRF_DATA,keep,,,numeric,,,,,,0,observation,http://purl.obolibrary.org/obo/IAO_0000408,http://purl.obolibrary.org/obo/EUPATH_0000649,,Height (cm)
48,hemocue,CRF_DATA,keep,,,numeric,,,,,,0,observation,http://purl.obolibrary.org/obo/EUPATH_0000047,http://purl.obolibrary.org/obo/EUPATH_0011795,,Hemoglobin (g/dL)
49,bp,CRF_DATA,keep,,,numeric,,,,"will need to split into 2 variables, Systolic and Diastolic",,0,,,,,
50,existing_illness_yn,CRF_DATA,keep,,,"1 Yes
2 No
88888 missing",,,,,,1,observation,http://purl.obolibrary.org/obo/EUPATH_0000412,http://purl.obolibrary.org/obo/EUPATH_0021098,,Existing illness
51,existing_illness_list,CRF_DATA,keep,,,text,,,,,,0,observation,http://purl.obolibrary.org/obo/EUPATH_0000411,http://purl.obolibrary.org/obo/EUPATH_0021098,,Type of existing illness
52,rdt_falc_chk___1,CRF_DATA,keep,,,binary,,,,,value,0,sample,http://purl.obolibrary.org/obo/EUPATH_0021053,http://purl.obolibrary.org/obo/EUPATH_0000437,,Plasmodium falciparum
53,rdt_falc_chk___2,CRF_DATA,keep,,,binary,,,,,value,0,sample,http://purl.obolibrary.org/obo/EUPATH_0021054,http://purl.obolibrary.org/obo/EUPATH_0000437,,Plasmodium vivax
54,rdt_falc_chk___3,CRF_DATA,keep,,,binary,,,,,value,0,sample,http://purl.obolibrary.org/obo/EUPATH_0021055,http://purl.obolibrary.org/obo/EUPATH_0000437,,Negative
55,rdt_falc_chk___4,CRF_DATA,keep,,,binary,,,,will need to switch value mapping so 1 = No and 0 = Yes,value,0,sample,http://purl.obolibrary.org/obo/EUPATH_0021056,http://purl.obolibrary.org/obo/EUPATH_0011800,,FalciVax RDT performed
56,rdt_falc_chk___88888,CRF_DATA,keep,,,binary,,,,,value,0,sample,,,,Missing
57,illnow_yn,CRF_DATA,keep,,,"1 Yes
2 No
88888 missing",,,,,,1,observation,http://purl.obolibrary.org/obo/EUPATH_0000417,http://purl.obolibrary.org/obo/EUPATH_0000738,Ill at time of visit,Ill now
58,fever_2wk_yn,CRF_DATA,keep,,,"1 Yes
2 No
88888 missing",,,,,,1,observation,http://purl.obolibrary.org/obo/EUPATH_0021096,http://purl.obolibrary.org/obo/EUPATH_0021098,,Fever in last 2 weeks
59,fever_2wk_where_chk___1,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/EUPATH_0021023,http://purl.obolibrary.org/obo/EUPATH_0000413,,Clinic
60,fever_2wk_where_chk___2,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/EUPATH_0021024,http://purl.obolibrary.org/obo/EUPATH_0000413,,Private practice
61,fever_2wk_where_chk___3,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/EUPATH_0021025,http://purl.obolibrary.org/obo/EUPATH_0000413,,Self-treated
62,fever_2wk_where_chk___4,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/EUPATH_0021026,http://purl.obolibrary.org/obo/EUPATH_0000413,,Not treated
63,fever_2wk_where_chk___88888,CRF_DATA,keep,,,binary,,,,,value,0,observation,,,,Missing
64,fever_48hr_yn,CRF_DATA,keep,,,"1 Yes
2 No
88888 missing",,,,,,1,observation,http://purl.obolibrary.org/obo/EUPATH_0021090,http://purl.obolibrary.org/obo/EUPATH_0000309,,Fever in last 48 hours
65,suppressant_now_yn,CRF_DATA,keep,,,"1 Yes
2 No
88888 missing",,,,,,1,observation,http://purl.obolibrary.org/obo/EUPATH_0000443,http://purl.obolibrary.org/obo/OGMS_0000090,On fever suppressant at observation,On fever suppressant
66,drugs_2wk_yn,CRF_DATA,keep,,,"1 Yes
2 No
88888 missing",,,,,,1,observation,http://purl.obolibrary.org/obo/EUPATH_0000410,http://purl.obolibrary.org/obo/OGMS_0000090,Took antimalarial medication in last 2 weeks,Took antimalarial medication
67,drugs_2wk_codes,CRF_DATA,keep,,,requires coding ,,,,,,1,observation,http://purl.obolibrary.org/obo/EUPATH_0021091,http://purl.obolibrary.org/obo/OGMS_0000090,Malaria medication taken in last 2 weeks,Antimalarial medication in last 2 weeks
68,symptoms_yn,CRF_DATA,keep,,,"1 Yes
2 No
88888 missing",,,,,value,1,observation,http://purl.obolibrary.org/obo/EUPATH_0021089,http://purl.obolibrary.org/obo/EUPATH_0021002,,Any symptoms
69,symptoms_chk___1,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/HP_0002315,http://purl.obolibrary.org/obo/EUPATH_0021002,,Headache
70,symptoms_chk___2,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/SYMP_0019174,http://purl.obolibrary.org/obo/EUPATH_0021002,,Chills
71,symptoms_chk___3,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/SYMP_0000099,http://purl.obolibrary.org/obo/EUPATH_0021002,,Aches or pains
72,symptoms_chk___4,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/SYMP_0019177,http://purl.obolibrary.org/obo/EUPATH_0021002,,Fatigue
73,symptoms_chk___5,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/HP_0002013,http://purl.obolibrary.org/obo/EUPATH_0021002,,Vomiting
74,symptoms_chk___6,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/SYMP_0000523,http://purl.obolibrary.org/obo/EUPATH_0021002,,Anorexia
75,symptoms_chk___7,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/SYMP_0000614,http://purl.obolibrary.org/obo/EUPATH_0021002,,Cough
76,symptoms_chk___8,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/SYMP_0000610,http://purl.obolibrary.org/obo/EUPATH_0021002,,Dizziness
77,symptoms_chk___9,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/HP_0000975,http://purl.obolibrary.org/obo/EUPATH_0021002,,Sweating
78,symptoms_chk___10,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/HP_0002027,http://purl.obolibrary.org/obo/EUPATH_0021002,,Abdominal pain
79,symptoms_chk___11,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/DOID_13250,http://purl.obolibrary.org/obo/EUPATH_0021002,,Diarrhea
80,symptoms_chk___12,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/HP_0003419,http://purl.obolibrary.org/obo/EUPATH_0021002,,Lower back pain
81,symptoms_chk___13,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.bioontology.org/ontology/MEDDRA/10015958,http://purl.obolibrary.org/obo/EUPATH_0021002,,Eye pain
82,symptoms_chk___14,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/HP_0000980,http://purl.obolibrary.org/obo/EUPATH_0021002,,Paleness
83,symptoms_chk___15,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/HP_0100749,http://purl.obolibrary.org/obo/EUPATH_0021002,,Chest pain
84,symptoms_chk___16,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/DOID_0050486,http://purl.obolibrary.org/obo/EUPATH_0021002,,Rash
85,symptoms_chk___17,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.bioontology.org/ontology/MEDDRA/10014020,http://purl.obolibrary.org/obo/EUPATH_0021002,,Ear pain
86,symptoms_chk___18,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/HP_0001744,http://purl.obolibrary.org/obo/EUPATH_0021002,,Splenomegaly
87,symptoms_chk___88888,CRF_DATA,keep,,,binary,,,,,value,0,observation,,,,Missing
88,prelim_dx_rad,CRF_DATA,keep,,,"1 No illness
2 Asymptomatic malaria
3 Uncomplicated malaria
4 Severe malaria
5 Illness other than malaria
88888 missing",,,,,,1,observation,http://purl.obolibrary.org/obo/EUPATH_0000036,http://purl.obolibrary.org/obo/OGMS_0000073,Preliminary diagnosis based on symptoms and RDT results,Malaria-related diagnosis
89,samples_chk___1,CRF_DATA,keep,,,binary,,,,,value,0,sample,http://purl.obolibrary.org/obo/EUPATH_0021081,http://purl.obolibrary.org/obo/OBI_0000655,,Blood smear sample
90,samples_chk___2,CRF_DATA,keep,,,binary,,,,,value,0,sample,http://purl.obolibrary.org/obo/EUPATH_0021082,http://purl.obolibrary.org/obo/OBI_0000655,,Small volume sample
91,samples_chk___3,CRF_DATA,keep,,,binary,,,,,value,0,sample,http://purl.obolibrary.org/obo/EUPATH_0000127,http://purl.obolibrary.org/obo/OBI_0000655,,Filter paper sample
92,samples_chk___4,CRF_DATA,keep,,,binary,,,,,value,0,sample,http://purl.obolibrary.org/obo/EUPATH_0021083,http://purl.obolibrary.org/obo/OBI_0000655,,Vacutainer sample
93,samples_chk___88888,CRF_DATA,keep,,,binary,,,,,value,0,sample,,,,Missing
94,samples_collected_by,CRF_DATA,discard,,,,,,,,,,,,,,
95,crf_completed_by,CRF_DATA,discard,,,,,,,,,,,,,,
96,deo_notes,CRF_DATA,discard,,,,,,,,,,,,,,
97,igh_surveillance_complete,CRF_DATA,discard,,,,,,,,,,,,,,
98,sid_fu,CRF_DATA,discard,"sid_fu matches sid, so no need to keep",,,,,,,,,,,,,
99,date_fu,CRF_DATA,keep,,,date,,"date, date_eos",yes,,,0,observation,http://purl.obolibrary.org/obo/EUPATH_0004991,http://purl.obolibrary.org/obo/EUPATH_0000310,,Observation date
100,date_enrol,CRF_DATA,discard,,,,,,,,,,,,,,
101,days_since_enrol,CRF_DATA,keep,,,numeric,,,,,,0,observation,http://purl.obolibrary.org/obo/EUPATH_0000191,http://purl.obolibrary.org/obo/EUPATH_0000310,,Days since enrollment
102,age_fu,CRF_DATA,keep,,,numeric,,,,,,0,observation,,,,
103,d7_compliance_rad,CRF_DATA,discard,always empty,,,,,,,,,,,,,
104,d7_meds_left_rad,CRF_DATA,discard,always empty,,,,,,,,,,,,,
105,d7_meds_specify,CRF_DATA,discard,always empty,,,,,,,,,,,,,
106,other_facility_rad,CRF_DATA,keep,,,"1 Yes
2 No
88888 missing",,,,,,1,observation,,,,
107,other_facility_specify,CRF_DATA,keep,,,text,,,,,,0,observation,,,,
108,other_antis_rad,CRF_DATA,keep,,,"1 Yes
2 No
88888 missing",,,,,,1,observation,,,,
109,other_antis_specify,CRF_DATA,keep,,,text,,,,,,0,observation,,,,
110,temperature_fu,CRF_DATA,keep,,,numeric,,temperature,,will need to convert to C,,0,observation,http://purl.obolibrary.org/obo/EUPATH_0000110,http://purl.obolibrary.org/obo/OGMS_0000083,,Temperature (C)
111,hemocue_fu,CRF_DATA,keep,,,numeric,,,,,,0,sample,http://purl.obolibrary.org/obo/EUPATH_0000047,http://purl.obolibrary.org/obo/EUPATH_0011795,,Hemoglobin (g/dL)
112,illnow_rad_fu,CRF_DATA,keep,,,"1 Yes
2 No
88888 missing",,,,,,1,observation,http://purl.obolibrary.org/obo/EUPATH_0000417,http://purl.obolibrary.org/obo/EUPATH_0000738,Ill at time of observation,Ill now
113,fever_48hr_rad_fu,CRF_DATA,keep,,,"1 Yes
2 No
88888 missing",,,,,,1,observation,http://purl.obolibrary.org/obo/EUPATH_0021090,http://purl.obolibrary.org/obo/EUPATH_0000309,,Fever in last 48 hours
114,suppressant_now_rad_fu,CRF_DATA,keep,,,"1 Yes
2 No
88888 missing",,,,,,1,observation,http://purl.obolibrary.org/obo/EUPATH_0000443,http://purl.obolibrary.org/obo/OGMS_0000090,On fever suppressant at observation,On fever suppressant
115,symptoms_rad_fu,CRF_DATA,keep,,,"1 Yes
2 No
88888 missing",,,,,value,1,observation,http://purl.obolibrary.org/obo/EUPATH_0021089,http://purl.obolibrary.org/obo/EUPATH_0021002,,Any symptoms
116,symptoms_chk_fu___1,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/HP_0002315,http://purl.obolibrary.org/obo/EUPATH_0021002,,Headache
117,symptoms_chk_fu___2,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/SYMP_0019174,http://purl.obolibrary.org/obo/EUPATH_0021002,,Chills
118,symptoms_chk_fu___3,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/SYMP_0000099,http://purl.obolibrary.org/obo/EUPATH_0021002,,Aches or pains
119,symptoms_chk_fu___4,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/SYMP_0019177,http://purl.obolibrary.org/obo/EUPATH_0021002,,Fatigue
120,symptoms_chk_fu___5,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/HP_0002013,http://purl.obolibrary.org/obo/EUPATH_0021002,,Vomiting
121,symptoms_chk_fu___6,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/SYMP_0000523,http://purl.obolibrary.org/obo/EUPATH_0021002,,Anorexia
122,symptoms_chk_fu___7,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/SYMP_0000614,http://purl.obolibrary.org/obo/EUPATH_0021002,,Cough
123,symptoms_chk_fu___8,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/SYMP_0000610,http://purl.obolibrary.org/obo/EUPATH_0021002,,Dizziness
124,symptoms_chk_fu___9,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/HP_0000975,http://purl.obolibrary.org/obo/EUPATH_0021002,,Sweating
125,symptoms_chk_fu___10,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/HP_0002027,http://purl.obolibrary.org/obo/EUPATH_0021002,,Abdominal pain
126,symptoms_chk_fu___11,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/DOID_13250,http://purl.obolibrary.org/obo/EUPATH_0021002,,Diarrhea
127,symptoms_chk_fu___12,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/HP_0003419,http://purl.obolibrary.org/obo/EUPATH_0021002,,Lower back pain
128,symptoms_chk_fu___13,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.bioontology.org/ontology/MEDDRA/10015958,http://purl.obolibrary.org/obo/EUPATH_0021002,,Eye pain
129,symptoms_chk_fu___14,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/HP_0000980,http://purl.obolibrary.org/obo/EUPATH_0021002,,Paleness
130,symptoms_chk_fu___15,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/HP_0100749,http://purl.obolibrary.org/obo/EUPATH_0021002,,Chest pain
131,symptoms_chk_fu___16,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/DOID_0050486,http://purl.obolibrary.org/obo/EUPATH_0021002,,Rash
132,symptoms_chk_fu___17,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.bioontology.org/ontology/MEDDRA/10014020,http://purl.obolibrary.org/obo/EUPATH_0021002,,Ear pain
133,symptoms_chk_fu___18,CRF_DATA,keep,,,binary,,,,,value,0,observation,http://purl.obolibrary.org/obo/HP_0001744,http://purl.obolibrary.org/obo/EUPATH_0021002,,Splenomegaly
134,symptoms_chk_fu___88888,CRF_DATA,keep,,,binary,,,,,value,0,observation,,,,Missing
135,meds_thisvisit,CRF_DATA,keep,,,"1 Yes
2 No
88888 missing",,,,,,1,observation,,,,
136,meds_thisvisit_specify,CRF_DATA,discard,no data,,,,,,,,,,,,,
137,samples_chk_fu___1,CRF_DATA,keep,,,binary,,,,,value,0,sample,http://purl.obolibrary.org/obo/EUPATH_0021081,http://purl.obolibrary.org/obo/OBI_0000655,,Blood smear sample
138,samples_chk_fu___2,CRF_DATA,keep,,,binary,,,,,value,0,sample,http://purl.obolibrary.org/obo/EUPATH_0021082,http://purl.obolibrary.org/obo/OBI_0000655,,Small volume sample
139,samples_chk_fu___3,CRF_DATA,keep,,,binary,,,,,value,0,sample,http://purl.obolibrary.org/obo/EUPATH_0000127,http://purl.obolibrary.org/obo/OBI_0000655,,Filter paper sample
140,samples_chk_fu___4,CRF_DATA,keep,,,binary,,,,,value,0,sample,http://purl.obolibrary.org/obo/EUPATH_0021083,http://purl.obolibrary.org/obo/OBI_0000655,,Vacutainer sample
141,samples_chk_fu___88888,CRF_DATA,keep,,,binary,,,,,value,0,sample,,,,Missing
142,samples_collected_by_fu,CRF_DATA,discard,,,,,,,,,,,,,,
143,crf_completed_by_fu,CRF_DATA,discard,,,,,,,,,,,,,,
144,deo_notes_fu,CRF_DATA,discard,,,,,,,,,,,,,,
145,igh_followup_complete,CRF_DATA,discard,,,,,,,,,,,,,,
146,sid_eos,CRF_DATA,discard,,,,,,,,,,,,,,
147,date_eos,CRF_DATA,keep,,,date,,"date, date_fu",yes,,,0,observation,http://purl.obolibrary.org/obo/EUPATH_0004991,http://purl.obolibrary.org/obo/EUPATH_0000310,,Observation date
148,date_enrol_eos,CRF_DATA,discard,,,,,,,,,,,,,,
149,departure_rad,CRF_DATA,keep,,How did the subject depart the study?,"1 Completed all study visits
2 Moved
3 Can't be traced
4 Declined to participate further
5 Other",,,,,,1,participant,,,,
150,departure_specify,CRF_DATA,discard,no data,,,,,,,,,,,,,
151,previous_date,CRF_DATA,discard,duplicates date_fu,,,,,,,,,,,,,
152,finish_treatment_rad,CRF_DATA,keep,,Did the participant __nish his/her malaria treatment,"1 Yes
2 No
99999 unknown",,,,,,1,observation,,,,
153,last_health_rad,CRF_DATA,keep,,Was the participant in good health at the last visit?,"1 Yes
2 No
99999 unknown",,,,,,1,observation,,,,
154,notes_eos,CRF_DATA,discard,,,,,,,,,,,,,,
