variable	variable	values	mappedTerm	valueOrder
pastyear_treat_rad	pastyear_treat_rad	1	Yes	
pastyear_treat_rad	pastyear_treat_rad	2	No	
pastyear_treat_rad	pastyear_treat_rad	3	Can't remember	
pastyear_treatwhere_chk___1	pastyear_treatwhere_chk___1	1	Yes	
pastyear_treatwhere_chk___1	pastyear_treatwhere_chk___1	0	No	
pastyear_treatwhere_chk___2	pastyear_treatwhere_chk___2	1	Yes	
pastyear_treatwhere_chk___2	pastyear_treatwhere_chk___2	0	No	
pastyear_treatwhere_chk___3	pastyear_treatwhere_chk___3	1	Yes	
pastyear_treatwhere_chk___3	pastyear_treatwhere_chk___3	0	No	
pastyear_treatwhere_chk___4	pastyear_treatwhere_chk___4	1	Yes	
pastyear_treatwhere_chk___4	pastyear_treatwhere_chk___4	0	No	
pastyear_treatdrugs_chk___1	pastyear_treatdrugs_chk___1	1	Yes	
pastyear_treatdrugs_chk___1	pastyear_treatdrugs_chk___1	0	No	
pastyear_treatdrugs_chk___2	pastyear_treatdrugs_chk___2	1	Yes	
pastyear_treatdrugs_chk___2	pastyear_treatdrugs_chk___2	0	No	
pastyear_treatdrugs_chk___3	pastyear_treatdrugs_chk___3	1	Yes	
pastyear_treatdrugs_chk___3	pastyear_treatdrugs_chk___3	0	No	
pastyear_treatdrugs_chk___4	pastyear_treatdrugs_chk___4	1	Yes	
pastyear_treatdrugs_chk___4	pastyear_treatdrugs_chk___4	0	No	
pastyear_treatdrugs_chk___5	pastyear_treatdrugs_chk___5	1	Yes	
pastyear_treatdrugs_chk___5	pastyear_treatdrugs_chk___5	0	No	
pastyear_treatdrugs_chk___6	pastyear_treatdrugs_chk___6	1	Yes	
pastyear_treatdrugs_chk___6	pastyear_treatdrugs_chk___6	0	No	
pastyear_treatdrugs_chk___7	pastyear_treatdrugs_chk___7	1	Yes	
pastyear_treatdrugs_chk___7	pastyear_treatdrugs_chk___7	0	No	
pastyear_treatdrugs_chk___8	pastyear_treatdrugs_chk___8	1	Yes	
pastyear_treatdrugs_chk___8	pastyear_treatdrugs_chk___8	0	No	
pastyear_treatdrugs_chk___9	pastyear_treatdrugs_chk___9	1	Yes	
pastyear_treatdrugs_chk___9	pastyear_treatdrugs_chk___9	0	No	
pastyear_treatdrugs_chk___10	pastyear_treatdrugs_chk___10	1	Yes	
pastyear_treatdrugs_chk___10	pastyear_treatdrugs_chk___10	0	No	
pastyear_treatdrugs_chk___11	pastyear_treatdrugs_chk___11	1	Yes	
pastyear_treatdrugs_chk___11	pastyear_treatdrugs_chk___11	0	No	
existing_illness_yn	existing_illness_yn	1	Yes	
existing_illness_yn	existing_illness_yn	0	No	
existing_illness_list	existing_illness_list	BP High	Hypertension	
existing_illness_list	existing_illness_list	High BP	Hypertension	
existing_illness_list	existing_illness_list	B.P (High)	Hypertension	
existing_illness_list	existing_illness_list	Heart problem	Heart problem	
existing_illness_list	existing_illness_list	HIV	HIV	
existing_illness_list	existing_illness_list	High B.P	Hypertension	
existing_illness_list	existing_illness_list	Histeriya	Hysteria	
existing_illness_list	existing_illness_list	Low B.P	Hypotension	
existing_illness_list	existing_illness_list	Heart Problem	Heart problem	
existing_illness_list	existing_illness_list	Leg Pain	Leg pain	
existing_illness_list	existing_illness_list	Diabeties, Heart Problem	Diabetes, heart problem	
existing_illness_list	existing_illness_list	Blood Pressure	Blood pressure	
existing_illness_list	existing_illness_list	Mind Stress	Stress	
existing_illness_list	existing_illness_list	Dum. Respiratory Probelm	Respiratory problem	
existing_illness_list	existing_illness_list	Hogh BP	Hypertension	
existing_illness_list	existing_illness_list	Diabities	Diabetes	
existing_illness_list	existing_illness_list	Problem in Respiration	Respiratory problem	
existing_illness_list	existing_illness_list	Kidney Stone	Kidney stone	
existing_illness_list	existing_illness_list	Diabetes (Mellitus)	Diabetes	
existing_illness_list	existing_illness_list	High Blood Pressure	Hypertension	
existing_illness_list	existing_illness_list	Low Blood Pressure	Hypotension	
existing_illness_list	existing_illness_list	Diabetes	Diabetes	
existing_illness_list	existing_illness_list	Respiratory System Problem	Respiratory problem	
existing_illness_list	existing_illness_list	Respiratory Problem	Respiratory problem	
existing_illness_list	existing_illness_list	TB	Tuberculosis	
existing_illness_list	existing_illness_list	Typhoid	Typhoid	
existing_illness_list	existing_illness_list	BLOOD PRESSURE	Blood pressure	
existing_illness_list	existing_illness_list	Gas Problem	Gas	
existing_illness_list	existing_illness_list	Thyroid	Thyroid	
existing_illness_list	existing_illness_list	ARTHRITIS, BP	Arthritis, blood pressure	
existing_illness_list	existing_illness_list	OCCULAR SYMPTOM	Occular problem	
existing_illness_list	existing_illness_list	DEAF AND DUMB	Deaf and mute	
existing_illness_list	existing_illness_list	MENTALLY ILL	Mentally ill	
existing_illness_list	existing_illness_list	ASTHMA	Asthma	
existing_illness_list	existing_illness_list	DUMB	Mute	
existing_illness_list	existing_illness_list	RHEUMATOID ARTHRITIS	Rheumatoid arthritis	
existing_illness_list	existing_illness_list	EPILEPSY	Epilepsy	
existing_illness_list	existing_illness_list	JAUNDICE	Jaundice	
existing_illness_list	existing_illness_list	COMMON COLD	Common cold	
existing_illness_list	existing_illness_list	FEVER, COLD AND COUGH	Fever, cold, and cough	
existing_illness_list	existing_illness_list	FEVER	Fever	
existing_illness_list	existing_illness_list	DRY COUGH AND COLD (URI)	Upper respiratory infection	
existing_illness_list	existing_illness_list	WEAKNESS	Generalized weakness	
existing_illness_list	existing_illness_list	GENERIZED WEAKNESS	Generalized weakness	
existing_illness_list	existing_illness_list	DERMAL ILLNESS	Dermal problem	
existing_illness_list	existing_illness_list	TUBERCULOSIS(PULMONARY)	Tuberculosis	
existing_illness_list	existing_illness_list	CONVULSIVE DISORDER	Convulsive disorder	
existing_illness_list	existing_illness_list	HYPOTHYROIDISIM	Hypothyroidism	
existing_illness_list	existing_illness_list	HYPERTENSION	Hypertension	
existing_illness_list	existing_illness_list	DEAFNESS	Deaf	
existing_illness_list	existing_illness_list	HAEMORRHOID	Hemorrhoids	
existing_illness_list	existing_illness_list	BRONCHIAL ASTHAMA	Asthma	
existing_illness_list	existing_illness_list	STOOL BLEEDING	Hematochezia	
existing_illness_list	existing_illness_list	HAEMORRHOIDS	Hemorrhoids	
existing_illness_list	existing_illness_list	SCIATICA	Sciatica	
existing_illness_list	existing_illness_list	SCABIES	Scabies	
existing_illness_list	existing_illness_list	DYSMENORRHOEA	Dysmenorrhea	
existing_illness_list	existing_illness_list	MUMPS	Mumps	
existing_illness_list	existing_illness_list	HYPERTENSIVE	Hypertension	
existing_illness_list	existing_illness_list	CONGENITAL DEAFNESS	Deaf	
existing_illness_list	existing_illness_list	PARKINSON DS	Parkinson's disease	
existing_illness_list	existing_illness_list	BRONCHIAL TUBERCULOSIS	Tuberculosis	
existing_illness_list	existing_illness_list	TB	Tuberculosis	
existing_illness_list	existing_illness_list	ARTHRITIS	Arthritis	
existing_illness_list	existing_illness_list	PILES	Hemorrhoids	
existing_illness_list	existing_illness_list	BLOOD PRESSURE	Blood pressure	
existing_illness_list	existing_illness_list	BP, CVA	Blood pressure, cerebrovascular accident	
existing_illness_list	existing_illness_list	HYSTERECTOMY C HORMONAL REPLACEMENT THERAPY	Hysterectomy with hormonal replacement therapy	
existing_illness_list	existing_illness_list	HYPERTENSION	Hypertension	
existing_illness_list	existing_illness_list	DIABETIC MELLITUS	Diabetes	
existing_illness_list	existing_illness_list	BRONCHIAL ASTHMA	Asthma	
existing_illness_list	existing_illness_list	THYROID	Thyroid	
existing_illness_list	existing_illness_list	HIGH BP, SUGAR IN URINE	Hypertension, glucosuria
existing_illness_list	existing_illness_list	THYRIOD	Thyroid	
existing_illness_list	existing_illness_list	HYPER TENSION AND KIDNEY STONE	Hypertension, kidney stone	
existing_illness_list	existing_illness_list	DIABETES	Diabetes	
existing_illness_list	existing_illness_list	HIGH 'BP'	Hypertension	
existing_illness_list	existing_illness_list	HIGH BP	Hypertension	
existing_illness_list	existing_illness_list	SUGAR	Sugar	
existing_illness_list	existing_illness_list	RESPIRATORY INFECTION	Respiratory infection	
existing_illness_list	existing_illness_list	DIABETICS	Diabetes	
existing_illness_list	existing_illness_list	HYPERTENSION AND BRONCHIAL ASTHMA	Hypertension, asthma	
existing_illness_list	existing_illness_list	EP.TB	Extrapulmonary tuberculosis	
existing_illness_list	existing_illness_list	LBA &amp; SCIATICA	Sciatica	
existing_illness_list	existing_illness_list	HYPERTENSION, DIABETES MELLITUS	Diabetes, hypertension	
existing_illness_list	existing_illness_list	RHEUMATOID ARTHRITIS	Rheumatoid arthritis	
existing_illness_list	existing_illness_list	TYPHOID LAST YEAR	Typhoid	
existing_illness_list	existing_illness_list	HYPOTHYROID	Hypothyroidism	
existing_illness_list	existing_illness_list	ANAEMIA	Anemia	
existing_illness_list	existing_illness_list	KIDNEY STONE	Kidney stone	
existing_illness_list	existing_illness_list	ASTHMA	Asthma	
existing_illness_list	existing_illness_list	HYPER TENSION	Hypertension	
existing_illness_list	existing_illness_list	DIABETES MELLITUS	Diabetes	
existing_illness_list	existing_illness_list	DIABETES MELLITUS, HYPER TENSION,CORONARY HEART DISEASE	Coronary heart disease, diabetes, hypertension	
existing_illness_list	existing_illness_list	CHRONIC PANCREATITIS	Pancreatitis 	
existing_illness_list	existing_illness_list	HYPOTHYROID, DIABETIC MELLITUS, HYPERTENSION	Diabetes, hypertension, hyperthyroidism	
existing_illness_list	existing_illness_list	DIABETIS MELLITUS	Diabetes	
existing_illness_list	existing_illness_list	HEART BEAT FASTER(MEDICINE TAKING)	Tachycardia when taking medicine	
existing_illness_list	existing_illness_list	DIABETES/ HYPER TENSION	Diabetes, hypertension	
existing_illness_list	existing_illness_list	CYST IN STOMACH	Stomach cyst	
existing_illness_list	existing_illness_list	EAR PROBLEM	Ear problem	
existing_illness_list	existing_illness_list	HYPERTENSION, DIABETICS MELLITUS	Diabetes, hypertension	
existing_illness_list	existing_illness_list	UTERUS INFECTION	Uterine infection	
existing_illness_list	existing_illness_list	ARTHRITIS	Arthritis	
existing_illness_list	existing_illness_list	Rheumatoid arthritis	Rheumatoid arthritis	
existing_illness_list	existing_illness_list	DIABETICS MELLITUS	Diabetes	
existing_illness_list	existing_illness_list	WHEEZING &amp; VENOUS ULCER	Venous ulcer, wheezing	
existing_illness_list	existing_illness_list	ULCER	Ulcer	
existing_illness_list	existing_illness_list	HEART PROBLEM	Heart problem	
existing_illness_list	existing_illness_list	HYPERTENSION, HYPOTHYROID, CVP	Central venous pressure, hypertension, hypothyroidism	
existing_illness_list	existing_illness_list	SKIN PROBLEM	Dermal problem	
existing_illness_list	existing_illness_list	MYOCARDIAL INFARCTION	Myocardial infarction	
existing_illness_list	existing_illness_list	HYPERTENSION, HYPOTHYROID	Hypertension, hypothyroidism	
existing_illness_list	existing_illness_list	HYPERTENSION, DIABETICS MELLLITUS	Diabetes, hypertension	
existing_illness_list	existing_illness_list	HERNIA OPERATION	Hernia operation	
existing_illness_list	existing_illness_list	DIABETICS MELLITUS, HYPERTENSION	Diabetes, hypertension	
existing_illness_list	existing_illness_list	DIABETICS MELLITES/HYPERTENSION	Diabetes, hypertension	
existing_illness_list	existing_illness_list	HYPERTENSION, DIABETICS MELITUS	Diabetes, hypertension	
existing_illness_list	existing_illness_list	HYPERTENSION, DIABETIC MELLITUS	Diabetes, hypertension	
existing_illness_list	existing_illness_list	HYPERTENSION/	Hypertension	
existing_illness_list	existing_illness_list	TUBERCLOSIS	Tuberculosis	
existing_illness_list	existing_illness_list	PILES OPERATION	Hemorrhoid operation	
existing_illness_list	existing_illness_list	HT	Hypertension	
existing_illness_list	existing_illness_list	HYPERTENSION/ DIABETIC MELLITUS	Diabetes, hypertension	
existing_illness_list	existing_illness_list	Benign Prostatic Hyperplasia	Benign prostatic hyperplasia	
existing_illness_list	existing_illness_list	LBA	Lower back pain	
existing_illness_list	existing_illness_list	TYPHOID	Typhoid	
existing_illness_list	existing_illness_list	DIABETES MELLITUS, HYPERTENSION	Diabetes, hypertension	
existing_illness_list	existing_illness_list	DM	Diabetes	
existing_illness_list	existing_illness_list	HT/DM	Diabetes, hypertension	
existing_illness_list	existing_illness_list	BR.ASTHMA	Asthma	
existing_illness_list	existing_illness_list	WEEZING	Wheezing	
existing_illness_list	existing_illness_list	JOINT PAIN	Joint pain	
existing_illness_list	existing_illness_list	CVD	Cardiovascular disease	
existing_illness_list	existing_illness_list	BACKPAIN	Back pain	
existing_illness_list	existing_illness_list	CVA	Cerebrovascular accident	
existing_illness_list	existing_illness_list	CKD/HT	Chronic kidney disease, hypertension	
existing_illness_list	existing_illness_list	AL.HEPATITER/VIRAL HEPATITISE	Viral hepatitis 	
existing_illness_list	existing_illness_list	EPILEPSY	Epilepsy	
existing_illness_list	existing_illness_list	GASTRITIS	Gastritis	
existing_illness_list	existing_illness_list	LOW BP	Hypotension	
existing_illness_list	existing_illness_list	HARMONAL DISORDER	Hormonal disorder	
existing_illness_list	existing_illness_list	ADENOIDS	Adenoids	
existing_illness_list	existing_illness_list	DM/HT	Diabetes, hypertension	
existing_illness_list	existing_illness_list	DM/HT/HYPER CHOLESTEREMIA	Diabetes, hypercholesterolemia, hypertension	
existing_illness_list	existing_illness_list	HYPERTENSION, ASTHMA	Asthma, hypertension	
existing_illness_list	existing_illness_list	DIABETIC, HYPERTENSION	Diabetes, hypertension	
existing_illness_list	existing_illness_list	HYPERTENSION, UNDERTONES CATARACT OPERATION	Cataract surgery, hypertension	
existing_illness_list	existing_illness_list	CHD/HT	Coronary heart disease, hypertension	
existing_illness_list	existing_illness_list	CHEST PAIN	Chest pain	
existing_illness_list	existing_illness_list	DIABETICS &amp; HYPERTENSION	Diabetes, hypertension	
existing_illness_list	existing_illness_list	DIABETIC	Diabetes	
existing_illness_list	existing_illness_list	EPILEPSY,AXAZSY	Epilepsy	
existing_illness_list	existing_illness_list	BP	Blood pressure	
existing_illness_list	existing_illness_list	DM, HEART PROBLEM	Diabetes, heart problem	
existing_illness_list	existing_illness_list	NERVE PROBLEM	Nerve problem	
existing_illness_list	existing_illness_list	HIGH CHOLESTROL	Hypercholesterolemia	
existing_illness_list	existing_illness_list	EYE OPERATION	Eye operation	
existing_illness_list	existing_illness_list	BP, DM	Blood pressure, diabetes	
existing_illness_list	existing_illness_list	DM,BP	Blood pressure, diabetes	
existing_illness_list	existing_illness_list	DM, NEURO PROBLEM	Diabetes, neurological problem	
existing_illness_list	existing_illness_list	Pf	Malaria	
existing_illness_list	existing_illness_list	HYPERTENSION	Hypertension	
existing_illness_list	existing_illness_list	VARICOSE VEIN	Varicose veins	
existing_illness_list	existing_illness_list	DIABETES	Diabetes	
existing_illness_list	existing_illness_list	DM TYPE 1	Diabetes, type I	
existing_illness_list	existing_illness_list	DEAFNESS	Deaf	
existing_illness_list	existing_illness_list	CSOM	Chronic suppurative otitis media	
existing_illness_list	existing_illness_list	HAEMATURIA	Hematuria	
existing_illness_list	existing_illness_list	HEREDITARY DISORDER	Hereditary disorder	
existing_illness_list	existing_illness_list	DMD	DMD	
existing_illness_list	existing_illness_list	VARICOSSITY	Varicose veins	
existing_illness_list	existing_illness_list	PHARYNGITIS	Pharyngitis	
existing_illness_list	existing_illness_list	TONSILITIS	Tonsillitis	
existing_illness_list	existing_illness_list	VARICOSE VEINS	Varicose veins	
existing_illness_list	existing_illness_list	PSORIASIS	Psoriasis	
existing_illness_list	existing_illness_list	PSORIOSIS	Psoriasis	
existing_illness_list	existing_illness_list	ANIMAL BITE	Animal bite	
existing_illness_list	existing_illness_list	DYSENTRY	Dysentery	
existing_illness_list	existing_illness_list	HYPERTENSION	Hypertension	
existing_illness_list	existing_illness_list	DIABETICS MELLITUS	Diabetes	
existing_illness_list	existing_illness_list	HYPER TENSION	Hypertension	
existing_illness_list	existing_illness_list	CVD/HT	Cardiovascular disease, hypertension	
existing_illness_list	existing_illness_list	CVD, HYPERTENSION	Cardiovascular disease, hypertension	
existing_illness_list	existing_illness_list	CHD/HT	Coronary heart disease, hypertension	
existing_illness_list	existing_illness_list	HYPOTHYROID	Hypothyroidism	
existing_illness_list	existing_illness_list	HYPOTHYROIDISM	Hypothyroidism	
existing_illness_list	existing_illness_list	BR.ASTHMA	Asthma	
existing_illness_list	existing_illness_list	DIABETICS	Diabetes	
existing_illness_list	existing_illness_list	DM	Diabetes	
existing_illness_list	existing_illness_list	DENTAL CARIER	Dental caries	
