colOrder,overallOrder,displayOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,notesforOnt
44,,,F2_LOOSE_STOOLS,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015459,Three or more abnormally loose or watery stools in the previous 24 hour period,,Participant,,,Three or more abnormally loose or watery stools in the previous 24 hour period,1,
48,,,F3_DATE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015426,Eligibility form date,,Participant,,,Date eligibility form was completed,Date,
50,,2,F3_CHILDBIRTH,gems1a_case_control_study_data,http://www.ebi.ac.uk/efo/EFO_0004950,Date of birth,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,Child's Birthdate,Date,GEMS1
52,,3,F3_GENDER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,,0,GEMS1
53,,1,F3_CHILD_DSS,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010407,Child qualified as DSS resident,,Participant,Case eligibility criteria,http://purl.obolibrary.org/obo/EUPATH_0010036,Does the Child Qualify as a DSS Resident?,1,GEMS1
54,,3,F3_AGE59,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010409,Child less than 60 months of age,,Participant,Case eligibility criteria,http://purl.obolibrary.org/obo/EUPATH_0010036,Is this child 0-59 months of Age,1,GEMS1
55,,4,F3_ABN_LOOSE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010410,Child passed 3 or more abnormally loose stools during the previous 24 hours,,Participant,Case eligibility criteria,http://purl.obolibrary.org/obo/EUPATH_0010036,Did this child pass 3 or more abnormally loose stools during the previous 24 hours?,1,GEMS1
56,,5,F3_DRH_7,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010411,Current diarrhea episode began within the last 7 days,,Participant,Case eligibility criteria,http://purl.obolibrary.org/obo/EUPATH_0010036,Did current diarrhea episode begin within the previous 7 days?,1,GEMS1
57,,6,F3_DRH7DAY,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010412,Child had at least 7 days w/o diarrhea before current episode,,Participant,Case eligibility criteria,http://purl.obolibrary.org/obo/EUPATH_0010036,"Before this episode began, did the child have at least 7 days without Diarrhea?",1,GEMS1
62,,,F3_LSD_CASE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015404,"At registration, currently enrolled in GEMS1A as an LSD Case",,Participant,,,Is this child currently enrolled in GEMS1A as an LSD Case?,0/1,
63,,,F3_MSD_CASE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015405,"At registration, currently enrolled in GEMS1A as an MSD Case",,Participant,,,Is this child currently enrolled in GEMS1A as an MSD Case?,0/1,
64,,1,F3_DRH_SUNKEYES,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010413,"Sunken eyes, more than normal",,Participant,Moderate/severe diarrhea eligibility,http://purl.obolibrary.org/obo/EUPATH_0010425,"Does the Child have any one of following: Sunken eyes, more than normal",0,GEMS1
65,,2,F3_DRH_TURGOR,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010414,Loss of skin turgor,,Participant,Moderate/severe diarrhea eligibility,http://purl.obolibrary.org/obo/EUPATH_0010425,Does the Child have any one of following: Loss of skin turgor,0,GEMS1
66,,3,F3_DRH_IV,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010415,IV rehydration administered or prescribed,,Participant,Moderate/severe diarrhea eligibility,http://purl.obolibrary.org/obo/EUPATH_0010425,Does the Child have any one of following: intravenous rehydration administered or prescribed?,0,GEMS1
67,,4,F3_DRH_DYS,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010416,Dysentery,Diarrhea with visible blood in stool observed or reported,Participant,Moderate/severe diarrhea eligibility,http://purl.obolibrary.org/obo/EUPATH_0010425,Does the Child have any one of the following: dysentery (diarrhea with visible blood in stool observed or reported),0,GEMS1
68,,5,F3_DRH_HOSP,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010417,Hospitalized with diarrhea or dysentery,,Participant,Moderate/severe diarrhea eligibility,http://purl.obolibrary.org/obo/EUPATH_0010425,Does the Child have any one of the following: hospitalized with diarrhea or dysentery,0,GEMS1
69,,,F3_CHILD_MSD,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015414,Child eligible for enrollment in MSD study,,Participant,,,Is the child eligible for enrollment in the MSD study,,
71,,,F3_CHILD_LSD,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015413,Child eligible for enrollment in LSD study,,Participant,,,Is the child eligible for enrollment in the LSD study,,
74,,10,F3_CONSENT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010420,Consent for enrollment given,,Participant,Case eligibility criteria,http://purl.obolibrary.org/obo/EUPATH_0010036,Was consent obtained?,1,GEMS1
75,,11,F3_ANTIBIOTIC,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010421,Child given antibiotic before stool sample collection,,Participant,Case eligibility criteria,http://purl.obolibrary.org/obo/EUPATH_0010036,Was child given antibiotic before whole stool sample could be collected?,0,GEMS1
76,,12,F3_STOOL_SMPL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010422,Whole stool collected within 12 hrs. of registration,,Participant,Case eligibility criteria,http://purl.obolibrary.org/obo/EUPATH_0010036,"If no to 'was child given ab', was a stool sample collected from the child within 12 hours of registration?",1,GEMS1
77,,13,F3_RECT_SWAB,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010423,Rectal swabs collected before antibiotics and whole stool collected within 12 hrs of registration,,Participant,Case eligibility criteria,http://purl.obolibrary.org/obo/EUPATH_0010036,"if Yes to 'was child given ab', were rectal swabs taken before antibiotics and was a whole stool collected within 12 hours of registration?",1,GEMS1
78,,14,F3_CHILD_ENROLL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010424,Child enrolled,,Participant,Case eligibility criteria,http://purl.obolibrary.org/obo/EUPATH_0010036,Was the child enrolled?,1,GEMS1
87,,4,F4A_DATE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000091,Date of visit,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,Enrollment (Non-Medical) Date,Date,GEMS1
89,,3,F4A_PRIMCARE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000720,Caretaker relationship to Child,,Participant,Individuals related to Child,http://purl.obolibrary.org/obo/EUPATH_0010037,Who is Child's Primary Caretaker?,1,GEMS1
91,,1,F4A_RELATIONSHIP,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010123,Interviewee relationship to Child,,Participant,Individuals related to Child,http://purl.obolibrary.org/obo/EUPATH_0010037,What is your relationship to the Child?,1,GEMS1
93,,5,F4A_MOM_LIVE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010127,Mother's residence,,Participant,Individuals related to Child,http://purl.obolibrary.org/obo/EUPATH_0010037,Where does Child's mother live?,1,GEMS1
94,,6,F4A_DAD_LIVE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000676,Father's residence,,Participant,Individuals related to Child,http://purl.obolibrary.org/obo/EUPATH_0010037,Where does Child's father live?,1,GEMS1
95,,4,F4A_PRIM_SCHL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010129,Primary caretakers education level,,Participant,Individuals related to Child,http://purl.obolibrary.org/obo/EUPATH_0010037,How far did the child's primary caretaker go in school?,1,GEMS1
96,,5,F4A_PPL_HOUSE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010230,Number of persons living in house,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,How many people have been living regularly in your household for the past 6 months?,Num,GEMS1
97,,4,F4A_PPL_SLEEP,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000714,Persons sleeping in house,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,How many people have been sleeping regularly in your household for the past 6 months?,Num,GEMS1
98,,6,F4A_YNG_CHILDREN,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010232,Number of children under 60 months in house,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,How many children younger than 60 months live in the household?,Num,GEMS1
99,,2,F4A_SLP_ROOMS,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000715,Sleeping rooms in household,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,How many rooms in your household are used for sleeping?,Num,GEMS1
100,,1,F4A_FLOOR,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,What is the predominant floor in the house of Child?,1,GEMS1
102,,6,F4A_HOUSE_ELEC,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have Electricity?,0,GEMS1
103,,3,F4A_HOUSE_BIKE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015001,Bicycle/rickshaw,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a bicycle/rickshaw?,0,GEMS1
104,,10,F4A_HOUSE_PHONE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015002,Telephone (mobile or non-mobile),,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a telephone (mobile or non-mobile)?,0,GEMS1
105,,11,F4A_HOUSE_TELE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015003,Television,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a television?,0,GEMS1
106,,5,F4A_HOUSE_CAR,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015004,Car/Truck,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a Car/Truck?,0,GEMS1
107,,2,F4A_HOUSE_CART,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015005,Animal-drawn cart,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a Animal-drawn cart?,0,GEMS1
108,,7,F4A_HOUSE_SCOOT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015006,Motorcycle/Scooter,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a Motorcycle/Scooter?,0,GEMS1
109,,9,F4A_HOUSE_FRIDGE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015007,Refrigerator,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a Refrigerator?,0,GEMS1
110,,1,F4A_HOUSE_AGLAND,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015008,Agricultural Land,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have Agricultural Land?,0,GEMS1
111,,8,F4A_HOUSE_RADIO,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015009,Radio,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a radio?,0,GEMS1
112,,4,F4A_HOUSE_BOAT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015010,Boat with a motor,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a boat with a motor?,0,GEMS1
113,,12,F4A_HOUSE_NONE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015011,None of the above,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have none of the above?,0,GEMS1
114,,6,F4A_FUEL_ELEC,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015012,Electricity,,Household,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000023,What type of cooking fuel does your house use? Electricity?,0,GEMS1
115,,3,F4A_FUEL_BIOGAS,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015013,Biogas,,Household,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000023,What type of cooking fuel does your house use? Biogas?,0,GEMS1
116,,10,F4A_FUEL_GRASS,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015014,Straw/Shrubs/Grass,,Household,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000023,What type of cooking fuel does your house use? Straw/Shrubs/Grass?,0,GEMS1
117,,8,F4A_FUEL_PROPANE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015015,Liquid Propane Gas,,Household,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000023,What type of cooking fuel does your house use? Liquid Propane Gas?,0,GEMS1
118,,5,F4A_FUEL_COAL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015016,Coal/lignite,,Household,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000023,What type of cooking fuel does your house use? Coal/lignite?,0,GEMS1
119,,2,F4A_FUEL_DUNG,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015017,Animal dung,,Household,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000023,What type of cooking fuel does your house use? Animal dung?,0,GEMS1
120,,9,F4A_FUEL_NATGAS,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015018,Natural gas,,Household,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000023,What type of cooking fuel does your house use? Natural gas?,0,GEMS1
121,,4,F4A_FUEL_CHARCOAL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015019,Charcoal,,Household,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000023,What type of cooking fuel does your house use? Charcoal?,0,GEMS1
122,,1,F4A_FUEL_CROP,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015020,Agricultural crop residue,,Household,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000023,What type of cooking fuel does your house use? Agricultural crop residue?,0,GEMS1
123,,7,F4A_FUEL_KERO,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015021,Kerosene,,Household,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000023,What type of cooking fuel does your house use? Kerosene?,0,GEMS1
124,,11,F4A_FUEL_WOOD,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015022,Wood,,Household,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000023,What type of cooking fuel does your house use? Wood?,0,GEMS1
125,,12,F4A_FUEL_OTHER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015023,Other,,Household,Cooking fuel,http://purl.obolibrary.org/obo/EUPATH_0000023,What type of cooking fuel does your house use? Other?,0,GEMS1
127,,5,F4A_ANI_GOAT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015024,Goat,,Household,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000343,Do the following animals live in the compound where Child lives? Goat?,0,GEMS1
128,,7,F4A_ANI_SHEEP,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015025,Sheep,,Household,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000343,Do the following animals live in the compound where Child lives? Sheep?,0,GEMS1
129,,3,F4A_ANI_DOG,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015026,Dog,,Household,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000343,Do the following animals live in the compound where Child lives? Dog?,0,GEMS1
130,,1,F4A_ANI_CAT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015027,Cat,,Household,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000343,Do the following animals live in the compound where Child lives? Cat?,0,GEMS1
131,,2,F4A_ANI_COW,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015028,Cow,,Household,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000343,Do the following animals live in the compound where Child lives? Cow?,0,GEMS1
132,,6,F4A_ANI_RODENTS,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015029,Rodents,,Household,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000343,Do the following animals live in the compound where Child lives? Rodents?,0,GEMS1
133,,4,F4A_ANI_FOWL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015030,Fowl,,Household,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000343,"Do the following animals live in the compound where Child lives? Fowl (Chicken, duck or other birds)?",0,GEMS1
134,,8,F4A_ANI_OTHER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015031,Other,,Household,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000343,Do the following animals live in the compound where Child lives? Other?,0,GEMS1
136,,9,F4A_ANI_NO,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015032,No animals,,Household,Animals on property,http://purl.obolibrary.org/obo/EUPATH_0000343,Do the following animals live in the compound where Child lives? No Animals?,0,GEMS1
137,,1,F4A_WATER_HOUSE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015033,Piped into house,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Piped into house?",0,GEMS1
138,,2,F4A_WATER_COVWELL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015034,Covered well in house or yard,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Covered well in house or yard?",0,GEMS1
139,,3,F4A_WATER_YARD,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015035,Piped into yard,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Piped into yard?",0,GEMS1
140,,4,F4A_WATER_COVPWELL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015036,Covered public well,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Covered public well?",0,GEMS1
141,,5,F4A_WATER_PUBTAP,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015037,Public tap,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Public tap?",0,GEMS1
142,,6,F4A_WATER_PROSPRING,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015038,Protected spring,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Protected spring?",0,GEMS1
143,,7,F4A_WATER_WELL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015039,Open well in house or yard,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Open well in house or yard?",0,GEMS1
144,,8,F4A_WATER_UNSPRING,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015040,Unprotected spring,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Unprotected spring?",0,GEMS1
145,,9,F4A_WATER_PUBWELL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015041,Open public well,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Open public well?",0,GEMS1
146,,10,F4A_WATER_RIVER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015042,River or stream,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? River or stream?",0,GEMS1
147,,11,F4A_WATER_POND,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015043,Pond or lake,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Pond or lake?",0,GEMS1
148,,12,F4A_WATER_DAM,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015044,Dam or earth pan,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Dam or earth pan?",0,GEMS1
149,,13,F4A_WATER_DEEPWELL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015045,Deep tube well,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Deep tube well?",0,GEMS1
150,,14,F4A_WATER_RAIN,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015046,Rainwater,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Rainwater?",0,GEMS1
151,,15,F4A_WATER_SHALLWELL,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015047,Shallow tube well,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Shallow tube well?",0,GEMS1
152,,16,F4A_WATER_BOUGHT,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015048,"Bought (tank, bottle, etc.)",,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Bought, tank, bottles, etc?",0,GEMS1
153,,18,F4A_WATER_OTHR,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015049,Other water source,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Other?",0,GEMS1
154,,17,F4A_WATER_BORE,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0015050,Bore hole,,Observation,Drinking water source,http://purl.obolibrary.org/obo/ENVO_00003064,"During the last two weeks, has your household ever obtained drinking water from any of the following sources? Bore hole?",0,GEMS1
156,,2,F4A_MS_WATER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0010099,Main drinking water source,,Observation,Water information,http://purl.obolibrary.org/obo/EUPATH_0000731,"During the last two weeks, what was the main source of drinking water for members of your household?",1,GEMS1
158,,4,F4A_TIME_WATER,gems1a_case_control_study_data,http://purl.obolibrary.org/obo/EUPATH_0000726,Time to retrieve drinking water,,Observation,Water information,http://purl.obolibrary.org/obo/EUPATH_0000731,"How long does it take to go there, get water and come back?",0,GEMS1
