colOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt
41,malariabehaviorhouse_data_2020-05-27_1622::vapor_used_when_rad,malariabehaviorhouse_data_2020-05-27_1622,,Household vaporizer use time,,,Household vector intervention,EUPATH_0000341,"If yes, when do you use them?","1, Daytime | 2, Evening | 3, Night  time | 4, Other, specify",variable,
43,malariabehaviorhouse_data_2020-05-27_1622::vapor_used_frequency,malariabehaviorhouse_data_2020-05-27_1622,,Household vaporizer use frequency,,,Household vector intervention,EUPATH_0000341,"If yes, how often do you use them?","1, Always | 2, Sometimes | 3, Rarely",variable,
44,malariabehaviorhouse_data_2020-05-27_1622::antimoz_spray_yn,malariabehaviorhouse_data_2020-05-27_1622,,Insecticide spray,,,Household mosquito repellent,,Use Insecticide spray,"1, Yes | 2, No",value,
45,malariabehaviorhouse_data_2020-05-27_1622::antimoz_dung_yn,malariabehaviorhouse_data_2020-05-27_1622,,Burning neem leaves or cow dung,,,Household mosquito repellent,,Use burning neem leaves or cow dung,"1, Yes | 2, No",value,
46,malariabehaviorhouse_data_2020-05-27_1622::antimoz_bushes_yn,malariabehaviorhouse_data_2020-05-27_1622,,Clear bushes around house,,,Household mosquito repellent,,Clear bushes around house,"1, Yes | 2, No",value,
47,malariabehaviorhouse_data_2020-05-27_1622::antimoz_stagnant_yn,malariabehaviorhouse_data_2020-05-27_1622,,Clear stagnant water pools around house,,,Household mosquito repellent,,Clear stagnant water pools around house,"1, Yes | 2, No",value,
48,malariabehaviorhouse_data_2020-05-27_1622::antimoz_windows_yn,malariabehaviorhouse_data_2020-05-27_1622,,Keep windows and door closed in evening,,,Household mosquito repellent,,Keep windows/door closed in evening,"1, Yes | 2, No",value,
49,malariabehaviorhouse_data_2020-05-27_1622::antimoz_screening_yn,malariabehaviorhouse_data_2020-05-27_1622,,Screening of windows,,,Household mosquito repellent,,Screening of windows,"1, Yes | 2, No",value,
50,malariabehaviorhouse_data_2020-05-27_1622::antimoz_other_yn,malariabehaviorhouse_data_2020-05-27_1622,,Other,,,Household mosquito repellent,,"Other, specify","1, Yes | 2, No",value,
51,malariabehaviorhouse_data_2020-05-27_1622::antimoz_other,malariabehaviorhouse_data_2020-05-27_1622,,Other household mosquito repellent,,,Household vector intervention,EUPATH_0000341,"if yes to Other, specify",,variable,
52,malariabehaviorhouse_data_2020-05-27_1622::spray_pastyear_rad,malariabehaviorhouse_data_2020-05-27_1622,,Bedrooms IRS treated,,,Household vector intervention,EUPATH_0000341,Has the bedroom of your house been sprayed with insecticide in the past year?,"1, Yes | 2, No | 3, Unknown",variable,
53,malariabehaviorhouse_data_2020-05-27_1622::know_medicines_yn,malariabehaviorhouse_data_2020-05-27_1622,,Antimalarial mediciation knowledge,Whether the participant knows of antimalarial medications,Participant,Malaria knowledge and attitudes,EUPATH_0024033,Do you know any antimalarial medicines?,,variable,Update the parentLabel in Southern Africa
54,malariabehaviorhouse_data_2020-05-27_1622::know_medicines_yes,malariabehaviorhouse_data_2020-05-27_1622,,Known antimalarial medications,Antimalarial medications the participant knows of,Participant,Malaria knowledge and attitudes,EUPATH_0024033,"If yes, which ones?",,variable,
,,,,Household medication,,,Household,PCO_0000024,,,category,
55,malariabehaviorhouse_data_2020-05-27_1622::medicine_at_home_rad,malariabehaviorhouse_data_2020-05-27_1622,,Household antimalarial medication available,There is antimalarial-medication in the household,,Household medication,,Do you keep antimalarial medicine at home?,"1, Yes, always | 2, Yes, sometimes | 3, No",variable,
56,malariabehaviorhouse_data_2020-05-27_1622::medicine_at_home_yes,malariabehaviorhouse_data_2020-05-27_1622,,Household antimalarial medication,Antimalarial medications present in the household,,Household medication,,"If yes, which medicines?",,variable,
,,malariabehaviorhouse_data_2020-05-27_1622,,Answered household questions,Whether the participant answered questions about the household,,Administrative information,EUPATH_0010035,,,"variable, derived",
3,malariabehaviorindiv_data_2020-05-27_1623::date,malariabehaviorindiv_data_2020-05-27_1623,EUPATH_0004991,Observation date,,,,,Date of interview,,variable,
4,malariabehaviorindiv_data_2020-05-27_1623::studied_before_rad,malariabehaviorindiv_data_2020-05-27_1623,,Enrolled in previous study,Whether the participant was enrolled in a previous India ICEMR study,,Administrative information,EUPATH_0010035,Participated before in malaria study?,"1, Yes | 2, No | 3, Unknown",variable,
5,malariabehaviorindiv_data_2020-05-27_1623::gender_rad,malariabehaviorindiv_data_2020-05-27_1623,PATO_0000047,Sex,,,,,Gender,"1, Male | 2, Female",variable,
6,malariabehaviorindiv_data_2020-05-27_1623::age,malariabehaviorindiv_data_2020-05-27_1623,OBI_0001169,Age,,,,,Age,,variable,
7,malariabehaviorindiv_data_2020-05-27_1623::head_of_household_yn,malariabehaviorindiv_data_2020-05-27_1623,EUPATH_0026005,Interviewee household head,,,,,Is this person the head of the household?,,variable,
8,malariabehaviorindiv_data_2020-05-27_1623::education_rad,malariabehaviorindiv_data_2020-05-27_1623,EUPATH_0000345,Education level,,,,,Highest level of education,"1, None | 2, Primary | 3, Secondary | 4, University | 5, Diploma | 6, Graduate or higher | 7, Other, specify",variable,
9,malariabehaviorindiv_data_2020-05-27_1623::education_other,malariabehaviorindiv_data_2020-05-27_1623,EUPATH_0000345,Education level,,,,,"if Other, specify",,variable,
10,malariabehaviorindiv_data_2020-05-27_1623::occupation_rad,malariabehaviorindiv_data_2020-05-27_1623,EUPATH_0000359,Occupation,,,,,Usual occupation,"1, Daily wage/labor | 2, Salaried service | 3, Self-employed/trade | 4, Houswife | 5, Student | 6, None | 7, Other, specify",variable,
11,malariabehaviorindiv_data_2020-05-27_1623::occupation_other,malariabehaviorindiv_data_2020-05-27_1623,EUPATH_0000359,Occupation,,,,,"if Other, specify",,variable,
12,malariabehaviorindiv_data_2020-05-27_1623::where_first_rad,malariabehaviorindiv_data_2020-05-27_1623,,Proposed malaria treatment source,Where the participant would seek treatment first if they had signs and symptoms of malaria,,Malaria knowledge and attitudes,EUPATH_0024033,"If you had signs and symptoms of malaria, where would you seek treatment first?","1, Asha | 2, Government local health center/clinic | 3, Private clinic | 4, Pharmacy | 5, Shop | 6, Use local herbs | 7, Use medicines I still have at home | 8, Nowhere | 9, I don't know | 10, Other (describe)",variable,
13,malariabehaviorindiv_data_2020-05-27_1623::first_treatment_other,malariabehaviorindiv_data_2020-05-27_1623,,Proposed malaria treatment source,Where the participant would seek treatment first if they had signs and symptoms of malaria,,Malaria knowledge and attitudes,EUPATH_0024033,"if Other, describe",,variable,
14,malariabehaviorindiv_data_2020-05-27_1623::how_soon_seek,malariabehaviorindiv_data_2020-05-27_1623,,Proposed time to seek malaria treatment,How soon after suspecting malaria the participant would seek treatment,,Malaria knowledge and attitudes,EUPATH_0024033,How soon after suspecting malaria would you seek treatment?,,variable,
15,malariabehaviorindiv_data_2020-05-27_1623::after_first_rad,malariabehaviorindiv_data_2020-05-27_1623,,"Proposed malaria treatment source, 2nd","If the first treatment did not help, where the participant would go next ",,Malaria knowledge and attitudes,EUPATH_0024033,"If the first treatment did not help, where would you go next? ","1, Asha | 2, Government local health center/clinic | 3, Private clinic | 4, Pharmacy | 5, Shop | 6, Use local herbs | 7, Use medicines I still have at home | 8, Nowhere | 9, I don't know | 10, Other (describe)",variable,
16,malariabehaviorindiv_data_2020-05-27_1623::after_first_other,malariabehaviorindiv_data_2020-05-27_1623,,"Proposed malaria treatment source, 2nd",,,Malaria knowledge and attitudes,EUPATH_0024033,"if Other, describe",,variable,
17,malariabehaviorindiv_data_2020-05-27_1623::mobile_phone_helps_rad,malariabehaviorindiv_data_2020-05-27_1623,,Mobile phone aids malaria treatment,Whether the participant thinks a mobile phone is helpful when they think they have malaria,,Malaria knowledge and attitudes,EUPATH_0024033,Do you think a mobile phone is helpful when you think you have malaria?,"1, Yes | 2, No | 3, Unknown",variable,
18,malariabehaviorindiv_data_2020-05-27_1623::mobile_phone_helps_yes,malariabehaviorindiv_data_2020-05-27_1623,,How mobile phone aids malaria treatment,How the participant thinks a mobile phone helps when they have malaria,,Malaria knowledge and attitudes,EUPATH_0024033,"if yes, can you describe how it helps?",,variable,
19,malariabehaviorindiv_data_2020-05-27_1623::dinner_time,malariabehaviorindiv_data_2020-05-27_1623,,Dinner time,,,Activity,EUPATH_0022066,At what time do you usually eat dinner?,,variable,
20,malariabehaviorindiv_data_2020-05-27_1623::dinner_where_rad,malariabehaviorindiv_data_2020-05-27_1623,,Dinner location,,,Activity,EUPATH_0022066,Where do you usually eat dinner?,"1, Inside the house | 2, Outside the house | 3, Location depends on season inside or outside | 4, Location changes every time | 5, Other, specify",variable,
,,,,Activities before bedtime,,,Activity,EUPATH_0022066,,,multifilter,
22,malariabehaviorindiv_data_2020-05-27_1623::activities_chk___1,malariabehaviorindiv_data_2020-05-27_1623,,Cooking,,,Activities before bedtime,,What activities do you usually do before bedtime?Cooking,,value,
23,malariabehaviorindiv_data_2020-05-27_1623::activities_chk___2,malariabehaviorindiv_data_2020-05-27_1623,,Sitting outside with friends,,,Activities before bedtime,,What activities do you usually do before bedtime?Sitting outside with friends,,value,
24,malariabehaviorindiv_data_2020-05-27_1623::activities_chk___3,malariabehaviorindiv_data_2020-05-27_1623,,Cleaning,,,Activities before bedtime,,What activities do you usually do before bedtime?Cleaning,,value,
25,malariabehaviorindiv_data_2020-05-27_1623::activities_chk___4,malariabehaviorindiv_data_2020-05-27_1623,,Traveling,,,Activities before bedtime,,What activities do you usually do before bedtime?Travelling,,value,
26,malariabehaviorindiv_data_2020-05-27_1623::activities_chk___5,malariabehaviorindiv_data_2020-05-27_1623,,Play on electronics or watch TV,,,Activities before bedtime,,What activities do you usually do before bedtime?Play on electronics or watch TV,,value,
27,malariabehaviorindiv_data_2020-05-27_1623::activities_chk___6,malariabehaviorindiv_data_2020-05-27_1623,,Other,,,Activities before bedtime,,"What activities do you usually do before bedtime?Other, specify",,value,
28,malariabehaviorindiv_data_2020-05-27_1623::activities_chk___7,malariabehaviorindiv_data_2020-05-27_1623,,Prefer not to answer,,,Activities before bedtime,,What activities do you usually do before bedtime?Does not want to answer,,value,
29,malariabehaviorindiv_data_2020-05-27_1623::activities_other,malariabehaviorindiv_data_2020-05-27_1623,,Other activity before bedtime,,,Activity,EUPATH_0022066,"if Other, specify",,variable,
30,malariabehaviorindiv_data_2020-05-27_1623::activities_where_rad,malariabehaviorindiv_data_2020-05-27_1623,,Activities before bedtime location,,,Activity,EUPATH_0022066,Are these activities inside or outside the house?,"1, Inside the house | 2, Outside the house | 3, Location depends on season inside or outside | 4, Location changes every time | 5, Other, specify",variable,
32,malariabehaviorindiv_data_2020-05-27_1623::activities_differ_yn,malariabehaviorindiv_data_2020-05-27_1623,,Seasonal change in activities before bedtime,Whether the activities differ by season,,Activity,EUPATH_0022066,Do the activities differ by season?,,variable,
33,malariabehaviorindiv_data_2020-05-27_1623::activities_differ_yes,malariabehaviorindiv_data_2020-05-27_1623,,Seasonal change in activities before bedtime description,How activities differ by season,,Activity,EUPATH_0022066,"If yes, please describe",,variable,
34,malariabehaviorindiv_data_2020-05-27_1623::bed_time,malariabehaviorindiv_data_2020-05-27_1623,NCIT_C64593,Bed time,,,,,At what time do you go to bed?,,variable,
35,malariabehaviorindiv_data_2020-05-27_1623::sleep_where_rad,malariabehaviorindiv_data_2020-05-27_1623,,Sleeping location,,,Sleeping habits,EUPATH_0020255,Where do you usually sleep?,"1, Inside the house | 2, Outside the house | 3, Location depends on season | 4, Location changes every time | 5, Other, specify",variable,
37,malariabehaviorindiv_data_2020-05-27_1623::awake_time,malariabehaviorindiv_data_2020-05-27_1623,EUPATH_0020163,Out of bed time,,,,,At what time do you get out of bed?,,variable,
38,malariabehaviorindiv_data_2020-05-27_1623::activities_before_six,malariabehaviorindiv_data_2020-05-27_1623,,Activites before 6 am,,,Activity,EUPATH_0022066,"If before 6 AM, what activities do you usually do before 6 AM?",,variable,
39,malariabehaviorindiv_data_2020-05-27_1623::before_six_where_rad,malariabehaviorindiv_data_2020-05-27_1623,,Activites before 6 am location,,,Activity,EUPATH_0022066,Are these activities inside or outside the house?,"1, Inside the house | 2, Outside the house | 3, Location depends on season | 4, Location changes every time | 5, Other, specify",variable,
41,malariabehaviorindiv_data_2020-05-27_1623::activities_seasonal_yn,malariabehaviorindiv_data_2020-05-27_1623,,Seasonal change in activites before 6 am,,,Activity,EUPATH_0022066,Do the activities differ by season?,,variable,
42,malariabehaviorindiv_data_2020-05-27_1623::activities_seasonal_yes,malariabehaviorindiv_data_2020-05-27_1623,,Seasonal change in activites before 6 am description,,,Activity,EUPATH_0022066,"if yes, please describe",,variable,
43,malariabehaviorindiv_data_2020-05-27_1623::toilet_night_yn,malariabehaviorindiv_data_2020-05-27_1623,,Go outside at night to toilet,,,,,Do you go out at night to go to the toilet?,,variable,
44,malariabehaviorindiv_data_2020-05-27_1623::clothes,malariabehaviorindiv_data_2020-05-27_1623,,Clothes type when outside,What type of clothes the participant wears outside or to work,,,,What clothes do you wear when you go out or go to work?,,variable,
45,malariabehaviorindiv_data_2020-05-27_1623::night_itn_yn,malariabehaviorindiv_data_2020-05-27_1623,,Use ITN,,,Personal vector intervention,EUPATH_0021097,Do you use an ITN at night?,,variable,
46,malariabehaviorindiv_data_2020-05-27_1623::night_itn_frequency,malariabehaviorindiv_data_2020-05-27_1623,,ITN use frequency,,,Personal vector intervention,EUPATH_0021097,"If yes, how often do you use the ITN?","1, Every night | 2, Most of the time | 3, Sometimes | 4, Rarely | 5, Only in rainy season | 6, Other, specify",variable,
47,malariabehaviorindiv_data_2020-05-27_1623::night_itn_frequency_other,malariabehaviorindiv_data_2020-05-27_1623,,ITN use frequency,,,Personal vector intervention,EUPATH_0021097,"if Other, specify",,variable,
48,malariabehaviorindiv_data_2020-05-27_1623::itn_lastnight_yn,malariabehaviorindiv_data_2020-05-27_1623,EUPATH_0000216,ITN last night,,,,,Did you use the ITN last night?,,variable,
49,malariabehaviorindiv_data_2020-05-27_1623::no_itn_reason,malariabehaviorindiv_data_2020-05-27_1623,EUPATH_0022168,Reason no ITN last night,,,,,"If you do not use an ITN, is there a specific reason?",,variable,
50,malariabehaviorindiv_data_2020-05-27_1623::cover_limbs_rad,malariabehaviorindiv_data_2020-05-27_1623,,Cover arms and legs in evening and early morning,,,Personal mosquito repellent,EUPATH_0000439,Do you cover your arms and legs during evening and early morning to prevent mosquito bites?,"1, Always | 2, Sometimes | 3, Rarely | 4, Never",value,
51,malariabehaviorindiv_data_2020-05-27_1623::cream_rad,malariabehaviorindiv_data_2020-05-27_1623,EUPATH_0021064,Cream or spray,,,,,Do you use an insecticide cream to prevent mosquito  bites?,"1, Always | 2, Sometimes | 3, Rarely | 4, Never",value,
52,malariabehaviorindiv_data_2020-05-27_1623::what_works_best,malariabehaviorindiv_data_2020-05-27_1623,,Best malaria prevention method,What the participant believes is the best way to prevent malaria,,Malaria knowledge and attitudes,EUPATH_0024033,What do you think works best to prevent malaria?,,variable,
53,malariabehaviorindiv_data_2020-05-27_1623::mal_pastyear_yn,malariabehaviorindiv_data_2020-05-27_1623,,Malaria in past year,,,Clinical history,OGMS_0000015,Have you been ill with malaria in the past 12 months?,,variable,
54,malariabehaviorindiv_data_2020-05-27_1623::mal_pastyear_frequency,malariabehaviorindiv_data_2020-05-27_1623,EUPATH_0000426,Malaria diagnoses in the past year (count),,,,,"If yes, How many times in the last 12 months?",,variable,
55,malariabehaviorindiv_data_2020-05-27_1623::mal_pastyear_lasttime,malariabehaviorindiv_data_2020-05-27_1623,EUPATH_0000427,Days since last malaria diagnosis,,,,,How long ago was the last time you had malaria?,,variable,
56,malariabehaviorindiv_data_2020-05-27_1623::mal_lasttime_treat_yn,malariabehaviorindiv_data_2020-05-27_1623,EUPATH_0022101,Treated for last malaria diagnosis,,,,,"For the last time, did you seek advice or treatment for malaria from any source?",,variable,
57,malariabehaviorindiv_data_2020-05-27_1623::mal_lasttime_treat_rad,malariabehaviorindiv_data_2020-05-27_1623,EUPATH_0000431,Where treated,,,,,"if yes, where did you go?","1, Asha | 2, Government local health center/clinic | 3, Private clinic | 4, Pharmacy | 5, Shop | 6, Use local herbs | 7, Use medicines I still have at home | 8, Nowhere | 9, I don't know | 10, Other (describe)",variable,
58,malariabehaviorindiv_data_2020-05-27_1623::mal_lasttime_treat_other,malariabehaviorindiv_data_2020-05-27_1623,EUPATH_0000431,Where treated,,,,,"if Other, describe",,variable,
59,malariabehaviorindiv_data_2020-05-27_1623::mal_lasttime_treat_start,malariabehaviorindiv_data_2020-05-27_1623,,Days from fever onset to treatment seeking,How many days from when the fever started until the participant sought treatment,,Days since last malaria diagnosis,EUPATH_0000427,How many days after the fever began did you seek the first treatment?,,variable,
60,malariabehaviorindiv_data_2020-05-27_1623::mal_tested_rad,malariabehaviorindiv_data_2020-05-27_1623,,Tested for malaria,,,Days since last malaria diagnosis,EUPATH_0000427,Were you tested for malaria?,"1, Yes | 2, No | 3, Unknown",variable,
61,malariabehaviorindiv_data_2020-05-27_1623::mal_tested_yes_pos,malariabehaviorindiv_data_2020-05-27_1623,,Malaria test result,,,Days since last malaria diagnosis,EUPATH_0000427,"If yes, was the test positive?","1, Yes | 2, No | 3, Unknown",variable,
62,malariabehaviorindiv_data_2020-05-27_1623::mal_tested_pos_treatstart,malariabehaviorindiv_data_2020-05-27_1623,,Days from malaria test until treatment started,,,Days since last malaria diagnosis,EUPATH_0000427,"If yes, how long did it take before you started treatment?",,variable,
63,malariabehaviorindiv_data_2020-05-27_1623::mal_lasttime_meds_yn,malariabehaviorindiv_data_2020-05-27_1623,EUPATH_0000428,Treated with antimalarials,,,,,At any time during the last episode of malaria did you take medicine for malaria?,,variable,
64,malariabehaviorindiv_data_2020-05-27_1623::mal_lasttimes_meds,malariabehaviorindiv_data_2020-05-27_1623,EUPATH_0000430,Antimalarial medications used,,,,,"If yes, which ones?",,variable,
65,malariabehaviorindiv_data_2020-05-27_1623::illnow_yn,malariabehaviorindiv_data_2020-05-27_1623,EUPATH_0000417,Ill now,,,,,Do you feel ill now or have you had fever in the last 48 hours?,,variable,
66,malariabehaviorindiv_data_2020-05-27_1623::illnow_symptoms,malariabehaviorindiv_data_2020-05-27_1623,EUPATH_0021002,Symptoms,,,,,Any symptoms? (describe),,variable,
67,malariabehaviorindiv_data_2020-05-27_1623::rdt_rad,malariabehaviorindiv_data_2020-05-27_1623,,"Plasmodium species, by RDT",,,Plasmodium in blood,EUPATH_0033308,RDT result,"1, Pf | 2, Pv | 3, Negative | 4, Not done",variable,
68,malariabehaviorindiv_data_2020-05-27_1623::samples_chk___1,malariabehaviorindiv_data_2020-05-27_1623,EUPATH_0021081,Blood smear sample,,,,,Blood smear,,variable,
69,malariabehaviorindiv_data_2020-05-27_1623::samples_chk___2,malariabehaviorindiv_data_2020-05-27_1623,EUPATH_0027004,RDT performed,,,,,RDT,,variable,
71,malariabehaviorindiv_data_2020-05-27_1623::old_part_num_yn,malariabehaviorindiv_data_2020-05-27_1623,,Previous participant ID retrieved,"If the participant was enrolled in a previous India ICEMR study, whether their previous participant ID was retrieved",,Administrative information,EUPATH_0010035,"If participated before, old participation number (x-sec survey) retrieved?",,variable,
72,malariabehaviorindiv_data_2020-05-27_1623::old_part_num_yes,malariabehaviorindiv_data_2020-05-27_1623,,Previous participant ID,,,Administrative information,EUPATH_0010035,"if Yes, number",,variable,
73,malariabehaviorindiv_data_2020-05-27_1623::old_house_num_yn,malariabehaviorindiv_data_2020-05-27_1623,,Previous household ID retrieved,"If the participant was enrolled in a previous India ICEMR study, whether their previous household ID was retrieved",,Administrative information,EUPATH_0010035,"If participated before, old household id (census number) retrieved? ",,variable,
74,malariabehaviorindiv_data_2020-05-27_1623::old_house_num_yes,malariabehaviorindiv_data_2020-05-27_1623,,Previous household ID,,,Administrative information,EUPATH_0010035,"if Yes, number",,variable,
78,malariabehaviorindiv_data_2020-05-27_1623::sample_date,malariabehaviorindiv_data_2020-05-27_1623,OBI_0001619,Sample collection date,,,,,Sample collected date,,variable,
6,raurkelamicroscopyne-mbi_data_2020-05-27_1634::mic_species___1,raurkelamicroscopyne-mbi_data_2020-05-27_1634,EUPATH_0021027,Negative,,,,,"1, Neg",,value,
7,raurkelamicroscopyne-mbi_data_2020-05-27_1634::mic_species___2,raurkelamicroscopyne-mbi_data_2020-05-27_1634,EUPATH_0021028,Plasmodium falciparum,,,,,"2, Pf",,value,
8,raurkelamicroscopyne-mbi_data_2020-05-27_1634::mic_species___3,raurkelamicroscopyne-mbi_data_2020-05-27_1634,EUPATH_0021029,Plasmodium vivax,,,,,"3, Pv",,value,
9,raurkelamicroscopyne-mbi_data_2020-05-27_1634::mic_species___4,raurkelamicroscopyne-mbi_data_2020-05-27_1634,EUPATH_0021030,Plasmodium malariae,,,,,"4, Pm",,value,
