entity,label,termType,variable,plabel
http://purl.obolibrary.org/obo/EUPATH_0021030,Plasmodium malariae,value,mic_species___4,"Plasmodium species, by microscopy"
http://purl.obolibrary.org/obo/EUPATH_0021029,Plasmodium vivax,value,mic_species___3,"Plasmodium species, by microscopy"
http://purl.obolibrary.org/obo/EUPATH_0021048,Negative,value,pcr_species___1,"Plasmodium species, by PCR"
http://purl.obolibrary.org/obo/EUPATH_0021049,Plasmodium falciparum,value,pcr_species___2,"Plasmodium species, by PCR"
http://purl.obolibrary.org/obo/EUPATH_0021051,Plasmodium malariae,value,pcr_species___4,"Plasmodium species, by PCR"
http://purl.obolibrary.org/obo/EUPATH_0021052,Plasmodium ovale,value,pcr_species___5,"Plasmodium species, by PCR"
http://purl.obolibrary.org/obo/EUPATH_0021050,Plasmodium vivax,value,pcr_species___3,"Plasmodium species, by PCR"
http://purl.obolibrary.org/obo/HP_0002027,Abdominal pain,value,symptoms_chk___10,Symptoms
http://purl.obolibrary.org/obo/HP_0002027,Abdominal pain,value,symptoms_chk_fu___10,Symptoms
http://purl.obolibrary.org/obo/SYMP_0000099,Aches or pains,value,symptoms_chk___3,Symptoms
http://purl.obolibrary.org/obo/SYMP_0000099,Aches or pains,value,symptoms_chk_fu___3,Symptoms
http://purl.obolibrary.org/obo/SYMP_0000523,Anorexia,value,symptoms_chk___6,Symptoms
http://purl.obolibrary.org/obo/SYMP_0000523,Anorexia,value,symptoms_chk_fu___6,Symptoms
http://purl.obolibrary.org/obo/EUPATH_0021089,Any symptoms,value,symptoms_rad_fu,Symptoms
http://purl.obolibrary.org/obo/EUPATH_0021089,Any symptoms,value,symptoms_yn,Symptoms
http://purl.obolibrary.org/obo/HP_0100749,Chest pain,value,symptoms_chk___15,Symptoms
http://purl.obolibrary.org/obo/HP_0100749,Chest pain,value,symptoms_chk_fu___15,Symptoms
http://purl.obolibrary.org/obo/SYMP_0019174,Chills,value,symptoms_chk___2,Symptoms
http://purl.obolibrary.org/obo/SYMP_0019174,Chills,value,symptoms_chk_fu___2,Symptoms
http://purl.obolibrary.org/obo/SYMP_0000614,Cough,value,symptoms_chk___7,Symptoms
http://purl.obolibrary.org/obo/SYMP_0000614,Cough,value,symptoms_chk_fu___7,Symptoms
http://purl.obolibrary.org/obo/DOID_13250,Diarrhea,value,symptoms_chk___11,Symptoms
http://purl.obolibrary.org/obo/DOID_13250,Diarrhea,value,symptoms_chk_fu___11,Symptoms
http://purl.obolibrary.org/obo/SYMP_0000610,Dizziness,value,symptoms_chk___8,Symptoms
http://purl.obolibrary.org/obo/SYMP_0000610,Dizziness,value,symptoms_chk_fu___8,Symptoms
http://purl.obolibrary.org/obo/HP_0030766,Ear pain,value,symptoms_chk___17,Symptoms
http://purl.obolibrary.org/obo/HP_0030766,Ear pain,value,symptoms_chk_fu___17,Symptoms
http://purl.bioontology.org/ontology/MEDDRA/10015958,Eye pain,value,symptoms_chk___13,Symptoms
http://purl.bioontology.org/ontology/MEDDRA/10015958,Eye pain,value,symptoms_chk_fu___13,Symptoms
http://purl.obolibrary.org/obo/SYMP_0019177,Fatigue,value,symptoms_chk___4,Symptoms
http://purl.obolibrary.org/obo/SYMP_0019177,Fatigue,value,symptoms_chk_fu___4,Symptoms
http://purl.obolibrary.org/obo/HP_0002315,Headache,value,symptoms_chk___1,Symptoms
http://purl.obolibrary.org/obo/HP_0002315,Headache,value,symptoms_chk_fu___1,Symptoms
http://purl.obolibrary.org/obo/HP_0003419,Lower back pain,value,symptoms_chk___12,Symptoms
http://purl.obolibrary.org/obo/HP_0003419,Lower back pain,value,symptoms_chk_fu___12,Symptoms
http://purl.obolibrary.org/obo/HP_0000980,Paleness,value,symptoms_chk___14,Symptoms
http://purl.obolibrary.org/obo/HP_0000980,Paleness,value,symptoms_chk_fu___14,Symptoms
http://purl.obolibrary.org/obo/DOID_0050486,Rash,value,symptoms_chk___16,Symptoms
http://purl.obolibrary.org/obo/DOID_0050486,Rash,value,symptoms_chk_fu___16,Symptoms
http://purl.obolibrary.org/obo/HP_0001744,Splenomegaly,value,symptoms_chk___18,Symptoms
http://purl.obolibrary.org/obo/HP_0001744,Splenomegaly,value,symptoms_chk_fu___18,Symptoms
http://purl.obolibrary.org/obo/HP_0000975,Sweating,value,symptoms_chk___9,Symptoms
http://purl.obolibrary.org/obo/HP_0000975,Sweating,value,symptoms_chk_fu___9,Symptoms
http://purl.obolibrary.org/obo/HP_0002013,Vomiting,value,symptoms_chk___5,Symptoms
http://purl.obolibrary.org/obo/HP_0002013,Vomiting,value,symptoms_chk_fu___5,Symptoms
http://purl.obolibrary.org/obo/EUPATH_0021047,Can't remember,value,pastyear_treat_by_chk___4,Where treated
http://purl.obolibrary.org/obo/EUPATH_0021044,Clinic or hospital,value,pastyear_treat_by_chk___1,Where treated
http://purl.obolibrary.org/obo/EUPATH_0021045,Private doctor,value,pastyear_treat_by_chk___2,Where treated
http://purl.obolibrary.org/obo/EUPATH_0021046,Self-treated,value,pastyear_treat_by_chk___3,Where treated
http://purl.obolibrary.org/obo/EUPATH_0010075,Height (cm),variable,height,Anthropometry
http://purl.obolibrary.org/obo/EUPATH_0000732,Weight (kg),variable,weight,Anthropometry
http://purl.obolibrary.org/obo/EUPATH_0000047,Hemoglobin (g/dL),variable,hemocue,Blood test
http://purl.obolibrary.org/obo/EUPATH_0000047,Hemoglobin (g/dL),variable,hemocue_fu,Blood test
http://purl.obolibrary.org/obo/EUPATH_0021118,"Chikungunya, by Advantage Chikungunya IgM Card RDT",variable,rdt_chik_jmitra_igm,Chikungunya
http://purl.obolibrary.org/obo/EUPATH_0021119,"Chikungunya, by SD Bioline Chikungunya IgM RDT",variable,rdt_chik_alere_igm,Chikungunya
http://purl.obolibrary.org/obo/EUPATH_0021107,"Chikungunya, by SD Bioline IgM ELISA",variable,igm_chik_rad,Chikungunya
http://purl.obolibrary.org/obo/EUPATH_0000427,Days since last malaria diagnosis,variable,pastyear_num_mo,Clinical history
http://purl.obolibrary.org/obo/EUPATH_0000426,Malaria diagnoses in the past year (count),variable,pastyear_num_dx,Clinical history
http://purl.obolibrary.org/obo/EUPATH_0000429,Antimalarial treatment date,variable,pastyear_treat_date,Days since last malaria diagnosis
http://purl.obolibrary.org/obo/EUPATH_0000428,Treated with antimalarials,variable,pastyear_treat_rad,Days since last malaria diagnosis
http://purl.obolibrary.org/obo/EUPATH_0000345,Education level,variable,education_rad,Demographics
http://purl.obolibrary.org/obo/PATO_0000047,Sex,variable,sex_rad,Demographics
http://purl.obolibrary.org/obo/EUPATH_0021123,"Dengue, by Panbio Dengue Early ELISA",variable,ns1_dengue_rad,Dengue
http://purl.obolibrary.org/obo/EUPATH_0021120,"Dengue, by Panbio Dengue IgM capture ELISA",variable,igm_dengue_rad,Dengue
http://purl.obolibrary.org/obo/EUPATH_0021110,"NS1 antigen, by Dengue Day 1 Test RDT",variable,rdt_dengue_jmitra_ns1,Dengue
http://purl.obolibrary.org/obo/EUPATH_0021114,"NS1 antigen, by Dengue Duo Test RDT",variable,rdt_dengue_alere_ns1,Dengue
http://purl.obolibrary.org/obo/EUPATH_0000036,Malaria-related diagnosis,variable,prelim_dx_rad,Diagnosis
http://purl.obolibrary.org/obo/EUPATH_0000359,Occupation,variable,occupation_rad,Employment
http://purl.obolibrary.org/obo/EUPATH_0000412,Existing illness,variable,existing_illness_yn,Immediate clinical history
http://purl.obolibrary.org/obo/EUPATH_0021096,Fever in last 2 weeks,variable,fever_2wk_yn,Immediate clinical history
http://purl.obolibrary.org/obo/EUPATH_0021106,Good health at last visit,variable,last_health_rad,Immediate clinical history
http://purl.obolibrary.org/obo/EUPATH_0021105,Malaria treatment completed,variable,finish_treatment_rad,Immediate clinical history
http://purl.obolibrary.org/obo/EUPATH_0021101,Medication from outside source,variable,other_antis_rad,Immediate clinical history
http://purl.obolibrary.org/obo/EUPATH_0021100,Other health facility name,variable,other_facility_specify,Immediate clinical history
http://purl.obolibrary.org/obo/EUPATH_0021102,Other medication taken,variable,other_antis_specify,Immediate clinical history
http://purl.obolibrary.org/obo/EUPATH_0000411,Type of existing illness,variable,existing_illness_list,Immediate clinical history
http://purl.obolibrary.org/obo/EUPATH_0021099,Visited other health facility,variable,other_facility_rad,Immediate clinical history
http://purl.obolibrary.org/obo/EUPATH_0000417,Ill now,variable,illnow_rad_fu,Observation
http://purl.obolibrary.org/obo/EUPATH_0000417,Ill now,variable,illnow_yn,Observation
http://purl.obolibrary.org/obo/BFO_0000015,Observation type,variable,redcap_event_name,Observation
http://purl.obolibrary.org/obo/OBI_0001169,Age,variable,age,Observation details
http://purl.obolibrary.org/obo/OBI_0001169,Age,variable,age_fu,Observation details
http://purl.obolibrary.org/obo/EUPATH_0000191,Days since enrollment,variable,days_since_enrol,Observation details
http://purl.obolibrary.org/obo/EUPATH_0004991,Observation date,variable,date,Observation details
http://purl.obolibrary.org/obo/EUPATH_0004991,Observation date,variable,date_eos,Observation details
http://purl.obolibrary.org/obo/EUPATH_0004991,Observation date,variable,date_fu,Observation details
http://purl.obolibrary.org/obo/EUPATH_0023052,Observation time,variable,time,Observation details
http://purl.obolibrary.org/obo/EUPATH_0000095,Participant ID,variable,sid,Participant
http://purl.obolibrary.org/obo/EUPATH_0021104,Study completion status,variable,departure_rad,Participant study details
http://purl.obolibrary.org/obo/EUPATH_0021087,Diastolic blood pressure (mmHg),derived variable,diastolic_bp,Physical examination
http://purl.obolibrary.org/obo/EUPATH_0021086,Systolic blood pressure (mmHg),derived variable,systolic_bp,Physical examination
http://purl.obolibrary.org/obo/EUPATH_0000110,Temperature (C),variable,temperature,Physical examination
http://purl.obolibrary.org/obo/EUPATH_0000110,Temperature (C),variable,temperature_fu,Physical examination
http://purl.obolibrary.org/obo/EUPATH_0000550,"Plasmodium falciparum asexual stage density (per uL blood), by microscopy",derived variable,pfal_a,Plasmodium
http://purl.obolibrary.org/obo/EUPATH_0000546,"Plasmodium falciparum gametocyte density (per uL blood), by microscopy",derived variable,pfal_g,Plasmodium
http://purl.obolibrary.org/obo/EUPATH_0000551,"Plasmodium vivax asexual stage density (per uL blood), by microscopy",derived variable,pviv_a,Plasmodium
http://purl.obolibrary.org/obo/EUPATH_0000547,"Plasmodium vivax gametocyte density (per uL blood), by microscopy",derived variable,pviv_g,Plasmodium
http://purl.obolibrary.org/obo/EUPATH_0021127,"Scrub typhus OD value, by DetectTM IgM ELISA result",variable,igm_typhus_od,Raw bacteria data
http://purl.obolibrary.org/obo/EUPATH_0021109,"Chikungunya OD cutoff value, SD Bioline IgM ELISA",variable,igm_chik_cutoff,Raw virus data
http://purl.obolibrary.org/obo/EUPATH_0021108,"Chikungunya OD value, by SD Bioline IgM ELISA result",variable,igm_chik_od,Raw virus data
http://purl.obolibrary.org/obo/EUPATH_0021125,"Dengue OD cutoff value, Panbio Dengue Early ELISA",variable,ns1_dengue_cutoff,Raw virus data
http://purl.obolibrary.org/obo/EUPATH_0021122,"Dengue OD cutoff value, Panbio Dengue IgM capture ELISA",variable,igm_dengue_cutoff,Raw virus data
http://purl.obolibrary.org/obo/EUPATH_0021124,"Dengue OD value, by Panbio Dengue Early ELISA result",variable,ns1_dengue_od,Raw virus data
http://purl.obolibrary.org/obo/EUPATH_0021121,"Dengue OD value, by Panbio Dengue IgM capture ELISA result",variable,igm_dengue_od,Raw virus data
http://purl.obolibrary.org/obo/EUPATH_0021137,"Salmonella typhi, by PCR",variable,pcr_result,Salmonella
http://purl.obolibrary.org/obo/OBI_0001619,Sample collection date,variable,igm_chik_scd,Sample collection
http://purl.obolibrary.org/obo/OBI_0001619,Sample collection date,variable,igm_dengue_scd,Sample collection
http://purl.obolibrary.org/obo/OBI_0001619,Sample collection date,variable,igm_typhus_scd,Sample collection
http://purl.obolibrary.org/obo/OBI_0001619,Sample collection date,variable,mic_sample_collect_date,Sample collection
http://purl.obolibrary.org/obo/OBI_0001619,Sample collection date,variable,ns1_dengue_scd,Sample collection
http://purl.obolibrary.org/obo/OBI_0001619,Sample collection date,variable,pcr_scd,Sample collection
http://purl.obolibrary.org/obo/OBI_0001619,Sample collection date,variable,rdt_scd,Sample collection
http://purl.obolibrary.org/obo/EUPATH_0021090,Fever in last 48hrs,variable,fever_48hr_rad_fu,Signs and symptoms
http://purl.obolibrary.org/obo/EUPATH_0021090,Fever in last 48hrs,variable,fever_48hr_yn,Signs and symptoms
http://purl.obolibrary.org/obo/EUPATH_0000445,Country visited,variable,travel_2wk_country,Travel details
http://purl.obolibrary.org/obo/EUPATH_0000446,District visited,variable,travel_2wk_district,Travel details
http://purl.obolibrary.org/obo/EUPATH_0000447,State visited,variable,travel_2wk_state,Travel details
http://purl.obolibrary.org/obo/EUPATH_0000448,Taluk visited,variable,travel_2wk_taluk,Travel details
http://purl.obolibrary.org/obo/EUPATH_0000450,Traveled in last 2 weeks,variable,travel_2wk_yn,Travel details
http://purl.obolibrary.org/obo/EUPATH_0000449,Village visited,variable,travel_2wk_village,Travel details
http://purl.obolibrary.org/obo/EUPATH_0021091,Antimalarial medication in last 2 weeks,variable,drugs_2wk_codes,Treatment
http://purl.obolibrary.org/obo/EUPATH_0021103,Medication provided,variable,meds_thisvisit,Treatment
http://purl.obolibrary.org/obo/EUPATH_0000443,On fever suppressant,variable,suppressant_now_rad_fu,Treatment
http://purl.obolibrary.org/obo/EUPATH_0000443,On fever suppressant,variable,suppressant_now_yn,Treatment
http://purl.obolibrary.org/obo/EUPATH_0000410,Took antimalarial medication,variable,drugs_2wk_yn,Treatment
http://purl.obolibrary.org/obo/EUPATH_0021126,"Scrub typhus, by DetectTM IgM ELISA",variable,igm_typhus_rad,Typhus
