uniqueVar,dataSet,variable,dataFile,variable_dataFile,file,colOrder,type,example,dateTime,formatCode,minValue,maxValue,values,uniqueValueCount,percentMissing,flag,keepDiscard,definition,category,termType,notesForOnt,notesForProvider
elicit_data_for_plos_reshaped_v2::cef_walk_10mins_prim_watersrc,ELICIT,cef_walk_10mins_prim_watersrc,elicit_data_for_plos_reshaped_v2,cef_walk_10mins_prim_watersrc,ELICIT_data_for_PLOS_reshaped_v2.csv,23,int,0,NA,NA,0,1,0 to 1,2,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::cef_treat_water,ELICIT,cef_treat_water,elicit_data_for_plos_reshaped_v2,cef_treat_water,ELICIT_data_for_PLOS_reshaped_v2.csv,24,int,0,NA,NA,0,1,0 to 1,2,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::cef_treat_water_how,ELICIT,cef_treat_water_how,elicit_data_for_plos_reshaped_v2,cef_treat_water_how,ELICIT_data_for_PLOS_reshaped_v2.csv,25,int,6,NA,NA,1,7,1 to 7,6,0.982282966,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::cef_toilet,ELICIT,cef_toilet,elicit_data_for_plos_reshaped_v2,cef_toilet,ELICIT_data_for_PLOS_reshaped_v2.csv,26,int,2,NA,NA,1,4,1 to 4,4,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::cef_have_mattress,ELICIT,cef_have_mattress,elicit_data_for_plos_reshaped_v2,cef_have_mattress,ELICIT_data_for_PLOS_reshaped_v2.csv,27,int,1,NA,NA,0,1,0 to 1,2,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::cef_own_table,ELICIT,cef_own_table,elicit_data_for_plos_reshaped_v2,cef_own_table,ELICIT_data_for_PLOS_reshaped_v2.csv,28,int,1,NA,NA,0,1,0 to 1,2,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::cef_own_chair_or_bench,ELICIT,cef_own_chair_or_bench,elicit_data_for_plos_reshaped_v2,cef_own_chair_or_bench,ELICIT_data_for_PLOS_reshaped_v2.csv,29,int,1,NA,NA,0,1,0 to 1,2,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::cef_separate_kitchen,ELICIT,cef_separate_kitchen,elicit_data_for_plos_reshaped_v2,cef_separate_kitchen,ELICIT_data_for_PLOS_reshaped_v2.csv,30,int,1,NA,NA,0,1,0 to 1,2,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::cef_refrigerator,ELICIT,cef_refrigerator,elicit_data_for_plos_reshaped_v2,cef_refrigerator,ELICIT_data_for_PLOS_reshaped_v2.csv,31,int,0,NA,NA,0,1,0 to 1,2,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::cef_television,ELICIT,cef_television,elicit_data_for_plos_reshaped_v2,cef_television,ELICIT_data_for_PLOS_reshaped_v2.csv,32,int,0,NA,NA,0,1,0 to 1,2,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::cef_mobile_telephone,ELICIT,cef_mobile_telephone,elicit_data_for_plos_reshaped_v2,cef_mobile_telephone,ELICIT_data_for_PLOS_reshaped_v2.csv,33,int,1,NA,NA,0,1,0 to 1,2,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::cef_bank_account,ELICIT,cef_bank_account,elicit_data_for_plos_reshaped_v2,cef_bank_account,ELICIT_data_for_PLOS_reshaped_v2.csv,34,int,0,NA,NA,0,1,0 to 1,2,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::cef_avg_mthly_income,ELICIT,cef_avg_mthly_income,elicit_data_for_plos_reshaped_v2,cef_avg_mthly_income,ELICIT_data_for_PLOS_reshaped_v2.csv,35,dbl,30000,NA,NA,1500,6.00E+05,1500 to 6e+05,44,0.851430018,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::in.usd,ELICIT,in.usd,elicit_data_for_plos_reshaped_v2,in.usd,ELICIT_data_for_PLOS_reshaped_v2.csv,36,dbl,12.9,NA,NA,0.645,258,0.645 to 258,44,0.851430018,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::incat,ELICIT,incat,elicit_data_for_plos_reshaped_v2,incat,ELICIT_data_for_PLOS_reshaped_v2.csv,37,int,0,NA,NA,0,7,0 to 7,8,0.851430018,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::impsan,ELICIT,impsan,elicit_data_for_plos_reshaped_v2,impsan,ELICIT_data_for_PLOS_reshaped_v2.csv,38,int,0,NA,NA,0,4,0 to 4,2,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::newdrink,ELICIT,newdrink,elicit_data_for_plos_reshaped_v2,newdrink,ELICIT_data_for_PLOS_reshaped_v2.csv,39,int,0,NA,NA,0,4,0 to 4,2,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::asset,ELICIT,asset,elicit_data_for_plos_reshaped_v2,asset,ELICIT_data_for_PLOS_reshaped_v2.csv,40,int,5,NA,NA,0,7,0 to 7,8,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::water,ELICIT,water,elicit_data_for_plos_reshaped_v2,water,ELICIT_data_for_PLOS_reshaped_v2.csv,41,int,0,NA,NA,0,8,0 to 8,3,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::wami,ELICIT,wami,elicit_data_for_plos_reshaped_v2,wami,ELICIT_data_for_PLOS_reshaped_v2.csv,42,dbl,0.15625,NA,NA,0,0.875,0 to 0.875,48,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::ses,ELICIT,ses,elicit_data_for_plos_reshaped_v2,ses,ELICIT_data_for_PLOS_reshaped_v2.csv,43,int,1,NA,NA,1,4,1 to 4,4,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::firstborn,ELICIT,firstborn,elicit_data_for_plos_reshaped_v2,firstborn,ELICIT_data_for_PLOS_reshaped_v2.csv,44,int,0,NA,NA,0,1,0 to 1,2,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::ward,ELICIT,ward,elicit_data_for_plos_reshaped_v2,ward,ELICIT_data_for_PLOS_reshaped_v2.csv,45,chr,Haydom,NA,NA,n/a,n/a,"Endamilay, Garawja, Geterer, Hayderer, Haydom, Maghang, Mwanga, Other, NA",8,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::village,ELICIT,village,elicit_data_for_plos_reshaped_v2,village,ELICIT_data_for_PLOS_reshaped_v2.csv,46,chr,ENDAHARGHADAKT,NA,NA,n/a,n/a,>10 unique values,25,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::agedays_laz,ELICIT,agedays_laz,elicit_data_for_plos_reshaped_v2,agedays_laz,ELICIT_data_for_PLOS_reshaped_v2.csv,47,int,4,NA,NA,0,653,0 to 653,254,0.050999747,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::laz,ELICIT,laz,elicit_data_for_plos_reshaped_v2,laz,ELICIT_data_for_PLOS_reshaped_v2.csv,48,dbl,-0.89,NA,NA,-5.81,3.51,-5.81 to 3.51,613,0.050999747,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::mean_laz,ELICIT,mean_laz,elicit_data_for_plos_reshaped_v2,mean_laz,ELICIT_data_for_PLOS_reshaped_v2.csv,49,dbl,-0.796539763,NA,NA,-0.796539763,-0.796539763,-0.796539763113367 to -0.796539763113367,1,0.850417616,NA,keep,later discarded,,,,
elicit_data_for_plos_reshaped_v2::agedays_waz,ELICIT,agedays_waz,elicit_data_for_plos_reshaped_v2,agedays_waz,ELICIT_data_for_PLOS_reshaped_v2.csv,50,int,4,NA,NA,0,653,0 to 653,230,0.04732979,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::waz,ELICIT,waz,elicit_data_for_plos_reshaped_v2,waz,ELICIT_data_for_PLOS_reshaped_v2.csv,51,dbl,-1.09,NA,NA,-5.14,2.88,-5.14 to 2.88,594,0.04732979,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::mean_waz,ELICIT,mean_waz,elicit_data_for_plos_reshaped_v2,mean_waz,ELICIT_data_for_PLOS_reshaped_v2.csv,52,dbl,-0.606912014,NA,NA,-0.606912014,-0.606912014,-0.606912013536379 to -0.606912013536379,1,0.850417616,NA,keep,later discarded,,,,
elicit_data_for_plos_reshaped_v2::agedays_hcz,ELICIT,agedays_hcz,elicit_data_for_plos_reshaped_v2,agedays_hcz,ELICIT_data_for_PLOS_reshaped_v2.csv,53,int,4,NA,NA,0,653,0 to 653,256,0.049101493,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::hcz,ELICIT,hcz,elicit_data_for_plos_reshaped_v2,hcz,ELICIT_data_for_PLOS_reshaped_v2.csv,54,dbl,0.11,NA,NA,-5.36,3.72,-5.36 to 3.72,588,0.049101493,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::mean_hcz,ELICIT,mean_hcz,elicit_data_for_plos_reshaped_v2,mean_hcz,ELICIT_data_for_PLOS_reshaped_v2.csv,55,dbl,-0.031150592,NA,NA,-0.031150592,-0.031150592,-0.0311505922165821 to -0.0311505922165821,1,0.850417616,NA,keep,later discarded,,,,
elicit_data_for_plos_reshaped_v2::agedays_maz,ELICIT,agedays_maz,elicit_data_for_plos_reshaped_v2,agedays_maz,ELICIT_data_for_PLOS_reshaped_v2.csv,56,int,542,NA,NA,91,653,91 to 653,223,0.350417616,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::maz,ELICIT,maz,elicit_data_for_plos_reshaped_v2,maz,ELICIT_data_for_PLOS_reshaped_v2.csv,57,dbl,0.98,NA,NA,-4.31,4.02,-4.31 to 4.02,487,0.350417616,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::muac,ELICIT,muac,elicit_data_for_plos_reshaped_v2,muac,ELICIT_data_for_PLOS_reshaped_v2.csv,58,dbl,16,NA,NA,10.2,19.5,10.2 to 19.5,59,0.86319919,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::mthr_weight,ELICIT,mthr_weight,elicit_data_for_plos_reshaped_v2,mthr_weight,ELICIT_data_for_PLOS_reshaped_v2.csv,59,dbl,57,NA,NA,32.5,98,32.5 to 98,262,0.859529233,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::mthr_height,ELICIT,mthr_height,elicit_data_for_plos_reshaped_v2,mthr_height,ELICIT_data_for_PLOS_reshaped_v2.csv,60,dbl,146.5,NA,NA,138.5,190,138.5 to 190,214,0.859655783,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::num.ebf,ELICIT,num.ebf,elicit_data_for_plos_reshaped_v2,num.ebf,ELICIT_data_for_PLOS_reshaped_v2.csv,61,int,1,NA,NA,0,6,0 to 6,7,0.851050367,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::num_saes,ELICIT,num_saes,elicit_data_for_plos_reshaped_v2,num_saes,ELICIT_data_for_PLOS_reshaped_v2.csv,62,int,0,NA,NA,0,5,0 to 5,6,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::num_sae_di,ELICIT,num_sae_di,elicit_data_for_plos_reshaped_v2,num_sae_di,ELICIT_data_for_PLOS_reshaped_v2.csv,63,int,0,NA,NA,0,4,0 to 4,5,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::num_sae_alri,ELICIT,num_sae_alri,elicit_data_for_plos_reshaped_v2,num_sae_alri,ELICIT_data_for_PLOS_reshaped_v2.csv,64,int,0,NA,NA,0,5,0 to 5,4,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::num_sae_sep,ELICIT,num_sae_sep,elicit_data_for_plos_reshaped_v2,num_sae_sep,ELICIT_data_for_PLOS_reshaped_v2.csv,65,int,0,NA,NA,0,1,0 to 1,2,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::num.saes.6,ELICIT,num.saes.6,elicit_data_for_plos_reshaped_v2,num.saes.6,ELICIT_data_for_PLOS_reshaped_v2.csv,66,int,0,NA,NA,0,4,0 to 4,5,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::num.sae.di.6,ELICIT,num.sae.di.6,elicit_data_for_plos_reshaped_v2,num.sae.di.6,ELICIT_data_for_PLOS_reshaped_v2.csv,67,int,0,NA,NA,0,4,0 to 4,5,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::num.sae.alri.6,ELICIT,num.sae.alri.6,elicit_data_for_plos_reshaped_v2,num.sae.alri.6,ELICIT_data_for_PLOS_reshaped_v2.csv,68,int,0,NA,NA,0,3,0 to 3,4,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::num.sae.sep.6,ELICIT,num.sae.sep.6,elicit_data_for_plos_reshaped_v2,num.sae.sep.6,ELICIT_data_for_PLOS_reshaped_v2.csv,69,int,0,NA,NA,0,1,0 to 1,2,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::num_aes,ELICIT,num_aes,elicit_data_for_plos_reshaped_v2,num_aes,ELICIT_data_for_PLOS_reshaped_v2.csv,70,int,12,NA,NA,0,15,0 to 15,16,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::num_ae_di,ELICIT,num_ae_di,elicit_data_for_plos_reshaped_v2,num_ae_di,ELICIT_data_for_PLOS_reshaped_v2.csv,71,int,4,NA,NA,0,8,0 to 8,9,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::num_ae_alri,ELICIT,num_ae_alri,elicit_data_for_plos_reshaped_v2,num_ae_alri,ELICIT_data_for_PLOS_reshaped_v2.csv,72,int,4,NA,NA,0,11,0 to 11,10,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::num_ae_fever,ELICIT,num_ae_fever,elicit_data_for_plos_reshaped_v2,num_ae_fever,ELICIT_data_for_PLOS_reshaped_v2.csv,73,int,0,NA,NA,0,3,0 to 3,4,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::num_ae_urti,ELICIT,num_ae_urti,elicit_data_for_plos_reshaped_v2,num_ae_urti,ELICIT_data_for_PLOS_reshaped_v2.csv,74,int,1,NA,NA,0,3,0 to 3,4,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::num.aes.6,ELICIT,num.aes.6,elicit_data_for_plos_reshaped_v2,num.aes.6,ELICIT_data_for_PLOS_reshaped_v2.csv,75,int,10,NA,NA,0,13,0 to 13,14,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::num.ae.di.6,ELICIT,num.ae.di.6,elicit_data_for_plos_reshaped_v2,num.ae.di.6,ELICIT_data_for_PLOS_reshaped_v2.csv,76,int,4,NA,NA,0,6,0 to 6,7,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::num.ae.alri.6,ELICIT,num.ae.alri.6,elicit_data_for_plos_reshaped_v2,num.ae.alri.6,ELICIT_data_for_PLOS_reshaped_v2.csv,77,int,2,NA,NA,0,7,0 to 7,8,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::num.ae.fever.6,ELICIT,num.ae.fever.6,elicit_data_for_plos_reshaped_v2,num.ae.fever.6,ELICIT_data_for_PLOS_reshaped_v2.csv,78,int,0,NA,NA,0,2,0 to 2,3,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::num.ae.urti.6,ELICIT,num.ae.urti.6,elicit_data_for_plos_reshaped_v2,num.ae.urti.6,ELICIT_data_for_PLOS_reshaped_v2.csv,79,int,1,NA,NA,0,3,0 to 3,4,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::amr_azi_etest,ELICIT,amr_azi_etest,elicit_data_for_plos_reshaped_v2,amr_azi_etest,ELICIT_data_for_PLOS_reshaped_v2.csv,80,dbl,24,NA,NA,1.5,256,1.5 to 256,20,0.963806631,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::last_month_completed,ELICIT,last_month_completed,elicit_data_for_plos_reshaped_v2,last_month_completed,ELICIT_data_for_PLOS_reshaped_v2.csv,81,int,18,NA,NA,1,18,1 to 18,18,0.851050367,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::impute_laz,ELICIT,impute_laz,elicit_data_for_plos_reshaped_v2,impute_laz,ELICIT_data_for_PLOS_reshaped_v2.csv,82,dbl,-0.89,NA,NA,-5.44,3.07,-5.44 to 3.07,298,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::impute_waz,ELICIT,impute_waz,elicit_data_for_plos_reshaped_v2,impute_waz,ELICIT_data_for_PLOS_reshaped_v2.csv,83,dbl,-1.09,NA,NA,-4.97,2.4,-4.97 to 2.4,376,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::impute_hcz,ELICIT,impute_hcz,elicit_data_for_plos_reshaped_v2,impute_hcz,ELICIT_data_for_PLOS_reshaped_v2.csv,84,dbl,0.11,NA,NA,-3.45,2.98,-3.45 to 2.98,291,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::impute_mthr_height,ELICIT,impute_mthr_height,elicit_data_for_plos_reshaped_v2,impute_mthr_height,ELICIT_data_for_PLOS_reshaped_v2.csv,85,dbl,146.5,NA,NA,138.5,190,138.5 to 190,215,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::impute_mthr_weight,ELICIT,impute_mthr_weight,elicit_data_for_plos_reshaped_v2,impute_mthr_weight,ELICIT_data_for_PLOS_reshaped_v2.csv,86,dbl,57,NA,NA,32.5,98,32.5 to 98,263,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::mitt,ELICIT,mitt,elicit_data_for_plos_reshaped_v2,mITT,ELICIT_data_for_PLOS_reshaped_v2.csv,87,int,1,NA,NA,0,1,0 to 1,2,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::mitt_waz,ELICIT,mitt_waz,elicit_data_for_plos_reshaped_v2,mITT_waz,ELICIT_data_for_PLOS_reshaped_v2.csv,88,int,1,NA,NA,0,1,0 to 1,2,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::mitt_hcz,ELICIT,mitt_hcz,elicit_data_for_plos_reshaped_v2,mITT_hcz,ELICIT_data_for_PLOS_reshaped_v2.csv,89,int,1,NA,NA,0,1,0 to 1,2,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::mitt_maz,ELICIT,mitt_maz,elicit_data_for_plos_reshaped_v2,mITT_maz,ELICIT_data_for_PLOS_reshaped_v2.csv,90,int,1,NA,NA,0,1,0 to 1,2,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::completed.study,ELICIT,completed.study,elicit_data_for_plos_reshaped_v2,completed.study,ELICIT_data_for_PLOS_reshaped_v2.csv,91,int,1,NA,NA,0,1,0 to 1,2,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::pp,ELICIT,pp,elicit_data_for_plos_reshaped_v2,pp,ELICIT_data_for_PLOS_reshaped_v2.csv,92,int,1,NA,NA,0,1,0 to 1,2,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::pt,ELICIT,pt,elicit_data_for_plos_reshaped_v2,pt,ELICIT_data_for_PLOS_reshaped_v2.csv,93,int,538,NA,NA,1,554,1 to 554,113,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::mbirth,ELICIT,mbirth,elicit_data_for_plos_reshaped_v2,mbirth,ELICIT_data_for_PLOS_reshaped_v2.csv,94,int,9,NA,NA,1,12,1 to 12,12,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::season,ELICIT,season,elicit_data_for_plos_reshaped_v2,season,ELICIT_data_for_PLOS_reshaped_v2.csv,95,chr,post-harvest,NA,NA,n/a,n/a,"post-harvest, pre-harvest, NA",2,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::lbw,ELICIT,lbw,elicit_data_for_plos_reshaped_v2,lbw,ELICIT_data_for_PLOS_reshaped_v2.csv,96,int,1,NA,NA,1,2,1 to 2,2,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::matagedif,ELICIT,matagedif,elicit_data_for_plos_reshaped_v2,matagedif,ELICIT_data_for_PLOS_reshaped_v2.csv,97,int,12,NA,NA,-4,29,-4 to 29,33,0.851303467,NA,keep,,,,,is this maternal age difference?
elicit_data_for_plos_reshaped_v2::crowd,ELICIT,crowd,elicit_data_for_plos_reshaped_v2,crowd,ELICIT_data_for_PLOS_reshaped_v2.csv,98,int,0,NA,NA,0,1,0 to 1,2,0.851303467,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::any_abx,ELICIT,any_abx,elicit_data_for_plos_reshaped_v2,any_abx,ELICIT_data_for_PLOS_reshaped_v2.csv,99,int,7,NA,NA,0,11,0 to 11,12,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::macrolides,ELICIT,macrolides,elicit_data_for_plos_reshaped_v2,macrolides,ELICIT_data_for_PLOS_reshaped_v2.csv,100,int,1,NA,NA,0,5,0 to 5,5,0.849658314,NA,keep,,,,,
elicit_data_for_plos_reshaped_v2::penicillins,ELICIT,penicillins,elicit_data_for_plos_reshaped_v2,penicillins,ELICIT_data_for_PLOS_reshaped_v2.csv,101,int,3,NA,NA,0,8,0 to 8,9,0.849658314,NA,keep,,,,,
