IRI,label,category,parentLabel,variable,dataFile,displayOrder,codebookDescription,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
EUPATH_0009046,Insulinoma-associated protein 2 autoantibodies,Participant,Diabetes-associated autoantibodies measurement,DiabImmune.txt::IA2A,DiabImmune.txt,3,Child has measured positive for insulinoma-associated protein 2 autoantibody (IA2A),,,,,,,,,,,,,
EUPATH_0009045,Glutamic acid decarboxylase autoantibodies,Participant,Diabetes-associated autoantibodies measurement,DiabImmune.txt::GADA,DiabImmune.txt,4,Child has measured positive for Glutamic acid decarboxylase antibodies (GADA),Child has measured positive for Islet cell autoantibodies (ICA),,,,,,,,,,,,
EUPATH_0009048,Islet cell autoantibodies,Participant,Diabetes-associated autoantibodies measurement,DiabImmune.txt::ICA,DiabImmune.txt,5,,,,,,,,,,,,,,
EUPATH_0009047,Zinc transporter 8 autoantibodies,Participant,Diabetes-associated autoantibodies measurement,DiabImmune.txt::ZNT8A,DiabImmune.txt,6,Child has measured positive for Zinc transporter 8 autoantibody (ZnT8A),,,,,,,,,,,,,
EUPATH_0009043,Type 1 diabetes diagnosed,Participant,Diagnosis history,DiabImmune.txt::t1d_diagnosed,DiabImmune.txt,1,,,,,,,,,,,,,,
EUPATH_0009042,Age at type 1 diabetes diagnosis,Participant,Diagnosis history,DiabImmune.txt::age_at_t1d_onset,DiabImmune.txt,2,Age when the child was diagnosed type 1 diabetes,,,,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,,
EUPATH_0009037,"HLA risk, by HLA haplotyping",Participant,Diagnosis history,DiabImmune.txt::HLA_risk_class,DiabImmune.txt,3,"HLA (human leukocyte antigen) risk class for T1D and autoimmunity determined by HLA haplotyping, value between 1-4, 1=slightly increase risk, 4=high risk.",,,,,,,,,,,,,yes
EUPATH_0009040,Diet in first three days,Participant,Diet,DiabImmune.txt::milk_first_three_days,DiabImmune.txt,1,"Milk feeding during the first three days of life: mother's breast milk, formula or something else (e.g. combination of beast milk and formula, or not reported)",,,,,,,,,,,,,
EUPATH_0011033,Age 1st animal milk or solids given,Participant,Diet,DiabImmune.txt::compound_solid_start_approx,DiabImmune.txt,2,Approximate age when the child first received solid food or non-human milk.,,,,,days,http://purl.obolibrary.org/obo/UO_0000033,,,,,,,
EUPATH_0009057,Age 1st given apple,Participant,Diet,DiabImmune.txt::compound_apple,DiabImmune.txt,3,,,,,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
EUPATH_0009058,Age 1st given banana,Participant,Diet,DiabImmune.txt::compound_banana,DiabImmune.txt,4,,,,,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
EUPATH_0009059,Age 1st given barley,Participant,Diet,DiabImmune.txt::compound_barley,DiabImmune.txt,5,,,,,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
EUPATH_0009060,Age 1st given beef,Participant,Diet,DiabImmune.txt::compound_beef,DiabImmune.txt,6,,,,,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
EUPATH_0009062,Age 1st given berries,Participant,Diet,DiabImmune.txt::compound_berries,DiabImmune.txt,7,,,,,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
EUPATH_0009063,Age 1st given cabbs,Participant,Diet,DiabImmune.txt::compound_cabbs,DiabImmune.txt,8,,,,,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
EUPATH_0009064,Age 1st given carrot,Participant,Diet,DiabImmune.txt::compound_carrot,DiabImmune.txt,9,,,,,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
EUPATH_0009065,Age 1st given corn,Participant,Diet,DiabImmune.txt::compound_corn,DiabImmune.txt,10,,,,,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
EUPATH_0009066,Age 1st given cowsmilk,Participant,Diet,DiabImmune.txt::compound_cowsmilk,DiabImmune.txt,11,,,,,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
EUPATH_0009067,Age 1st given egg,Participant,Diet,DiabImmune.txt::compound_egg,DiabImmune.txt,12,,,,,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
EUPATH_0009068,Age 1st given fish,Participant,Diet,DiabImmune.txt::compound_fish,DiabImmune.txt,13,,,,,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
EUPATH_0009071,Age 1st given milk products,Participant,Diet,DiabImmune.txt::compound_milkprod,DiabImmune.txt,14,,,,,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
EUPATH_0009072,Age 1st given oat,Participant,Diet,DiabImmune.txt::compound_oat,DiabImmune.txt,15,,,,,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
EUPATH_0009073,Age 1st given pear,Participant,Diet,DiabImmune.txt::compound_pear,DiabImmune.txt,16,,,,,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
EUPATH_0009074,Age 1st given peas,Participant,Diet,DiabImmune.txt::compound_peas,DiabImmune.txt,17,,,,,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
EUPATH_0009075,Age 1st given plum,Participant,Diet,DiabImmune.txt::compound_plum,DiabImmune.txt,18,,,,,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
EUPATH_0009076,Age 1st given pork,Participant,Diet,DiabImmune.txt::compound_pork,DiabImmune.txt,19,,,,,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
EUPATH_0009077,Age 1st given potato,Participant,Diet,DiabImmune.txt::compound_potato,DiabImmune.txt,20,,,,,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
EUPATH_0009078,Age 1st given poultry,Participant,Diet,DiabImmune.txt::compound_poultry,DiabImmune.txt,21,,,,,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
EUPATH_0009079,Age 1st given rice,Participant,Diet,DiabImmune.txt::compound_rice,DiabImmune.txt,22,,,,,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
EUPATH_0009080,Age 1st given rye,Participant,Diet,DiabImmune.txt::compound_rye,DiabImmune.txt,23,,,,,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
EUPATH_0009083,Age 1st given sweet potato,Participant,Diet,DiabImmune.txt::compound_sweetpota,DiabImmune.txt,24,,,,,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
EUPATH_0009084,Age 1st given tomato,Participant,Diet,DiabImmune.txt::compound_tomato,DiabImmune.txt,25,,,,,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
EUPATH_0009086,Age 1st given wheat,Participant,Diet,DiabImmune.txt::compound_wheat,DiabImmune.txt,26,,,,,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
EUPATH_0000581,Delivery mode,Participant,Labor and delivery,DiabImmune.txt::csection,DiabImmune.txt,,,,,,,,,,,,,,,
EUPATH_0009034,Maternal age at birth,Participant,Maternal clinical history,DiabImmune.txt::mom_age_at_birth,DiabImmune.txt,,,,,,,,,,,,,,,
UBERON_0000466,Host body habitat,Participant,Participant,DiabImmune.txt::body_habitat,DiabImmune.txt,,,,,,,,,,,,,,,
UBERON_0000463,Host body product,Participant,Participant,DiabImmune.txt::body_product,DiabImmune.txt,,,,,,,,,,,,,,,
UBERON_0000061,Host body site,Participant,Participant,DiabImmune.txt::body_site,DiabImmune.txt,,,,,,,,,,,,,,,
EUPATH_0000639,Study group,Participant,Participant,DiabImmune.txt::cohort,DiabImmune.txt,,,,,,,,,yes,,,,,,
OBI_0003071,Subject ID,Participant,Participant,DiabImmune.txt::subject,DiabImmune.txt,,,,,,,,,,everywhere,,,,,yes
EUPATH_0009360,"Gestational diabetes, by maternal report",Participant,Pregnancy,DiabImmune.txt::gestational_diabetes,DiabImmune.txt,,,,,,,,,,,,,,,
EUPATH_0009036,Mom reported antibiotic use during pregnancy,Participant,Pregnancy,DiabImmune.txt::abx_while_pregnant,DiabImmune.txt,,Whether the mother reported having gestational diabetes during pregnancy.,,,,,,,,,,,,,
OBI_0100051,Sample type,Sample,Sample details,DiabImmune.txt::sample_type,DiabImmune.txt,,Whetther the mother reported taking antibiotics during pregnancy.,,,,,,,,,,,,,
