uniqueVar,value,mappedTerm,
hh_member_12m::recommendation1,-9,:::UNDEF:::,
hh_member_12m::recommendation1,12,12,
hh_member_12m::recommendation1,"14,15","14,15",
hh_member_12m::recommendation1,15,15,
hh_member_12m::recommendation1,16,16,
hh_member_12m::recommendation1,"3,15,16","3,15,16",
hh_member_12m::recommendation1,"3,7,7,15","3,7,7,15",
hh_member_12m::recommendation1,"4,15","4,15",
hh_member_12m::recommendation1,5,5,
hh_member_12m::recommendation1,"5,15","5,15",
hh_member_12m::recommendation1,"5,16","5,16",
hh_member_12m::recommendation1,"5,7,15","5,7,15",
hh_member_12m::recommendation1,6,6,
hh_member_12m::recommendation1,"6,12","6,12",
hh_member_12m::recommendation1,"6,15","6,15",
hh_member_12m::recommendation1,7,7,
hh_member_12m::recommendation1,"7,10,15","7,10,15",
hh_member_12m::recommendation1,"7,15","7,15",
hh_member_12m::recommendation1,"7,7,12,15","7,7,12,15",
hh_member_12m::recommendation1,"7,7,15","7,7,15",
hh_member_12m::orecommendation1,-9,:::UNDEF:::,
hh_member_12m::orecommendation1,0,:::UNDEF:::,
hh_member_12m::orecommendation1,2 SYRRUPS BUT DONT KNOW THE NAMES,2 SYRRUPS BUT DONT KNOW THE NAMES,
hh_member_12m::orecommendation1,AL,AL,
hh_member_12m::orecommendation1,DEXA,DEXA,
hh_member_12m::orecommendation1,DON'T KNOW,DON'T KNOW,
hh_member_12m::orecommendation1,NO,NO,
hh_member_12m::orecommendation1,NO DRUGS,NO DRUGS,
hh_member_12m::orecommendation1,NONE,NONE,
hh_member_12m::orecommendation1,P-ALAXINE,P-ALAXINE,
hh_member_12m::consultcost,-9,:::UNDEF:::,
hh_member_12m::foodcost1,-9,:::UNDEF:::,
hh_member_12m::othercost1,-9,:::UNDEF:::,
hh_member_12m::othercost1,1,Medical Supplies,
hh_member_12m::othercost1,2,Inpatient stay,
hh_member_12m::othercost1,3,Other investigations,
hh_member_12m::othercost1,4,Other (specify),
hh_member_12m::othercost1,5,None,
hh_member_12m::othspecost1,-9,:::UNDEF:::,
hh_member_12m::othspecost1,3000SHS FOR GLOVES  1500SHS FOR INJECTION,Medical Supplies,
hh_member_12m::othspecost1,BOUGHT SYRUP AT 12000,Medication,
hh_member_12m::followupadv1,-9,:::UNDEF:::,
hh_member_12m::followupadv1,0,No,
hh_member_12m::followupadv1,1,Yes,
hh_member_12m::returnvisit1,-9,:::UNDEF:::,
hh_member_12m::secondprovider,-9,:::UNDEF:::,
hh_member_12m::secondprovider,0,Specific UMSP MRC,
hh_member_12m::secondprovider,1,Other public health facility,
hh_member_12m::secondprovider,2,Traditional healer,
hh_member_12m::secondprovider,3,Private pharmacy,
hh_member_12m::secondprovider,4,Private health facility,
hh_member_12m::secondprovider,5,Community Health Worker,
hh_member_12m::secondprovider,7,"Other, specify (DH note: map to dispensary)",
hh_member_12m::secondprovider,8,NGO health facility,
hh_member_12m::secondprovider,9,Dispensary,
hh_member_12m::secondprovider,10,Shop/Kiosk,
hh_member_12m::secondprovider,11,Petty Trader,
hh_member_12m::reasonprovider2,-9,:::UNDEF:::,
hh_member_12m::reasonprovider2,1,Proximity,
hh_member_12m::reasonprovider2,2,Good reputation,
hh_member_12m::reasonprovider2,3,Inexpensive,
hh_member_12m::reasonprovider2,4,Good personal experience,
hh_member_12m::reasonprovider2,5,Qualificaition of staff,
hh_member_12m::reasonprovider2,6,Availability of drugs,
hh_member_12m::reasonprovider2,8,Can get treatment on credit,
hh_member_12m::reasonprovider2,10,Other (specify),
hh_member_12m::totalcost2,-9,:::UNDEF:::,
hh_member_12m::distance2,-9,:::UNDEF:::,
hh_member_12m::transport2,-9,:::UNDEF:::,
hh_member_12m::transport2,1,Walk,
hh_member_12m::transport2,2,Bike,
hh_member_12m::transport2,3,Motorcycle / Boda boda,
hh_member_12m::journeypeople2,-9,:::UNDEF:::,
hh_member_12m::journeytime2,-9,:::UNDEF:::,
hh_member_12m::journeytime2,10 Minutes,10,
hh_member_12m::journeytime2,15 Minutes,15,
hh_member_12m::journeytime2,20 Minutes,20,
hh_member_12m::journeytime2,30 Minutes,30,
hh_member_12m::journeytime2,5 Minutes,5,
hh_member_12m::transportcost2,-9,:::UNDEF:::,
hh_member_12m::providerperson2,-9,:::UNDEF:::,
hh_member_12m::providerperson2,1,Doctor,
hh_member_12m::providerperson2,2,Medical assistant,
hh_member_12m::providerperson2,3,Nurse,
hh_member_12m::providerperson2,5,Pharmacist,
hh_member_12m::providerperson2,9,TBA (??),
hh_member_12m::overnight2,-9,:::UNDEF:::,
hh_member_12m::diagnosis2,-9,:::UNDEF:::,
hh_member_12m::diagnosis2,1,"Diagnostic test not advised, no test performed",
hh_member_12m::diagnosis2,3,"Diagnostic test advised, no test performed",
hh_member_12m::diagnosis2,4,"Diagnostic test advised, test performed",
hh_member_12m::test2,-9,:::UNDEF:::,
hh_member_12m::test2,1,RDT,
hh_member_12m::test2,3,Both RDT and microscopy,
hh_member_12m::testcost2,-9,:::UNDEF:::,
hh_member_12m::testresult2,-9,:::UNDEF:::,
hh_member_12m::testresult2,1,Positive,
hh_member_12m::testresult2,2,Negative,
hh_member_12m::wait2,-9,:::UNDEF:::,
hh_member_12m::wait2,0,0,
hh_member_12m::wait2,"00 HOURS, 10 MINUTES",10,
hh_member_12m::wait2,"01 HOUR, 30 MINUTES",90,
hh_member_12m::wait2,"01 HOURS, 40MINUTES",100,
hh_member_12m::wait2,"02,40",160,
hh_member_12m::wait2,10 MINUTES,10,
hh_member_12m::wait2,15 MINUTES,15,
hh_member_12m::wait2,2 HOURS,120,
hh_member_12m::wait2,20 MINUTES,20,
hh_member_12m::wait2,3 HOURS,180,
hh_member_12m::wait2,30,30,
hh_member_12m::wait2,30 MINUTES,30,
hh_member_12m::wait2,40,40,
hh_member_12m::wait2,60,60,
hh_member_12m::receivedrugs2,-9,:::UNDEF:::,
hh_member_12m::receivedrugs2,1,Received medicine,
hh_member_12m::receivedrugs2,2,Received prescription,
hh_member_12m::drugcode2,-9,:::UNDEF:::,
hh_member_12m::drugcode2,"1,6,8","1,6,8",
hh_member_12m::drugcode2,"1,8","1,8",
hh_member_12m::drugcode2,"1,8,9","1,8,9",
hh_member_12m::drugcode2,10,10,
hh_member_12m::drugcode2,2,2,
hh_member_12m::drugcode2,"4,8","4,8",
hh_member_12m::drugcode2,"5,8","5,8",
hh_member_12m::drugcode2,8,8,
hh_member_12m::drugcode2,"8,10","8,10",
hh_member_12m::drugcode2,"8,9","8,9",
hh_member_12m::drugcode2,9,9,
hh_member_12m::aldose2,-9,:::UNDEF:::,
hh_member_12m::alcost2,-9,:::UNDEF:::,
hh_member_12m::artedose2,-9,:::UNDEF:::,
hh_member_12m::artecost2,-9,:::UNDEF:::,
hh_member_12m::amoddose2,-9,:::UNDEF:::,
hh_member_12m::amodcost2,-9,:::UNDEF:::,
hh_member_12m::dpdose2,-9,:::UNDEF:::,
hh_member_12m::dpcost2,-9,:::UNDEF:::,
hh_member_12m::qndose2,-9,:::UNDEF:::,
hh_member_12m::qncost2,-9,:::UNDEF:::,
hh_member_12m::arteivdose2,-9,:::UNDEF:::,
hh_member_12m::arteivcost2,-9,:::UNDEF:::,
hh_member_12m::qnivdose2,-9,:::UNDEF:::,
hh_member_12m::qnivcost2,-9,:::UNDEF:::,
hh_member_12m::panadose2,-9,:::UNDEF:::,
hh_member_12m::panacost2,-9,:::UNDEF:::,
hh_member_12m::amoxdose2,-9,:::UNDEF:::,
hh_member_12m::amoxcost2,-9,:::UNDEF:::,
hh_member_12m::odrugdose2,-9,:::UNDEF:::,
hh_member_12m::odrugdose2,OTHER,Other,
hh_member_12m::odrugdose2,"P-ALAXINE, 9TABS, 20000","P-alaxine, 9 tabs, 20000",
hh_member_12m::recommendation2,-9,:::UNDEF:::,
hh_member_12m::recommendation2,16,16,
hh_member_12m::recommendation2,"9,15","9,15",
hh_member_12m::orecommendation2,-9,-9,
hh_member_12m::orecommendation2,AZITHROMYCIN,Azithromycin,
hh_member_12m::orecommendation2,BENZOETE,Benzoete,
hh_member_12m::orecommendation2,CEFTRIAXONE,Ceftriaxone,
hh_member_12m::consultcost2,-9,:::UNDEF:::,
hh_member_12m::foodcost2,-9,:::UNDEF:::,
hh_member_12m::othercost2,-9,:::UNDEF:::,
hh_member_12m::othercost2,5,None,
hh_member_12m::othspecost2,-9,:::UNDEF:::,
hh_member_12m::followupadv2,-9,:::UNDEF:::,
hh_member_12m::followupadv2,0,No,
hh_member_12m::followupadv2,1,Yes,
hh_member_12m::returnvisit2,-9,:::UNDEF:::,
hh_member_12m::hm_covid,Don't know,Don't know,
hh_member_12m::hm_covid,No,No,
hh_member_12m::hm_covid,Yes,Yes,
hh_member_12m::hm_covidtest,No,No,
hh_member_12m::hm_covidtest,Yes,Yes,
hh_member_12m::hmdatecovid,-9,:::UNDEF:::,
hh_member_12m::hmdatecovid,2-Aug-21,8/2/21,
hh_member_12m::hmdatecovid,3-Jan-22,1/3/22,
hh_member_12m::hmdatecovid,7-Jun-21,6/7/21,
hh_member_12m::hmdatecovid,8/8/21,8/8/21,
hh_member_12m::hmdatecovid,13-Dec-21,12/13/21,
hh_member_12m::hmdatecovid,13-Jul-21,7/13/21,
hh_member_12m::hmdatecovid,15-Jul-21,7/15/21,
hh_member_12m::hmdatecovid,20-May-21,5/20/21,
hh_member_12m::hmdatecovid,25-07-2020,7/25/20,
hh_member_12m::hmdatecovid,26-Jul-21,7/26/21,
hh_member_12m::hmdatecovid,28-Jun-21,6/28/21,
hh_member_12m::hmdatecovid,28/04/2021,4/28/21,
hh_member_12m::hmdatecovid,30-Aug-21,8/30/21,
hh_member_12m::hmdatecovid,31-Jul-21,7/31/21,
hh_member_12m::hmdatecovid,8/10/21,10/8/21,
hh_member_12m::hmdatecovid,8-Aug-21,8/8/21,
hh_member_12m::coughyn,-7,Don't know,
hh_member_12m::coughyn,-9,:::UNDEF:::,
hh_member_12m::coughyn,0,No,
hh_member_12m::coughyn,1,Yes,
hh_member_12m::coughyn,NA,:::UNDEF:::,
hh_member_12m::shortbryn,-7,Don't know,
hh_member_12m::shortbryn,-9,:::UNDEF:::,
hh_member_12m::shortbryn,0,No,
hh_member_12m::shortbryn,1,Yes,
hh_member_12m::shortbryn,NA,:::UNDEF:::,
hh_member_12m::sorethryn,-7,Don't know,
hh_member_12m::sorethryn,-9,:::UNDEF:::,
hh_member_12m::sorethryn,0,No,
hh_member_12m::sorethryn,1,Yes,
hh_member_12m::sorethryn,NA,:::UNDEF:::,
hh_member_12m::fatigueyn,-7,Don't know,
hh_member_12m::fatigueyn,-9,:::UNDEF:::,
hh_member_12m::fatigueyn,0,No,
hh_member_12m::fatigueyn,1,Yes,
hh_member_12m::fatigueyn,NA,:::UNDEF:::,
hh_member_12m::myalgiasyn,-7,Don't know,
hh_member_12m::myalgiasyn,-9,:::UNDEF:::,
hh_member_12m::myalgiasyn,0,No,
hh_member_12m::myalgiasyn,1,Yes,
hh_member_12m::myalgiasyn,NA,:::UNDEF:::,
hh_member_12m::fluyn,-7,Don't know,
hh_member_12m::fluyn,-9,:::UNDEF:::,
hh_member_12m::fluyn,0,No,
hh_member_12m::fluyn,1,Yes,
hh_member_12m::fluyn,NA,:::UNDEF:::,
hh_member_12m::anosmiayn,-7,Don't know,
hh_member_12m::anosmiayn,-9,:::UNDEF:::,
hh_member_12m::anosmiayn,0,No,
hh_member_12m::anosmiayn,1,Yes,
hh_member_12m::anosmiayn,NA,:::UNDEF:::,
hh_member_12m::headacheyn,-7,Don't know,
hh_member_12m::headacheyn,-9,:::UNDEF:::,
hh_member_12m::headacheyn,0,No,
hh_member_12m::headacheyn,1,Yes,
hh_member_12m::headacheyn,NA,:::UNDEF:::,
hh_member_12m::abdpainyn,-7,Don't know,
hh_member_12m::abdpainyn,-9,:::UNDEF:::,
hh_member_12m::abdpainyn,0,No,
hh_member_12m::abdpainyn,1,Yes,
hh_member_12m::abdpainyn,NA,:::UNDEF:::,
hh_member_12m::vomityn,-7,Don't know,
hh_member_12m::vomityn,-9,:::UNDEF:::,
hh_member_12m::vomityn,0,No,
hh_member_12m::vomityn,1,Yes,
hh_member_12m::vomityn,NA,:::UNDEF:::,
hh_member_12m::diarrhoeayn,-7,Don't know,
hh_member_12m::diarrhoeayn,-9,:::UNDEF:::,
hh_member_12m::diarrhoeayn,0,No,
hh_member_12m::diarrhoeayn,1,Yes,
hh_member_12m::diarrhoeayn,NA,:::UNDEF:::,
hh_member_12m::lungyn,-7,Don't know,
hh_member_12m::lungyn,-9,:::UNDEF:::,
hh_member_12m::lungyn,0,No,
hh_member_12m::lungyn,1,Yes,
hh_member_12m::lungyn,NA,:::UNDEF:::,
hh_member_12m::heartyn,-7,Don't know,
hh_member_12m::heartyn,-9,:::UNDEF:::,
hh_member_12m::heartyn,0,No,
hh_member_12m::heartyn,1,Yes,
hh_member_12m::heartyn,NA,:::UNDEF:::,
hh_member_12m::hypertension,Don't know,Don't know,
hh_member_12m::hypertension,NA,:::UNDEF:::,
hh_member_12m::hypertension,No,No,
hh_member_12m::hypertension,Skipped or N/A,:::UNDEF:::,
hh_member_12m::hypertension,Yes,Yes,
hh_member_12m::diabetes,-7,Don't know,
hh_member_12m::diabetes,-9,:::UNDEF:::,
hh_member_12m::diabetes,0,No,
hh_member_12m::diabetes,1,Yes,
hh_member_12m::diabetes,NA,:::UNDEF:::,
hh_member_12m::outsidevillage,-7,Don't know,
hh_member_12m::outsidevillage,-9,:::UNDEF:::,
hh_member_12m::outsidevillage,0,No,
hh_member_12m::outsidevillage,1,Yes,
hh_member_12m::outsidevillage,NA,:::UNDEF:::,
hh_member_12m::outsidecountry,-7,Don't know,
hh_member_12m::outsidecountry,-9,:::UNDEF:::,
hh_member_12m::outsidecountry,0,No,
hh_member_12m::outsidecountry,1,Yes,
hh_member_12m::outsidecountry,NA,:::UNDEF:::,
hh_member_12m::cntcovidphy,-7,Don't know,
hh_member_12m::cntcovidphy,-9,:::UNDEF:::,
hh_member_12m::cntcovidphy,0,No,
hh_member_12m::cntcovidphy,1,Yes,
hh_member_12m::cntcovidphy,NA,:::UNDEF:::,
hh_member_12m::carecovid,-7,Don't know,
hh_member_12m::carecovid,-9,:::UNDEF:::,
hh_member_12m::carecovid,0,No,
hh_member_12m::carecovid,1,Yes,
hh_member_12m::carecovid,NA,:::UNDEF:::,
hh_member_24m::age5to18,0,"No, not 5-18 years of age",
hh_member_24m::age5to18,1,"Yes, 5-18 years of age",
hh_member_24m::membereduclevel,No education/Never gone to school,No education/Never gone to school,
hh_member_24m::membereduclevel,Nursery,Nursery,
hh_member_24m::membereduclevel,Primary,Primary,
hh_member_24m::membereduclevel,Secondary,Secondary,
hh_member_24m::membereduclevel,Vocational,Vocational,
hh_member_24m::membereduclevel,skiped,:::UNDEF:::,
hh_member_24m::membergoschool,-9,:::UNDEF:::,
hh_member_24m::membergoschool,0,No,
hh_member_24m::membergoschool,1,Yes,
hh_member_24m::schlinsubcounty,-9,:::UNDEF:::,
hh_member_24m::schlinsubcounty,-7,Don't know,
hh_member_24m::schlinsubcounty,0,No,
hh_member_24m::schlinsubcounty,1,Yes,
hh_member_24m::memberclass,-9,:::UNDEF:::,
hh_member_24m::memberclass,0,Nursery,1
hh_member_24m::memberclass,1,Primary One,2
hh_member_24m::memberclass,2,Primary Two,3
hh_member_24m::memberclass,3,Primary Three,4
hh_member_24m::memberclass,4,Primary Four,5
hh_member_24m::memberclass,5,Primary Five,6
hh_member_24m::memberclass,6,Primary Six,7
hh_member_24m::memberclass,7,Primary Seven,8
hh_member_24m::memberclass,8,Senior One,9
hh_member_24m::memberclass,9,Senior Two,10
hh_member_24m::memberclass,10,Senior Three,11
hh_member_24m::memberclass,11,Senior Four,12
hh_member_24m::memberclass,12,Senior Five,13
hh_member_24m::memberclass,13,Senior Six,14
health_facility::newsiteid,1,Mubende District,
health_facility::newsiteid,2,Mubende District,
health_facility::newsiteid,3,Kayunga District,
health_facility::newsiteid,4,Kayunga District,
health_facility::newsiteid,5,Kyegegwa District,
health_facility::newsiteid,6,Kyegegwa District,
health_facility::newsiteid,7,Kibaale District,
health_facility::newsiteid,8,Kibaale District,
health_facility::newsiteid,9,Hoima District,
health_facility::newsiteid,10,Hoima District,
health_facility::newsiteid,11,Masindi District,
health_facility::newsiteid,12,Masindi District,
health_facility::newsiteid,13,Kiryandongo District,
health_facility::newsiteid,14,Kiryandongo District,
health_facility::newsiteid,15,Arua District,
health_facility::newsiteid,16,Arua District,
health_facility::newsiteid,17,Koboko District,
health_facility::newsiteid,18,Koboko District,
health_facility::newsiteid,19,Moyo District,
health_facility::newsiteid,20,Moyo District,
health_facility::newsiteid,21,Nwoya District,
health_facility::newsiteid,22,Nwoya District,
health_facility::newsiteid,23,Amuru District,
health_facility::newsiteid,24,Amuru District,
health_facility::newsiteid,25,Gulu District,
health_facility::newsiteid,26,Gulu District,
health_facility::newsiteid,27,Omoro District,
health_facility::newsiteid,28,Omoro District,
health_facility::newsiteid,29,Lamwo District,
health_facility::newsiteid,30,Lamwo District,
health_facility::newsiteid,31,Kitgum District,
health_facility::newsiteid,32,Kitgum District,
health_facility::newsiteid,33,Agago District,
health_facility::newsiteid,34,Agago District,
health_facility::newsiteid,35,Oyam District,
health_facility::newsiteid,36,Oyam District,
health_facility::newsiteid,37,Kole District,
health_facility::newsiteid,38,Kole District,
health_facility::newsiteid,39,Apac District,
health_facility::newsiteid,40,Apac District,
health_facility::newsiteid,41,Kwania District,
health_facility::newsiteid,42,Kwania District,
health_facility::newsiteid,43,Kaabong District,
health_facility::newsiteid,44,Kaabong District,
health_facility::newsiteid,45,Kapelebyong District,
health_facility::newsiteid,46,Kapelebyong District,
health_facility::newsiteid,47,Amuria District,
health_facility::newsiteid,48,Amuria District,
health_facility::newsiteid,49,Kumi District,
health_facility::newsiteid,50,Kumi District,
health_facility::newsiteid,51,Bukedea District,
health_facility::newsiteid,52,Bukedea District,
health_facility::newsiteid,53,Buyende District,
health_facility::newsiteid,54,Buyende District,
health_facility::newsiteid,55,Kaliro District,
health_facility::newsiteid,56,Kaliro District,
health_facility::newsiteid,57,Luuka District,
health_facility::newsiteid,58,Luuka District,
health_facility::newsiteid,59,Jinja District,
health_facility::newsiteid,60,Jinja District,
health_facility::newsiteid,61,Mayuge District,
health_facility::newsiteid,62,Mayuge District,
health_facility::newsiteid,63,Busia District,
health_facility::newsiteid,64,Busia District,
hh_12m::mrcname,Kasambya HCIII,Kasambya HCIII,
hh_12m::mrcname,Kiyuni HCIII,Kiyuni HCIII,
hh_12m::mrcname,Bbaale HCIV,Bbaale HCIV,
hh_12m::mrcname,Kangulumira HCIV,Kangulumira HCIV,
hh_12m::mrcname,Kyegegwa HCIV,Kyegegwa HCIV,
hh_12m::mrcname,Kakabara HCIII,Kakabara HCIII,
hh_12m::mrcname,Kibaale HCIV,Kibaale HCIV,
hh_12m::mrcname,Kyebando HCIII,Kyebando HCIII,
hh_12m::mrcname,Kigorobya HCIV,Kigorobya HCIV,
hh_12m::mrcname,Butema HCIII,Butema HCIII,
hh_12m::mrcname,Bwijanga HCIV,Bwijanga HCIV,
hh_12m::mrcname,Kyatiri HCIII,Kyatiri HCIII,
hh_12m::mrcname,Kigumba HCIII,Kigumba HCIII,
hh_12m::mrcname,Diima HCIII,Diima HCIII,
hh_12m::mrcname,Opia HCIII,Opia HCIII,
hh_12m::mrcname,Cilio HCIII,Cilio HCIII,
hh_12m::mrcname,Lobule HCIII,Lobule HCIII,
hh_12m::mrcname,Ayipe HCIII,Ayipe HCIII,
hh_12m::mrcname,Metu HCIII,Metu HCIII,
hh_12m::mrcname,Lefori HCIII,Lefori HCIII,
hh_12m::mrcname,Koch Goma HCIV,Koch Goma HCIV,
hh_12m::mrcname,Alero HCIII,Alero HCIII,
hh_12m::mrcname,Atiak HCIV,Atiak HCIV,
hh_12m::mrcname,Amuru HCIII,Amuru HCIII,
