# version-2			
health_facility::country	uganda	Uganda	
hh_member_12m::arteivdose1	-9	:::UNDEF:::	
hh_member_12m::arteivdose1	3	3 doses	
hh_member_12m::arteivdose2	-9	:::UNDEF:::	
hh_member_12m::arteivdose2	3	3 doses	
hh_12m::bankacco	0	No	
hh_12m::bankacco	1	Yes	
hh_24m::bankacco	-8	Refused to answer	
hh_24m::bankacco	0	No	
hh_24m::bankacco	1	Yes	
hh_12m::bed	0	No	
hh_12m::bed	1	Yes	
hh_24m::bed	0	No	
hh_24m::bed	1	Yes	
hh_12m::bicycle	0	No	
hh_12m::bicycle	1	Yes	
hh_24m::bicycle	0	No	
hh_24m::bicycle	1	Yes	
bednet_12m::brandnet	Dawa net	Dawa net	
bednet_12m::brandnet	Duranet	Duranet	
bednet_12m::brandnet	Interceptor	Interceptor	
bednet_12m::brandnet	KO net	KO net	
bednet_12m::brandnet	Kooper net	Kooper net	
bednet_12m::brandnet	LLIN NOS	LLIN, not otherwise specified	
bednet_12m::brandnet	No label	No label	
bednet_12m::brandnet	Not observed	Not observed	
bednet_12m::brandnet	Olyset Net	Olyset Net	
bednet_12m::brandnet	Olyset Net Plus	Olyset Net Plus	
bednet_12m::brandnet	PermaNet 2.0	PermaNet 2.0	
bednet_12m::brandnet	PermaNet 3.0	PermaNet 3.0	
bednet_12m::brandnet	Royal Guard	Royal Guard	
bednet_12m::brandnet	Safe net	Safe net	
bednet_12m::brandnet	Safi net	Safi net	
bednet_12m::brandnet	TANA LLIN	TANA LLIN	
bednet_12m::brandnet	Untreated net NOS	Untreated net, not otherwise specified	
bednet_12m::brandnet	Yorkool	Yorkool	
bednet_24m::brandnet	Dawa net	Dawa net	
bednet_24m::brandnet	Duranet	Duranet	
bednet_24m::brandnet	Interceptor	Interceptor	
bednet_24m::brandnet	KO net	KO net	
bednet_24m::brandnet	Kooper net	Kooper net	
bednet_24m::brandnet	LLIN NOS	LLIN, not otherwise specified	
bednet_24m::brandnet	Lucky net	Lucky net	
bednet_24m::brandnet	MAGNet	MAGNet	
bednet_24m::brandnet	Netprotect	Netprotect	
bednet_24m::brandnet	No label	No label	
bednet_24m::brandnet	Not observed	Not observed	
bednet_24m::brandnet	Olyset Net	Olyset Net	
bednet_24m::brandnet	Olyset Net Plus	Olyset Net Plus	
bednet_24m::brandnet	PermaNet 2.0	PermaNet 2.0	
bednet_24m::brandnet	PermaNet 3.0	PermaNet 3.0	
bednet_24m::brandnet	Royal Guard	Royal Guard	
bednet_24m::brandnet	Safe net	Safe net	
bednet_24m::brandnet	Safi net	Safi net	
bednet_24m::brandnet	Untreated net NOS	Untreated net, not otherwise specified	
bednet_24m::brandnet	Victoria	Victoria	
bednet_24m::brandnet	Yorkool	Yorkool	
hh_member_12m::brandnetlastnight	Dawa net	Dawa net	
hh_member_12m::brandnetlastnight	Duranet	Duranet	
hh_member_12m::brandnetlastnight	Interceptor	Interceptor	
hh_member_12m::brandnetlastnight	KO net	KO net	
hh_member_12m::brandnetlastnight	LLIN NOS	LLIN, not otherwise specified	
hh_member_12m::brandnetlastnight	NA	:::UNDEF:::	
hh_member_12m::brandnetlastnight	No label	No label	
hh_member_12m::brandnetlastnight	Not observed	Not observed	
hh_member_12m::brandnetlastnight	Olyset Net	Olyset Net	
hh_member_12m::brandnetlastnight	Olyset Net Plus	Olyset Net Plus	
hh_member_12m::brandnetlastnight	PermaNet 2.0	PermaNet 2.0	
hh_member_12m::brandnetlastnight	PermaNet 3.0	PermaNet 3.0	
hh_member_12m::brandnetlastnight	Royal Guard	Royal Guard	
hh_member_12m::brandnetlastnight	Safe net	Safe net	
hh_member_12m::brandnetlastnight	Safi net	Safi net	
hh_member_12m::brandnetlastnight	TANA LLIN	TANA LLIN	
hh_member_12m::brandnetlastnight	Untreated net NOS	Untreated net, not otherwise specified	
hh_member_12m::brandnetlastnight	Yorkool	Yorkool	
hh_member_24m::brandnetlastnight	Dawa net	Dawa net	
hh_member_24m::brandnetlastnight	Duranet	Duranet	
hh_member_24m::brandnetlastnight	Interceptor	Interceptor	
hh_member_24m::brandnetlastnight	KO net	KO net	
hh_member_24m::brandnetlastnight	LLIN NOS	LLIN, not otherwise specified	
hh_member_24m::brandnetlastnight	Lucky net	Lucky net	
hh_member_24m::brandnetlastnight	MAGNet	MAGNet	
hh_member_24m::brandnetlastnight	NA	:::UNDEF:::	
hh_member_24m::brandnetlastnight	Netprotect	Netprotect	
hh_member_24m::brandnetlastnight	No label	No label	
hh_member_24m::brandnetlastnight	Not observed	Not observed	
hh_member_24m::brandnetlastnight	Olyset Net	Olyset Net	
hh_member_24m::brandnetlastnight	Olyset Net Plus	Olyset Net Plus	
hh_member_24m::brandnetlastnight	PermaNet 2.0	PermaNet 2.0	
hh_member_24m::brandnetlastnight	PermaNet 3.0	PermaNet 3.0	
hh_member_24m::brandnetlastnight	Royal Guard	Royal Guard	
hh_member_24m::brandnetlastnight	Safe net	Safe net	
hh_member_24m::brandnetlastnight	Safi net	Safi net	
hh_member_24m::brandnetlastnight	Untreated net NOS	Untreated net, not otherwise specified	
hh_member_24m::brandnetlastnight	Victoria	Victoria	
hh_member_24m::brandnetlastnight	Yorkool	Yorkool	
hh_member_12m::bsdich	0	Negative	
hh_member_12m::bsdich	1	Positive	
hh_member_12m::bsdich	NA	:::UNDEF:::	
hh_member_24m::bsdich	0	Negative	
hh_member_24m::bsdich	1	Positive	
hh_member_24m::bsdich	NA	:::UNDEF:::	
hh_member_12m::bsdone	1	Yes	
hh_member_12m::bsdone	NA	:::UNDEF:::	
hh_member_24m::bsdone	1	Yes	
hh_member_24m::bsdone	NA	:::UNDEF:::	
hh_12m::car	0	No	
hh_12m::car	1	Yes	
hh_24m::car	-8	:::UNDEF:::	
hh_24m::car	0	No	
hh_24m::car	1	Yes	
hh_member_12m::carecovid	-9	:::UNDEF:::	
hh_member_12m::carecovid	-7	Don't know	
hh_member_12m::carecovid	0	No	
hh_member_12m::carecovid	1	Yes	
hh_member_12m::carecovid	NA	:::UNDEF:::	
hh_member_12m::caregiver	-9	:::UNDEF:::	
hh_member_12m::caregiver	0	No	
hh_member_12m::caregiver	1	Yes	
hh_member_12m::caregiverduration	-9	:::UNDEF:::	
hh_12m::cassette	0	No	
hh_12m::cassette	1	Yes	
hh_24m::cassette	0	No	
hh_24m::cassette	1	Yes	
hh_12m::chair	0	No	
hh_12m::chair	1	Yes	
hh_24m::chair	0	No	
hh_24m::chair	1	Yes	
hh_12m::clock	0	No	
hh_12m::clock	1	Yes	
hh_24m::clock	0	No	
hh_24m::clock	1	Yes	
hh_member_12m::cntcovidphy	-9	:::UNDEF:::	
hh_member_12m::cntcovidphy	-7	Don't know or cannot assess	
hh_member_12m::cntcovidphy	0	No	
hh_member_12m::cntcovidphy	1	Yes	
hh_member_12m::cntcovidphy	NA	:::UNDEF:::	
hh_member_12m::consent	NA	:::UNDEF:::	
hh_member_12m::consent	No	No	
hh_member_12m::consent	Not at home	Not at home	
hh_member_12m::consent	Yes	Yes	
hh_member_24m::consent	NA	:::UNDEF:::	
hh_member_24m::consent	No	No	
hh_member_24m::consent	Not at home	Not at home	
hh_member_24m::consent	Yes	Yes	
hh_member_12m::consent2	NA	:::UNDEF:::	
hh_member_12m::consent2	No	No	
hh_member_12m::consent2	Skipped	No	
hh_member_12m::consent2	Yes	Yes	
hh_member_24m::consent2	NA	:::UNDEF:::	
hh_member_24m::consent2	Skipped	No	
hh_member_24m::consent2	Yes	Yes	
hh_member_12m::consultcost	-9	:::UNDEF:::	
hh_member_12m::consultcost2	-9	:::UNDEF:::	
hh_member_12m::coughyn	-9	:::UNDEF:::	
hh_member_12m::coughyn	-7	Don't know	
hh_member_12m::coughyn	0	No	
hh_member_12m::coughyn	1	Yes	
hh_member_12m::coughyn	NA	:::UNDEF:::	
hh_12m::cov_spray	-9	:::UNDEF:::	
hh_12m::cov_spray	-8	Refused to answer	
hh_12m::cov_spray	-7	Don't know	
hh_12m::cov_spray	0	No	
hh_12m::cov_spray	1	Yes	
hh_12m::covered	No	No	
hh_12m::covered	Skipped or NA	:::UNDEF:::	
hh_12m::covered	Yes	Yes	
hh_24m::covered	No	No	
hh_24m::covered	Skipped or NA	:::UNDEF:::	
hh_24m::covered	Yes	Yes	
hh_12m::crowdingcol	0	No	
hh_12m::crowdingcol	1	Yes	
hh_24m::crowdingcol	0	No	
hh_24m::crowdingcol	1	Yes	
hh_12m::cupboard	0	No	
hh_12m::cupboard	1	Yes	
hh_24m::cupboard	0	No	
hh_24m::cupboard	1	Yes	
hh_member_12m::descothermed	-261	:::UNDEF:::	
hh_member_12m::descothermed	-260	:::UNDEF:::	
hh_member_12m::descothermed	-259	:::UNDEF:::	
hh_member_12m::descothermed	-258	:::UNDEF:::	
hh_member_12m::descothermed	-257	:::UNDEF:::	
hh_member_12m::descothermed	-256	:::UNDEF:::	
hh_member_12m::descothermed	-255	:::UNDEF:::	
hh_member_12m::descothermed	-254	:::UNDEF:::	
hh_member_12m::descothermed	-253	:::UNDEF:::	
hh_member_12m::descothermed	-252	:::UNDEF:::	
hh_member_12m::descothermed	-251	:::UNDEF:::	
hh_member_12m::descothermed	-250	:::UNDEF:::	
hh_member_12m::descothermed	-249	:::UNDEF:::	
hh_member_12m::descothermed	-248	:::UNDEF:::	
hh_member_12m::descothermed	-247	:::UNDEF:::	
hh_member_12m::descothermed	-246	:::UNDEF:::	
hh_member_12m::descothermed	-245	:::UNDEF:::	
hh_member_12m::descothermed	-244	:::UNDEF:::	
hh_member_12m::descothermed	-243	:::UNDEF:::	
hh_member_12m::descothermed	-242	:::UNDEF:::	
hh_member_12m::descothermed	-241	:::UNDEF:::	
hh_member_12m::descothermed	-240	:::UNDEF:::	
hh_member_12m::descothermed	-239	:::UNDEF:::	
hh_member_12m::descothermed	-238	:::UNDEF:::	
hh_member_12m::descothermed	-237	:::UNDEF:::	
hh_member_12m::descothermed	-236	:::UNDEF:::	
hh_member_12m::descothermed	-235	:::UNDEF:::	
hh_member_12m::descothermed	-234	:::UNDEF:::	
hh_member_12m::descothermed	-233	:::UNDEF:::	
hh_member_12m::descothermed	-232	:::UNDEF:::	
hh_member_12m::descothermed	-231	:::UNDEF:::	
hh_member_12m::descothermed	-230	:::UNDEF:::	
hh_member_12m::descothermed	-229	:::UNDEF:::	
hh_member_12m::descothermed	-228	:::UNDEF:::	
hh_member_12m::descothermed	-227	:::UNDEF:::	
hh_member_12m::descothermed	-226	:::UNDEF:::	
hh_member_12m::descothermed	-225	:::UNDEF:::	
hh_member_12m::descothermed	-224	:::UNDEF:::	
hh_member_12m::descothermed	-223	:::UNDEF:::	
hh_member_12m::descothermed	-222	:::UNDEF:::	
hh_member_12m::descothermed	-221	:::UNDEF:::	
hh_member_12m::descothermed	-220	:::UNDEF:::	
hh_member_12m::descothermed	-219	:::UNDEF:::	
hh_member_12m::descothermed	-218	:::UNDEF:::	
hh_member_12m::descothermed	-217	:::UNDEF:::	
hh_member_12m::descothermed	-216	:::UNDEF:::	
hh_member_12m::descothermed	-215	:::UNDEF:::	
hh_member_12m::descothermed	-214	:::UNDEF:::	
hh_member_12m::descothermed	-213	:::UNDEF:::	
hh_member_12m::descothermed	-212	:::UNDEF:::	
hh_member_12m::descothermed	-211	:::UNDEF:::	
hh_member_12m::descothermed	-210	:::UNDEF:::	
hh_member_12m::descothermed	-209	:::UNDEF:::	
hh_member_12m::descothermed	-208	:::UNDEF:::	
hh_member_12m::descothermed	-207	:::UNDEF:::	
hh_member_12m::descothermed	-206	:::UNDEF:::	
hh_member_12m::descothermed	-205	:::UNDEF:::	
hh_member_12m::descothermed	-204	:::UNDEF:::	
hh_member_12m::descothermed	-203	:::UNDEF:::	
hh_member_12m::descothermed	-202	:::UNDEF:::	
hh_member_12m::descothermed	-201	:::UNDEF:::	
hh_member_12m::descothermed	-200	:::UNDEF:::	
hh_member_12m::descothermed	-199	:::UNDEF:::	
hh_member_12m::descothermed	-198	:::UNDEF:::	
hh_member_12m::descothermed	-197	:::UNDEF:::	
hh_member_12m::descothermed	-196	:::UNDEF:::	
hh_member_12m::descothermed	-195	:::UNDEF:::	
hh_member_12m::descothermed	-194	:::UNDEF:::	
hh_member_12m::descothermed	-193	:::UNDEF:::	
hh_member_12m::descothermed	-192	:::UNDEF:::	
hh_member_12m::descothermed	-191	:::UNDEF:::	
hh_member_12m::descothermed	-190	:::UNDEF:::	
hh_member_12m::descothermed	-189	:::UNDEF:::	
hh_member_12m::descothermed	-188	:::UNDEF:::	
hh_member_12m::descothermed	-187	:::UNDEF:::	
hh_member_12m::descothermed	-186	:::UNDEF:::	
hh_member_12m::descothermed	-185	:::UNDEF:::	
hh_member_12m::descothermed	-184	:::UNDEF:::	
hh_member_12m::descothermed	-183	:::UNDEF:::	
hh_member_12m::descothermed	-182	:::UNDEF:::	
hh_member_12m::descothermed	-181	:::UNDEF:::	
hh_member_12m::descothermed	-180	:::UNDEF:::	
hh_member_12m::descothermed	-179	:::UNDEF:::	
hh_member_12m::descothermed	-178	:::UNDEF:::	
hh_member_12m::descothermed	-177	:::UNDEF:::	
hh_member_12m::descothermed	-176	:::UNDEF:::	
hh_member_12m::descothermed	-175	:::UNDEF:::	
hh_member_12m::descothermed	-174	:::UNDEF:::	
hh_member_12m::descothermed	-173	:::UNDEF:::	
hh_member_12m::descothermed	-172	:::UNDEF:::	
hh_member_12m::descothermed	-171	:::UNDEF:::	
hh_member_12m::descothermed	-170	:::UNDEF:::	
hh_member_12m::descothermed	-169	:::UNDEF:::	
hh_member_12m::descothermed	-168	:::UNDEF:::	
hh_member_12m::descothermed	-167	:::UNDEF:::	
hh_member_12m::descothermed	-166	:::UNDEF:::	
hh_member_12m::descothermed	-165	:::UNDEF:::	
hh_member_12m::descothermed	-164	:::UNDEF:::	
hh_member_12m::descothermed	-163	:::UNDEF:::	
hh_member_12m::descothermed	-162	:::UNDEF:::	
hh_member_12m::descothermed	-161	:::UNDEF:::	
hh_member_12m::descothermed	-160	:::UNDEF:::	
hh_member_12m::descothermed	-159	:::UNDEF:::	
hh_member_12m::descothermed	-158	:::UNDEF:::	
hh_member_12m::descothermed	-157	:::UNDEF:::	
hh_member_12m::descothermed	-156	:::UNDEF:::	
hh_member_12m::descothermed	-155	:::UNDEF:::	
hh_member_12m::descothermed	-154	:::UNDEF:::	
hh_member_12m::descothermed	-153	:::UNDEF:::	
hh_member_12m::descothermed	-152	:::UNDEF:::	
hh_member_12m::descothermed	-151	:::UNDEF:::	
hh_member_12m::descothermed	-150	:::UNDEF:::	
hh_member_12m::descothermed	-149	:::UNDEF:::	
hh_member_12m::descothermed	-148	:::UNDEF:::	
hh_member_12m::descothermed	-147	:::UNDEF:::	
hh_member_12m::descothermed	-146	:::UNDEF:::	
hh_member_12m::descothermed	-145	:::UNDEF:::	
hh_member_12m::descothermed	-144	:::UNDEF:::	
hh_member_12m::descothermed	-143	:::UNDEF:::	
hh_member_12m::descothermed	-142	:::UNDEF:::	
hh_member_12m::descothermed	-141	:::UNDEF:::	
hh_member_12m::descothermed	-140	:::UNDEF:::	
hh_member_12m::descothermed	-139	:::UNDEF:::	
hh_member_12m::descothermed	-138	:::UNDEF:::	
hh_member_12m::descothermed	-137	:::UNDEF:::	
hh_member_12m::descothermed	-136	:::UNDEF:::	
hh_member_12m::descothermed	-135	:::UNDEF:::	
hh_member_12m::descothermed	-134	:::UNDEF:::	
hh_member_12m::descothermed	-133	:::UNDEF:::	
hh_member_12m::descothermed	-132	:::UNDEF:::	
hh_member_12m::descothermed	-131	:::UNDEF:::	
hh_member_12m::descothermed	-130	:::UNDEF:::	
hh_member_12m::descothermed	-129	:::UNDEF:::	
hh_member_12m::descothermed	-128	:::UNDEF:::	
hh_member_12m::descothermed	-127	:::UNDEF:::	
hh_member_12m::descothermed	-126	:::UNDEF:::	
hh_member_12m::descothermed	-125	:::UNDEF:::	
hh_member_12m::descothermed	-124	:::UNDEF:::	
hh_member_12m::descothermed	-123	:::UNDEF:::	
hh_member_12m::descothermed	-122	:::UNDEF:::	
hh_member_12m::descothermed	-121	:::UNDEF:::	
hh_member_12m::descothermed	-120	:::UNDEF:::	
hh_member_12m::descothermed	-119	:::UNDEF:::	
hh_member_12m::descothermed	-118	:::UNDEF:::	
hh_member_12m::descothermed	-117	:::UNDEF:::	
hh_member_12m::descothermed	-116	:::UNDEF:::	
hh_member_12m::descothermed	-115	:::UNDEF:::	
hh_member_12m::descothermed	-114	:::UNDEF:::	
hh_member_12m::descothermed	-113	:::UNDEF:::	
hh_member_12m::descothermed	-112	:::UNDEF:::	
hh_member_12m::descothermed	-111	:::UNDEF:::	
hh_member_12m::descothermed	-110	:::UNDEF:::	
hh_member_12m::descothermed	-109	:::UNDEF:::	
hh_member_12m::descothermed	-108	:::UNDEF:::	
hh_member_12m::descothermed	-107	:::UNDEF:::	
hh_member_12m::descothermed	-106	:::UNDEF:::	
hh_member_12m::descothermed	-105	:::UNDEF:::	
hh_member_12m::descothermed	-104	:::UNDEF:::	
hh_member_12m::descothermed	-103	:::UNDEF:::	
hh_member_12m::descothermed	-102	:::UNDEF:::	
hh_member_12m::descothermed	-101	:::UNDEF:::	
hh_member_12m::descothermed	-100	:::UNDEF:::	
hh_member_12m::descothermed	-99	:::UNDEF:::	
hh_member_12m::descothermed	-98	:::UNDEF:::	
hh_member_12m::descothermed	-97	:::UNDEF:::	
hh_member_12m::descothermed	-96	:::UNDEF:::	
hh_member_12m::descothermed	-95	:::UNDEF:::	
hh_member_12m::descothermed	-94	:::UNDEF:::	
hh_member_12m::descothermed	-93	:::UNDEF:::	
hh_member_12m::descothermed	-92	:::UNDEF:::	
hh_member_12m::descothermed	-91	:::UNDEF:::	
hh_member_12m::descothermed	-90	:::UNDEF:::	
hh_member_12m::descothermed	-89	:::UNDEF:::	
hh_member_12m::descothermed	-88	:::UNDEF:::	
hh_member_12m::descothermed	-87	:::UNDEF:::	
hh_member_12m::descothermed	-86	:::UNDEF:::	
hh_member_12m::descothermed	-85	:::UNDEF:::	
hh_member_12m::descothermed	-84	:::UNDEF:::	
hh_member_12m::descothermed	-83	:::UNDEF:::	
hh_member_12m::descothermed	-82	:::UNDEF:::	
hh_member_12m::descothermed	-81	:::UNDEF:::	
hh_member_12m::descothermed	-80	:::UNDEF:::	
hh_member_12m::descothermed	-79	:::UNDEF:::	
hh_member_12m::descothermed	-78	:::UNDEF:::	
hh_member_12m::descothermed	-77	:::UNDEF:::	
hh_member_12m::descothermed	-76	:::UNDEF:::	
hh_member_12m::descothermed	-75	:::UNDEF:::	
hh_member_12m::descothermed	-74	:::UNDEF:::	
hh_member_12m::descothermed	-73	:::UNDEF:::	
hh_member_12m::descothermed	-72	:::UNDEF:::	
hh_member_12m::descothermed	-71	:::UNDEF:::	
hh_member_12m::descothermed	-70	:::UNDEF:::	
hh_member_12m::descothermed	-69	:::UNDEF:::	
hh_member_12m::descothermed	-68	:::UNDEF:::	
hh_member_12m::descothermed	-67	:::UNDEF:::	
hh_member_12m::descothermed	-66	:::UNDEF:::	
hh_member_12m::descothermed	-65	:::UNDEF:::	
hh_member_12m::descothermed	-64	:::UNDEF:::	
hh_member_12m::descothermed	-63	:::UNDEF:::	
hh_member_12m::descothermed	-62	:::UNDEF:::	
hh_member_12m::descothermed	-61	:::UNDEF:::	
hh_member_12m::descothermed	-60	:::UNDEF:::	
hh_member_12m::descothermed	-59	:::UNDEF:::	
hh_member_12m::descothermed	-58	:::UNDEF:::	
hh_member_12m::descothermed	-57	:::UNDEF:::	
hh_member_12m::descothermed	-56	:::UNDEF:::	
hh_member_12m::descothermed	-55	:::UNDEF:::	
hh_member_12m::descothermed	-54	:::UNDEF:::	
hh_member_12m::descothermed	-53	:::UNDEF:::	
hh_member_12m::descothermed	-52	:::UNDEF:::	
hh_member_12m::descothermed	-51	:::UNDEF:::	
hh_member_12m::descothermed	-50	:::UNDEF:::	
hh_member_12m::descothermed	-49	:::UNDEF:::	
hh_member_12m::descothermed	-48	:::UNDEF:::	
hh_member_12m::descothermed	-47	:::UNDEF:::	
hh_member_12m::descothermed	-46	:::UNDEF:::	
hh_member_12m::descothermed	-45	:::UNDEF:::	
hh_member_12m::descothermed	-44	:::UNDEF:::	
hh_member_12m::descothermed	-43	:::UNDEF:::	
hh_member_12m::descothermed	-42	:::UNDEF:::	
hh_member_12m::descothermed	-41	:::UNDEF:::	
hh_member_12m::descothermed	-40	:::UNDEF:::	
hh_member_12m::descothermed	-39	:::UNDEF:::	
hh_member_12m::descothermed	-38	:::UNDEF:::	
hh_member_12m::descothermed	-37	:::UNDEF:::	
hh_member_12m::descothermed	-36	:::UNDEF:::	
hh_member_12m::descothermed	-35	:::UNDEF:::	
hh_member_12m::descothermed	-34	:::UNDEF:::	
hh_member_12m::descothermed	-33	:::UNDEF:::	
hh_member_12m::descothermed	-32	:::UNDEF:::	
hh_member_12m::descothermed	-31	:::UNDEF:::	
hh_member_12m::descothermed	-30	:::UNDEF:::	
hh_member_12m::descothermed	-29	:::UNDEF:::	
hh_member_12m::descothermed	-28	:::UNDEF:::	
hh_member_12m::descothermed	-27	:::UNDEF:::	
hh_member_12m::descothermed	-26	:::UNDEF:::	
hh_member_12m::descothermed	-25	:::UNDEF:::	
hh_member_12m::descothermed	-24	:::UNDEF:::	
hh_member_12m::descothermed	-23	:::UNDEF:::	
hh_member_12m::descothermed	-22	:::UNDEF:::	
hh_member_12m::descothermed	-21	:::UNDEF:::	
