Term IRI	Label	parent 	parent IRI	definition	definition source
http://purl.obolibrary.org/obo/EUPATH_0000346	number of infections with P. vivax in lifetime	count	http://purl.obolibrary.org/obo/STATO_0000047	A count of the total times of a person who infected with P. vivax in his lifetime.	
http://purl.obolibrary.org/obo/EUPATH_0000347	number of infections with P. vivax in the last year	count	http://purl.obolibrary.org/obo/STATO_0000047	A count of the total times of a person who infected with P. falciparum last year.	
http://purl.obolibrary.org/obo/EUPATH_0000348	number of infections with P. falciparum in lifetime	count	http://purl.obolibrary.org/obo/STATO_0000047	A count of the total times of a person who infected with P. vivax in his lifetime.	
http://purl.obolibrary.org/obo/EUPATH_0000349	number of infections with P. falciparum in the last year	count	http://purl.obolibrary.org/obo/STATO_0000047	A count of the total times of a person who infected with P. falciparum last year.	
http://purl.obolibrary.org/obo/EUPATH_0000350	number of days per week at primary job	time measurement datum	http://purl.obolibrary.org/obo/IAO_0000416	A time measurement datum of days in a week at primary job. 	
http://purl.obolibrary.org/obo/EUPATH_0000351	number of days per week at secondary job	time measurement datum	http://purl.obolibrary.org/obo/IAO_0000416	A time measurement datum of days in a week at secondary job. 	
http://purl.obolibrary.org/obo/EUPATH_0000352	job role	human social role	http://purl.obolibrary.org/obo/OMRSE_00000001	"A human social role realized in a process that often performed in exchange for payment. Many people have multiple job roles, such as those of parent, homemaker, and employee."	https://en.wikipedia.org/wiki/Job
http://purl.obolibrary.org/obo/EUPATH_0000353	economic activity	planned process	http://purl.obolibrary.org/obo/OBI_0000011	A planned process that a person participates in exchange for payment. The job role born by the person is realized in the process.	
http://purl.obolibrary.org/obo/EUPATH_0000354	primary economic activity	economic activity	http://purl.obolibrary.org/obo/EUPATH_0000353	An economic activity that a person is involved in primarily.	
http://purl.obolibrary.org/obo/EUPATH_0000355	secondary economic activity	economic activity	http://purl.obolibrary.org/obo/EUPATH_0000353	An economic activity that a person is not involved in primarily.	
http://purl.obolibrary.org/obo/EUPATH_0000356	primary economic activity description	textual entity	http://purl.obolibrary.org/obo/IAO_0000300	A textual entity that describes a person's primary economic activity.	
http://purl.obolibrary.org/obo/EUPATH_0000357	secondary economic activity description	textual entity	http://purl.obolibrary.org/obo/IAO_0000300	A textual entity that describes a person's secondary economic activity.	
http://purl.obolibrary.org/obo/EUPATH_0000358	secondary economic activity in last month	information content entity	http://purl.obolibrary.org/obo/IAO_0000030	An information content entity about secondary economic activity a person participates in the last month.	
http://purl.obolibrary.org/obo/EUPATH_0000359	occupation	information content entity	http://purl.obolibrary.org/obo/IAO_0000030	an activity in which one engages An information content entity that is about something people are occupied with and you're not necessarily doing it to exchange for payment.	
http://purl.obolibrary.org/obo/EUPATH_0000360	primary economic activity pay period	time measurement datum	http://purl.obolibrary.org/obo/IAO_0000416	A time measurement datum about the pay period of primary economic activity.	
http://purl.obolibrary.org/obo/EUPATH_0000361	secondary economic activity  pay period	time measurement datum	http://purl.obolibrary.org/obo/IAO_0000416	A time measurement datum about the pay period of secondary economic activity.	
http://purl.obolibrary.org/obo/EUPATH_0000362	information of received payment from primary economic activity	information content entity	http://purl.obolibrary.org/obo/IAO_0000030	An information content entity about whether a person received payment from primary economic activity.	
http://purl.obolibrary.org/obo/EUPATH_0000363	information of received payment from secondary economic activity	information content entity	http://purl.obolibrary.org/obo/IAO_0000030	An information content entity about whether a person received payment from secondary economic activity.	
http://purl.obolibrary.org/obo/EUPATH_0000364	salary of primary economic activity	data item	http://purl.obolibrary.org/obo/IAO_0000027	A data item of salary of primary job.	
http://purl.obolibrary.org/obo/EUPATH_0000365	salary of secondary economic activity	data item	http://purl.obolibrary.org/obo/IAO_0000027	A data item of salary of other job.	
http://purl.obolibrary.org/obo/EUPATH_0000366	number of hours per day at primary economic activity	time measurement datum	http://purl.obolibrary.org/obo/IAO_0000416	A time measurement datum about number of hours per day spend at primary economic activity.	
http://purl.obolibrary.org/obo/EUPATH_0000367	number of hours per day at secondary economic activity	time measurement datum	http://purl.obolibrary.org/obo/IAO_0000416	A time measurement datum about number of hours per day spend at secondary economic activity.	
http://purl.obolibrary.org/obo/EUPATH_0000368	garbage disposal	environmental feature	http://purl.obolibrary.org/obo/ENVO_00002297	An environmental feature for disposing garbage.	
http://purl.obolibrary.org/obo/EUPATH_0000369	community name	textual entity	http://purl.obolibrary.org/obo/IAO_0000300	A textual entity about community where a person is living.	
http://purl.obolibrary.org/obo/EUPATH_0000370	study location name	textual entity	http://purl.obolibrary.org/obo/IAO_0000300	A textual entity about community where a study taken place.	
http://purl.obolibrary.org/obo/EUPATH_0000371	first line malaria medication	malaria medication	http://purl.obolibrary.org/obo/EUPATH_0000058	A malaria medication that is generally taken for initial treatment of malaria.	
http://purl.obolibrary.org/obo/EUPATH_0000372	second line malaria medication	malaria medication	http://purl.obolibrary.org/obo/EUPATH_0000058	"A malaria medication that is given when first-line medication doesn't work, or stops working."	
http://purl.obolibrary.org/obo/EUPATH_0000373	information of whether malaria medication is given	information content entity	http://purl.obolibrary.org/obo/IAO_0000030		
http://purl.obolibrary.org/obo/EUPATH_0000374	marital status	information content entity	http://purl.obolibrary.org/obo/IAO_0000030		
http://purl.obolibrary.org/obo/EUPATH_0000375	information of whether a person plan to move	information content entity	http://purl.obolibrary.org/obo/IAO_0000030		
http://purl.obolibrary.org/obo/EUPATH_0000376	relationship to head of Family	information content entity	http://purl.obolibrary.org/obo/IAO_0000030		
http://purl.obolibrary.org/obo/EUPATH_0000377	years of living in the dwelling	time measurement datum	http://purl.obolibrary.org/obo/IAO_0000416		
http://purl.obolibrary.org/obo/EUPATH_0000378	years of living in the community	time measurement datum	http://purl.obolibrary.org/obo/IAO_0000416		
http://purl.obolibrary.org/obo/EUPATH_0000379	number of common areas in a dwelling	data item	http://purl.obolibrary.org/obo/IAO_0000027		
http://purl.obolibrary.org/obo/EUPATH_0000380	covered area measured in square meter	scalar measurement datum	http://purl.obolibrary.org/obo/IAO_0000032		
http://purl.obolibrary.org/obo/EUPATH_0000381	information of kitchen location	information content entity	http://purl.obolibrary.org/obo/IAO_0000030	An information content entity about where the kitchen is located inside or outside of a dwelling.	
http://purl.obolibrary.org/obo/EUPATH_0000382	total area measured in square meter	scalar measurement datum	http://purl.obolibrary.org/obo/IAO_0000032		
http://purl.obolibrary.org/obo/EUPATH_0000383	information of rent or own a dwelling	information content entity	http://purl.obolibrary.org/obo/IAO_0000030		
http://purl.obolibrary.org/obo/EUPATH_0000384	days of travel	time measurement datum	http://purl.obolibrary.org/obo/IAO_0000416		
http://purl.obolibrary.org/obo/EUPATH_0000385	information of whether ship is taken during a trip	information content entity	http://purl.obolibrary.org/obo/IAO_0000030		
http://purl.obolibrary.org/obo/EUPATH_0000386	information of place visited during a trip	information content entity	http://purl.obolibrary.org/obo/IAO_0000030		
http://purl.obolibrary.org/obo/EUPATH_0000387	information of travel in the last month	information content entity	http://purl.obolibrary.org/obo/IAO_0000030	An information content entity about travel to any place more than 10 km away from where a person live.	
http://purl.obolibrary.org/obo/EUPATH_0000388	information about travel before malaria	information content entity	http://purl.obolibrary.org/obo/IAO_0000030		
http://purl.obolibrary.org/obo/EUPATH_0000389	bed net material	material entity	http://purl.obolibrary.org/obo/BFO_0000040	A material entity that is used to make bed net.	
http://purl.obolibrary.org/obo/EUPATH_0000390	date of last fumigation	time measurement datum	http://purl.obolibrary.org/obo/IAO_0000416		
http://purl.obolibrary.org/obo/EUPATH_0000391	information of organization that responsible of treated bed nets	information content entity	http://purl.obolibrary.org/obo/IAO_0000030		
http://purl.obolibrary.org/obo/EUPATH_0000392	information of contact with malaria	information content entity	http://purl.obolibrary.org/obo/IAO_0000030		
http://purl.obolibrary.org/obo/EUPATH_0000393	information of participant status at visit	information content entity	http://purl.obolibrary.org/obo/IAO_0000030		
http://purl.obolibrary.org/obo/EUPATH_0000394	information of whether address has changed	information content entity	http://purl.obolibrary.org/obo/IAO_0000030		
http://purl.obolibrary.org/obo/EUPATH_0000395	number of livestock	count	http://purl.obolibrary.org/obo/STATO_0000047		
http://purl.obolibrary.org/obo/EUPATH_0000396	number of pets	count	http://purl.obolibrary.org/obo/STATO_0000047		
http://purl.obolibrary.org/obo/EUPATH_0000397	bed net treatment information	information content entity	http://purl.obolibrary.org/obo/IAO_0000030		
http://purl.obolibrary.org/obo/EUPATH_0000398	number of insecticide-treated bed nets that treated less than 6 months ago	count	http://purl.obolibrary.org/obo/STATO_0000047		
http://purl.obolibrary.org/obo/EUPATH_0000399	number of insecticide-treated bed nets that treated more than 6 months ago	count	http://purl.obolibrary.org/obo/STATO_0000047		
http://purl.obolibrary.org/obo/EUPATH_0000400	number of long last insecticide-treated bed nets	count	http://purl.obolibrary.org/obo/STATO_0000047		
http://purl.obolibrary.org/obo/EUPATH_0000401	number of untreated bed net	count	http://purl.obolibrary.org/obo/STATO_0000047		
http://purl.obolibrary.org/obo/EUPATH_0000402	blood pressure measurement datum	measurement datum	http://purl.obolibrary.org/obo/IAO_0000109		
http://purl.obolibrary.org/obo/EUPATH_0000403	proximity to case dwelling datum	categorical measurement datum	http://purl.obolibrary.org/obo/OBI_0000938	A categorical measurement datum about proximity to case dwelling.	
http://purl.obolibrary.org/obo/EUPATH_0000404	information of whether a census form filled at enrollment	information content entity	http://purl.obolibrary.org/obo/IAO_0000030		
http://purl.obolibrary.org/obo/EUPATH_0000405	clinic	organization	http://purl.obolibrary.org/obo/OBI_0000245		
http://purl.obolibrary.org/obo/EUPATH_0000406	clinic location	geographic location	http://purl.obolibrary.org/obo/GAZ_00000448	A geographic location where the clinic is located.	
http://purl.obolibrary.org/obo/EUPATH_0000407	district name	textual entity	http://purl.obolibrary.org/obo/IAO_0000300		
http://purl.obolibrary.org/obo/EUPATH_0000408	division number	textual entity	http://purl.obolibrary.org/obo/IAO_0000300	A textual entity about a 'division' or 'ward' being a sub-division of a city.  	
http://purl.obolibrary.org/obo/EUPATH_0000409	information of whether took antimalarial drugs as advised	information content entity	http://purl.obolibrary.org/obo/IAO_0000030		
http://purl.obolibrary.org/obo/EUPATH_0000410	information of whether took antimalarial drugs in last 2 weeks	information content entity	http://purl.obolibrary.org/obo/IAO_0000030		
http://purl.obolibrary.org/obo/EUPATH_0000411	information of existing illness	information content entity	http://purl.obolibrary.org/obo/IAO_0000030		
http://purl.obolibrary.org/obo/EUPATH_0000412	information of whether having an existing illness	information content entity	http://purl.obolibrary.org/obo/IAO_0000030		
http://purl.obolibrary.org/obo/EUPATH_0000413	information of where a fever person treated	information content entity	http://purl.obolibrary.org/obo/IAO_0000030		
http://purl.obolibrary.org/obo/EUPATH_0000414	duration of febrile	time measurement datum	http://purl.obolibrary.org/obo/IAO_0000416	A time measurement datum that measures the duration of having febrile.	
http://purl.obolibrary.org/obo/EUPATH_0000415	information of whether a person is family head	information content entity	http://purl.obolibrary.org/obo/IAO_0000030		
http://purl.obolibrary.org/obo/EUPATH_0000416	hospital registration number	symbol	http://purl.obolibrary.org/obo/IAO_0000028		
http://purl.obolibrary.org/obo/EUPATH_0000417	information of whether a person is sick now	information content entity	http://purl.obolibrary.org/obo/IAO_0000030		
http://purl.obolibrary.org/obo/EUPATH_0000418	indoor residents information	information content entity	http://purl.obolibrary.org/obo/IAO_0000030	"An information content entity is about who are indoor residents, such as only human, or human and animals."	
http://purl.obolibrary.org/obo/EUPATH_0000419	frequence of larvicide in use	measurement datum	http://purl.obolibrary.org/obo/IAO_0000109		
http://purl.obolibrary.org/obo/EUPATH_0000420	information of where malaria diagnosed in last 12 months	information content entity	http://purl.obolibrary.org/obo/IAO_0000030		
http://purl.obolibrary.org/obo/EUPATH_0000421	number of asexual parasite	measurement datum	http://purl.obolibrary.org/obo/IAO_0000109		
http://purl.obolibrary.org/obo/EUPATH_0000422	number of sexual parasite	measurement datum	http://purl.obolibrary.org/obo/IAO_0000109		
http://purl.obolibrary.org/obo/EUPATH_0000423	parasite species information	data item	http://purl.obolibrary.org/obo/IAO_0000027	A data item of which parasite species detected in a blood specimen.	
http://purl.obolibrary.org/obo/EUPATH_0000424	birth country name	country name	http://purl.obolibrary.org/obo/OBI_0001627	A country name denote where a person was born.	
http://purl.obolibrary.org/obo/EUPATH_0000425	information of malaria parasite infection diagnosis past year	information content entity	http://purl.obolibrary.org/obo/IAO_0000030		
http://purl.obolibrary.org/obo/EUPATH_0000426	number of malaria diagnosis past year	count	http://purl.obolibrary.org/obo/STATO_0000047	A count of malaria diagnosis past year.	
http://purl.obolibrary.org/obo/EUPATH_0000427	number of months since malaria diagnosis	time measurement datum	http://purl.obolibrary.org/obo/IAO_0000416	A time measurement datum of number of months since malaria diagnosis.	
http://purl.obolibrary.org/obo/EUPATH_0000428	information of whether antimalarial drug treated last year	information content entity	http://purl.obolibrary.org/obo/IAO_0000030	An information content entity about whether antimalarial drug treated last year	
http://purl.obolibrary.org/obo/EUPATH_0000429	antimalarial drug used date	time measurement datum	http://purl.obolibrary.org/obo/IAO_0000416	A time measurement datum about when the antimalarial drug used last year 	
http://purl.obolibrary.org/obo/EUPATH_0000430	information of antimalarial drug used last year	information content entity	http://purl.obolibrary.org/obo/IAO_0000030	An information content entity about what antimalarial drug used last year	
http://purl.obolibrary.org/obo/EUPATH_0000431	information of who treated malaria last year	information content entity	http://purl.obolibrary.org/obo/IAO_0000030	An information about who treated malaria last year 	
http://purl.obolibrary.org/obo/EUPATH_0000432	specimen used for DNA PCR	specimen	http://purl.obolibrary.org/obo/OBI_0100051	A specimen that is used for DNA extraction and following PCR assay.	
http://purl.obolibrary.org/obo/EUPATH_0000433	parasite species identification by PCR assay	organism identification assay	http://purl.obolibrary.org/obo/OBI_0001624	An organism identification assay that identifies the species of parasites by PCR.	
http://purl.obolibrary.org/obo/EUPATH_0000434	primary health center name	textual entity	http://purl.obolibrary.org/obo/IAO_0000300	A textual entity that denotes the public health clinic/hospital that the human subject normally uses (for non malaria illness). 	
http://purl.obolibrary.org/obo/EUPATH_0000435	poverty line	data item	http://purl.obolibrary.org/obo/IAO_0000027	A data item of income level issued annually by the Department of Health and Human Services. Federal poverty levels are used to determine your eligibility for certain programs and benefits.	
http://purl.obolibrary.org/obo/EUPATH_0000436	no illness information	information content entity	http://purl.obolibrary.org/obo/IAO_0000030	An information that specifies a person has no illness.	
http://purl.obolibrary.org/obo/EUPATH_0000437	falcivax rapid diagnostic test	laboratory test	http://purl.obolibrary.org/obo/OGMS_0000056	A laboratory test that can quickly establishing the diagnosis of  P. falciparum or P. vivax malaria infection by detecting the antigens in a person's blood. 	
http://purl.obolibrary.org/obo/EUPATH_0000438	optimal-IT rapid diagnostic test	laboratory test	http://purl.obolibrary.org/obo/OGMS_0000056	"A laboratory test that is a rapid, sensitive malaria test that is able to differentiate between P. falciparum and other malaria parasites. "	
http://purl.obolibrary.org/obo/EUPATH_0000439	personal mosquito repellent	material entity	http://purl.obolibrary.org/obo/BFO_0000040	A material entity that a person uses to deter mosquitoes from approaching or settling.	
http://purl.obolibrary.org/obo/EUPATH_0000440	resident status information	information content entity	http://purl.obolibrary.org/obo/IAO_0000030	"An information content entity about a person's resident status, permanent or temporary."	
http://purl.obolibrary.org/obo/EUPATH_0000441	information of mosquito repellent sprayed in last 12 months	information content entity	http://purl.obolibrary.org/obo/IAO_0000030	An information content entity about repellent sprayed in last 12 months in a dwelling.	
http://purl.obolibrary.org/obo/EUPATH_0000442	state name of birth	textual entity	http://purl.obolibrary.org/obo/IAO_0000300	A text entity denotes to a state where a person was born.	
http://purl.obolibrary.org/obo/EUPATH_0000443	take fever suppressant information	information content entity	http://purl.obolibrary.org/obo/IAO_0000030	An information content entity that is about whether a person take fever suppressant.	
http://purl.obolibrary.org/obo/EUPATH_0000444	taluk name	textual entity	http://purl.obolibrary.org/obo/IAO_0000300	A text entity denotes to a taluk.	
http://purl.obolibrary.org/obo/EUPATH_0000445	visited country name	country name	http://purl.obolibrary.org/obo/OBI_0001627	A country name denote a geographic location that a person has visited.	
http://purl.obolibrary.org/obo/EUPATH_0000446	visited district name	textual entity	http://purl.obolibrary.org/obo/IAO_0000300	A text entity denotes to a district that a person has visited.	
http://purl.obolibrary.org/obo/EUPATH_0000447	visited state name	textual entity	http://purl.obolibrary.org/obo/IAO_0000300	A text entity denotes to a state that a person has visited.	
http://purl.obolibrary.org/obo/EUPATH_0000448	visited taluk name	textual entity	http://purl.obolibrary.org/obo/IAO_0000300	A taluk name denote a geographic location that a person has visited.	
http://purl.obolibrary.org/obo/EUPATH_0000449	visited village name	village name	http://purl.obolibrary.org/obo/EUPATH_0000452	A village name denote a geographic location that a person has visited.	
http://purl.obolibrary.org/obo/EUPATH_0000450	traveled information in last 14 days	information content entity	http://purl.obolibrary.org/obo/IAO_0000030	An information content entity about whether a person travelled in last 14 days.	
http://purl.obolibrary.org/obo/EUPATH_0000451	healthcare information	information content entity	http://purl.obolibrary.org/obo/IAO_0000030	An information content entity about healthcare that is private or public.	
http://purl.obolibrary.org/obo/EUPATH_0000452	village name	textual entity	http://purl.obolibrary.org/obo/IAO_0000300	A text entity denotes to a village.	
http://purl.obolibrary.org/obo/EUPATH_0000453	location zone number	textual entity	http://purl.obolibrary.org/obo/IAO_0000300	A text entity of a zone number denotes to a geographic location.	
