"IRI","label","displayOrder","variable","dataFile","definition","category","parentLabel","parentIRI","codebookDescription","codebookValues","termType","replaces","unitLabel","unitIRI","dataSet","repeated","is_featured","hidden","scale","is_temporal","mergeKey"
"http://purl.obolibrary.org/obo/EUPATH_0000307","Participant study details","","","","","Participant","Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","","","","","","","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000120","Age at enrollment","","Age","","","Participant","Participant study details","http://purl.obolibrary.org/obo/EUPATH_0000307","Age (years)","","variable","","years","http://purl.obolibrary.org/obo/UO_0000036","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000609","Sample","","","","","Sample","","http://www.w3.org/2002/07/owl#Thing","","","category","","","","","","","yes","","",""
"http://purl.obolibrary.org/obo/EUPATH_0030122","Schistosoma in urine","","","","","Sample","Eukaryota in urine","http://purl.obolibrary.org/obo/EUPATH_0030125","","","category","","","","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0030101","Urine microbiology test","","","","","Sample","Laboratory test","http://purl.obolibrary.org/obo/OGMS_0000056","","","category","","","","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0011797","Urine test","","","","","Sample","Laboratory test","http://purl.obolibrary.org/obo/OGMS_0000056","","","category","","","","","","","","","",""
"http://purl.obolibrary.org/obo/OGMS_0000056","Laboratory test","","","","","Sample","Sample","http://purl.obolibrary.org/obo/EUPATH_0000609","","","category","","","","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0030124","Schistosoma haematobium (per 10 ml), by microscopy","","UF_Sh","","Number of Schistosoma haematobium eggs calculated per 10 ml urine","Sample","Schistosoma in urine","http://purl.obolibrary.org/obo/EUPATH_0030122","Number of  schistosoma haematobium eggs in 10 ml from one filter/slide from a urine sample","","variable","","","","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0030123","Schistosoma haematobium, by microscopy","","Sh_binary","","Presence or absence of Schistosoma haematobium eggs in study participant,  based on detection the urine sample","Sample","Schistosoma in urine","http://purl.obolibrary.org/obo/EUPATH_0030122","Presence or absence of Schistosoma haematobium eggs in study participant,  based on detection the urine sample","1= Positive, 0 = Negative","variable","","","","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0030125","Eukaryota in urine","","","","","Sample","Urine microbiology test","http://purl.obolibrary.org/obo/EUPATH_0030101","","","category","","","","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0030131","Microhematuria","","Haemastix_haem","","Microhematuria evaluated via hemastix dipsticks","Sample","Urine test","http://purl.obolibrary.org/obo/EUPATH_0011797","Microhaematuria, determined by Haemastix dipsticks","0=negative, 1= positive, 2= positive, 3=positive, 4=trace","variable","","","","","","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0030130","Visible macrohematuria","","Vis_haem","","","Sample","Urine test","http://purl.obolibrary.org/obo/EUPATH_0011797","Visible macrohaemturia","1, 2, 3, 4, 5, 6 in line with colour chart","variable","","","","","","","","","",""
