colOrder,overallOrder,displayOrder,variable,dataFile,category,IRI,label,definition,termType,parentIRI,parentLabel,codebookDescription,codebookValues
19,18,,enrol_dh::tubewell,enrol_dh,Household,,Shallow tubewell for primary drinking water source,Whether the primary water source for the target child participant's compound was a shallow tubewell. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/ENVO_00003064,Drinking water source,Primary water source: shallow tubewell (q1010),0 to 1
22,19,,enrol_dh::treatwat,enrol_dh,Household,,Treated drinking water today or yesterday,Whether the target child participant's compound reported treating their drinking water or doing anything to make it less cloudy today or yesterday. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0010108,Drinking water treatment,Reported treating water today or yesterday (q1008),0 to 1
44,20,1,enrol_dh::roof,enrol_dh,Household,,Improved roof material,"Whether the observed main roof material of the target child participant's dwelling was tin or cement. Tin or cement roofs were classified as ""improved"". Assessed for the household at enrollment (when target children were in utero).",variabe,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,"Improved roof material (tin, cement)",0 to 1
45,21,2,enrol_dh::walls,enrol_dh,Household,,Improved wall material,"Whether the observed main wall material of the target child participant's dwelling was wood, brick, or tin. Wood, brick, or tin walls were classified as ""improved"". Assessed for the household at enrollment (when target children were in utero).",variabe,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,"Improved wall material (wood, brick, tin)",0 to 1
46,22,3,enrol_dh::floor,enrol_dh,Household,,Improved floor material,"Whether the observed main floor material of the target child participant's dwelling was wood or concrete. Wood or concrete floors were classified as ""improved"". Assessed for the household at enrollment (when target children were in utero).",variabe,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,"Improved floor (wood, concrete)",0 to 1
47,23,4,enrol_dh::cement,enrol_dh,Household,,Cement floor,Whether the target child participant's dwelling has a cement floor. Assessed for the household at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Has cement floor (q4103),0 to 1
9,24,1,uptake_dh::humfeces,uptake_dh,Household,,Visible feces in compound,"Whether visible human feces were observed in the house or compound. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero), 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).",variabe,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,"No human feces observed in house/compound (q4201, 4203, 4205)",0 to 1
8,25,2,uptake_dh::latfeces,uptake_dh,Household,,Visible feces on latrine floor,"Whether visible human feces were observed on the slab or floor of the compound's latrine. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero), 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).",variabe,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,No visible feces on slab/floor of latrine,0 to 1
34,26,3,enrol_dh::humfecesch,enrol_dh,Household,,Visible feces where pregnant mother spends most time,Whether human feces were observed in the location where the target child participant's pregnant mother spent the most time. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,"Human feces obs in loc where child spends most time (q4203: In the area where the target child spends the most time Probe and identify where the target child spends the most time.At baseline, the target child will not be present,so the search should be defined as the area where the  pregnant mother spends the most time. Human fecesin the area where the target child spends the most time that could be considered open defecation)",0 to 1
18,27,1,enrol_dh::hfiacat,enrol_dh,Household,http://purl.obolibrary.org/obo/EUPATH_0011145,Household Food Insecurity Access Scale (HFIAS),"Household Food Insecurity Access Scale category, based on method described in Coates et al. Household Food Insecurity Access Scale (HFIAS) for Measurement of Household Food
Access: Indicator Guide (v. 3). Washington, DC: Food and Nutrition Technical Assistance Project, Academy for Educational Development, 2007.  Assessed for the household at enrollment (when target children were in utero).",variabe,http://purl.obolibrary.org/obo/EUPATH_0011683,Food security,HFIAS food insecurity category,1 to 4
17,28,2,enrol_dh::hfias,enrol_dh,Household,http://purl.obolibrary.org/obo/EUPATH_0011151,Household Food Insecurity Access Scale (HFIAS) score,Sum of 9 variables assessing household food access in the past four weeks. Values can range from 0 (least food access insecure) to 27 (most food access insecure). Assessed for the household at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0011683,Food security,HFIAs food insecurity score (0-27),0 to 24
5,29,,enrol_dh::union,enrol_dh,Household,,Union council,The smallest rural administrative or local government unit in Bangladesh.,variabe,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Administrative union (q4008),1 to 139
3,30,1,tr::tr,tr,Household,,Intervention assignment,"The actual randomized, blinded intervention assigned to the cluster.",variabe,http://purl.obolibrary.org/obo/PCO_0000024,Household,Randomized treatment assignment (actual),. to .
3,31,2,blind-tr::tr,blind-tr,Household,,Scrambled intervention assignment,"Re-randomized, blinded intervention assigned to the cluster. Used to enable internal, blinded replication before the study was unmasked.",variabe,http://purl.obolibrary.org/obo/PCO_0000024,Household,Randomized treatment assignment (scrambled/blinded!!),1 to 7
NA,32,3,enrol_dh::svy,enrol_dh,Household,,Study timepoint for compound assessment,"Survey data on compounds and households was collected at enrollment (baseline), and outcomes were measured after 12 months (midline) and 24 months (endline) of intervention delivery.","variable, derived",http://purl.obolibrary.org/obo/PCO_0000024,Household,"Survey round (0,1,2)",
4,33,3,uptake_dh::svy,uptake_dh,Household,,Study timepoint for compound assessment,"Survey data on compounds and households was collected at enrollment (baseline), and outcomes were measured after 12 months (midline) and 24 months (endline) of intervention delivery.",variabe,http://purl.obolibrary.org/obo/PCO_0000024,Household,"Survey round (0,1,2)",0 to 2
18,34,4,uptake_dh::svyyear,uptake_dh,Household,,Compound assessment year,Calendar year in which data on compounds and households were collected.,variabe,http://purl.obolibrary.org/obo/PCO_0000024,Household,Year of survey,2012 to 2015
17,35,5,uptake_dh::svyweek,uptake_dh,Household,,Compount assessment week,Calendar week in which data on compounds and households were collected.,variabe,http://purl.obolibrary.org/obo/PCO_0000024,Household,Week of survey,1 to 52
4,37,2,track_dh::miss1,track_dh,Household,,"No assessment, midline","Compound not assessed 1 year after intervention initiation (midline, when target children were 8-15m of age).",variabe,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Not measured at year 1,0 to 1
5,38,3,track_dh::miss1reason,track_dh,Household,,"Reason for no assessment, midline","Reason compound was not assessed 1 year after intervention initiation (midline, when target children were 8-15m of age).",variabe,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Reason for no measurement in year 1,0 to 5
6,39,4,track_dh::miss2,track_dh,Household,,"No assessment, endline","Compound not assessed 2 years after intervention initiation (endline, when target children were 21-27m of age).",variabe,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Not measured at year 2,0 to 1
NA,40,5,track_dh::miss2reason_b,track_dh,Household,,"Reason for no assessment, endline","Reason compound was not assessed 2 years after intervention initiation (endline, when target children were 21-27m of age).","variable, derived",http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Reason for no measurement in year 2,0 to 5
2,41,,blind-tr::clusterid,blind-tr,Household,,Cluster ID,The unit of randomization. A cluster consisted of a group of 8 proximate compounds within a village that were visited by a single local promoter and separated by at least a 15 min walk.,variabe,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Cluster ID,. to .
2,42,,enrol_dh::clusterid,enrol_dh,Household,,Cluster ID,The unit of randomization. A cluster consisted of a group of 8 proximate compounds within a village that were visited by a single local promoter and separated by at least a 15 min walk.,variabe,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Cluster ID,. to .
2,43,,tr::clusterid,tr,Household,,Cluster ID,The unit of randomization. A cluster consisted of a group of 8 proximate compounds within a village that were visited by a single local promoter and separated by at least a 15 min walk.,variabe,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Cluster ID,. to .
2,44,,track_dh::clusterid,track_dh,Household,,Cluster ID,The unit of randomization. A cluster consisted of a group of 8 proximate compounds within a village that were visited by a single local promoter and separated by at least a 15 min walk.,variabe,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Cluster ID,. to .
2,45,,uptake_dh::clusterid,uptake_dh,Household,,Cluster ID,The unit of randomization. A cluster consisted of a group of 8 proximate compounds within a village that were visited by a single local promoter and separated by at least a 15 min walk.,variabe,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Cluster ID,. to .
1,46,,diar_dh::dataid,diar_dh,Household,,Compound ID,"Compounds consisted of multiple households (typically 3 to 10 in Bangladesh), usually comprised of blood relatives, who share a common courtyard. Compounds were eligible to participate if (1) they had a pregnant woman and (2) the woman planned to stay in the village for the next 12 months.",variabe,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Compound ID,. to .
1,47,,enrol_dh::dataid,enrol_dh,Household,,Compound ID,"Compounds consisted of multiple households (typically 3 to 10 in Bangladesh), usually comprised of blood relatives, who share a common courtyard. Compounds were eligible to participate if (1) they had a pregnant woman and (2) the woman planned to stay in the village for the next 12 months.",variabe,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Compound ID,. to .
1,48,,track_dh::dataid,track_dh,Household,,Compound ID,"Compounds consisted of multiple households (typically 3 to 10 in Bangladesh), usually comprised of blood relatives, who share a common courtyard. Compounds were eligible to participate if (1) they had a pregnant woman and (2) the woman planned to stay in the village for the next 12 months.",variabe,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Compound ID,. to .
1,49,,uptake_dh::dataid,uptake_dh,Household,,Compound ID,"Compounds consisted of multiple households (typically 3 to 10 in Bangladesh), usually comprised of blood relatives, who share a common courtyard. Compounds were eligible to participate if (1) they had a pregnant woman and (2) the woman planned to stay in the village for the next 12 months.",variabe,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Compound ID,. to .
1,50,1,tr::block,tr,Household,,Randomization block,"Each randomization block was made up of 8 adjacent clusters that were pair-matched by geography. Each cluster within the randomization block was randomly allocated to one of 7 intervention arms, including 2 clusters randomly allocated to the control arm.",variabe,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Randomization block,1 to 90
13,51,1,uptake_dh::lnsn,uptake_dh,Household,,LNS consumed,"Number of lipid-based nutrient supplement (LNS) sachets consumed by the household per week. Based on counting sachets present at the time of a field visit. The expected number of sachets for 100% adherence is 14 sachets (7 days x 2 sachets per day). Values of LNS consumed that were negative or >28 were flagged.  Assessed for the household 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).",variabe,,Household nutrition supplementation,,
NA,52,2,uptake_dh::lnsn_flag,uptake_dh,Household,,LNS consumed flag,"Whether the number of ipid-based nutrient supplement (LNS) sachets consumed by the household per week was flagged for being negative or greater than 28. Assessed for the household 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).","variable, derived",,Household nutrition supplementation,,
NA,53,3,uptake_dh::lnsp_new,uptake_dh,Household,,Percent LNS consumed,"Percent of expected lipid-based nutrient supplement (LNS) sachets consumed by the household per week. Based on counting sachets present at the time of a field visit. The expected number of sachets for 100% adherence is 14 sachets (7 days x 2 sachets per day). Values of LNS consumed that were negative or >28 were flagged and set to missing. Assessed for the household 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).","variable, derived",,Household nutrition supplementation,,
15,54,4,uptake_dh::rlnsn,uptake_dh,Household,,"LNS consumed, caregiver report","Number of lipid-based nutrient supplement (LNS) sachets consumed by the household per week, as reported by the mother. The expected number of sachets for 100% adherence is 14 sachets (7 days x 2 sachets per day). Assessed for the household 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).",variabe,,Household nutrition supplementation,LNS sachets consumed per week (reported),0 to 49
16,55,5,uptake_dh::rlnsp,uptake_dh,Household,,"Percent LNS consumed, caregiver report","Percent of expected lipid-based nutrient supplement (LNS) sachets consumed by the household, as reported by the mother. The expected number of sachets for 100% adherence is 14 sachets (7 days x 2 sachets per day). Assessed for the household 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).",variabe,,Household nutrition supplementation,Percent of expected LNS sachets consumed (reported),0 to 3.5
20,56,,enrol_dh::watmin,enrol_dh,Household,,Time to drinking water source (min),Distance (measured in minutes to walk one way) to the primary water source from the target child participant's home. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,Dist (mins) to primary water source,0 to 600
12,57,1,uptake_dh::hwsws,uptake_dh,Household,,Water and soap at hand washing location,"Whether the primary hand washing location has both water and soap. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero), 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).",variabe,http://purl.obolibrary.org/obo/EUPATH_0000686,Hygiene,Prim handwashing loc has water+soap (q704_1-6),0 to 1
10,58,2,uptake_dh::hwsw,uptake_dh,Household,,Water at hand washing location,"Whether the primary hand washing location has water. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero), 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).",variabe,http://purl.obolibrary.org/obo/EUPATH_0000686,Hygiene,Prim handwashing loc has water (q704_1),0 to 1
11,59,3,uptake_dh::hwss,uptake_dh,Household,,Soap at hand washing location,"Whether the primary hand washing location has soap. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero), 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).",variabe,http://purl.obolibrary.org/obo/EUPATH_0000686,Hygiene,Prim handwashing loc has soap (q704_2-6),0 to 1
35,60,4,enrol_dh::hwlat,enrol_dh,Household,,Hand washing location within 6 steps of toilet or latrine,Whether the target child participant's compound had a handwashing station located within 6 steps of the toilet or latrine. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000686,Hygiene,Has handwashing loc w/in 6 steps of latrine,0 to 1
36,61,5,enrol_dh::hwlatwat,enrol_dh,Household,,Hand washing location within 6 steps of toilet or latrine has water,Whether the target child participant's compound had a handwashing station with water located within 6 steps of the toilet or latrine. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000686,Hygiene,Has handwashing loc w/in 6 steps of latrine w/ water,0 to 1
37,62,6,enrol_dh::hwlatsoap,enrol_dh,Household,,Hand washing location within 6 steps of toilet or latrine has soap,Whether the target child participant's compound had a handwashing station with soap located within 6 steps of the toilet or latrine. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000686,Hygiene,Has handwashing loc w/in 6 steps of latrine w/ soap,0 to 1
38,63,7,enrol_dh::hwkit,enrol_dh,Household,,Hand washing location within 6 steps of kitchen,Whether the target child participant's compound had a handwashing station located within 6 steps of the kitchen. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000686,Hygiene,Has handwashing loc w/in 6 steps of kitchen,0 to 1
39,64,8,enrol_dh::hwkitwat,enrol_dh,Household,,Hand washing location within 6 steps of kitchen has water,Whether the target child participant's compound had a handwashing station with water located within 6 steps of the kitchen. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000686,Hygiene,Has handwashing loc w/in 6 steps of kitchen w/ water,0 to 1
40,65,9,enrol_dh::hwkitsoap,enrol_dh,Household,,Hand washing location within 6 steps of kitchen has soap,Whether the target child participant's compound had a handwashing station with soap located within 6 steps of the kitchen. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000686,Hygiene,Has handwashing loc w/in 6 steps of kitchen w/ soap,0 to 1
12,66,1,enrol_dh::momedu,enrol_dh,Household,,Maternal education level,Categorization of the amount of education completed by the target child participant's mother. Assessed for the household at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0011708,Schooling,Mother's education (category),0 to 2
13,67,2,enrol_dh::momeduy,enrol_dh,Household,http://purl.obolibrary.org/obo/EUPATH_0011605,Maternal education (years),Number of years of education completed by the target child participant's mother. Assessed for the household at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0011708,Schooling,"Mother, years of education (q009)",0 to 17
14,68,3,enrol_dh::dadeduy,enrol_dh,Household,,Paternal education (years),Number of years of education completed by the target child participant's father. Assessed for the household at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0011708,Schooling,"Father, years of education (q010)",0 to 17
9,69,1,enrol_dh::ncomp,enrol_dh,Household,,Persons living in compound,Total number of people that lived in the target child participant's compound. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Total indivs in compound,2 to 52
7,70,2,enrol_dh::nhh,enrol_dh,Household,http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house,Total number of people that lived in the target child participant's household. Assessed for the household at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Number of persons in household (q012),1 to 23
8,71,3,enrol_dh::nlt18,enrol_dh,Household,,Persons 18yrs and younger living in house,Total number of children 18 years of age and younger that lived in the target child participant's household. Assessed for the household at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,N indivs in HH <=18y,0 to 10
16,72,4,enrol_dh::landacre,enrol_dh,Household,http://purl.obolibrary.org/obo/EUPATH_0000026,Acres,Acres of land owned by the target child participant's household. Assessed for the household at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Acres of land owned (q4110: How much homestead land (decimal) does your household own?),0 to 8.88
NA,73,5,enrol_dh::assets,enrol_dh,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Whether the target child participant's household owns any of the following items. Assessed for the household at enrollment (when target children were in utero).,"multifilter, derived",http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,
67,74,,enrol_dh::n_asset_chair,enrol_dh,Household,,Chair count,Number of chairs owned by the target child participant's household. Assessed for the household at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Number of Chair,0 to 25
70,78,,enrol_dh::n_asset_chouki,enrol_dh,Household,,Chouki (traditional wooden bed) ount, Number of chouki (a traditional wooden bed that is an indicator of wealth in the study population) owned by the target child participant's household. Assessed for the household at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Number of chouki (bed),0 to 6
68,75,,enrol_dh::n_asset_clock,enrol_dh,Household,,Clock count,Number of clocks owned by the target child participant's household. Assessed for the household at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Number of clock,0 to 10
65,76,,enrol_dh::n_asset_wardrobe,enrol_dh,Household,,Cupboard count,Number of wardrobes owned by the target child participant's household. Assessed for the household at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Number of wardrobes,0 to 8
69,79,,enrol_dh::n_asset_khat,enrol_dh,Household,,Khat (traditional wooden table) count, Number of khat (a traditional wooden table that is an indicator of wealth in the study population) owned by the target child participant's household. Assessed for the household at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Number of Khat,0 to 10
71,77,,enrol_dh::n_asset_mobile,enrol_dh,Household,,Mobile phone count,Number of mobile phones owned by the target child participant's household. Assessed for the household at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Number of mobile phone,0 to 13
66,80,,enrol_dh::n_asset_table,enrol_dh,Household,,Table count,Number of tables owned by the target child participant's household. Assessed for the household at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,Number of Tables,0 to 10
27,81,1,enrol_dh::odchu3,enrol_dh,Household,,"Daily open defecation, children under 3yrs",Whether children in the target child participant's compound  under 3 years of age  practice open defecation daily. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,"Daily OD, children <3 (q801c)",0 to 1
26,82,2,enrol_dh::odch38,enrol_dh,Household,,"Daily open defecation, children 3-8yrs",Whether children in the target child participant's compound  3-8 years of age  practice open defecation daily. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,"Daily OD, children 3-8 (q801d)",0 to 1
25,83,3,enrol_dh::odch815,enrol_dh,Household,,"Daily open defecation, children 8-15yrs",Whether children in the target child participant's compound  8-15 years of age  practice open defecation daily. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,"Daily OD, children 8-15 (q801e)",0 to 1
23,84,4,enrol_dh::odmen,enrol_dh,Household,,"Daily open defecation, adult men",Whether adult men in the target child participant's compound practice open defecation daily. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,"Daily OD, adult men (q801a)",0 to 1
24,85,5,enrol_dh::odwom,enrol_dh,Household,,"Daily open defecation, adult women",Whether adult women in the target child participant's compound practice open defecation daily. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,"Daily OD, adult women (q801b)",0 to 1
28,86,6,enrol_dh::latown,enrol_dh,Household,,Unshared toilet or latrine,Whether the target child participant's household had its own latrine (did not share with other households in the compound). Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,Own their latrine (not shared) (q816),0 to 1
29,87,7,enrol_dh::latslab,enrol_dh,Household,http://purl.obolibrary.org/obo/EUPATH_0011612,Household toilet or latrine has concrete floor,Whether the target child participant's toilet or latrine had a concrete floor or slab. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,Latrine has concrete slab (q809_7),0 to 1
7,88,8,uptake_dh::latseal,uptake_dh,Household,,Toilet has functional water seal,"Whether the flush or pour flush toilet has a functional water seal. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero), 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).",variabe,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,Latrine has functional water seal (q809_9a),0 to 1
32,89,9,enrol_dh::potty,enrol_dh,Household,,Potty,Whether the target child participant's compound had a potty for child defecation. Assessed for the compound (multiple households sharing a common courtyard) at enrollment (when target children were in utero).,variabe,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,Has a potty for child defecation,0 to 1
35,90,1,anthro_dh::lazminus3,anthro_dh,Observation,,Severely stunted,"Whether the target child participant was severely stunted, defined as having a length- or height-for-age z-score of less than -3. Anthropometry of target children was assessed 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age).",variabe,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,Severely Stunted (LAZ<-3),0 to 1
