variable,dataFile,IRI,label,displayOrder,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceStringType,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
cdmanagingauthority,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063113,Managing authority,2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,variable,,,,,jilinde_costing_survey,,,,,,yes,,,
cdq52aavailabilityofdrugs,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063289,Initial visit,1,Initial visit: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Availability of drugs?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063284,Assessment of quality care: Availability of drugs,Initial visit: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Availability of drugs?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52bavailabilityofdrugs,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063294,Review visit 1,2,Review visit 1: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Availability of drugs?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063284,Assessment of quality care: Availability of drugs,Review visit 1: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Availability of drugs?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52cavailabilityofdrugs,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063299,Review visit 2,3,Review visit 2: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Availability of drugs?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063284,Assessment of quality care: Availability of drugs,Review visit 2: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Availability of drugs?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52davailabilityofdrugs,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063304,Review visit 3,4,Review visit 3: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Availability of drugs?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063284,Assessment of quality care: Availability of drugs,Review visit 3: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Availability of drugs?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52eavailabilityofdrugs,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063309,Review visit 4,5,Review visit 4: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Availability of drugs?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063284,Assessment of quality care: Availability of drugs,Review visit 4: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Availability of drugs?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52favailabilityofdrugs,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063314,Review visit 5,6,Review visit 6: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Availability of drugs?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063284,Assessment of quality care: Availability of drugs,Review visit 6: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Availability of drugs?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52gavailabilityofdrugs,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063319,Review visit 6,7,Review visit 7: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Availability of drugs?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063284,Assessment of quality care: Availability of drugs,Review visit 7: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Availability of drugs?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52havailabilityofdrugs,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063324,Review visit 7,8,Review visit 8: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Availability of drugs?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063284,Assessment of quality care: Availability of drugs,Review visit 8: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Availability of drugs?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52acleanlinessoffacility,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063290,Initial visit,1,Initial visit: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Cleanliness of facility?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063285,Assessment of quality care: Cleanliness of facility,Initial visit: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Cleanliness of facility?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52bcleanlinessoffacility,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063295,Review visit 1,2,Review visit 1: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Cleanliness of facility?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063285,Assessment of quality care: Cleanliness of facility,Review visit 1: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Cleanliness of facility?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52ccleanlinessoffacility,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063300,Review visit 2,3,Review visit 2: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Cleanliness of facility?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063285,Assessment of quality care: Cleanliness of facility,Review visit 2: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Cleanliness of facility?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52dcleanlinessoffacility,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063305,Review visit 3,4,Review visit 3: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Cleanliness of facility?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063285,Assessment of quality care: Cleanliness of facility,Review visit 3: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Cleanliness of facility?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52ecleanlinessoffacility,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063310,Review visit 4,5,Review visit 4: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Cleanliness of facility?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063285,Assessment of quality care: Cleanliness of facility,Review visit 4: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Cleanliness of facility?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52fcleanlinessoffacility,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063315,Review visit 5,6,Review visit 6: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Cleanliness of facility?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063285,Assessment of quality care: Cleanliness of facility,Review visit 6: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Cleanliness of facility?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52gcleanlinessoffacility,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063320,Review visit 6,7,Review visit 7: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Cleanliness of facility?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063285,Assessment of quality care: Cleanliness of facility,Review visit 7: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Cleanliness of facility?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52hcleanlinessoffacility,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063325,Review visit 7,8,Review visit 8: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Cleanliness of facility?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063285,Assessment of quality care: Cleanliness of facility,Review visit 8: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Cleanliness of facility?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52acourtesyofstaff,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063288,Initial visit,1,Initial visit: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Courtesy of staff?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063283,Assessment of quality care: Courtesy of staff,Initial visit: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Courtesy of staff?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52bcourtesyofstaff,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063293,Review visit 1,2,Review visit 1: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Courtesy of staff?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063283,Assessment of quality care: Courtesy of staff,Review visit 1: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Courtesy of staff?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52ccourtesyofstaff,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063298,Review visit 2,3,Review visit 2: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Courtesy of staff?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063283,Assessment of quality care: Courtesy of staff,Review visit 2: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Courtesy of staff?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52dcourtesyofstaff,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063303,Review visit 3,4,Review visit 3: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Courtesy of staff?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063283,Assessment of quality care: Courtesy of staff,Review visit 3: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Courtesy of staff?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52ecourtesyofstaff,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063308,Review visit 4,5,Review visit 4: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Courtesy of staff?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063283,Assessment of quality care: Courtesy of staff,Review visit 4: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Courtesy of staff?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52fcourtesyofstaff,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063313,Review visit 5,6,Review visit 6: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Courtesy of staff?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063283,Assessment of quality care: Courtesy of staff,Review visit 6: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Courtesy of staff?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52gcourtesyofstaff,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063318,Review visit 6,7,Review visit 7: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Courtesy of staff?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063283,Assessment of quality care: Courtesy of staff,Review visit 7: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Courtesy of staff?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52hcourtesyofstaff,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063323,Review visit 7,8,Review visit 8: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Courtesy of staff?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063283,Assessment of quality care: Courtesy of staff,Review visit 8: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Courtesy of staff?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52atimespentwithclinician,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063286,Initial visit,1,Initial visit: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Time spent with the clinician?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063281,Assessment of quality care: time spent with clinician,Initial visit: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Time spent with the clinician?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52btimespentwithclinician,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063291,Review visit 1,2,Review visit 1: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Time spent with the clinician?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063281,Assessment of quality care: time spent with clinician,Review visit 1: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Time spent with the clinician?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52ctimespentwithclinician,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063296,Review visit 2,3,Review visit 2: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Time spent with the clinician?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063281,Assessment of quality care: time spent with clinician,Review visit 2: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Time spent with the clinician?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52dtimespentwithclinician,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063301,Review visit 3,4,Review visit 3: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Time spent with the clinician?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063281,Assessment of quality care: time spent with clinician,Review visit 3: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Time spent with the clinician?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52etimespentwithclinician,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063306,Review visit 4,5,Review visit 4: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Time spent with the clinician?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063281,Assessment of quality care: time spent with clinician,Review visit 4: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Time spent with the clinician?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52ftimespentwithclinician,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063311,Review visit 5,6,Review visit 6: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Time spent with the clinician?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063281,Assessment of quality care: time spent with clinician,Review visit 6: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Time spent with the clinician?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52gtimespentwithclinician,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063316,Review visit 6,7,Review visit 7: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Time spent with the clinician?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063281,Assessment of quality care: time spent with clinician,Review visit 7: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Time spent with the clinician?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52htimespentwithclinician,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063321,Review visit 7,8,Review visit 8: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Time spent with the clinician?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063281,Assessment of quality care: time spent with clinician,Review visit 8: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Time spent with the clinician?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52awaitingtime,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063287,Initial visit,1,Initial visit: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Waiting time?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063282,Assessment of quality care: Waiting time,Initial visit: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Waiting time?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52bwaitingtime,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063292,Review visit 1,2,Review visit 1: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Waiting time?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063282,Assessment of quality care: Waiting time,Review visit 1: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Waiting time?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52cwaitingtime,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063297,Review visit 2,3,Review visit 2: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Waiting time?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063282,Assessment of quality care: Waiting time,Review visit 2: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Waiting time?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52dwaitingtime,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063302,Review visit 3,4,Review visit 3: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Waiting time?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063282,Assessment of quality care: Waiting time,Review visit 3: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Waiting time?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52ewaitingtime,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063307,Review visit 4,5,Review visit 4: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Waiting time?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063282,Assessment of quality care: Waiting time,Review visit 4: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Waiting time?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52fwaitingtime,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063312,Review visit 5,6,Review visit 6: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Waiting time?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063282,Assessment of quality care: Waiting time,Review visit 6: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Waiting time?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52gwaitingtime,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063317,Review visit 6,7,Review visit 7: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Waiting time?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063282,Assessment of quality care: Waiting time,Review visit 7: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Waiting time?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq52hwaitingtime,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0063322,Review visit 7,8,Review visit 8: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Waiting time?,Participant,http://purl.obolibrary.org/obo/EUPATH_0063282,Assessment of quality care: Waiting time,Review visit 8: How would you assess the following aspects of quality care in the health facility visited/PrEP site: Waiting time?,"1=Very satisfied, 2=Satisfied, 3=Not satisfied, 4= Not at all satisfied, 99=Don't know",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq26bradio,jilinde_costing_survey,http://purl.obolibrary.org/obo/ENVO_01000577,Radio,1,Household assets: Radio,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Household assets: Radio,"1=Yes, 2=No",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq26ctvset,jilinde_costing_survey,http://purl.obolibrary.org/obo/ENVO_01000579,Television,2,Household assets: TV,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Household assets: TV,"1=Yes, 2=No",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq26etelephone,jilinde_costing_survey,http://purl.obolibrary.org/obo/ENVO_01000580,Telephone (mobile or non-mobile),3,Household assets: Telephone,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Household assets: Telephone,"1=Yes, 2=No",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq26fcarpicktruck,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0000171,Car or truck,4,Household assets: Car/Pick-up truck,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Household assets: Car/Pick-up truck,"1=Yes, 2=No",value,,,,,jilinde_costing_survey,,,,,,,,,
cdq26aelectricity,jilinde_costing_survey,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,5,Household assets: Electricity,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,Household assets: Electricity,"1=Yes, 2=No",value,,,,,jilinde_costing_survey,,,,,,,,,
