variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceStringType,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
q30fsourceofincomefixedassets,jilinde_costing_survey,,"Fixed assets (e.g. housing, land lease, etc) ","On average how much money per month (income) do you get from fixed assets (e.g. housing, land lease, etc)? (In local currency, Kshs)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"On average how much money per month (income) do you get from fixed assets (e.g. housing, land lease, etc)? (In local currency, Kshs)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q30hothersource2,jilinde_costing_survey,,Other sources ,"On average how much money per month (income) do you get from other sources? (In local currency, Kshs)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"On average how much money per month (income) do you get from other sources? (In local currency, Kshs)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q30itotalincome,jilinde_costing_survey,,Total monthly income,Total monthly income,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Total monthly income,,variable,,,,,jilinde_costing_survey,,,,,,,,,
q31aexpensesfoodandnonalcoholicb,jilinde_costing_survey,,Food and non-alcoholic beverages,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Food and non-alcoholic beverages",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Food and non-alcoholic beverages",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q31bexpenseshouserent,jilinde_costing_survey,,House rent ,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): House rent (if applicable)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): House rent (if applicable)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q31cexpensesclothingsbeddingsfoo,jilinde_costing_survey,,"Clothing, beddings, footwear","About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Clothing, beddings, footwear",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Clothing, beddings, footwear",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q31dexpenseswaterecletricitygasf,jilinde_costing_survey,,"Water, electricity, gas, and fuels (including firewood)","About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Water, electricity, gas, and fuels (including firewood)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Water, electricity, gas, and fuels (including firewood)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q31eexpenseshhequipmentsfurnitur,jilinde_costing_survey,,"Furniture, household equipment, and routine maintenance of the house","About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Furniture, household equipment, and routine maintenance of the house",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Furniture, household equipment, and routine maintenance of the house",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q31fexpenseshealthcaremedical,jilinde_costing_survey,,Healthcare and medical expenses,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Healthcare and medical expenses",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Healthcare and medical expenses",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q31gexpensestransport,jilinde_costing_survey,,Transport,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Transport",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Transport",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q31hexpensescommunicationphonech,jilinde_costing_survey,,Communication including phone charges,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Communication including phone charges",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Communication including phone charges",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q31iexpenseseducation,jilinde_costing_survey,,"Education (including fees, purchase of books, etc.","About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Education (including fees, purchase of books, etc.",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Education (including fees, purchase of books, etc.",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q31jexpensesdomesticworker,jilinde_costing_survey,,Payment of domestic workers,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Payment of domestic workers",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Payment of domestic workers",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q31kotherexpenses1,jilinde_costing_survey,,Other monthly expenses,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Other expenses",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"About how much money (in local currency, Kenya shillings) did you spend LAST MONTH, on the following activities/items (EXPENDITURE): Other expenses",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q31lotherexpenses2,jilinde_costing_survey,,Other monthly expenses,Map to variable: q31kotherexpenses1,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Map to variable: q31kotherexpenses1,,variable,,,,,jilinde_costing_survey,,,,,,,,,
q31mtotalexpenditure,jilinde_costing_survey,,Total monthly expenditure in local currency,Total monthly expenditure,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Total monthly expenditure,,variable,,,,,jilinde_costing_survey,,,,,,,,,
q38amount1,jilinde_costing_survey,,Cost of service in local currency ,"Cost of service (in local currency, Kshs)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"Cost of service (in local currency, Kshs)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q42amount1,jilinde_costing_survey,,Amount of funds in local currency ,"Amount of funds (in local currency, Kshs)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"Amount of funds (in local currency, Kshs)",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q43initialvisit,jilinde_costing_survey,,Time between arrival and being seen by a clinician for initial visit,How long did you wait between arrival and being seen by a clinician? (min) Initial visit,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,How long did you wait between arrival and being seen by a clinician? (min) Initial visit,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q43reviewvisit1,jilinde_costing_survey,,Time between arrival and being seen by a clinician for 1st review visit  ,How long did you wait between arrival and being seen by a clinician? (min) Review visit 1,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,How long did you wait between arrival and being seen by a clinician? (min) Review visit 1,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q43reviewvisit2,jilinde_costing_survey,,Time between arrival and being seen by a clinician for 2nd review visit,How long did you wait between arrival and being seen by a clinician? (min) Review visit 2,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,How long did you wait between arrival and being seen by a clinician? (min) Review visit 2,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q43reviewvisit3,jilinde_costing_survey,,Time between arrival and being seen by a clinician for 3rd review visit,How long did you wait between arrival and being seen by a clinician? (min) Review visit 3,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,How long did you wait between arrival and being seen by a clinician? (min) Review visit 3,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q43reviewvisit4,jilinde_costing_survey,,Time between arrival and being seen by a clinician for 4th review visit,How long did you wait between arrival and being seen by a clinician? (min) Review visit 4,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,How long did you wait between arrival and being seen by a clinician? (min) Review visit 4,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q43reviewvisit5,jilinde_costing_survey,,Time between arrival and being seen by a clinician for 5th review visit,How long did you wait between arrival and being seen by a clinician? (min) Review visit 5,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,How long did you wait between arrival and being seen by a clinician? (min) Review visit 5,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q43reviewvisit6,jilinde_costing_survey,,Time between arrival and being seen by a clinician for 6th review visit ,How long did you wait between arrival and being seen by a clinician? (min) Review visit 6,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,How long did you wait between arrival and being seen by a clinician? (min) Review visit 6,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q43reviewvisit7,jilinde_costing_survey,,Time between arrival and being seen by a clinician for 7th review visit,How long did you wait between arrival and being seen by a clinician? (min) Review visit 7,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,How long did you wait between arrival and being seen by a clinician? (min) Review visit 7,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q44initialvisit,jilinde_costing_survey,,Time between consultation and exit for Initial visit,How long did you spend after consultation and the point of exit? (min) Initial visit,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,How long did you spend after consultation and the point of exit? (min) Initial visit,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q44reviewvisit1,jilinde_costing_survey,,Time between consultation and exit for 1st review visit ,How long did you spend after consultation and the point of exit? (min) Review visit 1,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,How long did you spend after consultation and the point of exit? (min) Review visit 1,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q44reviewvisit2,jilinde_costing_survey,,Time between consultation and exit for 2nd review visit ,How long did you spend after consultation and the point of exit? (min) Review visit 2,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,How long did you spend after consultation and the point of exit? (min) Review visit 2,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q44reviewvisit3,jilinde_costing_survey,,Time between consultation and exit for 3rd review visit ,How long did you spend after consultation and the point of exit? (min) Review visit 3,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,How long did you spend after consultation and the point of exit? (min) Review visit 3,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q44reviewvisit4,jilinde_costing_survey,,Time between consultation and exit for 4th review visit ,How long did you spend after consultation and the point of exit? (min) Review visit 4,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,How long did you spend after consultation and the point of exit? (min) Review visit 4,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q44reviewvisit5,jilinde_costing_survey,,Time between consultation and exit for 5th review visit ,How long did you spend after consultation and the point of exit? (min) Review visit 5,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,How long did you spend after consultation and the point of exit? (min) Review visit 5,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q44reviewvisit6,jilinde_costing_survey,,Time between consultation and exit for 6th review visit ,How long did you spend after consultation and the point of exit? (min) Review visit 6,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,How long did you spend after consultation and the point of exit? (min) Review visit 6,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q44reviewvisit7,jilinde_costing_survey,,Time between consultation and exit for 7th review visit ,How long did you spend after consultation and the point of exit? (min) Review visit 7,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,How long did you spend after consultation and the point of exit? (min) Review visit 7,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q45initialvisit,jilinde_costing_survey,,Time taken to get to the service provider and back for initial visit,How long did it take you to get to the service provider and back? (min) Initial visit,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,How long did it take you to get to the service provider and back? (min) Initial visit,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q45reviewvisit1,jilinde_costing_survey,,Time taken to get to the service provider and back for 1st review visit ,How long did it take you to get to the service provider and back? (min) Review visit 1,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,How long did it take you to get to the service provider and back? (min) Review visit 1,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q45reviewvisit2,jilinde_costing_survey,,Time taken to get to the service provider and back for 2nd review visit  ,How long did it take you to get to the service provider and back? (min) Review visit 2,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,How long did it take you to get to the service provider and back? (min) Review visit 2,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q45reviewvisit3,jilinde_costing_survey,,Time taken to get to the service provider and back for 3rd review visit  ,How long did it take you to get to the service provider and back? (min) Review visit 3,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,How long did it take you to get to the service provider and back? (min) Review visit 3,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q45reviewvisit4,jilinde_costing_survey,,Time taken to get to the service provider and back for 4th review visit  ,How long did it take you to get to the service provider and back? (min) Review visit 4,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,How long did it take you to get to the service provider and back? (min) Review visit 4,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q45reviewvisit5,jilinde_costing_survey,,Time taken to get to the service provider and back for 5th review visit  ,How long did it take you to get to the service provider and back? (min) Review visit 5,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,How long did it take you to get to the service provider and back? (min) Review visit 5,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q45reviewvisit6,jilinde_costing_survey,,Time taken to get to the service provider and back for 6th review visit  ,How long did it take you to get to the service provider and back? (min) Review visit 6,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,How long did it take you to get to the service provider and back? (min) Review visit 6,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q45reviewvisit7,jilinde_costing_survey,,Time taken to get to the service provider and back for 7th review visit,How long did it take you to get to the service provider and back? (min) Review visit 7,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,How long did it take you to get to the service provider and back? (min) Review visit 7,,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q47initialvisit,jilinde_costing_survey,,Time family member accompanied for initial visit,"If family member accompanied you for the visit, for how many hours were you accompanied? (min) Initial visit",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"If family member accompanied you for the visit, for how many hours were you accompanied? (min) Initial visit",,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q47reviewvisit1,jilinde_costing_survey,,Time family member accompanied for 1st review visit,"If family member accompanied you for the visit, for how many hours were you accompanied? (min) Review visit 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"If family member accompanied you for the visit, for how many hours were you accompanied? (min) Review visit 1",,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q47reviewvisit2,jilinde_costing_survey,,Time family member accompanied for 2nd review visit,"If family member accompanied you for the visit, for how many hours were you accompanied? (min) Review visit 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"If family member accompanied you for the visit, for how many hours were you accompanied? (min) Review visit 2",,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q47reviewvisit3,jilinde_costing_survey,,Time family member accompanied for 3rd review visit,"If family member accompanied you for the visit, for how many hours were you accompanied? (min) Review visit 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"If family member accompanied you for the visit, for how many hours were you accompanied? (min) Review visit 3",,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q47reviewvisit4,jilinde_costing_survey,,Time family member accompanied for 4th review visit,"If family member accompanied you for the visit, for how many hours were you accompanied? (min) Review visit 4",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"If family member accompanied you for the visit, for how many hours were you accompanied? (min) Review visit 4",,variable,,,,,jilinde_costing_survey,min,http://purl.obolibrary.org/obo/UO_0000031,,,,,,,
q48initialvisit,jilinde_costing_survey,,Distance covered by family member to get to the facility for initial visit,What distance did family member cover in Km to get to the facility?Initial visit,Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"What distance did family member cover in
Km to get to the facility? Initial visit",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q48reviewvisit1,jilinde_costing_survey,,Distance covered by family member to get to the facility for 1st review visit  ,"What distance did family member cover in
Km to get to the facility? Review visit 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"What distance did family member cover in
Km to get to the facility? Review visit 1",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q48reviewvisit2,jilinde_costing_survey,,Distance covered by family member to get to the facility for 2nd review visit  ,"What distance did family member cover in
Km to get to the facility? Review visit 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"What distance did family member cover in
Km to get to the facility? Review visit 2",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q48reviewvisit3,jilinde_costing_survey,,Distance covered by family member to get to the facility for 3rd review visit  ,"What distance did family member cover in
Km to get to the facility? Review visit 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"What distance did family member cover in
Km to get to the facility? Review visit 3",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q48reviewvisit4,jilinde_costing_survey,,Distance covered by family member to get to the facility for 4th review visit  ,"What distance did family member cover in
Km to get to the facility? Review visit 4",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"What distance did family member cover in
Km to get to the facility? Review visit 4",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q48reviewvisit5,jilinde_costing_survey,,Distance covered by family member to get to the facility for 5th review visit  ,"What distance did family member cover in
Km to get to the facility? Review visit 5",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"What distance did family member cover in
Km to get to the facility? Review visit 5",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q48reviewvisit6,jilinde_costing_survey,,Distance covered by family member to get to the facility for 6th review visit  ,"What distance did family member cover in
Km to get to the facility? Review visit 6",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"What distance did family member cover in
Km to get to the facility? Review visit 6",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q48reviewvisit7,jilinde_costing_survey,,Distance covered by family member to get to the facility for 7th review visit  ,"What distance did family member cover in
Km to get to the facility? Review visit 7",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"What distance did family member cover in
Km to get to the facility? Review visit 7",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q50initialvisit,jilinde_costing_survey,,Payment for transport to and from this provider for initial visit,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Initial visit",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Initial visit",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q50reviewvisit1,jilinde_costing_survey,,Payment for transport to and from this provider for 1st review visit,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 1",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 1",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q50reviewvisit2,jilinde_costing_survey,,Payment for transport to and from this provider for 2nd review visit,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 2",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 2",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q50reviewvisit3,jilinde_costing_survey,,Payment for transport to and from this provider for 3rd review visit,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 3",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 3",,variable,,,,,jilinde_costing_survey,,,,,,,,,
q50reviewvisit4,jilinde_costing_survey,,Payment for transport to and from this provider for 4th review visit,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 4",Participant,http://purl.obolibrary.org/obo/EUPATH_0010008,Current care expenses,"How much in total did you pay for transport for the journey to and back from this provider? (in local currency, Kshs) Review visit 4",,variable,,,,,jilinde_costing_survey,,,,,,,,,
