variable	variable2	values	mappedTerm	valueOrder
clinical survey level data baseline survey::rdtrslt	clinical survey level data baseline survey::rdtrslt	Negative		
clinical survey level data baseline survey::rdtrslt	clinical survey level data baseline survey::rdtrslt	Positive		
clinical survey level data baseline survey::rdtrslt	clinical survey level data baseline survey::rdtrslt	Skipped			
clinical survey level data baseline survey::meds	clinical survey level data baseline survey::meds	-9		
clinical survey level data baseline survey::meds	clinical survey level data baseline survey::meds	0		
clinical survey level data baseline survey::meds	clinical survey level data baseline survey::meds	1		
clinical survey level data baseline survey::whichmeds	clinical survey level data baseline survey::whichmeds	AL + pandadol		
clinical survey level data baseline survey::whichmeds	clinical survey level data baseline survey::whichmeds	None		
clinical survey level data baseline survey::whichmeds	clinical survey level data baseline survey::whichmeds	Only panadol		
clinical survey level data baseline survey::descothermed	clinical survey level data baseline survey::descothermed	-9		
clinical survey level data baseline survey::referred	clinical survey level data baseline survey::referred	-9		
clinical survey level data baseline survey::referred	clinical survey level data baseline survey::referred	0		
clinical survey level data baseline survey::referred	clinical survey level data baseline survey::referred	1		
clinical survey level data baseline survey::whyreferred	clinical survey level data baseline survey::whyreferred	-9		
clinical survey level data baseline survey::whyreferred	clinical survey level data baseline survey::whyreferred	FOR FURTHER MANAGEMENT		
clinical survey level data baseline survey::whyreferred	clinical survey level data baseline survey::whyreferred	FOR FUTHER MANAGEMNET		
clinical survey level data baseline survey::whyreferred	clinical survey level data baseline survey::whyreferred	FURTHER MANAGEMENT		
clinical survey level data baseline survey::whyreferred	clinical survey level data baseline survey::whyreferred	FURTHER MANAGENT		
clinical survey level data baseline survey::whyreferred	clinical survey level data baseline survey::whyreferred	HB IS TOO LOW		
household level data baseline survey::survey	household level data baseline survey::survey	Baseline		
household level data baseline survey::village	household level data baseline survey::village	continuous		
household level data baseline survey::npeople	household level data baseline survey::npeople	-9		
household level data baseline survey::numpeop	household level data baseline survey::numpeop	NA		
household level data baseline survey::swater	household level data baseline survey::swater	-9		
household level data baseline survey::swater	household level data baseline survey::swater	10		
household level data baseline survey::swater	household level data baseline survey::swater	11		
household level data baseline survey::swater	household level data baseline survey::swater	12		
household level data baseline survey::swater	household level data baseline survey::swater	13		
household level data baseline survey::swater	household level data baseline survey::swater	21		
household level data baseline survey::swater	household level data baseline survey::swater	22		
household level data baseline survey::swater	household level data baseline survey::swater	31		
household level data baseline survey::swater	household level data baseline survey::swater	32		
household level data baseline survey::swater	household level data baseline survey::swater	41		
household level data baseline survey::swater	household level data baseline survey::swater	42		
household level data baseline survey::otherscs	household level data baseline survey::otherscs	-9		
household level data baseline survey::tfaclty	household level data baseline survey::tfaclty	-9		
household level data baseline survey::tfaclty	household level data baseline survey::tfaclty	1		
household level data baseline survey::tfaclty	household level data baseline survey::tfaclty	2		
household level data baseline survey::tfaclty	household level data baseline survey::tfaclty	3		
household level data baseline survey::tfaclty	household level data baseline survey::tfaclty	4		
household level data baseline survey::tfaclty	household level data baseline survey::tfaclty	5		
household level data baseline survey::tfaclty	household level data baseline survey::tfaclty	6		
household level data baseline survey::tfaclty	household level data baseline survey::tfaclty	7		
household level data baseline survey::tfaclty	household level data baseline survey::tfaclty	8		
household level data baseline survey::otherfcy	household level data baseline survey::otherfcy	-9		
household level data baseline survey::fueltype	household level data baseline survey::fueltype	-9		
household level data baseline survey::fueltype	household level data baseline survey::fueltype	1		
household level data baseline survey::fueltype	household level data baseline survey::fueltype	4		
household level data baseline survey::fueltype	household level data baseline survey::fueltype	5		
household level data baseline survey::fueltype	household level data baseline survey::fueltype	6		
household level data baseline survey::fueltype	household level data baseline survey::fueltype	7		
household level data baseline survey::otherfuel	household level data baseline survey::otherfuel	-9		
household level data baseline survey::senergy	household level data baseline survey::senergy	-9		
household level data baseline survey::senergy	household level data baseline survey::senergy	1		
household level data baseline survey::senergy	household level data baseline survey::senergy	2		
household level data baseline survey::senergy	household level data baseline survey::senergy	4		
household level data baseline survey::senergy	household level data baseline survey::senergy	5		
household level data baseline survey::senergy	household level data baseline survey::senergy	6		
household level data baseline survey::senergy	household level data baseline survey::senergy	7		
household level data baseline survey::senergy	household level data baseline survey::senergy	8		
household level data baseline survey::senergy	household level data baseline survey::senergy	9		
household level data baseline survey::othereng	household level data baseline survey::othereng	-9		
household level data baseline survey::mmfloor	household level data baseline survey::mmfloor	Skipped		
household level data baseline survey::mmfloor	household level data baseline survey::mmfloor	bricks		
household level data baseline survey::mmfloor	household level data baseline survey::mmfloor	cement/concrete		
household level data baseline survey::mmfloor	household level data baseline survey::mmfloor	earth and dung		
household level data baseline survey::mmfloor	household level data baseline survey::mmfloor	earth or sand		
household level data baseline survey::othermmf	household level data baseline survey::othermmf	-9		
household level data baseline survey::mmroof	household level data baseline survey::mmroof	Skipped		
household level data baseline survey::mmroof	household level data baseline survey::mmroof	cement		
household level data baseline survey::mmroof	household level data baseline survey::mmroof	iron sheets		
household level data baseline survey::mmroof	household level data baseline survey::mmroof	mud		
household level data baseline survey::mmroof	household level data baseline survey::mmroof	thatched (including papyrus)		
household level data baseline survey::othermmr	household level data baseline survey::othermmr	-9		
household level data baseline survey::mmewalls	household level data baseline survey::mmewalls	Skipped		
household level data baseline survey::mmewalls	household level data baseline survey::mmewalls	burnt bricks with mud		
household level data baseline survey::mmewalls	household level data baseline survey::mmewalls	burnt bricks with plaster/cement		
household level data baseline survey::mmewalls	household level data baseline survey::mmewalls	cement blocks		
household level data baseline survey::mmewalls	household level data baseline survey::mmewalls	mud and poles		
household level data baseline survey::mmewalls	household level data baseline survey::mmewalls	thatched/straw		
household level data baseline survey::mmewalls	household level data baseline survey::mmewalls	un-burnt bricks		
household level data baseline survey::mmewalls	household level data baseline survey::mmewalls	un-burnt bricks with plaster/cement		
household level data baseline survey::othermme	household level data baseline survey::othermme	-9		
household level data baseline survey::eaves	household level data baseline survey::eaves	-9		
household level data baseline survey::eaves	household level data baseline survey::eaves	0		
household level data baseline survey::eaves	household level data baseline survey::eaves	1		
household level data baseline survey::eavetype	household level data baseline survey::eavetype	-9		
household level data baseline survey::eavetype	household level data baseline survey::eavetype	1		
household level data baseline survey::eavetype	household level data baseline survey::eavetype	2		
household level data baseline survey::housetype	household level data baseline survey::housetype	0	No	
household level data baseline survey::housetype	household level data baseline survey::housetype	1	Yes	
household level data baseline survey::housetype	household level data baseline survey::housetype	NA	NA	
household level data baseline survey::windows	household level data baseline survey::windows	-9		
household level data baseline survey::windows	household level data baseline survey::windows	0		
household level data baseline survey::windows	household level data baseline survey::windows	1		
household level data baseline survey::covered	household level data baseline survey::covered	-9		
household level data baseline survey::covered	household level data baseline survey::covered	0		
household level data baseline survey::covered	household level data baseline survey::covered	1		
household level data baseline survey::screened	household level data baseline survey::screened	No		
household level data baseline survey::hhrooms	household level data baseline survey::hhrooms	-9		
household level data baseline survey::hhrooms	household level data baseline survey::hhrooms	1		
household level data baseline survey::hhrooms	household level data baseline survey::hhrooms	2		
household level data baseline survey::hhrooms	household level data baseline survey::hhrooms	3		
household level data baseline survey::hhrooms	household level data baseline survey::hhrooms	4		
household level data baseline survey::hhrooms	household level data baseline survey::hhrooms	5		
household level data baseline survey::hhrooms	household level data baseline survey::hhrooms	6		
household level data baseline survey::hhrooms	household level data baseline survey::hhrooms	7		
household level data baseline survey::hhrooms	household level data baseline survey::hhrooms	8	
household level data baseline survey::crowding	household level data baseline survey::crowding	NA		
household level data baseline survey::hhspaces	household level data baseline survey::hhspaces	-9		
household level data baseline survey::hhspaces	household level data baseline survey::hhspaces	1		
household level data baseline survey::hhspaces	household level data baseline survey::hhspaces	2		
household level data baseline survey::hhspaces	household level data baseline survey::hhspaces	3		
household level data baseline survey::hhspaces	household level data baseline survey::hhspaces	4		
household level data baseline survey::hhspaces	household level data baseline survey::hhspaces	5		
household level data baseline survey::hhspaces	household level data baseline survey::hhspaces	6		
household level data baseline survey::hhspaces	household level data baseline survey::hhspaces	7		
household level data baseline survey::hhspaces	household level data baseline survey::hhspaces	8		
household level data baseline survey::hhspaces	household level data baseline survey::hhspaces	10		
household level data baseline survey::electricity	household level data baseline survey::electricity	-9		
household level data baseline survey::electricity	household level data baseline survey::electricity	0		
household level data baseline survey::electricity	household level data baseline survey::electricity	1		
household level data baseline survey::radio	household level data baseline survey::radio	-9		
household level data baseline survey::radio	household level data baseline survey::radio	0		
household level data baseline survey::radio	household level data baseline survey::radio	1		
household level data baseline survey::cassette	household level data baseline survey::cassette	-9		
household level data baseline survey::cassette	household level data baseline survey::cassette	0		
household level data baseline survey::cassette	household level data baseline survey::cassette	1		
household level data baseline survey::tv	household level data baseline survey::tv	-9		
household level data baseline survey::tv	household level data baseline survey::tv	0		
household level data baseline survey::tv	household level data baseline survey::tv	1		
household level data baseline survey::fridge	household level data baseline survey::fridge	-9		
household level data baseline survey::fridge	household level data baseline survey::fridge	0		
household level data baseline survey::fridge	household level data baseline survey::fridge	1		
household level data baseline survey::tble	household level data baseline survey::tble	-9		
household level data baseline survey::tble	household level data baseline survey::tble	0		
household level data baseline survey::tble	household level data baseline survey::tble	1		
household level data baseline survey::chair	household level data baseline survey::chair	-9		
household level data baseline survey::chair	household level data baseline survey::chair	0		
household level data baseline survey::chair	household level data baseline survey::chair	1		
household level data baseline survey::sofa	household level data baseline survey::sofa	-9		
household level data baseline survey::sofa	household level data baseline survey::sofa	0		
household level data baseline survey::sofa	household level data baseline survey::sofa	1		
household level data baseline survey::bed	household level data baseline survey::bed	-9		
household level data baseline survey::bed	household level data baseline survey::bed	0		
household level data baseline survey::bed	household level data baseline survey::bed	1		
household level data baseline survey::cupboard	household level data baseline survey::cupboard	-9		
household level data baseline survey::cupboard	household level data baseline survey::cupboard	0		
household level data baseline survey::cupboard	household level data baseline survey::cupboard	1		
household level data baseline survey::clock	household level data baseline survey::clock	-9		
household level data baseline survey::clock	household level data baseline survey::clock	0		
household level data baseline survey::clock	household level data baseline survey::clock	1		
household level data baseline survey::mobile	household level data baseline survey::mobile	-9		
household level data baseline survey::mobile	household level data baseline survey::mobile	0		
household level data baseline survey::mobile	household level data baseline survey::mobile	1		
household level data baseline survey::watch	household level data baseline survey::watch	-9		
household level data baseline survey::watch	household level data baseline survey::watch	0		
household level data baseline survey::watch	household level data baseline survey::watch	1		
household level data baseline survey::bicycle	household level data baseline survey::bicycle	-9		
household level data baseline survey::bicycle	household level data baseline survey::bicycle	0		
household level data baseline survey::bicycle	household level data baseline survey::bicycle	1		
household level data baseline survey::scooter	household level data baseline survey::scooter	-9		
household level data baseline survey::scooter	household level data baseline survey::scooter	0		
household level data baseline survey::scooter	household level data baseline survey::scooter	1		
household level data baseline survey::car	household level data baseline survey::car	-9		
household level data baseline survey::car	household level data baseline survey::car	0		
household level data baseline survey::car	household level data baseline survey::car	1		
household level data baseline survey::mboat	household level data baseline survey::mboat	-9		
household level data baseline survey::mboat	household level data baseline survey::mboat	0		
household level data baseline survey::nomboat	household level data baseline survey::nomboat	-9		
household level data baseline survey::nomboat	household level data baseline survey::nomboat	0		
household level data baseline survey::bankacco	household level data baseline survey::bankacco	-9		
household level data baseline survey::bankacco	household level data baseline survey::bankacco	0		
household level data baseline survey::bankacco	household level data baseline survey::bankacco	1		
household level data baseline survey::internet	household level data baseline survey::internet	-9		
household level data baseline survey::internet	household level data baseline survey::internet	-7		
household level data baseline survey::internet	household level data baseline survey::internet	0		
household level data baseline survey::internet	household level data baseline survey::internet	1		
household level data baseline survey::device	household level data baseline survey::device	-9		
household level data baseline survey::device	household level data baseline survey::device	1		
household level data baseline survey::device	household level data baseline survey::device	5		
household level data baseline survey::device	household level data baseline survey::device	6		
household level data baseline survey::smartphone	household level data baseline survey::smartphone	-9		
household level data baseline survey::smartphone	household level data baseline survey::smartphone	1		
household level data baseline survey::tablet	household level data baseline survey::tablet	-9		
household level data baseline survey::tablet	household level data baseline survey::tablet	0		
household level data baseline survey::tablet	household level data baseline survey::tablet	1		
household level data baseline survey::laptop	household level data baseline survey::laptop	-9		
household level data baseline survey::laptop	household level data baseline survey::laptop	0		
household level data baseline survey::laptop	household level data baseline survey::laptop	1		
household level data baseline survey::desktop	household level data baseline survey::desktop	-9		
household level data baseline survey::desktop	household level data baseline survey::desktop	0	
household level data baseline survey::numalandcol	household level data baseline survey::numalandcol	1		
household level data baseline survey::numalandcol	household level data baseline survey::numalandcol	2		
household level data baseline survey::numalandcol	household level data baseline survey::numalandcol	3		
household level data baseline survey::numalandcol	household level data baseline survey::numalandcol	4		
household level data baseline survey::numalandcol	household level data baseline survey::numalandcol	NA		
household level data baseline survey::wealthindex	household level data baseline survey::wealthindex	NA		
household level data baseline survey::wealthcat	household level data baseline survey::wealthcat	Least poor		
household level data baseline survey::wealthcat	household level data baseline survey::wealthcat	Middle		
household level data baseline survey::wealthcat	household level data baseline survey::wealthcat	NA		
household level data baseline survey::wealthcat	household level data baseline survey::wealthcat	Poorest			
household level data baseline survey::hhmeals	household level data baseline survey::hhmeals	-9		
household level data baseline survey::hhmeals	household level data baseline survey::hhmeals	-8		
household level data baseline survey::hhmeals	household level data baseline survey::hhmeals	1		
household level data baseline survey::hhmeals	household level data baseline survey::hhmeals	2		
household level data baseline survey::hhmeals	household level data baseline survey::hhmeals	3		
household level data baseline survey::hhmeals	household level data baseline survey::hhmeals	4		
household level data baseline survey::hhmeals	household level data baseline survey::hhmeals	6		
household level data baseline survey::hhmealscat	household level data baseline survey::hhmealscat	-9		
household level data baseline survey::hhmealscat	household level data baseline survey::hhmealscat	1		
household level data baseline survey::hhmealscat	household level data baseline survey::hhmealscat	2		
household level data baseline survey::hhmealscat	household level data baseline survey::hhmealscat	3		
household level data baseline survey::hhmealscat	household level data baseline survey::hhmealscat	4		
household level data baseline survey::hhnumt	household level data baseline survey::hhnumt	-9		
household level data baseline survey::hhnumt	household level data baseline survey::hhnumt	-8		
household level data baseline survey::hhnumt	household level data baseline survey::hhnumt	0		
household level data baseline survey::hhnumt	household level data baseline survey::hhnumt	1		
household level data baseline survey::hhnumt	household level data baseline survey::hhnumt	2		
household level data baseline survey::hhnumt	household level data baseline survey::hhnumt	3		
household level data baseline survey::hhnumt	household level data baseline survey::hhnumt	4		
household level data baseline survey::hhnumt	household level data baseline survey::hhnumt	5		
household level data baseline survey::hhnumt	household level data baseline survey::hhnumt	6		
household level data baseline survey::hhnumt	household level data baseline survey::hhnumt	7		
household level data baseline survey::hhnumtcat	household level data baseline survey::hhnumtcat	0		
household level data baseline survey::hhnumtcat	household level data baseline survey::hhnumtcat	1		
household level data baseline survey::hhnumtcat	household level data baseline survey::hhnumtcat	2		
household level data baseline survey::hhnumtcat	household level data baseline survey::hhnumtcat	3		
household level data baseline survey::hhnumtcat	household level data baseline survey::hhnumtcat	NA		
household level data baseline survey::hhpsf	household level data baseline survey::hhpsf	-9		
household level data baseline survey::hhpsf	household level data baseline survey::hhpsf	1		
household level data baseline survey::hhpsf	household level data baseline survey::hhpsf	2		
household level data baseline survey::hhpsf	household level data baseline survey::hhpsf	3		
household level data baseline survey::hhpsf	household level data baseline survey::hhpsf	4		
household level data baseline survey::hhpsf	household level data baseline survey::hhpsf	5		
household level data baseline survey::dhfctycat	household level data baseline survey::dhfctycat	0		
household level data baseline survey::dhfctycat	household level data baseline survey::dhfctycat	1		
household level data baseline survey::dhfctycat	household level data baseline survey::dhfctycat	2		
household level data baseline survey::dhfctycat	household level data baseline survey::dhfctycat	3		
household level data baseline survey::dhfctycat	household level data baseline survey::dhfctycat	4		
household level data baseline survey::mthfcty	household level data baseline survey::mthfcty	-9		
household level data baseline survey::mthfcty	household level data baseline survey::mthfcty	1		
household level data baseline survey::mthfcty	household level data baseline survey::mthfcty	4		
household level data baseline survey::mthfcty	household level data baseline survey::mthfcty	5		
household level data baseline survey::othermth	household level data baseline survey::othermth	-9		
household level data baseline survey::ahwker	household level data baseline survey::ahwker	-9		
household level data baseline survey::ahwker	household level data baseline survey::ahwker	-7		
household level data baseline survey::ahwker	household level data baseline survey::ahwker	0		
household level data baseline survey::ahwker	household level data baseline survey::ahwker	1		
household level data baseline survey::amchwker	household level data baseline survey::amchwker	-9		
household level data baseline survey::amchwker	household level data baseline survey::amchwker	-7		
household level data baseline survey::amchwker	household level data baseline survey::amchwker	0		
household level data baseline survey::amchwker	household level data baseline survey::amchwker	1		
household level data baseline survey::pspray	household level data baseline survey::pspray	-9		
household level data baseline survey::pspray	household level data baseline survey::pspray	-7		
household level data baseline survey::pspray	household level data baseline survey::pspray	0		
household level data baseline survey::pspray	household level data baseline survey::pspray	1		
household level data baseline survey::gpspray	household level data baseline survey::gpspray	No		
household level data baseline survey::gpspray	household level data baseline survey::gpspray	Yes		
household level data baseline survey::rgspray	household level data baseline survey::rgspray	-9		
household level data baseline survey::rgspray	household level data baseline survey::rgspray	96		
household level data baseline survey::otherrgs	household level data baseline survey::otherrgs	-9		
household level data baseline survey::otherrgs	household level data baseline survey::otherrgs	WAS AWAY IN THE FARM LAND OUTSIDE STUDY AREA		
household level data baseline survey::cov_spray	household level data baseline survey::cov_spray	-9		
household level data baseline survey::cov_spray	household level data baseline survey::cov_spray	-8		
household level data baseline survey::cov_spray	household level data baseline survey::cov_spray	-7		
household level data baseline survey::cov_spray	household level data baseline survey::cov_spray	0		
household level data baseline survey::cov_spray	household level data baseline survey::cov_spray	1		
household level data baseline survey::tspray	household level data baseline survey::tspray	-9		
household level data baseline survey::tspray	household level data baseline survey::tspray	-8		
household level data baseline survey::tspray	household level data baseline survey::tspray	12		
household level data baseline survey::receivenet	household level data baseline survey::receivenet	-9		
household level data baseline survey::receivenet	household level data baseline survey::receivenet	0		
household level data baseline survey::receivenet	household level data baseline survey::receivenet	1		
household level data baseline survey::manynet	household level data baseline survey::manynet	-9		
household level data baseline survey::manynet	household level data baseline survey::manynet	1		
household level data baseline survey::manynet	household level data baseline survey::manynet	2		
household level data baseline survey::manynet	household level data baseline survey::manynet	3		
household level data baseline survey::manynet	household level data baseline survey::manynet	4		
household level data baseline survey::manynet	household level data baseline survey::manynet	5		
household level data baseline survey::manynet	household level data baseline survey::manynet	6		
household level data baseline survey::manynet	household level data baseline survey::manynet	8		
household level data baseline survey::manynow	household level data baseline survey::manynow	-9		
household level data baseline survey::manynow	household level data baseline survey::manynow	0		
household level data baseline survey::manynow	household level data baseline survey::manynow	1		
household level data baseline survey::manynow	household level data baseline survey::manynow	2		
household level data baseline survey::manynow	household level data baseline survey::manynow	3		
household level data baseline survey::manynow	household level data baseline survey::manynow	4		
household level data baseline survey::manynow	household level data baseline survey::manynow	5		
household level data baseline survey::manynow	household level data baseline survey::manynow	6		
household level data baseline survey::manynow	household level data baseline survey::manynow	8		
household level data baseline survey::nettype	household level data baseline survey::nettype	NA		
household level data baseline survey::nettype	household level data baseline survey::nettype	No nets recieved		
household level data baseline survey::nettype	household level data baseline survey::nettype	Permanet 3.0		
household level data baseline survey::nettype	household level data baseline survey::nettype	Royal Guard		
household level data baseline survey::othernet	household level data baseline survey::othernet	-9		
household level data baseline survey::neteduc	household level data baseline survey::neteduc	-9		
household level data baseline survey::neteduc	household level data baseline survey::neteduc	-7		
household level data baseline survey::neteduc	household level data baseline survey::neteduc	0		
household level data baseline survey::neteduc	household level data baseline survey::neteduc	1		
household level data baseline survey::whynonet	household level data baseline survey::whynonet	-9		
household level data baseline survey::whynonet	household level data baseline survey::whynonet	2		
household level data baseline survey::whynonet	household level data baseline survey::whynonet	3		
household level data baseline survey::whynonet	household level data baseline survey::whynonet	5		
household level data baseline survey::whynonet	household level data baseline survey::whynonet	6		
household level data baseline survey::whynonet	household level data baseline survey::whynonet	9		
household level data baseline survey::whynonet	household level data baseline survey::whynonet	10		
household level data baseline survey::whyother	household level data baseline survey::whyother	-9		
household level data baseline survey::whyother	household level data baseline survey::whyother	I WAS TOLD MY NAME IS NOT IN THE REGISTER		
household level data baseline survey::whyother	household level data baseline survey::whyother	NETS  WERE  NOT ENOUGH		
household level data baseline survey::whyother	household level data baseline survey::whyother	NETS GOT FINISHED BEFORE THEM GETTING		
household level data baseline survey::whyother	household level data baseline survey::whyother	NETS WERE NOT ENOUGH AND WERE TOLD TO WAIT UPTO NOW		
household level data baseline survey::whyother	household level data baseline survey::whyother	SHE CAME WHEN NET HAD ALREADY BEEN GIVEN OUT		
household level data baseline survey::whyother	household level data baseline survey::whyother	TE NETS WERE NOT ENOUGH SO MY HOUSEHOLD MISSED.		
household level data baseline survey::whyother	household level data baseline survey::whyother	THE NETS WERE NOT ENOUGH		
household level data baseline survey::whyother	household level data baseline survey::whyother	THE NETS WERE NOT ENOUGH FOR ALL THE HOUSEHOLDS		
household level data baseline survey::whyother	household level data baseline survey::whyother	THEY MIGRATED TO THE VILLAGE , THEY WERE REFFERED TO THIER FORMER VILLAGE		
household level data baseline survey::whyother	household level data baseline survey::whyother	WE REACHED WHEN THE NETS WERE OVER		
household level data baseline survey::havenets	household level data baseline survey::havenets	-9		
household level data baseline survey::havenets	household level data baseline survey::havenets	0		
household level data baseline survey::havenets	household level data baseline survey::havenets	1		
household level data baseline survey::nnets	household level data baseline survey::nnets	-9		
household level data baseline survey::totalnet	household level data baseline survey::totalnet	NA		
household level data baseline survey::totalnetcat	household level data baseline survey::totalnetcat	0		
household level data baseline survey::totalnetcat	household level data baseline survey::totalnetcat	1		
household level data baseline survey::totalnetcat	household level data baseline survey::totalnetcat	2		
household level data baseline survey::totalnetcat	household level data baseline survey::totalnetcat	3		
household level data baseline survey::totalnetcat	household level data baseline survey::totalnetcat	4		
household level data baseline survey::totalnetcat	household level data baseline survey::totalnetcat	NA		
household level data baseline survey::totalllin	household level data baseline survey::totalllin	NA		
household level data baseline survey::totalllincat	household level data baseline survey::totalllincat	0		
household level data baseline survey::totalllincat	household level data baseline survey::totalllincat	1		
household level data baseline survey::totalllincat	household level data baseline survey::totalllincat	2		
household level data baseline survey::totalllincat	household level data baseline survey::totalllincat	3		
household level data baseline survey::totalllincat	household level data baseline survey::totalllincat	4		
household level data baseline survey::totalllincat	household level data baseline survey::totalllincat	NA		
household level data baseline survey::totalpermanet	household level data baseline survey::totalpermanet	NA		
household level data baseline survey::totalpermanetcat	household level data baseline survey::totalpermanetcat	0		
household level data baseline survey::totalpermanetcat	household level data baseline survey::totalpermanetcat	1		
household level data baseline survey::totalpermanetcat	household level data baseline survey::totalpermanetcat	2		
household level data baseline survey::totalpermanetcat	household level data baseline survey::totalpermanetcat	3		
household level data baseline survey::totalpermanetcat	household level data baseline survey::totalpermanetcat	4		
household level data baseline survey::totalpermanetcat	household level data baseline survey::totalpermanetcat	NA		
household level data baseline survey::totalroyalguard	household level data baseline survey::totalroyalguard	NA		
household level data baseline survey::totalroyalguardcat	household level data baseline survey::totalroyalguardcat	0		
household level data baseline survey::totalroyalguardcat	household level data baseline survey::totalroyalguardcat	1		
household level data baseline survey::totalroyalguardcat	household level data baseline survey::totalroyalguardcat	2		
household level data baseline survey::totalroyalguardcat	household level data baseline survey::totalroyalguardcat	3		
household level data baseline survey::totalroyalguardcat	household level data baseline survey::totalroyalguardcat	4		
household level data baseline survey::totalroyalguardcat	household level data baseline survey::totalroyalguardcat	NA		
household level data baseline survey::anyllindich	household level data baseline survey::anyllindich	0	No	
household level data baseline survey::anyllindich	household level data baseline survey::anyllindich	1	Yes	
household level data baseline survey::anyllindich	household level data baseline survey::anyllindich	NA	NA	
household level data baseline survey::anypndich	household level data baseline survey::anypndich	0	No	
household level data baseline survey::anypndich	household level data baseline survey::anypndich	1	Yes	
household level data baseline survey::anypndich	household level data baseline survey::anypndich	NA	NA	
household level data baseline survey::anyrgdich	household level data baseline survey::anyrgdich	0	No	
household level data baseline survey::anyrgdich	household level data baseline survey::anyrgdich	1	Yes	
household level data baseline survey::anyrgdich	household level data baseline survey::anyrgdich	NA	NA		
household level data baseline survey::netsperperson	household level data baseline survey::netsperperson	NA		
household level data baseline survey::llinsperperson	household level data baseline survey::llinsperperson	NA			
household level data baseline survey::pnperperson	household level data baseline survey::pnperperson	NA			
household level data baseline survey::rgperperson	household level data baseline survey::rgperperson	NA		
household level data baseline survey::adequatenets	household level data baseline survey::adequatenets	0	No	
household level data baseline survey::adequatenets	household level data baseline survey::adequatenets	1	Yes	
household level data baseline survey::adequatenets	household level data baseline survey::adequatenets	NA	NA	
household level data baseline survey::adequatellins	household level data baseline survey::adequatellins	0	No	
household level data baseline survey::adequatellins	household level data baseline survey::adequatellins	1	Yes	
household level data baseline survey::adequatellins	household level data baseline survey::adequatellins	NA	NA	
household level data baseline survey::adequatepn	household level data baseline survey::adequatepn	0	No	
household level data baseline survey::adequatepn	household level data baseline survey::adequatepn	1	Yes	
household level data baseline survey::adequatepn	household level data baseline survey::adequatepn	NA	NA	
household level data baseline survey::adequaterg	household level data baseline survey::adequaterg	0	No	
household level data baseline survey::adequaterg	household level data baseline survey::adequaterg	1	Yes	
household level data baseline survey::adequaterg	household level data baseline survey::adequaterg	NA	NA	
household level data baseline survey::cov_hear	household level data baseline survey::cov_hear	-9		
household level data baseline survey::cov_hear	household level data baseline survey::cov_hear	0		
household level data baseline survey::cov_hear	household level data baseline survey::cov_hear	1		
household level data baseline survey::cov_spread	household level data baseline survey::cov_spread	-7		
household level data baseline survey::cov_spread	household level data baseline survey::cov_spread	-9		
household level data baseline survey::cov_spread	household level data baseline survey::cov_spread	1		
