overallOrder,variable,dataset,keepDiscard,notesForDL,codebookDescription,codebookValues,Data.Dictionary.Label..en.,file_name_in_box.net,IRI,label,duplicated,dateTime,flag
84,malviv,Peru_individual,keep,participant,Lifetime episodes malaria vivax,numerical/77=not remember),Number of infections with P. vivax in lifetime,censo_exel_proy1.xlsx,EUPATH_0000346,Infections w/ p. viv,,,
85,malvivano,Peru_individual,keep,participant,Past year episodes malaria vivax,numerical/77=not remember),Number of infections with P. vivax in the last year,censo_exel_proy1.xlsx,EUPATH_0000347,Infections w/ p. viv last year,,,
86,malfal,Peru_individual,keep,participant,Lifetime episodes malaria falciparum,numerical/77=not remember),Number of infections with P. falciparum in lifetime,censo_exel_proy1.xlsx,EUPATH_0000348,Infections w/ p.fal,,,
87,malfalano,Peru_individual,keep,participant,Past year episodes malaria falciparum,numerical/77=not remember),Number of infections with P. falciparum in the last year,censo_exel_proy1.xlsx,EUPATH_0000349,Infections w/ p.fal last year,,,
88,viaantenf1,Peru_individual,keep,,Travel in the 2 weeks before most recent malaria episode,"1. Yes, 2. No, 77. Don't know, 99. Not applicable",,,,,,,
89,viaantenf2,Peru_individual,keep,,Travel in the 2 weeks before penultimate malaria episode,"1. Yes, 2. No, 77. Don't know, 99. Not applicable",,,,,,,
90,viaantenf3,Peru_individual,keep,,Travel in the 2 weeks before third most recent malaria episode,"1. Yes, 2. No, 77. Don't know, 99. Not applicable",,,,,,,
91,viaantenf4,Peru_individual,keep,,Travel in the 2 weeks before fourth most recent malaria episode,"1. Yes, 2. No, 77. Don't know, 99. Not applicable",,,,,,,
92,viaultimes,Peru_individual,keep,only at enrollment,Past month traveled further than 10 km from community,numeric,Travel in the last month (more than 10 km away from the community),censo_exel_proy1.xlsx,EUPATH_0000387,Travel in the last month,,,
93,durviaje1,Peru_individual,keep,,Number of days trip 1,numeric,,,,,,,
94,durviaje2,Peru_individual,keep,,Number of days trip 2,numeric,,,,,,,
95,durviaje3,Peru_individual,keep,,Number of days trip 3,numeric,,,,,,,
96,durviaje4,Peru_individual,keep,,Number of days trip 4,numeric,,,,,,,
97,naveviaje1,Peru_individual,keep,Collapse with viaotro1,Rivers traveled for trip 1,"1. Chambira, 2. Pintuyacu, 3. Ucayali, 4. Tigre, 5. Putumayo, 5. Pastaza, 7. Napo, 8. Nanay, 9. Morona, 10. Momon, 11. Maranon, 12. Huallaga, 13. Amazonas, 14. Itaya, 15. Mazan, 16. Others (specify), 77. Don't know, 99. Not applicable",,,,,,,
98,viaotro1,Peru_individual,keep,collapse with naveviaje1,Other river (specify),code,,,,,,,
99,naveviaje2,Peru_individual,discard,All data is NA,Rivers traveled for trip 2,,,,,,,,
100,viaotro2,Peru_individual,discard,All data is NA,Other river (specify),,,,,,,,
101,naveviaje3,Peru_individual,discard,All data is NA,Rivers traveled for trip 3,,,,,,,,
102,viaotro3,Peru_individual,discard,All data is NA,Other river (specify),,,,,,,,
103,naveviaje4,Peru_individual,discard,All data is NA,Rivers traveled for trip 4,,,,,,,,
104,viaotro4,Peru_individual,discard,"All data is NA except 1, but given that naveviaje2-4 is all NA, this is probably a data entry error",Other river (specify),,,,,,,,
105,lugcom1,Peru_individual,keep,Collapse with comotr1,Place/community trip 1 (code),"262 - Gallito, 264 - Gamitana Cocha, 312 - IQUITOS, 396 - Mazan, 401 - Miraflores, 1042 - Other (specify), 99 - Not applicable",,,,,,,
106,comotr1,Peru_individual,keep,Collapse with lugcom1,Other community (specify),code,,,,,,,
107,lugcom2,Peru_individual,keep,Collapse with comotr2,Place/community trip 2 (code),"262 - Gallito, 264 - Gamitana Cocha, 312 - IQUITOS, 396 - Mazan, 401 - Miraflores, 1042 - Other (specify), 99 - Not applicable",,,,,,,
108,comotr2,Peru_individual,keep,Collapse with lugcom2,Other community (specify),code,,,,,,,
109,lugcom3,Peru_individual,keep,Collapse with comotr3,Place/community trip 3 (code),"262 - Gallito, 264 - Gamitana Cocha, 312 - IQUITOS, 396 - Mazan, 401 - Miraflores, 1042 - Other (specify), 99 - Not applicable",,,,,,,
110,comotr3,Peru_individual,keep,Collapse with lugcom3,Other community (specify),code,,,,,,,
111,lugcom4,Peru_individual,keep,,Place/community trip 4 (code),"262 - Gallito, 264 - Gamitana Cocha, 312 - IQUITOS, 396 - Mazan, 401 - Miraflores, 1042 - Other (specify), 99 - Not applicable",,,,,,,
112,trabaj,Peru_individual,keep,participant,Employment status,"1. Permanent, 2. Temporary/seasonal, 3. Unemployed, 4. Student, 5. Minor, 6. Housewife",Type of occuaption,censo_exel_proy1.xlsx,EUPATH_0000359,Occupation,,,
113,destra,Peru_individual,discard,Asks for description of work. Too identifying when combined with age and village area,Description of work past month,text/99=NA,Job description,censo_exel_proy1.xlsx,EUPATH_0000356,Job description (Primary),,,
114,traprin,Peru_individual,keep,participant,Main occupation category,"1. Logger/lumberjack, 2. Urban work, 3. Fisherman, 4. Woodsman/coal merchant, 5. Farmer, 6. Boatman, 7. Debt collector, 8. Artisan, 9. Merchant, 10. Housekeeper, 11. Retired, 12. Dock worker/longshoreman, 13. Motorist/motorcylcist, 14. Fisherman/hunter, 15. Guard, 16. Worker, toiler, 17. Techincal, professional, 77. No data, 99. Not applicable",Primary economic activity,censo_exel_proy1.xlsx,EUPATH_0000354,Job (Primary),,,
115,traprinotr,Peru_individual,discard,"all participants have data entered for traprin, only 24 participants have some extra explanation added here. Likely too identifying, so will remove",Other occupation type(14),,,,,,,,
116,diassemp,Peru_individual,keep,participant,Days work per week main occupation,numerical/99=NA,Number of days per week at job,censo_exel_proy1.xlsx,EUPATH_0000350,Days worked per week (Primary),,,
117,hordiap,Peru_individual,keep,participant,Hours work per day main occupation,numerical/99=NA,Number of hours per day at job,censo_exel_proy1.xlsx,EUPATH_0000366,Work Hours/Day (Primary),,,
118,tieanop,Peru_individual,keep,,Time in main occupation (years),numeric,,,,,,,
119,recpagp,Peru_individual,keep,participant,Receive pay main occupation,"1. Yes, 2. No, 77. No data (missing?), 99. Not applicable",Received payment (primary activity),censo_exel_proy1.xlsx,EUPATH_0000362,Received payment (Primary),,,
120,cantip,Peru_individual,keep,May discard later as too identifying. ,Amount of pay main occupation,numerical/99=NA,Salary in soles (primary activity),censo_exel_proy1.xlsx,EUPATH_0000364,Salary in soles (Primary),,,
121,frepagp,Peru_individual,keep,participant,Frequency of pay main occupation,"1. Daily, 2. Weekly, 3. Monthly, 4. Piecework/stint, 5. Other, 77. No data (missing), 99.Not applicable",Pay period (primary activity),censo_exel_proy1.xlsx,EUPATH_0000360,Pay period (Primary),,,
122,otrlab,Peru_individual,keep,participant,Other job past month,"1. Yes, 2. No, 99. Not applicable",Other economic activity in the last month (secondary activity),censo_exel_proy1.xlsx,EUPATH_0000358,Job in the last month (Secondary),,,
123,lab,Peru_individual,keep,participant,Other job category,"1. Logger/lumberjack, 2. Urban work, 3. Fisherman, 4. Woodsman/coal merchant, 5. Farmer, 6. Boatman, 7. Debt collector, 8. Artisan, 9. Merchant, 10. Housekeeper, 11. Retired, 12. Dock worker/longshoreman, 13. Motorist/motorcylcist, 14. Fisherman/hunter, 15. Guard, 16. Worker, toiler, 17. Techincal, professional, 77. No data, 99. Not applicable",Secondary activity,censo_exel_proy1.xlsx,EUPATH_0000355,Job (Secondary),,,
124,labotr,Peru_individual,discard,"only one participant has anything entered, and this matches data for lab",Other job type (specify),text,Other job description ,censo_exel_proy1.xlsx,EUPATH_0000357,Job description (Secondary),,,
125,diasseml,Peru_individual,keep,participant,Days work other job per week,numeric,Number of days per week at other job,censo_exel_proy1.xlsx,EUPATH_0000351,Days worked per week (Secondary),,,
126,hordial,Peru_individual,keep,participant,Hours work other job per day,numerical/99=NA,Number of hours per day at other job,censo_exel_proy1.xlsx,EUPATH_0000367,Work Hours/Day (Secondary),,,
127,tieanol,Peru_individual,keep,,Time in other job (years),numeric,,,,,,,
128,recpagl,Peru_individual,keep,participant,Receive pay other job,"1. Yes, 2. No, 77. No data (missing?), 99. Not applicable",Received payment (Other job),censo_exel_proy1.xlsx,EUPATH_0000363,Received payment (Secondary),,,
129,cantil,Peru_individual,keep,May discard later as too identifying. ,Amount of pay other job,numerical/99=NA,Salary in soles (Other job),censo_exel_proy1.xlsx,EUPATH_0000365,Salary in soles (Secondary),,,
130,frepagl,Peru_individual,keep,participant,Frequency of pay other job,"1. Daily, 2. Weekly, 3. Monthly, 4. Piecework/stint, 5. Other, 77. No data (missing), 99.Not applicable",Pay period (Other job),censo_exel_proy1.xlsx,EUPATH_0000361,Pay period (Secondary),,,
131,cod_uni,Peru_F2,discard,"Use this and ""aa"" to identify each individual observation",Unique code (created for merge),,,,,,,,
132,cod_per,Peru_F2,discard,already noted in Peru_individual,Individual ID,free text,,,,,,,
133,dd,Peru_F2,keep,merge with mm and aa,Day of month,numeric,,,,,,yes,
134,mm,Peru_F2,keep,merge with dd and aa,Month of year,numeric,,,,,,yes,
135,aa,Peru_F2,keep,merge with dd and mm,Year,numeric,,,,,,yes,
136,dias,Peru_F2,discard,"Not for display on website, may be useful in calculating days ",Original days variable,text,Day,F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx,EUPATH_0000091,Date of visit,,,
137,nauseas,Peru_F2,keep,observation - asked about each day ,Nausea,"1. Yes, 2. No, -1. No data available",,,,,,,
138,vomitos,Peru_F2,keep,observation - asked about each day ,Vomiting,"1. Yes, 2. No, -1. No data available",,,,,,,
139,anorexia,Peru_F2,keep,observation - asked about each day ,Loss of appetite,"1. Yes, 2. No, -1. No data available",,,,,,,
140,mareos,Peru_F2,keep,observation - asked about each day ,Dizziness,"1. Yes, 2. No, -1. No data available",,,,,,,
141,diarrea,Peru_F2,keep,observation - asked about each day ,Diarrhea,"1. Yes, 2. No, -1. No data available",,,,,,,
142,tos,Peru_F2,keep,observation - asked about each day ,Cough,"1. Yes, 2. No, -1. No data available",,,,,,,
143,gotagruesa,Peru_F2,keep,observation - asked about each day ,Thick smear sample collected,"1. Yes, 2. No",,,,,,,
144,frotis,Peru_F2,keep,observation - asked about each day ,Smear,"N = negative, F = P. falciparum, V = P. vivax, M = mixta, -1. Not applicable (smear not taken)",,,,,,,
145,filtro,Peru_F2,keep,observation - asked about each day ,Filter paper,"1. Yes, 2. No, -1. No data available",,,,,,,
146,medicamento1,Peru_F2,keep,observation - asked about each day ,Take medication,"1. Yes, 2. No, -1. No data available",,,,,,,
147,medicamento2,Peru_F2,keep,observation - asked about each day ,Type medication,"C = cloroquine
P = primaquine
A + artesunate
M = mefloquine
Q = quinine
L = clindamicine
-1. No data available",,,,,,,
148,medicamento3,Peru_F2,keep,observation - asked about each day ,Type medication,"C = cloroquine
P = primaquine
A + artesunate
M = mefloquine
Q = quinine
L = clindamicine
-1. No data available",,,,,,,
149,contactomalaria,Peru_F2,keep,observation - asked about each day ,Contact with malaria,"1. Yes, 2. No, -1. No data available",,,,,,,
150,presencia,Peru_F2,keep,"may discard later, but asked only at every attempted visit",Present at time of hh visit,"1. Yes
2. Traveling
3. Outside of the community
4. Refused
5. Deceased
6. Moved
7. Hospitalized
-1. Not applicable (because not a visit day)",,,,,,,
151,fiebre,Peru_F2,keep,observation - asked about each day ,Fever,"1. Yes, 2. No, -1. No data available",,,,,,,
152,escalofrios,Peru_F2,keep,observation - asked about each day ,Chills,"1. Yes, 2. No, -1. No data available",,,,,,,
153,dolordecabeza,Peru_F2,keep,observation - asked about each day ,Headache,"1. Yes, 2. No, -1. No data available",,,,,,,
154,dolorabdominal,Peru_F2,keep,observation - asked about each day ,Abdominal pain,"1. Yes, 2. No, -1. No data available",,,,,,,
155,dolordeespalda,Peru_F2,keep,observation - asked about each day ,Back pain,"1. Yes, 2. No, -1. No data available",,,,,,,
156,rasherupcion,Peru_F2,keep,observation - asked about each day ,Rash,"1. Yes, 2. No, -1. No data available",,,,,,,
157,otros_sintomas,Peru_F2,keep,"observation - asked about each day , will require translation",Other symptoms,code,,,,,,,
158,comentarios,Peru_F2,discard,Comments on why people weren't there at the time of the visit. Not necessary for data display and would require translation,Comments,,,,,,,,
159,lug_vje1,Peru_F2,keep,link to date via presencia,Place of travel 1,code,,,,,,,
160,lug_vje2,Peru_F2,keep,link to date via presencia,Place of travel 2,code,,,,,,,
161,lug_vje3,Peru_F2,discard,All data is NA,Place of travel 3,,,,,,,,
162,temperatura,Peru_F2,keep,only measured at a visit,Temperature,numeric,Temperature at visit,F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx,EUPATH_0000110,Temperature,,,
163,cod_mues,Peru_F2,keep,,Sample ID,free text,,,,,,,
164,razon,Peru_F2,keep,only measured at a visit,Reason for sample,"1. Monthly
2. Febrile
3. Other (specify)
NA = not applicable",Type of visit,F2_2012_13.xlsx; F2_2014_15.xlsx; F2_2015_jan_jul.xlsx,EUPATH_0000311,Visit type,,,
165,desrazon,Peru_F2,keep,will need to decide whether to keep and translate or discard,Description of reason,code,,,,,,,
166,gg_result,Peru_F2,keep,,Thick smear result,"1. Negative
2. Positive - vivax
3. Positive - falciparum
4. Mixed
5=Not readable
NA = not applicable",,,,,,,
167,v_cruces,Peru_F2,discard,"raw counts, will only display densities",Asexual stage - p. vivax,,,,,,,,
168,f_cruces,Peru_F2,discard,"raw counts, will only display densities",Asexual stage - p. falciparum,,,,,,,,
169,dens_v_asex,Peru_F2,keep,only done when blood smear done,"Density of asexual stage vivax, parasite/microliter",numeric,,,,,,,
170,dens_v_gam,Peru_F2,keep,only done when blood smear done,"Density of asexual stage vivax, parasite/microliter",numeric,,,,,,,
171,dens_f_asex,Peru_F2,keep,only done when blood smear done,"Density of asexual stage falciparum, parasite/microliter",numeric,,,,,,,
172,dens_f_gam,Peru_F2,keep,only done when blood smear done,"Density of sexual stage falciparum, parasite/microliter",numeric,,,,,,,
173,pcr_result,Peru_F2,keep,,PCR result,"1. Negative
2. Positive - vivax
3. Positive - falciparum
4. Mixed
5=Not readable
NA = not applicable",,,,,,,
174,ct_v,Peru_F2,keep,,CT/CQ value - p. vivax,numeric,,,,,,,
175,ct_f,Peru_F2,keep,,CT/CQ value - p. falciparum,numeric,,,,,,,
176,qtf_crx_v,Peru_F2,keep,,Density p. vivax - PCR result copies per rxn,numeric,,,,,,,
177,qtf_crx_f,Peru_F2,keep,,Density p. falciprarum - PCR result copies per rxn,numeric,,,,,,,
178,comun,Peru_F2,discard,Already noted in Peru_household,Study site,,,,,,yes,,
179,cod_per,Peru_F3,discard,Already noted in Peru_individual,Individual ID,,,,,,yes,,
180,cod_casa,Peru_F3,discard,Already noted in Peru_household,HHID,,,,,,yes,,
181,fec_nac,Peru_F3,keep,"Already noted in Peru_individual, but data doesn't always match",Date of birth,,,,,,,yes,
182,edad,Peru_F3,keep,,Age,numeric,Age at time of enrollment,censo_exel_proy1.xlsx,EUPATH_0000120,Age at time of enrollment,yes,,
183,sexo,Peru_F3,discard,Already noted in Peru_household,Sex,"categorical, 1-2",Sex,censo_exel_proy1.xlsx,PATO_0000047,Sex,yes,,
184,fecinc,Peru_F3,keep,"Might be a duplicate of dd, mm, and aa in F2",Date of enrollment,,,,,,yes,yes,
185,ocup,Peru_F3,keep,Slightly different answer choices than traprin in ind,Occupation category,"1. Lumberjack
2. Urban worker
3. Fisherman
4. Woodcutter/coal merchant
5. Farmer
6. Boatman
7. Debt collector
8. Artisan/craftsman
9. Merchant
10. Housekeeper
11. Retired
12. Dock worker/longshoreman
13. Motorist/motorcyclist
14. Other (specify)
15. Student
16. Minor
17. Housewife
18. Does not work 
99. Not applicable",,,,,yes,,
186,otrocup,Peru_F3,keep,,Other occupation,,,,,,yes,,
187,grains,Peru_F3,keep,,Education level,"1. Pre-school
2. Primary
3. Secondary
4. Technical
5. College or higher
6. Not literate
7. Literate but no formal education",,,,,instruc,,
188,grado,Peru_F3,discard,"Codes to the variable grains above, and 21 and 22 actually mean illiterate and literate with no formal training respectively. Therefore don't need to display this variable since that information is captured above",Years of education,,,,,,,,
189,estciv,Peru_F3,keep,,Marital status,"1. Single
2. Married/cohabitating
3. Divorced
4. Separated
5. Widowed
99. No data",Marital status,censo_exel_proy1.xlsx,EUPATH_0000374,Marital status,yes,,
190,cod_mues,Peru_F3,discard,Already noted in Peru_F2. Would load from both datasets,Sample code,,,,,,cod_mues,,
191,fec_dia0,Peru_F3,keep,,Date day 0 (Stata format dd/mm/yy),,,,,,,,
192,fiebre,Peru_F3,keep,,Days with fever,numeric,,,,,,,
193,escalo,Peru_F3,keep,,Days with chills,numeric,,,,,,,
194,dolcab,Peru_F3,keep,,Days with headache,numeric,,,,,,,
195,dolabd,Peru_F3,keep,,Days with abdominal pain,numeric,,,,,,,
196,dolesp,Peru_F3,keep,,Days with back pain,numeric,,,,,,,
197,rash,Peru_F3,keep,,Days with rash,numeric,,,,,,,
198,nau,Peru_F3,keep,,Days with nausea,numeric,,,,,,,
199,vom,Peru_F3,keep,,Days with vomiting,numeric,,,,,,,
200,ano,Peru_F3,keep,,Days with reduced appetite,numeric,,,,,,,
201,mar,Peru_F3,keep,,Days with dizziness,numeric,,,,,,,
202,dia,Peru_F3,keep,,Days with diarrhea,numeric,,,,,,,
