Variable	Variable2	values	mappedTerm	valueOrder				
lugar_destino_prox	lugar_destino_prox	ANZUELO QUEBRADA	Anzuelo quebrada					
lugar_destino_prox	lugar_destino_prox	DISTRITO MAZAN	Distrito mazan					
lugar_destino_prox	lugar_destino_prox	INDIANA	Indiana					
lugar_destino_prox	lugar_destino_prox	IQUITOS	Iquitos					
lugar_destino_prox	lugar_destino_prox	IQUITOS, MAZAN	 Iquitos, mazan					
lugar_destino_prox	lugar_destino_prox	ISRAEL	Israel					
lugar_destino_prox	lugar_destino_prox	LIBERTAD	Libertad					
lugar_destino_prox	lugar_destino_prox	LIBERTAD, MAZAN	Libertad, mazan					
lugar_destino_prox	lugar_destino_prox	LIBERTAD, PUERTO ALEGRE	Libertad, puerto alegre					
lugar_destino_prox	lugar_destino_prox	LLACHAPA	Llachapa					
lugar_destino_prox	lugar_destino_prox	MOENAGRANDE	Moenagrande					
lugar_destino_prox	lugar_destino_prox	PIURI	Piuri					
lugar_destino_prox	lugar_destino_prox	PUCALLPA	Pucallpa					
lugar_destino_prox	lugar_destino_prox	PUERTO ALEGRE (CHACRA)	Puerto alegre (chacra)					
lugar_destino_prox	lugar_destino_prox	QUEBRADA ALARMA	Quebrada alarma					
lugar_destino_prox	lugar_destino_prox	QUEBRADA CALENTURA	Quebrada calentura					
lugar_destino_prox	lugar_destino_prox	QUEBRADA CHIRIACO	Quebrada chiriaco					
lugar_destino_prox	lugar_destino_prox	QUEBRADA SARA	Quebrada sara					
lugar_destino_prox	lugar_destino_prox	SAN ANTONIO DE MIRA„O	San antonio de mira–o					
lugar_destino_prox	lugar_destino_prox	SANTA CRUZ	Santa cruz					
lugar_destino_prox	lugar_destino_prox	TAMANCO	Tamanco					
lugar_destino_prox	lugar_destino_prox	YANASHI	Yanashi					
lugar_destino_prox	lugar_destino_prox	YUTO COCHA	Yuto cocha					
choice_observations	choice_observations	1	 Survey correct					
choice_observations	choice_observations	2	 Little Sample					
choice_observations	choice_observations	88	 Other					
num_habitaciones	num_habitaciones	0	0					
num_habitaciones	num_habitaciones	1	1					
num_habitaciones	num_habitaciones	2	2					
num_habitaciones	num_habitaciones	3	3					
num_habitaciones	num_habitaciones	4	4					
num_habitaciones	num_habitaciones	6	6					
num_camas	num_camas	0	0					
num_camas	num_camas	1	1					
num_camas	num_camas	2	2					
num_camas	num_camas	3	3					
num_camas	num_camas	4	4					
num_camas	num_camas	5	5					
num_camas	num_camas	6	6					
num_camas	num_camas	7	7					
mosquiteros_insecticida	mosquiteros_insecticida	0	0					
mosquiteros_insecticida	mosquiteros_insecticida	1	1					
mosquiteros_insecticida	mosquiteros_insecticida	2	2					
mosquiteros_insecticida	mosquiteros_insecticida	3	3					
mosquiteros_insecticida	mosquiteros_insecticida	4	4					
mosquiteros_insecticida	mosquiteros_insecticida	5	5					
mosquiteros_insecticida	mosquiteros_insecticida	6	6					
mosquiteros_convencionales	mosquiteros_convencionales	0	0					
mosquiteros_convencionales	mosquiteros_convencionales	1	1					
mosquiteros_convencionales	mosquiteros_convencionales	2	2					
mosquiteros_convencionales	mosquiteros_convencionales	3	3					
mosquiteros_convencionales	mosquiteros_convencionales	4	4					
mosquiteros_convencionales	mosquiteros_convencionales	5	5					
mosquiteros_convencionales	mosquiteros_convencionales	6	6					
mosquiteros_convencionales	mosquiteros_convencionales	7	7					
mosquiteros_convencionales	mosquiteros_convencionales	8	8					
total_mosquiteros	total_mosquiteros	0	0					
total_mosquiteros	total_mosquiteros	1	1					
total_mosquiteros	total_mosquiteros	2	2					
total_mosquiteros	total_mosquiteros	3	3					
total_mosquiteros	total_mosquiteros	4	4					
total_mosquiteros	total_mosquiteros	5	5					
total_mosquiteros	total_mosquiteros	6	6					
total_mosquiteros	total_mosquiteros	7	7					
total_mosquiteros	total_mosquiteros	8	8					
total_mosquiteros	total_mosquiteros	11	11					
religion	religion	0	 None					
religion	religion	1	 Evangelical					
religion	religion	2	 Catholic					
religion	religion	3	 Adventist					
viv_siempre_com_house	viv_siempre_com_house	0	 No					
viv_siempre_com_house	viv_siempre_com_house	1	 Yes					
mes_llegada_house	mes_llegada_house	1	January		1				
mes_llegada_house	mes_llegada_house	2	February	2					
mes_llegada_house	mes_llegada_house	3	March		3					
mes_llegada_house	mes_llegada_house	4	April		4				
mes_llegada_house	mes_llegada_house	5	May		5				
mes_llegada_house	mes_llegada_house	6	June		6				
mes_llegada_house	mes_llegada_house	10	October		7				
mes_llegada_house	mes_llegada_house	12	December	8					
distr_antes_house	distr_antes_house	ALIANZA	Alianza					
distr_antes_house	distr_antes_house	ALTO NAPO	Alto napo					
distr_antes_house	distr_antes_house	AMAZONAS	Amazonas					
distr_antes_house	distr_antes_house	BAJO AMAZONAS	Bajo amazonas					
distr_antes_house	distr_antes_house	BELEN	Belen					
distr_antes_house	distr_antes_house	INDIANA	Indiana					
distr_antes_house	distr_antes_house	IQUITOS	Iquitos					
distr_antes_house	distr_antes_house	MAYNAS	Maynas					
distr_antes_house	distr_antes_house	MAZAN	Mazan					
distr_antes_house	distr_antes_house	PAPA PLAYA	Papa playa					
distr_antes_house	distr_antes_house	PUNCHANA	Punchana					
distr_antes_house	distr_antes_house	SAN LUIS	San luis					
distr_antes_house	distr_antes_house	SAN PABLO	San pablo					
distr_antes_house	distr_antes_house	SAN PEDRO DE TIPISHCA 2DA ZONA	San pedro de tipishca 2da zona					
distr_antes_house	distr_antes_house	SAN ROQUE	San roque					
distr_antes_house	distr_antes_house	SANTA CLOTILDE	Santa clotilde					
