uniqueVar,dataSet,variable,dataFile,variable_dataFile,file,colOrder,type,example,dateTime,formatCode,minValue,maxValue,values,uniqueValueCount,percentMissing,timeVarying,flag,keepDiscard
ext_bv_dsmicr_st::ecoli,PROVIDE,ecoli,ext_bv_dsmicr_st,ecoli,ext_bv_dsmicr_st.txt,15,int,2,NA,NA,2,2,2 to 2,1,0,once,NA,keep
ext_bv_dsmicr_st::enana,PROVIDE,enana,ext_bv_dsmicr_st,enana,ext_bv_dsmicr_st.txt,16,int,2,NA,NA,2,2,2 to 2,1,0,once,NA,keep
ext_bv_dsmicr_st::lbuts,PROVIDE,lbuts,ext_bv_dsmicr_st,lbuts,ext_bv_dsmicr_st.txt,17,int,2,NA,NA,2,2,2 to 2,1,0,once,NA,keep
ext_bv_dsmicr_st::bhomi,PROVIDE,bhomi,ext_bv_dsmicr_st,bhomi,ext_bv_dsmicr_st.txt,18,int,2,NA,NA,1,2,1 to 2,2,0,repeated,NA,keep
ext_bv_dsmicr_st::thomi,PROVIDE,thomi,ext_bv_dsmicr_st,thomi,ext_bv_dsmicr_st.txt,19,int,2,NA,NA,1,2,1 to 2,2,0,repeated,NA,keep
ext_bv_dsmicr_st::giar,PROVIDE,giar,ext_bv_dsmicr_st,giar,ext_bv_dsmicr_st.txt,20,int,2,NA,NA,1,2,1 to 2,2,0,repeated,duplicated variable,keep
ext_bv_dsmicr_st::al,PROVIDE,al,ext_bv_dsmicr_st,al,ext_bv_dsmicr_st.txt,21,int,2,NA,NA,1,2,1 to 2,2,0,repeated,duplicated variable,keep
ext_bv_dsmicr_st::tt,PROVIDE,tt,ext_bv_dsmicr_st,tt,ext_bv_dsmicr_st.txt,22,int,2,NA,NA,1,2,1 to 2,2,0,repeated,duplicated variable,keep
ext_bv_dsmicr_st::hkwrm,PROVIDE,hkwrm,ext_bv_dsmicr_st,hkwrm,ext_bv_dsmicr_st.txt,23,int,2,NA,NA,2,2,2 to 2,1,0,once,NA,keep
ext_bv_dsmicr_st::hnana,PROVIDE,hnana,ext_bv_dsmicr_st,hnana,ext_bv_dsmicr_st.txt,24,int,2,NA,NA,2,2,2 to 2,1,0,once,NA,keep
ext_bv_dsmicr_st::ss,PROVIDE,ss,ext_bv_dsmicr_st,ss,ext_bv_dsmicr_st.txt,25,int,2,NA,NA,2,2,2 to 2,1,0,once,NA,keep
ext_bv_dsmicr_st::vstnum,PROVIDE,vstnum,ext_bv_dsmicr_st,vstnum,ext_bv_dsmicr_st.txt,26,int,-9,NA,NA,-9,-9,-9 to -9,1,0,once,duplicated variable,keep
ext_bv_enm::pid,PROVIDE,pid,ext_bv_enm,pid,ext_bv_enm.txt,1,chr,BP1005,NA,NA,n/a,n/a,>10 unique values,700,0,once,duplicated variable,keep
ext_bv_enm::mendt,PROVIDE,mendt,ext_bv_enm,mendt,ext_bv_enm.txt,2,chr,7/14/11 0:00,date?,NA,n/a,n/a,>10 unique values,331,0,once,duplicated variable,keep
ext_bv_enm::menpl,PROVIDE,menpl,ext_bv_enm,menpl,ext_bv_enm.txt,3,int,1,NA,NA,1,2,1 to 2,2,0,once,duplicated variable,keep
ext_bv_enm::mage,PROVIDE,mage,ext_bv_enm,mage,ext_bv_enm.txt,4,int,32,NA,NA,18,41,18 to 41,23,0,once,duplicated variable,keep
ext_bv_enm::mrno,PROVIDE,mrno,ext_bv_enm,mrno,ext_bv_enm.txt,5,int,1,NA,NA,1,3,1 to 3,3,0,once,duplicated variable,keep
ext_bv_enm::mrag,PROVIDE,mrag,ext_bv_enm,mrag,ext_bv_enm.txt,6,int,20,NA,NA,7,34,7 to 34,25,0,once,duplicated variable,keep
ext_bv_enm::mnag,PROVIDE,mnag,ext_bv_enm,mnag,ext_bv_enm.txt,7,int,13,NA,NA,10,17,10 to 17,7,0,once,duplicated variable,keep
ext_bv_enm::prgag,PROVIDE,prgag,ext_bv_enm,prgag,ext_bv_enm.txt,8,int,23,NA,NA,12,35,12 to 35,20,0,once,duplicated variable,keep
ext_bv_enm::lvbrt,PROVIDE,lvbrt,ext_bv_enm,lvbrt,ext_bv_enm.txt,9,int,2,NA,NA,1,10,1 to 10,9,0,once,duplicated variable,keep
ext_bv_enm::mtp,PROVIDE,mtp,ext_bv_enm,mtp,ext_bv_enm.txt,10,int,3,NA,NA,0,5,0 to 5,6,0,once,duplicated variable,keep
ext_bv_enm::dltyp,PROVIDE,dltyp,ext_bv_enm,dltyp,ext_bv_enm.txt,11,int,1,NA,NA,1,1,1 to 1,1,0,once,duplicated variable,keep
ext_bv_enm::twsex,PROVIDE,twsex,ext_bv_enm,twsex,ext_bv_enm.txt,12,int,9,NA,NA,9,9,9 to 9,1,0,once,NA,discard
ext_bv_enm::twplc,PROVIDE,twplc,ext_bv_enm,twplc,ext_bv_enm.txt,13,int,9,NA,NA,9,9,9 to 9,1,0,once,NA,discard
ext_bv_enm::delst,PROVIDE,delst,ext_bv_enm,delst,ext_bv_enm.txt,14,int,2,NA,NA,1,2,1 to 2,2,0,once,duplicated variable,keep
ext_bv_enm::zinc,PROVIDE,zinc,ext_bv_enm,zinc,ext_bv_enm.txt,15,int,2,NA,NA,1,2,1 to 2,2,0,once,duplicated variable,keep
ext_bv_enm::iron,PROVIDE,iron,ext_bv_enm,iron,ext_bv_enm.txt,16,int,1,NA,NA,1,2,1 to 2,2,0,once,duplicated variable,keep
ext_bv_enm::folic,PROVIDE,folic,ext_bv_enm,folic,ext_bv_enm.txt,17,int,2,NA,NA,1,2,1 to 2,2,0,once,duplicated variable,keep
ext_bv_enm::cal,PROVIDE,cal,ext_bv_enm,cal,ext_bv_enm.txt,18,int,1,NA,NA,1,2,1 to 2,2,0,once,duplicated variable,keep
ext_bv_enm::vita,PROVIDE,vita,ext_bv_enm,vita,ext_bv_enm.txt,19,int,2,NA,NA,1,2,1 to 2,2,0,once,duplicated variable,keep
ext_bv_enm::spotr,PROVIDE,spotr,ext_bv_enm,spotr,ext_bv_enm.txt,20,int,2,NA,NA,1,2,1 to 2,2,0,once,duplicated variable,keep
ext_bv_enm::sotsp,PROVIDE,sotsp,ext_bv_enm,sotsp,ext_bv_enm.txt,21,chr,NULL,NA,NA,n/a,n/a,>10 unique values,72,0,once,duplicated variable,keep
ext_bv_enm::mtt,PROVIDE,mtt,ext_bv_enm,mtt,ext_bv_enm.txt,22,int,2,NA,NA,1,3,1 to 3,3,0,once,duplicated variable,keep
ext_bv_enm::tprg,PROVIDE,tprg,ext_bv_enm,tprg,ext_bv_enm.txt,23,chr,NULL,NA,NA,n/a,n/a,NULL,1,0,once,NA,discard
ext_bv_epd::pid,PROVIDE,pid,ext_bv_epd,pid,ext_bv_epd.txt,1,chr,BP2175,NA,NA,n/a,n/a,>10 unique values,433,0,once,duplicated variable,keep
ext_bv_epd::dov,PROVIDE,dov,ext_bv_epd,dov,ext_bv_epd.txt,2,chr,10/27/13 0:00,NA,NA,n/a,n/a,>10 unique values,215,0,once,duplicated variable,discard
ext_bv_epd::vnum,PROVIDE,vnum,ext_bv_epd,vnum,ext_bv_epd.txt,3,int,13,NA,NA,13,13,13 to 13,1,0,once,duplicated variable,keep
ext_bv_epd::laugh,PROVIDE,laugh,ext_bv_epd,laugh,ext_bv_epd.txt,4,int,0,NA,NA,0,9,0 to 9,5,0,once,NA,keep
ext_bv_epd::enjoymnt,PROVIDE,enjoymnt,ext_bv_epd,enjoymnt,ext_bv_epd.txt,5,int,1,NA,NA,0,9,0 to 9,5,0,once,NA,keep
ext_bv_epd::anxious,PROVIDE,anxious,ext_bv_epd,anxious,ext_bv_epd.txt,6,int,2,NA,NA,0,9,0 to 9,5,0,once,NA,keep
ext_bv_epd::blamed,PROVIDE,blamed,ext_bv_epd,blamed,ext_bv_epd.txt,7,int,0,NA,NA,0,9,0 to 9,5,0,once,NA,keep
ext_bv_epd::scared,PROVIDE,scared,ext_bv_epd,scared,ext_bv_epd.txt,8,int,0,NA,NA,0,9,0 to 9,4,0,once,NA,keep
ext_bv_epd::gettop,PROVIDE,gettop,ext_bv_epd,gettop,ext_bv_epd.txt,9,int,1,NA,NA,0,9,0 to 9,5,0,once,NA,keep
ext_bv_epd::diffsleep,PROVIDE,diffsleep,ext_bv_epd,diffsleep,ext_bv_epd.txt,10,int,0,NA,NA,0,9,0 to 9,5,0,once,NA,keep
ext_bv_epd::sad,PROVIDE,sad,ext_bv_epd,sad,ext_bv_epd.txt,11,int,1,NA,NA,0,9,0 to 9,5,0,once,NA,keep
ext_bv_epd::crying,PROVIDE,crying,ext_bv_epd,crying,ext_bv_epd.txt,12,int,0,NA,NA,0,9,0 to 9,5,0,once,NA,keep
ext_bv_epd::selfharm,PROVIDE,selfharm,ext_bv_epd,selfharm,ext_bv_epd.txt,13,int,0,NA,NA,0,9,0 to 9,4,0,once,NA,keep
ext_bv_epd::epdscore,PROVIDE,epdscore,ext_bv_epd,epdscore,ext_bv_epd.txt,14,int,5,NA,NA,0,99,0 to 99,23,0,once,NA,keep
ext_bv_epd::refered,PROVIDE,refered,ext_bv_epd,refered,ext_bv_epd.txt,15,int,2,NA,NA,1,9,1 to 9,3,0,once,NA,keep
ext_bv_f06::pid,PROVIDE,pid,ext_bv_f06,pid,ext_bv_f06.txt,1,chr,BP1005,NA,NA,n/a,n/a,>10 unique values,672,0,once,duplicated variable,keep
ext_bv_f06::f6dt,PROVIDE,f6dt,ext_bv_f06,f6dt,ext_bv_f06.txt,2,chr,8/21/11 0:00,date?,NA,n/a,n/a,>10 unique values,248,0,once,NA,keep
ext_bv_f06::f6vn,PROVIDE,f6vn,ext_bv_f06,f6vn,ext_bv_f06.txt,3,int,2,NA,NA,2,2,2 to 2,1,0,once,NA,keep
ext_bv_f06::f6wt,PROVIDE,f6wt,ext_bv_f06,f6wt,ext_bv_f06.txt,4,dbl,4.29,NA,NA,2.83,99.99,2.83 to 99.99,211,0,once,NA,discard
ext_bv_f06::f6ht,PROVIDE,f6ht,ext_bv_f06,f6ht,ext_bv_f06.txt,5,dbl,52.4,NA,NA,47.8,999.9,47.8 to 999.9,95,0,once,NA,discard
ext_bv_f06::f6pv,PROVIDE,f6pv,ext_bv_f06,f6pv,ext_bv_f06.txt,6,int,1,NA,NA,1,9,1 to 9,3,0,once,NA,keep
ext_bv_f06::f6opv,PROVIDE,f6opv,ext_bv_f06,f6opv,ext_bv_f06.txt,7,int,1,NA,NA,1,9,1 to 9,3,0,once,NA,keep
ext_bv_f06::f6bcg,PROVIDE,f6bcg,ext_bv_f06,f6bcg,ext_bv_f06.txt,8,int,1,NA,NA,1,9,1 to 9,3,0,once,NA,keep
ext_bv_f06::f6bld,PROVIDE,f6bld,ext_bv_f06,f6bld,ext_bv_f06.txt,9,int,1,NA,NA,1,9,1 to 9,3,0,once,NA,keep
ext_bv_f06::f6stl,PROVIDE,f6stl,ext_bv_f06,f6stl,ext_bv_f06.txt,10,int,1,NA,NA,1,9,1 to 9,3,0,once,NA,keep
ext_bv_f10::pid,PROVIDE,pid,ext_bv_f10,pid,ext_bv_f10.txt,1,chr,BP1005,NA,NA,n/a,n/a,>10 unique values,653,0,once,duplicated variable,keep
ext_bv_f10::f10dt,PROVIDE,f10dt,ext_bv_f10,f10dt,ext_bv_f10.txt,2,chr,10/2/11 0:00,date?,NA,n/a,n/a,>10 unique values,279,0,once,NA,keep
ext_bv_f10::f10vn,PROVIDE,f10vn,ext_bv_f10,f10vn,ext_bv_f10.txt,3,int,3,NA,NA,3,3,3 to 3,1,0,once,NA,keep
ext_bv_f10::f10wt,PROVIDE,f10wt,ext_bv_f10,f10wt,ext_bv_f10.txt,4,dbl,5.64,NA,NA,3.15,99.99,3.15 to 99.99,245,0,once,NA,discard
ext_bv_f10::f10ht,PROVIDE,f10ht,ext_bv_f10,f10ht,ext_bv_f10.txt,5,dbl,57.3,NA,NA,50.8,999.9,50.8 to 999.9,101,0,once,NA,discard
ext_bv_f10::f10pv,PROVIDE,f10pv,ext_bv_f10,f10pv,ext_bv_f10.txt,6,int,1,NA,NA,1,9,1 to 9,3,0,once,NA,keep
ext_bv_f10::f10opv,PROVIDE,f10opv,ext_bv_f10,f10opv,ext_bv_f10.txt,7,int,1,NA,NA,1,9,1 to 9,3,0,once,NA,keep
ext_bv_f10::f10rt,PROVIDE,f10rt,ext_bv_f10,f10rt,ext_bv_f10.txt,8,int,1,NA,NA,1,9,1 to 9,3,0,once,NA,keep
ext_bv_f10::f10stl,PROVIDE,f10stl,ext_bv_f10,f10stl,ext_bv_f10.txt,9,int,1,NA,NA,1,9,1 to 9,3,0,once,NA,keep
ext_bv_f104::pid,PROVIDE,pid,ext_bv_f104,pid,ext_bv_f104.txt,1,chr,BP1005,NA,NA,n/a,n/a,>10 unique values,596,0,once,duplicated variable,keep
ext_bv_f104::f104dt,PROVIDE,f104dt,ext_bv_f104,f104dt,ext_bv_f104.txt,2,chr,7/15/13 0:00,date?,NA,n/a,n/a,>10 unique values,233,0,once,NA,keep
ext_bv_f104::f104vn,PROVIDE,f104vn,ext_bv_f104,f104vn,ext_bv_f104.txt,3,int,13,NA,NA,13,13,13 to 13,1,0,once,NA,keep
ext_bv_f104::f104wt,PROVIDE,f104wt,ext_bv_f104,f104wt,ext_bv_f104.txt,4,dbl,10.59,NA,NA,6.32,99.99,6.32 to 99.99,325,0,once,NA,discard
ext_bv_f104::f104ht,PROVIDE,f104ht,ext_bv_f104,f104ht,ext_bv_f104.txt,5,dbl,80.7,NA,NA,69,999.9,69 to 999.9,148,0,once,NA,discard
ext_bv_f104::f104q,PROVIDE,f104q,ext_bv_f104,f104q,ext_bv_f104.txt,6,int,20,NA,NA,13,99,13 to 99,9,0,once,NA,keep
ext_bv_f104::f104st,PROVIDE,f104st,ext_bv_f104,f104st,ext_bv_f104.txt,7,chr,12/30/1899 12:30:00,NA,NA,n/a,n/a,>10 unique values,68,0,once,NA,keep
ext_bv_f104::f104et,PROVIDE,f104et,ext_bv_f104,f104et,ext_bv_f104.txt,8,chr,12/30/1899 14:30:00,NA,NA,n/a,n/a,>10 unique values,78,0,once,NA,keep
ext_bv_f104::f104ml,PROVIDE,f104ml,ext_bv_f104,f104ml,ext_bv_f104.txt,9,int,70,NA,NA,0,999,0 to 999,48,0,once,NA,keep
ext_bv_f104::f104pr,PROVIDE,f104pr,ext_bv_f104,f104pr,ext_bv_f104.txt,10,int,1,NA,NA,1,9,1 to 9,3,0,once,NA,keep
ext_bv_f104::f104ur,PROVIDE,f104ur,ext_bv_f104,f104ur,ext_bv_f104.txt,11,int,1,NA,NA,1,9,1 to 9,3,0,once,NA,keep
ext_bv_f104::f104stl,PROVIDE,f104stl,ext_bv_f104,f104stl,ext_bv_f104.txt,12,int,1,NA,NA,1,9,1 to 9,2,0,once,NA,keep
ext_bv_f104::f104bld,PROVIDE,f104bld,ext_bv_f104,f104bld,ext_bv_f104.txt,13,int,1,NA,NA,1,9,1 to 9,3,0,once,NA,keep
ext_bv_f104::f104slv,PROVIDE,f104slv,ext_bv_f104,f104slv,ext_bv_f104.txt,14,int,1,NA,NA,1,9,1 to 9,3,0,once,NA,keep
ext_bv_f104::f104bay,PROVIDE,f104bay,ext_bv_f104,f104bay,ext_bv_f104.txt,15,chr,NULL,NA,NA,n/a,n/a,"1, 2, 8, 9, NULL",5,0,once,NA,keep
