colOrder,variable,dataFile,discard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,timeVarying,percentMissing,flag
11,piout,ext_bv_aer,discard,,,Outcome,1 = Resolved; 2 = Continuing; 3 = Death;  4= Unknown/Lost to FU,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,piout,ext_bv_aer::piout,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
12,pidtr,ext_bv_aer,discard,,,Date of Resolution,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pidtr,ext_bv_aer::pidtr,lgl,NA,date?,NA,n/a,0,no data,0,duplicated variable
13,pfdesc,ext_bv_aer,discard,,,Post-Phlebotomy 2. Fever,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pfdesc,ext_bv_aer::pfdesc,chr,2. Fever,NA,NA,2. Fever,1,once,0,duplicated variable
14,pfdto,ext_bv_aer,discard,,,Date of Onset,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pfdto,ext_bv_aer::pfdto,chr,3/25/13 0:00,date?,NA,", 1/15/2013 0:00:00, 12/19/2012 0:00:00, 3/25/2013 0:00:00, 9/3/2013 0:00:00",4,repeated,0.958333333,duplicated variable
15,pfsev,ext_bv_aer,discard,,,Severity,"1 = Mild, 2 = Moderate; 3= severe",,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pfsev,ext_bv_aer::pfsev,int,NA,NA,NA,1 to 1,1,once,0,duplicated variable
16,pfrlt,ext_bv_aer,discard,,,Relationship,1=  Definitely; 2= Possibly; 3= Unrelated,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pfrlt,ext_bv_aer::pfrlt,int,NA,NA,NA,2 to 2,1,once,0,duplicated variable
17,pfact,ext_bv_aer,discard,,,Action,"1 = None; 2 = Remedial therapy; 3 = Discontinuation 4= Hospitalization
5 = Other",,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pfact,ext_bv_aer::pfact,int,NA,NA,NA,2 to 2,1,once,0,duplicated variable
18,pfout,ext_bv_aer,discard,,,Outcome,1 = Resolved; 2 = Continuing; 3 = Death;  4= Unknown/Lost to FU,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pfout,ext_bv_aer::pfout,int,NA,NA,NA,1 to 1,1,once,0,duplicated variable
19,pfdtr,ext_bv_aer,discard,,,Date of Resolution,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pfdtr,ext_bv_aer::pfdtr,chr,3/31/13 0:00,date?,NA,", 1/17/2013 0:00:00, 12/20/2012 0:00:00, 3/31/2013 0:00:00, 9/6/2013 0:00:00",4,repeated,0.958333333,duplicated variable
20,pbldesc,ext_bv_aer,discard,,,Post-Phlebotomy 3. Bleeding,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pbldesc,ext_bv_aer::pbldesc,chr,3. Bleeding,NA,NA,3. Bleeding,1,once,0,duplicated variable
21,pbldto,ext_bv_aer,discard,,,Date of Onset,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pbldto,ext_bv_aer::pbldto,lgl,NA,date?,NA,n/a,0,no data,0,duplicated variable
22,pblsev,ext_bv_aer,discard,,,Severity,"1 = Mild, 2 = Moderate; 3= severe",,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pblsev,ext_bv_aer::pblsev,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
23,pblrlt,ext_bv_aer,discard,,,Relationship,1=  Definitely; 2= Possibly; 3= Unrelated,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pblrlt,ext_bv_aer::pblrlt,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
24,pblact,ext_bv_aer,discard,,,Action,"1 = None; 2 = Remedial therapy; 3 = Discontinuation 4= Hospitalization
5 = Other",,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pblact,ext_bv_aer::pblact,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
25,pblout,ext_bv_aer,discard,,,Outcome,1 = Resolved; 2 = Continuing; 3 = Death;  4= Unknown/Lost to FU,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pblout,ext_bv_aer::pblout,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
26,pbldtr,ext_bv_aer,discard,,,Date of Resolution,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pbldtr,ext_bv_aer::pbldtr,lgl,NA,date?,NA,n/a,0,no data,0,duplicated variable
27,pbrdesc,ext_bv_aer,discard,,,Post-Phlebotomy 4. Bruising,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pbrdesc,ext_bv_aer::pbrdesc,chr,4. Bruising,NA,NA,4. Bruising,1,once,0,duplicated variable
28,pbrdto,ext_bv_aer,discard,,,Date of Onset,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pbrdto,ext_bv_aer::pbrdto,lgl,NA,date?,NA,n/a,0,no data,0,duplicated variable
29,pbrsev,ext_bv_aer,discard,,,Severity,"1 = Mild, 2 = Moderate; 3= severe",,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pbrsev,ext_bv_aer::pbrsev,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
30,pbrrlt,ext_bv_aer,discard,,,Relationship,1=  Definitely; 2= Possibly; 3= Unrelated,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pbrrlt,ext_bv_aer::pbrrlt,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
31,pbract,ext_bv_aer,discard,,,Action,"1 = None; 2 = Remedial therapy; 3 = Discontinuation 4= Hospitalization
5 = Other",,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pbract,ext_bv_aer::pbract,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
32,pbrout,ext_bv_aer,discard,,,Outcome,1 = Resolved; 2 = Continuing; 3 = Death;  4= Unknown/Lost to FU,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pbrout,ext_bv_aer::pbrout,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
33,pbrdtr,ext_bv_aer,discard,,,Date of Resolution,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pbrdtr,ext_bv_aer::pbrdtr,lgl,NA,date?,NA,n/a,0,no data,0,duplicated variable
34,psdesc,ext_bv_aer,discard,,,Post-Phlebotomy 5. Swelling,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,psdesc,ext_bv_aer::psdesc,chr,5. Swelling,NA,NA,5. Swelling,1,once,0,duplicated variable
35,psdto,ext_bv_aer,discard,,,Date of Onset,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,psdto,ext_bv_aer::psdto,lgl,NA,date?,NA,n/a,0,no data,0,duplicated variable
36,pssev,ext_bv_aer,discard,,,Severity,"1 = Mild, 2 = Moderate; 3= severe",,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pssev,ext_bv_aer::pssev,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
37,psrlt,ext_bv_aer,discard,,,Relationship,1=  Definitely; 2= Possibly; 3= Unrelated,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,psrlt,ext_bv_aer::psrlt,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
38,psact,ext_bv_aer,discard,,,Action,"1 = None; 2 = Remedial therapy; 3 = Discontinuation 4= Hospitalization
5 = Other",,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,psact,ext_bv_aer::psact,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
39,psout,ext_bv_aer,discard,,,Outcome,1 = Resolved; 2 = Continuing; 3 = Death;  4= Unknown/Lost to FU,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,psout,ext_bv_aer::psout,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
40,psdtr,ext_bv_aer,discard,,,Date of Resolution,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,psdtr,ext_bv_aer::psdtr,lgl,NA,date?,NA,n/a,0,no data,0,duplicated variable
41,pirdsc,ext_bv_aer,discard,,,Post-Phlebotomy 6. Irritability,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pirdsc,ext_bv_aer::pirdsc,chr,6. Irritability,NA,NA,6. Irritability,1,once,0,duplicated variable
42,pirdto,ext_bv_aer,discard,,,Date of Onset,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pirdto,ext_bv_aer::pirdto,lgl,NA,date?,NA,n/a,0,no data,0,duplicated variable
43,pirsev,ext_bv_aer,discard,,,Severity,"1 = Mild, 2 = Moderate; 3= severe",,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pirsev,ext_bv_aer::pirsev,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
44,pirrlt,ext_bv_aer,discard,,,Relationship,1=  Definitely; 2= Possibly; 3= Unrelated,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pirrlt,ext_bv_aer::pirrlt,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
45,piract,ext_bv_aer,discard,,,Action,"1 = None; 2 = Remedial therapy; 3 = Discontinuation 4= Hospitalization
5 = Other",,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,piract,ext_bv_aer::piract,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
46,pirout,ext_bv_aer,discard,,,Outcome,1 = Resolved; 2 = Continuing; 3 = Death;  4= Unknown/Lost to FU,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pirout,ext_bv_aer::pirout,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
47,pirdtr,ext_bv_aer,discard,,,Date of Resolution,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,pirdtr,ext_bv_aer::pirdtr,lgl,NA,date?,NA,n/a,0,no data,0,duplicated variable
48,vfddsc,ext_bv_aer,discard,,,Post-Vaccination 1. Fever,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vfddsc,ext_bv_aer::vfddsc,chr,1. Fever,NA,NA,1. Fever,1,once,0,duplicated variable
49,vfdto,ext_bv_aer,discard,,,Date of Onset,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vfdto,ext_bv_aer::vfdto,chr,10/30/11 0:00,date?,NA,>10 unique values,18,repeated,0.791666667,duplicated variable
50,vfsev,ext_bv_aer,discard,,,Severity,"1 = Mild, 2 = Moderate; 3= severe",,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vfsev,ext_bv_aer::vfsev,dbl,NA,NA,NA,1 to 2,2,once,0,duplicated variable
51,vfrlt,ext_bv_aer,discard,,,Relationship,1=  Definitely; 2= Possibly; 3= Unrelated,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vfrlt,ext_bv_aer::vfrlt,dbl,NA,NA,NA,1 to 2,2,once,0,duplicated variable
52,vfact,ext_bv_aer,discard,,,Action,"1 = None; 2 = Remedial therapy; 3 = Discontinuation 4= Hospitalization
5 = Other",,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vfact,ext_bv_aer::vfact,dbl,NA,NA,NA,2 to 2,1,once,0,duplicated variable
53,vfout,ext_bv_aer,discard,,,Outcome,1 = Resolved; 2 = Continuing; 3 = Death;  4= Unknown/Lost to FU,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vfout,ext_bv_aer::vfout,dbl,NA,NA,NA,1 to 1,1,once,0,duplicated variable
54,vfdtr,ext_bv_aer,discard,,,Date of Resolution,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vfdtr,ext_bv_aer::vfdtr,chr,11/8/11 0:00,date?,NA,>10 unique values,19,repeated,0.791666667,duplicated variable
55,vswdsc,ext_bv_aer,discard,,,Post-Vaccination 2. Swelling,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vswdsc,ext_bv_aer::vswdsc,chr,2. Swelling,NA,NA,2. Swelling,1,once,0,duplicated variable
56,vswdto,ext_bv_aer,discard,,,Date of Onset,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vswdto,ext_bv_aer::vswdto,chr,7/31/12 0:00,date?,NA,", 7/31/2012 0:00:00",1,once,0.989583333,duplicated variable
57,vswsev,ext_bv_aer,discard,,,Severity,"1 = Mild, 2 = Moderate; 3= severe",,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vswsev,ext_bv_aer::vswsev,int,NA,NA,NA,2 to 2,1,once,0,duplicated variable
58,vswrlt,ext_bv_aer,discard,,,Relationship,1=  Definitely; 2= Possibly; 3= Unrelated,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vswrlt,ext_bv_aer::vswrlt,int,NA,NA,NA,1 to 1,1,once,0,duplicated variable
59,vswact,ext_bv_aer,discard,,,Action,"1 = None; 2 = Remedial therapy; 3 = Discontinuation 4= Hospitalization
5 = Other",,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vswact,ext_bv_aer::vswact,int,NA,NA,NA,2 to 2,1,once,0,duplicated variable
60,vswout,ext_bv_aer,discard,,,Outcome,1 = Resolved; 2 = Continuing; 3 = Death;  4= Unknown/Lost to FU,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vswout,ext_bv_aer::vswout,int,NA,NA,NA,1 to 1,1,once,0,duplicated variable
61,vswdtr,ext_bv_aer,discard,,,Date of Resolution,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vswdtr,ext_bv_aer::vswdtr,chr,8/9/12 0:00,date?,NA,", 8/9/2012 0:00:00",1,once,0.989583333,duplicated variable
62,vrddsc,ext_bv_aer,discard,,,Post-Vaccination 3. Redness,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vrddsc,ext_bv_aer::vrddsc,chr,3. Redness,NA,NA,3. Redness,1,once,0,duplicated variable
63,vrddto,ext_bv_aer,discard,,,Date of Onset,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vrddto,ext_bv_aer::vrddto,chr,9/15/11 0:00,date?,NA,", 7/31/2012 0:00:00, 9/15/2011 0:00:00",2,once,0.979166667,duplicated variable
64,vrdsev,ext_bv_aer,discard,,,Severity,"1 = Mild, 2 = Moderate; 3= severe",,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vrdsev,ext_bv_aer::vrdsev,dbl,NA,NA,NA,1 to 2,2,once,0,duplicated variable
65,vrdrlt,ext_bv_aer,discard,,,Relationship,1=  Definitely; 2= Possibly; 3= Unrelated,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vrdrlt,ext_bv_aer::vrdrlt,dbl,NA,NA,NA,1 to 1,1,once,0,duplicated variable
66,vrdact,ext_bv_aer,discard,,,Action,"1 = None; 2 = Remedial therapy; 3 = Discontinuation 4= Hospitalization
5 = Other",,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vrdact,ext_bv_aer::vrdact,dbl,NA,NA,NA,2 to 2,1,once,0,duplicated variable
67,vrdout,ext_bv_aer,discard,,,Outcome,1 = Resolved; 2 = Continuing; 3 = Death;  4= Unknown/Lost to FU,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vrdout,ext_bv_aer::vrdout,dbl,NA,NA,NA,1 to 1,1,once,0,duplicated variable
68,vrddtr,ext_bv_aer,discard,,,Date of Resolution,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vrddtr,ext_bv_aer::vrddtr,chr,9/17/11 0:00,date?,NA,", 8/9/2012 0:00:00, 9/17/2011 0:00:00",2,once,0.979166667,duplicated variable
69,vvmdsc,ext_bv_aer,discard,,,Post-Vaccination 4. Vomiting,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vvmdsc,ext_bv_aer::vvmdsc,chr,4. Vomiting,NA,NA,4. Vomiting,1,once,0,duplicated variable
70,vvmdto,ext_bv_aer,discard,,,Date of Onset,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vvmdto,ext_bv_aer::vvmdto,lgl,NA,date?,NA,n/a,0,no data,0,duplicated variable
71,vvmsev,ext_bv_aer,discard,,,Severity,"1 = Mild, 2 = Moderate; 3= severe",,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vvmsev,ext_bv_aer::vvmsev,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
72,vvmrlt,ext_bv_aer,discard,,,Relationship,1=  Definitely; 2= Possibly; 3= Unrelated,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vvmrlt,ext_bv_aer::vvmrlt,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
73,vvmact,ext_bv_aer,discard,,,Action,"1 = None; 2 = Remedial therapy; 3 = Discontinuation 4= Hospitalization
5 = Other",,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vvmact,ext_bv_aer::vvmact,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
74,vvmout,ext_bv_aer,discard,,,Outcome,1 = Resolved; 2 = Continuing; 3 = Death;  4= Unknown/Lost to FU,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vvmout,ext_bv_aer::vvmout,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
75,vvmdtr,ext_bv_aer,discard,,,Date of Resolution,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vvmdtr,ext_bv_aer::vvmdtr,lgl,NA,date?,NA,n/a,0,no data,0,duplicated variable
76,vdrdsc,ext_bv_aer,discard,,,Post-Vaccination: 5. Diarrhea,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vdrdsc,ext_bv_aer::vdrdsc,chr,5. Diarrhea,NA,NA,5. Diarrhea,1,once,0,duplicated variable
77,vdrdto,ext_bv_aer,discard,,,Date of Onset,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vdrdto,ext_bv_aer::vdrdto,chr,8/12/11 0:00,date?,NA,", 10/24/2012 0:00:00, 8/12/2011 0:00:00",2,once,0.979166667,duplicated variable
78,vdrsev,ext_bv_aer,discard,,,Severity,"1 = Mild, 2 = Moderate; 3= severe",,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vdrsev,ext_bv_aer::vdrsev,dbl,NA,NA,NA,2 to 2,1,once,0,duplicated variable
79,vdrrlt,ext_bv_aer,discard,,,Relationship,1=  Definitely; 2= Possibly; 3= Unrelated,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vdrrlt,ext_bv_aer::vdrrlt,dbl,NA,NA,NA,1 to 2,2,once,0,duplicated variable
80,vdract,ext_bv_aer,discard,,,Action,"1 = None; 2 = Remedial therapy; 3 = Discontinuation 4= Hospitalization
5 = Other",,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vdract,ext_bv_aer::vdract,dbl,NA,NA,NA,2 to 2,1,once,0,duplicated variable
81,vdrout,ext_bv_aer,discard,,,Outcome,1 = Resolved; 2 = Continuing; 3 = Death;  4= Unknown/Lost to FU,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vdrout,ext_bv_aer::vdrout,dbl,NA,NA,NA,1 to 1,1,once,0,duplicated variable
82,vdrdtr,ext_bv_aer,discard,,,Date of Resolution,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vdrdtr,ext_bv_aer::vdrdtr,chr,8/14/11 0:00,date?,NA,", 10/27/2012 0:00:00, 8/14/2011 0:00:00",2,once,0.979166667,duplicated variable
83,vbrdsc,ext_bv_aer,discard,,,Post-Vaccination: 6. Bronchospasm,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vbrdsc,ext_bv_aer::vbrdsc,chr,6. Bronchospasm,NA,NA,6. Bronchospasm,1,once,0,duplicated variable
84,vbrdto,ext_bv_aer,discard,,,Date of Onset,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vbrdto,ext_bv_aer::vbrdto,lgl,NA,date?,NA,n/a,0,no data,0,duplicated variable
85,vbrsev,ext_bv_aer,discard,,,Severity,"1 = Mild, 2 = Moderate; 3= severe",,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vbrsev,ext_bv_aer::vbrsev,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
86,vbrrlt,ext_bv_aer,discard,,,Relationship,1=  Definitely; 2= Possibly; 3= Unrelated,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vbrrlt,ext_bv_aer::vbrrlt,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
87,vbract,ext_bv_aer,discard,,,Action,"1 = None; 2 = Remedial therapy; 3 = Discontinuation 4= Hospitalization
5 = Other",,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vbract,ext_bv_aer::vbract,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
88,vbrout,ext_bv_aer,discard,,,Outcome,1 = Resolved; 2 = Continuing; 3 = Death;  4= Unknown/Lost to FU,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vbrout,ext_bv_aer::vbrout,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
89,vbrdtr,ext_bv_aer,discard,,,Date of Resolution,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vbrdtr,ext_bv_aer::vbrdtr,lgl,NA,date?,NA,n/a,0,no data,0,duplicated variable
90,vbrvom,ext_bv_aer,discard,,,Incorrect variable - not data entered,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vbrvom,ext_bv_aer::vbrvom,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
91,vomdsc,ext_bv_aer,discard,,,Post-Vaccination: 7.  Otitis Media,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vomdsc,ext_bv_aer::vomdsc,chr,7. Otitis Media,NA,NA,7. Otitis Media,1,once,0,duplicated variable
92,vomdto,ext_bv_aer,discard,,,Date of Onset,NA,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vomdto,ext_bv_aer::vomdto,lgl,NA,date?,NA,n/a,0,no data,0,duplicated variable
93,vomsev,ext_bv_aer,discard,,,Severity,"1 = Mild, 2 = Moderate; 3= severe",,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vomsev,ext_bv_aer::vomsev,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
94,vomrlt,ext_bv_aer,discard,,,Relationship,1=  Definitely; 2= Possibly; 3= Unrelated,,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vomrlt,ext_bv_aer::vomrlt,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
95,vomact,ext_bv_aer,discard,,,Action,"1 = None; 2 = Remedial therapy; 3 = Discontinuation 4= Hospitalization
5 = Other",,,,ext_mgmt_bv_aed contains the same data rearranged in more accessible way. Will load from that file instead,vomact,ext_bv_aer::vomact,lgl,NA,NA,NA,n/a,0,no data,0,duplicated variable
