displayOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,uniqueVar
,cupboard,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000595,Cupboard,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,cupboard?,"1=Yes, 2=No, -9=Skipped",value,cupboard|BC3_Household_Survey_Data
,clock,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000596,Clock,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,clock?,"1=Yes, 2=No, -9=Skipped",value,clock|BC3_Household_Survey_Data
,fueltype,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000023,Cooking fuel,,Household,Dwelling facilities,http://purl.obolibrary.org/obo/EUPATH_0000302,what type of fuel does your household mainly use for cooking?,"-9=skipped,2=natural gas, 3=biogas, 5=charcoal, 6=firewood, 7=starw/shrubs/grass",variable,fueltype|BC3_Household_Survey_Data
,senergy,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/OBI_0400065,Lighting source,,Household,Dwelling facilities,http://purl.obolibrary.org/obo/EUPATH_0000302,what is the main source of energy for lighting in the household?,"Paraffin - wick lamp, paraffin - hurricane lamp, solar, electricity,candles, torch,firewood, skipped",variable,senergy|BC3_Household_Survey_Data
,othereng,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/OBI_0400065,Lighting source,,Household,Dwelling facilities,http://purl.obolibrary.org/obo/EUPATH_0000302,specify other source of energy for lighting,,variable,othereng|BC3_Household_Survey_Data
,mmfloor,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,main material of the floor,"Earth or sand, earth and dung, parquet or polished wood, cement, stones, others, skipped",variable,mmfloor|BC3_Household_Survey_Data
,othermmf,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,specify other material of the floor,,variable,othermmf|BC3_Household_Survey_Data
,mmroof,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,main material of the roof.,"Thatched,mud,wood/planks,iron sheets,asbestos,other, skipped",variable,mmroof|BC3_Household_Survey_Data
,othermmr,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,specify other material of the roof,,variable,othermmr|BC3_Household_Survey_Data
,mmewalls,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000009,Wall material,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,main material of the exterior walls.,"mud and poles, burnt bricks with plaster/cement",variable,mmewalls|BC3_Household_Survey_Data
,othermme,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000009,Wall material,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,specify other material of the exterior walls,,variable,othermme|BC3_Household_Survey_Data
,hhrooms,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000025,Sleeping rooms in dwelling,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,how many rooms in your household  are used for sleeping?if there are 15 or more,,variable,hhrooms|BC3_Household_Survey_Data
,hhspaces,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000201,Sleeping places count,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,"how many sleeping spaces like mats, mattresses,  or beds are available in your household",,variable,hhspaces|BC3_Household_Survey_Data
,watch,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000186,Watch,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144, a watch?,"1=Yes, 2=No, -9=Skipped",value,watch|BC3_Household_Survey_Data
,bicycle,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000614,Bicycle,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,a bicycle?,"1=Yes, 2=No, -9=Skipped",value,bicycle|BC3_Household_Survey_Data
,scooter,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000615,Motorcycle or scooter,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,a motorcycle or motor scooter?,"1=Yes, 2=No, -9=Skipped",value,scooter|BC3_Household_Survey_Data
,cart,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000166,Animal-drawn cart,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,an animal-drawn cart?,"1=Yes, 2=No, -9=Skipped",value,cart|BC3_Household_Survey_Data
,car,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000171,Car or truck,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,a car or truck?,"1=Yes, 2=No, -9=Skipped",value,car|BC3_Household_Survey_Data
,mboat,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000179,Boat with a motor,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,a boat with a motor?,"1=Yes, 2=No, -9=Skipped",value,mboat|BC3_Household_Survey_Data
,nomboat,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000170,Boat without a motor,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,a boat without a  motor?,"1=Yes, 2=No, -9=Skipped",value,nomboat|BC3_Household_Survey_Data
,bankacco,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000167,Bank account,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,a bank account?,"1=Yes, 2=No, -9=Skipped",value,bankacco|BC3_Household_Survey_Data
,numaland,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000026,Acres,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,how many acres of agricultural land do members of this household own?,,variable,numaland|BC3_Household_Survey_Data
,dmarkt,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0020215,Market distance,,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,how far is it to the nearest market place?,,variable,dmarkt|BC3_Household_Survey_Data
,hhmeals,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000027,Meals per day,,Household,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,how many meals does your household usually have per day?,,variable,hhmeals|BC3_Household_Survey_Data
,hhnumt,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000028,Meat meals per week,,Household,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,"in the past week, on how many days did the household eat meat?",,variable,hhnumt|BC3_Household_Survey_Data
,hhpsf,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000029,Food problems per week,,Household,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,how often in the last year did you have problems in  satisfying the  food needs,,variable,hhpsf|BC3_Household_Survey_Data
,dhfcty,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0020213,Health facility distance,,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,"how far is it to the nearest health facility?if less than 1 km, enter 00 if more",,variable,dhfcty|BC3_Household_Survey_Data
,mthfcty,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0020217,Transit to health facility,,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,"if you were to go this facility,how would you most likely go there?","1=car/motorcycle, 2=public transport, 4=walking, 5=bicycle, 8=Don’t know, -9=skipped",variable,mthfcty|BC3_Household_Survey_Data
,pspray,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0020224,Asked permission for IRS in last 12 months,,Household,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,"at any time in the past 12 months, has anyone asked permission to come into your household","1=Yes, 2=No, -9=Skipped",variable,pspray|BC3_Household_Survey_Data
,gpspray,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,,Household,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,did you grant them permission to spray the interior walls of your dwelling?,,variable,gpspray|BC3_Household_Survey_Data
,tspray,BC3_Household_Survey_Data,,Time since last IRS (months),,Household,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,"how many months ago was the dwelling last sprayed?if less than 1 month, enter 0",,variable,tspray|BC3_Household_Survey_Data
,wspray,BC3_Household_Survey_Data,,Last IRS source,,Household,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,who sprayed the dwelling?,"2=private company, 8=don’t know, -9=skipped",variable,wspray|BC3_Household_Survey_Data
,mspray,BC3_Household_Survey_Data,,Received IRS message in last 12 months,Whether any message about spraying was seen or heard in the last 12 months,Household,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,"in the past 12 months, have you seen or heard any messages about spraying the in",,variable,mspray|BC3_Household_Survey_Data
,,,,IRS message in last 12 months,The type of message about spraying that was seen or heard in the last 12 months,Household,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,,,multifilter,
,msga,BC3_Household_Survey_Data,,Radio,,Household,IRS message in last 12 months,,where did you hear or see message(s):radio?,"1=Yes, 2=No, -9=Skipped",value,msga|BC3_Household_Survey_Data
,msgb,BC3_Household_Survey_Data,,TV,,Household,IRS message in last 12 months,,where did you hear or see message(s):tv?,"1=Yes, 2=No, -9=Skipped",value,msgb|BC3_Household_Survey_Data
,msgc,BC3_Household_Survey_Data,,Newspaper or leaflet,,Household,IRS message in last 12 months,,where did you hear or see message(s):newspaper/leaflet?,"1=Yes, 2=No, -9=Skipped",value,msgc|BC3_Household_Survey_Data
,msgd,BC3_Household_Survey_Data,,Health worker or community medicine distributor,,Household,IRS message in last 12 months,,where did you hear or see message(s):health worker/cmd?,"1=Yes, 2=No, -9=Skipped",value,msgd|BC3_Household_Survey_Data
,msge,BC3_Household_Survey_Data,,"Neighbour, relative, or friend",,Household,IRS message in last 12 months,,where did you hear or see message(s):neighbour/relative/friend,"1=Yes, 2=No, -9=Skipped",value,msge|BC3_Household_Survey_Data
,msgf,BC3_Household_Survey_Data,,Community leader,,Household,IRS message in last 12 months,,where did you hear or see message(s):community leader?,"1=Yes, 2=No, -9=Skipped",value,msgf|BC3_Household_Survey_Data
,msgg,BC3_Household_Survey_Data,,Village public adress system,,Household,IRS message in last 12 months,,where did you hear or see message(s):village public adress system,"1=Yes, 2=No, -9=Skipped",value,msgg|BC3_Household_Survey_Data
,msgh,BC3_Household_Survey_Data,,Don't know,,Household,IRS message in last 12 months,,where did you hear or see message(s):don't know,"1=Yes, 2=No, -9=Skipped",value,msgh|BC3_Household_Survey_Data
,msgi,BC3_Household_Survey_Data,,Other,,Household,IRS message in last 12 months,,where did you hear or see message(s):other,"1=Yes, 2=No, -9=Skipped",value,msgi|BC3_Household_Survey_Data
,ahwker,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0020230,Community health worker present,,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,is there a community health worker who distributes malaria medicines in your village,"1=yes,2=No,8=Don’t know, -9=skipped",variable,ahwker|BC3_Household_Survey_Data
,amchwker,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0020229,Community health worker has malaria medication,,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,does the community health worker currently have malaria medicines available?,"2=No, 8=Don’t know, -9=skipped",variable,amchwker|BC3_Household_Survey_Data
,srentry,BC3_Household_Survey_Data,,Room entryways count,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,how many entryways into the room are there,,variable,srentry|BC3_Household_Survey_Data
,srwindow,BC3_Household_Survey_Data,,Room windows count,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,observation: how many windows are in the room,,variable,srwindow|BC3_Household_Survey_Data
,eavescov,BC3_Household_Survey_Data,,Eaves covered,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,"observation: if room has eaves, are the eaves covered?","1=completely covered, 2=partially covered, -9=skipped",variable,eavescov|BC3_Household_Survey_Data
,eavesopn,BC3_Household_Survey_Data,,Eaves open to outside,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,observation: do the eaves open to the outside?,"1=yes, 2=partially, 3 No,-9=skipped",variable,eavesopn|BC3_Household_Survey_Data
,airbrick,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000018,Air bricks,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,observation: does the room have airbricks?,"1=Yes, 2=No, -9=Skipped",variable,airbrick|BC3_Household_Survey_Data
,airbrcov,BC3_Household_Survey_Data,,Air bricks covered,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,"observation: if the roon has airbricks, are the airbricks covered?","1=completely covered, 2=partially covered, 3=open, -9=skipped",variable,airbrcov|BC3_Household_Survey_Data
,airbropn,BC3_Household_Survey_Data,,Air bricks open to outside,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,observation: do the airbricks open to the outside?,"1=yes, 2=partially, 3 No,-9=skipped",variable,airbropn|BC3_Household_Survey_Data
,airbrnum,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000018,Air bricks count,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,observation: how many airbrick are in the room?,"1=1-3,2=4-6,3=6+,-9=skipped",variable,airbrnum|BC3_Household_Survey_Data
,sleep,BC3_Household_Survey_Data,,Bed type,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,where does the study participant usually sleep?,"1=Directly on ground, 2=on matress/mat on the ground, 3=on a bed raised from ground,99=no response, -9=skipped",variable,sleep|BC3_Household_Survey_Data
,srslnum,BC3_Household_Survey_Data,,People sleeping in same room (count),Number of people who normally sleep in the same room as the study participant,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,"usually, how many people sleep in the same room as the study participant (exclud",,variable,srslnum|BC3_Household_Survey_Data
,srslnum5,BC3_Household_Survey_Data,,Children under 5 sleeping in same room (count),Number of children under 5 years old who normally sleep in the same room as the study participant,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,how many of those people are under 5 years old (excluding the study participant),,variable,srslnum5|BC3_Household_Survey_Data
,slareas,BC3_Household_Survey_Data,,Sleeping places in same room (count),Number of sleeping places in the room the study participant sleeps in,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,how many sleeping areas are in the room where the study participant sleeps?,,variable,slareas|BC3_Household_Survey_Data
,saslnum,BC3_Household_Survey_Data,,People sleeping in same bed (count),Number of people who normally sleep in the same bed as the study participant,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,how many people sleep in the same bed/sleeping area as the study participant und,,variable,saslnum|BC3_Household_Survey_Data
,saslnum5,BC3_Household_Survey_Data,,Children under 5 sleeping in same bed (count),Number of children under 5 years old who normally sleep in the same bed as the study participant,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,how many of those people are under 5 years old (excluding the study participant),,variable,saslnum5|BC3_Household_Survey_Data
,vstatus,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0025075,Household visit status,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,result of visit,"1=completed, 2= no competent respondent household member,3=Entire household absent, 5=Refuded, 9=other",variable,vstatus|BC3_Household_Survey_Data
,ovstatus,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0025075,Household visit status,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,specify other result,,variable,ovstatus|BC3_Household_Survey_Data
,numalandcat,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0020221,Acres categorization,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,how many acres of agricultural land do members of this household own?,"0=None, 1=<=2, 2= 3 or more",variable,numalandcat|BC3_Household_Survey_Data
,hhmealsdich,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0020237,Meals per day categorization,,Household,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,how many meals does your household usually have per day?,"0=2 or less, 1= 3 or more",variable,hhmealsdich|BC3_Household_Survey_Data
,hhnumtcat,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0020238,Meat meals per week categorization,,Household,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,"in the past week, on how many days did the household eat meat?","0,1,2=2 or more",variable,hhnumtcat|BC3_Household_Survey_Data
,tfacltydich,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0025085,Latrine type,,Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,what kind of toilet facility do members of your household usually use?,"0=uncovered pit latrine, 1= VIP or covered latrin",variable,tfacltydich|BC3_Household_Survey_Data
,wealthcat,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000143,"Household wealth index, categorical",,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,Wealth index categories,"1=poorest,2=middle,3=least poor",variable,wealthcat|BC3_Household_Survey_Data
,mmfloordich,BC3_Household_Survey_Data,,Floor material type,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,Materials used for floor,"0=Earth, 1=Concrete/wood/stones",variable,mmfloordich|BC3_Household_Survey_Data
,mmroofdich,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0025047,Roof material type,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,Materials used for roof,"0=Thatched, 1=Iron sheets/wood",variable,mmroofdich|BC3_Household_Survey_Data
,mmewallsdich,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0025167,Wall material type,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,Materials used for walls,"0=thatched or mud, 1= plaster or cement",variable,mmewallsdich|BC3_Household_Survey_Data
,housetype,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000744,Dwelling type,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,Housetype dichotomous,"0=Traditional, 1=Mordern",variable,housetype|BC3_Household_Survey_Data
,eavesdich,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000015,Eaves,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,Whether eaves present,"1=Eaves present, 2=Eaves not present",variable,eavesdich|BC3_Household_Survey_Data
,educ,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000345,Education level,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,Eduction Level,"0=none,1=Primary, 2=O level, 3= A level, 4= Tertiary, 5=University",variable,educ|BC3_Household_Survey_Data
,bednet,BC3_Household_Survey_Data,,Bednet before enrollment,,Household,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,Did you have any bednet before enrollment,"0=no bednet, 1=untreated bednet, 2 bednet - treatment unknown, 3= ITN",variable,bednet|BC3_Household_Survey_Data
,netlastnight,BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0025013,Bednet last night,,Observation,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021097,Did you sleep under a bednet last night?,"0=No, 1=Yes      ",variable,netlastnight|BC3_Household_Survey_Data
