variable,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag,notesForProvider,uniqueVar,IRI,Label,definition,category,parentLabel,parentIRI,termType
age16yrs,BC-3 screening database FINAL,SKIP,,Age>=16 years,"0 = No,
1=Yes",,,,,,age16yrs|BC-3 screening database FINAL,http://purl.obolibrary.org/obo/EUPATH_0010367,Age group,Specified Whether Participant is 16 years and above,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,variable
agree,BC3_Household_Survey_Data,SKIP,,are you going to conduct the interview with this household?,"1=Yes, 2=No",,,,,,agree|BC3_Household_Survey_Data,,,,,,,variable
ahwker,BC3_Household_Survey_Data,SKIP,,is there a community health worker who distributes malaria medicines in your village,"1=yes,2=No,8=Don’t know, -9=skipped",,,,,,ahwker|BC3_Household_Survey_Data,,health worker,,,,,variable
airbrcov,BC3_Household_Survey_Data,SKIP,,"observation: if the roon has airbricks, are the airbricks covered?","1=completely covered, 2=partially covered, 3=open, -9=skipped",,,,,,airbrcov|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000018,Air bricks,,,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,variable
airbrick,BC3_Household_Survey_Data,SKIP,,observation: does the room have airbricks?,"1=Yes, 2=No, -9=Skipped",,,,,,airbrick|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000018,Air bricks,,,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,variable
airbrickdich,BC3_Household_Survey_Data,SKIP,,Whether airbricks present,"0=Not present, 1=Present",,,,,,airbrickdich|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000018,Air bricks,,,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,variable
airbrnum,BC3_Household_Survey_Data,SKIP,,observation: how many airbrick are in the room?,"1=1-3,2=4-6,3=6+,-9=skipped",,,,,,airbrnum|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000018,Air bricks,,,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,variable
airbropn,BC3_Household_Survey_Data,SKIP,,observation: do the airbricks open to the outside?,"1=yes, 2=partially, 3 No,-9=skipped",,,,,,airbropn|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000018,Air bricks,,,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,variable
alcohol,BC-3 enrollment database FINAL,keep,,Alcohol,"0 = No,
1=Yes",,,,,,alcohol|BC-3 enrollment database FINAL,,,,,,,
alivenow1,BC-3 enrollment database FINAL,keep,,Alive Now?,"0 = No,
1=Yes",,,,,,alivenow1|BC-3 enrollment database FINAL,,,,,,,
alivenow2,BC-3 enrollment database FINAL,SKIP,,Alive Now?,"0 = No,
1=Yes",,,,,Should we do these as separate variables? First delivery second delivery etc.?,alivenow2|BC-3 enrollment database FINAL,,,Specified whether the 2nd child is alive now or not,,,,variable
alivenow3,BC-3 enrollment database FINAL,SKIP,,Alive Now?,"0 = No,
1=Yes",,,,,Should we do these as separate variables? First delivery second delivery etc.?,alivenow3|BC-3 enrollment database FINAL,,,Specified whether the 3rd child is alive now or not,,,,variable
alivenow4,BC-3 enrollment database FINAL,SKIP,,Alive Now?,"0 = No,
1=Yes",,,,,Should we do these as separate variables? First delivery second delivery etc.?,alivenow4|BC-3 enrollment database FINAL,,,Specified whether the 4th child is alive now or not,,,,variable
alivenow5,BC-3 enrollment database FINAL,SKIP,,Alive Now?,"0 = No,
1=Yes",,,,,Should we do these as separate variables? First delivery second delivery etc.?,alivenow5|BC-3 enrollment database FINAL,,,Specified whether the 5th child is alive now or not,,,,variable
alivenow6,BC-3 enrollment database FINAL,SKIP,,Alive Now?,"0 = No,
1=Yes",,,,,Should we do these as separate variables? First delivery second delivery etc.?,alivenow6|BC-3 enrollment database FINAL,,,Specified whether the 6th child is alive now or not,,,,variable
alivenow7,BC-3 enrollment database FINAL,SKIP,,Alive Now?,"0 = No,
1=Yes",,,,,Should we do these as separate variables? First delivery second delivery etc.?,alivenow7|BC-3 enrollment database FINAL,,,Specified whether the 2nd child is alive now or not,,,,variable
allcriteria,BC-3 screening database FINAL,SKIP,,All criteria for study inclusion met?,"0 = No,
1=Yes",,,,,,allcriteria|BC-3 screening database FINAL,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility Criteria,Has all the criteria for study inclusion been met?,Observation,Administrative information ,http://purl.obolibrary.org/obo/EUPATH_0010035,variable
alt,BC-3 enrollment database FINAL,keep,,alt,,,,,,,alt|BC-3 enrollment database FINAL,,,,,,,
alt,BC-3 mothers all visits database FINAL,discard,,ALT (IU/L) result,,,,,,DROP - Use expanded,alt|BC-3 mothers all visits database FINAL,,Alanine Aminotransferease (ALT) (IU/L) result,,Sample,Blood test,http://purl.obolibrary.org/obo/OGMS_0000058,variable
alt,BC-3 mothers delivery database FINAL,keep,,ALT Lab,,,,,,,alt|BC-3 mothers delivery database FINAL,,,,,,,
alt,BC-3 mothers expanded database FINAL,keep,,ALT (IU/L) result,,,,,,,alt|BC-3 mothers expanded database FINAL,,,,,,,
altgrade,BC-3 enrollment database FINAL,keep,,ALT grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",,,,,,altgrade|BC-3 enrollment database FINAL,,,,,,,
altgrade,BC-3 mothers all visits database FINAL,keep,,ALT (IU/L) grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",,,,,,altgrade|BC-3 mothers all visits database FINAL,,,,,,,
altgrade,BC-3 mothers delivery database FINAL,keep,,ALT grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",,,,,,altgrade|BC-3 mothers delivery database FINAL,,,,,,,
altrt,BC-3 enrollment database FINAL,keep,,ALT (red top),"0=Not collected,
1=Collected
",,,,,,altrt|BC-3 enrollment database FINAL,,,,,,,
altrt,BC-3 mothers all visits database FINAL,discard,,ALT (red top),"0=Not Indicated,
1=Collected,
2=Forgot to collect,
3=Declined
",,,,,DROP - Use expanded,altrt|BC-3 mothers all visits database FINAL,,Alanine Aminotransferease (ALT) sample collected,,Sample,,,variable
altrt,BC-3 mothers delivery database FINAL,keep,,ALT (red top),"0=Not collect, 
1=Collected
",,,,,,altrt|BC-3 mothers delivery database FINAL,,,,,,,
altrt,BC-3 mothers expanded database FINAL,keep,,ALT (red top),"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined
",,,,,,altrt|BC-3 mothers expanded database FINAL,,,,,,,
amchwker,BC3_Household_Survey_Data,SKIP,,does the community health worker currently have malaria medicines available?,"2=No, 8=Don’t know, -9=skipped",,,,,,amchwker|BC3_Household_Survey_Data,,health worker,,,,,variable
amedprob,BC-3 screening database FINAL,SKIP,,Active medical problem requiring inpatient evaluation at the time of screening,"0 = No,
1=Yes",,,,,,amedprob|BC-3 screening database FINAL,,Medical problem,specified whether participant has any active medical problem requiring inpatient evaluation at the time of screening,Participant,,,variable
AMS,Individual level database FINAL,SKIP,,(sum) AMS,"0,1",,,,,What does this mean? Please define,AMS|Individual level database FINAL,,AMS,,,,,variable
anemiaAE,Individual level database FINAL,SKIP,,(sum) anemiaAE,"0,1",,,,,What does sum mean? Please define.,anemiaAE|Individual level database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000215,Severe anemia,,,Signs and Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,variable
anorexdur,BC-3 enrollment database FINAL,keep,,Anorexia Duration,,,,,,,anorexdur|BC-3 enrollment database FINAL,,,,,,,
anorexdur,BC-3 mothers all visits database FINAL,keep,,Anorexia Duration,,,,,,,anorexdur|BC-3 mothers all visits database FINAL,,,,,,,
anorexgrade,BC-3 enrollment database FINAL,keep,,Anorexia Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,anorexgrade|BC-3 enrollment database FINAL,,,,,,,
anorexgrade,BC-3 mothers all visits database FINAL,keep,,Anorexia Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",,,,,,anorexgrade|BC-3 mothers all visits database FINAL,,,,,,,
anygrade34AE,Individual level database FINAL,SKIP,,(sum) anygrade34AE,"0,1,2,3",,,,,What does sum mean? Please define.,anygrade34AE|Individual level database FINAL,,anygrade34AE,,,,,variable
anyhb,BC-3 mothers expanded database FINAL,keep,,Hemoglobin level (from CBC or hemocue),,,,,,,anyhb|BC-3 mothers expanded database FINAL,,,,,,,
anyHP,BC-3 mothers delivery database FINAL,keep,,Any placental malaria by histopathology,"0=No,
1=Yes",,,,,,anyHP|BC-3 mothers delivery database FINAL,,,,,,,
anyHP,Individual level database FINAL,keep,,Any placental malaria by histopathology,"0=No,
1=Yes",,,,,,anyHP|Individual level database FINAL,,,,,,,
anySAE,Individual level database FINAL,SKIP,,(sum) anySAE,"0,1,2",,,,,What does sum mean? Please define.,anySAE|Individual level database FINAL,,,,,,,
APdichenroll,Individual level database FINAL,keep,,Parasite prevalence by microscopy or qPCR at enrollment,"0,1",,,,,,APdichenroll|Individual level database FINAL,,,,,,,
asthma,BC-3 enrollment database FINAL,keep,,Asthma,"0 = No,
1=Yes",,,,,,asthma|BC-3 enrollment database FINAL,,,,,,,
avoidmed,BC-3 screening database FINAL,SKIP,,Agreement to avoid medications given outside the study protocol,"0 = No,
1=Yes",,,,,,avoidmed|BC-3 screening database FINAL,,Participant willing to avoid other meds,Specified whether participant is willing to avoid medications given outside the study protocol,Participant,,,variable
b4dinfo,BC-3 mothers delivery database FINAL,keep,,Could you obtain this information before delivery?,"0=No,
1=Yes",,,,,,b4dinfo|BC-3 mothers delivery database FINAL,,,,,,,
balive1,BC-3 enrollment database FINAL,keep,,Born Alive or Stillbirth,"1=Alive,
2=stillbirth",,,,,,balive1|BC-3 enrollment database FINAL,,,,,,,
balive2,BC-3 enrollment database FINAL,SKIP,,Born Alive or Stillbirth,"1=Alive,
2=stillbirth",,,,,Should we do these as separate variables? First delivery second delivery etc.?,balive2|BC-3 enrollment database FINAL,,,Was the 2nd child born alive or was it a still birth,,,,variable
balive3,BC-3 enrollment database FINAL,SKIP,,Born Alive or Stillbirth,"1=Alive,
2=stillbirth",,,,,Should we do these as separate variables? First delivery second delivery etc.?,balive3|BC-3 enrollment database FINAL,,,Was the 3rd child born alive or was it a still birth,,,,variable
balive4,BC-3 enrollment database FINAL,SKIP,,Born Alive or Stillbirth,"1=Alive,
2=stillbirth",,,,,Should we do these as separate variables? First delivery second delivery etc.?,balive4|BC-3 enrollment database FINAL,,,Was the 4th child born alive or was it a still birth,,,,variable
balive5,BC-3 enrollment database FINAL,SKIP,,Born Alive or Stillbirth,"1=Alive,
2=stillbirth",,,,,Should we do these as separate variables? First delivery second delivery etc.?,balive5|BC-3 enrollment database FINAL,,,Was the 5th child born alive or was it a still birth,,,,variable
balive6,BC-3 enrollment database FINAL,SKIP,,Born Alive or Stillbirth,"1=Alive,
2=stillbirth",,,,,Should we do these as separate variables? First delivery second delivery etc.?,balive6|BC-3 enrollment database FINAL,,,Was the 2nd child born alive or was it a still birth,,,,variable
balive7,BC-3 enrollment database FINAL,SKIP,,Born Alive or Stillbirth,"1=Alive,
2=stillbirth",,,,,Should we do these as separate variables? First delivery second delivery etc.?,balive7|BC-3 enrollment database FINAL,,,Was the 7th child born alive or was it a still birth,,,,variable
bankacco,BC3_Household_Survey_Data,SKIP,,a bank account?,"1=Yes, 2=No, -9=Skipped",,,,,,bankacco|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000167,Bank account,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,variable
bankaccodich,BC3_Household_Survey_Data,SKIP,,Bank account?,"0=No, 1=Yes      ",,,,,,bankaccodich|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000167,Bank account,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,variable
bcord1,BC-3 mothers delivery database FINAL,keep,,Cord blood1,"0=Not collect, 
1=Collected
",,,,,,bcord1|BC-3 mothers delivery database FINAL,,,,,,,
bcord2,BC-3 mothers delivery database FINAL,SKIP,,Cord blood2,"0=Not collect, 
1=Collected
",,,,,Should we do these as separate variables? First delivery second delivery etc.?,bcord2|BC-3 mothers delivery database FINAL,,Cord blood collected from second child,Was the cord blood collected from the second child if any,Observation,Laboratory test,http://purl.obolibrary.org/obo/OGMS_0000067,variable
bcord3,BC-3 mothers delivery database FINAL,SKIP,,Cord blood3,"0=Not collect, 
1=Collected
",,,,,Should we do these as separate variables? First delivery second delivery etc.?,bcord3|BC-3 mothers delivery database FINAL,,Cord blood collected from third child,Was the cord blood collected from the third child if any,Observation,Laboratory test,http://purl.obolibrary.org/obo/OGMS_0000070,variable
bed,BC3_Household_Survey_Data,SKIP,,bed?,"1=Yes, 2=No, -9=Skipped",,,,,,bed|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_00000501,Bed,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,variable
bednet,BC-3 enrollment database FINAL,keep,,Do you have a bednet?,"0=No,
1=Yes,
9=Unknown",,,,,DROP use ITN,bednet|BC-3 enrollment database FINAL,,,Does the participant have a bednet ,Observation,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021097,variable
bednet,BC3_Household_Survey_Data,SKIP,,Did you have any bednet before enrollment,"0=no bednet, 1=untreated bednet, 2 bednet - treatment unknown, 3= ITN",,,,,,bednet|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0024123,Bednets,,,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021097,variable
bicycle,BC3_Household_Survey_Data,SKIP,,a bicycle?,"1=Yes, 2=No, -9=Skipped",,,,,,bicycle|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000614,Bicycle,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,variable
bicycledich,BC3_Household_Survey_Data,SKIP,,Bicycle?,"0=No, 1=Yes      ",,,,,,bicycledich|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000614,Bicycle,,,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,variable
bioconsent,BC-3 enrollment database FINAL,keep,,Mother provided informed consent for use of biological specimens for her and her,"0 = No,
1=Yes",,,,,,bioconsent|BC-3 enrollment database FINAL,,,,,,,
bioconsent,BC-3 mothers all visits database FINAL,keep,,Mother provided informed consent for use of biological specimens for her and her,1=yes,,,,,,bioconsent|BC-3 mothers all visits database FINAL,,,,,,,
bioconsent,BC-3 screening database FINAL,SKIP,,Mother provided informed consent for use of biological specimens for her and her child,"0 = No,
1=Yes",,,,,,bioconsent|BC-3 screening database FINAL,,Biologic specimen consent given,Has the participant provided informed consent for use of biological specimens for her and her child,Participant,Eligibility criteria,http://purl.obolibrary.org/obo/EUPATH_0010036,variable
birthweight,BC-3 mothers delivery database FINAL,discard,,Birthweight in gm,,,,,,DROP - Same as weight1,birthweight|BC-3 mothers delivery database FINAL,,,,Observation,,,variable
birthweight,Individual level database FINAL,discard,,Birthweight in gm,,,,,,DROP - Same as weigh1,birthweight|Individual level database FINAL,,,,Observation,,,variable
birthwt1,BC-3 enrollment database FINAL,keep,,Birth wt (kg),,,,,,,birthwt1|BC-3 enrollment database FINAL,,,,,,,
birthwt2,BC-3 enrollment database FINAL,SKIP,,Birth wt (kg),,,,,,Should we do these as separate variables? First delivery second delivery etc.?,birthwt2|BC-3 enrollment database FINAL,,,What was the birth weight of the 2nd child in kgs,,,,variable
birthwt3,BC-3 enrollment database FINAL,SKIP,,Birth wt (kg),,,,,,Should we do these as separate variables? First delivery second delivery etc.?,birthwt3|BC-3 enrollment database FINAL,,,What was the birth weight of the 3rd child in kgs,,,,variable
birthwt4,BC-3 enrollment database FINAL,SKIP,,Birth wt (kg),,,,,,Should we do these as separate variables? First delivery second delivery etc.?,birthwt4|BC-3 enrollment database FINAL,,,What was the birth weight of the 4th child in kgs,,,,variable
birthwt5,BC-3 enrollment database FINAL,SKIP,,Birth wt (kg),,,,,,Should we do these as separate variables? First delivery second delivery etc.?,birthwt5|BC-3 enrollment database FINAL,,,What was the birth weight of the 5th child in kgs,,,,variable
birthwt6,BC-3 enrollment database FINAL,SKIP,,Birth wt (kg),,,,,,Should we do these as separate variables? First delivery second delivery etc.?,birthwt6|BC-3 enrollment database FINAL,,,What was the birth weight of the 6th child in kgs,,,,variable
birthwt7,BC-3 enrollment database FINAL,SKIP,,Birth wt (kg),,,,,,Should we do these as separate variables? First delivery second delivery etc.?,birthwt7|BC-3 enrollment database FINAL,,,What was the birth weight of the 7th child in kgs,,,,variable
bldtrans,BC-3 enrollment database FINAL,keep,,Past blood transfusions,"0 = No,
1=Yes",,,,,,bldtrans|BC-3 enrollment database FINAL,,,,,,,
bloodsmr,BC-3 enrollment database FINAL,keep,,Thick blood smear,"0=Not collected,
1=Done (not urgent),
2=Collected (urgent, malaria suspected)
",,,,,,bloodsmr|BC-3 enrollment database FINAL,,,,,,,
bloodsmr,BC-3 mothers all visits database FINAL,keep,,Thick blood smear,"0=Not Indicated,
1=Collected,
2=Forgot to collect,
3=Declined
",,,,,,bloodsmr|BC-3 mothers all visits database FINAL,,,,,,,
bp,BC-3 enrollment database FINAL,keep,,Blood Pressure (mm Hg),,,,,,Need to separate into systolic and diastolic,bp|BC-3 enrollment database FINAL,,,,,,,
bp,BC-3 mothers all visits database FINAL,keep,,Blood pressure (mm Hg),,,,,,Need to separate into systolic and diastolic,bp|BC-3 mothers all visits database FINAL,,,,,,,
brand1,BC3_Household_Survey_Data,SKIP,,observe or ask the brand or type of mosquito net1.,,,,,,,brand1|BC3_Household_Survey_Data,,,,,,,variable
brand10,BC3_Household_Survey_Data,SKIP,,observe or ask the brand or type of mosquito net10.,,,,,,,brand10|BC3_Household_Survey_Data,,,,,,,variable
brand2,BC3_Household_Survey_Data,SKIP,,observe or ask the brand or type of mosquito net2.,,,,,,,brand2|BC3_Household_Survey_Data,,,,,,,variable
brand3,BC3_Household_Survey_Data,SKIP,,observe or ask the brand or type of mosquito net3.,,,,,,,brand3|BC3_Household_Survey_Data,,,,,,,variable
brand4,BC3_Household_Survey_Data,SKIP,,observe or ask the brand or type of mosquito net4.,,,,,,,brand4|BC3_Household_Survey_Data,,,,,,,variable
brand5,BC3_Household_Survey_Data,SKIP,,observe or ask the brand or type of mosquito net5.,,,,,,,brand5|BC3_Household_Survey_Data,,,,,,,variable
brand6,BC3_Household_Survey_Data,SKIP,,observe or ask the brand or type of mosquito net6.,,,,,,,brand6|BC3_Household_Survey_Data,,,,,,,variable
brand7,BC3_Household_Survey_Data,SKIP,,observe or ask the brand or type of mosquito net7.,,,,,,,brand7|BC3_Household_Survey_Data,,,,,,,variable
brand8,BC3_Household_Survey_Data,SKIP,,observe or ask the brand or type of mosquito net8.,,,,,,,brand8|BC3_Household_Survey_Data,,,,,,,variable
brand9,BC3_Household_Survey_Data,SKIP,,observe or ask the brand or type of mosquito net9.,,,,,,,brand9|BC3_Household_Survey_Data,,,,,,,variable
BSdich,BC-3 enrollment database FINAL,keep,,Blood smear dichotomized,"0=Negative BS, 1=Positive Bs",,,,,,BSdich|BC-3 enrollment database FINAL,,,,,,,
BSdich,BC-3 mothers all visits database FINAL,discard,,Blood smear results dichotomized,"0=Negative BS, 1=Positive Bs",,,,,DROP - Use expanded,BSdich|BC-3 mothers all visits database FINAL,,,Was the blood smear positive or negative,Observation,Blood sample,http://purl.obolibrary.org/obo/OBI_0000655,variable
BSdich,BC-3 mothers expanded database FINAL,keep,,Blood smear results dichotomized,"0=Negative BS, 1=Positive Bs",,,,,,BSdich|BC-3 mothers expanded database FINAL,,,,,,,
BSdichenroll,Individual level database FINAL,discard,,Parasite prevalence by microscopy at enrollment,"0,1",,,,,,BSdichenroll|Individual level database FINAL,,,,,,,
cabortions,BC-3 enrollment database FINAL,discard,,Abortion,,,,,,Drop use cabortions,cabortions|BC-3 enrollment database FINAL,,Abortions,How many abortions has the participant had,Participant,Obstetric history,,variable
calculatedgravidity,BC-3 enrollment database FINAL,discard,,Gravidity,,,,,,Drop use calculatedgravidity,calculatedgravidity|BC-3 enrollment database FINAL,,Gravidity,How many number of times a particpant is or has been pregnant,Participant,Obstetric history,,variable
campm,BC-3 mothers delivery database FINAL,discard,,AM/PM CRF,"0=AM,
1=PM",,,,,,campm|BC-3 mothers delivery database FINAL,,Case Report Form,The time the CRF was filled out,Observation,,,variable
canomaly1,BC-3 mothers delivery database FINAL,keep,,Any congenital anomaly noted,,,,,,,canomaly1|BC-3 mothers delivery database FINAL,,,,,,,
canomaly2,BC-3 mothers delivery database FINAL,keep,,Any congenital anomaly noted,,,,,,,canomaly2|BC-3 mothers delivery database FINAL,,,,,,,
caplacent,BC-3 mothers delivery database FINAL,keep,,Abruptio placenta,1=ticked,,,,,,caplacent|BC-3 mothers delivery database FINAL,,,,,,,
car,BC3_Household_Survey_Data,SKIP,,a car or truck?,"1=Yes, 2=No, -9=Skipped",,,,,,car|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000171,Car or truck,,Households,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,variable
car1rdt,BC-3 mothers all visits database FINAL,discard,,Care Start RDT 1st reading,"0=Negative, 1=positive, 2=Invalid",,,,,DROP - Use expanded,car1rdt|BC-3 mothers all visits database FINAL,,,Care Start RDT,Sample,,,variable
car1rdt,BC-3 mothers expanded database FINAL,keep,,Care Start RDT 1st reading,"0=Negative,1=Positive P.f.,2=Invalid",,,,,,car1rdt|BC-3 mothers expanded database FINAL,,,,,,,
car2rdt,BC-3 mothers all visits database FINAL,discard,,Care Start RDT 2nd reading,"0=Negative, 1=positive, 2=Invalid",,,,,DROP - Use expanded,car2rdt|BC-3 mothers all visits database FINAL,,Care Start RDT result,Care Start RDT,Sample,,,variable
car2rdt,BC-3 mothers expanded database FINAL,keep,,Care Start RDT 2nd reading,"0=Negative,1=Positive P.f.,2=Invalid",,,,,,car2rdt|BC-3 mothers expanded database FINAL,,,,,,,
cardiac,BC-3 enrollment database FINAL,keep,,Cardiac disease,"0 = No,
1=Yes",,,,,,cardiac|BC-3 enrollment database FINAL,,,,,,,
cart,BC3_Household_Survey_Data,SKIP,,an animal-drawn cart?,"1=Yes, 2=No, -9=Skipped",,,,,,cart|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/EUPATH_0000166,Animal-drawn cart,,Households,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,variable
cassette,BC3_Household_Survey_Data,SKIP,,cassette player?,"1=Yes, 2=No, -9=Skipped",,,,,,cassette|BC3_Household_Survey_Data,http://purl.obolibrary.org/obo/ENVO_01000578,Cassette player,,Households,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,variable
cbc,BC-3 enrollment database FINAL,keep,,CBC (purple top),"0=Not collected,
1=Collected
",,,,,,cbc|BC-3 enrollment database FINAL,,,,,,,
cbc,BC-3 mothers all visits database FINAL,discard,,CBC (purple top),"0=Not Indicated,
1=Collected,
2=Forgot to collect,
3=Declined
",,,,,DROP - Use expanded,cbc|BC-3 mothers all visits database FINAL,,,,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,variable
cbc,BC-3 mothers delivery database FINAL,keep,,CBC/HIV (purple top),"0=Not collect, 
1=Collected
",,,,,,cbc|BC-3 mothers delivery database FINAL,,,,,,,
cbc,BC-3 mothers expanded database FINAL,keep,,CBC (purple top),"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined
",,,,,,cbc|BC-3 mothers expanded database FINAL,,,,,,,
cbld,BC-3 mothers delivery database FINAL,keep,,Cord blood ,,,,,,,cbld|BC-3 mothers delivery database FINAL,,,,,,,
cbld2,BC-3 mothers delivery database FINAL,keep,,"Cord blood (placenta ""b"" if twins)",,,,,,,cbld2|BC-3 mothers delivery database FINAL,,,,,,,
cblood,BC-3 mothers delivery database FINAL,keep,,Cord blood Hb level,,,,,,,cblood|BC-3 mothers delivery database FINAL,,,,,,,
cblood2,BC-3 mothers delivery database FINAL,keep,,"Cord blood Hb level (placenta ""b"" if twins)",,,,,,,cblood2|BC-3 mothers delivery database FINAL,,,,,,,
