colOrder,IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
14,http://purl.obolibrary.org/obo/EUPATH_0020120,Mosquitoes dissected count,mosq_total,1,nectar1,,Sample,http://purl.obolibrary.org/obo/EUPATH_0020239,Membrane feeding,Mosquitoes dissected,%9.0g,variable,,,,,NECTAR1,,,,,,,,,
15,http://purl.obolibrary.org/obo/EUPATH_0020242,Mosquitoes with oocysts count,mosq_pos,2,nectar1,,Sample,http://purl.obolibrary.org/obo/EUPATH_0020239,Membrane feeding,Mosquitoes positive for oocysts,%9.0g,variable,,,,,NECTAR1,,,,,,,,,
16,http://purl.obolibrary.org/obo/EUPATH_0064202,Mean oocyst in mosquitoes count,mean_ooc_all,3,nectar1,,Sample,http://purl.obolibrary.org/obo/EUPATH_0020239,Membrane feeding,Mean oocysts accross all dissected mosquitoes,%9.0g,variable,new term needed,,,,NECTAR1,,,,,,,,,
17,http://purl.obolibrary.org/obo/EUPATH_0064203,Mean oocyst in infected mosquitoes count,mean_ooc_pos,4,nectar1,,Sample,http://purl.obolibrary.org/obo/EUPATH_0020239,Membrane feeding,Mean oocysts accross all infected mosquitoes,%9.0g,variable,new term needed,,,,NECTAR1,,,,,,,,,
3,http://purl.obolibrary.org/obo/EUPATH_0035095,Month,month_year,1,nectar1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,Month/year,%9s,variable,,yes,yes,,NECTAR1,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,3,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,,NECTAR1,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,1,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,,NECTAR1,,,,,,,,,
,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,,4,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,,NECTAR1,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,2,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,,NECTAR1,,,,,,,,,
6,http://purl.obolibrary.org/obo/OBI_0003073,Temperature,temp,1,nectar1,,Participant,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,Temperature in celsius,%8.0g,variable,,yes,,,NECTAR1,C,http://purl.obolibrary.org/obo/UO_0000027,,,,,,,
10,http://purl.obolibrary.org/obo/EUPATH_0000423,"Plasmodium species, by microscopy",mic_pf_pos,1,nectar1,Microscopy positivity Pf,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,Microscopy positivity Pf,%8.0g,variable,,,,,NECTAR1,,,,,,,,,
9,http://purl.obolibrary.org/obo/EUPATH_0024217,"Plasmodium, by RDT",rdt_pos,2,nectar1,SD Bioline result,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,"SD Bioline result (1=Positive, 0=Negative)",%8.0g,variable,,,,,NECTAR1,,,,,,,,,
12,http://purl.obolibrary.org/obo/EUPATH_0000546,"Plasmodium falciparum gametocytes, by microscopy result",mic_pf_gct_ul,1,nectar1,,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,Pf gametocytes per uL,%9.0g,variable,,,,,NECTAR1,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,
11,http://purl.obolibrary.org/obo/EUPATH_0000550,"Plasmodium falciparum asexual stages, by microscopy result",mic_pf_asc_ul,2,nectar1,,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,Pf asexuals per uL,%9.0g,variable,,,,,NECTAR1,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,
13,http://purl.obolibrary.org/obo/EUPATH_0064201,"Plasmodium gametocytes, by qRT-PCR result",qrtpcr_gct_ul,3,nectar1,,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,qRTPCR total gametocytes per uL,%9.0g,variable,new term needed,,,,NECTAR1,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,
,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,,1,,,Sample,http://purl.obolibrary.org/obo/OBI_0003244,Raw test result for blood,,,category,,,,,NECTAR1,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0020239,Membrane feeding,,1,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,category,,,,,NECTAR1,,,,,,,,,
,http://purl.obolibrary.org/obo/OBI_0000070,Laboratory test,,2,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,category,,,,,NECTAR1,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,1,,,Participant,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,,NECTAR1,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,2,,,Sample,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,,NECTAR1,,,,,,,,,
