colOrder,IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notes,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
47,http://purl.obolibrary.org/obo/EUPATH_0064511,PKPD cohort member,enrollment_year1_year2_arm_2020_reshaped::pkpd_cohort_v2,,enrollment_year1_year2_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,"Check ""Yes"" only if the participant was selected to be part of the Pharmacokinetic-dynamics of ivermectin (PKPD) cohort",,variable,,,,,RIMDAMAL,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0000208,Reason for withdrawal,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,multifilter,,,,,RIMDAMAL,,,,,,,,,
35,http://purl.obolibrary.org/obo/EUPATH_0064513,Visit 1 week before MDA distribution,active_case_detect_arm_reshaped::pre_mda_acd,,active_case_detect_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Is this visit occuring the week before a mass drug administration (MDA)?,,variable,,,,,RIMDAMAL,,,,,,,,,
36,http://purl.obolibrary.org/obo/EUPATH_0064513,Visit 1 week before MDA distribution,active_case_detect_arm_2020_reshaped::pre_mda_acd_v2,,active_case_detect_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Is this visit occuring the week before a mass drug administration (MDA)?,,variable,,,,,RIMDAMAL,,,,,,,,,
15,http://purl.obolibrary.org/obo/EUPATH_0064512,Subjects wishes after withrawal,withdrawaldisconti_arm_reshaped::withdrawal_discont_type,,withdrawaldisconti_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Choose the subjects wishes after the withdrawal/stoppage,"1, He / she will stop the treatment, but will keep his consent for the data collection and to continue with follow-up procedures | 2, He / she will stop all future activities of the study, but will keep his consent so that the data already collected can be used for research | 3, He / she will stop all activities with the study and will withdraw his consent and for any data previously collected to be used in research",variable,,,,,RIMDAMAL,,,,,,,,,
10,http://purl.obolibrary.org/obo/EUPATH_0064630,Take SMC,pregnancy_monitori_arm_2020_reshaped::stillbirth_v2,,pregnancy_monitori_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,How many previous still births has the participant had?,,variable,,,,,RIMDAMAL,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,category,,,,,RIMDAMAL,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0000208,Reason for withdrawal,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,category,,,,,RIMDAMAL,,,,,,,,,
11,http://purl.obolibrary.org/obo/EUPATH_0064550,Blood and lymphatic system disorders,adverse_events_arm_reshaped::adv_event_descrip___1,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
15,http://purl.obolibrary.org/obo/EUPATH_0064550,Blood and lymphatic system disorders,adverse_events_arm_2020_reshaped::adv_event_descrip_v2___1,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
12,http://purl.obolibrary.org/obo/EUPATH_0064563,Cardiac disorders,adverse_events_arm_reshaped::adv_event_descrip___2,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
16,http://purl.obolibrary.org/obo/EUPATH_0064563,Cardiac disorders,adverse_events_arm_2020_reshaped::adv_event_descrip_v2___2,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
13,http://purl.obolibrary.org/obo/EUPATH_0064570,"Congenital, familial and genetic disorders",adverse_events_arm_reshaped::adv_event_descrip___3,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
17,http://purl.obolibrary.org/obo/EUPATH_0064570,"Congenital, familial and genetic disorders",adverse_events_arm_2020_reshaped::adv_event_descrip_v2___3,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
14,http://purl.obolibrary.org/obo/EUPATH_0064585,Ear and labyrinth disorders,adverse_events_arm_reshaped::adv_event_descrip___4,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
18,http://purl.obolibrary.org/obo/EUPATH_0064585,Ear and labyrinth disorders,adverse_events_arm_2020_reshaped::adv_event_descrip_v2___4,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
15,http://purl.obolibrary.org/obo/EUPATH_0064588,Endocrine disorders,adverse_events_arm_reshaped::adv_event_descrip___5,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
19,http://purl.obolibrary.org/obo/EUPATH_0064588,Endocrine disorders,adverse_events_arm_2020_reshaped::adv_event_descrip_v2___5,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
16,http://purl.obolibrary.org/obo/EUPATH_0064589,Eye disorders,adverse_events_arm_reshaped::adv_event_descrip___6,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
20,http://purl.obolibrary.org/obo/EUPATH_0064589,Eye disorders,adverse_events_arm_2020_reshaped::adv_event_descrip_v2___6,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
17,http://purl.obolibrary.org/obo/EUPATH_0064594,Gastrointestinal disorders,adverse_events_arm_reshaped::adv_event_descrip___7,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
21,http://purl.obolibrary.org/obo/EUPATH_0064594,Gastrointestinal disorders,adverse_events_arm_2020_reshaped::adv_event_descrip_v2___7,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
18,http://purl.obolibrary.org/obo/EUPATH_0064595,General disorders,adverse_events_arm_reshaped::adv_event_descrip___8,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
22,http://purl.obolibrary.org/obo/EUPATH_0064595,General disorders,adverse_events_arm_2020_reshaped::adv_event_descrip_v2___8,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
19,http://purl.obolibrary.org/obo/EUPATH_0064600,Hepatobiliary disorders,adverse_events_arm_reshaped::adv_event_descrip___9,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
23,http://purl.obolibrary.org/obo/EUPATH_0064600,Hepatobiliary disorders,adverse_events_arm_2020_reshaped::adv_event_descrip_v2___9,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
20,http://purl.obolibrary.org/obo/EUPATH_0064601,Immune system disorders,adverse_events_arm_reshaped::adv_event_descrip___10,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
24,http://purl.obolibrary.org/obo/EUPATH_0064601,Immune system disorders,adverse_events_arm_2020_reshaped::adv_event_descrip_v2___10,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
21,http://purl.obolibrary.org/obo/EUPATH_0064602,Infections and infestations,adverse_events_arm_reshaped::adv_event_descrip___11,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
25,http://purl.obolibrary.org/obo/EUPATH_0064602,Infections and infestations,adverse_events_arm_2020_reshaped::adv_event_descrip_v2___11,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
22,http://purl.obolibrary.org/obo/EUPATH_0064603,"Injury, poisoning and procedural complications",adverse_events_arm_reshaped::adv_event_descrip___12,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
26,http://purl.obolibrary.org/obo/EUPATH_0064603,"Injury, poisoning and procedural complications",adverse_events_arm_2020_reshaped::adv_event_descrip_v2___12,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
23,http://purl.obolibrary.org/obo/EUPATH_0064604,Investigations,adverse_events_arm_reshaped::adv_event_descrip___13,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
27,http://purl.obolibrary.org/obo/EUPATH_0064604,Investigations,adverse_events_arm_2020_reshaped::adv_event_descrip_v2___13,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
24,http://purl.obolibrary.org/obo/EUPATH_0064613,Metabolism and nutrition disorders,adverse_events_arm_reshaped::adv_event_descrip___14,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
28,http://purl.obolibrary.org/obo/EUPATH_0064613,Metabolism and nutrition disorders,adverse_events_arm_2020_reshaped::adv_event_descrip_v2___14,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
25,http://purl.obolibrary.org/obo/EUPATH_0064614,Musculoskeletal and connective tissue disorders,adverse_events_arm_reshaped::adv_event_descrip___15,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
29,http://purl.obolibrary.org/obo/EUPATH_0064614,Musculoskeletal and connective tissue disorders,adverse_events_arm_2020_reshaped::adv_event_descrip_v2___15,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
26,http://purl.obolibrary.org/obo/EUPATH_0064616,"Neoplasms benign, malignant and unspecified (including cysts and polyps)",adverse_events_arm_reshaped::adv_event_descrip___16,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,"Neoplasms benign, malignant and unspecified (including cysts and polyps)",,value,,yes,,,RIMDAMAL,,,,,,,,,
30,http://purl.obolibrary.org/obo/EUPATH_0064616,"Neoplasms benign, malignant and unspecified (including cysts and polyps)",adverse_events_arm_2020_reshaped::adv_event_descrip_v2___16,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,"Neoplasms benign, malignant and unspecified (including cysts and polyps)",,value,,yes,,,RIMDAMAL,,,,,,,,,
27,http://purl.obolibrary.org/obo/EUPATH_0064617,Nervous system disorders,adverse_events_arm_reshaped::adv_event_descrip___17,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
31,http://purl.obolibrary.org/obo/EUPATH_0064617,Nervous system disorders,adverse_events_arm_2020_reshaped::adv_event_descrip_v2___17,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
28,http://purl.obolibrary.org/obo/EUPATH_0064629,"Pregnancy, peurperium and perinatal condition",adverse_events_arm_reshaped::adv_event_descrip___18,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
32,http://purl.obolibrary.org/obo/EUPATH_0064629,"Pregnancy, peurperium and perinatal condition",adverse_events_arm_2020_reshaped::adv_event_descrip_v2___18,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
29,http://purl.obolibrary.org/obo/EUPATH_0064632,Product issues,adverse_events_arm_reshaped::adv_event_descrip___19,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
33,http://purl.obolibrary.org/obo/EUPATH_0064632,Product issues,adverse_events_arm_2020_reshaped::adv_event_descrip_v2___19,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
30,http://purl.obolibrary.org/obo/EUPATH_0064633,Psychiatric disorders,adverse_events_arm_reshaped::adv_event_descrip___20,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
34,http://purl.obolibrary.org/obo/EUPATH_0064633,Psychiatric disorders,adverse_events_arm_2020_reshaped::adv_event_descrip_v2___20,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
31,http://purl.obolibrary.org/obo/EUPATH_0064642,Renal and urinary disorders,adverse_events_arm_reshaped::adv_event_descrip___21,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
35,http://purl.obolibrary.org/obo/EUPATH_0064642,Renal and urinary disorders,adverse_events_arm_2020_reshaped::adv_event_descrip_v2___21,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
32,http://purl.obolibrary.org/obo/EUPATH_0064643,Reproductive system and breast disorders,adverse_events_arm_reshaped::adv_event_descrip___22,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
36,http://purl.obolibrary.org/obo/EUPATH_0064643,Reproductive system and breast disorders,adverse_events_arm_2020_reshaped::adv_event_descrip_v2___22,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
33,http://purl.obolibrary.org/obo/EUPATH_0064644,"Respiratory, thoracic and mediastinal disorders",adverse_events_arm_reshaped::adv_event_descrip___23,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
37,http://purl.obolibrary.org/obo/EUPATH_0064644,"Respiratory, thoracic and mediastinal disorders",adverse_events_arm_2020_reshaped::adv_event_descrip_v2___23,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
34,http://purl.obolibrary.org/obo/EUPATH_0064645,Skin and subcutaneous tissue disorders,adverse_events_arm_reshaped::adv_event_descrip___24,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
38,http://purl.obolibrary.org/obo/EUPATH_0064645,Skin and subcutaneous tissue disorders,adverse_events_arm_2020_reshaped::adv_event_descrip_v2___24,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
35,http://purl.obolibrary.org/obo/EUPATH_0064647,Social circumstances,adverse_events_arm_reshaped::adv_event_descrip___25,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
39,http://purl.obolibrary.org/obo/EUPATH_0064647,Social circumstances,adverse_events_arm_2020_reshaped::adv_event_descrip_v2___25,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
36,http://purl.obolibrary.org/obo/EUPATH_0064648,Surgical and medical procedures,adverse_events_arm_reshaped::adv_event_descrip___26,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
40,http://purl.obolibrary.org/obo/EUPATH_0064648,Surgical and medical procedures,adverse_events_arm_2020_reshaped::adv_event_descrip_v2___26,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
37,http://purl.obolibrary.org/obo/EUPATH_0064655,Vascular disorders,adverse_events_arm_reshaped::adv_event_descrip___27,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
41,http://purl.obolibrary.org/obo/EUPATH_0064655,Vascular disorders,adverse_events_arm_2020_reshaped::adv_event_descrip_v2___27,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,value,,yes,,,RIMDAMAL,,,,,,,,,
38,http://purl.obolibrary.org/obo/EUPATH_0064540,Adverse event detailed description,adverse_events_arm_reshaped::adv_event_detail,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/OAE_0000001,Adverse events,,,variable,,,,,RIMDAMAL,,,,,,,,,
42,http://purl.obolibrary.org/obo/EUPATH_0064540,Adverse event detailed description,adverse_events_arm_2020_reshaped::adv_event_detail_v2,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/OAE_0000001,Adverse events,,,variable,,,,,RIMDAMAL,,,,,,,,,
50,http://purl.obolibrary.org/obo/EUPATH_0064540,Adverse event detailed description,adverse_events_arm_reshaped::detail_follow,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/OAE_0000001,Adverse events,Detailed description of IE at follow-up visit,,variable,,,,,RIMDAMAL,,,,,,,,,
6,http://purl.obolibrary.org/obo/EUPATH_0064541,"Adverse event detected in cohort visit, by ACD",adverse_events_arm_reshaped::adv_event_detec_acd,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/OAE_0000001,Adverse events,The adverse event was detected during an Active Case Detection (ACD) cohort visit,,variable,could these all be a multifilter?,,,,RIMDAMAL,,,,,,,,,
6,http://purl.obolibrary.org/obo/EUPATH_0064541,"Adverse event detected in cohort visit, by ACD",adverse_events_arm_2020_reshaped::adv_event_detec_acd_v2,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/OAE_0000001,Adverse events,The adverse event was detected during an Active Case Detection (ACD) cohort visit,,variable,,,,,RIMDAMAL,,,,,,,,,
7,http://purl.obolibrary.org/obo/EUPATH_0064542,"Adverse event detected in cross-sectional visit, by ACD",adverse_events_arm_reshaped::adv_event_detec_cross_sec,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/OAE_0000001,Adverse events,The adverse event was detected during a cross-sectional visit,,variable,,,,,RIMDAMAL,,,,,,,,,
7,http://purl.obolibrary.org/obo/EUPATH_0064542,"Adverse event detected in cross-sectional visit, by ACD",adverse_events_arm_2020_reshaped::adv_event_detec_cross_sec_v2,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/OAE_0000001,Adverse events,The adverse event was detected during a cross-sectional visit,,variable,,,,,RIMDAMAL,,,,,,,,,
5,http://purl.obolibrary.org/obo/EUPATH_0064543,"Adverse event detected in MDA visit, by ACD",adverse_events_arm_reshaped::adv_event_detect_mda,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/OAE_0000001,Adverse events,The adverse event was detected during an MDA visit,,variable,,,,,RIMDAMAL,,,,,,,,,
5,http://purl.obolibrary.org/obo/EUPATH_0064543,"Adverse event detected in MDA visit, by ACD",adverse_events_arm_2020_reshaped::adv_event_detect_mda_v2,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/OAE_0000001,Adverse events,The adverse event was detected during an MDA visit,,variable,,,,,RIMDAMAL,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0064544,Adverse event general description,,,,,Participant,http://purl.obolibrary.org/obo/OAE_0000001,Adverse events,,,multifilter,,,,,RIMDAMAL,,,,,,,,,
52,http://purl.obolibrary.org/obo/EUPATH_0064545,Adverse event number,adverse_events_arm_2020_reshaped::adverse_event_number,,adverse_events_arm_2020_reshaped,,Participant,http://purl.obolibrary.org/obo/OAE_0000001,Adverse events,,,variable,,,,,RIMDAMAL,,,,,,,,,
48,http://purl.obolibrary.org/obo/EUPATH_0064545,Adverse event number,adverse_events_arm_reshaped::adverse_event_number,,adverse_events_arm_reshaped,,Participant,http://purl.obolibrary.org/obo/OAE_0000001,Adverse events,,,variable,,,,,RIMDAMAL,,,,,,,,,
