variable,dataSet,dataFile,IRI,label,displayOrder,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet.y,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
avenir census and treatment data clinepi round 2::dobsourcewho,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0049212,Person providing birth date information,11,Who told you?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Who told you?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 2::form.treatment_letter_1_11.cen,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0050576,Treatment letter 1-11,12,Treatment Letter for 1-11 months in census form | Treatment_letter_1_11,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Treatment Letter for 1-11 months in census form,,variable,yes,,,avenir_rct,,,,yes,,,,,,
avenir census and treatment data clinepi round 2::form.treatment_letter_12_59.cen,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0050577,Treatment letter 12-59,13,Treatment letter 12-59 | Treatment letter for 12-59 months in census form,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Treatment letter for 12-59 months in census form,,variable,yes,,,avenir_rct,,,,yes,,,,,,
avenir census and treatment data clinepi round 2::notreatreason,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0050581,Reason child should not be treated,14,Why should the child not be treated?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Why should the child not be treated?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 2::notreatreasonother,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0050582,Other reason child should not be treated,15,What other reasons?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,What other reasons?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 2::form.childpresent,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0050599,Child present,16,Is the child home?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Is the child home?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 2::form.childreturnhome,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0050541,When child will return home,17,When will the child return home?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,When will the child return home?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 2::form.notreatreason,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0050583,Reason for lack of treatment consent,18,Why is treatment consent not given,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Why is treatment consent not given,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::dobsourceotherdoc,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0050607,Other document was used to validate DOB,19,Which other document was used to validate DOB?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Which other document was used to validate DOB?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::dobsourcewho,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0049212,Person providing birth date information,20,Who told you?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Who told you?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::treatment_letter_1_11,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0050576,Treatment letter 1-11,21,Treatment Letter for 1-11 months in census form | Treatment_letter_1_11,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Treatment Letter for 1-11 months in census form,,variable,yes,,,avenir_rct,,,,yes,,,,,,
avenir census and treatment data clinepi round 3 - updated::treatment_letter_12_59,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0050577,Treatment letter 12-59,22,Treatment letter 12-59 | Treatment letter for 12-59 months in census form,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Treatment letter for 12-59 months in census form,,variable,yes,,,avenir_rct,,,,yes,,,,,,
avenir census and treatment data clinepi round 3 - updated::notreatreason,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0050581,Reason child should not be treated,23,Why should the child not be treated?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Why should the child not be treated?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::notreatreasonother,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0050582,Other reason child should not be treated,24,What other reasons?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,What other reasons?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.childpresent,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0050599,Child present,25,Is the child home?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Is the child home?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.childreturnhome,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0050541,When child will return home,26,When will the child return home?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,When will the child return home?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.notreatreason,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0050583,Reason for lack of treatment consent,27,Why is treatment consent not given,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Why is treatment consent not given,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.weight,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/IAO_0000414,Weight,1,Enter child's weight (kg),Participant,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,Enter child's weight (kg),,variable,yes,,,avenir_rct,,kg,http://purl.obolibrary.org/obo/UO_0000009,,,,,,,
avenir census and treatment data clinepi round 2::form.weight,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/IAO_0000414,Weight,2,Enter child's weight (kg),Participant,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,Enter child's weight (kg),,variable,yes,,,avenir_rct,,kg,http://purl.obolibrary.org/obo/UO_0000009,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.weight,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/IAO_0000414,Weight,3,Enter child's weight (kg),Participant,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,Enter child's weight (kg),,variable,yes,,,avenir_rct,,kg,http://purl.obolibrary.org/obo/UO_0000009,,,,,,,
avenir population level data clinepi round 1 - updated::antibiotic_name,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050504,Antibiotic,1,What was the name of the antibiotic?,Participant,http://purl.obolibrary.org/obo/OBI_0003057,Antibiotic administration,What was the name of the antibiotic?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::breastfeeding,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0011048,Breastfeeding status,1,Is your child currently breastfeeding?,Participant,http://purl.obolibrary.org/obo/EUPATH_0011730,Breastfeeding,Is your child currently breastfeeding?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::bf_exclusive,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0049203,Exclusively breastfed,2,Is the breastfeeding exclusive?,Participant,http://purl.obolibrary.org/obo/EUPATH_0011730,Breastfeeding,Is the breastfeeding exclusive?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::health_facility,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050586,Health facility name,1,"In the past 6 months, have you consulted a health facility for this child?",Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,"In the past 6 months, have you consulted a health facility for this child?",,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::health_facility_type_other,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0021099,Visited other health facility,2,What other health facility?,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,What other health facility?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::health_facility_num,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050508,Health facility visit count,3,How many times did you consult a health facility?,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,How many times did you consult a health facility?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::health_facility_reason,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050505,Reason for health facility visit,4,What was the reason for your visit?,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,What was the reason for your visit?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::health_facility_other,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050507,Other reason for health facility visit specified,5,Please specify the other reason,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,Please specify the other reason,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::hospitalized_reason,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0022088,Hospitalization reason,6,What was the reason for hospitalization?,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,What was the reason for hospitalization?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::hospitalized_other,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050545,"Hospitalization reason, specified",7,Please specify the other reason,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,Please specify the other reason,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.grains,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050523,"Millet, rice, sorghum, corn, manioc",1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.orange_veg,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050526,"Squash, carrots, yellow or orange sweet potatoes",2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.green_leaves,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050524,Green leaves or green leaves based sauce,3,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.mango,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050522,Mangoes or papaya,4,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.other_fruit,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050521,"Other fruits like banana, guava, avocado and watermelon",5,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.other_veg,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050525,"Other vegetables like tomatoes, onions, cucumber, zucchini",6,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.animal_protein,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050520,"Animal protein such as meat, poultry, fish",7,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.eggs,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050514,Eggs,8,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.nuts,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050517,"Niebe, peas, lentils, peanuts, or other kinds of nuts",9,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.dairy,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050516,"Milk, yogurt, or other dairy product",10,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.fat,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050518,"Oil, fatty substances, coconut oil, coconut milk, butter, or other oily substances",11,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.sugary_drinks,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050519,"Sugary water, tea, or other sweet drinks",12,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.fortified,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050515,Fortified food,13,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.plumpy_supp,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050527,Supplementary food (plumpy sup),14,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.plumpy_nut,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050528,Therapeutic food (plumpy nut),15,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.childrenrepeat.childrengroup.childsex,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/PATO_0000047,Sex,1,What is the child's sex?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,What is the child's sex?,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.childrenrepeat.childrengroup.ageinmonths,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/OBI_0001169,Age,2,Child's age in months,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Child's age in months,,variable,yes,,,avenir_rct,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.childrenrepeat.childrengroup.dobsource,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050592,Document providing birth date information,3,How did you validate the date of birth?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,How did you validate the date of birth?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 2::childsex,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/PATO_0000047,Sex,4,What is the child's sex?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,What is the child's sex?,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 2::ageinmonths,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/OBI_0001169,Age,5,Child's age in months,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Child's age in months,,variable,yes,,,avenir_rct,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
avenir census and treatment data clinepi round 2::dobsource,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0050592,Document providing birth date information,6,How did you validate the date of birth?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,How did you validate the date of birth?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::childsex,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/PATO_0000047,Sex,7,What is the child's sex?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,What is the child's sex?,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::ageinmonths,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/OBI_0001169,Age,8,Child's age in months,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Child's age in months,,variable,yes,,,avenir_rct,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
avenir census and treatment data clinepi round 3 - updated::dobsource,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0050592,Document providing birth date information,9,How did you validate the date of birth?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,How did you validate the date of birth?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::agerange.reg,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050529,Age range,10,Age Range from Registration form,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Age Range from Registration form,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.childrenrepeat.childrengroup.treatmentconsent,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0049240,Consent for treatment,1,Does the guardian consent to treat the child?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,Does the guardian consent to treat the child?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 2::treatmentconsent,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0049240,Consent for treatment,2,Does the guardian consent to treat the child?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,Does the guardian consent to treat the child?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::treatmentconsent,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0049240,Consent for treatment,3,Does the guardian consent to treat the child?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,Does the guardian consent to treat the child?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::consent,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050540,Consent for examination,4,Consent for child's participation in the examination,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,Consent for child's participation in the examination,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.region.cen,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050542,Region in Niger,1,Region in census form,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Region in census form,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.district.cen,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050002,District in Niger,2,District in census form,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,District in census form,,variable,,,,avenir_rct,,,,yes,,,,,,
avenir census and treatment data clinepi round 2::form.region.cen,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0050542,Region in Niger,3,Region in census form,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Region in census form,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 2::form.district,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0050002,District in Niger,4,District in census form,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,District in census form,,variable,,,,avenir_rct,,,,yes,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.region.cen,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0050542,Region in Niger,5,Region in census form,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Region in census form,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.district,Avenir RCT,avenir census and treatment data clinepi round 3 - updated,http://purl.obolibrary.org/obo/EUPATH_0050002,District in Niger,6,District in census form,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,District in census form,,variable,,,,avenir_rct,,,,yes,,,,,,
avenir population level data clinepi round 1 - updated::health_facility_type,Avenir RCT,avenir population level data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050506,Facility type,1,What kind of health facility?,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,What kind of health facility?,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.hhconsent,Avenir RCT,avenir census and treatment data clinepi round 1 - updated,http://purl.obolibrary.org/obo/EUPATH_0050591,Household consented,1,Does the household agree to participate?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000308,Hospitalization,Does the household agree to participate?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 2::form.hhconsent,Avenir RCT,avenir census and treatment data clinepi round 2,http://purl.obolibrary.org/obo/EUPATH_0050591,Household consented,2,Does the household agree to participate?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000308,Hospitalization,Does the household agree to participate?,,variable,yes,,,avenir_rct,,,,,,,,,,
