variable,IRI,label,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
avenir census and treatment data clinepi round 3 - updated::dobsourcewho,http://purl.obolibrary.org/obo/EUPATH_0049212,Person providing birth date information,5,avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 2,Who told you?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Who told you?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::treatment_letter_1_11,http://purl.obolibrary.org/obo/EUPATH_0050576,Treatment letter 1-11,9,avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3,Treatment Letter for 1-11 months in census form | Treatment_letter_1_11,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Treatment Letter for 1-11 months in census form,,variable,yes,,,avenir_rct,,,,yes,,,,,,
avenir census and treatment data clinepi round 3 - updated::treatment_letter_12_59,http://purl.obolibrary.org/obo/EUPATH_0050577,Treatment letter 12-59,8,avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 1,Treatment letter 12-59 | Treatment letter for 12-59 months in census form,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Treatment letter for 12-59 months in census form,,variable,yes,,,avenir_rct,,,,yes,,,,,,
avenir census and treatment data clinepi round 3 - updated::notreatreason,http://purl.obolibrary.org/obo/EUPATH_0050581,Reason child should not be treated,6,avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 1,Why should the child not be treated?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Why should the child not be treated?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::notreatreasonother,http://purl.obolibrary.org/obo/EUPATH_0050582,Other reason child should not be treated,4,avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 1,What other reasons?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,What other reasons?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.childpresent,http://purl.obolibrary.org/obo/EUPATH_0050599,Child present,2,avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 1,Is the child home?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Is the child home?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.childreturnhome,http://purl.obolibrary.org/obo/EUPATH_0050541,When child will return home,10,avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 2,When will the child return home?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,When will the child return home?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.notreatreason,http://purl.obolibrary.org/obo/EUPATH_0050583,Reason for lack of treatment consent,7,avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 1,Why is treatment consent not given,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Why is treatment consent not given,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.weight,http://purl.obolibrary.org/obo/IAO_0000414,Weight,1,avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 1,Enter child's weight (kg),Participant,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,Enter child's weight (kg),,variable,yes,,,avenir_rct,,kg,http://purl.obolibrary.org/obo/UO_0000009,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.weight,http://purl.obolibrary.org/obo/IAO_0000414,Weight,1,avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 1,Enter child's weight (kg),Participant,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,Enter child's weight (kg),,variable,yes,,,avenir_rct,,kg,http://purl.obolibrary.org/obo/UO_0000009,,,,,,,
avenir population level data clinepi round 1 - updated::antibiotic_name,http://purl.obolibrary.org/obo/EUPATH_0050504,Antibiotic,1,avenir population level data clinepi round 1,What was the name of the antibiotic?,Participant,http://purl.obolibrary.org/obo/OBI_0003057,Antibiotic administration,What was the name of the antibiotic?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::breastfeeding,http://purl.obolibrary.org/obo/EUPATH_0011048,Breastfeeding status,1,avenir population level data clinepi round 1,Is your child currently breastfeeding?,Participant,http://purl.obolibrary.org/obo/EUPATH_0011730,Breastfeeding,Is your child currently breastfeeding?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::bf_exclusive,http://purl.obolibrary.org/obo/EUPATH_0049203,Exclusively breastfed,2,avenir population level data clinepi round 1,Is the breastfeeding exclusive?,Participant,http://purl.obolibrary.org/obo/EUPATH_0011730,Breastfeeding,Is the breastfeeding exclusive?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::health_facility,http://purl.obolibrary.org/obo/EUPATH_0050586,Health facility name,1,avenir population level data clinepi round 1,"In the past 6 months, have you consulted a health facility for this child?",Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,"In the past 6 months, have you consulted a health facility for this child?",,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::health_facility_type_other,http://purl.obolibrary.org/obo/EUPATH_0021099,Visited other health facility,7,avenir population level data clinepi round 1,What other health facility?,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,What other health facility?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::health_facility_num,http://purl.obolibrary.org/obo/EUPATH_0050508,Health facility visit count,2,avenir population level data clinepi round 1,How many times did you consult a health facility?,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,How many times did you consult a health facility?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::health_facility_reason,http://purl.obolibrary.org/obo/EUPATH_0050505,Reason for health facility visit,6,avenir population level data clinepi round 1,What was the reason for your visit?,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,What was the reason for your visit?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::health_facility_other,http://purl.obolibrary.org/obo/EUPATH_0050507,Other reason for health facility visit specified,5,avenir population level data clinepi round 1,Please specify the other reason,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,Please specify the other reason,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::hospitalized_reason,http://purl.obolibrary.org/obo/EUPATH_0022088,Hospitalization reason,3,avenir population level data clinepi round 1,What was the reason for hospitalization?,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,What was the reason for hospitalization?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::hospitalized_other,http://purl.obolibrary.org/obo/EUPATH_0050545,"Hospitalization reason, specified",4,avenir population level data clinepi round 1,Please specify the other reason,Participant,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,Please specify the other reason,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.grains,http://purl.obolibrary.org/obo/EUPATH_0050523,"Millet, rice, sorghum, corn, manioc",7,avenir population level data clinepi round 1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.orange_veg,http://purl.obolibrary.org/obo/EUPATH_0050526,"Squash, carrots, yellow or orange sweet potatoes",12,avenir population level data clinepi round 1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.green_leaves,http://purl.obolibrary.org/obo/EUPATH_0050524,Green leaves or green leaves based sauce,4,avenir population level data clinepi round 1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.mango,http://purl.obolibrary.org/obo/EUPATH_0050522,Mangoes or papaya,5,avenir population level data clinepi round 1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.other_fruit,http://purl.obolibrary.org/obo/EUPATH_0050521,"Other fruits like banana, guava, avocado and watermelon",10,avenir population level data clinepi round 1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.other_veg,http://purl.obolibrary.org/obo/EUPATH_0050525,"Other vegetables like tomatoes, onions, cucumber, zucchini",11,avenir population level data clinepi round 1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.animal_protein,http://purl.obolibrary.org/obo/EUPATH_0050520,"Animal protein such as meat, poultry, fish",1,avenir population level data clinepi round 1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.eggs,http://purl.obolibrary.org/obo/EUPATH_0050514,Eggs,2,avenir population level data clinepi round 1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.nuts,http://purl.obolibrary.org/obo/EUPATH_0050517,"Niebe, peas, lentils, peanuts, or other kinds of nuts",8,avenir population level data clinepi round 1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.dairy,http://purl.obolibrary.org/obo/EUPATH_0050516,"Milk, yogurt, or other dairy product",6,avenir population level data clinepi round 1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.fat,http://purl.obolibrary.org/obo/EUPATH_0050518,"Oil, fatty substances, coconut oil, coconut milk, butter, or other oily substances",9,avenir population level data clinepi round 1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.sugary_drinks,http://purl.obolibrary.org/obo/EUPATH_0050519,"Sugary water, tea, or other sweet drinks",13,avenir population level data clinepi round 1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.fortified,http://purl.obolibrary.org/obo/EUPATH_0050515,Fortified food,3,avenir population level data clinepi round 1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.plumpy_supp,http://purl.obolibrary.org/obo/EUPATH_0050527,Supplementary food (plumpy sup),14,avenir population level data clinepi round 1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::dietlist.plumpy_nut,http://purl.obolibrary.org/obo/EUPATH_0050528,Therapeutic food (plumpy nut),15,avenir population level data clinepi round 1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0050531,Contents of diet,,,value,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.childrenrepeat.childrengroup.childsex,http://purl.obolibrary.org/obo/PATO_0000047,Sex,3,avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3,What is the child's sex?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,What is the child's sex?,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.childrenrepeat.childrengroup.ageinmonths,http://purl.obolibrary.org/obo/OBI_0001169,Age,1,avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 3,Child's age in months,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Child's age in months,,variable,yes,,,avenir_rct,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.childrenrepeat.childrengroup.dobsource,http://purl.obolibrary.org/obo/EUPATH_0050592,Document providing birth date information,4,avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 2,How did you validate the date of birth?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,How did you validate the date of birth?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::childsex,http://purl.obolibrary.org/obo/PATO_0000047,Sex,3,avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3,What is the child's sex?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,What is the child's sex?,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::ageinmonths,http://purl.obolibrary.org/obo/OBI_0001169,Age,1,avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 3,Child's age in months,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Child's age in months,,variable,yes,,,avenir_rct,,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
avenir census and treatment data clinepi round 3 - updated::dobsource,http://purl.obolibrary.org/obo/EUPATH_0050592,Document providing birth date information,4,avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 2,How did you validate the date of birth?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,How did you validate the date of birth?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::agerange.reg,http://purl.obolibrary.org/obo/EUPATH_0050529,Age range,2,avenir population level data clinepi round 1,Age Range from Registration form,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Age Range from Registration form,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.childrenrepeat.childrengroup.treatmentconsent,http://purl.obolibrary.org/obo/EUPATH_0049240,Consent for treatment,4,avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 1,Does the guardian consent to treat the child?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,Does the guardian consent to treat the child?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::treatmentconsent,http://purl.obolibrary.org/obo/EUPATH_0049240,Consent for treatment,4,avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 1,Does the guardian consent to treat the child?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,Does the guardian consent to treat the child?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::consent,http://purl.obolibrary.org/obo/EUPATH_0050540,Consent for examination,3,avenir population level data clinepi round 1,Consent for child's participation in the examination,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,Consent for child's participation in the examination,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.region.cen,http://purl.obolibrary.org/obo/EUPATH_0050542,Region in Niger,2,avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3,Region in census form,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Region in census form,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.district.cen,http://purl.obolibrary.org/obo/EUPATH_0050002,District in Niger,1,avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 2,District in census form,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,District in census form,,variable,,,,avenir_rct,,,,yes,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.region.cen,http://purl.obolibrary.org/obo/EUPATH_0050542,Region in Niger,2,avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3,Region in census form,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Region in census form,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.district,http://purl.obolibrary.org/obo/EUPATH_0050002,District in Niger,1,avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 2,District in census form,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,District in census form,,variable,,,,avenir_rct,,,,yes,,,,,,
avenir population level data clinepi round 1 - updated::health_facility_type,http://purl.obolibrary.org/obo/EUPATH_0050506,Facility type,1,avenir population level data clinepi round 1,What kind of health facility?,Participant,http://purl.obolibrary.org/obo/EUPATH_0051964,Healthcare,What kind of health facility?,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.hhconsent,http://purl.obolibrary.org/obo/EUPATH_0050591,Household consented,3,avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3,Does the household agree to participate?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000308,Hospitalization,Does the household agree to participate?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.hhconsent,http://purl.obolibrary.org/obo/EUPATH_0050591,Household consented,3,avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3,Does the household agree to participate?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000308,Hospitalization,Does the household agree to participate?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::hospitalized,http://purl.obolibrary.org/obo/EUPATH_0050543,Hospitalized in the last 6 months,2,avenir population level data clinepi round 1,Was your child hospitalized in the last 6 months?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000308,Hospitalization,Was your child hospitalized in the last 6 months?,,variable,,,,avenir_rct,,,,,,,,,,
avenir population level data clinepi round 1 - updated::hospitalized_num,http://purl.obolibrary.org/obo/EUPATH_0050544,Hospitalizations count,1,avenir population level data clinepi round 1,How many times was the child hospitalized?,Participant,http://purl.obolibrary.org/obo/EUPATH_0000308,Hospitalization,How many times was the child hospitalized?,,variable,,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.hhreasonrefused,http://purl.obolibrary.org/obo/EUPATH_0050549,Reason refused to participate,2,avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3,Why did the household refuse to participate?,Household,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Why did the household refuse to participate?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.hhreasonrefusedother,http://purl.obolibrary.org/obo/EUPATH_0050605,Reason refused to participate specified,3,avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 1,Please specify other reason,Household,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Please specify other reason,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::form.childrenrepeat.childrengroup.dobsourcewhoother,http://purl.obolibrary.org/obo/EUPATH_0050501,Other person providing birth date information specified,1,avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 2,Please specify other source for DOB,Household,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Please specify other source for DOB,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.hhreasonrefused,http://purl.obolibrary.org/obo/EUPATH_0050549,Reason refused to participate,2,avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3,Why did the household refuse to participate?,Household,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Why did the household refuse to participate?,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::form.hhreasonrefusedother,http://purl.obolibrary.org/obo/EUPATH_0050605,Reason refused to participate specified,3,avenir census and treatment data clinepi round 2 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 1,Please specify other reason,Household,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Please specify other reason,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 3 - updated::dobsourcewhoother,http://purl.obolibrary.org/obo/EUPATH_0050501,Other person providing birth date information specified,1,avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 2,Please specify other source for DOB,Household,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Please specify other source for DOB,,variable,yes,,,avenir_rct,,,,,,,,,,
avenir census and treatment data clinepi round 1 - updated::round,http://purl.obolibrary.org/obo/EUPATH_0044122,Household study timepoint,1,avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 2 | avenir population level data clinepi round 1,Round of study,Household,http://purl.obolibrary.org/obo/EUPATH_0011995,Household observation details,,,variable,yes,,,avenir_rct,,,,yes,,,,,,yes
avenir census and treatment data clinepi round 3 - updated::round,http://purl.obolibrary.org/obo/EUPATH_0044122,Household study timepoint,1,avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 2 | avenir population level data clinepi round 1,Round of study,Household,http://purl.obolibrary.org/obo/EUPATH_0011995,Household observation details,,,variable,yes,,,avenir_rct,,,,yes,,,,,,yes
avenir population level data clinepi round 1 - updated::round,http://purl.obolibrary.org/obo/EUPATH_0044122,Household study timepoint,1,avenir census and treatment data clinepi round 3 | avenir census and treatment data clinepi round 1 | avenir census and treatment data clinepi round 2 | avenir population level data clinepi round 1,Round of study,Household,http://purl.obolibrary.org/obo/EUPATH_0011995,Household observation details,,,variable,yes,,,avenir_rct,,,,yes,,,,,,yes
