IRI,label,variable,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,dataSet
http://purl.obolibrary.org/obo/EUPATH_0025107,Other human waste facilities,icemrcambodiahousehold_data_2022-05-13_1307_sak::toilet_oth | icemrcambodiahousehold_data_2022-05-13_1307_sak::toilet___99 | wi_waste_othr,icemrcambodiahousehold_data_2022-05-13_1307_sak | vida_enrl.csv,,Community,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,"If ""Other"", specify",,variable | value,SW PACIFIC | VIDA Case Control
http://purl.obolibrary.org/obo/EUPATH_0057709,Own flush toilet,icemrcambodiahousehold_data_2022-05-13_1307_sak::toilet___8,icemrcambodiahousehold_data_2022-05-13_1307_sak,,Community,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,,,value,SW PACIFIC
http://purl.obolibrary.org/obo/EUPATH_0057710,Own pit latrine with slab,icemrcambodiahousehold_data_2022-05-13_1307_sak::toilet___5,icemrcambodiahousehold_data_2022-05-13_1307_sak,,Community,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,,,value,SW PACIFIC
http://purl.obolibrary.org/obo/EUPATH_0031066,Pit latrine with slab,wi_shr_pitslab | wi_pitslab,vida_enrl.csv,,Community,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,,,value,VIDA Case Control
http://purl.obolibrary.org/obo/EUPATH_0031280,Shared bucket toilet,wi_shr_bucket,vida_enrl.csv,,Community,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,,,value,VIDA Case Control
http://purl.obolibrary.org/obo/EUPATH_0031281,Shared composting toilet,wi_shr_comp,vida_enrl.csv,,Community,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,,,value,VIDA Case Control
http://purl.obolibrary.org/obo/EUPATH_0057711,Shared flush toilet,icemrcambodiahousehold_data_2022-05-13_1307_sak::toilet___7,icemrcambodiahousehold_data_2022-05-13_1307_sak,,Community,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,,,value,SW PACIFIC
http://purl.obolibrary.org/obo/EUPATH_0048090,Shared latrine,SHINE_Month12_Intervention_Uptake_Data::latrine_shared,SHINE_Month12_Intervention_Uptake_Data,Latrine is shared.,Community,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,Is latrine shared?,,value,SHINE
http://purl.obolibrary.org/obo/EUPATH_0048014,Shared latrine path,SHINE_Baseline_Household_Data::improvedlatrinepath_share_b0,SHINE_Baseline_Household_Data,,Community,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,b0:_well troden path & sharing,,value,SHINE
http://purl.obolibrary.org/obo/EUPATH_0057712,Shared open pit latrine,icemrcambodiahousehold_data_2022-05-13_1307_sak::toilet___2,icemrcambodiahousehold_data_2022-05-13_1307_sak,,Community,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,,,value,SW PACIFIC
http://purl.obolibrary.org/obo/EUPATH_0057713,Shared pit latrine with slab,icemrcambodiahousehold_data_2022-05-13_1307_sak::toilet___4,icemrcambodiahousehold_data_2022-05-13_1307_sak,,Community,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,,,value,SW PACIFIC
http://purl.obolibrary.org/obo/EUPATH_0031067,Ventilated improved pit,wi_vip | wi_shr_vip,vida_enrl.csv,,Community,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,,,value,VIDA Case Control
http://purl.obolibrary.org/obo/EUPATH_0048055,Dense vegetation,SHINE_Month12_Intervention_Uptake_Data::latrine_access_denseVeg,SHINE_Month12_Intervention_Uptake_Data,,Community,http://purl.obolibrary.org/obo/EUPATH_0048070,Latrine access,,,value,SHINE
http://purl.obolibrary.org/obo/EUPATH_0048060,Entrance obstructed,SHINE_Month12_Intervention_Uptake_Data::latrine_access_wasteDebris,SHINE_Month12_Intervention_Uptake_Data,,Community,http://purl.obolibrary.org/obo/EUPATH_0048070,Latrine access,,,value,SHINE
http://purl.obolibrary.org/obo/EUPATH_0048094,Waste or debris in path,SHINE_Month12_Intervention_Uptake_Data::dobstructed,SHINE_Month12_Intervention_Uptake_Data,,Community,http://purl.obolibrary.org/obo/EUPATH_0048070,Latrine access,,,value,SHINE
http://purl.obolibrary.org/obo/EUPATH_0048095,Well-trodden,SHINE_Month12_Intervention_Uptake_Data::latrine_access_wellTrodden,SHINE_Month12_Intervention_Uptake_Data,,Community,http://purl.obolibrary.org/obo/EUPATH_0048070,Latrine access,,,value,SHINE
http://purl.obolibrary.org/obo/EUPATH_0048015,Bathing,SHINE_Baseline_Household_Data::latrine_use_bathing,SHINE_Baseline_Household_Data,,Community,http://purl.obolibrary.org/obo/EUPATH_0048009,Latrine use,,,value,SHINE
http://purl.obolibrary.org/obo/EUPATH_0048016,Defecation,SHINE_Baseline_Household_Data::latrine_use_defecation,SHINE_Baseline_Household_Data,,Community,http://purl.obolibrary.org/obo/EUPATH_0048009,Latrine use,,,value,SHINE
http://purl.obolibrary.org/obo/EUPATH_0048017,Other,SHINE_Baseline_Household_Data::latrine_use_other,SHINE_Baseline_Household_Data,,Community,http://purl.obolibrary.org/obo/EUPATH_0048009,Latrine use,,,value,SHINE
http://purl.obolibrary.org/obo/EUPATH_0048018,Storage,SHINE_Baseline_Household_Data::x07_latrine_storage_use | SHINE_Month12_Intervention_Uptake_Data::xb07,SHINE_Month12_Intervention_Uptake_Data | SHINE_Baseline_Household_Data,Household,Community,http://purl.obolibrary.org/obo/EUPATH_0048009,Latrine use,xb07: Is the latrine being used as a storage facility? | x07:Is latrine used for storage?,,value,SHINE
http://purl.obolibrary.org/obo/EUPATH_0048019,Urinating,SHINE_Baseline_Household_Data::latrine_use_urinating,SHINE_Baseline_Household_Data,,Community,http://purl.obolibrary.org/obo/EUPATH_0048009,Latrine use,,,value,SHINE
http://purl.obolibrary.org/obo/EUPATH_0000722,Child waste disposal,uptake_1::feces_disp | uptake_0::feces_disp | uptake_2::feces_disp | F5_CHILD_FECES | F7_DISP_FECES | F4A_DISP_FECES,uptake_2 | uptake_0 | uptake_1 | GEMS1_Case_control_Study_data_June2018.csv | gems1a_case_control_study_data,"Whether the household safely disposed of their children's feces. Assessed at enrollment (year 0, pre-intervention baseline), 1 year after intervention initiation (midline) and 2 years after intervention initiation (endline). | Usual disposal of child's feces; assessed in the enrollment questionnaire and 60-day follow-up for cases and controls.",Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,Please show me where you usually dispose of the feces of your child? | How do you usually dispose of Childs feces?,0 | 1,variable,WASH Benefits Kenya Cluster Randomized Trial | GEMS1 Case Control | GEMS1A Case Control
http://purl.obolibrary.org/obo/EUPATH_0047511,"Feces disposed in latrine, compost, or trash",pnc_q20d,ganc_phase2,"All animal and human feces, including baby's nappy is disposed of in latrine, compost or trash bin",Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,20d. All animal and human feces  including babys   and nappy water is disposed of in latrine  compost or trash bin  Kinyesi chote cha binadamu na wanyama  ikiwemo cha mtoto  na maji ya nepi yanamwagwa chooni  shimo ya uchafu au kifaa cha kuwekea uchafu,1 = Not at all true - Sio kweli hata kidogo | 4 = Mostly true - Karibu yote ni kweli | 5 = Completely true - Ni kweli kabisa | 2 = Slightly true - Ni Kweli kwa kiwango kidogo sana | 3 = Somewhat true - Yana ukweli fulani,variable,GANC
http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,ext_bv_ses::toil | tfaclty | otherfcy | toilet_rad | toiletother | household survey household level data_final::tfaclty | F7_FAC_WASTE | F5_HOUSE_FECES | F4A_FAC_WASTE | hh_12m::otherfcy | hh_12m::tfaclty | hh_18m::tfaclty | hh_00m::tfaclty | hh_06m::tfaclty | BC3_Household_Survey_Data::otherfcy | BC3_Household_Survey_Data::tfaclty | malariabehaviorhouse_data_2020-05-27_1622::toilet_rad | malariabehaviorhouse_data_2020-05-27_1622::toilet_other | ses_q3 | excre | toiletsp | toilet,ext_bv_ses | Cohorthouseholdenrollmentsurveyhouseholdleveldatafinal | khasi_data_2021-01-22_1310visits1_2_hh | jaintia_data_2021-01-22_1315visits1_2_hh | household survey household level data_final | vida_enrl.csv | GEMS1_Case_control_Study_data_June2018.csv | hh_12m | hh_18m | hh_00m | hh_06m | BC3_Household_Survey_Data | malariabehaviorhouse_data_2020-05-27_1622 | Household level data FINAL | ganc_phase2 | gems1a_case_control_study_data | Peru_household | DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,Nature of toilet | What kind of facility does your household most commonly use to dispose of human fecal waste? | Household disposal of human waste; assessed in the enrollment questionnaire and 60-day follow-up for cases and controls. | Main kind of toilet facilities used by the household.,Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,"18. What is the principal type of TOILET facility used by members of your household? | A10. Specify other toilet availability [Batai che] | A9. Is a toilet available? [Ka jingem painkhana?] | Toilet facility | Specify: | What kind of facility does your Household has most commonly use to dispose of human fecal waste? | What kind of facility does your Household has most commonly use to dispose of human fecal waste? [Show pictures to confirm the identity of the facility used.] | What kind of toilet facility do members of your household usually use? | Specify other kind of toilet facilities | what kind of toilet facility do members of your household usually use? | specify other kind of toilet facilities | Toilet available? | if Other, specify | 3. What kind of toilet facility do members of your household usually use  Kwa kawaida  wanafamilia wako hutumia choo cha aina gani? | Please show me the facility your household most commonly use to dispose of human fecal waste? | What kind of facility does your household most commonly use to dispose of human fecal waste? | Toilet type | <font color=""blue"">Kodi muli ndi chimbudzi chotani?</font> 
Do you have a toilet?","1 = Septic tank or toilet
2 = Water-sealed or slab latrine
3 = Pit latrine
4 = Open latrine
5 = Hanging latrine
6 = Bush, field as latrine | 1, No toilet for household/open defecation [Ym em thaw lai painkhana ha iung] | 2, Pit latrine available [Dei theh um] | 3, Other [Kiwi kiwi tawon] | string | 1 = 'Flush or pour-flush toilet to: piped sewer system; septic tank; or pit latrine', 
2 = 'Flush or pour-flush toilet to elsewhere', 
3 = bucket, 
4 = 'VIP', 
5 = 'Pit latrine with slab', 
6 = 'Pit latrine without slab or open pit', 
7 = 'composting toilet', 
8 = 'hanging toilet or hanging latrine', 
9 = 'no facility', 
10 = 'other' | String | 1 - flush toilet, 2 - vip latrine, 3 - covered pit latrine no slab, 4 - covered pit latrine w/slab, 5 - uncovered pit latrine no slab, 6 - uncovered pit latrine w/slab, 7 - composting  toilet, 8 - no facility/bush/field, 96 - other, -8: Refused to answer | Covered pit latrine with slab, VIP latrine, covered pit latrine no slab, uncovered pit latrine with slab, uncovered pit latrine no slab,no facility/bush/field | 1, No toilet for household | 2, Pit latrine available | 3, Other, specify | 3 = Other - Nyingine | 1 = Flush or pour toilet - Choo cha kubumburusha/kumwaga ili kubumburusha | 2 = Pit latrine - Choo cha shimo | 0 | 1 | 61, No facility/bush/field | -9, Unknown | 2, Pit latrine | 51, Hanging toilet/hanging latrine | 96, Other | 1, Flush or pour flush toilet | 41, Bucket toilet | 31, Composting toilet","variable | multifilter | variable,derived",PROVIDE Randomized Controlled Trial | PRISM ICEMR Cohort | India ICEMR Meghalaya Cohort | PRISM2 ICEMR Border Cohort | SW PACIFIC | VIDA Case Control | GEMS1 Case Control | LLINE UP Cluster Randomized Trial | PROMOTE BC3 Cohort | India ICEMR Behavior Cross-sectional | PRISM2 ICEMR Cohort | GANC | GEMS1A Case Control | SHINE | Amazonia ICEMR Peru Cohort | Malawi ICEMR Case-Control
http://purl.obolibrary.org/obo/EUPATH_0029001,Human waste facilities use frequency,toiletuse_rad,jaintia_data_2021-01-22_1315visits1_2_hh | khasi_data_2021-01-22_1310visits1_2_hh,,Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,"A11. If there is a toilet, do people in the household use it? [Lada don jaka leit bar, ki briew ha iing ki pyndonkam ne em?]","2, Yes, sometimes [Hooid, teng-teng] | 3, No [Em] | 1, Yes, always [Hooid, barobor]",variable,India ICEMR Meghalaya Cohort
http://purl.obolibrary.org/obo/EUPATH_0037007,Improved latrine,uptake_0::imp_lat | uptake_2::imp_lat | uptake_1::imp_lat | SHINE_Baseline_Household_Data::Improve_Latrine,uptake_1 | uptake_0 | uptake_2 | SHINE_Baseline_Household_Data,"Whether the household had access to an improved latrine.  Assessed at enrollment (year 0, pre-intervention baseline), 1 year after intervention initiation (midline) and 2 years after intervention initiation (endline). | Assessed at baseline only",Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,improved latrine only,,variable,WASH Benefits Kenya Cluster Randomized Trial | SHINE
http://purl.obolibrary.org/obo/EUPATH_0031229,Improved sanitation,improv_sanit,vida_enrl.csv,Joint Monitoring Programme (JMP) definition of improved sanitation,Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,,,variable,VIDA Case Control
http://purl.obolibrary.org/obo/EUPATH_0048070,Latrine access,,,,Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,,,multifilter,SHINE
http://purl.obolibrary.org/obo/EUPATH_0025085,Latrine type,cef_toilet | BC3_Household_Survey_Data::tfacltydich | pit,elicit_data_for_plos_reshaped_v3 | BC3_Household_Survey_Data | DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,What kind of toilet facility do members of the family usually use? | what kind of toilet facility do members of your household usually use? | Select the type of pit latrine,"1 = No facility/bush/field or bucket toilet
2 = Pit latrine without concrete slab
3 = Pit latrine with concrete slab
4 = Flush toilet
5 = Other | 0=uncovered pit latrine, 1= VIP or covered latrin | 23, Pit latrine without slab/open pit | 21, Ventilated improved pit latrine (VIP) | 22, Pit latrine with slab",variable,ELICIT | PROMOTE BC3 Cohort | Malawi ICEMR Case-Control
http://purl.obolibrary.org/obo/EUPATH_0011701,"Latrine type, current",wami_0_5y::typeof,wami_0_5y,"Type of pit latrine used by members of the household at the time of survey. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,"Type of pit latrine. Source=TZH latrine. 1=with slab, 2=no slab, 3=no facility, na=no facility",", 1, 2, 3",variable,MAL-ED 0-60m Cohort
http://purl.obolibrary.org/obo/EUPATH_0011702,"Latrine type, previous",wami_0_5y::ifno,wami_0_5y,"Type of pit latrine previously used, if the style of pit latrine used by members of the household at the time of survey was different than the type used when the participant was 0-2 years of age. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,If NO; type when pit latrine 0-2yrs. Source=TZH latrine. with slab = 1;with no slab = 2;others = 3,", 1, 2, 3",variable,MAL-ED 0-60m Cohort
http://purl.obolibrary.org/obo/EUPATH_0048009,Latrine use,,,,Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,,,multifilter,SHINE
http://purl.obolibrary.org/obo/EUPATH_0048211,"Open defecation, adults 18-70 years count",SHINE_Month12_Intervention_Uptake_Data::m12opendef_age18_less70 | SHINE_Baseline_Household_Data::opendef_age18_less70,SHINE_Baseline_Household_Data | SHINE_Month12_Intervention_Uptake_Data,"Members age 18 to 70 years who use open defecation, assessed at baseline and month 12 study timepoint",Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,Members age 18 to <70yrs who use open defecation | Members age 18 to <70yrs who use open defecation at M12,,variable,SHINE
http://purl.obolibrary.org/obo/EUPATH_0048209,"Open defecation, adults over 70 years count",SHINE_Month12_Intervention_Uptake_Data::m12opendef_age_70plus | SHINE_Baseline_Household_Data::opendef_age_70plus,SHINE_Month12_Intervention_Uptake_Data | SHINE_Baseline_Household_Data,"Members age 70 years and older  who use open defecation, assessed at baseline and month 12 study timepoint",Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,Members age 70 + yrs who use open defecation | Members age 70 + yrs who use open defecation at M12,,variable,SHINE
http://purl.obolibrary.org/obo/EUPATH_0048212,"Open defecation, children 3-6 years count",SHINE_Baseline_Household_Data::opendef_age3_less6 | SHINE_Month12_Intervention_Uptake_Data::m12opendef_age3_less6,SHINE_Month12_Intervention_Uptake_Data | SHINE_Baseline_Household_Data,"Members age 3 to 6 years who use open defecation, assessed at baseline and month 12 study timepoint",Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,Members age 3 to <6yrs who use open defecation at M12 | Members age 3 to <6yrs who use open defecation,,variable,SHINE
http://purl.obolibrary.org/obo/EUPATH_0048213,"Open defecation, children 6-18 years count",SHINE_Baseline_Household_Data::opendef_age6_less18 | SHINE_Month12_Intervention_Uptake_Data::m12opendef_age6_less18,SHINE_Month12_Intervention_Uptake_Data | SHINE_Baseline_Household_Data,"Members age 6 to 18 years who use open defecation, assessed at baseline and month 12 study timepoint",Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,Members age 6 to <18yrs who use open defecation | Members age 6 to <18yrs who use open defecation at M12,,variable,SHINE
http://purl.obolibrary.org/obo/EUPATH_0048210,"Open defecation, children under 3 years count",SHINE_Month12_Intervention_Uptake_Data::m12opendef_age0_less3 | SHINE_Baseline_Household_Data::opendef_age0_less3,SHINE_Month12_Intervention_Uptake_Data | SHINE_Baseline_Household_Data,"Members less than age 3 years who use open defecation, assessed at baseline and month 12 study timepoint",Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,Members age <3 yrs who use open defecation | Members age <3 yrs who use open defecation at M12,,variable,SHINE
http://purl.obolibrary.org/obo/EUPATH_0048088,Persons sharing toilet count,SHINE_Month12_Intervention_Uptake_Data::gb40,SHINE_Month12_Intervention_Uptake_Data,Count of households that share toilet facility,Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,gb40a: How many HHs share this toilet facility?,,variable,SHINE
http://purl.obolibrary.org/obo/EUPATH_0011607,Sanitation score,impsan | wami_0_5y::newsanitation,elicit_data_for_plos_reshaped_v3 | wami_0_5y,"Whether the household sanitation facilities were classified as improved or unimproved, based on WHO definitions; 0 for unimproved categories, 4 for improved categories | Whether the household sanitation facilities were classified as improved or unimproved, based on WHO definitions. Sanitation facilities categorized as 'Improved' include those classified as 'Other,' 'Pit latrine without flush/with slab,''Flush to piped sewer system,' 'Flush to septic tank,' 'Flush to pit latrine,' or 'Flush to somewhere else.' 'No facility/bush/field or bucket toilet/pit latrine without slab' was considered 'Unimproved.' Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,"Score of sanitation; 0 for unimproved categories, 4 for improved categories | Score of sanitation; 0 for unimproved categories, 4 for improved categories. Source=FSE(derived). if fsetoiletmod = ''01'' then newsanitation=0, unimproved;if fsetoiletmod = ''02'',''03'',''04'',''05'',''06'',''07'' then newsanitation=4, improved","if cef_toilet = 1 then newsanitation=0, unimproved
if cef_toilet = 2,3,4,5,6,7 then newsanitation=4, improved | , 0, 4",variable,ELICIT | MAL-ED 0-60m Cohort
http://purl.obolibrary.org/obo/EUPATH_0022245,Sanitation system,icemr1_brazil_hh_05jul18_st::excreta,icemr1_brazil_hh_05jul18_st,,Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,sanitation,"1-Tank, 2-Woods, 3-Water flow",variable,Amazonia ICEMR Brazil Cohort
http://purl.obolibrary.org/obo/EUPATH_0036517,Shared human waste facilities,ext_bv_ses::tshar | ses_q4,ext_bv_ses | ganc_phase2,Toilet facility shared with other households,Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,22. Toilet facility shared with other households | 4. Do you share this toilet facility with other households  Mnatumia choo hiki na wananyumba wa nyumba ingine?,1=Yes; 2=No | 1 = Yes - Ndio | 2 = No - La,variable,PROVIDE Randomized Controlled Trial | GANC
http://purl.obolibrary.org/obo/EUPATH_0048201,SHINE Latrine,SHINE_Month12_Intervention_Uptake_Data::m12_latrine_present,SHINE_Month12_Intervention_Uptake_Data,SHINE latrine present at month 12 follow up,Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,M12 SHINE latrine present?,,variable,SHINE
http://purl.obolibrary.org/obo/EUPATH_0011611,Toilet or latrine,wami_0_5y::q3 | SHINE_Month12_Intervention_Uptake_Data::gb38,wami_0_5y | SHINE_Month12_Intervention_Uptake_Data,"Whether the household had a flush toilet or pit latrine. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,Do you have a toilet in your household ?. Source=SAV Latrine. yes = 01; no = 00 | gb38: Is there a toilet or latrine of any type at the homestead?,", 0, 1",variable,MAL-ED 0-60m Cohort | SHINE
http://purl.obolibrary.org/obo/EUPATH_0011613,Toilet or latrine concrete floor before Nov 2009,wami_0_5y::q5,wami_0_5y,"For households with toilets or latrines that had a concrete floor, whether this concrete floor was available before November 2009. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,Was the concrete floor available before November 2009?. Source=SAV Latrine. yes = 01; no = 00,", 0, 1",variable,MAL-ED 0-60m Cohort
http://purl.obolibrary.org/obo/EUPATH_0011615,Toilet or latrine concrete floor between Nov 2009 - Feb 2014,wami_0_5y::q7,wami_0_5y,"For households with toilets or latrines that did NOT have a concrete floor, whether the household toilet or latrine had a concrete floor at any time between November 2009 and February 2014. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,"If your answer to Question 04 is ‘No’, did your toilet/latrine have a concrete floor any time between November 2009 and February 2014? . Source=SAV Latrine. yes = 01; no = 00",", 0, 1",variable,MAL-ED 0-60m Cohort
http://purl.obolibrary.org/obo/EUPATH_0011614,Toilet or latrine concrete floor date,wami_0_5y::q6,wami_0_5y,"Installation date for the household toilet or latrine's concrete floor, if after November 2009. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,When after November 2009 did your toilet/latrine; have a concrete floor. Source=SAV Latrine. date,2010-01-03 to 2015-01-11,variable,MAL-ED 0-60m Cohort
http://purl.obolibrary.org/obo/EUPATH_0011612,Toilet or latrine has concrete floor,wami_0_5y::q4,wami_0_5y,"Whether the household toilet or latrine had a concrete floor. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,Does your household toilet/latrine have a concrete floor?. Source=SAV Latrine. yes = 01; no = 00,", 0, 1",variable,MAL-ED 0-60m Cohort
http://purl.obolibrary.org/obo/EUPATH_0011744,Toilet or latrine type,wami_0_5y::fsetoiletmod,wami_0_5y,"Type of toilet or latrine facility usually used by members of the household. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",Community,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,"What kind of toilet facility do members of your household usually use? Equal to FSE toilet except when new data provided by TZH, SAV, and PEL conflict. It is preferable to use this variable than the raw variable as correct accounting for type of latrine has been made. . Source=Derived. no facility/bush/field or bucket toilet/pit latrine without slab = 01(unimproved);pit latrine without flush/with slab(improved) = 02;flush to piped sewer system = 03 flush to septic tank = 04 ;flush to pit latrine = 05 ;flush to somewhere else = 06;other = 07",", 1, 2, 3, 4, 5, 6, 7",variable,MAL-ED 0-60m Cohort
