ID,label,datasets,contain_unit
EUPATH_0032490,"Alpha-hemolytic Streptococcus (viridans), by culture result",gates_perch,Yes
EUPATH_0036530,Alpha-linolenic acid (%),gates_provide,Yes
EUPATH_0048051,Anemia (hemoglobin less than 10.5g/dL),gates_shine,Yes
EUPATH_0020209,Anemia (hemoglobin less than 10g/dL),icemr_prism2 | gates_llineup,Yes
EUPATH_0011161,Anemia (hemoglobin less than 11g/dL),icemr_prism2 | gates_maled_phase3 | gates_llineup,Yes
EUPATH_0044112,Anemia (hemoglobin less than 8g/dL),gates_llineup,Yes
EUPATH_0011628,Animal proteins (including grains and roots),gates_maled_phase3,Yes
EUPATH_0011623,"Animal proteins (meat, eggs, fish)",gates_maled_phase3,Yes
EUPATH_0011627,"Animal proteins (meat, organ meat, fish)",gates_maled_phase3,Yes
EUPATH_0000194,Anopheles dissected for parity (count),icemr_prism2 | icemr_prism,Yes
EUPATH_0000195,Anopheles nulliparous (count),icemr_prism2 | icemr_prism,Yes
EUPATH_0000196,Anopheles parous (count),icemr_prism2 | icemr_prism,Yes
EUPATH_0000155,Anorexia duration (days),icemr_prism2 | general/general_promote_mothers | icemr_prism,Yes
EUPATH_0033113,Antibiotic administered before blood collection (calculated),gates_perch,Yes
EUPATH_0033114,Antibiotic administered before blood collection (reported),gates_perch,Yes
EUPATH_0033118,Antibiotic administered before endotracheal tube sample collection (calculated),gates_perch,Yes
EUPATH_0033120,Antibiotic administered before gastric aspirate collection (calculated),gates_perch,Yes
EUPATH_0033122,Antibiotic administered before induced sputum collection (calculated),gates_perch,Yes
EUPATH_0033123,Antibiotic administered before induced sputum collection (reported),gates_perch,Yes
EUPATH_0033125,Antibiotic administered before lung aspirate collection (calculated),gates_perch,Yes
EUPATH_0033115,Antibiotic administered before nasopharyngeal/oropharyngeal swab collection (calculated),gates_perch,Yes
EUPATH_0033127,Antibiotic administered before nasopharyngeal/oropharyngeal swab collection (reported),gates_perch,Yes
EUPATH_0033129,Antibiotic administered before pleural fluid collection (calculated),gates_perch,Yes
EUPATH_0033116,Antibiotic administered before urine collection (calculated),gates_perch,Yes
EUPATH_0033131,Antibiotic administered before urine collection (reported),gates_perch,Yes
EUPATH_0010890,"Any pathogen (ex NRV), by any method",gates_maled_phase3,Yes
EUPATH_0010935,"Any virus (ex NRV), by any method",gates_maled_phase3,Yes
EUPATH_0036229,Arachidic acid (%),gates_provide,Yes
EUPATH_0036230,Arachidonic acid (%),gates_provide,Yes
EUPATH_0021156,Aspartate aminotransferase (IU/L),icemr_india_gujarat,Yes
EUPATH_0010095,Axillary temperature (C),gates_gems1a | gates_gems | gates_vida,Yes
EUPATH_0000661,BMI (kg/m2),gates_gems1a | gates_gems | gates_vida | gates_provide,Yes
EUPATH_0023010,BUN (mg/dL),icemr_southAsia,Yes
EUPATH_0036406,Bacille Calmette-Guerin (BCG) at birth,gates_provide,Yes
EUPATH_0036100,Bacille Calmette-Guerin (BCG) vaccine,gates_provide,Yes
EUPATH_0011211,Bacille Calmette-Guerin (BCG) vaccine doses prior to blood draw,gates_maled_phase3,Yes
EUPATH_0041020,Basophils (%),general/general_crompton,Yes
EUPATH_0041021,Basophils (x10^3/uL),general/general_crompton,Yes
EUPATH_0036231,Behenic acid (%),gates_provide,Yes
EUPATH_0023005,Bicarbonate (mmol/L),icemr_india_gujarat | icemr_southAsia,Yes
EFO_0004344,Birth weight (kg),gates_vida | gates_shine | gates_maled_phase3,Yes
EUPATH_0036120,Books in home (count),gates_provide,Yes
EUPATH_0032492,"Bordetella pertussis (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0032750,"Bordetella pertussis (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0030148,Boys in school (count),gates_scoreBurundi | gates_scoreRwanda,Yes
EUPATH_0036396,Breastfeeding duration (days),gates_provide,Yes
EUPATH_0033152,Breastfeeding duration (months),gates_perch,Yes
EUPATH_0033154,C-reactive protein (mg/L),gates_perch | gates_provide,Yes
EUPATH_0021161,Calcium (mg/dL),icemr_india_gujarat,Yes
EUPATH_0011064,Calories from carbohydrates (%),gates_maled_phase3,Yes
EUPATH_0011065,Calories from fat (%),gates_maled_phase3,Yes
EUPATH_0011066,Calories from protein (%),gates_maled_phase3,Yes
EUPATH_0036255,Calprotectin (ug/g),gates_provide,Yes
EUPATH_0036232,Capric acid (%),gates_provide,Yes
EUPATH_0036163,"Carbon dioxide (ppm), at 100 min",gates_provide,Yes
EUPATH_0036164,"Carbon dioxide (ppm), at 120 min",gates_provide,Yes
EUPATH_0036165,"Carbon dioxide (ppm), at 140 min",gates_provide,Yes
EUPATH_0036166,"Carbon dioxide (ppm), at 160 min",gates_provide,Yes
EUPATH_0036167,"Carbon dioxide (ppm), at 180 min",gates_provide,Yes
EUPATH_0036168,"Carbon dioxide (ppm), at 20 min",gates_provide,Yes
EUPATH_0036169,"Carbon dioxide (ppm), at 40 min",gates_provide,Yes
EUPATH_0036170,"Carbon dioxide (ppm), at 60 min",gates_provide,Yes
EUPATH_0036171,"Carbon dioxide (ppm), at 80 min",gates_provide,Yes
EUPATH_0036162,"Carbon dioxide (ppm), at baseline",gates_provide,Yes
EUPATH_0010070,Caregiver plus participant weight (kg),gates_gems1a | gates_gems | gates_vida | gates_washbBangladesh,Yes
EUPATH_0035086,"Caregiver plus participant weight (kg), 2nd",gates_washbBangladesh,Yes
EUPATH_0035087,"Caregiver plus participant weight (kg), 3rd",gates_washbBangladesh,Yes
EUPATH_0010071,Caregiver weight (kg),gates_gems1a | gates_gems | gates_vida | gates_washbBangladesh,Yes
EUPATH_0035088,"Caregiver weight (kg), 2nd",gates_washbBangladesh,Yes
EUPATH_0035089,"Caregiver weight (kg), 3rd",gates_washbBangladesh,Yes
EUPATH_0041072,Cell Preperation Tube (CPT) sample,general/general_crompton,Yes
EUPATH_0041073,Cell Preperation Tube (CPT) size,general/general_crompton,Yes
EUPATH_0041074,Cell Preperation Tube (CPT) volume (mL),general/general_crompton,Yes
ontoneo/ONTONEO_00000228,Cervical dilation (cm),general/general_promote_mothers,Yes
EUPATH_0042030,Children under 5 sleeping in same bed (count),general/general_promote_mothers,Yes
EUPATH_0042027,Children under 5 sleeping in same room (count),general/general_promote_mothers,Yes
EUPATH_0042171,Chills duration (days),general/general_promote_mothers,Yes
EUPATH_0032495,"Chlamydophila pneumoniae (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0032660,"Chlamydophila pneumoniae (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0032752,"Chlamydophila pneumoniae (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0035047,Chouki (traditional wooden bed) count,gates_washbBangladesh,Yes
EUPATH_0015339,"Clostridium difficile toxin A (TcdA) Ct value, by TAC result",gates_gems,Yes
EUPATH_0015340,"Clostridium difficile toxin B (TcdB) Ct value, by TAC result",gates_gems,Yes
EUPATH_0010570,Completely tested diarrheal stool (ex NRV),gates_maled_phase3,Yes
EUPATH_0010569,Completely tested diarrheal stool (ex microscopy and NRV),gates_maled_phase3,Yes
EUPATH_0010568,Completely tested diarrheal stool (ex microscopy),gates_maled_phase3,Yes
EUPATH_0010572,Completely tested monthly stool (ex archived stools),gates_maled_phase3,Yes
EUPATH_0010574,"Completely tested monthly stool (ex archived, time zero stools)",gates_maled_phase3,Yes
EUPATH_0010576,"Completely tested monthly stool (ex archived, time zero stools, ex microscopy)",gates_maled_phase3,Yes
EUPATH_0010575,Completely tested monthly stool (ex microscopy),gates_maled_phase3,Yes
EUPATH_0010573,Completely tested monthly stool (ex time zero stools),gates_maled_phase3,Yes
EUPATH_0042040,Cord blood hemoglobin (g/dL),general/general_promote_mothers,Yes
EUPATH_0042041,"Cord blood hemoglobin (g/dL), twin b",general/general_promote_mothers,Yes
EUPATH_0032575,"Coronavirus 229 (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0032577,"Coronavirus 43 (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0032579,"Coronavirus 63 (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0032581,"Coronavirus HKU (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0032775,"Coronoavirus 229 (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0032777,"Coronoavirus 43 (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0032779,"Coronoavirus 63 (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0032781,"Coronoavirus HKU (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0000156,Cough duration (days),icemr_prism2 | general/general_promote_mothers | icemr_prism,Yes
EUPATH_0000380,Covered area (m2),icemr_amazoniaPeru_long,Yes
EUPATH_0023011,Creatinine (mg/dL),icemr_india_gujarat | icemr_southAsia,Yes
EUPATH_0032503,"Cronobacter sakazakii (Enterobacter sakazakii), by culture result",gates_perch,Yes
EUPATH_0010937,Cumulative sum 1st diarrheal stools with virus (ex NRV),gates_maled_phase3,Yes
EUPATH_0010938,Cumulative sum 1st monthly stools with virus (ex NRV),gates_maled_phase3,Yes
EUPATH_0010921,Cumulative sum pathogen (ex NRV) in 1st diarrheal stools,gates_maled_phase3,Yes
EUPATH_0010922,Cumulative sum pathogen (ex NRV) in 1st monthly stools,gates_maled_phase3,Yes
EUPATH_0010920,Cumulative sum pathogen (ex NRV) in stools,gates_maled_phase3,Yes
EUPATH_0010936,Cumulative sum stools with virus (ex NRV),gates_maled_phase3,Yes
EUPATH_0010912,Cumulative sum unique pathogen (ex NRV) in stools,gates_maled_phase3,Yes
EUPATH_0010929,Cumulative sum virus (ex NRV) in 1st diarrheal stools,gates_maled_phase3,Yes
EUPATH_0010930,Cumulative sum virus (ex NRV) in 1st monthly stools,gates_maled_phase3,Yes
EUPATH_0010928,Cumulative sum virus (ex NRV) in stools,gates_maled_phase3,Yes
EUPATH_0032583,"Cytomegalovirus (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0032690,"Cytomegalovirus (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0032783,"Cytomegalovirus (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0033046,"Cytomegalovirus (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0011084,Daily calcium (mg),gates_maled_phase3,Yes
EUPATH_0011098,Daily calories (Kcal),gates_maled_phase3,Yes
EUPATH_0011085,Daily carbohydrates (g),gates_maled_phase3,Yes
EUPATH_0011086,Daily cholesterol (mg),gates_maled_phase3,Yes
EUPATH_0011088,Daily copper (mg),gates_maled_phase3,Yes
EUPATH_0011092,Daily fat (g),gates_maled_phase3,Yes
EUPATH_0011094,Daily fiber (g),gates_maled_phase3,Yes
EUPATH_0011095,Daily folate (ug),gates_maled_phase3,Yes
EUPATH_0011093,Daily iron from all sources (mg),gates_maled_phase3,Yes
EUPATH_0011099,"Daily iron from meat, poultry, fish (mg)",gates_maled_phase3,Yes
EUPATH_0011101,Daily magnesium (mg),gates_maled_phase3,Yes
EUPATH_0011102,Daily manganese (mg),gates_maled_phase3,Yes
EUPATH_0011089,Daily monounsaturated fat (g),gates_maled_phase3,Yes
EUPATH_0011104,Daily niacin (mg),gates_maled_phase3,Yes
EUPATH_0011106,Daily pantothenic acid (mg),gates_maled_phase3,Yes
EUPATH_0011105,Daily phosphorus (mg),gates_maled_phase3,Yes
EUPATH_0011107,Daily phytate (mg),gates_maled_phase3,Yes
EUPATH_0011090,Daily polyunsaturated fat (g),gates_maled_phase3,Yes
EUPATH_0011097,Daily potassium (mg),gates_maled_phase3,Yes
EUPATH_0011108,Daily protein from all sources (g),gates_maled_phase3,Yes
EUPATH_0011083,Daily protein from animal sources (g),gates_maled_phase3,Yes
EUPATH_0011100,"Daily protein from meat, poultry, fish (g)",gates_maled_phase3,Yes
EUPATH_0011109,Daily riboflavin (mg),gates_maled_phase3,Yes
EUPATH_0011091,Daily saturated fat (g),gates_maled_phase3,Yes
EUPATH_0011103,Daily sodium (mg),gates_maled_phase3,Yes
EUPATH_0011111,Daily sugars (g),gates_maled_phase3,Yes
EUPATH_0011112,Daily thiamin (mg),gates_maled_phase3,Yes
EUPATH_0011113,Daily vitamin A (ug),gates_maled_phase3,Yes
EUPATH_0011114,Daily vitamin B12 (ug),gates_maled_phase3,Yes
EUPATH_0011115,Daily vitamin B6 (mg),gates_maled_phase3,Yes
EUPATH_0011116,Daily vitamin C (mg),gates_maled_phase3,Yes
EUPATH_0011117,Daily vitamin D (ug),gates_maled_phase3,Yes
EUPATH_0011118,Daily vitamin E (mg),gates_maled_phase3,Yes
EUPATH_0011121,Daily zinc (mg),gates_maled_phase3,Yes
EUPATH_0020067,Dead mosquitoes (count),icemr_prism2,Yes
EUPATH_0000157,Diarrhea duration (days),gates_vida | icemr_prism2 | general/general_promote_mothers | icemr_prism,Yes
EUPATH_0010238,Diarrheal episode duration (days),gates_gems_huas | gates_gems1a | gates_gems | gates_vida | gates_gems1a_huas | gates_vida_hucs_kenya | gates_maled_phase3 | gates_provide | gates_vida_hucs_gambia_mali,Yes
EUPATH_0036462,Diarrheal episode duration standard deviation (days),gates_provide,Yes
EUPATH_0021087,Diastolic blood pressure (mmHg),icemr_india_gujarat | icemr_indian_cx | icemr_southAsia | icemr_india_feverSurv | icemr_prism2 | general/general_promote_mothers | gates_ganc | general/general_crompton | icemr_indian,Yes
EUPATH_0036233,Dihomo-gamma-linolenic acid (%),gates_provide,Yes
EUPATH_0036386,"Diphtheria toxoid IgG titer (IU/mL), by MIA result",gates_provide,Yes
EUPATH_0031321,"Diphtheria, pertussis, and tetanus (DPT) or Pentavalent vaccine",gates_vida | gates_vida_hucs_gambia_mali,Yes
EUPATH_0033430,"Diphtheria, pertussis, and tetanus (DPT) vaccine dose categorization",gates_perch,Yes
EUPATH_0033174,"Diphtheria, pertussis, and tetanus (DPT) vaccine doses 14 days before enrollment",gates_perch,Yes
EUPATH_0011396,"Diphtheria, pertussis, and tetanus (DPT) vaccine doses prior to blood draw",gates_maled_phase3,Yes
EUPATH_0033175,"Diphtheria, pertussis, and tetanus (DPT) vaccine status",gates_perch,Yes
EUPATH_0033429,"Diphtheria, pertussis, and tetanus (DPT) vaccine status, age adjusted",gates_perch,Yes
EUPATH_0031211,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent",gates_vida | gates_vida_hucs_kenya | gates_vida_hucs_gambia_mali,Yes
EUPATH_0031212,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent 2",gates_vida | gates_vida_hucs_kenya | gates_vida_hucs_gambia_mali,Yes
EUPATH_0031213,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent 2 don't know health center code",gates_vida | gates_vida_hucs_gambia_mali,Yes
EUPATH_0031333,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent 2 health center code",gates_vida | gates_vida_hucs_gambia_mali,Yes
EUPATH_0031334,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent 2 health center name",gates_vida | gates_vida_hucs_gambia_mali,Yes
EUPATH_0031332,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent 2 vaccination date",gates_vida | gates_vida_hucs_kenya | gates_vida_hucs_gambia_mali,Yes
EUPATH_0031214,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent 3",gates_vida | gates_vida_hucs_kenya | gates_vida_hucs_gambia_mali,Yes
EUPATH_0031215,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent 3 don't know health center code",gates_vida | gates_vida_hucs_gambia_mali,Yes
EUPATH_0031216,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent 3 health center code",gates_vida | gates_vida_hucs_gambia_mali,Yes
EUPATH_0031217,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent 3 health center name",gates_vida | gates_vida_hucs_gambia_mali,Yes
EUPATH_0031335,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent 3 vaccination date",gates_vida | gates_vida_hucs_kenya | gates_vida_hucs_gambia_mali,Yes
EUPATH_0031219,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent don't know health center code",gates_vida | gates_vida_hucs_gambia_mali,Yes
EUPATH_0031220,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent health center code",gates_vida | gates_vida_hucs_gambia_mali,Yes
EUPATH_0031221,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent health center name",gates_vida | gates_vida_hucs_gambia_mali,Yes
EUPATH_0031331,"Diphtheria, pertussis, and tetanus (DPT)/Pentavalent vaccination date",gates_vida | gates_vida_hucs_kenya | gates_vida_hucs_gambia_mali,Yes
EUPATH_0025060,Discarded tires distance (m),icemr_malawi,Yes
EUPATH_0025062,Discarded trash distance (m),icemr_malawi,Yes
EUPATH_0036234,Docosahexaenoic acid (%),gates_provide,Yes
EUPATH_0036235,Docosapentaenoic acid (5n3) (%),gates_provide,Yes
EUPATH_0036236,Docosapentaenoic acid (5n6) (%),gates_provide,Yes
EUPATH_0036237,Docosatetraenoic acid (%),gates_provide,Yes
EUPATH_0011235,Duration of urine collection (hrs),gates_maled_phase3,Yes
EUPATH_0042065,Dysphagia duration (days),general/general_promote_mothers,Yes
EUPATH_0011892,"EAEC aggR-activated regulator (aar) Ct value, by TAC result",gates_vida | gates_maled_phase3 | gates_provide,Yes
EUPATH_0036238,Eicosadienoic acid (%),gates_provide,Yes
EUPATH_0036239,Eicosapentaenoic acid (%),gates_provide,Yes
EUPATH_0036240,Eicosenoic acid (%),gates_provide,Yes
EUPATH_0036241,Elaidic acid (%),gates_provide,Yes
NCIT_C120835,Elective abortions (count),general/general_promote_mothers,Yes
EUPATH_0036293,Endotoxin (EU/mL),gates_provide,Yes
EUPATH_0036307,Endotoxin core antibodies (GMU/mL),gates_provide,Yes
EUPATH_0041022,Eosinophils (%),general/general_crompton,Yes
EUPATH_0041023,Eosinophils (x10^3/uL),general/general_crompton,Yes
EUPATH_0036273,Eotaxin concentration (pg/mL),gates_provide,Yes
EUPATH_0036292,Epidermal growth factor (pg/mL),gates_provide,Yes
EUPATH_0021168,Erythrocyte sedimentation rate (mm/hr),icemr_india_gujarat,Yes
EUPATH_0036409,Estimated gestational age (weeks),gates_provide,Yes
EUPATH_0048024,"Expenditure (CPI adjusted, USD)",gates_shine,Yes
EUPATH_0042071,Eye symptom duration (days),general/general_promote_mothers,Yes
EUPATH_0036210,Family expenditures (local currency),gates_provide,Yes
EUPATH_0011606,Family income (USD),gates_maled_phase3,Yes
EUPATH_0000727,Family income (local currency),gates_maled_phase3 | gates_provide,Yes
EUPATH_0023017,Fasting blood sugar (mg/dL),icemr_india_gujarat | icemr_southAsia,Yes
EUPATH_0000158,Fatigue duration (days),icemr_prism2 | general/general_promote_mothers | icemr_prism,Yes
EUPATH_0020081,Fed mosquitoes (count),icemr_prism2,Yes
EUPATH_0011849,Ferritin (ng/mL),icemr_india_gujarat | gates_maled_phase3 | gates_provide,Yes
EUPATH_0011850,"Ferritin (ng/mL), 2nd",gates_maled_phase3,Yes
EUPATH_0010492,"Fever at episode, max temp (C)",gates_maled_phase3,Yes
EUPATH_0000414,Fever duration (days),icemr_indian_cx | general/general_promote_mothers | icemr_indian,Yes
EUPATH_0025065,Fever in last 2 weeks duration (days),icemr_malawi,Yes
EUPATH_0027016,Fever or malaria in last 6 months (count),icemr_westAfrica,Yes
EUPATH_0000164,"Fever, subjective duration (days)",icemr_malawi | icemr_prism2 | icemr_prism,Yes
EUPATH_0036272,Fibroblast growth factor (pg/mL),gates_provide,Yes
EUPATH_0036387,"Filamentous hemagglutinin IgG titer (EU/mL), by MIA result",gates_provide,Yes
EUPATH_0025067,Forest distance (m),icemr_malawi,Yes
EUPATH_0042079,Full term births (count),general/general_promote_mothers,Yes
EUPATH_0033432,"Fully vaccinated for diphtheria, pertussis, and tetanus (DPT), age adjusted",gates_perch,Yes
EUPATH_0033455,"Fully vaccinated for pneumococcal conjugate vaccine (PCV), age adjusted",gates_perch,Yes
NCIT_C154876,Fundal height (cm),general/general_promote_mothers,Yes
EUPATH_0036242,Gamma-linolenic acid (%),gates_provide,Yes
EUPATH_0025068,Garden distance (m),icemr_malawi,Yes
EUPATH_0042080,Gastrointestinal symptom duration (days),general/general_promote_mothers,Yes
EUPATH_0042081,Genitourinary symptom duration (days),general/general_promote_mothers,Yes
EUPATH_0048062,Gestational age (days),gates_shine,Yes
ontoneo/ONTONEO_00000255,Gestational age (weeks),general/general_promote_mothers | gates_ganc,Yes
EUPATH_0030149,Girls in school (count),gates_scoreBurundi | gates_scoreRwanda,Yes
EUPATH_0036192,Glucose administered for breath test (mL),gates_provide,Yes
EUPATH_0036274,Granulocyte-colony stimulating factor (pg/mL),gates_provide,Yes
EUPATH_0036494,Granulocyte-colony stimulating factor (pg/mL),gates_provide,Yes
EUPATH_0036495,Granulocyte-colony stimulating factor (pg/mL),gates_provide,Yes
EUPATH_0036275,Granulocyte-macrophage colony stimulating factor (pg/mL),gates_provide,Yes
EUPATH_0036496,Granulocyte-macrophage colony stimulating factor (pg/mL),gates_provide,Yes
EUPATH_0036497,Granulocyte-macrophage colony stimulating factor (pg/mL),gates_provide,Yes
EUPATH_0032519,"Haemophilus influenzae (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0032662,"Haemophilus influenzae (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0032754,"Haemophilus influenzae (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0033018,"Haemophilus influenzae (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0032521,"Haemophilus influenzae type B (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0032664,"Haemophilus influenzae type B (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0032756,"Haemophilus influenzae type B (copies/mL), by multiplexed qPCR result",gates_perch,Yes
EUPATH_0036388,"Haemophilus influenzae type B IgG titer (ng/mL), by MIA result",gates_provide,Yes
EUPATH_0000683,Head circumference (cm),gates_shine | gates_maled_phase3 | gates_washbBangladesh,Yes
EUPATH_0035084,"Head circumference (cm), 2nd",gates_washbBangladesh,Yes
EUPATH_0035085,"Head circumference (cm), 3rd",gates_washbBangladesh,Yes
EUPATH_0000159,Headache duration (days),icemr_malawi | icemr_prism2 | general/general_promote_mothers | icemr_prism,Yes
EFO_0004326,Heart rate (bpm),icemr_india_gujarat | icemr_southAsia | gates_perch | icemr_prism2 | general/general_promote_mothers | general/general_crompton,Yes
EUPATH_0010075,Height (cm),general/general_umsp | icemr_india_gujarat | icemr_indian_cx | gates_gems1a | gates_gems | gates_vida | gates_perch | icemr_india_feverSurv | icemr_prism2 | general/general_promote_mothers | gates_maled_phase3 | icemr_prism | gates_provide | gates_scoreSmCohort | gates_ganc | general/general_crompton | icemr_indian,Yes
EUPATH_0010076,"Height (cm), 2nd",gates_gems1a | gates_gems | gates_vida,Yes
EUPATH_0010077,"Height (cm), 3rd",gates_gems1a | gates_gems | gates_vida,Yes
EFO_0004348,Hematocrit (%),icemr_india_gujarat | icemr_southAsia | gates_provide,Yes
