IRI,label,definition,parentIRI,parentLabel,codebookDescription,codebookValues,termType,dataSet
http://purl.obolibrary.org/obo/ENVO_01000825,Eaves,Nature of eaves (exposure to outside air) | Type of eaves that the dwelling had.,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Type of eaves | Does the household have eaves? (STATA label = 'type of eaves') | Whether eaves present | What is the condition of the house eaves? <i>(Observe)</i>,"1 - Yes, 0 - No | 1=Eaves present, 2=Eaves not present | 2, Closed | 1, Open",variable,PRISM ICEMR Cohort | PRISM2 ICEMR Border Cohort | LLINE UP Cluster Randomized Trial | PROMOTE BC3 Cohort | PRISM2 ICEMR Cohort | Malawi ICEMR Case-Control
http://purl.obolibrary.org/obo/EUPATH_0042021,Eaves covered,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,"observation: if room has eaves, are the eaves covered?","1=completely covered, 2=partially covered, -9=skipped",variable,PROMOTE BC3 Cohort
http://purl.obolibrary.org/obo/EUPATH_0042022,Eaves open to outside,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,observation: do the eaves open to the outside?,"1=yes, 2=partially, 3 No,-9=skipped",variable,PROMOTE BC3 Cohort
http://purl.obolibrary.org/obo/EUPATH_0048059,Electric power,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,,multifilter,SHINE
http://purl.obolibrary.org/obo/EUPATH_0057707,Elevated house,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Is the house elevated on posts?,"0, (No) | 1, (Yes)",variable,SW PACIFIC
http://purl.obolibrary.org/obo/EUPATH_0022002,External wall material,What is the MAIN type of outer walls of your house?,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,16. What is the MAIN type of outer walls of your house?    (OBSERVE WHERE POSSIBLE) | What are the walls of your house made out off? | Other specify | 17. What is the MAIN type of outer walls of your house? | External wall material,"3, Iron Sheets | 6, Brick or Stones | 2, Plastered Mud | 1, Mud | 4, Wood | 5, Cardboard",multifilter | variable,Jilinde_awareness_survey | Jilinde_healthcareprovider_cohort | Demand_creation_evaluation_questionnaire | SHINE | Amazonia ICEMR Peru Cohort
http://purl.obolibrary.org/obo/EUPATH_0031225,Finished floor,Predominant floor finished,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Predominant floor finished | 7c. Finished floor  Sakafu iliyokamilika,"2=""Vinyl or asphalt strips"", 3=""Ceramic tile"", 4=""Cement"", 5=""Carpet | 4 = Cement - Simiti | 5 = Carpet/rug - Zulia | 1 = Partquet or polished wood - Mbao | 3 = Ceramic tiles - Vigae vilivyofinywanga | 2 = Vinyl or asphalt strips - Vipande vya vinylau asphalt | 6 = Other - Nyingine",variable | multifilter,VIDA HUCS Kenya | VIDA Case Control | VIDA HUCS Gambia Mali | GANC
http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,"Observed main floor material of the dwelling. Assessed for the household at enrollment (year 0, pre-intervention baseline). | Primary material of floors | Observed main material of the floor. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months. | Predominant floor in the dwelling; assessed in the enrollment questionnaire for cases and controls. | Primary material of floors.",http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,"12. What is the principal type of flooring in your dwelling? | Main floor material | Main material of the floor (observation). Source=FSE. earth/sand/clay/mud/dung = 01; wood  = 02;  ceramic tiles or vinyl= 03;cement/concrete = 04; other = 05 | B16: Household information. What is the predominant floor inside the house. | If ""Other"", specify | What is the main material of the floor? | Main material of the floor | Specify other material of the floor | main material of the floor | specify other material of the floor | 7. Main material of the floor  Maghafi kuu ya sakafu | floor material | What is the predominant floor in the house of Child? | Floor material | <font color=""blue"">Kodi pansi pa nyumba yanu ndipopangidwa ndi chiani?</font>","0. Earth/dung,
1. Concrete,
9. Missing/DK | 0. Earth/dung,
1. Cement/concrete,
9. Missing/DK | 1= Earth; 2= bamboo/Wood; 3= Cement; | , 1, 2, 3, 4, 5 | 1=Earth/sand, 10=Carpet, 2=Dung, 3=Other, specify, 4=Wood planks, 5=Palm/bamboo, 6=Parquet or polished wood, 7=Vinyl or asphalt strips, 8=Ceramic tile, 9=Cement | 5, (Cement / Tiles) | 4,  (Polished wood) | 3,  (Wood) | 2,  (Palm / Bamboo / Grass) | 1, (Earth / Sand) | 99, (Other) | String | 11 - earth or sand, 12 - earth and dung, 31 - parquet or polished wood, 33 - mosaic or tiles, 34 - bricks, 35 - cement/concrete, 36 - stones, 96 - other, -9: Skipped | Earth or sand, earth and dung, parquet or polished wood, cement, stones, others, skipped | 2 = Rudimentary floor - Sakafu ya kawaida | 1 = Natural floor - Sakafu asilia | 3 = Finished floor - Sakafu iliyokamilika | 1-Wood, 2-Dirt, 3-Cement or tile, 5-Palm thatch | 1 | 1, Natural floor | 4, Other | 3, Finished floor | 2, Rudimentary floor",variable,WASH Benefits Kenya Cluster Randomized Trial | PROVIDE Randomized Controlled Trial | PRISM ICEMR Cohort | PRISM2 ICEMR Border Cohort | MAL-ED 0-60m Cohort | GEMS1 HUAS/HUAS Lite Survey | SW PACIFIC | GEMS1 Case Control | LLINE UP Cluster Randomized Trial | PROMOTE BC3 Cohort | PRISM2 ICEMR Cohort | GANC | Amazonia ICEMR Brazil Cohort | GEMS1A Case Control | Amazonia ICEMR Peru Cohort | Malawi ICEMR Case-Control
http://purl.obolibrary.org/obo/EUPATH_0042036,Floor material type,What type of flooring is your house?,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Other specify | 17. What type of flooring is your house?    (OBSERVE WHERE POSSIBLE) | 18. What type of flooring is your house? | Materials used for floor | Type of floor | Improved floor,"4, Tiles/linoleum/parquet | 96, Other | 1, Cement | 2, Earth/sand/dung | 3, Wooden planks | 0=Earth, 1=Concrete/wood/stones",variable,Jilinde_awareness_survey | Demand_creation_evaluation_questionnaire | PROMOTE BC3 Cohort | SHINE
http://purl.obolibrary.org/obo/EUPATH_0035008,Improved floor material,"Whether the observed main floor material of the target child participant's dwelling was wood or concrete. Wood or concrete floors were classified as ""improved"". Assessed for the household at enrollment (when target children were in utero).",http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,"Improved floor (wood, concrete)",0 to 1,variable,WASHb BNG Cluster Randomized Trial
http://purl.obolibrary.org/obo/EUPATH_0035006,Improved roof material,"Whether the observed main roof material of the target child participant's dwelling was tin or cement. Tin or cement roofs were classified as ""improved"". Assessed for the household at enrollment (when target children were in utero).",http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,"Improved roof material (tin, cement)",0 to 1,variable,WASHb BNG Cluster Randomized Trial
http://purl.obolibrary.org/obo/EUPATH_0035007,Improved wall material,"Whether the observed main wall material of the target child participant's dwelling was wood, brick, or tin. Wood, brick, or tin walls were classified as ""improved"". Assessed for the household at enrollment (when target children were in utero).",http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,"Improved wall material (wood, brick, tin)",0 to 1,variable,WASHb BNG Cluster Randomized Trial
http://purl.obolibrary.org/obo/EUPATH_0022003,Internal wall material,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Internal wall material,,variable,Amazonia ICEMR Peru Cohort
http://purl.obolibrary.org/obo/EUPATH_0000381,Kitchen location,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,24. Place for cooking for household | Kitchen type,"1 = inside house, 2 = separate building; 3 = outdoors; 4 = other",variable,PROVIDE Randomized Controlled Trial | Amazonia ICEMR Peru Cohort
http://purl.obolibrary.org/obo/EUPATH_0031323,Natural floor,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,"0 = No, 1 = Yes",variable,VIDA Case Control
http://purl.obolibrary.org/obo/EUPATH_0031052,Natural floor material,Predominant floor natural,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Predominant floor natural | Predominant floor tural | 7a. Natural floor  Sakafu asilia | Select the type of natural floor,"1=""Earth/Sand"", 2=""Dung | 1  = ""Earth/Sand"", 
2 = ""Dung | 1  = ""Earth/Sand"", 2 = ""Dung | 1 = Earth/sand - Udongo/mchanga | 2 = Dung - Samadi | 11, Earth/sand | 12, Dung",variable,VIDA HUCS Kenya | VIDA Case Control | VIDA HUCS Gambia Mali | GANC | Malawi ICEMR Case-Control
http://purl.obolibrary.org/obo/EUPATH_0021208,Other building material,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,"If other, specify",,variable,India ICEMR Severe P.vivax and falciparum Cohort
http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,"Primary material of roof | Observed main material of the roof. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months. | Primary material of the roof.",http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,"14. What is the principal roofing material in your house? | A17. Type of roof of the house (observe) | Main roof material | Main material of the roofs (observation). Source=FSE. no roof = 01; thatch = 02; metal = 03; wood = 04; brick = 05;tiles = 06;slate = 07;other = 08 | If ""Other"", specify | What is the main material of the roof? | Main material of the roof | Specify other material of the roof | specify other material of the roof | main material of the roof. | if Other, specify | Type of roof of the house | roof material | Roof material | Select the type of finished roof | Select the type of rudementary roof | Select the type of natural roof | <font color=""blue"">Ngati pali zina nenani</font>","1= Natural material roofing (straw);  2= Rudimentary roofing (Poly-thene or Mixed with mud);  3= Finished roof; 4= Tin | 5, Tin | 4, Thatched and tiles | 3, Tiles | 2, Concrete | 6, Other | 1, Thatched | , 1, 2, 3, 4, 5, 6, 7, 8 | 1,  (Thatched grass) | 4,(Wood planks) | 6, (Tiles) | 5, (Cement) | 99, (Other) | 2, (Sago palm leaves) | 3, (Corrugated iron) | String | 11 - thatched (including papyrus), 12 - mud, 21 - wood/planks, 22 - iron sheets, 23 - asbestos, 24 - tiles, 25 - tin, 26 - cement, 96 - other, -9: Skipped | Thatched,mud,wood/planks,iron sheets,asbestos,other, skipped | 5, Other, specify | 1  Asbestos or Eternit; 3  Wood; 4  Straw; .n  NA | 31, Corrugated iron | 23, Wood planks | 34, Cement/concrete | 22, Reed/bamboo | 35, Roofing shingles | 11, Thatch/leaf | 33, Calamine/cement fiber | 21, Rustic mat/plastic sheet | 32, Wood | 12, Sticks and mud",variable | multifilter,PROVIDE Randomized Controlled Trial | PRISM ICEMR Cohort | India ICEMR Meghalaya Cohort | PRISM2 ICEMR Border Cohort | MAL-ED 0-60m Cohort | SW PACIFIC | India ICEMR Cohort | India ICEMR Cross-Sectional | LLINE UP Cluster Randomized Trial | PROMOTE BC3 Cohort | India ICEMR Behavior Cross-sectional | PRISM2 ICEMR Cohort | Amazonia ICEMR Brazil Cohort | Amazonia ICEMR Peru Cohort | Malawi ICEMR Case-Control
http://purl.obolibrary.org/obo/EUPATH_0025047,Roof material type,"Observed main roof material of the dwelling. Assessed for the household at enrollment (year 0, pre-intervention baseline).",http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,"Materials used for roof | Roof type | <font color =""blue"">Kodi denga lanyumba yanu ndi lopangidwa ndi chiani?</font> What is your home roof made of?","0. Thatch/leaf,
1. Iron/other,
9. Missing/DK | 0=Thatched, 1=Iron sheets/wood | 2, Rudimentary roof | 3, Finished roof | 1, Natural roof | 4, Other",variable,WASH Benefits Kenya Cluster Randomized Trial | PROMOTE BC3 Cohort | SHINE | Malawi ICEMR Case-Control
http://purl.obolibrary.org/obo/EUPATH_0011593,Room count,"The total number of rooms in the house including the veranda, the living and sleeping rooms, as well as attached kitchens used only by this household. It excludes storerooms and separate kitchens that are shared with other families/households. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months. | Excludes bathrooms.",http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,4. Number of rooms in current household | How many rooms do they have in the house? | How many rooms are there in your house?. Source=FSE. 01-15 (rooms) | number of rooms excluding bathrooms | Number of rooms in the house?,>10 unique values | numeric,variable,PROVIDE Randomized Controlled Trial | ELICIT | MAL-ED 0-60m Cohort | GANC | Amazonia ICEMR Brazil Cohort | Malawi ICEMR Case-Control
http://purl.obolibrary.org/obo/EUPATH_0042019,Room entryways count,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,how many entryways into the room are there,,variable,PROMOTE BC3 Cohort
http://purl.obolibrary.org/obo/EUPATH_0042020,Room windows count,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,observation: how many windows are in the room,,variable,PROMOTE BC3 Cohort
http://purl.obolibrary.org/obo/EUPATH_0046001,Rudimentary floor material,Predominant floor rudimentary,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Predominant floor rudimentary | 7b. Rudimentary floor  Sakafu ya kawaida,"1=""Wood planks"", 2=""Palm/Bamboo | 1 = Wood planks - Mbao | 2 = Palm/bamboo -",variable,VIDA HUCS Kenya | GANC
http://purl.obolibrary.org/obo/EUPATH_0044115,Screened air bricks,Whether there were screens over the air bricks. Only assessed for households included in the entomology survey that had airbricks.,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Screens over airbricks?,"1 = Yes, 2 = No, 8 = Don’t know","variable,derived",LLINE UP Cluster Randomized Trial
http://purl.obolibrary.org/obo/EUPATH_0044114,Screened external doors,Whether external doors were screened. Only assessed for households included in the entomology survey.,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Screened external doors?,"1 = Yes, 2 = No, 8 = Don’t know",variable,LLINE UP Cluster Randomized Trial
http://purl.obolibrary.org/obo/EUPATH_0025048,Screened windows,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Are the windows of the house screened? <i>(Observe)</i>,"1, Yes | 0, No",variable,Malawi ICEMR Case-Control
http://purl.obolibrary.org/obo/EUPATH_0011586,Separate kitchen,"Whether the dwelling has a separate room which was used as a kitchen, in order to provide additional information on the hygiene status of the household. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months.",http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Does the household have a separate room which is used as a kitchen? | Do you have a separate room which is used as a kitchen?. Source=FSE. yes = 01; no = 00,"1 = Yes
0 = No | , 0, 1",variable,ELICIT | MAL-ED 0-60m Cohort
http://purl.obolibrary.org/obo/EUPATH_0000201,Sleeping places count,"How many sleeping spaces (mats, mattresses, beds are available in your household? (scalar measurement) | Number of sleeping places (mats, mattresses or beds) that were available in the household. Households that had more than 25 sleeping places available had the sleeping places count recorded as 25. | Number of beds that people sleep in",http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,"How many sleeping spaces? | How many sleeping spaces like mats, mattresses,  or beds are available in your household? If there are 25 or more sleeping places, enter 25 | how many sleeping spaces like mats, mattresses,  or beds are available in your household | Number of beds in hh","1-25, -7: Don't know, -8: Refused to answer",variable,PRISM ICEMR Cohort | PRISM2 ICEMR Border Cohort | LLINE UP Cluster Randomized Trial | PROMOTE BC3 Cohort | PRISM2 ICEMR Cohort | Amazonia ICEMR Peru Cohort
http://purl.obolibrary.org/obo/EUPATH_0042028,Sleeping places in same room count,Number of sleeping places in the room the study participant sleeps in,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,how many sleeping areas are in the room where the study participant sleeps?,,variable,PROMOTE BC3 Cohort
http://purl.obolibrary.org/obo/EUPATH_0000025,Sleeping rooms in dwelling count,"Number of rooms in dwelling used for sleeping (scalar measurement) | How many rooms in your house are used for sleeping? | Number of rooms in the household used for sleeping; assessed in the enrollment questionnaire for cases and controls. | Number of rooms in the household that were used for sleeping, including rooms that are outside of the main dwelling. | Number of rooms that people sleep in",http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,"How many rooms used for sleeping? | B13: Household information. How many rooms in your household are used for sleeping. | How many rooms in your Household has are used for sleeping? | How many rooms in your household  are used for sleeping? (INCLUDING ROOMS OUTSIDE THE MAIN DWELLING). If there are 15 or more rooms, enter 15 | how many rooms in your household  are used for sleeping?if there are 15 or more | Number of rooms used for sleeping | How many rooms in your household are used for sleeping? | Number of bedrooms","numeric | 1-15, -7: Don't know, -8: Refused to answer | Num",variable,PRISM ICEMR Cohort | PRISM2 ICEMR Border Cohort | GEMS1 HUAS/HUAS Lite Survey | VIDA Case Control | GEMS1 Case Control | LLINE UP Cluster Randomized Trial | PROMOTE BC3 Cohort | PRISM2 ICEMR Cohort | GANC | GEMS1A Case Control | Amazonia ICEMR Peru Cohort
http://purl.obolibrary.org/obo/EUPATH_0044119,Sleeping rooms used last night count,Number of rooms that people slept in last night. Only assessed for households surveyed at baseline that were included in the entomology survey.,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Number of rooms people slept in last night,,variable,LLINE UP Cluster Randomized Trial
http://purl.obolibrary.org/obo/EUPATH_0020171,Sleeping rooms with windows,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Household has windows | Do rooms used for sleeping tonight have windows,,variable,PRISM2 ICEMR Border Cohort | PRISM2 ICEMR Cohort
http://purl.obolibrary.org/obo/EUPATH_0022269,Total area,Total area of lot,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Total area (square meters),,variable,Amazonia ICEMR Peru Cohort
http://purl.obolibrary.org/obo/EUPATH_0000009,Wall material,"Primary material of exterior walls | Observed main material of the walls. Socioeconomic status was assessed every 6 months from 6-24 months and again at 60 months of age, with optional assessments from 30-60 months. | Primary material of exterior walls.",http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,"13. What is the principal wall material in your house? | A15. Building material used for walls of the house (observe) | Exterior wall material | Main material of the walls (observation). Source=FSE. no walls = 01;mud = 02;wood = 03;cement/concrete = 04;stone = 05;metal = 06;other = 07 | What is the main material of the exterior walls? | If ""Other"", specify | Specify other material of the exterior walls | Main material of exterior walls | main material of the exterior walls. | specify other material of the exterior walls | wall material | <font color=""blue"">Ngati pali zina nenani</font> | Select the type of natural wall | Select the type of finished wall | Select the type of rudementary wall","1= Bamboo/cane/ straw; 2= Rudimentary walls (Mud) or Mixed with mud; 3= Tin; 4= Bricks, cement blocks, concrete walls | 3, Concrete | 2, Brick | 4, Thatch | 6, Wood | 5, Stone | 1, Mud | 7, Other | , 1, 2, 3, 4, 5, 6, 7 | 4,(Plywood) | 5, (Masonite / Fibro) | 3,(Wood) | 2, (Sago) | 7,  (Iron sheet) | 99, (Other) | 1, (Bamboo / Pitpit) | 6, (Cement or bricks) | 11 - thatched/straw, 21 - mud and poles, 22 - un-burnt bricks, 23 - un-burnt bricks with plaster/cement, 24 - burnt bricks with mud, 31 - cement blocks, 32 - stone, 33 - timber, 34 - burnt bricks with plaster/cement, 35 - iron sheets, 96 - other, -9: Skipped | String | mud and poles, burnt bricks with plaster/cement | 0-None, 1-Wood, 2-Straw, 3-Palm thatch, 6-Brick, 7-Clay | 12, Cane/sticks/bamboo/reed | 24, Plywood | 25, Carton | 11, No walls | 32, Stone with lime/cement | 33, Bricks | 36, Wood planks/shingles | 31, Cement | 21, Bamboo/wood with mud | 35, Covered adobe | 34, Cement blocks | 22, Stone with mud | 23, Uncovered abode",variable,PROVIDE Randomized Controlled Trial | PRISM ICEMR Cohort | India ICEMR Meghalaya Cohort | PRISM2 ICEMR Border Cohort | MAL-ED 0-60m Cohort | SW PACIFIC | LLINE UP Cluster Randomized Trial | PROMOTE BC3 Cohort | PRISM2 ICEMR Cohort | Amazonia ICEMR Brazil Cohort | Malawi ICEMR Case-Control
http://purl.obolibrary.org/obo/EUPATH_0025167,Wall material type,"Observed main wall material of the dwelling. Assessed for the household at enrollment (year 0, pre-intervention baseline).",http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,"Materials used for walls | <font color =""blue"">Kodi Khoma la nyumbayi linamangidwa ndi chiani?</font> What was the building of the building?","0. Bamboo/mud/cane,
1. Concrete,
9. Missing/DK | 0=thatched or mud, 1= plaster or cement | 4, Other | 3, Finished wall | 2, Rudimentary wall | 1, Natural wall",variable,WASH Benefits Kenya Cluster Randomized Trial | PROMOTE BC3 Cohort | Malawi ICEMR Case-Control
http://purl.obolibrary.org/obo/EUPATH_0025049,Window material,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Does the main house have windows? Are they screened?,"2,(Windows (partly screened)) | 1,(Windows (not screened)) | 3, (Windows (all screened and intact)) | 0,(No windows)",variable | multifilter,SW PACIFIC | Malawi ICEMR Case-Control
http://purl.obolibrary.org/obo/EUPATH_0025050,Windows,Whether the dwelling has windows.,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,"Does the household have windows? | <font color=""blue"">Kodi nyumba yanu ili ndi mazenera?</font> (<i>observe</i>) Does your house have windows?","1 - Yes, 0 - No | 0, No | 1, Yes",variable,LLINE UP Cluster Randomized Trial | Malawi ICEMR Case-Control
http://purl.obolibrary.org/obo/EUPATH_0020212,Windows covered,"Whether any of the windows were covered with glass, screens, or other material. Only assessed for dwellings that had windows.",http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,"Windows covered | Are any of the windows covered?
Glass, screening, other material, etc.","1 - Yes, 0 - No",variable,PRISM2 ICEMR Border Cohort | LLINE UP Cluster Randomized Trial | PRISM2 ICEMR Cohort
http://purl.obolibrary.org/obo/EUPATH_0048021,Generator,,http://purl.obolibrary.org/obo/EUPATH_0048059,Electric power,Type of electric power: Generator (p17==1),,value,SHINE
http://purl.obolibrary.org/obo/EUPATH_0048022,Solar,,http://purl.obolibrary.org/obo/EUPATH_0048059,Electric power,Type of electric power: Solar     (p17==2),,value,SHINE
http://purl.obolibrary.org/obo/EUPATH_0048001,Brick or cement,,http://purl.obolibrary.org/obo/EUPATH_0022002,External wall material,Bricks/cement/stone | Brick or Stones,,value,Jilinde_awareness_survey | Jilinde_healthcareprovider_cohort | SHINE
http://purl.obolibrary.org/obo/EUPATH_0056605,Cardboard,,http://purl.obolibrary.org/obo/EUPATH_0022002,External wall material,Cardboard,,value,Jilinde_healthcareprovider_cohort
http://purl.obolibrary.org/obo/EUPATH_0048002,Concrete,,http://purl.obolibrary.org/obo/EUPATH_0022002,External wall material,,,value,SHINE
http://purl.obolibrary.org/obo/EUPATH_0048003,Earth,,http://purl.obolibrary.org/obo/EUPATH_0022002,External wall material,,,value,SHINE
http://purl.obolibrary.org/obo/EUPATH_0048004,Grass or straw,,http://purl.obolibrary.org/obo/EUPATH_0022002,External wall material,,,value,SHINE
http://purl.obolibrary.org/obo/EUPATH_0055152,Iron sheets,,http://purl.obolibrary.org/obo/EUPATH_0022002,External wall material,Iron sheets,,value,Jilinde_awareness_survey
http://purl.obolibrary.org/obo/EUPATH_0056604,Iron sheets,,http://purl.obolibrary.org/obo/EUPATH_0022002,External wall material,Iron Sheets,,value,Jilinde_healthcareprovider_cohort
