IRI,label,variable,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,dataSet
http://purl.obolibrary.org/obo/OBI_0001621,Longitude,Longitude | long | longitude,Sm_XS | score_seasonal_allyears_suds_aug16_2019 | score_moz_sh_xs,GPS coordinates (latitude and longitude) of schools for each village,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Village level; GPS coordinates (latitude and longitude) of schools for each village | Longitude,,variable,SCORE S. mansoni Cluster Randomized Trial | SCORE Seasonal | SCORE Mozambique Cluster Randomized Trial
http://purl.obolibrary.org/obo/EUPATH_0040014,Parish,household survey household level data_final::parish | parish,household survey household level data_final | umsp,,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Parish | Village code,,variable,PRISM2 ICEMR Border Cohort | UMSP Surveillance
http://purl.obolibrary.org/obo/NCIT_C25632,Province,province,household,,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Province,,variable,Southeast Asia ICEMR Surveillance
http://purl.obolibrary.org/obo/EUPATH_0000452,Region,hh_06m::region | hh_18m::region | hh_12m::region | hh_00m::region | crf1_mali project 1 data::region,hh_00m | hh_06m | hh_12m | hh_18m | crf1_mali project 1 data,"Because of vectors and suspected differences in insecticide resistance patterns, randomization of intervention assignment was stratified by region. 66 health sub-districts were in Western regions and 38 in Eastern regions, representing approximately half of the country.",Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Ordered regions of the country | Region of Pt enrollment,"1, no, THIES
2, no, GAMBISSARA
3, no, SEGOU
4, no, KOULIKORO",variable,LLINE UP Cluster Randomized Trial | West Africa ICEMR
http://purl.obolibrary.org/obo/EUPATH_0030127,School,School,,,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Name of school,,variable,SCORE Zanzibar
http://purl.obolibrary.org/obo/EUPATH_0049206,Sector,baseline::secteur,baseline,Sector of residence,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Secteur of residence,"1=Secteur 1, 2=Secteur 2, 3=Secteur 3, 4=Secteur 4, 5=Secteur 5, 6=Secteur 6, 7=Secteur 7",variable,GAMIN RCT
http://purl.obolibrary.org/obo/EUPATH_0022001,Settlement,icemr1_brazil_hh_05jul18_st::ramal | comunidad,icemr1_brazil_hh_05jul18_st | Peru_household,,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,ramal | ramal wave 1 | Community,"castanheira-Ramal da Castanheira, goianos-Ramal dos Goianos, linha 1-Ramal da Linha 1, linha1-Ramal da Linha 1, mendes junior-Ramal Mendes Junior,remansinho-Ramal do Remansinho, seringueiros-Ramal dos Seringuerios | 1  = remansinho; 2 =  goianos; 3 = castanheira; 4  = linha 1; 5 = seringueiros; 6 = Blank; 7 = Mendes Jr. (6 and 7 can be classified as residents of the Remansinho settlement, since Blank is a short road that originates in Remansinho road and Mendes Jr. is the name that Remansinho road has before it crosses the Remansinho river.)",variable,Amazonia ICEMR Brazil Cohort | Amazonia ICEMR Peru Cohort
http://purl.obolibrary.org/obo/EUPATH_0022267,"Settlement, generalized",icemr1_brazil_hh_05jul18_st::ramal2,icemr1_brazil_hh_05jul18_st,"Settlement community that the household belongs to. The value ""Other ramal"" refers to multiple smaller communities. The variable ""Community"" is availlable in the downloads and contains more specific information.",Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,"variable,derived",Amazonia ICEMR Brazil Cohort
http://purl.obolibrary.org/obo/EUPATH_0030128,Shehia of school,Shehia,,,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Location of school,,variable,SCORE Zanzibar
http://purl.obolibrary.org/obo/EUPATH_0021095,State,state | X36._State_of_residence,questionnaire_form_1,State of residence,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,variable,India ICEMR Cohort | India ICEMR Cross-Sectional | South Asia ICEMR Surveillance
http://purl.obolibrary.org/obo/EUPATH_0021094,Study site,studySite | site_split | site | icemr_site | comun,vida_enrl.csv | enrollment_form_labkey_correctid | hucs_gambia_mali | _clin_rev_de | hhdata_CS_for_upload | Peru_household,Site with Gambia split into Bansang and Basse (Bansang was not included in GEMS) | Study site,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,VIDA sites with extra deivision of The Gambia site to sllow for easier comparison to GEMS | Center | Study site,"1 = The Gambia Basse, 2 = Mali, 3 = Kenya, 4 = The Gambia Bansang","variable | variable,derived",India ICEMR Cohort | India ICEMR Cross-Sectional | VIDA Case Control | South Asia ICEMR Surveillance | VIDA HUCS Gambia Mali | PERCH Case Control | Southern Africa ICEMR Cross-sectional | Amazonia ICEMR Peru Cohort
http://purl.obolibrary.org/obo/ENVO_00000008,Sub-county,siteid | household survey household level data_final::district | subcounty,Cohorthouseholdenrollmentsurveyhouseholdleveldatafinal | household survey household level data_final | umsp,"Sub-county in Uganda (Walukuba: Jinja District, Kihihi: Kanungu District, Nagongera: Tororo District)",Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,District,,"variable | variable,derived",PRISM ICEMR Cohort | PRISM2 ICEMR Border Cohort | UMSP Surveillance
http://purl.obolibrary.org/obo/EUPATH_0026002,Subdistrict,form03b::kebele | form05_long::kebele | form03a::kebele | subdistrict,form03b | form05_long | form03a | household,"A kebele, or ward, is the smallest administrative unit of Ethiopia. Consists of >500 families, generally 3,500-4,000 people",Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Subdistrict,,variable,SIP | Southeast Asia ICEMR Surveillance
http://purl.obolibrary.org/obo/EUPATH_0000444,Taluk,cen_taluk | city,gujaratseveremalaria_data_2020-03-015_revised,Administrative division with a city or town that serves as its administrative center. Generally encompasses an area of land with a number of villages and possibly some towns.,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,City/Taluk/Tehsil,,variable,India ICEMR Cohort | India ICEMR Cross-Sectional | India ICEMR Severe P.vivax and falciparum Cohort
http://purl.obolibrary.org/obo/EUPATH_0038127,Town or district,form05_long::townorworeda | form03b::townorworeda | form03a::townorworeda,form05_long | form03a | form03b,"Town or woreda, which is the 3rd-level administrative division in Ethiopia. Further subdivided into wards (kebele, here labeled as ""Subdistrict"").",Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,variable,SIP
http://purl.obolibrary.org/obo/EUPATH_0035013,Union council,enrol_dh2::union,enrol_dh2,The smallest rural administrative or local government unit in Bangladesh.,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Administrative union (q4008),1 to 139,variable,WASHb BNG Cluster Randomized Trial
http://purl.obolibrary.org/obo/EUPATH_0011928,Urban or rural site,zscores_all::uor,zscores_all,,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Is the study site urban or rural?,"BG, BR, IN, NP, PE, PK, SA, TZ","variable,derived",MAL-ED 0-60m Cohort
http://purl.obolibrary.org/obo/ENVO_01000773,Village,form05_long::gottketana | form03a::gottketana | form03b::gottketana | Village_Name | village | household survey household level data_final::village | crf1_mali project 1 data::village,form03b | form03a | form05_long | Sm_XS | khasi_data_2021-01-22_1310visits1_2_hh | jaintia_data_2021-01-22_1315visits1_2_hh | elicit_data_for_plos_reshaped_v3 | gujaratseveremalaria_data_2020-03-015_revised | household survey household level data_final | crf1_mali project 1 data | umsp | household,,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Village Name | 3. Village | Village in which family resides (cleaned from free response village question on CEF) | Village/Nagar | Village | Village of Residence (Choose only one answer) | Village code | village,"1, no, Medina Fall
2, no, Gambissara town
3, no, Sare Jawbeh
4, no, Fula Mori Boch
5, no, Sare Bondo
6, no, Dangassa
7, no, Koila Bamana
66, no, Other
-77, no, Missing | 3,6,9",variable,SIP | SCORE S. mansoni Cluster Randomized Trial | India ICEMR Meghalaya Cohort | ELICIT | India ICEMR Severe P.vivax and falciparum Cohort | PRISM2 ICEMR Border Cohort | West Africa ICEMR | UMSP Surveillance | Southeast Asia ICEMR Surveillance
http://purl.obolibrary.org/obo/EUPATH_0030004,Village code,Village_ID | village_id,score_seasonal_allyears_suds_aug16_2019,A unique ID assigned to each study village. It represents the country code followed by a unique three digit number.,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,A unique ID assigned to each study village. It represents the country code followed by a unique three digit number.,,variable,SCORE Seasonal
http://purl.obolibrary.org/obo/EUPATH_0049405,Ward,ward,elicit_data_for_plos_reshaped_v3,,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Ward in which family resides (cleaned from free response ward question on CEF),,variable,ELICIT
http://purl.obolibrary.org/obo/NCIT_C43428,Zone,form03b::azone | form05_long::zonee | form03a::azone | zn_zone | cl_zone | mp_zone | bn_zone | nd_zone | ck_zone,form03b | form05_long | form03a | DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,A zone is the 2nd-level administrative division in Ethiopia. Further subdivided into districts (woreda).,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Chilomoni zone | Ndirande zone | Bangwe zone | Zingwangwa zone | Chileka zone | Mpemba zone,"1, Zone 1 | 5, Zone 5 | 2, Zone 2 | 4, Zone 4 | 3, Zone 3 | -9, Unknown",variable,SIP | Malawi ICEMR Case-Control
