label,sid_count,SIDs,termTypes,Parent_labels,Comment
"Parechovirus/Enterovirus Ct value, by multiplexed qPCR result",4,EUPATH_0032606|EUPATH_0033069|EUPATH_0032806|EUPATH_0032713,variable,Raw virus data for induced sputum|Raw virus data for pleural fluid|Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for lung aspirate,"Different sample types, fine as is"
"Pneumocystis jiroveci (copies/mL), by multiplexed qPCR result",3,EUPATH_0032678|EUPATH_0032771|EUPATH_0032570,variable,Raw eukaryota data for lung aspirate|Raw eukaryota data for nasopharyngeal/oropharyngeal swabs|Raw eukaryota data for induced sputum,"Different sample types, fine as is"
"Pneumocystis jiroveci Ct value, by multiplexed qPCR result",4,EUPATH_0033035|EUPATH_0032571|EUPATH_0032679|EUPATH_0032772,variable,Raw eukaryota data for pleural fluid|Raw eukaryota data for induced sputum|Raw eukaryota data for lung aspirate|Raw eukaryota data for nasopharyngeal/oropharyngeal swabs,"Different sample types, fine as is"
"Rhinovirus (copies/mL), by multiplexed qPCR result",2,EUPATH_0032807|EUPATH_0032607,variable,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for induced sputum,"Different sample types, fine as is"
"Rhinovirus Ct value, by multiplexed qPCR result",4,EUPATH_0032808|EUPATH_0032715|EUPATH_0032608|EUPATH_0033071,variable,Raw virus data for nasopharyngeal/oropharyngeal swabs|Raw virus data for lung aspirate|Raw virus data for induced sputum|Raw virus data for pleural fluid,"Different sample types, fine as is"
"Rotavirus IgA titer, by ELISA result",2,EUPATH_0036335|EUPATH_0036490,variable,Maternal breast milk raw antibody titer test result|Raw antibody titer test result,"Different sample types, fine as is"
"Salmonella (copies/mL), by multiplexed qPCR result",2,EUPATH_0032549|EUPATH_0032764,variable,Raw bacteria data for induced sputum|Raw bacteria data for nasopharyngeal/oropharyngeal swabs,"Different sample types, fine as is"
"Salmonella Ct value, by multiplexed qPCR result",4,EUPATH_0032673|EUPATH_0033029|EUPATH_0032550|EUPATH_0032765,variable,Raw bacteria data for lung aspirate|Raw bacteria data for pleural fluid|Raw bacteria data for induced sputum|Raw bacteria data for nasopharyngeal/oropharyngeal swabs,"Different sample types, fine as is"
"Staphylococcus aureus (copies/mL), by multiplexed qPCR result",3,EUPATH_0032766|EUPATH_0033030|EUPATH_0032554,variable,Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for pleural fluid|Raw bacteria data for induced sputum,"Different sample types, fine as is"
"Staphylococcus aureus Ct value, by multiplexed qPCR result",4,EUPATH_0032675|EUPATH_0032555|EUPATH_0032767|EUPATH_0033031,variable,Raw bacteria data for lung aspirate|Raw bacteria data for induced sputum|Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for pleural fluid,"Different sample types, fine as is"
"Streptococcus pneumoniae (copies/mL), by multiplexed qPCR result",4,EUPATH_0032768|EUPATH_0033032|EUPATH_0032563|EUPATH_0032676,variable,Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for pleural fluid|Raw bacteria data for induced sputum|Raw bacteria data for lung aspirate,"Different sample types, fine as is"
"Streptococcus pneumoniae Ct value, by multiplexed qPCR result",4,EUPATH_0032564|EUPATH_0032677|EUPATH_0032769|EUPATH_0033033,variable,Raw bacteria data for induced sputum|Raw bacteria data for lung aspirate|Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for pleural fluid,"Different sample types, fine as is"
"Streptococcus pneumoniae serotype 2, by culture result",2,EUPATH_0032629|EUPATH_0032744,variable,Raw bacteria data for induced sputum|Raw bacteria data for nasopharyngeal/oropharyngeal swabs,"Different sample types, fine as is"
"Streptococcus pneumoniae serotype, by culture result",6,EUPATH_0032747|EUPATH_0032630|EUPATH_0033449|EUPATH_0033446|EUPATH_0032247|EUPATH_0033092,variable,Raw bacteria data for nasopharyngeal/oropharyngeal swabs|Raw bacteria data for induced sputum|Raw bacteria data for lung aspirate|Raw bacteria data for endotracheal tube aspirate|Raw bacteria data for blood|Raw bacteria data for pleural fluid,"Different sample types, fine as is"
Tumor necrosis factor alpha (pg/mL),3,EUPATH_0036526|EUPATH_0036271|EUPATH_0036525,variable,Maternal blood test|Blood test|Maternal breast milk test,"Different sample types, fine as is"
"Any pathogen except Legionella or K. pneumoniae, by multiplexed qPCR",2,EUPATH_0033136|EUPATH_0033137,variable|value,Lung aspirate microbiology test|Pleural fluid microbiology test,"Different sample types, fine as is"
1st choice facility code,2,EUPATH_0015680|EUPATH_0010157,variable,Rank order sought care|Hospital Center,GEMS HUAS vs. VIDA
2nd choice facility code,2,EUPATH_0015681|EUPATH_0010163,variable,Rank order sought care|Hospital Center,GEMS HUAS vs. VIDA
3rd choice facility code,2,EUPATH_0010169|EUPATH_0015682,variable,Hospital Center|Rank order sought care,GEMS HUAS vs. VIDA
Oral poliovirus (OPV) vaccine don't know health center code,2,EUPATH_0031250|EUPATH_0031259,variable,Immunization and prevention,Merge two; all variables should be same IRI
Oral poliovirus (OPV) vaccine health center code,2,EUPATH_0031251|EUPATH_0031260,variable,Immunization and prevention,Merge two; all variables should be same IRI
Oral poliovirus (OPV) vaccine health center name,2,EUPATH_0031261|EUPATH_0031252,variable,Immunization and prevention,Merge two; all variables should be same IRI
Anemia,2,DOID_2355|EUPATH_0033382,variable|value,Symptoms|Diagnosis at discharge,One is multifilter
Chest indrawing,2,EUPATH_0033157|EUPATH_0015115,variable|value,Severe or very severe pneumonia eligibility|Signs and symptoms,One is multifilter
Diarrhea,9,EUPATH_0024022|EUPATH_0024093|EUPATH_0024086|DOID_13250|EUPATH_0022206|EUPATH_0022228|EUPATH_0015130|EUPATH_0015238|EUPATH_0025044,variable|value,Malaria symptoms knowledge|Symptoms in past two weeks|Symptoms in past day|Symptoms|Symptoms in the last 30 days|Symptoms in the last 7 days|Diagnosis at discharge|Illness since enrollment visit|Specific diagnosis,One is multifilter
Dry mouth,5,EUPATH_0015474|EUPATH_0015511|EUPATH_0015614|EUPATH_0010292|EUPATH_0015080,variable|value,Parent perception of signs of dehydration|Symptoms since illness began or during diarrhea|Child diarrheal symptoms requiring seeking treatment or advice within first 7 days of illness|Signs and symptoms|Symptoms at enrollment,One is multifilter
Dysentery,5,EUPATH_0033397|EUPATH_0015422|EUPATH_0015131|EUPATH_0015239|EUPATH_0010416,variable|value,Diagnosis at discharge|Aggregated illness data|Illness since enrollment visit|Moderate-to-severe diarrhea eligibility,One is multifilter
Friend or relative,2,EUPATH_0015533|EUPATH_0015094,variable|value,Rank order sought care|Previously sought care,One is multifilter
Health center,3,EUPATH_0024106|EUPATH_0015544|EUPATH_0025072,value|variable,Antimalarial medication source|Where sought diarrheal care in last 2 weeks|Geographic location,One is multifilter
Lethargic,2,EUPATH_0024304|EUPATH_0032058,variable|value,Signs and symptoms|Severe or very severe pneumonia eligibility,One is multifilter
Other condition,2,EUPATH_0041060|EUPATH_0041139,variable|value,Immediate clinical history|Condition ongoing,One is multifilter
Other diagnosis,5,EUPATH_0000317|EUPATH_0022091|EUPATH_0033428|EUPATH_0015138|EUPATH_0015237,variable|value,Diagnosis|Clinical history|Diagnosis at hospitalization|Diagnosis at discharge|Previous diagnosis at 60 day follow-up visit,One is multifilter
Other hospital or health center,2,EUPATH_0015701|EUPATH_0010173,variable|value,Previously sought care|Hospital Center,One is multifilter
Other treatment,4,EUPATH_0015560|EUPATH_0015698|EUPATH_0015090|EUPATH_0025114,variable|value,Diarrhea treatment given in health center|Diarrhea treatment prior to seeking care|Diarrhea treatment before visit|Treatment,One is multifilter
Pharmacy,2,EUPATH_0015539|EUPATH_0015093,variable|value,Rank order sought care|Previously sought care,One is multifilter
Rectal prolapse,3,EUPATH_0015070|EUPATH_0015116|EUPATH_0015244,variable|value,Symptoms since illness began|Signs and symptoms|Illness since enrollment visit,One is multifilter
School,4,EUPATH_0024074|EUPATH_0024195|EUPATH_0024201|EUPATH_0030127,variable|value,Malaria knowledge source|Reason for travel|Overnight lodgings|Geographic location,One is multifilter
Seek outside care,2,EUPATH_0015709|EUPATH_0015092,variable|value,Previous diarrheal care|Previously sought care,One is multifilter
Skin,3,EUPATH_0041103|EUPATH_0041102|EUPATH_0036424,variable|value,Condition ongoing|Condition history|Gestational age assessment,One is multifilter
Sunken eyes,4,EUPATH_0024305|EUPATH_0015476|EUPATH_0015076|EUPATH_0010291,variable|value,Signs and symptoms|Parent perception of signs of dehydration|Symptoms at enrollment,One is multifilter
Thirsty,2,EUPATH_0024303|EUPATH_0015477,variable|value,Signs and symptoms|Parent perception of signs of dehydration,One is multifilter
Traditional healer,4,EUPATH_0024108|EUPATH_0024073|EUPATH_0015540|EUPATH_0015095,variable|value,Antimalarial medication source|Malaria knowledge source|Rank order sought care|Previously sought care,One is multifilter
Vomiting 3 or more times per day,3,EUPATH_0015690|EUPATH_0015186|EUPATH_0015060,variable|value,Symptoms since illness began or during diarrhea|Symptoms in the last 7 days|Symptoms since illness began,One is multifilter
Breastfeeding,2,EUPATH_0011730|EUPATH_0015647,category|value,Observation|Proposed way to prevent child from illness,"""Breastfeeding"" is a category in MALED and PROVIDE and a multifilter value in HUAS. Suggest changing label to ""Breastfeed"" for HUAS"
Electricity,2,EUPATH_0021084|EUPATH_0015012,variable|value,Assets|Cooking fuel,"Part of multifilter for one under cooking fuel, fine as is"
"EPEC bfpA Ct value, by TAC result",2,EUPATH_0015353|EUPATH_0036367,variable,Raw bacteria data for stool,PROVIDE should have the same IRI as the others
"ETEC STp Ct value, by TAC result",2,EUPATH_0015357|EUPATH_0036368,variable,Raw bacteria data for stool,PROVIDE should have the same IRI as the others
