entity,Num_datasets,labels,PARENT,direct_parent,category,termType
http://purl.obolibrary.org/obo/EUPATH_0011962,5,Giardia in stool,Laboratory test,Eukaryota in stool,sample,"category | multifilter category | category, value"
http://purl.obolibrary.org/obo/EUPATH_0011980,5,Norovirus in stool,Laboratory test,Virus in stool,sample,"category | category, value"
http://purl.obolibrary.org/obo/EUPATH_0021028,5,Plasmodium falciparum,Laboratory test,"Plasmodium species, by microscopy",sample,value
http://purl.obolibrary.org/obo/EUPATH_0000550,5,"Plasmodium falciparum asexual stages (per uL blood), by microscopy",Laboratory test,Plasmodium in blood,sample,"variable | variable, derived"
http://purl.obolibrary.org/obo/EUPATH_0000546,5,"Plasmodium falciparum gametocytes (per uL blood), by microscopy",Laboratory test,Plasmodium in blood,sample,"variable | variable, derived"
http://purl.obolibrary.org/obo/EUPATH_0021030,5,Plasmodium malariae,Laboratory test,"Plasmodium species, by microscopy",sample,value
http://purl.obolibrary.org/obo/EUPATH_0021029,5,Plasmodium vivax,Laboratory test,"Plasmodium species, by microscopy",sample,value
http://purl.obolibrary.org/obo/EUPATH_0011843,5,Raw bacteria data for stool,Laboratory test,Raw test result for stool,sample,category
http://purl.obolibrary.org/obo/EUPATH_0011845,5,Raw eukaryota data for stool,Laboratory test,Raw test result for stool,sample,category
http://purl.obolibrary.org/obo/EUPATH_0010985,5,Raw test result for stool,Laboratory test,Stool microbiology test,sample,category
http://purl.obolibrary.org/obo/EUPATH_0011982,5,Rotavirus in stool,Laboratory test,Virus in stool,sample,"category | category, value"
http://purl.obolibrary.org/obo/EUPATH_0011959,5,Virus in stool,Laboratory test,Stool microbiology test,sample,"category | multifilter | category, multifilter"
http://purl.obolibrary.org/obo/EUPATH_0015331,4,"Adenovirus 40/41 Ct value, by TAC result",Laboratory test,Raw virus data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015330,4,"Adenovirus Ct value, by TAC result",Laboratory test,Raw virus data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0011964,4,Adenovirus in stool,Laboratory test,Virus in stool,sample,"category | category, value"
http://purl.obolibrary.org/obo/EUPATH_0015332,4,"Aeromonas Ct value, by TAC result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0011965,4,Aeromonas in stool,Laboratory test,Bacteria in stool,sample,category
http://purl.obolibrary.org/obo/EUPATH_0010603,4,"Aeromonas, by bacteriology",Laboratory test,Aeromonas in stool,sample | observation,value
http://purl.obolibrary.org/obo/EUPATH_0015333,4,"Ancylostoma Ct value, by TAC result",Laboratory test,Raw eukaryota data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0030118,4,Ancylostomatoidea in stool,Laboratory test,Eukaryota in stool,sample,category | multifilter category
http://purl.obolibrary.org/obo/EUPATH_0015334,4,"Ascaris Ct value, by TAC result",Laboratory test,Raw eukaryota data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0030119,4,Ascaris in stool,Laboratory test,Eukaryota in stool,sample,category | multifilter category
http://purl.obolibrary.org/obo/EUPATH_0015335,4,"Astrovirus Ct value, by TAC result",Laboratory test,Raw virus data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0033293,4,Bacteria in blood,Laboratory test,Blood microbiology test,sample,category | multifilter
http://purl.obolibrary.org/obo/EUPATH_0015337,4,"Bacteroides fragilis Ct value, by TAC result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015338,4,"Campylobacter Ct value, by TAC result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0011969,4,Campylobacter in stool,Laboratory test,Bacteria in stool,sample,"category | category, value"
http://purl.obolibrary.org/obo/EUPATH_0015342,4,"Cryptosporidium Ct value, by TAC result",Laboratory test,Raw eukaryota data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015343,4,"Cryptosporidium hominis Ct value, by TAC result",Laboratory test,Raw eukaryota data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015344,4,"Cryptosporidium parvum Ct value, by TAC result",Laboratory test,Raw eukaryota data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0011000,4,"Cryptosporidium, by ELISA",Laboratory test,Cryptosporidium in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015345,4,"Cyclospora Ct value, by TAC result",Laboratory test,Raw eukaryota data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015346,4,"EAEC aaiC Ct value, by TAC result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0010659,4,"EAEC aaiC-pos, by PCR result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015348,4,"EAEC aatA Ct value, by TAC result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0010663,4,"EAEC aatA-pos, by PCR result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015349,4,"EAEC aggR Ct value, by TAC result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015353,4,"EPEC bfpA Ct value, by TAC result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015318,4,"EPEC bfpA-pos, by PCR result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0010671,4,"EPEC eae-pos, by PCR result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015355,4,"ETEC LT-pos Ct value, by TAC result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0010746,4,"ETEC LT-pos ST-neg, by PCR",Laboratory test,Escherichia in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0010679,4,"ETEC LT-pos, by PCR result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0010683,4,"ETEC ST-pos, by PCR",Laboratory test,Escherichia in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015356,4,"ETEC STh Ct value, by TAC result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015357,4,"ETEC STp Ct value, by TAC result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015352,4,"Encephalitozoon intestinalis Ct value, by TAC result",Laboratory test,Raw eukaryota data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015351,4,"Entamoeba histolytica Ct value, by TAC result",Laboratory test,Raw eukaryota data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0010695,4,"Entamoeba histolytica, by ELISA",Laboratory test,Entamoeba in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015350,4,"Enterocytozoon bieneusi Ct value, by TAC result",Laboratory test,Raw eukaryota data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015360,4,"Giardia Ct value, by TAC result",Laboratory test,Raw eukaryota data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015358,4,"Giardia assemblage A Ct value, by TAC result",Laboratory test,Raw eukaryota data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015359,4,"Giardia assemblage B Ct value, by TAC result",Laboratory test,Raw eukaryota data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015361,4,"Helicobacter pylori Ct value, by TAC result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015363,4,"Necator Ct value, by TAC result",Laboratory test,Raw eukaryota data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015364,4,"Norovirus GI Ct value, by TAC result",Laboratory test,Raw virus data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015365,4,"Norovirus GII Ct value, by TAC result",Laboratory test,Raw virus data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0021049,4,Plasmodium falciparum,Laboratory test,"Plasmodium species, by qPCR",sample,value
http://purl.obolibrary.org/obo/EUPATH_0021051,4,Plasmodium malariae,Laboratory test,"Plasmodium species, by qPCR",sample,value
http://purl.obolibrary.org/obo/EUPATH_0021052,4,Plasmodium ovale,Laboratory test,"Plasmodium species, by qPCR",sample,value
http://purl.obolibrary.org/obo/EUPATH_0000437,4,"Plasmodium species, by FalciVax RDT",Laboratory test,Plasmodium in blood,sample | observation,variable | multifilter
http://purl.obolibrary.org/obo/EUPATH_0021050,4,Plasmodium vivax,Laboratory test,"Plasmodium species, by qPCR",sample,value
http://purl.obolibrary.org/obo/EUPATH_0000551,4,"Plasmodium vivax asexual stages (per uL blood), by microscopy",Laboratory test,Plasmodium in blood,sample,"variable | variable, derived"
http://purl.obolibrary.org/obo/EUPATH_0000547,4,"Plasmodium vivax gametocytes (per uL blood), by microscopy",Laboratory test,Plasmodium in blood,sample,"variable | variable, derived"
http://purl.obolibrary.org/obo/EUPATH_0024217,4,"Plasmodium, by RDT",Laboratory test,Plasmodium in blood,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0011844,4,Raw virus data for stool,Laboratory test,Raw test result for stool,sample,category
http://purl.obolibrary.org/obo/EUPATH_0015366,4,"Rotavirus Ct value, by TAC result",Laboratory test,Raw virus data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015369,4,"Rotavirus genotype G1 Ct value, by TAC result",Laboratory test,Raw virus data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015368,4,"Rotavirus genotype G12 Ct value, by TAC result",Laboratory test,Raw virus data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015370,4,"Rotavirus genotype G2 Ct value, by TAC result",Laboratory test,Raw virus data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015371,4,"Rotavirus genotype G3 Ct value, by TAC result",Laboratory test,Raw virus data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015372,4,"Rotavirus genotype G4 Ct value, by TAC result",Laboratory test,Raw virus data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015373,4,"Rotavirus genotype G8 Ct value, by TAC result",Laboratory test,Raw virus data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015374,4,"Rotavirus genotype G9 Ct value, by TAC result",Laboratory test,Raw virus data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015377,4,"Rotavirus genotype P4 Ct value, by TAC result",Laboratory test,Raw virus data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015378,4,"Rotavirus genotype P6 Ct value, by TAC result",Laboratory test,Raw virus data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015379,4,"Rotavirus genotype P8 Ct value, by TAC result",Laboratory test,Raw virus data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0010793,4,"Rotavirus, by ELISA",Laboratory test,Rotavirus in stool,sample,value | variable
http://purl.obolibrary.org/obo/EUPATH_0015384,4,"STEC stx1 Ct value, by TAC result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0010687,4,"STEC stx1-pos, by PCR result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015385,4,"STEC stx2 Ct value, by TAC result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0010691,4,"STEC stx2-pos, by PCR result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015381,4,"Salmonella Ct value, by TAC result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0011983,4,Salmonella in stool,Laboratory test,Bacteria in stool,sample,"category | category, value"
http://purl.obolibrary.org/obo/EUPATH_0015382,4,"Sapovirus Ct value, by TAC result",Laboratory test,Raw virus data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015713,4,Sapovirus in stool,Laboratory test,Virus in stool,sample,"category | category, value"
http://purl.obolibrary.org/obo/EUPATH_0011984,4,Shigella in stool,Laboratory test,Bacteria in stool,sample,"category | category, value"
http://purl.obolibrary.org/obo/EUPATH_0015383,4,"Shigella or EIEC Ct value, by TAC result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0010805,4,"Shigella, by bacteriology",Laboratory test,Shigella in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0011800,4,Stool microbiology test procedures,Laboratory test,Stool microbiology test,sample,category
http://purl.obolibrary.org/obo/EUPATH_0015386,4,"Strongyloides Ct value, by TAC result",Laboratory test,Raw eukaryota data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015387,4,"Trichuris trichiura Ct value, by TAC result",Laboratory test,Raw eukaryota data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0030101,4,Urine microbiology test,Laboratory test,Laboratory test,sample,category
http://purl.obolibrary.org/obo/EUPATH_0015388,4,"Vibrio cholerae Ct value, by TAC result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0011958,4,Vibrio in stool,Laboratory test,Bacteria in stool,sample,"category | category, value"
http://purl.obolibrary.org/obo/CMO_0000027,4,White blood cells (x10^3/uL),Laboratory test,Blood test,sample | observation,variable
http://purl.obolibrary.org/obo/EUPATH_0015288,3,"Adenovirus 40/41, by ELISA",Laboratory test,Adenovirus in stool,sample,value | derived
http://purl.obolibrary.org/obo/EUPATH_0015329,3,"Astrovirus, by RT-PCR",Laboratory test,Astrovirus in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015397,3,"Atypical EPEC Ct value, by TAC result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0010619,3,"Atypical EPEC, by PCR",Laboratory test,Escherichia in stool,sample,value
http://purl.obolibrary.org/obo/OBI_0002649,3,Blood microbiology test,Laboratory test,Laboratory test,sample,category
http://purl.obolibrary.org/obo/EUPATH_0015299,3,"Campylobacter (non-jejuni or coli), by bacteriology",Laboratory test,Campylobacter in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015300,3,"Campylobacter (non-speciated), by bacteriology",Laboratory test,Campylobacter in stool,sample,value | derived
http://purl.obolibrary.org/obo/EUPATH_0015315,3,"Campylobacter coli, by bacteriology",Laboratory test,Campylobacter in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015341,3,"Campylobacter jejuni or C. coli Ct value, by TAC result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015316,3,"Campylobacter jejuni, by bacteriology",Laboratory test,Campylobacter in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0011855,3,"Clostridium difficile Ct value, by TAC result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015389,3,"EAEC Ct value, by TAC result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0010655,3,"EAEC aatA-pos or aaiC-pos, by PCR",Laboratory test,Escherichia in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0011892,3,"EAEC aggR-activated regulator (aar) Ct value, by TAC result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015314,3,"EHEC efa1-pos, by PCR result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0011857,3,"EPEC eae Ct value, by TAC result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0010707,3,"EPEC eae-pos and bfpA-pos, by PCR",Laboratory test,Escherichia in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015282,3,"ETEC LT-pos and ST-pos, by PCR",Laboratory test,Escherichia in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0010711,3,"ETEC LT-pos or ST-pos, by PCR",Laboratory test,Escherichia in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015392,3,"ETEC ST-pos Ct value, by TAC result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0010813,3,"ETEC ST-pos LT-neg, by PCR",Laboratory test,Escherichia in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015317,3,"ETEC ST-pos, by PCR result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015313,3,"Escherichia coli sen-pos, by PCR result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0010630,3,"Escherichia coli, by bacteriology result",Laboratory test,Raw bacteria data for stool,sample,value | variable
http://purl.obolibrary.org/obo/EUPATH_0030125,3,Eukaryota in urine,Laboratory test,Urine microbiology test,sample,category
http://purl.obolibrary.org/obo/EUPATH_0021056,3,FalciVax RDT performed,Laboratory test,Blood eukaryote testing,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0011849,3,Ferritin (ng/mL),Laboratory test,Blood test,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0011003,3,"Giardia, by ELISA",Laboratory test,Giardia in stool,sample,value
http://www.ebi.ac.uk/efo/EFO_0004348,3,Hematocrit (%),Laboratory test,Blood test,sample | observation,variable
http://purl.obolibrary.org/obo/EUPATH_0015362,3,"Isospora Ct value, by TAC result",Laboratory test,Raw eukaryota data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0021031,3,Microscopy performed,Laboratory test,Blood eukaryote testing,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0021055,3,Negative,Laboratory test,"Plasmodium species, by FalciVax RDT",sample,value
http://purl.obolibrary.org/obo/EUPATH_0021027,3,Negative,Laboratory test,"Plasmodium species, by microscopy",sample,value
http://purl.obolibrary.org/obo/EUPATH_0021048,3,Negative,Laboratory test,"Plasmodium species, by qPCR",sample,value
http://purl.obolibrary.org/obo/EUPATH_0010771,3,"Norovirus GI, by RT-PCR",Laboratory test,Norovirus in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0010775,3,"Norovirus GII, by RT-PCR",Laboratory test,Norovirus in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0010767,3,"Norovirus, by RT-PCR",Laboratory test,Norovirus in stool,sample,value | derived
http://purl.obolibrary.org/obo/EUPATH_0000537,3,"Plasmodium (per uL blood), by microscopy",Laboratory test,Plasmodium in blood,sample | observation,variable
http://purl.obolibrary.org/obo/EUPATH_0021053,3,Plasmodium falciparum,Laboratory test,"Plasmodium species, by FalciVax RDT",sample,value
http://purl.obolibrary.org/obo/EUPATH_0021054,3,Plasmodium vivax,Laboratory test,"Plasmodium species, by FalciVax RDT",sample,value
http://purl.obolibrary.org/obo/EUPATH_0025125,3,"Plasmodium, by qPCR",Laboratory test,Plasmodium in blood,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0015398,3,"STEC Ct value, by TAC result",Laboratory test,Raw bacteria data for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0010817,3,"STEC stx1-pos or stx2-pos, by PCR",Laboratory test,Escherichia in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0033304,3,Salmonella in blood,Laboratory test,Bacteria in blood,sample,category | multifilter category
http://purl.obolibrary.org/obo/EUPATH_0015295,3,"Salmonella non-typhi, by bacteriology",Laboratory test,Salmonella in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015294,3,"Salmonella typhi, by bacteriology",Laboratory test,Salmonella in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015296,3,"Sapovirus, by RT-PCR",Laboratory test,Sapovirus in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0030124,3,"Schistosoma haematobium (per 10 ml), by microscopy",Laboratory test,Schistosoma in urine,sample,value | variable
http://purl.obolibrary.org/obo/EUPATH_0030123,3,"Schistosoma haematobium, by microscopy",Laboratory test,Schistosoma in urine,sample,value | variable
http://purl.obolibrary.org/obo/EUPATH_0030122,3,Schistosoma in urine,Laboratory test,Eukaryota in urine,sample,category
http://purl.obolibrary.org/obo/EUPATH_0015320,3,"Shigella boydii, by bacteriology",Laboratory test,Shigella in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015321,3,"Shigella dysenteriae, by bacteriology",Laboratory test,Shigella in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015443,3,"Shigella flexneri serotype 1A, by bacteriology",Laboratory test,Shigella in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015444,3,"Shigella flexneri serotype 1B, by bacteriology",Laboratory test,Shigella in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015445,3,"Shigella flexneri serotype 2A, by bacteriology",Laboratory test,Shigella in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015446,3,"Shigella flexneri serotype 2B, by bacteriology",Laboratory test,Shigella in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015447,3,"Shigella flexneri serotype 3A, by bacteriology",Laboratory test,Shigella in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015448,3,"Shigella flexneri serotype 3B, by bacteriology",Laboratory test,Shigella in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015324,3,"Shigella flexneri serotype 4A, by bacteriology",Laboratory test,Shigella in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015301,3,"Shigella flexneri serotype 4B, by bacteriology",Laboratory test,Shigella in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015325,3,"Shigella flexneri serotype 4C, by bacteriology",Laboratory test,Shigella in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015303,3,"Shigella flexneri serotype 6, by bacteriology",Laboratory test,Shigella in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015327,3,"Shigella flexneri serotype X, by bacteriology",Laboratory test,Shigella in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015328,3,"Shigella flexneri serotype Y, by bacteriology",Laboratory test,Shigella in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015319,3,"Shigella flexneri, by bacteriology",Laboratory test,Shigella in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015323,3,"Shigella sonnei, by bacteriology",Laboratory test,Shigella in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0011761,3,Stool bacteria testing,Laboratory test,Stool microbiology test procedures,sample,category | variable
http://purl.obolibrary.org/obo/EUPATH_0011963,3,Strongyloides in stool,Laboratory test,Eukaryota in stool,sample,category | multifilter category
http://purl.obolibrary.org/obo/EUPATH_0011876,3,Test result summary for stool,Laboratory test,Stool microbiology test,sample,category
http://purl.obolibrary.org/obo/EUPATH_0030120,3,Trichuris in stool,Laboratory test,Eukaryota in stool,sample,category | multifilter category
http://purl.obolibrary.org/obo/EUPATH_0010615,3,"Trichuris trichiura, by microscopy",Laboratory test,Trichuris in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0011797,3,Urine test,Laboratory test,Laboratory test,sample,category
http://purl.obolibrary.org/obo/EUPATH_0015312,3,"Vibrio (other species), by bacteriology",Laboratory test,Vibrio in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015306,3,"Vibrio cholerae, by bacteriology",Laboratory test,Vibrio in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0015322,3,"Vibrio parahaemolyticus, by bacteriology",Laboratory test,Vibrio in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0036031,3,Virus in blood,Laboratory test,Blood microbiology test,sample,category | multifilter
http://purl.obolibrary.org/obo/EUPATH_0015289,2,"Adenovirus non-40/41, by ELISA",Laboratory test,Adenovirus in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0010599,2,"Adenovirus, by ELISA",Laboratory test,Adenovirus in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0030114,2,Aggregate organism in stool detection data,Laboratory test,Stool microbiology test,sample,category
http://purl.obolibrary.org/obo/EUPATH_0011276,2,Alpha-1-antitrypsin (mg/g),Laboratory test,Stool intestinal inflammation test,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0011161,2,Anemia (hemoglobin less than 11g/dL),Laboratory test,Blood test,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0011480,2,Antibodies,Laboratory test,Blood antibody test,sample,category
http://purl.obolibrary.org/obo/EUPATH_0010875,2,"Any bacteria, by any method",Laboratory test,Test result summary for stool,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0010607,2,"Ascaris lumbricoides, by microscopy",Laboratory test,Ascaris in stool,sample,value
http://purl.obolibrary.org/obo/EUPATH_0033373,2,Betacoronavirus in nasopharyngeal/oropharyngeal swabs,Laboratory test,Virus in nasopharyngeal/oropharyngeal swabs,sample,multifilter category
http://purl.obolibrary.org/obo/EUPATH_0023005,2,Bicarbonate (mmol/L),Laboratory test,Blood test,sample | observation,variable
http://purl.obolibrary.org/obo/EUPATH_0011481,2,Blood antibody test,Laboratory test,Laboratory test,sample,category
http://purl.obolibrary.org/obo/EUPATH_0041029,2,Blood smear performed,Laboratory test,Blood eukaryote testing,sample,variable
http://purl.obolibrary.org/obo/EUPATH_0027019,2,Blood tests performed,Laboratory test,Blood test,sample,category
http://purl.obolibrary.org/obo/EUPATH_0033154,2,C-reactive protein (mg/L),Laboratory test,Blood test,sample,variable
