IRI,label,dataSet,mergeKey,is_temporal,hidden
http://purl.obolibrary.org/obo/EUPATH_0022140,Plasmodium species causing malaria since last observation 3,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022141,"Malaria treatment since last observation, from medical record",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022142,Malaria treatment since last observation,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022143,Malaria treatment since last observation 2,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022144,Malaria treatment since last observation 3,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022145,Malaria-positive blood smear treatment,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022146,Treatment for malaria ongoing,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022147,Time in study area in April,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022148,Time in study area in August,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022149,Time in study area in December,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022150,Time in study area in February,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022151,Time in study area in January,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022152,Time in study area in July,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022153,Time in study area in June,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022154,Time in study area in May,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022155,Time in study area in March,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022156,Time in study area in November,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022157,Time in study area in October,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022158,Time in study area in September,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022159,Time living in Amazon categorization,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022160,Time living in Amazon,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022161,Time living in state,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022162,Time living in survey area,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022163,Duffy blood group,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022166,Enrollment study period,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022167,Use other personal vector interventions,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022170,Physical exam complete,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022171,"Plasmodium species, by microscopy and qPCR",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022173,Study period during move to 2nd dwelling,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022174,Second household ID,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022175,Study period during move to 3rd dwelling,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022176,Third household ID,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022177,State lived in previously,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022178,"State lived in previously, 2",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022179,"State lived in previously, 3",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022180,"State lived in previously, 4",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022181,"State lived in previously, 5",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022182,First dwelling settlement,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022183,Second dwelling settlement,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022184,Third dwelling settlement,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022185,Time per month in area,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022186,Other home location,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022188,Other home zone,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022190,Symptoms in last 7 days order,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022191,Other symptoms in last 30 days,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022192,Other symptoms in last 7 days,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022193,Symptom end date,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022194,Sleep with window open,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022196,Horse count,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022198,Duck count,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022199,Pig count,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022200,Abdominal pain,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022201,Loss of appetite,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022202,Joint pain,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022203,Chills,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022204,Headache,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022205,Mental confusion,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022206,Diarrhea,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022207,Fever,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022208,Weakness,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022209,Shortness of breath,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022210,Hypochondrium pain,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022211,Jaundice,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022212,Lower back pain,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022213,Muscle aches,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022214,Nausea,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022215,Bleeding,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022216,Any symptoms in last 30 days,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022217,Sweating,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022218,Dizziness,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022219,Cough,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022220,Change in urine color,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022221,Vomiting,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022222,Abdominal pain,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022223,Loss of appetite,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022224,Joint pain,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022225,Chills,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022226,Headache,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022227,Mental confusion,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022228,Diarrhea,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022229,Weakness,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022230,Shortness of breath,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022231,Hypochondrium pain,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022232,Jaundice,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022233,Lower back pain,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022234,Muscle aches,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022235,Nausea,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022236,Bleeding,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022237,Any symptoms in last 7 days,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022238,Sweating,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022239,Dizziness,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022240,Cough,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022241,Change in urine color,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022242,Vomiting,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022243,Settlements visited in last 30 days,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022244,Settlements visited in last 6 months,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022245,Sanitation system,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022246,Participant wealth index categorization,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022248,In forest at night,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022249,Sleep by river,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022250,Bathing time,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022251,"Bathing time, 2nd",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022252,Bathing location,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022253,Fish at river,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022254,Reason in forest at night,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022255,Shotgun,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022257,Chainsaw,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022258,Well,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022259,"Plasmodium species, by FTA qPCR",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022260,"Plasmodium falciparum, by FTA qPCR",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022261,"Plasmodium vivax, by FTA qPCR",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022262,"Plasmodium species, by venous blood qPCR",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022263,"Plasmodium falciparum, by venous blood qPCR",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022265,Participant wealth index,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022266,Bicycle count,Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022267,"Settlement, generalized",Amazonia ICEMR Brazil Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0000355,Occupation 2,Amazonia ICEMR Brazil Cohort | Amazonia ICEMR Peru Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022001,Settlement,Amazonia ICEMR Brazil Cohort | Amazonia ICEMR Peru Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022247,"Plasmodium vivax, by qPCR calculation",Amazonia ICEMR Brazil Cohort | Amazonia ICEMR Peru Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0000377,Time living in dwelling,Amazonia ICEMR Brazil Cohort | Amazonia ICEMR Peru Cohort | PROVIDE Randomized Controlled Trial,,,
http://purl.obolibrary.org/obo/EUPATH_0022053,Present at visit,Amazonia ICEMR Brazil Cohort | Amazonia ICEMR Peru Cohort | West Africa ICEMR,,,
http://purl.obolibrary.org/obo/EUPATH_0022256,Generator,Amazonia ICEMR Brazil Cohort | GANC,,,
http://purl.obolibrary.org/obo/EUPATH_0015185,Fever during last 7 days,Amazonia ICEMR Brazil Cohort | GEMS1A Case Control | GEMS1 Case Control,,,
http://purl.obolibrary.org/obo/EUPATH_0022101,Treated for last malaria diagnosis,Amazonia ICEMR Brazil Cohort | India ICEMR Behavior Cross-sectional,,,
http://purl.obolibrary.org/obo/NCIT_C64593,Bed time,Amazonia ICEMR Brazil Cohort | India ICEMR Meghalaya Cohort | India ICEMR Behavior Cross-sectional | PRISM2 ICEMR Border Cohort | PRISM2 ICEMR Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0020163,Out of bed time,Amazonia ICEMR Brazil Cohort | India ICEMR Meghalaya Cohort | India ICEMR Behavior Cross-sectional | PRISM2 ICEMR Cohort | PRISM2 ICEMR Border Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Amazonia ICEMR Brazil Cohort | India ICEMR Meghalaya Cohort | WASHb BNG Cluster Randomized Trial | PERCH Case Control | GEMS1A Case Control | PRISM2 ICEMR Cohort | SCORE Sm Cohort | SIP | Malawi ICEMR Case-Control | GEMS1A HUAS Lite Survey | SCORE Five Country | GEMS1 Case Control | India ICEMR Cohort | LLINE UP Cluster Randomized Trial | South Asia ICEMR Surveillance | India ICEMR Severe P.vivax and falciparum Cohort | PROVIDE Randomized Controlled Trial | India ICEMR Fever Surveillance | SCORE Rwanda | VIDA Case Control | GEMS1 HUAS/HUAS Lite Survey | PROMOTE BC3 Cohort | GAMIN RCT | SCORE Zanzibar | MAL-ED 0-60m Cohort | WASH Benefits Kenya Cluster Randomized Trial | West Africa ICEMR | Amazonia ICEMR Peru Cohort | India ICEMR Behavior Cross-sectional | Southeast Asia ICEMR Surveillance | PRISM ICEMR Cohort | VIDA HUCS Kenya | PRISM2 ICEMR Border Cohort | UMSP Surveillance | SCORE S. mansoni Cluster Randomized Trial | Kalifabougou | Southern Africa ICEMR Cross-sectional | VIDA HUCS Gambia Mali | SCORE Mozambique Cluster Randomized Trial | GANC | ELICIT | SCORE Seasonal | India ICEMR Cross-Sectional | SCORE Burundi,,,
http://purl.obolibrary.org/obo/EUPATH_0022189,Symptom start date,Amazonia ICEMR Brazil Cohort | India ICEMR Severe P.vivax and falciparum Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022268,Malaria treatment start date,Amazonia ICEMR Brazil Cohort | India ICEMR Severe P.vivax and falciparum Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0000009,Wall material,Amazonia ICEMR Brazil Cohort | PRISM ICEMR Cohort | PROVIDE Randomized Controlled Trial | India ICEMR Meghalaya Cohort | PRISM2 ICEMR Border Cohort | LLINE UP Cluster Randomized Trial | Malawi ICEMR Case-Control | PROMOTE BC3 Cohort | MAL-ED 0-60m Cohort | PRISM2 ICEMR Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022172,"Plasmodium gametocytes, by qPCR",Amazonia ICEMR Brazil Cohort | PRISM2 ICEMR Cohort,,,
http://purl.obolibrary.org/obo/EUPATH_0022108,Diabetes mellitus,Amazonia ICEMR Brazil Cohort | PROMOTE BC3 Cohort,,,
http://purl.obolibrary.org/obo/OBI_0001169,Age,Amazonia ICEMR Brazil Cohort | SCORE Mozambique Cluster Randomized Trial | PROVIDE Randomized Controlled Trial | VIDA HUCS Gambia Mali | SCORE Rwanda | VIDA HUCS Kenya | GEMS1 Case Control | India ICEMR Cohort | India ICEMR Behavior Cross-sectional | Southern Africa ICEMR Cross-sectional | SCORE Zanzibar | GEMS1A Case Control | SCORE Burundi | India ICEMR Meghalaya Cohort | PRISM ICEMR Cohort | PERCH Case Control | MAL-ED 0-60m Cohort | UMSP Surveillance | PRISM2 ICEMR Cohort | India ICEMR Cross-Sectional | SCORE Seasonal | PROMOTE BC3 Cohort | SCORE Sm Cohort | WASHb BNG Cluster Randomized Trial | LLINE UP Cluster Randomized Trial | ELICIT | VIDA Case Control | SCORE Five Country | SIP | GEMS1 HUAS/HUAS Lite Survey | GEMS1A HUAS Lite Survey | PRISM2 ICEMR Border Cohort | GAMIN RCT | India ICEMR Fever Surveillance,yes,yes,
http://purl.obolibrary.org/obo/DOID_2355,Anemia,Amazonia ICEMR Brazil Cohort | SIP,,,
http://purl.obolibrary.org/obo/EUPATH_0012417,Birth place,Amazonia ICEMR Brazil Cohort | SIP,,,
http://purl.obolibrary.org/obo/EUPATH_0022187,Time in other home,Amazonia ICEMR Brazil Cohort | Southern Africa ICEMR Cross-sectional,,,
http://purl.obolibrary.org/obo/EUPATH_0042161,Medical history,Amazonia ICEMR Brazil Cohort | UMSP Surveillance | GAMIN RCT | PROMOTE BC3 Cohort | PERCH Case Control,,,
http://purl.obolibrary.org/obo/EUPATH_0022195,Cattle count,Amazonia ICEMR Brazil Cohort | WASH Benefits Kenya Cluster Randomized Trial,,,
http://purl.obolibrary.org/obo/APOLLO_SV_00000570,Employment status,Amazonia ICEMR Peru Cohort,,,
http://purl.obolibrary.org/obo/ENVO_01000594,Cabinet,Amazonia ICEMR Peru Cohort,,,
