IRI,label,parentIRI,parentLabel,replaces,dataSet
http://purl.obolibrary.org/obo/EUPATH_0020254,Complicated malaria signs,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,EUPATH_0000316,PROMOTE BC3 Cohort | PRISM2 ICEMR Cohort | PRISM2 ICEMR Border Cohort | PRISM ICEMR Cohort
http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,EUPATH_0000340 | OMRSE_00000142,India ICEMR Meghalaya Cohort | India ICEMR Cross-Sectional | Amazonia ICEMR Brazil Cohort | SW PACIFIC | Amazonia ICEMR Peru Cohort | South Asia ICEMR Surveillance | India ICEMR Severe P.vivax and falciparum Cohort | Namibia_RACD_rfMDA_RAVC | Malawi ICEMR Case-Control | Southern Africa ICEMR Cross-sectional | India ICEMR Fever Surveillance | PRISM2 ICEMR Cohort | India ICEMR Cohort | Myanmar ICEMR | PRISM2 ICEMR Border Cohort | SSA ICEMR Kenya Cohort
http://purl.obolibrary.org/obo/OMRSE_00002045,Education level,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,EUPATH_0000345,Southeast Asia ICEMR Surveillance | Amazonia ICEMR Peru Cohort | India ICEMR Meghalaya Cohort | ICEMR2_cross_sectional | Jilinde_prospective_cohort | India ICEMR Cohort | SSA ICEMR Kenya Cohort | PROMOTE BC3 Cohort | Jilinde_retrospective_survey | India ICEMR Cross-Sectional | India ICEMR Severe P.vivax and falciparum Cohort | India ICEMR Behavior Cross-sectional | India ICEMR DAMaN | India ICEMR Fever Surveillance | Jilinde_healthcareprovider_cohort | GANC | Jilinde_pe_chv_cohort | Jilinde_awareness_survey | Demand_creation_evaluation_questionnaire | Preventing Congenital Syphilis | PPFP Choices KenyaPP | Amazonia ICEMR Brazil Cohort
http://purl.obolibrary.org/obo/ENVO_01001260,Garbage disposal,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,EUPATH_0000368,Amazonia ICEMR Peru Cohort | Amazonia ICEMR Brazil Cohort
http://purl.obolibrary.org/obo/EUPATH_0022273,Trips in last month count,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,EUPATH_0000387,Amazonia ICEMR Peru Cohort | ICEMR2_cross_sectional
http://purl.obolibrary.org/obo/EUPATH_0026006,District in Thailand,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,EUPATH_0000407,Southeast Asia ICEMR Surveillance
http://purl.obolibrary.org/obo/EUPATH_0044179,District in Uganda,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,EUPATH_0000407,UMSP Surveillance | LLINE UP Cluster Randomized Trial
http://purl.obolibrary.org/obo/OBI_0003044,"Plasmodium species, by qPCR",http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,EUPATH_0000433,India ICEMR Cohort | India ICEMR Fever Surveillance | India ICEMR Cross-Sectional | PRISM2 ICEMR Cohort | SW PACIFIC | Amazonia ICEMR Peru Cohort | Malawi ICEMR Case-Control | ICEMR2_cross_sectional | Amazonia ICEMR Brazil Cohort
http://purl.obolibrary.org/obo/OBI_0003041,"Plasmodium species, by FalciVax RDT",http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,EUPATH_0000437,South Asia ICEMR Surveillance | India ICEMR Fever Surveillance | India ICEMR Cross-Sectional | India ICEMR Cohort
http://purl.obolibrary.org/obo/OBI_0003042,"Plasmodium species, by OptiMAL RDT",http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,EUPATH_0000438,India ICEMR Cross-Sectional | India ICEMR Cohort
http://purl.obolibrary.org/obo/EUPATH_0044180,Region in Uganda,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,EUPATH_0000452,LLINEUP2 | LLINE UP Cluster Randomized Trial | UMSP aggregated
http://purl.obolibrary.org/obo/OBI_0003080,Temperature measurement method,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,EUPATH_0000544,South Asia ICEMR Surveillance | West Africa ICEMR
http://purl.obolibrary.org/obo/EUPATH_0037026,Age at anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,EUPATH_0000579 | OBI_0001169,WASH Benefits Kenya Cluster Randomized Trial | WASHb BNG Cluster Randomized Trial
http://purl.obolibrary.org/obo/EUPATH_0037022,Age at symptoms,http://purl.obolibrary.org/obo/EUPATH_0011878,Symptoms by caregiver report,EUPATH_0000579 | OBI_0001169,WASHb BNG Cluster Randomized Trial | WASH Benefits Kenya Cluster Randomized Trial
http://purl.obolibrary.org/obo/OBI_0001169,Age,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,EUPATH_0015400 | EUPATH_0000113 | EUPATH_0000120 | EUPATH_0000579,LLINE UP Cluster Randomized Trial | SCORE Zanzibar | Jilinde_prospective_cohort | SCORE Five Country | ICEMR2_cross_sectional | SSA ICEMR Kenya Cohort | Southern Africa ICEMR Cross-sectional | GEMS1 Case Control | GAMIN RCT | SCORE Seasonal | PRISM ICEMR Cohort | India ICEMR Fever Surveillance | GEMS1 HUAS/HUAS Lite Survey | avenir_rct | VIDA Case Control | Jilinde_awareness_survey | PERCH Case Control | jilinde_costing_survey | ELICIT | Amazonia ICEMR Brazil Cohort | India ICEMR DAMaN | PRISM2 ICEMR Border Cohort | SCORE Niger Cluster Randomized Trial | mordor | Guatemala_cohort | NIH Crypto | MAL-ED 0-60m Cohort | SHINE | GEMS1A HUAS Lite Survey | BetterBirth | SCORE Mozambique Cluster Randomized Trial | UMSP Surveillance | SCORE Burundi | PRISM2 ICEMR Cohort | India ICEMR Cross-Sectional | SW PACIFIC | PROVIDE Randomized Controlled Trial | LLINEUP2 | GEMS1A Case Control | India ICEMR Cohort | VIDA HUCS Gambia Mali | Demand_creation_evaluation_questionnaire | India ICEMR Meghalaya Cohort | Namibia_RACD_rfMDA_RAVC | SCORE Rwanda | VIDA HUCS Kenya | PROMOTE BC3 Cohort | SCORE Sm Cohort | Jilinde_retrospective_survey | PPFP Choices KenyaPP | India ICEMR Behavior Cross-sectional
http://purl.obolibrary.org/obo/EUPATH_0011999,"Antibiotics, caregiver report",http://purl.obolibrary.org/obo/OBI_0003057,Antibiotic administration,EUPATH_0000582,MAL-ED 0-60m Cohort | PROVIDE Randomized Controlled Trial | NIH Crypto
http://purl.obolibrary.org/obo/CMO_0000105,BMI,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,EUPATH_0000661,GEMS1A Case Control | VIDA Case Control | PROVIDE Randomized Controlled Trial | GEMS1 Case Control | Guatemala_cohort
http://purl.obolibrary.org/obo/EUPATH_0053056,Geolocated cases proportion,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,EUPATH_0000724,Namibia_RACD_rfMDA_RAVC
http://purl.obolibrary.org/obo/OBI_0003039,Stool microbiology test,http://purl.obolibrary.org/obo/OBI_0000070,Laboratory test,EUPATH_0000724,GEMS1 Case Control | GEMS1A Case Control | SCORE S. mansoni Cluster Randomized Trial | PROVIDE Randomized Controlled Trial | SCORE Sm Cohort | SCORE Five Country | Amazonia ICEMR Brazil Cohort | MAL-ED 0-60m Cohort | SCORE Rwanda | NIH Crypto | SCORE Burundi | SCORE Seasonal
http://purl.obolibrary.org/obo/IAO_0000414,Weight,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,EUPATH_0000732,SCORE Sm Cohort | MAL-ED 0-60m Cohort | India ICEMR Cohort | India ICEMR DAMaN | PROVIDE Randomized Controlled Trial | SHINE | PRISM ICEMR Cohort | NIH Crypto | Southern Africa ICEMR Cross-sectional | ELICIT | PRISM2 ICEMR Border Cohort | PERCH Case Control | mordor | LLINEUP2 | UMSP Surveillance | India ICEMR Meghalaya Cohort | West Africa ICEMR | India ICEMR Severe P.vivax and falciparum Cohort | Namibia_RACD_rfMDA_RAVC | GEMS1 Case Control | SIP | India ICEMR Fever Surveillance | avenir_rct | GAMIN RCT | PRISM2 ICEMR Cohort | Amazonia ICEMR Brazil Cohort | WASHb BNG Cluster Randomized Trial | India ICEMR Cross-Sectional | VIDA Case Control | Kalifabougou | GEMS1A Case Control | PROMOTE BC3 Cohort
http://purl.obolibrary.org/obo/EUPATH_0000058,Antimalarial medication,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,EUPATH_0000740,PRISM2 ICEMR Border Cohort | Amazonia ICEMR Peru Cohort | UMSP Surveillance | PROMOTE BC3 Cohort | PRISM2 ICEMR Cohort | Southern Africa ICEMR Cross-sectional | PRISM ICEMR Cohort | India ICEMR Severe P.vivax and falciparum Cohort | Namibia_RACD_rfMDA_RAVC | South Asia ICEMR Surveillance
http://purl.obolibrary.org/obo/OBI_0003068,Study center,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,EUPATH_0010047,GEMS1A Case Control | GEMS1 Case Control
http://purl.obolibrary.org/obo/EUPATH_0010123,Interviewee's relationship to participant,http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,EUPATH_0010064,BetterBirth | GEMS1 Case Control | GEMS1A Case Control | GEMS1 HUAS/HUAS Lite Survey | India ICEMR DAMaN | Malawi ICEMR Case-Control | VIDA HUCS Kenya | VIDA Case Control | Southeast Asia ICEMR Surveillance | VIDA HUCS Gambia Mali
http://purl.obolibrary.org/obo/OBI_0003072,Axillary temperature,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,EUPATH_0010095,GEMS1 Case Control | VIDA Case Control | GEMS1A Case Control | SW PACIFIC
http://purl.obolibrary.org/obo/EUPATH_0000700,Drinking water treatment method,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,EUPATH_0010108,GEMS1A Case Control | PROVIDE Randomized Controlled Trial | GEMS1 Case Control | NIH Crypto | Amazonia ICEMR Brazil Cohort | ELICIT
http://purl.obolibrary.org/obo/EUPATH_0011048,Breastfeeding status,http://purl.obolibrary.org/obo/EUPATH_0011730,Breastfeeding,EUPATH_0010371,GEMS1 Case Control | SHINE | MAL-ED 0-60m Cohort | GEMS1A Case Control | PPFP Choices KenyaPP | GAMIN RCT | avenir_rct
http://purl.obolibrary.org/obo/EUPATH_0037027,Anthropometry year,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,EUPATH_0010374,WASH Benefits Kenya Cluster Randomized Trial | WASHb BNG Cluster Randomized Trial
http://purl.obolibrary.org/obo/EUPATH_0037023,Symptoms year,http://purl.obolibrary.org/obo/EUPATH_0011878,Symptoms by caregiver report,EUPATH_0010374,WASH Benefits Kenya Cluster Randomized Trial | WASHb BNG Cluster Randomized Trial
http://purl.obolibrary.org/obo/EUPATH_0011291,"Polio serotype 2 titer, by microneutralization result",http://purl.obolibrary.org/obo/EUPATH_0011472,Raw antibody titer test result,EUPATH_0011474,NIH Crypto | PROVIDE Randomized Controlled Trial | MAL-ED 0-60m Cohort
http://purl.obolibrary.org/obo/EUPATH_0011290,"Polio serotype 1 titer, by microneutralization result",http://purl.obolibrary.org/obo/EUPATH_0011472,Raw antibody titer test result,EUPATH_0011518,PROVIDE Randomized Controlled Trial | MAL-ED 0-60m Cohort | NIH Crypto
http://purl.obolibrary.org/obo/EUPATH_0011292,"Polio serotype 3 titer, by microneutralization result",http://purl.obolibrary.org/obo/EUPATH_0011472,Raw antibody titer test result,EUPATH_0011519,PROVIDE Randomized Controlled Trial | MAL-ED 0-60m Cohort | NIH Crypto
http://purl.obolibrary.org/obo/EUPATH_0048294,Lipid-based nutrient supplement feedings yesterday count,http://purl.obolibrary.org/obo/EUPATH_0000678,Feeding,EUPATH_0011652,SHINE
http://purl.obolibrary.org/obo/OBI_0003040,Blood test,http://purl.obolibrary.org/obo/OBI_0000070,Laboratory test,EUPATH_0011795,India ICEMR DAMaN | South Asia ICEMR Surveillance | Preventing Congenital Syphilis | India ICEMR Severe P.vivax and falciparum Cohort | Amazonia ICEMR Brazil Cohort | PROMOTE BC3 Cohort | PERCH Case Control | India ICEMR Meghalaya Cohort | PRISM2 ICEMR Border Cohort | Southern Africa ICEMR Cross-sectional | SCORE Sm Cohort | MAL-ED 0-60m Cohort | LLINEUP2 | Myanmar ICEMR | SIP | PRISM2 ICEMR Cohort | SW PACIFIC | LLINE UP Cluster Randomized Trial | India ICEMR Cross-Sectional | PROVIDE Randomized Controlled Trial | NIH Crypto | Guatemala_cohort | West Africa ICEMR | SHINE | India ICEMR Cohort | India ICEMR Fever Surveillance | Kalifabougou | NECTAR1 | ELICIT | PRISM ICEMR Cohort
http://purl.obolibrary.org/obo/OBI_0003043,Urine test,http://purl.obolibrary.org/obo/OBI_0000070,Laboratory test,EUPATH_0011797,NIH Crypto | SCORE Zanzibar | Preventing Congenital Syphilis | MAL-ED 0-60m Cohort | SCORE Five Country | PROVIDE Randomized Controlled Trial | PROMOTE BC3 Cohort | SCORE Rwanda | SCORE Burundi
http://purl.obolibrary.org/obo/OBI_0002503,Stool sample,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,EUPATH_0011877,PROVIDE Randomized Controlled Trial | NIH Crypto | MAL-ED 0-60m Cohort | GEMS1A Case Control | GEMS1 Case Control
http://purl.obolibrary.org/obo/EUPATH_0000256,Piped into dwelling,http://purl.obolibrary.org/obo/ENVO_00003064,Drinking water source,EUPATH_0015033,VIDA Case Control | GEMS1 Case Control | GEMS1A Case Control
http://purl.obolibrary.org/obo/EUPATH_0000257,Piped into yard,http://purl.obolibrary.org/obo/ENVO_00003064,Drinking water source,EUPATH_0015035,VIDA Case Control | GEMS1 Case Control | GEMS1A Case Control
http://purl.obolibrary.org/obo/HP_0000490,Sunken eye,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,EUPATH_0015076,GEMS1 Case Control | GEMS1A Case Control
http://purl.obolibrary.org/obo/HP_0001595,Abnormal hair,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,EUPATH_0015118,GEMS1A Case Control | GEMS1 Case Control
http://purl.obolibrary.org/obo/EUPATH_0015305,"Shigella non-typeable, by bacteriology",http://purl.obolibrary.org/obo/EUPATH_0011984,Shigella in stool,EUPATH_0015451,GEMS1A Case Control | GEMS1 Case Control
http://purl.obolibrary.org/obo/EUPATH_0044122,Household study timepoint,http://purl.obolibrary.org/obo/EUPATH_0011995,Household observation details,EUPATH_0015467,VIDA HUCS Kenya | avenir_rct | WASHb BNG Cluster Randomized Trial | SHINE | GEMS1A Case Control | GEMS1 Case Control | LLINE UP Cluster Randomized Trial | LLINEUP2 | India ICEMR DAMaN | WASH Benefits Kenya Cluster Randomized Trial | Amazonia ICEMR Brazil Cohort
http://purl.obolibrary.org/obo/EUPATH_0000165,Vomiting duration,http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,EUPATH_0015674,PRISM2 ICEMR Cohort | GEMS1 HUAS/HUAS Lite Survey | PRISM ICEMR Cohort | VIDA HUCS Kenya | GEMS1A HUAS Lite Survey | PROMOTE BC3 Cohort | VIDA HUCS Gambia Mali | PROVIDE Randomized Controlled Trial | PRISM2 ICEMR Border Cohort
http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,http://purl.obolibrary.org/obo/OBI_0000070,Laboratory test,EUPATH_0020005,UMSP Surveillance | PROMOTE BC3 Cohort | India ICEMR Meghalaya Cohort | South Asia ICEMR Surveillance | SHINE | PROVIDE Randomized Controlled Trial | LLINEUP2 | Southeast Asia ICEMR Surveillance | SSA ICEMR Kenya Cohort | PRISM2 ICEMR Cohort | West Africa ICEMR | avenir_rct | Amazonia ICEMR Brazil Cohort | LLINE UP Cluster Randomized Trial | PRISM ICEMR Cohort | Guatemala_cohort | PERCH Case Control | NECTAR1 | PRISM2 ICEMR Border Cohort | Namibia_RACD_rfMDA_RAVC | India ICEMR Behavior Cross-sectional | Amazonia ICEMR Peru Cohort | India ICEMR Cross-Sectional | GAMIN RCT | Preventing Congenital Syphilis | Malawi ICEMR Case-Control | Southern Africa ICEMR Cross-sectional | Myanmar ICEMR | India ICEMR Cohort | SW PACIFIC | India ICEMR Severe P.vivax and falciparum Cohort | India ICEMR DAMaN | India ICEMR Fever Surveillance | SIP | Kalifabougou
http://purl.obolibrary.org/obo/EUPATH_0000428,Treated with antimalarials,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,EUPATH_0020168,India ICEMR Meghalaya Cohort | India ICEMR Behavior Cross-sectional | PRISM2 ICEMR Cohort | India ICEMR Cross-Sectional | India ICEMR Fever Surveillance | PRISM2 ICEMR Border Cohort | India ICEMR Cohort
http://purl.obolibrary.org/obo/EUPATH_0010367,Age group,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,EUPATH_0020222 | EUPATH_0030022 | EUPATH_0040020,GEMS1A Case Control | GEMS1 Case Control | PERCH Case Control | PRISM2 ICEMR Cohort | Myanmar ICEMR | GEMS1A HUAS Lite Survey | PPFP Choices KenyaPP | GEMS1 HUAS/HUAS Lite Survey | SCORE Niger Cluster Randomized Trial | PRISM2 ICEMR Border Cohort | LLINE UP Cluster Randomized Trial | VIDA Case Control | SCORE S. mansoni Cluster Randomized Trial | LLINEUP2 | SCORE Mozambique Cluster Randomized Trial | VIDA HUCS Gambia Mali | SCORE Seasonal | NECTAR1 | VIDA HUCS Kenya | UMSP Surveillance | Namibia_RACD_rfMDA_RAVC
http://purl.obolibrary.org/obo/OBI_0003054,Vacutainer sample,http://purl.obolibrary.org/obo/OBI_0000655,Blood sample,EUPATH_0021083,India ICEMR Meghalaya Cohort | India ICEMR Cross-Sectional | India ICEMR DAMaN | India ICEMR Cohort | India ICEMR Fever Surveillance
http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,EUPATH_0021098,India ICEMR Behavior Cross-sectional | ELICIT | VIDA HUCS Kenya | SSA ICEMR Kenya Cohort | India ICEMR Meghalaya Cohort | SHINE | Jilinde_retrospective_survey | SW PACIFIC | MAL-ED 0-60m Cohort | WASHb BNG Cluster Randomized Trial | GEMS1 Case Control | Amazonia ICEMR Brazil Cohort | UMSP Surveillance | SIP | GEMS1A HUAS Lite Survey | Malawi ICEMR Case-Control | Guatemala_cohort | PERCH Case Control | India ICEMR DAMaN | India ICEMR Cohort | Myanmar ICEMR | avenir_rct | PROVIDE Randomized Controlled Trial | India ICEMR Severe P.vivax and falciparum Cohort | Amazonia ICEMR Peru Cohort | PRISM2 ICEMR Cohort | Preventing Congenital Syphilis | GEMS1 HUAS/HUAS Lite Survey | LLINEUP2 | PROMOTE BC3 Cohort | West Africa ICEMR | Namibia_RACD_rfMDA_RAVC | VIDA Case Control | India ICEMR Cross-Sectional | GAMIN RCT | Kalifabougou | PRISM2 ICEMR Border Cohort | Southern Africa ICEMR Cross-sectional | GANC | WASH Benefits Kenya Cluster Randomized Trial | NIH Crypto | VIDA HUCS Gambia Mali | India ICEMR Fever Surveillance | GEMS1A Case Control
http://purl.obolibrary.org/obo/EUPATH_0000430,Antimalarial treatment,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,EUPATH_0021154,India ICEMR Behavior Cross-sectional | India ICEMR Fever Surveillance | ICEMR2_cross_sectional | India ICEMR Cross-Sectional | India ICEMR Severe P.vivax and falciparum Cohort | India ICEMR Cohort
http://purl.obolibrary.org/obo/EUPATH_0029053,Time since ITN received,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,EUPATH_0022122,India ICEMR Meghalaya Cohort
http://purl.obolibrary.org/obo/HP_0004372,Altered consciousness,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,EUPATH_0023003,India ICEMR Severe P.vivax and falciparum Cohort | South Asia ICEMR Surveillance
http://purl.obolibrary.org/obo/EUPATH_0024002,Time resided at current location,http://purl.obolibrary.org/obo/EUPATH_0024182,Household relocation,EUPATH_0024003,NIH Crypto | Southern Africa ICEMR Cross-sectional | Malawi ICEMR Case-Control
http://purl.obolibrary.org/obo/EUPATH_0000092,"Plasmodium asexual stages, by microscopy result",http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,EUPATH_0024315,PRISM2 ICEMR Cohort | Southern Africa ICEMR Cross-sectional | PRISM ICEMR Cohort | SW PACIFIC | LLINE UP Cluster Randomized Trial | PRISM2 ICEMR Border Cohort | GAMIN RCT | LLINEUP2
http://purl.obolibrary.org/obo/EUPATH_0023018,"Plasmodium gametocytes, by microscopy result",http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,EUPATH_0024316,PRISM2 ICEMR Border Cohort | PRISM2 ICEMR Cohort | Southern Africa ICEMR Cross-sectional | ICEMR2_cross_sectional | South Asia ICEMR Surveillance | SW PACIFIC | GAMIN RCT
http://purl.obolibrary.org/obo/EUPATH_0051030,Health center ID,http://purl.obolibrary.org/obo/EUPATH_0051003,Health center level information,EUPATH_0025072,Preventing Congenital Syphilis
http://purl.obolibrary.org/obo/EUPATH_0038722,Kebele (subdistrict) in Ethiopia,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,EUPATH_0026002,SIP
