variable	variable2	values	mappedTerm	X
226plate012::abdom_exam	226plate012::abdom_exam	0	:::UNDEF:::	
226plate012::abdom_exam	226plate012::abdom_exam	1	Normal	
226plate012::abdom_exam	226plate012::abdom_exam	2	Abnormal	
226plate012::abdom_exam	226plate012::abdom_exam	3	Not done	
226plate022::abdom_exam	226plate022::abdom_exam	0	:::UNDEF:::	
226plate022::abdom_exam	226plate022::abdom_exam	1	Normal	
226plate022::abdom_exam	226plate022::abdom_exam	2	Abnormal	
226plate022::abdom_exam	226plate022::abdom_exam	3	Not done	
226plate032::abdom_exam	226plate032::abdom_exam	1	Normal	
226plate032::abdom_exam	226plate032::abdom_exam	2	Abnormal	
226plate042::abdom_exam	226plate042::abdom_exam	0	:::UNDEF:::	
226plate042::abdom_exam	226plate042::abdom_exam	1	Normal	
226plate042::abdom_exam	226plate042::abdom_exam	2	Abnormal	
226plate042::abdom_exam	226plate042::abdom_exam	3	Not done	
226plate052::abdom_exam	226plate052::abdom_exam	1	Normal	
226plate052::abdom_exam	226plate052::abdom_exam	2	Abnormal	
226plate052::abdom_exam	226plate052::abdom_exam	3	Not done	
226plate082::abdom_exam	226plate082::abdom_exam	0	:::UNDEF:::	
226plate082::abdom_exam	226plate082::abdom_exam	1	Normal	
226plate082::abdom_exam	226plate082::abdom_exam	2	Abnormal	
226plate102::abdom_exam	226plate102::abdom_exam	0	:::UNDEF:::	
226plate102::abdom_exam	226plate102::abdom_exam	1	Normal	
226plate102::abdom_exam	226plate102::abdom_exam	2	Abnormal	
226plate102::abdom_exam	226plate102::abdom_exam	3	Not done	
226plate112::abdom_exam	226plate112::abdom_exam	0	:::UNDEF:::	
226plate112::abdom_exam	226plate112::abdom_exam	1	Normal	
226plate112::abdom_exam	226plate112::abdom_exam	2	Abnormal	
226plate112::abdom_exam	226plate112::abdom_exam	3	Not done	
226plate152::abdom_exam	226plate152::abdom_exam	0	:::UNDEF:::	
226plate152::abdom_exam	226plate152::abdom_exam	1	Normal	
226plate152::abdom_exam	226plate152::abdom_exam	2	Abnormal	
226plate152::abdom_exam	226plate152::abdom_exam	3	Not done	
226plate201::abdom_exam	226plate201::abdom_exam	.ND	Not done	
226plate201::abdom_exam	226plate201::abdom_exam	1	Normal	
226plate201::abdom_exam	226plate201::abdom_exam	2	Abnormal	
226plate201::abdom_exam	226plate201::abdom_exam	3	Not done	
226plate211::abdom_exam	226plate211::abdom_exam	0	:::UNDEF:::	
226plate211::abdom_exam	226plate211::abdom_exam	1	Normal	
226plate211::abdom_exam	226plate211::abdom_exam	2	Abnormal	
226plate211::abdom_exam	226plate211::abdom_exam	3	Not done	
226plate221::abdom_exam	226plate221::abdom_exam	1	Normal	
226plate221::abdom_exam	226plate221::abdom_exam	2	Abnormal	
226plate221::abdom_exam	226plate221::abdom_exam	3	Not done	
126plate023::abdom_examcmnt	EUPATH_0041083	 	:::UNDEF:::	
126plate313::abdom_examcmnt	EUPATH_0041083	ND	Not done	
226plate102::abdom_examcmnt	EUPATH_0041083	.ND	Not done	
126plate034::antimaladmin	126plate034::antimaladmin	1	Yes	
126plate034::antimaladmin	126plate034::antimaladmin	2	No	
126plate034::antimaladmin	126plate034::antimaladmin	3	Not applicable	
126plate304::bacinf_othcausefev	126plate304::bacinf_othcausefev	 	:::UNDEF:::	
126plate304::bacinf_othcausefev	126plate304::bacinf_othcausefev	0	:::UNDEF:::	
126plate304::bacinf_othcausefev	126plate304::bacinf_othcausefev	1	Yes	
126plate304::bacinf_othcausefev	126plate304::bacinf_othcausefev	2	No	
126plate304::bacinf_othcausefev	126plate304::bacinf_othcausefev	ND	:::UNDEF:::	
126plate314::bacinf_othcausefev	126plate314::bacinf_othcausefev	0	:::UNDEF:::	
126plate314::bacinf_othcausefev	126plate314::bacinf_othcausefev	1	Yes	
126plate314::bacinf_othcausefev	126plate314::bacinf_othcausefev	2	No	
126plate403::bacinf_othcausefev	126plate403::bacinf_othcausefev	0	:::UNDEF:::	
126plate403::bacinf_othcausefev	126plate403::bacinf_othcausefev	1	Yes	
126plate403::bacinf_othcausefev	126plate403::bacinf_othcausefev	2	No	
126plate414::bacinf_othcausefev	126plate414::bacinf_othcausefev	0	:::UNDEF:::	
126plate414::bacinf_othcausefev	126plate414::bacinf_othcausefev	1	Yes	
126plate414::bacinf_othcausefev	126plate414::bacinf_othcausefev	2	No	
226plate054::baso	226plate054::baso	.ND	:::UNDEF:::	
226plate084::baso	226plate084::baso	.ND	:::UNDEF:::	
226plate113::baso	226plate113::baso	.F	:::UNDEF:::	
226plate113::baso	226plate113::baso	.NA	:::UNDEF:::	
226plate113::baso	226plate113::baso	.ND	:::UNDEF:::	
226plate113::baso	226plate113::baso	.R	:::UNDEF:::	
226plate114::baso	226plate114::baso	.F	:::UNDEF:::	
226plate114::baso	226plate114::baso	.ND	:::UNDEF:::	
226plate153::baso	226plate153::baso	.F	:::UNDEF:::	
226plate153::baso	226plate153::baso	.ND	:::UNDEF:::	
226plate212::baso	226plate212::baso	.F	:::UNDEF:::	
226plate212::baso	226plate212::baso	.ND	:::UNDEF:::	
226plate054::basop	226plate054::basop	.ND	:::UNDEF:::	
226plate084::basop	226plate084::basop	.NA	:::UNDEF:::	
226plate084::basop	226plate084::basop	.ND	:::UNDEF:::	
226plate113::basop	226plate113::basop	.F	:::UNDEF:::	
226plate113::basop	226plate113::basop	.NA	:::UNDEF:::	
226plate113::basop	226plate113::basop	.ND	:::UNDEF:::	
226plate113::basop	226plate113::basop	.R	:::UNDEF:::	
226plate113::basop	226plate113::basop	.UNR	:::UNDEF:::	
226plate114::basop	226plate114::basop	.F	:::UNDEF:::	
226plate114::basop	226plate114::basop	.NA	:::UNDEF:::	
226plate114::basop	226plate114::basop	.ND	:::UNDEF:::	
226plate153::basop	226plate153::basop	.F	:::UNDEF:::	
226plate153::basop	226plate153::basop	.ND	:::UNDEF:::	
226plate212::basop	226plate212::basop	.F	:::UNDEF:::	
226plate212::basop	226plate212::basop	.ND	:::UNDEF:::	
226plate006::bloodpaper	226plate006::bloodpaper	1	Yes	
226plate014::bloodpaper	226plate014::bloodpaper	1	Yes	
226plate023::bloodpaper	226plate023::bloodpaper	0	:::UNDEF:::	
226plate023::bloodpaper	226plate023::bloodpaper	1	Yes	
226plate033::bloodpaper	226plate033::bloodpaper	0	:::UNDEF:::	
226plate033::bloodpaper	226plate033::bloodpaper	1	Yes	
226plate044::bloodpaper	226plate044::bloodpaper	0	:::UNDEF:::	
226plate044::bloodpaper	226plate044::bloodpaper	1	Yes	
226plate054::bloodpaper	226plate054::bloodpaper	0	:::UNDEF:::	
226plate054::bloodpaper	226plate054::bloodpaper	1	Yes	
226plate055::bloodpaper	226plate055::bloodpaper	1	Yes	
226plate084::bloodpaper	226plate084::bloodpaper	0	:::UNDEF:::	
226plate084::bloodpaper	226plate084::bloodpaper	1	Yes	
226plate103::bloodpaper	226plate103::bloodpaper	0	:::UNDEF:::	
226plate103::bloodpaper	226plate103::bloodpaper	1	Yes	
226plate113::bloodpaper	226plate113::bloodpaper	0	:::UNDEF:::	
226plate113::bloodpaper	226plate113::bloodpaper	1	Yes	
226plate114::bloodpaper	226plate114::bloodpaper	0	:::UNDEF:::	
226plate114::bloodpaper	226plate114::bloodpaper	1	Yes	
226plate119::bloodpaper	226plate119::bloodpaper	0	:::UNDEF:::	
226plate119::bloodpaper	226plate119::bloodpaper	1	Yes	
226plate119::bloodpaper	226plate119::bloodpaper	2	No	
226plate153::bloodpaper	226plate153::bloodpaper	0	:::UNDEF:::	
226plate153::bloodpaper	226plate153::bloodpaper	1	Yes	
226plate202::bloodpaper	226plate202::bloodpaper	1	Yes	
226plate212::bloodpaper	226plate212::bloodpaper	1	Yes	
226plate222::bloodpaper	226plate222::bloodpaper	0	:::UNDEF:::	
226plate222::bloodpaper	226plate222::bloodpaper	1	Yes	
226plate003::bloodurine	226plate003::bloodurine	1	Yes	
226plate003::bloodurine	226plate003::bloodurine	2	No	
226plate010::bloodurine	226plate010::bloodurine	1	Yes	
226plate010::bloodurine	226plate010::bloodurine	2	No	
226plate020::bloodurine	226plate020::bloodurine	0	:::UNDEF:::	
226plate020::bloodurine	226plate020::bloodurine	2	No	
226plate030::bloodurine	226plate030::bloodurine	2	No	
226plate040::bloodurine	226plate040::bloodurine	0	:::UNDEF:::	
226plate040::bloodurine	226plate040::bloodurine	1	Yes	
226plate040::bloodurine	226plate040::bloodurine	2	No	
226plate050::bloodurine	226plate050::bloodurine	1	Yes	
226plate050::bloodurine	226plate050::bloodurine	2	No	
226plate080::bloodurine	226plate080::bloodurine	0	:::UNDEF:::	
226plate080::bloodurine	226plate080::bloodurine	1	Yes	
226plate080::bloodurine	226plate080::bloodurine	2	No	
226plate100::bloodurine	226plate100::bloodurine	0	:::UNDEF:::	
226plate100::bloodurine	226plate100::bloodurine	1	Yes	
226plate100::bloodurine	226plate100::bloodurine	2	No	
226plate110::bloodurine	226plate110::bloodurine	0	:::UNDEF:::	
226plate110::bloodurine	226plate110::bloodurine	1	Yes	
226plate110::bloodurine	226plate110::bloodurine	2	No	
226plate150::bloodurine	226plate150::bloodurine	0	:::UNDEF:::	
226plate150::bloodurine	226plate150::bloodurine	2	No	
226plate200::bloodurine	226plate200::bloodurine	0	:::UNDEF:::	
226plate200::bloodurine	226plate200::bloodurine	1	Yes	
226plate200::bloodurine	226plate200::bloodurine	2	No	
226plate210::bloodurine	226plate210::bloodurine	0	:::UNDEF:::	
226plate210::bloodurine	226plate210::bloodurine	2	No	
226plate220::bloodurine	226plate220::bloodurine	0	:::UNDEF:::	
226plate220::bloodurine	226plate220::bloodurine	1	Yes	
226plate220::bloodurine	226plate220::bloodurine	2	No	
126plate304::bloodveni	126plate304::bloodveni	0	:::UNDEF:::	
126plate304::bloodveni	126plate304::bloodveni	1	Yes	
126plate304::bloodveni	126plate304::bloodveni	2	No	
126plate403::bloodveni	126plate403::bloodveni	0	:::UNDEF:::	
126plate403::bloodveni	126plate403::bloodveni	1	Yes	
126plate403::bloodveni	126plate403::bloodveni	2	No	
126plate403::bloodvol	126plate403::bloodvol	ND	:::UNDEF:::	
126plate024::blsmearperf	126plate024::blsmearperf	0	:::UNDEF:::	
126plate024::blsmearperf	126plate024::blsmearperf	1	Yes	
126plate024::blsmearperf	126plate024::blsmearperf	2	No	
126plate054::blsmearperf	126plate054::blsmearperf	0	:::UNDEF:::	
126plate054::blsmearperf	126plate054::blsmearperf	1	Yes	
126plate054::blsmearperf	126plate054::blsmearperf	2	No	
126plate300::bodyache	126plate300::bodyache	 	:::UNDEF:::	
126plate300::bodyache	126plate300::bodyache	0	:::UNDEF:::	
126plate300::bodyache	126plate300::bodyache	1	Yes	
126plate300::bodyache	126plate300::bodyache	2	No	
126plate300::bodyache	126plate300::bodyache	ND	:::UNDEF:::	
126plate003::cardiac_exam	126plate003::cardiac_exam	1	Normal	
126plate003::cardiac_exam	126plate003::cardiac_exam	2	Abnormal	
126plate023::cardiac_exam	126plate023::cardiac_exam	1	Normal	
126plate023::cardiac_exam	126plate023::cardiac_exam	2	Abnormal	
126plate033::cardiac_exam	126plate033::cardiac_exam	1	Normal	
126plate037::cardiac_exam	126plate037::cardiac_exam	0	:::UNDEF:::	
126plate037::cardiac_exam	126plate037::cardiac_exam	1	Normal	
126plate053::cardiac_exam	126plate053::cardiac_exam	1	Normal	
126plate053::cardiac_exam	126plate053::cardiac_exam	2	Abnormal	
126plate092::cardiac_exam	126plate092::cardiac_exam	1	Normal	
126plate303::cardiac_exam	126plate303::cardiac_exam	 	:::UNDEF:::	
126plate303::cardiac_exam	126plate303::cardiac_exam	0	:::UNDEF:::	
126plate303::cardiac_exam	126plate303::cardiac_exam	1	Normal	
126plate303::cardiac_exam	126plate303::cardiac_exam	2	Abnormal	
126plate313::cardiac_exam	126plate313::cardiac_exam	 	:::UNDEF:::	
126plate313::cardiac_exam	126plate313::cardiac_exam	0	:::UNDEF:::	
126plate313::cardiac_exam	126plate313::cardiac_exam	1	Normal	
126plate313::cardiac_exam	126plate313::cardiac_exam	2	Abnormal	
126plate313::cardiac_exam	126plate313::cardiac_exam	ND	Not done	
126plate402::cardiac_exam	126plate402::cardiac_exam	0	:::UNDEF:::	
126plate402::cardiac_exam	126plate402::cardiac_exam	1	Normal	
126plate402::cardiac_exam	126plate402::cardiac_exam	2	Abnormal	
126plate413::cardiac_exam	126plate413::cardiac_exam	0	:::UNDEF:::	
126plate413::cardiac_exam	126plate413::cardiac_exam	1	Normal	
126plate413::cardiac_exam	126plate413::cardiac_exam	2	Abnormal	
226plate004::cardiac_exam	226plate004::cardiac_exam	1	Normal	
226plate012::cardiac_exam	226plate012::cardiac_exam	1	Normal	
226plate022::cardiac_exam	226plate022::cardiac_exam	0	:::UNDEF:::	
226plate022::cardiac_exam	226plate022::cardiac_exam	1	Normal	
226plate032::cardiac_exam	226plate032::cardiac_exam	1	Normal	
226plate042::cardiac_exam	226plate042::cardiac_exam	0	:::UNDEF:::	
226plate042::cardiac_exam	226plate042::cardiac_exam	1	Normal	
226plate052::cardiac_exam	226plate052::cardiac_exam	1	Normal	
226plate082::cardiac_exam	226plate082::cardiac_exam	0	:::UNDEF:::	
226plate082::cardiac_exam	226plate082::cardiac_exam	1	Normal	
226plate082::cardiac_exam	226plate082::cardiac_exam	2	Abnormal	
226plate102::cardiac_exam	226plate102::cardiac_exam	0	:::UNDEF:::	
226plate102::cardiac_exam	226plate102::cardiac_exam	1	Normal	
226plate102::cardiac_exam	226plate102::cardiac_exam	3	Not done	
226plate112::cardiac_exam	226plate112::cardiac_exam	0	:::UNDEF:::	
226plate112::cardiac_exam	226plate112::cardiac_exam	1	Normal	
226plate112::cardiac_exam	226plate112::cardiac_exam	2	Abnormal	
226plate112::cardiac_exam	226plate112::cardiac_exam	3	Not done	
226plate152::cardiac_exam	226plate152::cardiac_exam	0	:::UNDEF:::	
226plate152::cardiac_exam	226plate152::cardiac_exam	1	Normal	
226plate201::cardiac_exam	226plate201::cardiac_exam	1	Normal	
226plate201::cardiac_exam	226plate201::cardiac_exam	2	Abnormal	
226plate211::cardiac_exam	226plate211::cardiac_exam	1	Normal	
226plate221::cardiac_exam	226plate221::cardiac_exam	1	Normal	
126plate023::cardiac_examcmnt	EUPATH_0041084	 	:::UNDEF:::	
126plate002::cardio	126plate002::cardio	2	No	
126plate021::cardio	126plate021::cardio	0	:::UNDEF:::	
126plate021::cardio	126plate021::cardio	2	No	
126plate031::cardio	126plate031::cardio	0	:::UNDEF:::	
126plate031::cardio	126plate031::cardio	1	Yes	
126plate031::cardio	126plate031::cardio	2	No	
126plate035::cardio	126plate035::cardio	0	:::UNDEF:::	
126plate035::cardio	126plate035::cardio	2	No	
126plate051::cardio	126plate051::cardio	2	No	
126plate090::cardio	126plate090::cardio	2	No	
126plate301::cardio	126plate301::cardio	0	:::UNDEF:::	
126plate301::cardio	126plate301::cardio	1	Yes	
126plate301::cardio	126plate301::cardio	2	No	
126plate311::cardio	126plate311::cardio	 	:::UNDEF:::	
126plate311::cardio	126plate311::cardio	0	:::UNDEF:::	
126plate311::cardio	126plate311::cardio	2	No	
126plate311::cardio	126plate311::cardio	ND	:::UNDEF:::	
126plate400::cardio	126plate400::cardio	0	:::UNDEF:::	
126plate400::cardio	126plate400::cardio	1	Yes	
126plate400::cardio	126plate400::cardio	2	No	
126plate411::cardio	126plate411::cardio	0	:::UNDEF:::	
126plate411::cardio	126plate411::cardio	1	Yes	
126plate411::cardio	126plate411::cardio	2	No	
126plate411::cardio	126plate411::cardio	ND	:::UNDEF:::	
226plate003::cardio	226plate003::cardio	2	No	
226plate010::cardio	226plate010::cardio	2	No	
226plate020::cardio	226plate020::cardio	0	:::UNDEF:::	
226plate020::cardio	226plate020::cardio	2	No	
226plate030::cardio	226plate030::cardio	2	No	
226plate040::cardio	226plate040::cardio	0	:::UNDEF:::	
226plate040::cardio	226plate040::cardio	2	No	
226plate050::cardio	226plate050::cardio	2	No	
226plate080::cardio	226plate080::cardio	0	:::UNDEF:::	
226plate080::cardio	226plate080::cardio	2	No	
226plate100::cardio	226plate100::cardio	0	:::UNDEF:::	
226plate100::cardio	226plate100::cardio	1	Yes	
226plate100::cardio	226plate100::cardio	2	No	
226plate110::cardio	226plate110::cardio	0	:::UNDEF:::	
226plate110::cardio	226plate110::cardio	1	Yes	
226plate110::cardio	226plate110::cardio	2	No	
226plate150::cardio	226plate150::cardio	0	:::UNDEF:::	
226plate150::cardio	226plate150::cardio	2	No	
226plate200::cardio	226plate200::cardio	0	:::UNDEF:::	
226plate200::cardio	226plate200::cardio	1	Yes	
226plate200::cardio	226plate200::cardio	2	No	
226plate210::cardio	226plate210::cardio	0	:::UNDEF:::	
226plate210::cardio	226plate210::cardio	1	Yes	
226plate210::cardio	226plate210::cardio	2	No	
226plate220::cardio	226plate220::cardio	0	:::UNDEF:::	
226plate220::cardio	226plate220::cardio	1	Yes	
226plate220::cardio	226plate220::cardio	2	No	
126plate301::cardio_end_dt	126plate301::cardio_end_dt	 	:::UNDEF:::	
126plate031::cardio_st_dt	126plate031::cardio_st_dt	 	:::UNDEF:::	
126plate301::cardio_st_dt	126plate301::cardio_st_dt	 	:::UNDEF:::	
126plate311::cardio_st_dt	126plate311::cardio_st_dt	 	:::UNDEF:::	
126plate031::cardiocmnt	EFO_0000319	 	:::UNDEF:::	
126plate021::cardioongoing	126plate021::cardioongoing	0	No	
126plate031::cardioongoing	126plate031::cardioongoing	0	No	
126plate031::cardioongoing	126plate031::cardioongoing	1	Yes	
126plate035::cardioongoing	126plate035::cardioongoing	0	No	
126plate051::cardioongoing	126plate051::cardioongoing	0	No	
126plate090::cardioongoing	126plate090::cardioongoing	0	No	
126plate301::cardioongoing	126plate301::cardioongoing	0	No	
126plate301::cardioongoing	126plate301::cardioongoing	1	Yes	
126plate311::cardioongoing	126plate311::cardioongoing	 	:::UNDEF:::	
126plate311::cardioongoing	126plate311::cardioongoing	0	No	
126plate311::cardioongoing	126plate311::cardioongoing	ND	:::UNDEF:::	
126plate400::cardioongoing	126plate400::cardioongoing	0	No	
126plate400::cardioongoing	126plate400::cardioongoing	1	Yes	
126plate411::cardioongoing	126plate411::cardioongoing	0	No	
226plate006::colcpt	226plate006::colcpt	1	Yes	
226plate014::colcpt	226plate014::colcpt	1	Yes	
226plate014::colcpt	226plate014::colcpt	3	Not applicable	
226plate044::colcpt	226plate044::colcpt	0	:::UNDEF:::	
226plate044::colcpt	226plate044::colcpt	1	Yes	
226plate054::colcpt	226plate054::colcpt	1	Yes	
226plate055::colcpt	226plate055::colcpt	1	Yes	
226plate084::colcpt	226plate084::colcpt	0	:::UNDEF:::	
226plate084::colcpt	226plate084::colcpt	1	Yes	
226plate103::colcpt	226plate103::colcpt	0	:::UNDEF:::	
226plate103::colcpt	226plate103::colcpt	1	Yes	
226plate103::colcpt	226plate103::colcpt	2	No	
226plate113::colcpt	226plate113::colcpt	.ND	:::UNDEF:::	
226plate113::colcpt	226plate113::colcpt	0	:::UNDEF:::	
226plate113::colcpt	226plate113::colcpt	1	Yes	
226plate113::colcpt	226plate113::colcpt	2	No	
226plate114::colcpt	226plate114::colcpt	0	:::UNDEF:::	
226plate114::colcpt	226plate114::colcpt	1	Yes	
226plate119::colcpt	226plate119::colcpt	0	:::UNDEF:::	
226plate119::colcpt	226plate119::colcpt	1	Yes	
226plate119::colcpt	226plate119::colcpt	2	No	
226plate119::colcpt	226plate119::colcpt	3	Not applicable	
226plate153::colcpt	226plate153::colcpt	0	:::UNDEF:::	
226plate153::colcpt	226plate153::colcpt	1	Yes	
226plate153::colcpt	226plate153::colcpt	2	No	
226plate153::colcpt	226plate153::colcpt	3	Not applicable	
226plate202::colcpt	226plate202::colcpt	0	:::UNDEF:::	
226plate202::colcpt	226plate202::colcpt	1	Yes	
226plate202::colcpt	226plate202::colcpt	2	No	
226plate212::colcpt	226plate212::colcpt	.ND	:::UNDEF:::	
226plate212::colcpt	226plate212::colcpt	0	:::UNDEF:::	
226plate212::colcpt	226plate212::colcpt	1	Yes	
226plate212::colcpt	226plate212::colcpt	2	No	
226plate212::colcpt	226plate212::colcpt	3	Not applicable	
226plate222::colcpt	226plate222::colcpt	0	:::UNDEF:::	
226plate222::colcpt	226plate222::colcpt	1	Yes	
226plate023::colcpt2	226plate023::colcpt2	0	:::UNDEF:::	
226plate023::colcpt2	226plate023::colcpt2	1	Yes	
226plate023::colcpt2	226plate023::colcpt2	2	No	
226plate033::colcpt2	226plate033::colcpt2	0	:::UNDEF:::	
226plate033::colcpt2	226plate033::colcpt2	1	Yes	
226plate113::colcpt2	226plate113::colcpt2	0	:::UNDEF:::	
226plate113::colcpt2	226plate113::colcpt2	1	Yes	
226plate006::colprick	226plate006::colprick	1	Yes	
226plate014::colprick	226plate014::colprick	1	Yes	
226plate023::colprick	226plate023::colprick	0	:::UNDEF:::	
226plate023::colprick	226plate023::colprick	1	Yes	
226plate033::colprick	226plate033::colprick	0	:::UNDEF:::	
226plate033::colprick	226plate033::colprick	1	Yes	
226plate044::colprick	226plate044::colprick	0	:::UNDEF:::	
226plate044::colprick	226plate044::colprick	1	Yes	
226plate054::colprick	226plate054::colprick	0	:::UNDEF:::	
226plate054::colprick	226plate054::colprick	1	Yes	
226plate055::colprick	226plate055::colprick	1	Yes	
226plate084::colprick	226plate084::colprick	0	:::UNDEF:::	
226plate084::colprick	226plate084::colprick	1	Yes	
226plate103::colprick	226plate103::colprick	0	:::UNDEF:::	
226plate103::colprick	226plate103::colprick	1	Yes	
226plate113::colprick	226plate113::colprick	0	:::UNDEF:::	
226plate113::colprick	226plate113::colprick	1	Yes	
226plate113::colprick	226plate113::colprick	2	No	
226plate114::colprick	226plate114::colprick	0	:::UNDEF:::	
226plate114::colprick	226plate114::colprick	1	Yes	
226plate119::colprick	226plate119::colprick	0	:::UNDEF:::	
226plate119::colprick	226plate119::colprick	1	Yes	
226plate119::colprick	226plate119::colprick	2	No	
226plate153::colprick	226plate153::colprick	0	:::UNDEF:::	
226plate153::colprick	226plate153::colprick	1	Yes	
226plate202::colprick	226plate202::colprick	1	Yes	
226plate212::colprick	226plate212::colprick	1	Yes	
226plate222::colprick	226plate222::colprick	0	:::UNDEF:::	
226plate222::colprick	226plate222::colprick	1	Yes	
226plate006::colstool	226plate006::colstool	0	:::UNDEF:::	
226plate006::colstool	226plate006::colstool	1	Yes	
226plate006::colstool	226plate006::colstool	2	No	
226plate014::colstool	226plate014::colstool	1	Yes	
226plate014::colstool	226plate014::colstool	2	No	
226plate054::colstool	226plate054::colstool	1	Yes	
226plate054::colstool	226plate054::colstool	3	Not applicable	
226plate055::colstool	226plate055::colstool	1	Yes	
226plate055::colstool	226plate055::colstool	3	Not applicable	
226plate084::colstool	226plate084::colstool	0	:::UNDEF:::	
226plate084::colstool	226plate084::colstool	1	Yes	
226plate084::colstool	226plate084::colstool	3	Not applicable	
226plate113::colstool	226plate113::colstool	.F	:::UNDEF:::	
226plate113::colstool	226plate113::colstool	0	:::UNDEF:::	
226plate113::colstool	226plate113::colstool	1	Yes	
226plate113::colstool	226plate113::colstool	2	No	
226plate113::colstool	226plate113::colstool	3	Not applicable	
226plate114::colstool	226plate114::colstool	0	:::UNDEF:::	
226plate114::colstool	226plate114::colstool	1	Yes	
226plate114::colstool	226plate114::colstool	3	Not applicable	
226plate153::colstool	226plate153::colstool	.F	:::UNDEF:::	
226plate153::colstool	226plate153::colstool	0	:::UNDEF:::	
226plate153::colstool	226plate153::colstool	1	Yes	
226plate153::colstool	226plate153::colstool	3	Not applicable	
226plate212::colstool	226plate212::colstool	0	:::UNDEF:::	
226plate212::colstool	226plate212::colstool	1	Yes	
226plate212::colstool	226plate212::colstool	2	No	
226plate212::colstool	226plate212::colstool	3	Not applicable	
226plate006::colurine	226plate006::colurine	1	Yes	
226plate014::colurine	226plate014::colurine	1	Yes	
226plate054::colurine	226plate054::colurine	1	Yes	
226plate054::colurine	226plate054::colurine	2	No	
226plate055::colurine	226plate055::colurine	1	Yes	
226plate084::colurine	226plate084::colurine	0	:::UNDEF:::	
226plate084::colurine	226plate084::colurine	1	Yes	
226plate119::colurine	226plate119::colurine	0	:::UNDEF:::	
226plate119::colurine	226plate119::colurine	1	Yes	
226plate119::colurine	226plate119::colurine	2	No	
126plate499::complete	126plate499::complete	1	Yes	
126plate499::complete	126plate499::complete	2	No	
226plate499::completestudy	226plate499::completestudy	1	Yes	
226plate499::completestudy	226plate499::completestudy	2	No	
126plate011::cpttube	126plate011::cpttube	1	Yes	
126plate024::cpttube	126plate024::cpttube	1	Yes	
126plate024::cpttube	126plate024::cpttube	2	No	
126plate034::cpttube	126plate034::cpttube	1	Yes	
126plate034::cpttube	126plate034::cpttube	3	Yes	
126plate038::cpttube	126plate038::cpttube	 	:::UNDEF:::	
126plate038::cpttube	126plate038::cpttube	0	:::UNDEF:::	
126plate038::cpttube	126plate038::cpttube	1	Yes	
126plate038::cpttube	126plate038::cpttube	3	:::UNDEF:::	
126plate038::cpttube	126plate038::cpttube	ND	Not done	
126plate093::cpttube	126plate093::cpttube	0	:::UNDEF:::	
