colOrder,variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag,variable_dataFile,uniqueVar
97,fever_cr,icemr_preliminarystudy_data_clean,,Fever with chill and rigor,,Participant,,Symptoms in last 2 months,Fever with chill and rigor,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 9,3,0.53854042,,fever_cr,icemr_preliminarystudy_data_clean::fever_cr
,,,,,,,,Household chores,,,category,need new term,,,,,,,,,,,,,,,,,,,,,,,,
64,forest,icemr_preliminarystudy_data_clean,,Trips to forest for household chores,,Participant,EUPATH_0022066,Activity,C6. Do household chores that involve trips to the forest (in last 3 months) (e.g,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 1,2,0,,forest,icemr_preliminarystudy_data_clean::forest
69,forest_dark,icemr_preliminarystudy_data_clean,,Trips to forest for household chores after dark,,Participant,EUPATH_0022066,Activity,After dark,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.633054179,,forest_dark,icemr_preliminarystudy_data_clean::forest_dark
68,forest_daytime,icemr_preliminarystudy_data_clean,,Trips to forest for household chores daytime,,Participant,EUPATH_0022066,Activity,Daytime,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.632883268,,forest_daytime,icemr_preliminarystudy_data_clean::forest_daytime
70,forest_duration,icemr_preliminarystudy_data_clean,,Duration of household chores in forest,,Participant,EUPATH_0022066,Activity,C6c. Duration of chores that involve trips to forest,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,1 to 3,3,0.632883268,,forest_duration,icemr_preliminarystudy_data_clean::forest_duration
65,forest_freq,icemr_preliminarystudy_data_clean,,Frequency of household chores in forest,,Participant,EUPATH_0022066,Activity,C6a. Frequency of chores that involve trips to forest,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,2,,,1 to 3,3,0.632883268,,forest_freq,icemr_preliminarystudy_data_clean::forest_freq
67,forest_morning,icemr_preliminarystudy_data_clean,,Trips to forest for household chores morning,,Participant,EUPATH_0022066,Activity,Morning,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 1,2,0.633054179,,forest_morning,icemr_preliminarystudy_data_clean::forest_morning
66,forest_sunrise,icemr_preliminarystudy_data_clean,,Trips to forest for household chores before sunrise,,Participant,EUPATH_0022066,Activity,Before sunrise,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.633054179,,forest_sunrise,icemr_preliminarystudy_data_clean::forest_sunrise
90,headache,icemr_preliminarystudy_data_clean,,Headache,,Participant,,Symptoms in last 2 months,Headache,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 9,3,0.53854042,,headache,icemr_preliminarystudy_data_clean::headache
106,hemoglobin,icemr_preliminarystudy_data_clean,EUPATH_0027005,Hemoglobin measurement performed,,Sample,,,Hemoglobin,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,1 to 1,1,0.53854042,,hemoglobin,icemr_preliminarystudy_data_clean::hemoglobin
108,hemoglobin_result,icemr_preliminarystudy_data_clean,EUPATH_0000047,Hemoglobin,,Sample,,,F5. Interviewer enters the result of Hemoglobin level (g/dl),,variable,NA,,,,,,Myanmar ICEMR,g/dL,UO_0000208,,,,,,,int,13,,,4 to 20,17,0.53854042,,hemoglobin_result,icemr_preliminarystudy_data_clean::hemoglobin_result
9,hospital,icemr_preliminarystudy_data_clean,,Station hospital or RHC,,Household,GAZ_00000448,Geographic location,Station Hospital/RHC,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,101,,,101 to 301,5,0,,hospital,icemr_preliminarystudy_data_clean::hospital
25,max_distance_day,icemr_preliminarystudy_data_clean,,Distance of travel per day,,Participant,EUPATH_0000340,Travel details,B2. How far is the greatest distance that you travel in a typical day?,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,1 to 4,4,0.53854042,,max_distance_day,icemr_preliminarystudy_data_clean::max_distance_day
26,max_distance_week,icemr_preliminarystudy_data_clean,,Distance of travel per week,,Participant,EUPATH_0000340,Travel details,B3. How far is the greatest distance that you travel in a typical week ?,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,2,,,1 to 4,4,0.53854042,,max_distance_week,icemr_preliminarystudy_data_clean::max_distance_week
43,mining,icemr_preliminarystudy_data_clean,,Mining in last 3 months,,Participant,EUPATH_0000342,Employment,C3. Work at mining areas (in last 3 months),,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0,,mining,icemr_preliminarystudy_data_clean::mining
48,mining_dark,icemr_preliminarystudy_data_clean,,Mining after dark,,Participant,EUPATH_0022066,Activity,After dark,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.977610665,,mining_dark,icemr_preliminarystudy_data_clean::mining_dark
47,mining_daytime,icemr_preliminarystudy_data_clean,,Mining daytime,,Participant,EUPATH_0022066,Activity,Daytime,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 1,2,0.977610665,,mining_daytime,icemr_preliminarystudy_data_clean::mining_daytime
49,mining_duration,icemr_preliminarystudy_data_clean,,Duration of mining,,Participant,EUPATH_0022066,Activity,C3c. Duration of working at mining areas,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,2,,,1 to 3,3,0.977610665,,mining_duration,icemr_preliminarystudy_data_clean::mining_duration
44,mining_freq,icemr_preliminarystudy_data_clean,,Mining frequency,,Participant,EUPATH_0022066,Activity,C3a. Frequency of working at mining areas,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,2,,,1 to 3,3,0.977610665,,mining_freq,icemr_preliminarystudy_data_clean::mining_freq
46,mining_morning,icemr_preliminarystudy_data_clean,,Mining morning,,Participant,EUPATH_0022066,Activity,Morning,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 1,2,0.977610665,,mining_morning,icemr_preliminarystudy_data_clean::mining_morning
45,mining_sunrise,icemr_preliminarystudy_data_clean,,Mining before sunrise,,Participant,EUPATH_0022066,Activity,Before sunrise,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.977610665,,mining_sunrise,icemr_preliminarystudy_data_clean::mining_sunrise
71,mosquito_net,icemr_preliminarystudy_data_clean,EUPATH_0024123,Bednets,,Participant,,,C7. Do you have a mosquito net?,,value??,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 1,2,0,,mosquito_net,icemr_preliminarystudy_data_clean::mosquito_net
74,mosquito_net_itn,icemr_preliminarystudy_data_clean,EUPATH_0021296,Use ITN,,Participant,,,Impregnated with insecticide (ITN),,value,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.017774739,,mosquito_net_itn,icemr_preliminarystudy_data_clean::mosquito_net_itn
73,mosquito_net_llin,icemr_preliminarystudy_data_clean,,use LLIN,,Participant,EUPATH_0021097,Personal vector intervention,LLIN,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 1,2,0.017262006,,mosquito_net_llin,icemr_preliminarystudy_data_clean::mosquito_net_llin
72,mosquito_net_ord,icemr_preliminarystudy_data_clean,,Ordinary net,,Participant,EUPATH_0021097,Personal vector intervention,Ordinary net,,value,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.017262006,,mosquito_net_ord,icemr_preliminarystudy_data_clean::mosquito_net_ord
76,mosquito_net_reg,icemr_preliminarystudy_data_clean,EUPATH_0029019,Bednet use frequency,,Participant,,,C7c. Do you use this mosquito net regularly (at least 4-5 nights per week)?,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 1,2,0.017262006,,mosquito_net_reg,icemr_preliminarystudy_data_clean::mosquito_net_reg
75,mosquito_net_sleep,icemr_preliminarystudy_data_clean,EUPATH_0025013,Bednet last night,,Participant,,,C7b. Did you sleep under this mosquito net last night?,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 1,2,0.017262006,,mosquito_net_sleep,icemr_preliminarystudy_data_clean::mosquito_net_sleep
92,nausea,icemr_preliminarystudy_data_clean,,Nausea,,Participant,,Symptoms in last 2 months,Nausea,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 9,3,0.53854042,,nausea,icemr_preliminarystudy_data_clean::nausea
15,occupation,icemr_preliminarystudy_data_clean,EUPATH_0000359,Occupation,,Participant,,,A5a. What is your main occupation?,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,3,,,1 to 13,12,0.53854042,,occupation,icemr_preliminarystudy_data_clean::occupation
14,occupation_type,icemr_preliminarystudy_data_clean,,Occupation location,,Participant,EUPATH_0000342,Employment,A5. Type of main occupation,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,1 to 2,2,0.53854042,,occupation_type,icemr_preliminarystudy_data_clean::occupation_type
77,outsiders_num,icemr_preliminarystudy_data_clean,,Village visitor count,,Household,EUPATH_0000304,Socioeconomic factors,D1. How many outsiders (not from your village) come into the village on a monthl,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,9,,,0 to 9,5,0.53854042,,outsiders_num,icemr_preliminarystudy_data_clean::outsiders_num
89,past_fever,icemr_preliminarystudy_data_clean,,Fever,,Participant,,Symptoms in last 2 months,"E1. In the past 2 months, have you had fever?",,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.53854042,,past_fever,icemr_preliminarystudy_data_clean::past_fever
36,plantations,icemr_preliminarystudy_data_clean,,Work on plantation in last 3 months,,Participant,EUPATH_0022066,Activity,C2. Work at plantations (in last 3 months),,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0,,plantations,icemr_preliminarystudy_data_clean::plantations
41,plantations_dark,icemr_preliminarystudy_data_clean,,Plantation after dark,,Participant,EUPATH_0022066,Activity,After dark,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.732182533,,plantations_dark,icemr_preliminarystudy_data_clean::plantations_dark
40,plantations_daytime,icemr_preliminarystudy_data_clean,,Plantation daytime,,Participant,EUPATH_0022066,Activity,Daytime,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 1,2,0.732353444,,plantations_daytime,icemr_preliminarystudy_data_clean::plantations_daytime
42,plantations_duration,icemr_preliminarystudy_data_clean,,Duration at plantation,,Participant,EUPATH_0022066,Activity,C2c. Duration of working at plantations,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,2,,,1 to 3,3,0.732182533,,plantations_duration,icemr_preliminarystudy_data_clean::plantations_duration
37,plantations_freq,icemr_preliminarystudy_data_clean,,Plantation frequency,,Participant,EUPATH_0022066,Activity,C2a. Frequency of working at plantations,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,2,,,1 to 3,3,0.732182533,,plantations_freq,icemr_preliminarystudy_data_clean::plantations_freq
39,plantations_morning,icemr_preliminarystudy_data_clean,,Plantation morning,,Participant,EUPATH_0022066,Activity,Morning,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 1,2,0.732182533,,plantations_morning,icemr_preliminarystudy_data_clean::plantations_morning
38,plantations_sunrise,icemr_preliminarystudy_data_clean,,Plantation before sunrise,,Participant,EUPATH_0022066,Activity,Before sunrise,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.732182533,,plantations_sunrise,icemr_preliminarystudy_data_clean::plantations_sunrise
5,positive,icemr_preliminarystudy_data_clean,,,,Sample?,EUPATH_0033308,Plasmodium in blood,"DERIVED: Malaria Positive (Pf,Pf,or Pf+Pv)",,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0,,positive,icemr_preliminarystudy_data_clean::positive
12,pregnant,icemr_preliminarystudy_data_clean,UBERON_0009097,Pregnant,,Participant,,,A3a. Are you pregnant?,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 7,3,0.800205093,,pregnant,icemr_preliminarystudy_data_clean::pregnant
98,prior_malaria_test,icemr_preliminarystudy_data_clean,,Malaria test performed in last 2 months,,Sample,EUPATH_0021130,Blood eukaryote testing,"E3. Other than today, in the past two months, did you receive a malaria test?",,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 9,3,0.53854042,,prior_malaria_test,icemr_preliminarystudy_data_clean::prior_malaria_test
100,prior_malaria_test_para,icemr_preliminarystudy_data_clean,,Plasmodium species,,Sample,,Malaria test performed in last 2 months,E5. What was the type of malaria parasite detected?,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,9,,,2 to 9,2,0.998803623,,prior_malaria_test_para,icemr_preliminarystudy_data_clean::prior_malaria_test_para
99,prior_malaria_test_result,icemr_preliminarystudy_data_clean,,Malaria test result,,Sample,,Malaria test performed in last 2 months,E4. What was the malaria test result?,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 9,3,0.965305076,,prior_malaria_test_result,icemr_preliminarystudy_data_clean::prior_malaria_test_result
28,rainy_frequent_travel_mode,icemr_preliminarystudy_data_clean,,Transport in village,,Participant,EUPATH_0000340,Travel details,B5. What mode of travel do you use most frequently to move around your village d,,variable,"need new term, maybe make a term ""mode of transport""? Under travel details? And put this under it?",,,,,,Myanmar ICEMR,,,,,,,,,int,3,,,1 to 10,5,0.53854042,,rainy_frequent_travel_mode,icemr_preliminarystudy_data_clean::rainy_frequent_travel_mode
21,rainy_travel_less,icemr_preliminarystudy_data_clean,,Travel in rainy season,,Participant,EUPATH_0000340,Travel details,B1d. Do you travel less during the rainy season?,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 1,2,0.633566912,,rainy_travel_less,icemr_preliminarystudy_data_clean::rainy_travel_less
50,refugee,icemr_preliminarystudy_data_clean,,Refugee camp in last 3 months,,Participant,EUPATH_0000340,Travel details,C4. Travel to refugee camps (in last 3 months),,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0,,refugee,icemr_preliminarystudy_data_clean::refugee
55,refugee_dark,icemr_preliminarystudy_data_clean,,Refugee camp visted after dark,,Participant,EUPATH_0022066,Activity,After dark,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.746709964,,refugee_dark,icemr_preliminarystudy_data_clean::refugee_dark
54,refugee_daytime,icemr_preliminarystudy_data_clean,,Refugee camp visted daytime,,Participant,EUPATH_0022066,Activity,Daytime,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 1,2,0.746880875,,refugee_daytime,icemr_preliminarystudy_data_clean::refugee_daytime
56,refugee_duration,icemr_preliminarystudy_data_clean,,Duration of travel to refugee camp,,Participant,EUPATH_0022066,Activity,C4c. Duration of travel to refugee camps,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,2,,,1 to 3,3,0.746709964,,refugee_duration,icemr_preliminarystudy_data_clean::refugee_duration
51,refugee_freq,icemr_preliminarystudy_data_clean,,Frequency of travel to refugee camp,,Participant,EUPATH_0022066,Activity,C4a. Frequency of travel to refugee camps,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,2,,,1 to 3,3,0.746709964,,refugee_freq,icemr_preliminarystudy_data_clean::refugee_freq
53,refugee_morning,icemr_preliminarystudy_data_clean,,Refugee camp visted morning,,Participant,EUPATH_0022066,Activity,Morning,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.746709964,,refugee_morning,icemr_preliminarystudy_data_clean::refugee_morning
52,refugee_sunrise,icemr_preliminarystudy_data_clean,,Refugee camp visted before sunrise,,Participant,EUPATH_0022066,Activity,Before sunrise,,value,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.746709964,,refugee_sunrise,icemr_preliminarystudy_data_clean::refugee_sunrise
13,residence,icemr_preliminarystudy_data_clean,,Resided at current location > 6 months,,Participant,,,"A4. Residence (Have you lived in this village for > 6 months?)
",,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 1,2,0.53854042,,residence,icemr_preliminarystudy_data_clean::residence
16,seasonal_occupation,icemr_preliminarystudy_data_clean,,Seasonal variation in occupation,,Participant,EUPATH_0000342,Employment,A5b. Does your main occupation vary seasonally in the past one year?,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.53854042,,seasonal_occupation,icemr_preliminarystudy_data_clean::seasonal_occupation
11,sex,icemr_preliminarystudy_data_clean,PATO_0000047,Sex,,Participant,,,A3. Sex,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,2,,,1 to 2,2,0.53854042,,sex,icemr_preliminarystudy_data_clean::sex
2,site,icemr_preliminarystudy_data_clean,EUPATH_0021094,Study site,,Household,,,Study Site,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,chr,DMR,,,"CHINA, DMR, DSMRC",3,0,,site,icemr_preliminarystudy_data_clean::site
7,state,icemr_preliminarystudy_data_clean,,State or region,,Household,,,State/Region,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,101,,,101 to 301,3,0.000341822,,state,icemr_preliminarystudy_data_clean::state
104,temp,icemr_preliminarystudy_data_clean,EUPATH_0000110,Temperature,,Participant,,,F2. Interview enters measured body temperature (degree C),,variable,NA,,,,,,Myanmar ICEMR,C,,,,,,,,int,38,,,35 to 40,6,0.000341822,,temp,icemr_preliminarystudy_data_clean::temp
8,township,icemr_preliminarystudy_data_clean,,Township,,Household,GAZ_00000448,Geographic location,Township,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,101,,,101 to 301,7,0,,township,icemr_preliminarystudy_data_clean::township
82,twp_outside,icemr_preliminarystudy_data_clean,,,,Participant,EUPATH_0000340,Travel details,D3. Have you traveled outside your township within your country during the last,,variable,NA,need full description,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 4,5,0.781404888,,twp_outside,icemr_preliminarystudy_data_clean::twp_outside
84,twp_outside_freq,icemr_preliminarystudy_data_clean,,Trips in last 6 months count,,Participant,EUPATH_0000340,Travel details,D3b. How many times have you traveled outside of your township in the past 6 mon,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 4,3,0.905998975,,twp_outside_freq,icemr_preliminarystudy_data_clean::twp_outside_freq
83,twp_outside_mode,icemr_preliminarystudy_data_clean,,Transport out of town,,Participant,EUPATH_0000340,Travel details,D3a. What mode of travel did you use most frequently to travel outside your town,,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,int,4,,,1 to 10,6,0.905998975,,twp_outside_mode,icemr_preliminarystudy_data_clean::twp_outside_mode
6,uspcr_result,icemr_preliminarystudy_data_clean,,"Plasmodium species, by usPCR",,Sample,EUPATH_0033308,Plasmodium in blood,usPCR Result (LAB),,variable,need new term,,,,,,Myanmar ICEMR,,,,,,,,,chr,Negative,,,"Negative, Pf, Pf + Pv, Pv",4,0,,uspcr_result,icemr_preliminarystudy_data_clean::uspcr_result
111,venous_blood,icemr_preliminarystudy_data_clean,EUPATH_0033146,Blood sample collected,,Sample,,,F7. Interviewer enters if venous blood was collected,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,0,,,0 to 1,2,0.53854042,,venous_blood,icemr_preliminarystudy_data_clean::venous_blood
78,vil_outside,icemr_preliminarystudy_data_clean,,Trips out of village and within township in last 6 months,,Participant,EUPATH_0000340,Travel details,D2. Have you traveled outside your village within your township during the last,,variable,NA,need full description,,,,,Myanmar ICEMR,,,,,,,,,int,4,,,0 to 6,7,0.53854042,,vil_outside,icemr_preliminarystudy_data_clean::vil_outside
80,vil_outside_freq,icemr_preliminarystudy_data_clean,,Trips out of village in last 6 months count,,Participant,,,D2b. How many times have you traveled outside your village in the past 6 months?,,variable,NA,,,,,,Myanmar ICEMR,,,,,,,,,int,1,,,0 to 3,4,0.811827038,,vil_outside_freq,icemr_preliminarystudy_data_clean::vil_outside_freq
79,vil_outside_mode,icemr_preliminarystudy_data_clean,,Transport out of village,,Participant,EUPATH_0000340,Travel details,D2a. What mode of travel did you use most frequently to travel outside your vill,,variable,new term needed,need full description,,,,,Myanmar ICEMR,,,,,,,,,int,3,,,1 to 10,5,0.811827038,,vil_outside_mode,icemr_preliminarystudy_data_clean::vil_outside_mode
