Term Ontology IRI	Term parent	PRISM data dictionary label (en)	PRISM Preferred Label (en)	Related Synonym
http://purl.obolibrary.org/obo/EUPATH_0000041	http://purl.obolibrary.org/obo/EUPATH_0000036	only parasite density > 500,000	only parasite density > 500,000	
no complicated malaria	http://purl.obolibrary.org/obo/EUPATH_0000036	no complicated malaria	no complicated malaria	http://purl.obolibrary.org/obo/EUPATH_0000038
http://purl.obolibrary.org/obo/EUPATH_0000042	http://purl.obolibrary.org/obo/EUPATH_0000036	only danger signs	only danger signs	
http://purl.obolibrary.org/obo/EUPATH_0000043	http://purl.obolibrary.org/obo/EUPATH_0000036	severe malaria	severe malaria	
http://purl.obolibrary.org/obo/SYMP_0000596	http://purl.obolibrary.org/obo/EUPATH_0000046	generalized convulsions	generalized convulsions	
http://purl.obolibrary.org/obo/SYMP_0000642	http://purl.obolibrary.org/obo/EUPATH_0000046	respiratory distress	respiratory distress	
http://purl.obolibrary.org/obo/EUPATH_0000215	http://purl.obolibrary.org/obo/EUPATH_0000046	severe anemia	severe anemia	
asymptomatic parasitemia	http://purl.obolibrary.org/obo/TEMP_00002	asymptomatic parasitemia	asymptomatic parasitemia	
blood smear not indicated	http://purl.obolibrary.org/obo/TEMP_00002	blood smear not indicated	blood smear not indicated	
blood smear should have been done	http://purl.obolibrary.org/obo/TEMP_00002	blood smear should have been done	blood smear should have been done	
malaria	http://purl.obolibrary.org/obo/TEMP_00002	malaria	malaria	
negative blood smear	http://purl.obolibrary.org/obo/TEMP_00002	negative blood smear	negative blood smear	
http://purl.obolibrary.org/obo/OBIB_0000036	http://purl.obolibrary.org/obo/OBI_0100051	buffy coat	buffy coat	
http://purl.obolibrary.org/obo/EUPATH_0000127	http://purl.obolibrary.org/obo/OBI_0100051	filter paper	filter paper	
http://purl.obolibrary.org/obo/EUPATH_0000128	http://purl.obolibrary.org/obo/OBI_0100051	pbmc	pbmc	
http://purl.obolibrary.org/obo/EUPATH_0000129	http://purl.obolibrary.org/obo/OBI_0100051	pellet	pellet	
http://purl.obolibrary.org/obo/OBI_0100016	http://purl.obolibrary.org/obo/OBI_0100051	plasma	plasma	
http://purl.obolibrary.org/obo/EUPATH_0000063	http://purl.obolibrary.org/obo/EUPATH_0000058	coartem (artemether-lumefantrine)	coartem (artemether-lumefantrine)	
http://purl.obolibrary.org/obo/DRON_00021246	http://purl.obolibrary.org/obo/EUPATH_0000058	chloroquine injection	chloroquine injection	
http://purl.obolibrary.org/obo/DRON_00021247	http://purl.obolibrary.org/obo/EUPATH_0000058	chloroquine tablets	chloroquine tablets	
complicated malaria <= 14 days since last treated with AL	http://purl.obolibrary.org/obo/TEMP_00001	complicated malaria <= 14 days since last treated with AL	complicated malaria <= 14 days since last treated with AL	
new complicated malaria treated with quinine	http://purl.obolibrary.org/obo/TEMP_00001	new complicated malaria treated with quinine	new complicated malaria treated with quinine	
new uncomplicated malaria treated with al	http://purl.obolibrary.org/obo/TEMP_00001	new uncomplicated malaria treated with al	new uncomplicated malaria treated with al	
no malaria	http://purl.obolibrary.org/obo/TEMP_00001	no malaria	no malaria	
uncomplicated malaria <= 14 days since last treated with al	http://purl.obolibrary.org/obo/TEMP_00001	uncomplicated malaria <= 14 days since last treated with al	uncomplicated malaria <= 14 days since last treated with al	
uncomplicated malaria in pregnancy treated with quinine	http://purl.obolibrary.org/obo/TEMP_00001	uncomplicated malaria in pregnancy treated with quinine	uncomplicated malaria in pregnancy treated with quinine	
