"IRI","label","Notes","variable","definition","parentIRI","parentLabel","category","replaces","ISA_Type","ISA_Parent","unitLabel","unitIRI"
"http://purl.obolibrary.org/obo/EUPATH_0005082","p_P1_I14_M13",,"p_P1_I14_M13",,"http://purl.obolibrary.org/obo/EUPATH_0005051","Parasite Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005083","p_P1_I14_M14",,"p_P1_I14_M14",,"http://purl.obolibrary.org/obo/EUPATH_0005051","Parasite Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005084","p_P1_I14_M3",,"p_P1_I14_M3",,"http://purl.obolibrary.org/obo/EUPATH_0005051","Parasite Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005085","p_P1_I14_M4",,"p_P1_I14_M4",,"http://purl.obolibrary.org/obo/EUPATH_0005051","Parasite Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005086","p_P1_I14_M5",,"p_P1_I14_M5",,"http://purl.obolibrary.org/obo/EUPATH_0005051","Parasite Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005087","p_P1_I14_M6",,"p_P1_I14_M6",,"http://purl.obolibrary.org/obo/EUPATH_0005051","Parasite Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005088","p_P1_I14_M7",,"p_P1_I14_M7",,"http://purl.obolibrary.org/obo/EUPATH_0005051","Parasite Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005089","p_P1_I14_M8",,"p_P1_I14_M8",,"http://purl.obolibrary.org/obo/EUPATH_0005051","Parasite Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005090","p_P1_I14_M9",,"p_P1_I14_M9",,"http://purl.obolibrary.org/obo/EUPATH_0005051","Parasite Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005091","p_P2_I5_M5",,"p_P2_I5_M5",,"http://purl.obolibrary.org/obo/EUPATH_0005051","Parasite Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005092","p_P2_I5_M9",,"p_P2_I5_M9",,"http://purl.obolibrary.org/obo/EUPATH_0005051","Parasite Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005093","p_P3_I6_M1",,"p_P3_I6_M1",,"http://purl.obolibrary.org/obo/EUPATH_0005051","Parasite Eigengene (wgcna)","Assay",,,,,
"http://purl.obolibrary.org/obo/EUPATH_0005094","p_P3_I6_M7",,"p_P3_I6_M7",,"http://purl.obolibrary.org/obo/EUPATH_0005051","Parasite Eigengene (wgcna)","Assay",,,,,
