variable,label,category,termType,IRI,parentLabel,parentIRI,definition,codebookDescription,codebookValues,displayOrder,replaces,dataSet,dataFile
anthro_2::floor,Floor material,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0000006,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,,,"0. Earth/dung,
1. Cement/concrete,
9. Missing/DK",,,WASH-b Kenya,anthro_2
diar::floor,Floor material,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0000006,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,,,"0. Earth/dung,
1. Concrete,
9. Missing/DK",,,WASH-b Kenya,diar
anthro_1::roof,Roof material type,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0025047,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,,,"0. Thatch/leaf,
1. Iron/other,
9. Missing/DK",,,WASH-b Kenya,anthro_1
anthro_2::roof,Roof material type,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0025047,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,,,"0. Thatch/leaf,
1. Iron/other,
9. Missing/DK",,,WASH-b Kenya,anthro_2
diar::roof,Roof material type,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0025047,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,,,"0. Thatch/leaf,
1. Iron/other,
9. Missing/DK",,,WASH-b Kenya,diar
anthro_1::walls,Wall material type,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0025167,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,,,"0. Bamboo/mud/cane,
1. Concrete,
9. Missing/DK",,,WASH-b Kenya,anthro_1
anthro_2::walls,Wall material type,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0025167,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,,,"0. Bamboo/mud/cane,
1. Concrete,
9. Missing/DK",,,WASH-b Kenya,anthro_2
diar::walls,Wall material type,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0025167,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,,,"0. Bamboo/mud/cane,
1. Concrete,
9. Missing/DK",,,WASH-b Kenya,diar
uptake_0::promoter,Promoter visit,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0037009,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,"Whether the household was visited by a local health promoter in the past month to encourage the family to adopt the new behaviors. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",,,,,WASH-b Kenya,uptake_0
uptake_1::promoter,Promoter visit,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0037009,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,"Whether the household was visited by a local health promoter in the past month to encourage the family to adopt the new behaviors. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",,,,,WASH-b Kenya,uptake_1
uptake_2::promoter,Promoter visit,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0037009,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,"Whether the household was visited by a local health promoter in the past month to encourage the family to adopt the new behaviors. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",,,,,WASH-b Kenya,uptake_2
,Waste disposal,Household,category,http://purl.obolibrary.org/obo/EUPATH_0000596,Dwelling facilities,http://purl.obolibrary.org/obo/EUPATH_0000302,,,NA,,,WASH-b Kenya,
tr::country,Country,Household,"variable, derived",http://purl.obolibrary.org/obo/ENVO_00000004,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,,Country,,,,WASH-b Kenya,tr
anthro_1::time,Household study timepoint,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0044122,Household,http://purl.obolibrary.org/obo/PCO_0000024,"Survey data on households were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline).If you would like to view only data from a particular timepoint for all variables, please make sure to select that timepoint for variables in three locations: 'Compound study timepoint' (under 'Compound'), 'Household study timepoint' (under 'Household') and 'Study timepoint' (under 'Observation').",,NA,,,WASH-b Kenya,anthro_1
anthro_2::time,Household study timepoint,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0044122,Household,http://purl.obolibrary.org/obo/PCO_0000024,"Survey data on households were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline).If you would like to view only data from a particular timepoint for all variables, please make sure to select that timepoint for variables in three locations: 'Compound study timepoint' (under 'Compound'), 'Household study timepoint' (under 'Household') and 'Study timepoint' (under 'Observation').",,NA,,,WASH-b Kenya,anthro_2
diar::time,Household study timepoint,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0044122,Household,http://purl.obolibrary.org/obo/PCO_0000024,"Survey data on households were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline).If you would like to view only data from a particular timepoint for all variables, please make sure to select that timepoint for variables in three locations: 'Compound study timepoint' (under 'Compound'), 'Household study timepoint' (under 'Household') and 'Study timepoint' (under 'Observation').",,NA,,,WASH-b Kenya,diar
uptake_0::time,Household study timepoint,Household,"variable, derived",http://purl.obolibrary.org/obo/EUPATH_0044122,Household,http://purl.obolibrary.org/obo/PCO_0000024,"Survey data on households were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline). If you would like to view only data from a particular timepoint for all variables, please make sure to select that timepoint for variables in three locations: 'Compound study timepoint' (under 'Compound'), 'Household study timepoint' (under 'Household') and 'Study timepoint' (under 'Observation').","Study timepoint (baseline,midline,endline)",,,,WASH-b Kenya,uptake_0
uptake_1::time,Household study timepoint,Household,"variable, derived",http://purl.obolibrary.org/obo/EUPATH_0044122,Household,http://purl.obolibrary.org/obo/PCO_0000024,"Survey data on households were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline). If you would like to view only data from a particular timepoint for all variables, please make sure to select that timepoint for variables in three locations: 'Compound study timepoint' (under 'Compound'), 'Household study timepoint' (under 'Household') and 'Study timepoint' (under 'Observation').","Study timepoint (baseline,midline,endline)",,,,WASH-b Kenya,uptake_1
uptake_2::time,Household study timepoint,Household,"variable, derived",http://purl.obolibrary.org/obo/EUPATH_0044122,Household,http://purl.obolibrary.org/obo/PCO_0000024,"Survey data on households were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline). If you would like to view only data from a particular timepoint for all variables, please make sure to select that timepoint for variables in three locations: 'Compound study timepoint' (under 'Compound'), 'Household study timepoint' (under 'Household') and 'Study timepoint' (under 'Observation').","Study timepoint (baseline,midline,endline)",,,,WASH-b Kenya,uptake_2
,Dwelling environment,Household,category,http://purl.obolibrary.org/obo/EUPATH_0010032,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,,,,,
,Dwelling characteristics,Household,category,http://purl.obolibrary.org/obo/EUPATH_0000303,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,NA,,,WASH-b Kenya,
,Dwelling facilities,Household,category,http://purl.obolibrary.org/obo/EUPATH_0000302,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,NA,,,WASH-b Kenya,
,Geographic location,Household,category,http://purl.obolibrary.org/obo/GAZ_00000448,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,NA,,,WASH-b Kenya,
,Household administrative information,Household,category,http://purl.obolibrary.org/obo/EUPATH_0020097,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,NA,,,WASH-b Kenya,
,Household water,Household,category,http://purl.obolibrary.org/obo/EUPATH_0000731,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,NA,,,WASH-b Kenya,
,Hygiene,Household,category,http://purl.obolibrary.org/obo/EUPATH_0000686,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,NA,,,WASH-b Kenya,
,Nutrition supplementation,Household,category,http://purl.obolibrary.org/obo/EUPATH_0035116,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,NA,,,WASH-b Kenya,
,Socioeconomic factors,Household,category,http://purl.obolibrary.org/obo/EUPATH_0000304,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,NA,,,WASH-b Kenya,
uptake_0::year_ms_bl_date,Household year,Household,"variable, derived",,Household administrative information,http://purl.obolibrary.org/obo/EUPATH_0020097,,,,,,,
uptake_1::year_ms_ml_up_date,Household year,Household,"variable, derived",,Household administrative information,http://purl.obolibrary.org/obo/EUPATH_0020097,,,,,,,
uptake_2::year_ms_el_up_date,Household year,Household,"variable, derived",,Household administrative information,http://purl.obolibrary.org/obo/EUPATH_0020097,,,,,,,
uptake_0::week_ms_bl_date,Household week,Household,"variable, derived",,Household administrative information,http://purl.obolibrary.org/obo/EUPATH_0020097,,,,,,,
uptake_1::week_ms_ml_up_date,Household week,Household,"variable, derived",,Household administrative information,http://purl.obolibrary.org/obo/EUPATH_0020097,,,,,,,
uptake_2::week_ms_el_up_date,Household week,Household,"variable, derived",,Household administrative information,http://purl.obolibrary.org/obo/EUPATH_0020097,,,,,,,
uptake_0::chlorine,Chlorine detected in stored drinking water,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0037011,Household water,http://purl.obolibrary.org/obo/EUPATH_0000731,"Whether stored drinking water had detectable free chlorine. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",,,,,WASH-b Kenya,uptake_0
uptake_1::chlorine,Chlorine detected in stored drinking water,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0037011,Household water,http://purl.obolibrary.org/obo/EUPATH_0000731,"Whether stored drinking water had detectable free chlorine. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",,,,,WASH-b Kenya,uptake_1
uptake_2::chlorine,Chlorine detected in stored drinking water,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0037011,Household water,http://purl.obolibrary.org/obo/EUPATH_0000731,"Whether stored drinking water had detectable free chlorine. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",,,,,WASH-b Kenya,uptake_2
anthro_1::water_time,Time to water source (min),Household,variable,http://purl.obolibrary.org/obo/EUPATH_0037013,Household water,http://purl.obolibrary.org/obo/EUPATH_0000731,"Distance (measured in minutes to walk one way) to the primary water source, regardless of whether it was for drinking, from the target child participant's home.",,,,,WASH-b Kenya,anthro_1
anthro_2::water_time,Time to water source (min),Household,variable,http://purl.obolibrary.org/obo/EUPATH_0037013,Household water,http://purl.obolibrary.org/obo/EUPATH_0000731,"Distance (measured in minutes to walk one way) to the primary water source, regardless of whether it was for drinking, from the target child participant's home.",,,,,WASH-b Kenya,anthro_2
diar::water_time,Time to water source (min),Household,variable,http://purl.obolibrary.org/obo/EUPATH_0037013,Household water,http://purl.obolibrary.org/obo/EUPATH_0000731,"Distance (measured in minutes to walk one way) to the primary water source, regardless of whether it was for drinking, from the target child participant's home.",,,,,WASH-b Kenya,diar
uptake_0::hws,Water and soap at hand washing location,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0037012,Hygiene,http://purl.obolibrary.org/obo/EUPATH_0000686,"Whether the household's hand washing station has water and soap. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",,,,,WASH-b Kenya,uptake_0
uptake_1::hws,Water and soap at hand washing location,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0037012,Hygiene,http://purl.obolibrary.org/obo/EUPATH_0000686,"Whether the household's hand washing station has water and soap. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",,,,,WASH-b Kenya,uptake_1
uptake_2::hws,Water and soap at hand washing location,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0037012,Hygiene,http://purl.obolibrary.org/obo/EUPATH_0000686,"Whether the household's hand washing station has water and soap. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",,,,,WASH-b Kenya,uptake_2
uptake_0::lns,LNS consumed,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0035027,Nutrition supplementation,http://purl.obolibrary.org/obo/EUPATH_0035116,"Number of lipid-based nutrient supplement (LNS) sachets consumed by the household per week. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",,,,,WASH-b Kenya,uptake_0
uptake_1::lns,LNS consumed,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0035027,Nutrition supplementation,http://purl.obolibrary.org/obo/EUPATH_0035116,"Number of lipid-based nutrient supplement (LNS) sachets consumed by the household per week. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",,,,,WASH-b Kenya,uptake_1
uptake_2::lns,LNS consumed,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0035027,Nutrition supplementation,http://purl.obolibrary.org/obo/EUPATH_0035116,"Number of lipid-based nutrient supplement (LNS) sachets consumed by the household per week. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",,,,,WASH-b Kenya,uptake_2
anthro_1::chicken,Chicken count,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0022197,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,"HOW MANY POULTRY (CHICKEN, DUCKS, PIGEONS, etc) BELONG TO YOUR HOUSEHOLD? IF NON",,,,WASH-b Kenya,anthro_1
anthro_2::chicken,Chicken count,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0022197,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,"HOW MANY POULTRY (CHICKEN, DUCKS, PIGEONS, etc) BELONG TO YOUR HOUSEHOLD? IF NON",,,,WASH-b Kenya,anthro_2
diar::chicken,Chicken count,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0022197,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,"HOW MANY POULTRY (CHICKEN, DUCKS, PIGEONS, etc) BELONG TO YOUR HOUSEHOLD? IF NON",,,,WASH-b Kenya,diar
anthro_1::cow,Cattle count,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0022195,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,"HOW MANY CATTLE BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don ",,,,WASH-b Kenya,anthro_1
anthro_2::cow,Cattle count,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0022195,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,"HOW MANY CATTLE BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don ",,,,WASH-b Kenya,anthro_2
diar::cow,Cattle count,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0022195,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,"HOW MANY CATTLE BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don ",,,,WASH-b Kenya,diar
anthro_1::dog,Dog count,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0037004,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,"HOW MANY DOGS BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don t ",,,,WASH-b Kenya,anthro_1
anthro_2::dog,Dog count,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0037004,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,"HOW MANY DOGS BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don t ",,,,WASH-b Kenya,anthro_2
diar::dog,Dog count,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0037004,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,"HOW MANY DOGS BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don t ",,,,WASH-b Kenya,diar
anthro_1::goat,Goat count,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0037005,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,"HOW MANY GOATS BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don t",,,,WASH-b Kenya,anthro_1
anthro_2::goat,Goat count,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0037005,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,"HOW MANY GOATS BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don t",,,,WASH-b Kenya,anthro_2
diar::goat,Goat count,Household,variable,http://purl.obolibrary.org/obo/EUPATH_0037005,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,"HOW MANY GOATS BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don t",,,,WASH-b Kenya,diar
anthro_1::Ncomp,"Persons living in compound, by household assessment",Household,variable,,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,"Total number of people that lived in the compound that the household belonged to. Assssed by each household at enrollment (baseline, when target children were in utero).",Total number of people in compound,,,,WASH-b Kenya,anthro_1
anthro_2::Ncomp,"Persons living in compound, by household assessment",Household,variable,,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,"Total number of people that lived in the compound that the household belonged to. Assssed by each household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",Total number of people in compound,,,,WASH-b Kenya,anthro_2
diar::Ncomp,"Persons living in compound, by household assessment",Household,variable,,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,"Total number of people that lived in the compound that the household belonged to. Assssed by each household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",Total number of people in compound,,,,WASH-b Kenya,diar
