colOrder,overallOrder,displayOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,newLabel,replaces
,,,uptake_0::time,uptake_0,http://purl.obolibrary.org/obo/EUPATH_0044122,Household study timepoint,"Survey data on households were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline). If you would like to view only data from a particular timepoint for all variables, please make sure to select that timepoint for variables in three locations: 'Compound study timepoint' (under 'Compound'), 'Household study timepoint' (under 'Household') and 'Study timepoint' (under 'Observation').",Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,"Study timepoint (baseline,midline,endline)",,"variable, derived",,,,,
,,,uptake_1::time,uptake_1,http://purl.obolibrary.org/obo/EUPATH_0044122,Household study timepoint,"Survey data on households were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline). If you would like to view only data from a particular timepoint for all variables, please make sure to select that timepoint for variables in three locations: 'Compound study timepoint' (under 'Compound'), 'Household study timepoint' (under 'Household') and 'Study timepoint' (under 'Observation').",Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,"Study timepoint (baseline,midline,endline)",,"variable, derived",,,,,
,,,uptake_2::time,uptake_2,http://purl.obolibrary.org/obo/EUPATH_0044122,Household study timepoint,"Survey data on households were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline). If you would like to view only data from a particular timepoint for all variables, please make sure to select that timepoint for variables in three locations: 'Compound study timepoint' (under 'Compound'), 'Household study timepoint' (under 'Household') and 'Study timepoint' (under 'Observation').",Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,"Study timepoint (baseline,midline,endline)",,"variable, derived",,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,category,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,NA,category,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,NA,category,,,,,
,,,,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,NA,category,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,NA,category,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,NA,category,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0000686,Hygiene,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,NA,category,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0035116,Nutrition supplementation,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,NA,category,,,,,
,,,,,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,NA,category,,,,,
,,,uptake_0::year_ms_bl_date,,http://purl.obolibrary.org/obo/EUPATH_0037015,Household year,,Household,Household administrative information,http://purl.obolibrary.org/obo/EUPATH_0020097,,,"variable, derived",,,,,
,,,uptake_1::year_ms_ml_up_date,,http://purl.obolibrary.org/obo/EUPATH_0037015,Household year,,Household,Household administrative information,http://purl.obolibrary.org/obo/EUPATH_0020097,,,"variable, derived",,,,,
,,,uptake_2::year_ms_el_up_date,,http://purl.obolibrary.org/obo/EUPATH_0037015,Household year,,Household,Household administrative information,http://purl.obolibrary.org/obo/EUPATH_0020097,,,"variable, derived",,,,,
,,,uptake_0::week_ms_bl_date,,http://purl.obolibrary.org/obo/EUPATH_0037016,Household week,,Household,Household administrative information,http://purl.obolibrary.org/obo/EUPATH_0020097,,,"variable, derived",,,,,
,,,uptake_1::week_ms_ml_up_date,,http://purl.obolibrary.org/obo/EUPATH_0037016,Household week,,Household,Household administrative information,http://purl.obolibrary.org/obo/EUPATH_0020097,,,"variable, derived",,,,,
,,,uptake_2::week_ms_el_up_date,,http://purl.obolibrary.org/obo/EUPATH_0037016,Household week,,Household,Household administrative information,http://purl.obolibrary.org/obo/EUPATH_0020097,,,"variable, derived",,,,,
,,,uptake_0::chlorine,uptake_0,http://purl.obolibrary.org/obo/EUPATH_0037011,Chlorine detected in stored drinking water,"Whether stored drinking water had detectable free chlorine. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",Household,Household water,http://purl.obolibrary.org/obo/EUPATH_0000731,,,variable,,,,,
,,,uptake_1::chlorine,uptake_1,http://purl.obolibrary.org/obo/EUPATH_0037011,Chlorine detected in stored drinking water,"Whether stored drinking water had detectable free chlorine. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",Household,Household water,http://purl.obolibrary.org/obo/EUPATH_0000731,,,variable,,,,,
,,,uptake_2::chlorine,uptake_2,http://purl.obolibrary.org/obo/EUPATH_0037011,Chlorine detected in stored drinking water,"Whether stored drinking water had detectable free chlorine. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",Household,Household water,http://purl.obolibrary.org/obo/EUPATH_0000731,,,variable,,,,,
,,,anthro_1::water_time,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0037013,Time to water source (min),"Distance (measured in minutes to walk one way) to the primary water source, regardless of whether it was for drinking, from the target child participant's home.",Household,Household water,http://purl.obolibrary.org/obo/EUPATH_0000731,,,variable,,,,,
,,,anthro_2::water_time,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0037013,Time to water source (min),"Distance (measured in minutes to walk one way) to the primary water source, regardless of whether it was for drinking, from the target child participant's home.",Household,Household water,http://purl.obolibrary.org/obo/EUPATH_0000731,,,variable,,,,,
,,,diar::water_time,diar,http://purl.obolibrary.org/obo/EUPATH_0037013,Time to water source (min),"Distance (measured in minutes to walk one way) to the primary water source, regardless of whether it was for drinking, from the target child participant's home.",Household,Household water,http://purl.obolibrary.org/obo/EUPATH_0000731,,,variable,,,,,
,,,uptake_0::hws,uptake_0,http://purl.obolibrary.org/obo/EUPATH_0037012,Water and soap at hand washing location,"Whether the household's hand washing station has water and soap. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",Household,Hygiene,http://purl.obolibrary.org/obo/EUPATH_0000686,,,variable,,,,,
,,,uptake_1::hws,uptake_1,http://purl.obolibrary.org/obo/EUPATH_0037012,Water and soap at hand washing location,"Whether the household's hand washing station has water and soap. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",Household,Hygiene,http://purl.obolibrary.org/obo/EUPATH_0000686,,,variable,,,,,
,,,uptake_2::hws,uptake_2,http://purl.obolibrary.org/obo/EUPATH_0037012,Water and soap at hand washing location,"Whether the household's hand washing station has water and soap. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",Household,Hygiene,http://purl.obolibrary.org/obo/EUPATH_0000686,,,variable,,,,,
,,,uptake_0::lns,uptake_0,http://purl.obolibrary.org/obo/EUPATH_0035027,LNS consumed,"Number of lipid-based nutrient supplement (LNS) sachets consumed by the household per week. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",Household,Nutrition supplementation,http://purl.obolibrary.org/obo/EUPATH_0035116,,,variable,,,,,
,,,uptake_1::lns,uptake_1,http://purl.obolibrary.org/obo/EUPATH_0035027,LNS consumed,"Number of lipid-based nutrient supplement (LNS) sachets consumed by the household per week. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",Household,Nutrition supplementation,http://purl.obolibrary.org/obo/EUPATH_0035116,,,variable,,,,,
,,,uptake_2::lns,uptake_2,http://purl.obolibrary.org/obo/EUPATH_0035027,LNS consumed,"Number of lipid-based nutrient supplement (LNS) sachets consumed by the household per week. Assessed for the household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",Household,Nutrition supplementation,http://purl.obolibrary.org/obo/EUPATH_0035116,,,variable,,,,,
,,,anthro_1::chicken,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0022197,Chicken count,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,"HOW MANY POULTRY (CHICKEN, DUCKS, PIGEONS, etc) BELONG TO YOUR HOUSEHOLD? IF NON",,variable,,,,,
,,,anthro_2::chicken,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0022197,Chicken count,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,"HOW MANY POULTRY (CHICKEN, DUCKS, PIGEONS, etc) BELONG TO YOUR HOUSEHOLD? IF NON",,variable,,,,,
,,,diar::chicken,diar,http://purl.obolibrary.org/obo/EUPATH_0022197,Chicken count,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,"HOW MANY POULTRY (CHICKEN, DUCKS, PIGEONS, etc) BELONG TO YOUR HOUSEHOLD? IF NON",,variable,,,,,
,,,anthro_1::cow,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0022195,Cattle count,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,"HOW MANY CATTLE BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don ",,variable,,,,,
,,,anthro_2::cow,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0022195,Cattle count,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,"HOW MANY CATTLE BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don ",,variable,,,,,
,,,diar::cow,diar,http://purl.obolibrary.org/obo/EUPATH_0022195,Cattle count,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,"HOW MANY CATTLE BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don ",,variable,,,,,
,,,anthro_1::dog,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0037004,Dog count,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,"HOW MANY DOGS BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don t ",,variable,,,,,
,,,anthro_2::dog,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0037004,Dog count,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,"HOW MANY DOGS BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don t ",,variable,,,,,
,,,diar::dog,diar,http://purl.obolibrary.org/obo/EUPATH_0037004,Dog count,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,"HOW MANY DOGS BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don t ",,variable,,,,,
,,,anthro_1::goat,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0037005,Goat count,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,"HOW MANY GOATS BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don t",,variable,,,,,
,,,anthro_2::goat,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0037005,Goat count,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,"HOW MANY GOATS BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don t",,variable,,,,,
,,,diar::goat,diar,http://purl.obolibrary.org/obo/EUPATH_0037005,Goat count,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,"HOW MANY GOATS BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don t",,variable,,,,,
,,,anthro_1::Ncomp,anthro_1,http://purl.obolibrary.org/obo/EUPATH_0037017,"Persons living in compound, by household assessment","Total number of people that lived in the compound that the household belonged to. Assssed by each household at enrollment (baseline, when target children were in utero).",Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,Total number of people in compound,,variable,,,,,
,,,anthro_2::Ncomp,anthro_2,http://purl.obolibrary.org/obo/EUPATH_0037017,"Persons living in compound, by household assessment","Total number of people that lived in the compound that the household belonged to. Assssed by each household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,Total number of people in compound,,variable,,,,,
,,,diar::Ncomp,diar,http://purl.obolibrary.org/obo/EUPATH_0037017,"Persons living in compound, by household assessment","Total number of people that lived in the compound that the household belonged to. Assssed by each household at enrollment (baseline, when target children were in utero), 1 year after intervention inititation (midline, when target children were 9-15 months of age) and 2 years after intervention initiation (endline, when target children were 18-27 months of age).",Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,Total number of people in compound,,variable,,,,,
