colOrder,overallOrder,display_Order,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,cookbookValues,termType,notesforOnt,notesforProvider,notesForDL
49,,,midline-anthro-public::bicycle,midline-anthro-public,http://purl.obolibrary.org/obo/ENVO_01000614,Bicycle,,Household,,,,"0. No bicycle,1. Has bicycle,9. Missing/DK",value,,,
1,,,blind-tr-public::block,blind-tr-public,http://purl.obolibrary.org/obo/EUPATH_0035026,Randomization block,,Household,,,Randomization block,,variable,,,
5,,,diar-public::block,diar-public,http://purl.obolibrary.org/obo/EUPATH_0035026,Randomization block,,Household,,,Randomization block,,variable,,,
1,,,tr-public::block,tr-public,http://purl.obolibrary.org/obo/EUPATH_0035026,Randomization block,,Household,,,Randomization block,,variable,,,
23,,,endline-anthro-public::bmiz06,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0035071,"BMI-for-age z-score, using median weight and median length or height",,Observation,,,BMI-for-age Z-score,,variable,,,
23,,,midline-anthro-public::bmiz06,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0035071,"BMI-for-age z-score, using median weight and median length or height",,Observation,,,BMI-for-age Z-score,,variable,,,
9,,,bruise-public::bruise2,bruise-public,http://purl.obolibrary.org/obo/EUPATH_0035108,"Bruising during the last 2 days, caregiver report",,Observation,,,,,variable,,,
10,,,bruise-public::bruise7,bruise-public,http://purl.obolibrary.org/obo/EUPATH_0035107,"Bruising during the last 7 days, caregiver report",,Observation,,,,,variable,,,
53,,,endline-anthro-public::car,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0000171,Car or truck,,Household,,,,"0. No car,1. Has car,9. Missing/DK",value,,,
53,,,midline-anthro-public::car,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0000171,Car or truck,,Household,,,,"0. No car,1. Has car,9. Missing/DK",value,,,
24,,,diar-public::chicken,diar-public,http://purl.obolibrary.org/obo/EUPATH_0022197,Chicken count,,Household,,,"HOW MANY POULTRY (CHICKEN, DUCKS, PIGEONS, etc) BELONG TO YOUR HOUSEHOLD?",,variable,,,
36,,,endline-anthro-public::chicken,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0022197,Chicken count,,Household,,,"HOW MANY POULTRY (CHICKEN, DUCKS, PIGEONS, etc) BELONG TO YOUR HOUSEHOLD?",,variable,,,
36,,,midline-anthro-public::chicken,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0022197,Chicken count,,Household,,,"HOW MANY POULTRY (CHICKEN, DUCKS, PIGEONS, etc) BELONG TO YOUR HOUSEHOLD?",,variable,,,
8,,,mortality-public::childdeath,mortality-public,http://purl.obolibrary.org/obo/EUPATH_0000671,Death information,,Participant,,,,,variable,,,
10,,,endline-anthro-public::childht,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0010075,Height (cm),,Observation,,,,,variable,,,
10,,,midline-anthro-public::childht,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0010075,Height (cm),,Observation,,,,,variable,,,
4,,,bruise-public::childid,bruise-public,http://purl.obolibrary.org/obo/EUPATH_0000095,Participant ID,,Participant,,,Child ID,,variable,,,
4,,,diar-public::childid,diar-public,http://purl.obolibrary.org/obo/EUPATH_0000095,Participant ID,,Participant,,,Child ID,,variable,,,
4,,,endline-anthro-public::childid,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0000095,Participant ID,,Participant,,,Child ID,,variable,,,
4,,,midline-anthro-public::childid,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0000095,Participant ID,,Participant,,,Child ID,,variable,,,
4,,,mortality-public::childid,mortality-public,http://purl.obolibrary.org/obo/EUPATH_0000095,Participant ID,,Participant,,,Child ID,,variable,,,
7,,,mortality-public::childtype,mortality-public,http://purl.obolibrary.org/obo/EUPATH_0035112,Target child or sibling/neighbor,,Participant,,,Child type,"1. Study Child,2. Study Child Twin,4. Comparison/Parasite Child,5. Secondary Child,6. Newborn into study",variable,,,
4,,,uptake-baseline-public::chlorine,uptake-baseline-public,http://purl.obolibrary.org/obo/EUPATH_0035090,Chlorine detected in stored drinking water,,Household,,,,,variable,,,
4,,,uptake-endline-public::chlorine,uptake-endline-public,http://purl.obolibrary.org/obo/EUPATH_0035090,Chlorine detected in stored drinking water,,Household,,,,,variable,,,
4,,,uptake-midline-public::chlorine,uptake-midline-public,http://purl.obolibrary.org/obo/EUPATH_0035090,Chlorine detected in stored drinking water,,Household,,,,,variable,,,
36,,,diar-public::clock,diar-public,http://purl.obolibrary.org/obo/ENVO_01000596,Clock,,Household,,,,"0. No clock,1. Has clock,9. Missing/DK",value,,,
48,,,endline-anthro-public::clock,endline-anthro-public,http://purl.obolibrary.org/obo/ENVO_01000596,Clock,,Household,,,,"0. No clock,1. Has clock,9. Missing/DK",value,,,
48,,,midline-anthro-public::clock,midline-anthro-public,http://purl.obolibrary.org/obo/ENVO_01000596,Clock,,Household,,,,"0. No clock,1. Has clock,9. Missing/DK",value,,,
2,,,blind-tr-public::clusterid,blind-tr-public,http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,,Household,,,Cluster ID,,variable,,,
1,,,bruise-public::clusterid,bruise-public,http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,,Household,,,Cluster ID,,variable,,,
1,,,diar-public::clusterid,diar-public,http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,,Household,,,Cluster ID,,variable,,,
1,,,endline-anthro-public::clusterid,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,,Household,,,Cluster ID,,variable,,,
1,,,midline-anthro-public::clusterid,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,,Household,,,Cluster ID,,variable,,,
1,,,mortality-public::clusterid,mortality-public,http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,,Household,,,Cluster ID,,variable,,,
2,,,tr-public::clusterid,tr-public,http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,,Household,,,Cluster ID,,variable,,,
1,,,tracking-public::clusterid,tracking-public,http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,,Household,,,Cluster ID,,variable,,,
1,,,uptake-baseline-public::clusterid,uptake-baseline-public,http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,,Household,,,Cluster ID,,variable,,,
1,,,uptake-endline-public::clusterid,uptake-endline-public,http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,,Household,,,Cluster ID,,variable,,,
1,,,uptake-midline-public::clusterid,uptake-midline-public,http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,,Household,,,Cluster ID,,variable,,,
2,,,bruise-public::compoundid,bruise-public,http://purl.obolibrary.org/obo/EUPATH_0035025,Compound ID,,Household,,,Compound ID,,variable,,,
2,,,diar-public::compoundid,diar-public,http://purl.obolibrary.org/obo/EUPATH_0035025,Compound ID,,Household,,,Compound ID,,variable,,,
2,,,endline-anthro-public::compoundid,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0035025,Compound ID,,Household,,,Compound ID,,variable,,,
2,,,midline-anthro-public::compoundid,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0035025,Compound ID,,Household,,,Compound ID,,variable,,,
2,,,mortality-public::compoundid,mortality-public,http://purl.obolibrary.org/obo/EUPATH_0035025,Compound ID,,Household,,,Compound ID,,variable,,,
3,,,tracking-public::compoundid,tracking-public,http://purl.obolibrary.org/obo/EUPATH_0035025,Compound ID,,Household,,,Compound ID,,variable,,,
40,,,diar-public::cooker,diar-public,http://purl.obolibrary.org/obo/EUPATH_0022008,Gas stove,,Household,,,,"0. No gas cooker,1. Has gas cooker,9. Missing/DK",value,,,
52,,,endline-anthro-public::cooker,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0022008,Gas stove,,Household,,,,"0. No gas cooker,1. Has gas cooker,9. Missing/DK",value,,,
52,,,midline-anthro-public::cooker,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0022008,Gas stove,,Household,,,,"0. No gas cooker,1. Has gas cooker,9. Missing/DK",value,,,
22,,,diar-public::cow,diar-public,http://purl.obolibrary.org/obo/EUPATH_0022195,Cattle count,,Household,,,HOW MANY CATTLE BELONG TO YOUR HOUSEHOLD?,,variable,,,
34,,,endline-anthro-public::cow,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0022195,Cattle count,,Household,,,HOW MANY CATTLE BELONG TO YOUR HOUSEHOLD?,,variable,,,
34,,,midline-anthro-public::cow,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0022195,Cattle count,,Household,,,HOW MANY CATTLE BELONG TO YOUR HOUSEHOLD?,,variable,,,
10,,,diar-public::diarr2,diar-public,http://purl.obolibrary.org/obo/EUPATH_0035098,"Diarrhea case during the last 2 days, caregiver report",,Observation,,,,,variable,,,
11,,,diar-public::diarr7,diar-public,http://purl.obolibrary.org/obo/EUPATH_0035097,"Diarrhea case during the last 7 days, caregiver report",,Observation,,,,,variable,,,
25,,,diar-public::dog,diar-public,,Dog count,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,HOW MANY DOGS BELONG TO YOUR HOUSEHOLD?,,value,,,
37,,,endline-anthro-public::dog,endline-anthro-public,,Dog count,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,HOW MANY DOGS BELONG TO YOUR HOUSEHOLD?,,value,,,
37,,,midline-anthro-public::dog,midline-anthro-public,,Dog count,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,HOW MANY DOGS BELONG TO YOUR HOUSEHOLD?,,value,,,
32,,,diar-public::elec,diar-public,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,,Household,,,,"0. No electricity,1. Has electricity,9. Missing/DK",value,,,
44,,,endline-anthro-public::elec,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,,Household,,,,"0. No electricity,1. Has electricity,9. Missing/DK",value,,,
44,,,midline-anthro-public::elec,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,,Household,,,,"0. No electricity,1. Has electricity,9. Missing/DK",value,,,
6,,,uptake-baseline-public::feces_disp,uptake-baseline-public,,,,Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,,,variable,,,
6,,,uptake-endline-public::feces_disp,uptake-endline-public,,,,Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,,,variable,,,
6,,,uptake-midline-public::feces_disp,uptake-midline-public,,,,Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,,,variable,,,
31,,,diar-public::floor,diar-public,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,,Household,,,,"0. Earth/dung,1. Concrete,9. Missing/DK",variable,,,
43,,,endline-anthro-public::floor,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,,Household,,,,"0. Earth/dung,1. Cement/concrete,9. Missing/DK",variable,,,
43,,,midline-anthro-public::floor,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,,Household,,,,"0. Earth/dung,1. Cement/concrete,9. Missing/DK",variable,,,
23,,,diar-public::goat,diar-public,,Goat count,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,HOW MANY GOATS BELONG TO YOUR HOUSEHOLD?,,variable,,,
35,,,endline-anthro-public::goat,endline-anthro-public,,Goat count,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,HOW MANY GOATS BELONG TO YOUR HOUSEHOLD?,,variable,,,
35,,,midline-anthro-public::goat,midline-anthro-public,,Goat count,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,HOW MANY GOATS BELONG TO YOUR HOUSEHOLD?,,variable,,,
20,,,endline-anthro-public::haz,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0035067,"Length- or height-for-age z-score, using median stature",,Observation,,,Length/height-for-age Z-score,,variable,,,
20,,,midline-anthro-public::haz,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0035067,"Length- or height-for-age z-score, using median stature",,Observation,,,Length/height-for-age Z-score,,variable,,,
31,,,endline-anthro-public::hcz,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0035075,"Head circumference-for-age z-score, using median circumference",,Observation,,,,,variable,,,
31,,,midline-anthro-public::hcz,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0035075,"Head circumference-for-age z-score, using median circumference",,Observation,,,,,variable,,,
11,,,endline-anthro-public::headc,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0000683,Head circumference (cm),,Observation,,,,,variable,,,
11,,,midline-anthro-public::headc,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0000683,Head circumference (cm),,Observation,,,,,variable,,,
3,,,bruise-public::hhid,bruise-public,http://purl.obolibrary.org/obo/EUPATH_0000094,Household ID,,Household,,,Household ID,,variable,,,
3,,,diar-public::hhid,diar-public,http://purl.obolibrary.org/obo/EUPATH_0000094,Household ID,,Household,,,Household ID,,variable,,,
3,,,endline-anthro-public::hhid,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0000094,Household ID,,Household,,,Household ID,,variable,,,
3,,,midline-anthro-public::hhid,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0000094,Household ID,,Household,,,Household ID,,variable,,,
3,,,mortality-public::hhid,mortality-public,http://purl.obolibrary.org/obo/EUPATH_0000094,Household ID,,Household,,,Household ID,,variable,,,
2,,,tracking-public::hhid,tracking-public,http://purl.obolibrary.org/obo/EUPATH_0000094,Household ID,,Household,,,Household ID,,variable,,,
2,,,uptake-baseline-public::hhid,uptake-baseline-public,http://purl.obolibrary.org/obo/EUPATH_0000094,Household ID,,Household,,,Household ID,,variable,,1.6,32
2,,,uptake-endline-public::hhid,uptake-endline-public,http://purl.obolibrary.org/obo/EUPATH_0000094,Household ID,,Household,,,Household ID,,variable,,,
43,,,diar-public::HHS,diar-public,,Hunger score,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,Hunger score,"1. Little to none,2. Moderate,3. Severe,9. Missing",variable,,,
55,,,endline-anthro-public::HHS,endline-anthro-public,,Hunger score,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,Hunger score,"1. Little to none,2. Moderate,3. Severe,9. Missing",variable,,,
55,,,midline-anthro-public::HHS,midline-anthro-public,,Hunger score,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,Hunger score,"1. Little to none,2. Moderate,3. Severe,9. Missing",variable,,,
7,,,uptake-baseline-public::hws,uptake-baseline-public,http://purl.obolibrary.org/obo/EUPATH_0035035,Soap at hand washing location,,Household,,,,,variable,,0.5,10
7,,,uptake-endline-public::hws,uptake-endline-public,http://purl.obolibrary.org/obo/EUPATH_0035035,Soap at hand washing location,,Household,,,,,variable,,,
7,,,uptake-midline-public::hws,uptake-midline-public,http://purl.obolibrary.org/obo/EUPATH_0035035,Soap at hand washing location,,Household,,,,,variable,,,
5,,,uptake-baseline-public::imp_lat,uptake-baseline-public,,Improved Latrine,,Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,,,variable,,,
5,,,uptake-endline-public::imp_lat,uptake-endline-public,,Improved Latrine,,Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,,,variable,,,
5,,,uptake-midline-public::imp_lat,uptake-midline-public,,Improved Latrine,,Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,,,variable,,,
8,,,uptake-baseline-public::lns,uptake-baseline-public,http://purl.obolibrary.org/obo/EUPATH_0035027,LNS consumed,,Household,,,,,variable,,,
8,,,uptake-endline-public::lns,uptake-endline-public,http://purl.obolibrary.org/obo/EUPATH_0035027,LNS consumed,,Household,,,,,variable,,,
8,,,uptake-midline-public::lns,uptake-midline-public,http://purl.obolibrary.org/obo/EUPATH_0035027,LNS consumed,,Household,,,,,variable,,,
35,,,diar-public::mobilephone,diar-public,http://purl.obolibrary.org/obo/ENVO_01000581,Mobile phone,,Household,,,,"0. No mobile phone,1. Any mobile phones,9. Missing/DK",value,,,
47,,,endline-anthro-public::mobilephone,endline-anthro-public,http://purl.obolibrary.org/obo/ENVO_01000581,Mobile phone,,Household,,,,"0. No mobile phone,1. Any mobile phones,9. Missing/DK",value,,,
47,,,midline-anthro-public::mobilephone,midline-anthro-public,http://purl.obolibrary.org/obo/ENVO_01000581,Mobile phone,,Household,,,,"0. No mobile phone,1. Any mobile phones,9. Missing/DK",value,,,
14,,,bruise-public::month,bruise-public,,,,Observation,,,,,variable,placeholder - waiting for clarification from provider,,
16,,,diar-public::month,diar-public,,,,Observation,,,,,variable,placeholder - waiting for clarification from provider,,
16,,,endline-anthro-public::month,endline-anthro-public,,,,Observation,,,,,variable,placeholder - waiting for clarification from provider,,
16,,,midline-anthro-public::month,midline-anthro-public,,,,Observation,,,,,variable,,,
26,,,diar-public::mother_age,diar-public,http://purl.obolibrary.org/obo/EUPATH_0035109,Mother's age (years),,Participant,,,,,variable,,,
38,,,endline-anthro-public::mother_age,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0035109,Mother's age (years),,Participant,,,,,variable,,,
38,,,midline-anthro-public::mother_age,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0035109,Mother's age (years),,Participant,,,,,variable,,,
27,,,diar-public::mother_edu,diar-public,http://purl.obolibrary.org/obo/EUPATH_0036220,Mother's education level,,Participant,,,,"0. Incomplete primary,1. Complete primary,2. Any secondary,9. Dont know",variable,,,
39,,,endline-anthro-public::mother_edu,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0036220,Mother's education level,,Participant,,,,"0. Incomplete primary,1. Complete primary,2. Any secondary,9. Don't know",variable,,,
39,,,midline-anthro-public::mother_edu,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0036220,Mother's education level,,Participant,,,,"0. Incomplete primary,1. Complete primary,2. Any secondary,9. Don't know",variable,,,
12,,,diar-public::motherht,diar-public,http://purl.obolibrary.org/obo/EUPATH_0035110,Median mother's height (cm),,Participant,,,,,variable,,,
12,,,endline-anthro-public::motherht,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0035110,Median mother's height (cm),,Participant,,,,,variable,,,
12,,,midline-anthro-public::motherht,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0035110,Median mother's height (cm),,Participant,,,,,variable,,,
38,,,diar-public::motorcycle,diar-public,http://purl.obolibrary.org/obo/ENVO_01000615,Motorcycle or scooter,,Household,,,,"0. No motorcycle,1. Has motorcycle,9. Missing/DK",value,,,
50,,,endline-anthro-public::motorcycle,endline-anthro-public,http://purl.obolibrary.org/obo/ENVO_01000615,Motorcycle or scooter,,Household,,,,"0. No motorcycle,1. Has motorcycle,9. Missing/DK",value,,,
50,,,midline-anthro-public::motorcycle,midline-anthro-public,http://purl.obolibrary.org/obo/ENVO_01000615,Motorcycle or scooter,,Household,,,,"0. No motorcycle,1. Has motorcycle,9. Missing/DK",value,,,
21,,,diar-public::Ncomp,diar-public,http://purl.obolibrary.org/obo/EUPATH_0035044,Persons living in compound,,Household,,,Total number of people in compound,,variable,,,
33,,,endline-anthro-public::Ncomp,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0035044,Persons living in compound,,Household,,,Total number of people in compound,,variable,,,
33,,,midline-anthro-public::Ncomp,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0035044,Persons living in compound,,Household,,,Total number of people in compound,,variable,,,
13,,,bruise-public::newbirth,bruise-public,http://purl.obolibrary.org/obo/EUPATH_0035115,Participant born after enrollment,,Participant,,,,,variable,,,
15,,,diar-public::newbirth,diar-public,http://purl.obolibrary.org/obo/EUPATH_0035115,Participant born after enrollment,,Participant,,,,,variable,,,
15,,,endline-anthro-public::newbirth,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0035115,Participant born after enrollment,,Participant,,,,,variable,,,
15,,,midline-anthro-public::newbirth,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0035115,Participant born after enrollment,,Participant,,,,,variable,,,
5,,,tracking-public::parasite_bl,tracking-public,,Parasite positive child at baseline,,Household,,,Household has baseline parasite child,"1. YES,2. NO",variable,,,
3,,,uptake-baseline-public::promoter,uptake-baseline-public,,Promoter Vist,,Household,,,,,variable,,,
3,,,uptake-endline-public::promoter,uptake-endline-public,,Promoter Vist,,Household,,,,,variable,,,
3,,,uptake-midline-public::promoter,uptake-midline-public,,Promoter Vist,,Household,,,,,variable,,,
33,,,diar-public::radio,diar-public,http://purl.obolibrary.org/obo/ENVO_01000577,Radio,,Household,,,,"0. No radio,1. Has radio,9. Missing/DK",value,,,
45,,,endline-anthro-public::radio,endline-anthro-public,http://purl.obolibrary.org/obo/ENVO_01000577,Radio,,Household,,,,"0. No radio,1. Has radio,9. Missing/DK",value,,,
45,,,midline-anthro-public::radio,midline-anthro-public,http://purl.obolibrary.org/obo/ENVO_01000577,Radio,,Household,,,,"0. No radio,1. Has radio,9. Missing/DK",value,,,
29,,,diar-public::roof,diar-public,http://purl.obolibrary.org/obo/EUPATH_0025047,Roof material type,,Household,,,,"0. Thatch/leaf,1. Iron/other,9. Missing/DK",variable,,,
41,,,endline-anthro-public::roof,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0025047,Roof material type,,Household,,,,"0. Thatch/leaf,1. Iron/other,9. Missing/DK",variable,,,
41,,,midline-anthro-public::roof,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0025047,Roof material type,,Household,,,,"0. Thatch/leaf,1. Iron/other,9. Missing/DK",variable,,,
11,,,bruise-public::sex,bruise-public,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,,,Sex,"0. Male,1. Female",variable,,,
13,,,diar-public::sex,diar-public,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,,,Sex,"0. Male,1. Female",variable,,,
13,,,endline-anthro-public::sex,endline-anthro-public,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,,,Sex,"0. Male,1. Female",variable,,,
13,,,midline-anthro-public::sex,midline-anthro-public,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,,,Sex,"0. Male,1. Female",variable,,,
25,,,endline-anthro-public::sstunted,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0035061,Severely stunted,,Observation,,,,,variable,,,
25,,,midline-anthro-public::sstunted,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0035061,Severely stunted,,Observation,,,,,variable,,,
39,,,diar-public::stove,diar-public,,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No stove,1. Has stove,9. Missing/DK",value,,,
51,,,endline-anthro-public::stove,endline-anthro-public,,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No stove,1. Has stove,9. Missing/DK",value,,,
51,,,midline-anthro-public::stove,midline-anthro-public,,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,,"0. No stove,1. Has stove,9. Missing/DK",value,,,
24,,,endline-anthro-public::stunted,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0035062,Stunted,,Observation,,,,,variable,,,
24,,,midline-anthro-public::stunted,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0035062,Stunted,,Observation,,,,,variable,,,
7,,,diar-public::targetchild,diar-public,http://purl.obolibrary.org/obo/EUPATH_0035112,Target child or sibling/neighbor,,Participant,,,,,variable,,,
8,,,endline-anthro-public::targetchild,endline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0035112,Target child or sibling/neighbor,,Participant,,,,,variable,,,
8,,,midline-anthro-public::targetchild,midline-anthro-public,http://purl.obolibrary.org/obo/EUPATH_0035112,Target child or sibling/neighbor,,Participant,,,,,variable,,,
3,,,blind-tr-public::tr,blind-tr-public,http://purl.obolibrary.org/obo/EUPATH_0035015,Scrambled intervention assignment,,Household,,,Randomized treatment assignment (scrambled/blinded!!),"1. Control,2. Water,3. Sanitation,4. Handwashing,5. WSH,6. Nutrition,7. Nutrition + WSH,8. Passive Control",variable,,,
8,,,diar-public::tr,diar-public,http://purl.obolibrary.org/obo/EUPATH_0035014,Intervention assignment,,Household,,,Randomized treatment assignment,"1. Control,2. Water,3. Sanitation,4. Handwashing,5. WSH,6. Nutrition,7. Nutrition + WSH,8. Passive Control",variable,,,
3,,,tr-public::tr,tr-public,http://purl.obolibrary.org/obo/EUPATH_0035014,Intervention assignment,,Household,,,Randomized treatment assignment,"1. Control,2. Water,3. Sanitation,4. Handwashing,5. WSH,6. Nutrition,7. Nutrition + WSH,8. Passive Control",variable,,,
34,,,diar-public::tv,diar-public,http://purl.obolibrary.org/obo/ENVO_01000579,Television,,Household,,,,"0. No TV,1. Owns TV,9. Missing/DK",value,,,
46,,,endline-anthro-public::tv,endline-anthro-public,http://purl.obolibrary.org/obo/ENVO_01000579,Television,,Household,,,,"0. No TV,1. Owns TV,9. Missing/DK",value,,,
46,,,midline-anthro-public::tv,midline-anthro-public,http://purl.obolibrary.org/obo/ENVO_01000579,Television,,Household,,,,"0. No TV,1. Owns TV,9. Missing/DK",value,,,
