colOrder,variable,dataFile,IRI,label,displayOrder,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt
15,cdc lt database::totalanopheles,cdc lt database,http://purl.obolibrary.org/obo/EUPATH_0000135,Female Anopheles count,3,Total number of female anopheles caught in light trap,Entomology,Anopheles results,http://purl.obolibrary.org/obo/EUPATH_0025053,Total number of female anopheles collected,,variable,
29,cdc lt database::gravidanoph,cdc lt database,http://purl.obolibrary.org/obo/EUPATH_0020086,Gravid/semigravid other Anopheles species count,5,,Entomology,Anopheles results,http://purl.obolibrary.org/obo/EUPATH_0025053,Total gravid/semigravid other An.,,variable,
18,cdc lt database::totalother,cdc lt database,http://purl.obolibrary.org/obo/EUPATH_0000200,Other female Anopheles species count,4,,Entomology,Anopheles results,http://purl.obolibrary.org/obo/EUPATH_0025053,Total number of other female An. collected,,variable,
30,cdc lt database::unableassessanoph,cdc lt database,http://purl.obolibrary.org/obo/EUPATH_0020188,Unable to assess other Anopheles species count,8,,Entomology,Anopheles results,http://purl.obolibrary.org/obo/EUPATH_0025053,Total other An. unable to assess,,variable,
28,cdc lt database::unfedanoph,cdc lt database,http://purl.obolibrary.org/obo/EUPATH_0020197,Unfed other Anopheles species count,7,,Entomology,Anopheles results,http://purl.obolibrary.org/obo/EUPATH_0025053,Total unfed other An.,,variable,
34,cdc lt database::culex,cdc lt database,http://purl.obolibrary.org/obo/EUPATH_0020210,Culex count,,,Entomology,Culex results,http://purl.obolibrary.org/obo/EUPATH_0025056,Number of Culex mosquitoes,,variable,
,,,http://purl.obolibrary.org/obo/EUPATH_0025056,Culex results,,,Entomology,Entomology,http://purl.obolibrary.org/obo/EUPATH_0000327,,,category,
,,,http://purl.obolibrary.org/obo/EUPATH_0025170,Entomology collection,,,Entomology,Entomology,http://purl.obolibrary.org/obo/EUPATH_0000327,,,category,
9,cdc lt database::date,cdc lt database,http://purl.obolibrary.org/obo/EUPATH_0020003,Collection date,1,,Entomology,Entomology collection,http://purl.obolibrary.org/obo/EUPATH_0025170,Date of LT collection,,variable,
11,cdc lt database::roomnumm,cdc lt database,http://purl.obolibrary.org/obo/EUPATH_0020178,Collection room number,2,,Entomology,Entomology collection,http://purl.obolibrary.org/obo/EUPATH_0025170,Room number trap set,,variable,
10,cdc lt database::week,cdc lt database,http://purl.obolibrary.org/obo/EUPATH_0028001,Collection week,3,,Entomology,Entomology collection,http://purl.obolibrary.org/obo/EUPATH_0025170,Study week of LT collection,,variable,
49,household survey household level data_final::bankacco,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0000167,Bank account,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does any member of your household own or have a  bank account?,,value,
39,household survey household level data_final::bed,household survey household level data_final,http://purl.obolibrary.org/obo/ENVO_00000501,Bed,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a bed?,,value,
44,household survey household level data_final::bicycle,household survey household level data_final,http://purl.obolibrary.org/obo/ENVO_01000614,Bicycle,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does any member of your household own or have a  bicycle?,,value,
47,household survey household level data_final::mboat,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0000179,Boat with a motor,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does any member of your household own or have a  boat with a motor?,,value,
48,household survey household level data_final::nomboat,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0000170,Boat without a motor,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does any member of your household own or have a  boat without a  motor?,,value,
46,household survey household level data_final::car,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0000171,Car or truck,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does any member of your household own or have a  car or truck?,,value,
33,household survey household level data_final::cassette,household survey household level data_final,http://purl.obolibrary.org/obo/ENVO_01000578,Cassette player,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a cassette player?,,value,
37,household survey household level data_final::chair,household survey household level data_final,http://purl.obolibrary.org/obo/ENVO_01000586,Chair,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have chairs?,,value,
41,household survey household level data_final::clock,household survey household level data_final,http://purl.obolibrary.org/obo/ENVO_01000596,Clock,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a clock?,,value,
40,household survey household level data_final::cupboard,household survey household level data_final,http://purl.obolibrary.org/obo/ENVO_01000595,Cupboard,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a cupboard?,,value,
55,household survey household level data_final::desktop,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0044107,Desktop computer,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Desktop,,value,
31,household survey household level data_final::electricity,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have electricity?,,value,
50,household survey household level data_final::internet,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0020205,Internet device,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does any member of your household own or have a  device that can be used to acce,,value,
54,household survey household level data_final::laptop,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0044108,Laptop computer,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Laptop,,value,
42,household survey household level data_final::mobile,household survey household level data_final,http://purl.obolibrary.org/obo/ENVO_01000581,Mobile phone,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does any member of your household own or have a mobile phone?,,value,
45,household survey household level data_final::scooter,household survey household level data_final,http://purl.obolibrary.org/obo/ENVO_01000615,Motorcycle or scooter,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does any member of your household own or have a  motorcycle or motor scooter?,,value,
32,household survey household level data_final::radio,household survey household level data_final,http://purl.obolibrary.org/obo/ENVO_01000577,Radio,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a radio?,,value,
35,household survey household level data_final::fridge,household survey household level data_final,http://purl.obolibrary.org/obo/ENVO_01000583,Refrigerator,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a refrigerator?,,value,
52,household survey household level data_final::smartphone,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0044109,Smartphone,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Smartphone/Phone,,value,
38,household survey household level data_final::sofa,household survey household level data_final,http://purl.obolibrary.org/obo/ENVO_01000588,Sofa,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a sofa set?,,value,
36,household survey household level data_final::tble,household survey household level data_final,http://purl.obolibrary.org/obo/ENVO_01000584,Table,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a table?,,value,
53,household survey household level data_final::tablet,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0044110,Tablet computer,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Tablet,,value,
34,household survey household level data_final::tv,household survey household level data_final,http://purl.obolibrary.org/obo/ENVO_01000579,Television,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does your household have a television?,,value,
43,household survey household level data_final::watch,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0000186,Watch,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,Does any member of your household own or have a watch?,,value,
86,household survey household level data_final::housetype,household survey household level data_final,http://purl.obolibrary.org/obo/ENVO_01000744,Dwelling type,1,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,Type of house construction,,variable,
26,household survey household level data_final::eaves,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0000015,Eaves,5,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,Type of eaves,,variable,
20,household survey household level data_final::mmfloor,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,2,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,Main floor material,,variable,
22,household survey household level data_final::mmroof,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,4,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,Main roof material,,variable,
30,household survey household level data_final::hhspaces,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0000201,Sleeping places count,7,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,How many sleeping spaces?,,variable,
29,household survey household level data_final::hhrooms,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0000025,Sleeping rooms in dwelling,8,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,How many rooms used for sleeping?,,variable,
27,household survey household level data_final::windows,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0020171,Sleeping rooms with windows,9,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,Household has windows,,variable,
24,household survey household level data_final::mmewalls,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0000009,Wall material,3,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,Exterior wall material,,variable,
28,household survey household level data_final::covered,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0020212,Windows covered,6,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,Windows covered,,variable,
76,household survey household level data_final::amchwker,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0020229,Community health worker has malaria medication,2,The community health worker currently has malaria medicines available,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,Does the community health worker have malaria medicines,,variable,
75,household survey household level data_final::ahwker,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0020230,Community health worker present,1,"A community health worker (community medicine distributor/CMD, village health team/VHT, community own resource person/CORP) distributes malaria medicines in the village or community",Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,Community health worker present,,variable,
66,household survey household level data_final::dhfcty,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0020213,Health facility distance,3,Distance to the nearest health facility,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,How far is it to the nearest health facility?,,variable,
67,household survey household level data_final::dhfctycat,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0020214,Health facility distance categorization,4,,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,Distance to nearest health facility categories,,variable,
59,household survey household level data_final::dmarkt,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0020215,Market distance,6,,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,How far is it to the nearest market place?,,variable,
68,household survey household level data_final::mthfcty,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0020217,Transit to health facility,5,Method of transit used to reach nearest health facility,Household,Dwelling environment,http://purl.obolibrary.org/obo/EUPATH_0010032,How would you go to health facility,,variable,
16,household survey household level data_final::fueltype,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0000023,Cooking fuel,1,,Household,Dwelling facilities,http://purl.obolibrary.org/obo/EUPATH_0000302,Fuel type used for cooking,,variable,
18,household survey household level data_final::senergy,household survey household level data_final,http://purl.obolibrary.org/obo/OBI_0400065,Lighting source,2,,Household,Dwelling facilities,http://purl.obolibrary.org/obo/EUPATH_0000302,Main lighting energy source,,variable,
,,,http://purl.obolibrary.org/obo/EUPATH_0000596,Waste disposal,3,,Household,Dwelling facilities,http://purl.obolibrary.org/obo/EUPATH_0000302,,,category,
,,,http://purl.obolibrary.org/obo/EUPATH_0025053,Anopheles results,,,Household,Entomology,http://purl.obolibrary.org/obo/EUPATH_0000327,,,category,
65,household survey household level data_final::hhpsf,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0000029,Food problems per week,,,Household,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,How often in the last year did you have problems in  satisfying the  food needs ,,variable,
60,household survey household level data_final::hhmeals,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0000027,Meals per day,,,Household,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,How many meals does your household usually have per day?,,variable,
61,household survey household level data_final::hhmealscat,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0020237,Meals per day categorization,,,Household,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,Number of meals per day,,variable,
62,household survey household level data_final::hhnumt,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0000028,Meat meals per week,,,Household,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,"In the past week, on how many days did the household eat meat?",,variable,
63,household survey household level data_final::hhnumtcat,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0020238,Meat meals per week categorization,,,Household,Food security,http://purl.obolibrary.org/obo/EUPATH_0011683,Number of days eating meat in the past week,,variable,
3,household survey household level data_final::parish,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0040014,Parish,2,,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,Parish,,variable,
2,household survey household level data_final::district,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0000054,Sub-county in Uganda,1,,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,District,,variable,
4,household survey household level data_final::village,household survey household level data_final,http://purl.obolibrary.org/obo/ENVO_01000773,Village,3,,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,Village,,variable,
,,,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,category,
,,,http://purl.obolibrary.org/obo/EUPATH_0010032,Dwelling environment,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,category,
,,,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,category,
,,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,category,
,,,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,category,
11,household survey household level data_final::surveydate,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0021085,Household data collection date,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,Date household survey done,,variable,
,,,http://purl.obolibrary.org/obo/EUPATH_0000341,Household vector intervention,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,category,
,,,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,category,
,,,http://purl.obolibrary.org/obo/EUPATH_0000304,Socioeconomic factors,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,category,
9,household survey household level data_final::ncohort,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0020247,Persons enrolled in study,,Number of people within the household enrolled in the study,Household,Household administrative information,http://purl.obolibrary.org/obo/EUPATH_0020097,Number of  people enrolled in cohort,,variable,
84,household survey household level data_final::adequatenets,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0020219,1 bednet per 2 people,5,,Household,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,At least 1 bednet per 2 persons,,variable,
85,household survey household level data_final::adequatellins,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0020220,1 long-lasting ITN per 2 people,9,,Household,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,At least 1 LLIN per 2 persons,,variable,
70,household survey household level data_final::pspray,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0020224,Asked permission for IRS in last 12 months,10,,Household,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,Asked permission to spray in past 12 months,,variable,
78,household survey household level data_final::anynet,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0020225,Bednet count,2,,Household,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,Number of bednets per household,,variable,
82,household survey household level data_final::netsperperson,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0020227,Bednets per person,3,,Household,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,Number of bednets per person,,variable,
74,household survey household level data_final::tspray,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0020231,Days since last fumigation,12,,Household,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,How many months ago was the dwelling last sprayed?,,variable,
77,household survey household level data_final::havenets,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0020232,Household bednets,1,Household has bednets,Household,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,Does your household have any mosquito nets,,variable,
79,household survey household level data_final::llin,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0000400,Long-lasting ITN bednet count,6,Asked when setting light traps at participant’s home,Household,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,Number of LLINs per household,"1 - Yes
0 - No              2- Unknown",variable,
81,household survey household level data_final::llincat,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0020234,Long-lasting ITN bednet count categorization,7,,Household,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,Catergories of number of LLINs per household,,variable,
83,household survey household level data_final::llinsperperson,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0020235,Long-lasting ITN per person,8,,Household,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,Number of LLINs per person,,variable,
80,household survey household level data_final::numundernet,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0044155,Persons sleeping under bednet,4,,Household,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,Number of cohort participants who slept under a net last night,,variable,
71,household survey household level data_final::gpspray,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0000441,Sprayed in the last 12 months,11,Insecticide residual spraying in last 12 months,Household,Household vector intervention,http://purl.obolibrary.org/obo/EUPATH_0000341,IRS in the last 12 months,,variable,
12,household survey household level data_final::swater,household survey household level data_final,http://purl.obolibrary.org/obo/ENVO_00003064,Drinking water source,,,Household,Household water,http://purl.obolibrary.org/obo/EUPATH_0000731,Main source of drinking water,,variable,
56,household survey household level data_final::numaland,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0000026,Acres,,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,How many acres of agricultural land do members of this household own?,,variable,
57,household survey household level data_final::numalandcat,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0020221,Acres categorization,,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,Acres of land owned categories,,variable,
,,,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,,multifilter,
,,,http://purl.obolibrary.org/obo/EUPATH_0011683,Food security,,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,,category,
8,household survey household level data_final::npeople,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house,,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,Number of household members,,variable,
,,,http://purl.obolibrary.org/obo/EUPATH_0011932,Socioeconomic status,,,Household,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304,,,category,
88,household survey household level data_final::wealthcat,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0000143,"Household wealth index, categorical",,,Household,Socioeconomic status,http://purl.obolibrary.org/obo/EUPATH_0011932,Wealth categories,,variable,
87,household survey household level data_final::wealthindex,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0000014,"Household wealth index, numerical",,,Household,Socioeconomic status,http://purl.obolibrary.org/obo/EUPATH_0011932,Wealth index (continuous),,variable,
14,household survey household level data_final::tfaclty,household survey household level data_final,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,,,Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,Toilet facility,,variable,
45,prism border cohort study expanded database::visitors,prism border cohort study expanded database,http://purl.obolibrary.org/obo/EUPATH_0028017,Overnight visitor since last visit,,,Observation,Activity,http://purl.obolibrary.org/obo/EUPATH_0022066,Any overnight visitors since last clinic visit,,variable,
47,prism border cohort study expanded database::height,prism border cohort study expanded database,http://purl.obolibrary.org/obo/EUPATH_0010075,Height (cm),,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Height in cm,,variable,
49,prism border cohort study expanded database::muac,prism border cohort study expanded database,http://purl.obolibrary.org/obo/EUPATH_0010084,MUAC (cm),,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Mid-upper arm circumference,,variable,
48,prism border cohort study expanded database::weight,prism border cohort study expanded database,http://purl.obolibrary.org/obo/EUPATH_0000732,Weight (kg),,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Weight in kg,,variable,
150,prism border cohort study expanded database::totalanopheles,prism border cohort study expanded database,http://purl.obolibrary.org/obo/EUPATH_0020122,Total female Anopheles count,,Total number of female anopheles caught in light trap,Observation,CDC light trap,http://purl.obolibrary.org/obo/OBI_0002926,Total number of female anopheles collected,,variable,
102,prism border cohort study expanded database::convulsions,prism border cohort study expanded database,http://purl.obolibrary.org/obo/EUPATH_0020006,1-2 convulsions over 24h,,,Observation,Complicated malaria signs,http://purl.obolibrary.org/obo/EUPATH_0020254,danger signs: 1-2 convulsions,"1-Yes
0-No",value,
106,prism border cohort study expanded database::lethargy,prism border cohort study expanded database,http://purl.obolibrary.org/obo/EUPATH_0020102,Lethargy,,,Observation,Complicated malaria signs,http://purl.obolibrary.org/obo/EUPATH_0020254,danger signs: lethargy,"1-Yes
0-No",value,
105,prism border cohort study expanded database::unabletodrink,prism border cohort study expanded database,http://purl.obolibrary.org/obo/EUPATH_0020191,Unable to breastfeed or drink,,,Observation,Complicated malaria signs,http://purl.obolibrary.org/obo/EUPATH_0020254,danger signs: unable to eat or drink anything,"1-Yes
0-No",value,
103,prism border cohort study expanded database::unabletosit,prism border cohort study expanded database,http://purl.obolibrary.org/obo/EUPATH_0020192,Unable to sit,,,Observation,Complicated malaria signs,http://purl.obolibrary.org/obo/EUPATH_0020254,danger signs: unable to sit up,"1-Yes
0-No",value,
104,prism border cohort study expanded database::vomitingc,prism border cohort study expanded database,http://purl.obolibrary.org/obo/EUPATH_0020202,Vomiting everything,,,Observation,Complicated malaria signs,http://purl.obolibrary.org/obo/EUPATH_0020254,danger signs: vomiting everything,"1-Yes
0-No",value,
98,prism border cohort study expanded database::anymalaria,prism border cohort study expanded database,http://purl.obolibrary.org/obo/EUPATH_0000090,Malaria diagnosis,,,Observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,Whether any malaria diagnosed,,variable,
100,prism border cohort study expanded database::malariafuday,prism border cohort study expanded database,http://purl.obolibrary.org/obo/EUPATH_0020236,Malaria follow up day,,,Observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,Malaria follow-up day,,variable,
99,prism border cohort study expanded database::incidentmalaria,prism border cohort study expanded database,http://purl.obolibrary.org/obo/EUPATH_0000036,Malaria-related diagnosis,,,Observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,Incident episode of malaria,,variable,
