codebookOrder,overallOrder,order,variable,dataset,label,IRI,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,notesForOnt
36,,,trich2b,Sm_XS,,,"Trichuris infection: Presence or Absence, Second specimen 'b' slide",Sample,,,Trichuris infection: Presence or Absence,"0=Negative, 1=Positive, .=Missing",
37,,,trich3a,Sm_XS,,,"Trichuris infection: Presence or Absence, Third specimen 'a' slide",Sample,,,Trichuris infection: Presence or Absence,"0=Negative, 1=Positive, .=Missing",
38,,,trich3b,Sm_XS,,,"Trichuris infection: Presence or Absence, Third specimen 'a' slide",Sample,,,Trichuris infection: Presence or Absence,"0=Negative, 1=Positive, .=Missing",
39,,,hook1a_count,Sm_XS,map all to one term,,"Number of hookworm eggs counted, First specimen 'a' slide",Sample,,,Number of hookworm eggs,.=Missing,
40,,,hook1b_count,Sm_XS,,,"Number of hookworm eggs counted, First specimen 'b' slide",Sample,,,Number of hookworm eggs,.=Missing,
41,,,hook2a_count,Sm_XS,,,"Number of hookworm eggs counted, Second specimen 'a' slide",Sample,,,Number of hookworm eggs,.=Missing,
42,,,hook2b_count,Sm_XS,,,"Number of hookworm eggs counted, Second specimen 'b' slide",Sample,,,Number of hookworm eggs,.=Missing,
43,,,hook3a_count,Sm_XS,,,"Number of hookworm eggs counted, Third specimen 'a' slide",Sample,,,Number of hookworm eggs,.=Missing,
44,,,hook3b_count,Sm_XS,,,"Number of hookworm eggs counted, Third specimen 'b' slide",Sample,,,Number of hookworm eggs,.=Missing,
45,,,asc1a_count,Sm_XS,map all to one term,,"Number of ascaris eggs counted, First specimen 'a' slide",Sample,,,Number of ascaris eggs,.=Missing,
46,,,asc1b_count,Sm_XS,,,"Number of ascaris eggs counted, First specimen 'b' slide",Sample,,,Number of ascaris eggs,.=Missing,
47,,,asc2a_count,Sm_XS,,,"Number of ascaris eggs counted, Second specimen 'a' slide",Sample,,,Number of ascaris eggs,.=Missing,
48,,,asc2b_count,Sm_XS,,,"Number of ascaris eggs counted, Second specimen 'b' slide",Sample,,,Number of ascaris eggs,.=Missing,
49,,,asc3a_count,Sm_XS,,,"Number of ascaris eggs counted, Third specimen 'a' slide",Sample,,,Number of ascaris eggs,.=Missing,
50,,,asc3b_count,Sm_XS,,,"Number of ascaris eggs counted, Third specimen 'b' slide",Sample,,,Number of ascaris eggs,.=Missing,
51,,,trich1a_count,Sm_XS,map all to one term,,"Number of trichuris eggs counted, First specimen 'a' slide",Sample,,,Number of trichuris eggs,.=Missing,
52,,,trich1b_count,Sm_XS,,,"Number of trichuris eggs counted, First specimen 'b' slide",Sample,,,Number of trichuris eggs,.=Missing,
53,,,trich2a_count,Sm_XS,,,"Number of trichuris eggs counted, Second specimen 'a' slide",Sample,,,Number of trichuris eggs,.=Missing,
54,,,trich2b_count,Sm_XS,,,"Number of trichuris eggs counted, Second specimen 'b' slide",Sample,,,Number of trichuris eggs,.=Missing,
55,,,trich3a_count,Sm_XS,,,"Number of trichuris eggs counted, Third specimen 'a' slide",Sample,,,Number of trichuris eggs,.=Missing,
56,,,trich3b_count,Sm_XS,,,"Number of trichuris eggs counted, Third specimen 'b' slide",Sample,,,Number of trichuris eggs,.=Missing,
57,,,Total_SAC,Sm_XS,,,,Household,,,Village level; # school-age children (SAC) in village,.=Missing,
58,,,SAC_Rxed,Sm_XS,,,,Household,,,Village level;# School Aged Children treated,.=Missing,
59,,,Percent_SAC_Rxed,Sm_XS,,,,Household,,,Village level; Percent SAC treated in village,,
60,,,Total_Pop,Sm_XS,,,,Household,,,Village level; Total population of village,,
61,,,Total_Pop_Rxed,Sm_XS,,,,Household,,,Village level; Total population treated,,
62,,,Percent_Total_Pop_Rxed,Sm_XS,,,,Household,,,Village level; Percent total population treated in village,,
63,,,Longitude,Sm_XS,Longitude (degrees),OBI_0001621,,Household,,,Village level; GPS coordinates (latitude and longitude) of schools for each village,,
64,,,Latitude,Sm_XS,Latitude (degrees),OBI_0001620,,Household,,,Village level; GPS coordinates (latitude and longitude) of schools for each village,,
,,,Specimen number,,Specimen number,,"First, Second, Third, derived variable",Sample,,,,,
,,,A or B Slide,,A or B slide,,A or B slide; derived variable,Sample,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
