colOrder,variable,dataFile,IRI,label,definition,category,codebookDescription,codebookValues,termType,parentIRI,parentLabel,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag
24,time_to_reach_fac,groupanc_kenyanigeria_combined_final,,Time to reach facility,,Observation,Time to reach facility,NA,,EUPATH_0000310,Observation details,NA,NA,NA,time_to_reach_fac,groupanc_kenyanigeria_combined_final::time_to_reach_fac,int,15,NA,NA,1 to 240,38,0.781460134,NA
25,marital_status,groupanc_kenyanigeria_combined_final,EUPATH_0000374,Marital status,,Participant,What is your current marital status?  [Ni ipi hadhi yako ya ndoa sasa hivi?],1 = Married [Olewa] | 2 = Single  not in union [simo mahusianoni] | 3 = Cohabiting [kuishi pamoja] | 4 = Separated/divorced [Tengana/ talikiwa] | 5 = Widowed [kufiwa] | 6 = Never married [sijawai kuolewa],,,,NA,NA,NA,marital_status,groupanc_kenyanigeria_combined_final::marital_status,int,1,NA,NA,1 to 6,6,0.781460134,NA
26,number_given_birth,groupanc_kenyanigeria_combined_final,,Number given birth,,Observation,Number given birth,NA,,ONTONEO_00000225,Obstetric history,NA,NA,NA,number_given_birth,groupanc_kenyanigeria_combined_final::number_given_birth,int,1,NA,NA,0 to 30,12,0.781460134,NA
27,group_visit_date,groupanc_kenyanigeria_combined_final,,Group visit date,,Observation,Group visit date,NA,,EUPATH_0000310,Observation details,NA,NA,NA,group_visit_date,groupanc_kenyanigeria_combined_final::group_visit_date,int,2016,NA,NA,2016 to 2017,2,0.87079731,NA
30,baseline_women_date,groupanc_kenyanigeria_combined_final,,Baseline date,,Observation,Baseline date,NA,,EUPATH_0000310,Observation details,NA,NA,NA,baseline_women_date,groupanc_kenyanigeria_combined_final::baseline_women_date,int,2016,date?,NA,2001 to 2018,5,0.827969901,NA
31,baseline_women_q1,groupanc_kenyanigeria_combined_final,,Given birth before,,Observation,1. Have you given birth before?  [Umewahi kujifungua hapo awali],1 = Yes [Ndio] | 2 = No [La],,ONTONEO_00000225,Obstetric history,NA,NA,NA,baseline_women_q1,groupanc_kenyanigeria_combined_final::baseline_women_q1,int,1,NA,NA,1 to 2,2,0.827969901,NA
32,baseline_women_q2,groupanc_kenyanigeria_combined_final,,Year of previous birth,,Observation,2. What was the date of your last birth?,NA,,ONTONEO_00000225,Obstetric history,NA,NA,NA,baseline_women_q2,groupanc_kenyanigeria_combined_final::baseline_women_q2,int,2015,date?,NA,1930 to 2028,21,0.885366635,NA
33,baseline_women_q3,groupanc_kenyanigeria_combined_final,,Attended antenatal care during last pregnancy,,Observation,3. Did you attend antenatal care during your last pregnancy?  [Kwenye ujauzito wako uliopita  ulihudhuria kliniki cha kuwapa wajawazito malezi?],1 = Yes | 2 = No,,Needs one,Antenatal care,Please place parent term under Pregnancy,NA,NA,baseline_women_q3,groupanc_kenyanigeria_combined_final::baseline_women_q3,int,1,NA,NA,1 to 2,2,0.885366635,NA
34,baseline_women_q4a,groupanc_kenyanigeria_combined_final,,Antenatal care during last pregnancy: greeted warmly,,Observation,a. I was greeted warmly  [Nilisalmiwa kwa furaha],1 = Agree [Nakubali] | 2 = Disagree [Nakataa] | 3 = Neither agree nor disagree [Sikubali wala kukataa],value,Needs one,Perceptions of antenatal care during last pregnancy,Please place parent term under Pregnancy. This would be  a multifilter,NA,NA,baseline_women_q4a,groupanc_kenyanigeria_combined_final::baseline_women_q4a,int,1,NA,NA,1 to 3,3,0.892331092,NA
35,baseline_women_q4b,groupanc_kenyanigeria_combined_final,,Antenatal care during last pregnancy: able to ask questions,,Observation,b. I was able to ask questions and they were answered in a way I understood  [Niliweza kuuliza maswali na yalijibiwa kwa namna niliyoelewa],1 = Agree [Nakubali] | 2 = Disagree [Nakataa] | 3 = Neither agree nor disagree [Sikubali wala kukataa],value,Needs one,Perceptions of antenatal care during last pregnancy,Please place parent term under Pregnancy,NA,NA,baseline_women_q4b,groupanc_kenyanigeria_combined_final::baseline_women_q4b,int,1,NA,NA,1 to 3,3,0.892411143,NA
36,baseline_women_q4c,groupanc_kenyanigeria_combined_final,,Antenatal care during last pregnancy: learned important information,,Observation,c. I learned important information about how to keep myself and my baby healthy  [Nilijifunza mambo muhimu namna ya kujitunza pamoja na mtoto wangu kuwa na Afya bora],1 = Agree [Nakubali] | 2 = Disagree [Nakataa] | 3 = Neither agree nor disagree [Sikubali wala kukataa],value,Needs one,Perceptions of antenatal care during last pregnancy,Please place parent term under Pregnancy,NA,NA,baseline_women_q4c,groupanc_kenyanigeria_combined_final::baseline_women_q4c,int,1,NA,NA,1 to 3,3,0.892491194,NA
37,baseline_women_q4d,groupanc_kenyanigeria_combined_final,,Antenatal care during last pregnancy: left with questions or confused,,Observation,d. I left antenatal care visits with questions or confused about some things  [Nilitoka kwenye kliniki cha wajawazito na maswali au utatanishi katika mambo mengine.],1 = Agree [Nakubali] | 2 = Disagree [Nakataa] | 3 = Neither agree nor disagree [Sikubali wala kukataa],value,Needs one,Perceptions of antenatal care during last pregnancy,Please place parent term under Pregnancy,NA,NA,baseline_women_q4d,groupanc_kenyanigeria_combined_final::baseline_women_q4d,int,2,NA,NA,1 to 3,3,0.892411143,NA
38,baseline_women_q4e,groupanc_kenyanigeria_combined_final,,Antenatal care during last pregnancy: provider not respectful,,Observation,e. The provider did not show me respect or act in respectful ways  [Mhudumu hakunipa heshima au kufanya vitu vilivyodhihirisha heshima.],1 = Agree [Nakubali] | 2 = Disagree [Nakataa] | 3 = Neither agree nor disagree [Sikubali wala kukataa],value,Needs one,Perceptions of antenatal care during last pregnancy,Please place parent term under Pregnancy,NA,NA,baseline_women_q4e,groupanc_kenyanigeria_combined_final::baseline_women_q4e,int,2,NA,NA,1 to 3,3,0.892411143,NA
39,baseline_women_q4f,groupanc_kenyanigeria_combined_final,,Antenatal care during last pregnancy: happy to get similar care in this pregnancy,,Observation,f. During this pregnancy I would be happy to receive care similar to what I received during my last pregnancy  [Kwa ujauzito wangu mwingine  nitafurahia kupata malezi sawia na niliyoyapata kwenye huu ujauzito uliopita.],1 = Agree [Nakubali] | 2 = Disagree [Nakataa] | 3 = Neither agree nor disagree [Sikubali wala kukataa],value,Needs one,Perceptions of antenatal care during last pregnancy,Please place parent term under Pregnancy,NA,NA,baseline_women_q4f,groupanc_kenyanigeria_combined_final::baseline_women_q4f,int,1,NA,NA,1 to 3,3,0.892491194,NA
40,baseline_women_q4g,groupanc_kenyanigeria_combined_final,,Antenatal care during last pregnancy: would recommend to friend,,Observation,g. I would recommend to a friend to go to the same place for antenatal care  [Ningependekezea rafiki kuenda mahali pale kwa malezi ya ujauzito.],1 = Agree [Nakubali] | 2 = Disagree [Nakataa] | 3 = Neither agree nor disagree [Sikubali wala kukataa],value,Needs one,Perceptions of antenatal care during last pregnancy,Please place parent term under Pregnancy,NA,NA,baseline_women_q4g,groupanc_kenyanigeria_combined_final::baseline_women_q4g,int,1,NA,NA,1 to 3,3,0.892491194,NA
41,baseline_women_q4h,groupanc_kenyanigeria_combined_final,,Antenatal care during last pregnancy: felt respected,,Observation,h. I felt respected  [Nilihisi nimeheshimiwa.],1 = Agree [Nakubali] | 2 = Disagree [Nakataa] | 3 = Neither agree nor disagree [Sikubali wala kukataa],value,Needs one,Perceptions of antenatal care during last pregnancy,Please place parent term under Pregnancy,NA,NA,baseline_women_q4h,groupanc_kenyanigeria_combined_final::baseline_women_q4h,int,1,NA,NA,1 to 3,3,0.892491194,NA
42,baseline_women_q4i,groupanc_kenyanigeria_combined_final,,Antenatal care during last pregnancy: enough time with provider,,Observation,i. I had enough time with my provider  [Nilipata muda wa kutosha na mhudumu wangu.],1 = Agree [Nakubali] | 2 = Disagree [Nakataa] | 3 = Neither agree nor disagree [Sikubali wala kukataa],value,Needs one,Perceptions of antenatal care during last pregnancy,Please place parent term under Pregnancy,NA,NA,baseline_women_q4i,groupanc_kenyanigeria_combined_final::baseline_women_q4i,int,1,NA,NA,1 to 3,3,0.892571246,NA
43,baseline_women_q4j,groupanc_kenyanigeria_combined_final,,Antenatal care during last pregnancy: very satisfied,,Observation,j. I am very satisfied with the antenatal care I received  [Niliridhika sana kwa malezi ya ujauzito niliyoyapokea.],1 = Agree [Nakubali] | 2 = Disagree [Nakataa] | 3 = Neither agree nor disagree [Sikubali wala kukataa],value,Needs one,Perceptions of antenatal care during last pregnancy,Please place parent term under Pregnancy,NA,NA,baseline_women_q4j,groupanc_kenyanigeria_combined_final::baseline_women_q4j,int,1,NA,NA,1 to 3,3,0.892491194,NA
44,baseline_women_q5,groupanc_kenyanigeria_combined_final,,Problems during previous pregnancies or deliveries? ,,Observation,5. Did you experience any problems during previous pregnancies or deliveries?  [Ulikumbwa na utata wowote wa kiafya katika ujauzito ziliopita au kujifungua?],1 = Yes [Ndio] | 2 = No [La] | 3 = Not sure/Dont remember [sina uhakika/ sikumbuki],,ONTONEO_00000225,Obstetric history,NA,NA,NA,baseline_women_q5,groupanc_kenyanigeria_combined_final::baseline_women_q5,int,2,NA,NA,1 to 3,3,0.885446686,NA
45,baseline_women_q6,groupanc_kenyanigeria_combined_final,EUPATH_0042219,Infant delivery location,Where did you deliver your last baby?,Observation,6. Where did you deliver your last baby?,1 = At home | 2 = At a health facility | 3 = In transit to a facility | 4 = Other,,,,NA,NA,NA,baseline_women_q6,groupanc_kenyanigeria_combined_final::baseline_women_q6,int,1,NA,NA,1 to 4,4,0.885446686,NA
46,baseline_women_q7,groupanc_kenyanigeria_combined_final,,Place where you intend to deliver baby,Where do you intend to deliver this baby?,Observation,7. Where do you intend to deliver this baby?,1 = At home | 2 = At a health facility | 3 = Not sure/Undecided | 4 = Other,,EUPATH_0042001,Labor and delivery,NA,NA,NA,baseline_women_q7,groupanc_kenyanigeria_combined_final::baseline_women_q7,int,2,NA,NA,1 to 4,4,0.828130003,NA
47,baseline_women_q8___1,groupanc_kenyanigeria_combined_final,,Contraception: Lactational Amenorrhea Method,Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant?,Observation,8. Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant? (choice=Lactational Amenorrhea Method (LAM)),0 = Unchecked | 1 = Checked,value,Needs one,Contraception before current pregnancy,"Would need a new term ""Contraception"" under Observation and then this term under contraception.",NA,NA,baseline_women_q8___1,groupanc_kenyanigeria_combined_final::baseline_women_q8___1,int,0,NA,NA,0 to 1,2,0.816362472,NA
48,baseline_women_q8___2,groupanc_kenyanigeria_combined_final,,Contraception: Standard days or rhythm method,Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant?,Observation,8. Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant? (choice=Standard days or rhythm method (cycle beads/calendar/billings method)),0 = Unchecked | 1 = Checked,value,Needs one,Contraception before current pregnancy,"Would need a new term ""Contraception"" under Observation and then this term under contraception.",NA,NA,baseline_women_q8___2,groupanc_kenyanigeria_combined_final::baseline_women_q8___2,int,0,NA,NA,0 to 1,2,0.816362472,NA
49,baseline_women_q8___3,groupanc_kenyanigeria_combined_final,,Contraception: Withdrawal,Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant?,Observation,8. Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant? (choice=Withdrawal),0 = Unchecked | 1 = Checked,value,Needs one,Contraception before current pregnancy,"Would need a new term ""Contraception"" under Observation and then this term under contraception.",NA,NA,baseline_women_q8___3,groupanc_kenyanigeria_combined_final::baseline_women_q8___3,int,0,NA,NA,0 to 1,2,0.816362472,NA
50,baseline_women_q8___4,groupanc_kenyanigeria_combined_final,,Contraception: Condoms,Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant?,Observation,8. Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant? (choice=Condoms),0 = Unchecked | 1 = Checked,value,Needs one,Contraception before current pregnancy,"Would need a new term ""Contraception"" under Observation and then this term under contraception.",NA,NA,baseline_women_q8___4,groupanc_kenyanigeria_combined_final::baseline_women_q8___4,int,0,NA,NA,0 to 1,2,0.816362472,NA
51,baseline_women_q8___5,groupanc_kenyanigeria_combined_final,,Contraception: Pills/Oral contraceptives,Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant?,Observation,8. Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant? (choice=Pills/Oral contraceptives),0 = Unchecked | 1 = Checked,value,Needs one,Contraception before current pregnancy,"Would need a new term ""Contraception"" under Observation and then this term under contraception.",NA,NA,baseline_women_q8___5,groupanc_kenyanigeria_combined_final::baseline_women_q8___5,int,0,NA,NA,0 to 1,2,0.816362472,NA
52,baseline_women_q8___6,groupanc_kenyanigeria_combined_final,,Contraception: Injectable,Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant?,Observation,8. Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant? (choice=Injectable),0 = Unchecked | 1 = Checked,value,Needs one,Contraception before current pregnancy,"Would need a new term ""Contraception"" under Observation and then this term under contraception.",NA,NA,baseline_women_q8___6,groupanc_kenyanigeria_combined_final::baseline_women_q8___6,int,0,NA,NA,0 to 1,2,0.816362472,NA
53,baseline_women_q8___7,groupanc_kenyanigeria_combined_final,,Contraception: Implants,Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant?,Observation,8. Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant? (choice=Implants),0 = Unchecked | 1 = Checked,value,Needs one,Contraception before current pregnancy,"Would need a new term ""Contraception"" under Observation and then this term under contraception.",NA,NA,baseline_women_q8___7,groupanc_kenyanigeria_combined_final::baseline_women_q8___7,int,0,NA,NA,0 to 1,2,0.816362472,NA
54,baseline_women_q8___8,groupanc_kenyanigeria_combined_final,,Contraception: IUD,Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant?,Observation,8. Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant? (choice=IUD),0 = Unchecked | 1 = Checked,value,Needs one,Contraception before current pregnancy,"Would need a new term ""Contraception"" under Observation and then this term under contraception.",NA,NA,baseline_women_q8___8,groupanc_kenyanigeria_combined_final::baseline_women_q8___8,int,0,NA,NA,0 to 1,2,0.816362472,NA
55,baseline_women_q8___9,groupanc_kenyanigeria_combined_final,,Contraception: Emergency contraception,Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant?,Observation,8. Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant? (choice=Emergency contraception),0 = Unchecked | 1 = Checked,value,Needs one,Contraception before current pregnancy,"Would need a new term ""Contraception"" under Observation and then this term under contraception.",NA,NA,baseline_women_q8___9,groupanc_kenyanigeria_combined_final::baseline_women_q8___9,int,0,NA,NA,0 to 1,2,0.816362472,NA
56,baseline_women_q8___11,groupanc_kenyanigeria_combined_final,,Contraception: Other,Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant?,Observation,8. Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant? (choice=Other),0 = Unchecked | 1 = Checked,value,Needs one,Contraception before current pregnancy,"Would need a new term ""Contraception"" under Observation and then this term under contraception.",NA,NA,baseline_women_q8___11,groupanc_kenyanigeria_combined_final::baseline_women_q8___11,int,0,NA,NA,0 to 1,2,0.816362472,NA
57,baseline_women_q8___12,groupanc_kenyanigeria_combined_final,,Contraception: None,Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant?,Observation,8. Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant? (choice=None),0 = Unchecked | 1 = Checked,value,Needs one,Contraception before current pregnancy,"Would need a new term ""Contraception"" under Observation and then this term under contraception.",NA,NA,baseline_women_q8___12,groupanc_kenyanigeria_combined_final::baseline_women_q8___12,int,1,NA,NA,0 to 1,2,0.816362472,NA
58,baseline_women_q9,groupanc_kenyanigeria_combined_final,,Contraception decision: your (husbands/partners) decision  or did you both decide together,,Observation,9. Would you say that in the past  using contraception is mainly your decision  mainly your (husbands/partners) decision  or did you both decide together,1 = Mainly respondent | 2 = Mainly husband/partner | 3 = Joint decision | 4 = Other,,Needs one,Contraception,Would need this term under Observation,NA,NA,baseline_women_q9,groupanc_kenyanigeria_combined_final::baseline_women_q9,int,3,NA,NA,1 to 4,4,0.828290106,NA
59,baseline_women_q10,groupanc_kenyanigeria_combined_final,,Delay pregnancy,If it was up to you  after you have this baby  would you want to delay getting pregnant again right away?,Observation,10. If it was up to you  after you have this baby  would you want to delay getting pregnant again right away?,1 = Yes | 2 = No | 3 = Not sure/undecided,,Needs one,Contraception,Would need this term under Observation,NA,NA,baseline_women_q10,groupanc_kenyanigeria_combined_final::baseline_women_q10,int,1,NA,NA,1 to 3,3,0.828049952,NA
60,baseline_women_q11,groupanc_kenyanigeria_combined_final,,Advantages to spacing pregnancies,,Observation,11. Do you think there are advantages to spacing pregnancies apart?,1 = Yes | 2 = No | 3 = Not sure,,Needs one,Contraception,Would need this term under Observation,NA,NA,baseline_women_q11,groupanc_kenyanigeria_combined_final::baseline_women_q11,int,1,NA,NA,1 to 3,3,0.828130003,NA
61,baseline_women_q12___1,groupanc_kenyanigeria_combined_final,,Spacing pregnancies: Healthier mom,,Observation,12. If yes  what are some advantages?  (choice=Mom will be healthier/ less likely to have problems),0 = Unchecked | 1 = Checked,value,Needs one,"Advantages to spacing pregnancies, specified",This would be a new multifilter term under Contraception,NA,NA,baseline_women_q12___1,groupanc_kenyanigeria_combined_final::baseline_women_q12___1,int,1,NA,NA,0 to 1,2,0.816362472,NA
62,baseline_women_q12___2,groupanc_kenyanigeria_combined_final,,Spacing pregnancies: Healthier baby,,Observation,12. If yes  what are some advantages?  (choice=Baby will be healthier/ less likely to have problems),0 = Unchecked | 1 = Checked,value,Needs one,"Advantages to spacing pregnancies, specified",This would be a new multifilter term under Contraception,NA,NA,baseline_women_q12___2,groupanc_kenyanigeria_combined_final::baseline_women_q12___2,int,0,NA,NA,0 to 1,2,0.816362472,NA
63,baseline_women_q12___3,groupanc_kenyanigeria_combined_final,,Spacing pregnancies: Easier to feed/care for other children,,Observation,12. If yes  what are some advantages?  (choice=Easier to feed and/or take care of other children),0 = Unchecked | 1 = Checked,value,Needs one,"Advantages to spacing pregnancies, specified",This would be a new multifilter term under Contraception,NA,NA,baseline_women_q12___3,groupanc_kenyanigeria_combined_final::baseline_women_q12___3,int,0,NA,NA,0 to 1,2,0.816362472,NA
64,baseline_women_q12___4,groupanc_kenyanigeria_combined_final,,Spacing pregnancies: Saves money,,Observation,12. If yes  what are some advantages?  (choice=Saves money),0 = Unchecked | 1 = Checked,value,Needs one,"Advantages to spacing pregnancies, specified",This would be a new multifilter term under Contraception,NA,NA,baseline_women_q12___4,groupanc_kenyanigeria_combined_final::baseline_women_q12___4,int,0,NA,NA,0 to 1,2,0.816362472,NA
65,baseline_women_q12___5,groupanc_kenyanigeria_combined_final,,Spacing pregnancies: Other,,Observation,12. If yes  what are some advantages?  (choice=Other),0 = Unchecked | 1 = Checked,value,Needs one,"Advantages to spacing pregnancies, specified",This would be a new multifilter term under Contraception,NA,NA,baseline_women_q12___5,groupanc_kenyanigeria_combined_final::baseline_women_q12___5,int,0,NA,NA,0 to 1,2,0.816362472,NA
66,pregnancy_spacing,groupanc_kenyanigeria_combined_final,,Knows ideal pregnancy spacing,How long should pregnancies be spaced apart for the best health of the mother and baby?,Observation,13. How long should pregnancies be spaced apart for the best health of the mother and baby?,1 = Knows the time | 2 = Dont know | 3 = No response,,Needs one,Contraception,Would need this term under Observation,NA,NA,pregnancy_spacing,groupanc_kenyanigeria_combined_final::pregnancy_spacing,int,1,NA,NA,1 to 3,3,0.827969901,NA
67,baseline_women_q13,groupanc_kenyanigeria_combined_final,,Ideal pregnancy spacing: months,,Observation,Enter the time in months here,,,Needs one,Contraception,Would need this term under Observation,NA,NA,baseline_women_q13,groupanc_kenyanigeria_combined_final::baseline_women_q13,int,24,NA,NA,1 to 601,37,0.863592699,NA
68,baseline_women_q14,groupanc_kenyanigeria_combined_final,,Ideal time to first breastfeed your baby,When do you think it is best to first breastfeed your baby?,Observation,14. When do you think it is best to first breastfeed your baby?,1 = Immediately or within 1 hour of delivery | 2 = After the first milk has gone (when true milk comes in) | 3 = Other,,Needs one,Newborn care,New term under Observation,NA,NA,baseline_women_q14,groupanc_kenyanigeria_combined_final::baseline_women_q14,int,1,NA,NA,1 to 3,3,0.828049952,NA
69,baseline_desc_q15,groupanc_kenyanigeria_combined_final,,Knowledge of best age to start giving your baby fluids or food other than breastmilk,At what age do you think it is best to start giving your baby fluids or food other than breastmilk?,Observation,15. At what age do you think it is best to start giving your baby fluids or food other than breastmilk?,1 = Knows the age | 2 = Dont know | 3 = No response,,Needs one,Newborn care,New term under Observation,NA,NA,baseline_desc_q15,groupanc_kenyanigeria_combined_final::baseline_desc_q15,int,1,NA,NA,1 to 3,3,0.828049952,NA
70,baseline_women_q15_weeks,groupanc_kenyanigeria_combined_final,,Best age to start giving your baby fluids or food other than breastmilk: weeks,,Observation,15.1. Weeks,NA,,Needs one,Newborn care,New term under Observation,NA,NA,baseline_women_q15_weeks,groupanc_kenyanigeria_combined_final::baseline_women_q15_weeks,int,24,NA,NA,0 to 192,28,0.870397054,NA
71,baseline_women_q15_months,groupanc_kenyanigeria_combined_final,,Best age to start giving your baby fluids or food other than breastmilk: months,,Observation,15.2. Months,NA,,Needs one,Newborn care,New term under Observation,NA,NA,baseline_women_q15_months,groupanc_kenyanigeria_combined_final::baseline_women_q15_months,int,6,NA,NA,0 to 48,17,0.85454691,NA
