colOrder,variable,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,timeVarying,percentMissing,flag
41,baseline_women_q4h,groupanc_kenyanigeria_combined_final,keep,,,h. I felt respected  [Nilihisi nimeheshimiwa.],1 = Agree [Nakubali] | 2 = Disagree [Nakataa] | 3 = Neither agree nor disagree [Sikubali wala kukataa],,,,NA,baseline_women_q4h,groupanc_kenyanigeria_combined_final::baseline_women_q4h,int,1,NA,NA,1 to 3,3,once,0.892491194,NA
42,baseline_women_q4i,groupanc_kenyanigeria_combined_final,keep,,,i. I had enough time with my provider  [Nilipata muda wa kutosha na mhudumu wangu.],1 = Agree [Nakubali] | 2 = Disagree [Nakataa] | 3 = Neither agree nor disagree [Sikubali wala kukataa],,,,NA,baseline_women_q4i,groupanc_kenyanigeria_combined_final::baseline_women_q4i,int,1,NA,NA,1 to 3,3,once,0.892571246,NA
43,baseline_women_q4j,groupanc_kenyanigeria_combined_final,keep,,,j. I am very satisfied with the antenatal care I received  [Niliridhika sana kwa malezi ya ujauzito niliyoyapokea.],1 = Agree [Nakubali] | 2 = Disagree [Nakataa] | 3 = Neither agree nor disagree [Sikubali wala kukataa],,,,NA,baseline_women_q4j,groupanc_kenyanigeria_combined_final::baseline_women_q4j,int,1,NA,NA,1 to 3,3,once,0.892491194,NA
44,baseline_women_q5,groupanc_kenyanigeria_combined_final,keep,,,5. Did you experience any problems during previous pregnancies or deliveries?  [Ulikumbwa na utata wowote wa kiafya katika ujauzito ziliopita au kujifungua?],1 = Yes [Ndio] | 2 = No [La] | 3 = Not sure/Dont remember [sina uhakika/ sikumbuki],,,,NA,baseline_women_q5,groupanc_kenyanigeria_combined_final::baseline_women_q5,int,2,NA,NA,1 to 3,3,once,0.885446686,NA
45,baseline_women_q6,groupanc_kenyanigeria_combined_final,keep,,,6. Where did you deliver your last baby?,1 = At home | 2 = At a health facility | 3 = In transit to a facility | 4 = Other,,,,NA,baseline_women_q6,groupanc_kenyanigeria_combined_final::baseline_women_q6,int,1,NA,NA,1 to 4,4,once,0.885446686,NA
46,baseline_women_q7,groupanc_kenyanigeria_combined_final,keep,,,7. Where do you intend to deliver this baby?,1 = At home | 2 = At a health facility | 3 = Not sure/Undecided | 4 = Other,,,,NA,baseline_women_q7,groupanc_kenyanigeria_combined_final::baseline_women_q7,int,2,NA,NA,1 to 4,4,once,0.828130003,NA
47,baseline_women_q8___1,groupanc_kenyanigeria_combined_final,keep,,,8. Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant? (choice=Lactational Amenorrhea Method (LAM)),0 = Unchecked | 1 = Checked,,,,NA,baseline_women_q8___1,groupanc_kenyanigeria_combined_final::baseline_women_q8___1,int,0,NA,NA,0 to 1,2,once,0.816362472,NA
48,baseline_women_q8___2,groupanc_kenyanigeria_combined_final,keep,,,8. Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant? (choice=Standard days or rhythm method (cycle beads/calendar/billings method)),0 = Unchecked | 1 = Checked,,,,NA,baseline_women_q8___2,groupanc_kenyanigeria_combined_final::baseline_women_q8___2,int,0,NA,NA,0 to 1,2,once,0.816362472,NA
49,baseline_women_q8___3,groupanc_kenyanigeria_combined_final,keep,,,8. Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant? (choice=Withdrawal),0 = Unchecked | 1 = Checked,,,,NA,baseline_women_q8___3,groupanc_kenyanigeria_combined_final::baseline_women_q8___3,int,0,NA,NA,0 to 1,2,once,0.816362472,NA
50,baseline_women_q8___4,groupanc_kenyanigeria_combined_final,keep,,,8. Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant? (choice=Condoms),0 = Unchecked | 1 = Checked,,,,NA,baseline_women_q8___4,groupanc_kenyanigeria_combined_final::baseline_women_q8___4,int,0,NA,NA,0 to 1,2,once,0.816362472,NA
51,baseline_women_q8___5,groupanc_kenyanigeria_combined_final,keep,,,8. Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant? (choice=Pills/Oral contraceptives),0 = Unchecked | 1 = Checked,,,,NA,baseline_women_q8___5,groupanc_kenyanigeria_combined_final::baseline_women_q8___5,int,0,NA,NA,0 to 1,2,once,0.816362472,NA
52,baseline_women_q8___6,groupanc_kenyanigeria_combined_final,keep,,,8. Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant? (choice=Injectable),0 = Unchecked | 1 = Checked,,,,NA,baseline_women_q8___6,groupanc_kenyanigeria_combined_final::baseline_women_q8___6,int,0,NA,NA,0 to 1,2,once,0.816362472,NA
53,baseline_women_q8___7,groupanc_kenyanigeria_combined_final,keep,,,8. Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant? (choice=Implants),0 = Unchecked | 1 = Checked,,,,NA,baseline_women_q8___7,groupanc_kenyanigeria_combined_final::baseline_women_q8___7,int,0,NA,NA,0 to 1,2,once,0.816362472,NA
54,baseline_women_q8___8,groupanc_kenyanigeria_combined_final,keep,,,8. Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant? (choice=IUD),0 = Unchecked | 1 = Checked,,,,NA,baseline_women_q8___8,groupanc_kenyanigeria_combined_final::baseline_women_q8___8,int,0,NA,NA,0 to 1,2,once,0.816362472,NA
55,baseline_women_q8___9,groupanc_kenyanigeria_combined_final,keep,,,8. Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant? (choice=Emergency contraception),0 = Unchecked | 1 = Checked,,,,NA,baseline_women_q8___9,groupanc_kenyanigeria_combined_final::baseline_women_q8___9,int,0,NA,NA,0 to 1,2,once,0.816362472,NA
56,baseline_women_q8___11,groupanc_kenyanigeria_combined_final,keep,,,8. Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant? (choice=Other),0 = Unchecked | 1 = Checked,,,,NA,baseline_women_q8___11,groupanc_kenyanigeria_combined_final::baseline_women_q8___11,int,0,NA,NA,0 to 1,2,once,0.816362472,NA
57,baseline_women_q8___12,groupanc_kenyanigeria_combined_final,keep,,,8. Before this pregnancy  did you use any of the following methods to delay or prevent getting pregnant? (choice=None),0 = Unchecked | 1 = Checked,,,,NA,baseline_women_q8___12,groupanc_kenyanigeria_combined_final::baseline_women_q8___12,int,1,NA,NA,0 to 1,2,once,0.816362472,NA
58,baseline_women_q9,groupanc_kenyanigeria_combined_final,keep,,,9. Would you say that in the past  using contraception is mainly your decision  mainly your (husbands/partners) decision  or did you both decide together,1 = Mainly respondent | 2 = Mainly husband/partner | 3 = Joint decision | 4 = Other,,,,NA,baseline_women_q9,groupanc_kenyanigeria_combined_final::baseline_women_q9,int,3,NA,NA,1 to 4,4,once,0.828290106,NA
59,baseline_women_q10,groupanc_kenyanigeria_combined_final,keep,,,10. If it was up to you  after you have this baby  would you want to delay getting pregnant again right away?,1 = Yes | 2 = No | 3 = Not sure/undecided,,,,NA,baseline_women_q10,groupanc_kenyanigeria_combined_final::baseline_women_q10,int,1,NA,NA,1 to 3,3,once,0.828049952,NA
60,baseline_women_q11,groupanc_kenyanigeria_combined_final,keep,,,11. Do you think there are advantages to spacing pregnancies apart?,1 = Yes | 2 = No | 3 = Not sure,,,,NA,baseline_women_q11,groupanc_kenyanigeria_combined_final::baseline_women_q11,int,1,NA,NA,1 to 3,3,once,0.828130003,NA
61,baseline_women_q12___1,groupanc_kenyanigeria_combined_final,keep,,,12. If yes  what are some advantages?  (choice=Mom will be healthier/ less likely to have problems),0 = Unchecked | 1 = Checked,,,,NA,baseline_women_q12___1,groupanc_kenyanigeria_combined_final::baseline_women_q12___1,int,1,NA,NA,0 to 1,2,once,0.816362472,NA
62,baseline_women_q12___2,groupanc_kenyanigeria_combined_final,keep,,,12. If yes  what are some advantages?  (choice=Baby will be healthier/ less likely to have problems),0 = Unchecked | 1 = Checked,,,,NA,baseline_women_q12___2,groupanc_kenyanigeria_combined_final::baseline_women_q12___2,int,0,NA,NA,0 to 1,2,once,0.816362472,NA
63,baseline_women_q12___3,groupanc_kenyanigeria_combined_final,keep,,,12. If yes  what are some advantages?  (choice=Easier to feed and/or take care of other children),0 = Unchecked | 1 = Checked,,,,NA,baseline_women_q12___3,groupanc_kenyanigeria_combined_final::baseline_women_q12___3,int,0,NA,NA,0 to 1,2,once,0.816362472,NA
64,baseline_women_q12___4,groupanc_kenyanigeria_combined_final,keep,,,12. If yes  what are some advantages?  (choice=Saves money),0 = Unchecked | 1 = Checked,,,,NA,baseline_women_q12___4,groupanc_kenyanigeria_combined_final::baseline_women_q12___4,int,0,NA,NA,0 to 1,2,once,0.816362472,NA
65,baseline_women_q12___5,groupanc_kenyanigeria_combined_final,keep,,,12. If yes  what are some advantages?  (choice=Other),0 = Unchecked | 1 = Checked,,,,NA,baseline_women_q12___5,groupanc_kenyanigeria_combined_final::baseline_women_q12___5,int,0,NA,NA,0 to 1,2,once,0.816362472,NA
66,pregnancy_spacing,groupanc_kenyanigeria_combined_final,keep,,,13. How long should pregnancies be spaced apart for the best health of the mother and baby?,1 = Knows the time | 2 = Dont know | 3 = No response,,,,NA,pregnancy_spacing,groupanc_kenyanigeria_combined_final::pregnancy_spacing,int,1,NA,NA,1 to 3,3,once,0.827969901,NA
67,baseline_women_q13,groupanc_kenyanigeria_combined_final,keep,,,MAYBE length of pregnancy spacing? ,NA,,,,NA,baseline_women_q13,groupanc_kenyanigeria_combined_final::baseline_women_q13,int,24,NA,NA,1 to 601,37,once,0.863592699,NA
68,baseline_women_q14,groupanc_kenyanigeria_combined_final,keep,,,14. When do you think it is best to first breastfeed your baby?,1 = Immediately or within 1 hour of delivery | 2 = After the first milk has gone (when true milk comes in) | 3 = Other,,,,NA,baseline_women_q14,groupanc_kenyanigeria_combined_final::baseline_women_q14,int,1,NA,NA,1 to 3,3,once,0.828049952,NA
69,baseline_desc_q15,groupanc_kenyanigeria_combined_final,keep,,,15. At what age do you think it is best to start giving your baby fluids or food other than breastmilk?,1 = Knows the age | 2 = Dont know | 3 = No response,,,,NA,baseline_desc_q15,groupanc_kenyanigeria_combined_final::baseline_desc_q15,int,1,NA,NA,1 to 3,3,once,0.828049952,NA
70,baseline_women_q15_weeks,groupanc_kenyanigeria_combined_final,keep,,,MAYBE What age specify weeks,NA,,,,NA,baseline_women_q15_weeks,groupanc_kenyanigeria_combined_final::baseline_women_q15_weeks,int,24,NA,NA,0 to 192,28,once,0.870397054,NA
71,baseline_women_q15_months,groupanc_kenyanigeria_combined_final,keep,,,MAYBE what age specify months,NA,,,,NA,baseline_women_q15_months,groupanc_kenyanigeria_combined_final::baseline_women_q15_months,int,6,NA,NA,0 to 48,17,once,0.85454691,NA
72,baseline_women_q16,groupanc_kenyanigeria_combined_final,keep,,,16. Have you ever heard of using the lactational amenorrhea method  LAM  as a way to delay pregnancy after you have a baby?  This method includes breastfeeding your baby.,1 = Yes | 2 = No | 3 = Not sure,,,,NA,baseline_women_q16,groupanc_kenyanigeria_combined_final::baseline_women_q16,int,2,NA,NA,1 to 3,3,once,0.828130003,NA
73,baseline_women_q17___1,groupanc_kenyanigeria_combined_final,keep,,,17. Can you describe how to use the lactational amenorrhea method (LAM)? What criteria or conditions need to be met for it to be an effective way to prevent or delay pregnancy? (choice=Menstrual bleeding has not returned),0 = Unchecked | 1 = Checked,,,,NA,baseline_women_q17___1,groupanc_kenyanigeria_combined_final::baseline_women_q17___1,int,0,NA,NA,0 to 1,2,once,0.816362472,NA
74,baseline_women_q17___2,groupanc_kenyanigeria_combined_final,keep,,,17. Can you describe how to use the lactational amenorrhea method (LAM)? What criteria or conditions need to be met for it to be an effective way to prevent or delay pregnancy? (choice=Baby is only breastfed/breastfed exclusively (no other food or liquids,0 = Unchecked | 1 = Checked,,,,NA,baseline_women_q17___2,groupanc_kenyanigeria_combined_final::baseline_women_q17___2,int,0,NA,NA,0 to 1,2,once,0.816362472,NA
75,baseline_women_q17___3,groupanc_kenyanigeria_combined_final,keep,,,17. Can you describe how to use the lactational amenorrhea method (LAM)? What criteria or conditions need to be met for it to be an effective way to prevent or delay pregnancy? (choice=Baby is less than six months old),0 = Unchecked | 1 = Checked,,,,NA,baseline_women_q17___3,groupanc_kenyanigeria_combined_final::baseline_women_q17___3,int,0,NA,NA,0 to 1,2,once,0.816362472,NA
76,baseline_women_q17___4,groupanc_kenyanigeria_combined_final,keep,,,17. Can you describe how to use the lactational amenorrhea method (LAM)? What criteria or conditions need to be met for it to be an effective way to prevent or delay pregnancy? (choice=Other),0 = Unchecked | 1 = Checked,,,,NA,baseline_women_q17___4,groupanc_kenyanigeria_combined_final::baseline_women_q17___4,int,0,NA,NA,0 to 1,2,once,0.816362472,NA
77,baseline_women_q18,groupanc_kenyanigeria_combined_final,keep,,,18. After the birth of a child  can a woman become pregnant before her menstrual period has returned?,1 = Yes | 2 = No | 3 = Dont know,,,,NA,baseline_women_q18,groupanc_kenyanigeria_combined_final::baseline_women_q18,int,1,NA,NA,1 to 3,3,once,0.828130003,NA
78,baseline_women_q19___1,groupanc_kenyanigeria_combined_final,keep,,,19. In addition to the lactational amenorrhea method (LAM)  what other forms of birth spacing or family planning can you use immediately after delivery?  (choice=Standard days or rhythm method (cycle beads/calendar/billings method)),0 = Unchecked | 1 = Checked,,,,NA,baseline_women_q19___1,groupanc_kenyanigeria_combined_final::baseline_women_q19___1,int,0,NA,NA,0 to 1,2,once,0.816362472,NA
79,baseline_women_q19___2,groupanc_kenyanigeria_combined_final,keep,,,19. In addition to the lactational amenorrhea method (LAM)  what other forms of birth spacing or family planning can you use immediately after delivery?  (choice=Withdrawal),0 = Unchecked | 1 = Checked,,,,NA,baseline_women_q19___2,groupanc_kenyanigeria_combined_final::baseline_women_q19___2,int,1,NA,NA,0 to 1,2,once,0.816362472,NA
80,baseline_women_q19___3,groupanc_kenyanigeria_combined_final,keep,,,19. In addition to the lactational amenorrhea method (LAM)  what other forms of birth spacing or family planning can you use immediately after delivery?  (choice=Condoms),0 = Unchecked | 1 = Checked,,,,NA,baseline_women_q19___3,groupanc_kenyanigeria_combined_final::baseline_women_q19___3,int,0,NA,NA,0 to 1,2,once,0.816362472,NA
81,baseline_women_q19___4,groupanc_kenyanigeria_combined_final,keep,,,19. In addition to the lactational amenorrhea method (LAM)  what other forms of birth spacing or family planning can you use immediately after delivery?  (choice=Pill/oral contraceptives),0 = Unchecked | 1 = Checked,,,,NA,baseline_women_q19___4,groupanc_kenyanigeria_combined_final::baseline_women_q19___4,int,0,NA,NA,0 to 1,2,once,0.816362472,NA
