Term Ontology IRI	Display Label	Term parent ontology IRI	Term parent display label	Data Dictionary ID	Indian Data Dictionary Label (en)	Term Type	Indian description	Var/Field name synonym	Field Type	Answers	alternate answers	Census	Clinic CRF	Clinic CRF	CrossSectional CRF	CrossSectional CRF	Longitudinal CRF	Longitudinal CRF	Reactive Case Detection CRF	Reactive Case Detection CRF	JZ Comments
http://purl.obolibrary.org/obo/ICEMR_0101042	Blood pressure	http://purl.obolibrary.org/obo/OGMS_0000083	Physical Examination	INDIAN_0100042	bp	variable	Blood pressure		text				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101044	Proximity to case dwelling	http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	INDIAN_0100044	case_household	variable	Case household		radio	1, Index | 2, Proximal | 3, Distal									ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101046	Filled census form at enrollment?	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	INDIAN_0100046	cen_onsite	variable	Census onsite: See 'cen_fid' for background before reading this explanation.In some cases, field workers enrolled CrossSectional subjects whose households were *not* part of the initial Census project. In these cases, a Census form was completed during the enrollment visit and that Census data was later entered in REDCap. For these subjects, cen_onsite = yes.    So this too seems to be metadata, or perhaps it can be data about the Visit or Participant?		yesno						CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal				no matter in which case, we will have Census data, it only indicates whether data collected in Census studies. So far, do not have clear use case to include this info. Will ignore now.
http://purl.obolibrary.org/obo/ICEMR_0101047	Clinic	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	INDIAN_0100047	clinic	variable	Clinic		text			Census			CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101048	Clinic location	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	INDIAN_0100048	clinic_rad	variable	Clinic		radio	1, Nadiad | 2, Ahmedabad	1, Sector 1 | 2, Sector 5 | 3, IGH		Clinic_Nadiad	Clinic_Raurkela							
http://purl.obolibrary.org/obo/ICEMR_0101051	District	http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	INDIAN_0100051	district	variable	District		text			Census	Clinic_Nadiad,Raurkela								
http://purl.obolibrary.org/obo/ICEMR_0101052	Division/Ward #	http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	INDIAN_0100052	division	variable	Division/Ward #, a 'division' or 'ward' being a sub-division of a city.  		text			Census									
http://purl.obolibrary.org/obo/ICEMR_0101054	Take antimalarial drugs as advised?	http://purl.obolibrary.org/obo/EUPATH_0000057	Medication	INDIAN_0100054	drugs_2wk_comply_yn	variable	IF YES, were the drugs taken as advised?		yesno				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101055	Take antimalarial drugs?	http://purl.obolibrary.org/obo/EUPATH_0000057	Medication	INDIAN_0100055	drugs_2wk_yn	variable	Has taken antimalarial drugs in last 2 weeks		yesno				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101056	Education level	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	INDIAN_0100056	education	variable	Education	education_rad	radio	1, None | 2, Primary | 3, Secondary | 4, Diploma | 5, University | 6, Graduate or higher	1, None | 2, Primary school | 3, Secondary school | 4, University | 5, Diploma | 6, Graduate or higher	Census		Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection	
http://purl.obolibrary.org/obo/ICEMR_0101058	Existing illness	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100058	existing_illness_list	variable	IF YES, list		notes				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101059	Have an existing illness?	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100059	existing_illness_yn	variable	Pre-existing illness(es)		yesno				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101060	Fever treatment location	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100060	fever_2wk_where_chk	variable	IF YES, where were you treated?		checkbox	1, Clinic | 2, Private practice | 3, Self-treated | 4, Not treated			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101062	Duration of febrile	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100062	fever_48hr_numdays	variable	IF YES, number of days febrile		text						CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal				
http://purl.obolibrary.org/obo/ICEMR_0101065	Family head?	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	INDIAN_0100065	head_yn	variable	Family head		yesno			Census									
http://purl.obolibrary.org/obo/ICEMR_0101070	Hospital registration #	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	INDIAN_0100070	igh_regnum	variable	Hospital registration #, in Raurkela Clinic project only, some subjects were enrolled at a nearby general hospital instead of a the malaria  clinic.  These subjects  may have a hospital record number, captured in this field  >  I don't think it was every used much, if at all.  Probably it's identifying info and would not be uploaded.		text				Clinic_Raurkela								
http://purl.obolibrary.org/obo/ICEMR_0101071	Illness now?	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100071	illnow_yn	variable	Feeling ill now		yesno				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101072	Indoor residents	http://purl.obolibrary.org/obo/EUPATH_0000301	Dwelling Summary	INDIAN_0100072	indoor_residents_rad	variable	Indoor residents		radio	1, Human only | 2, Mixed/Human+animal		Census									
http://purl.obolibrary.org/obo/ICEMR_0101073	Freq larvicide in use	http://purl.obolibrary.org/obo/ICEMR_0000003	Vector Intervention	INDIAN_0100073	larvicide_in_use_rad	variable	Larvicide in use		radio	1, Weekly | 2, Every 2 wks | 3, Monthly | 4, No | 5, Unknown		Census									
http://purl.obolibrary.org/obo/ICEMR_0101074	Malaria in last 12 months?	http://purl.obolibrary.org/obo/OGMS_0000015	Clinical history	INDIAN_0100074	malaria_yn	variable	Malaria in last 12 mo		yesno			Census									only collected in census, other related clinical history information collected in the studies other than census, not sure whether those collected only in the enrollment visit.
http://purl.obolibrary.org/obo/ICEMR_0101082	# Asexual parasite	http://purl.obolibrary.org/obo/OGMS_0000018	Laboratory Findings	INDIAN_0100082	mx_counts1	variable	Mx Species 1 Asexual / Sexual counts		text				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101083	# Sexual parasite	http://purl.obolibrary.org/obo/OGMS_0000018	Laboratory Findings	INDIAN_0100083	mx_counts2	variable	Mx Species 2 Asexual / Sexual counts		text				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101084	Parasite species	http://purl.obolibrary.org/obo/OGMS_0000018	Laboratory Findings	INDIAN_0100084	mx_species_chk	variable	Species		checkbox	1, Neg | 2, Pf | 3, Pv | 4, Pm | 5, ND			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101085	Nationality	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	INDIAN_0100085	nationality	variable	Country of birth		text				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101086	Occupation	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	INDIAN_0100086	occupation	variable	Occupation	occupation_rad	radio	1, None | 2, Daily wage/laborer | 3, Service | 4, Trade | 5, Housewife | 6, Student	1, Daily wage/labor | 2, Service (=salaried) | 3, Trade (=self-employed) | 4, Housewife | 5, Student | 6, None	Census	Clinic_Chennai,Nadiad,Raurkela			CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection	
http://purl.obolibrary.org/obo/ICEMR_0101087	Past year diagnosis	http://purl.obolibrary.org/obo/OGMS_0000015	Clinical history	INDIAN_0100087	pastyear_dx_chk	variable	Diagnosis		checkbox	1, P. falciparum | 2, P. vivax | 3, P. malariae | 4, Can't remember			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101088	# Malaria diagnosis past year	http://purl.obolibrary.org/obo/OGMS_0000015	Clinical history	INDIAN_0100088	pastyear_num_dx	variable	Number of times diagnosed with malaria in the last 12 months		text				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101089	# Months since malaria diagnosis	http://purl.obolibrary.org/obo/OGMS_0000015	Clinical history	INDIAN_0100089	pastyear_num_mo	variable	Number of months since last malaria diagnosis		text				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101090	Antimalarial drug treated?	http://purl.obolibrary.org/obo/OGMS_0000015	Clinical history	INDIAN_0100090	pastyear_treat_rad	variable	Treated with antimalarial drugs	pastyear_treated_rad	radio	1, Yes | 2, No | 3, Can't remember			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal			ReactiveCaseDetection	
http://purl.obolibrary.org/obo/ICEMR_0101091	Antimalarial drug treated date	http://purl.obolibrary.org/obo/OGMS_0000015	Clinical history	INDIAN_0100091	pastyear_treatdate	variable	IF YES, what month/year		text				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101092	Antimalarial drug used	http://purl.obolibrary.org/obo/OGMS_0000015	Clinical history	INDIAN_0100092	pastyear_treatdrugs_chk	variable	Antimalarial drugs used (with codes)		checkbox	1, Artesunate=1 | 2, Artesunate/Pyrimethamine/Sulphadoxine=2 | 3, Chloroquine=3 | 4, Chloroquine/Primaquine=4 | 5, Mefloquine=5 | 6, Primaquine=6 | 7, Pyrimethamine/Sulphadoxine=7 | 8, Quinine/Quinidine=8 | 9, Tetracycline/Doxycycline=9 | 10, Other=10 | 11, Can't remember=11			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101093	Who treated you	http://purl.obolibrary.org/obo/OGMS_0000015	Clinical history	INDIAN_0100093	pastyear_treatwhere_chk	variable	Who treated you		checkbox	1, Clinic/hospital | 2, Private doctor | 3, Self-treated | 4, Can't remember			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101094	PCR DNA Source	http://purl.obolibrary.org/obo/OGMS_0000018	Laboratory Findings	INDIAN_0100094	pcr_dna_source_rad	variable	PCR DNA Source		radio	1, Filt | 2, SV | 3, Vac			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101095	Parasite species by PCR	http://purl.obolibrary.org/obo/OGMS_0000018	Laboratory Findings	INDIAN_0100095	pcr_species_chk	variable	PCR Species		checkbox	1, negative | 2, Pf | 3, Pv | 4, Pm | 5, Po			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101096	Primary health center	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	INDIAN_0100096	phc	variable	PHC/CHC, primary health center'.  The name of the public health clinic/hospital that the subject normally uses (for non malaria illness).  I believe this field was virtually always empty. 	phc_chc	text				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101098	Proverty line	http://purl.obolibrary.org/obo/EUPATH_0000304	Socioeconomic Factors	INDIAN_0100098	poverty_line	variable	Poverty line, A measure of income level issued annually by the Department of Health and Human Services. Federal poverty levels are used to determine your eligibility for certain programs and benefits.		radio	1, Above | 2, Below		Census									
http://purl.obolibrary.org/obo/ICEMR_0101099	No illness	http://purl.obolibrary.org/obo/OGMS_0000073	Diagnosis	INDIAN_0100099	No illness	variable	Preliminary diagnosis		radio	prelim_dx_rad:  1, No illness			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		We made each value as a variable in PRISM to facilitate query. So, do same in Indian group
http://purl.obolibrary.org/obo/ICEMR_0101104	Falcivax RDT	http://purl.obolibrary.org/obo/OGMS_0000018	Laboratory Findings	INDIAN_0100104	rdt_falc_chk	variable	RDT - Falcivax	rdt_fv_chk	checkbox	1, Pf | 2, Pv | 3, Negative | 4, Not done / blank			Clinic_Chennai,Nadiad,Raurkela			CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection	
http://purl.obolibrary.org/obo/ICEMR_0101105	Optimal RDT	http://purl.obolibrary.org/obo/OGMS_0000018	Laboratory Findings	INDIAN_0100105	rdt_opt_chk	variable	RDT - Optimal	rdt_op_chk	checkbox	1, Pf | 2, Pan | 3, Negative | 4, Not done / blank			Clinic_Nadiad	Clinic_Raurkela							
http://purl.obolibrary.org/obo/ICEMR_0101106	Personal repellent	http://purl.obolibrary.org/obo/ICEMR_0000003	Vector Intervention	INDIAN_0100106	repellent_chk	variable	Personal repellent in use		checkbox	1, Coils | 2, Vapor/liquidizer | 3, Cream/spray | 4, Mat | 5, None | 6, Unknown	1, None | 2, Coils | 3, Vapor/liquidizer | 4, Cream/spray | 5, Mat | 6, Can't remember | 7, Fastcard	Census		Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection	
http://purl.obolibrary.org/obo/ICEMR_0101107	Resident status	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	INDIAN_0100107	resident_status_chk	variable	Resident status		checkbox	1, Permanent | 2, Temporary		Census									
http://purl.obolibrary.org/obo/ICEMR_0101111	Sprayed in last 12 months	http://purl.obolibrary.org/obo/ICEMR_0000003	Vector Intervention	INDIAN_0100111	sprayed_chk	variable	Sprayed in last 12 months		checkbox	1, Indoor | 2, Outdoor | 3, No | 4, Unknown | 5, N/A	1, No / Not applicable | 2, Indoor | 3, Outdoor | 4, Can't remember	Census		Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection	
http://purl.obolibrary.org/obo/ICEMR_0101112	State of birth	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	INDIAN_0100112	stateofbirth	variable	State of birth	state_birth	text				Clinic_Chennai,Nadiad,Raurkela			CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection	
http://purl.obolibrary.org/obo/ICEMR_0101114	Take fever suppressant?	http://purl.obolibrary.org/obo/EUPATH_0000057	Medication	INDIAN_0100114	suppressant_now_yn	variable	Is taking fever suppressant now		yesno				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101133	Taluk	http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	INDIAN_0100133	taluk	variable	Taluk/Tehsil,A division more or less equivalent to 'district' or 'group of villages'.  		text			Census	Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101135	Visited country	http://purl.obolibrary.org/obo/ICEMR_0000002	Traveling Details	INDIAN_0100135	travel_2wk_country	variable	Country		text				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101136	Visited district	http://purl.obolibrary.org/obo/ICEMR_0000002	Traveling Details	INDIAN_0100136	travel_2wk_district	variable	District		text				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101137	Visited state	http://purl.obolibrary.org/obo/ICEMR_0000002	Traveling Details	INDIAN_0100137	travel_2wk_state	variable	State		text				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101138	Visited taluk	http://purl.obolibrary.org/obo/ICEMR_0000002	Traveling Details	INDIAN_0100138	travel_2wk_taluk	variable	City/Taluk/Tehsil		text				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101139	Visited village	http://purl.obolibrary.org/obo/ICEMR_0000002	Traveling Details	INDIAN_0100139	travel_2wk_village	variable	Village/Nagar		text				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101140	Travel in last 14 days?	http://purl.obolibrary.org/obo/ICEMR_0000002	Traveling Details	INDIAN_0100140	travel_2wk_yn	variable	Travel in last 14 days?		yesno				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101143	Healthcare type	http://purl.obolibrary.org/obo/EUPATH_0000304	Socioeconomic Factors	INDIAN_0100143	typical_healthcare_chk	variable	Typical healthcare		checkbox	1, Public | 2, Private		Census									
http://purl.obolibrary.org/obo/ICEMR_0101144	Village	http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	INDIAN_0100144	village	variable	Village/Nagar		text			Census	Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/ICEMR_0101147	Zone #	http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	INDIAN_0100147	zone	variable	Zone #		text			Census									
http://purl.obolibrary.org/obo/EUPATH_0000120	Age at time of enrollment	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	INDIAN_0100032	age	variable	Age	age_en	text			Census		Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection	
http://purl.obolibrary.org/obo/EUPATH_0000113	Age at time of visit	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	INDIAN_0100033	age_fu	variable	Age (at Followup)		text				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal				
http://purl.obolibrary.org/obo/EUPATH_0000001	Building material	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	INDIAN_0100043	building_material_chk	variable	Building material		checkbox	1, Mud | 2, Brick | 3, Concrete | 4, Thatch		Census									PRISM, Amazonia group separate It as roof, floor and wall
http://purl.obolibrary.org/obo/EUPATH_0000094	Household ID	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	INDIAN_0100045	cen_fid	variable	Census Form ID: The first project done at all three sites (Chennai, Nadiad, Raurkela) was to perform a Census of a sampling of  local households, collecting physical and socioeconomic data about each household and its occupants.  That data went into the Census project for each site.  CrossSectional subjects were (mostly...see 'cen_onsite') chosen from households that provided Census data.  This field relates the CrossSectional subjectID (sid) to the Census ID (cen_fid = census form ID) for the household.  So in a sense it is...metadata?   Not sure where to categorize it.		text			Census			CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal				named as fid in Census study, it is an identifier for Censue form. However, one census form is corresponding to a household. So, we treat it as a household id here.
http://purl.obolibrary.org/obo/EUPATH_0000091	Date of visit	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	INDIAN_0100049	date	variable	Date		text			Census	Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/EUPATH_0000191	Days since enrollment	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	INDIAN_0100050	days	variable	Days since enrollment, This field occurs in followup visit records only.  It is the number of days since the first (enrollment) visit.   (It is automatically calculated by REDCap)		calc				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		can calculate based on visit date and enrollment date, no need to load
http://purl.obolibrary.org/obo/EUPATH_0000058	Malaria medication	http://purl.obolibrary.org/obo/EUPATH_0000057	Medication	INDIAN_0100053	drugs_2wk_codes	variable	IF YES, code(s)		text				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/EUPATH_0000311	Visit type	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	INDIAN_0100057	en_check_yn	variable	Is this an Enrollment form? metadata about a visit.  It was created as  a simple way to indicate whether the visit is the initial (Enrollment) visit  (en_check=yes, 1) or a followup visit (en_check=no, 0) 		yesno				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/EUPATH_0000100	Fever (subjective)	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100061	fever_2wk_yn	variable	Fever within last 2 weeks		yesno				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/EUPATH_0000097	Febrile	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	INDIAN_0100063	fever_48hr_yn	variable	Fever within last 48 hrs		yesno				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/EUPATH_0000033	G6PD Genotype	http://purl.obolibrary.org/obo/EUPATH_0000306	Participant Genotype	INDIAN_0100064	gpd_rad	variable	G6PD		radio	1, Normal | 2, Deficient | 3, Not done / blank			Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
http://purl.obolibrary.org/obo/IAO_0000408	Height	http://purl.obolibrary.org/obo/OGMS_0000083	Physical Examination	INDIAN_0100066	height	variable	Height		text				Clinic_Chennai,Nadiad,Raurkela		CrossSectional_Chennai,Nadiad,Raurkela		Longitudinal		ReactiveCaseDetection		
