Term Ontology IRI	Display Label	Term parent ontology IRI	Term Parent Display Label	Data Dictionary ID	Indian Data Dictionary Label (en)	Term Type	Related Synonym
http://purl.obolibrary.org/obo/ICEMR_1001036	Clinic	http://purl.obolibrary.org/obo/ICEMR_0101060	Fever treatment location	INDIAN_1000036	Clinic	values	
http://purl.obolibrary.org/obo/ICEMR_1001037	Private practice	http://purl.obolibrary.org/obo/ICEMR_0101060	Fever treatment location	INDIAN_1000037	Private practice	values	
http://purl.obolibrary.org/obo/ICEMR_1001038	Self-treated	http://purl.obolibrary.org/obo/ICEMR_0101060	Fever treatment location	INDIAN_1000038	Self-treated	values	
http://purl.obolibrary.org/obo/ICEMR_1001039	Not treated	http://purl.obolibrary.org/obo/ICEMR_0101060	Fever treatment location	INDIAN_1000039	Not treated	values	
http://purl.obolibrary.org/obo/ICEMR_1001040	Normal	http://purl.obolibrary.org/obo/EUPATH_0000033	G6PD Genotype	INDIAN_1000040	Normal	values	
http://purl.obolibrary.org/obo/ICEMR_1001041	Deficient	http://purl.obolibrary.org/obo/EUPATH_0000033	G6PD Genotype	INDIAN_1000041	Deficient	values	
http://purl.obolibrary.org/obo/ICEMR_1001042	Not done / blank	http://purl.obolibrary.org/obo/EUPATH_0000033	G6PD Genotype	INDIAN_1000042	Not done / blank	values	
http://purl.obolibrary.org/obo/ICEMR_1001043	Human only	http://purl.obolibrary.org/obo/ICEMR_0101072	Indoor residents	INDIAN_1000043	Human only	values	
http://purl.obolibrary.org/obo/ICEMR_1001044	Mixed/Human+animal	http://purl.obolibrary.org/obo/ICEMR_0101072	Indoor residents	INDIAN_1000044	Mixed/Human+animal	values	
http://purl.obolibrary.org/obo/ICEMR_1001045	Weekly	http://purl.obolibrary.org/obo/ICEMR_0101073	Freq larvicide in use	INDIAN_1000045	Weekly	values	
http://purl.obolibrary.org/obo/ICEMR_1001046	Every 2 wks	http://purl.obolibrary.org/obo/ICEMR_0101073	Freq larvicide in use	INDIAN_1000046	Every 2 wks	values	
http://purl.obolibrary.org/obo/ICEMR_1001047	Monthly	http://purl.obolibrary.org/obo/ICEMR_0101073	Freq larvicide in use	INDIAN_1000047	Monthly	values	
http://purl.obolibrary.org/obo/ICEMR_1001048	No	http://purl.obolibrary.org/obo/ICEMR_0101073	Freq larvicide in use	INDIAN_1000048	No	values	
http://purl.obolibrary.org/obo/ICEMR_1001049	Unknown	http://purl.obolibrary.org/obo/ICEMR_0101073	Freq larvicide in use	INDIAN_1000049	Unknown	values	
http://purl.obolibrary.org/obo/ICEMR_1001050	Negative	http://purl.obolibrary.org/obo/ICEMR_0101084	Parasite species	INDIAN_1000050	Neg	values	
http://purl.obolibrary.org/obo/ICEMR_1001051	P. falciparum	http://purl.obolibrary.org/obo/ICEMR_0101084	Parasite species	INDIAN_1000051	Pf	values	
http://purl.obolibrary.org/obo/ICEMR_1001052	P. vivax	http://purl.obolibrary.org/obo/ICEMR_0101084	Parasite species	INDIAN_1000052	Pv	values	
http://purl.obolibrary.org/obo/ICEMR_1001053	P. malariae	http://purl.obolibrary.org/obo/ICEMR_0101084	Parasite species	INDIAN_1000053	Pm	values	
http://purl.obolibrary.org/obo/ICEMR_1001054	Not done	http://purl.obolibrary.org/obo/ICEMR_0101084	Parasite species	INDIAN_1000054	ND	values	
http://purl.obolibrary.org/obo/ICEMR_1001055	None	http://purl.obolibrary.org/obo/ICEMR_0101086	Occupation	INDIAN_1000055	None	values	
http://purl.obolibrary.org/obo/ICEMR_1001056	Daily wage/laborer	http://purl.obolibrary.org/obo/ICEMR_0101086	Occupation	INDIAN_1000056	Daily wage/laborer	values	
http://purl.obolibrary.org/obo/ICEMR_1001057	Service	http://purl.obolibrary.org/obo/ICEMR_0101086	Occupation	INDIAN_1000057	Service	values	
http://purl.obolibrary.org/obo/ICEMR_1001059	Trade	http://purl.obolibrary.org/obo/ICEMR_0101086	Occupation	INDIAN_1000059	Trade	values	
http://purl.obolibrary.org/obo/ICEMR_1001061	Housewife	http://purl.obolibrary.org/obo/ICEMR_0101086	Occupation	INDIAN_1000061	Housewife	values	
http://purl.obolibrary.org/obo/ICEMR_1001062	Student	http://purl.obolibrary.org/obo/ICEMR_0101086	Occupation	INDIAN_1000062	Student	values	
http://purl.obolibrary.org/obo/ICEMR_1001063	P. falciparum	http://purl.obolibrary.org/obo/ICEMR_0101087	Past year diagnosis	INDIAN_1000063	P. falciparum	values	
http://purl.obolibrary.org/obo/ICEMR_1001064	P. vivax	http://purl.obolibrary.org/obo/ICEMR_0101087	Past year diagnosis	INDIAN_1000064	P. vivax	values	
http://purl.obolibrary.org/obo/ICEMR_1001065	P. malariae	http://purl.obolibrary.org/obo/ICEMR_0101087	Past year diagnosis	INDIAN_1000065	P. malariae	values	
http://purl.obolibrary.org/obo/ICEMR_1001066	Can't remember	http://purl.obolibrary.org/obo/ICEMR_0101087	Past year diagnosis	INDIAN_1000066	Can't remember	values	
http://purl.obolibrary.org/obo/ICEMR_1001067	Yes	http://purl.obolibrary.org/obo/ICEMR_0101090	Antimalarial drug treated?	INDIAN_1000067	Yes	values	
http://purl.obolibrary.org/obo/ICEMR_1001068	No	http://purl.obolibrary.org/obo/ICEMR_0101090	Antimalarial drug treated?	INDIAN_1000068	No	values	
http://purl.obolibrary.org/obo/ICEMR_1001069	Can't remember	http://purl.obolibrary.org/obo/ICEMR_0101090	Antimalarial drug treated?	INDIAN_1000069	Can't remember	values	
http://purl.obolibrary.org/obo/ICEMR_1001070	Clinic/hospital	http://purl.obolibrary.org/obo/ICEMR_0101093	Who treated you	INDIAN_1000070	Clinic/hospital	values	
http://purl.obolibrary.org/obo/ICEMR_1001071	Private doctor	http://purl.obolibrary.org/obo/ICEMR_0101093	Who treated you	INDIAN_1000071	Private doctor	values	
http://purl.obolibrary.org/obo/ICEMR_1001072	Self-treated	http://purl.obolibrary.org/obo/ICEMR_0101093	Who treated you	INDIAN_1000072	Self-treated	values	
http://purl.obolibrary.org/obo/ICEMR_1001073	Can't remember	http://purl.obolibrary.org/obo/ICEMR_0101093	Who treated you	INDIAN_1000073	Can't remember	values	
http://purl.obolibrary.org/obo/ICEMR_1001074	Filt	http://purl.obolibrary.org/obo/ICEMR_0101094	PCR DNA Source	INDIAN_1000074	Filt	values	
http://purl.obolibrary.org/obo/ICEMR_1001075	SV	http://purl.obolibrary.org/obo/ICEMR_0101094	PCR DNA Source	INDIAN_1000075	SV	values	
http://purl.obolibrary.org/obo/ICEMR_1001076	Vac	http://purl.obolibrary.org/obo/ICEMR_0101094	PCR DNA Source	INDIAN_1000076	Vac	values	
http://purl.obolibrary.org/obo/ICEMR_1001077	Negative	http://purl.obolibrary.org/obo/ICEMR_0101095	Parasite species by PCR	INDIAN_1000077	negative	values	
http://purl.obolibrary.org/obo/ICEMR_1001078	P. falciparum	http://purl.obolibrary.org/obo/ICEMR_0101095	Parasite species by PCR	INDIAN_1000078	Pf	values	
http://purl.obolibrary.org/obo/ICEMR_1001079	P. vivax	http://purl.obolibrary.org/obo/ICEMR_0101095	Parasite species by PCR	INDIAN_1000079	Pv	values	
http://purl.obolibrary.org/obo/ICEMR_1001080	P. malariae	http://purl.obolibrary.org/obo/ICEMR_0101095	Parasite species by PCR	INDIAN_1000080	Pm	values	
http://purl.obolibrary.org/obo/ICEMR_1001081	P. ovale	http://purl.obolibrary.org/obo/ICEMR_0101095	Parasite species by PCR	INDIAN_1000081	Po	values	
http://purl.obolibrary.org/obo/ICEMR_1001082	Above	http://purl.obolibrary.org/obo/ICEMR_0101098	Proverty line	INDIAN_1000082	Above	values	
http://purl.obolibrary.org/obo/ICEMR_1001083	Below	http://purl.obolibrary.org/obo/ICEMR_0101098	Proverty line	INDIAN_1000083	Below	values	
http://purl.obolibrary.org/obo/ICEMR_1001084	P. falciparum	http://purl.obolibrary.org/obo/ICEMR_0101104	Falcivax RDT	INDIAN_1000084	Pf	values	
http://purl.obolibrary.org/obo/ICEMR_1001085	P. vivax	http://purl.obolibrary.org/obo/ICEMR_0101104	Falcivax RDT	INDIAN_1000085	Pv	values	
http://purl.obolibrary.org/obo/ICEMR_1001086	Negative	http://purl.obolibrary.org/obo/ICEMR_0101104	Falcivax RDT	INDIAN_1000086	Negative	values	
http://purl.obolibrary.org/obo/ICEMR_1001087	Not done	http://purl.obolibrary.org/obo/ICEMR_0101104	Falcivax RDT	INDIAN_1000087	Not done / blank	values	
http://purl.obolibrary.org/obo/ICEMR_1001088	Coils	http://purl.obolibrary.org/obo/ICEMR_0101106	Personal repellent	INDIAN_1000088	Coils	values	
http://purl.obolibrary.org/obo/ICEMR_1001089	Vapor/liquidizer	http://purl.obolibrary.org/obo/ICEMR_0101106	Personal repellent	INDIAN_1000089	Vapor/liquidizer	values	
http://purl.obolibrary.org/obo/ICEMR_1001090	Cream/spray	http://purl.obolibrary.org/obo/ICEMR_0101106	Personal repellent	INDIAN_1000090	Cream/spray	values	
http://purl.obolibrary.org/obo/ICEMR_1001091	Mat	http://purl.obolibrary.org/obo/ICEMR_0101106	Personal repellent	INDIAN_1000091	Mat	values	
http://purl.obolibrary.org/obo/ICEMR_1001092	None	http://purl.obolibrary.org/obo/ICEMR_0101106	Personal repellent	INDIAN_1000092	None	values	
http://purl.obolibrary.org/obo/ICEMR_1001093	Unknown	http://purl.obolibrary.org/obo/ICEMR_0101106	Personal repellent	INDIAN_1000093	Unknown	values	
http://purl.obolibrary.org/obo/ICEMR_1001095	Fastcard	http://purl.obolibrary.org/obo/ICEMR_0101106	Personal repellent	INDIAN_1000095	Fastcard	values	
http://purl.obolibrary.org/obo/ICEMR_1001096	Permanent	http://purl.obolibrary.org/obo/ICEMR_0101107	Resident status	INDIAN_1000096	Permanent	values	
http://purl.obolibrary.org/obo/ICEMR_1001097	Temporary	http://purl.obolibrary.org/obo/ICEMR_0101107	Resident status	INDIAN_1000097	Temporary	values	
http://purl.obolibrary.org/obo/ICEMR_1001098	Smear - CSCMI	http://purl.obolibrary.org/obo/OBI_0100051	Specimen type	INDIAN_1000098	Smear - CSCMI	values	
http://purl.obolibrary.org/obo/ICEMR_1001099	Smear - NVBDCP	http://purl.obolibrary.org/obo/OBI_0100051	Specimen type	INDIAN_1000099	Smear - NVBDCP	values	
http://purl.obolibrary.org/obo/ICEMR_1001101	Small volume	http://purl.obolibrary.org/obo/OBI_0100051	Specimen type	INDIAN_1000101	Small volume	values	
http://purl.obolibrary.org/obo/ICEMR_1001102	Vacutainer	http://purl.obolibrary.org/obo/OBI_0100051	Specimen type	INDIAN_1000102	Vacutainer	values	
http://purl.obolibrary.org/obo/ICEMR_1001105	Indoor	http://purl.obolibrary.org/obo/ICEMR_0101111	Sprayed in last 12 months	INDIAN_1000105	Indoor	values	
http://purl.obolibrary.org/obo/ICEMR_1001106	Outdoor	http://purl.obolibrary.org/obo/ICEMR_0101111	Sprayed in last 12 months	INDIAN_1000106	Outdoor	values	
http://purl.obolibrary.org/obo/ICEMR_1001109	No / Not applicable	http://purl.obolibrary.org/obo/ICEMR_0101111	Sprayed in last 12 months	INDIAN_1000109	No / Not applicable	values	
http://purl.obolibrary.org/obo/ICEMR_1001110	Unknown	http://purl.obolibrary.org/obo/ICEMR_0101111	Sprayed in last 12 months	INDIAN_1000110	Unknown	values	
http://purl.obolibrary.org/obo/ICEMR_1001112	House	http://purl.obolibrary.org/obo/EUPATH_0000002	Dwelling type	INDIAN_1000112	House	values	
http://purl.obolibrary.org/obo/ICEMR_1001113	Apartment	http://purl.obolibrary.org/obo/EUPATH_0000002	Dwelling type	INDIAN_1000113	Apartment	values	
http://purl.obolibrary.org/obo/ICEMR_1001114	thatch	http://purl.obolibrary.org/obo/EUPATH_0000003	Roof material	INDIAN_1000114	Thatched	values	http://purl.obolibrary.org/obo/ENVO_01000473
http://purl.obolibrary.org/obo/ICEMR_1001115	tin	http://purl.obolibrary.org/obo/EUPATH_0000003	Roof material	INDIAN_1000115	Tin	values	http://purl.obolibrary.org/obo/CHEBI_32990
http://purl.obolibrary.org/obo/ICEMR_1001117	cement	http://purl.obolibrary.org/obo/EUPATH_0000003	Roof material	INDIAN_1000117	Cement	values	http://purl.obolibrary.org/obo/ENVO_01000458
http://purl.obolibrary.org/obo/ICEMR_1001118	tiles	http://purl.obolibrary.org/obo/EUPATH_0000003	Roof material	INDIAN_1000118	Tile	values	http://purl.obolibrary.org/obo/ENVO_01000514
http://purl.obolibrary.org/obo/ICEMR_1001119	Public	http://purl.obolibrary.org/obo/ICEMR_0101143	Heathcare type	INDIAN_1000119	Public	values	
http://purl.obolibrary.org/obo/ICEMR_1001120	Private	http://purl.obolibrary.org/obo/ICEMR_0101143	Heathcare type	INDIAN_1000120	Private	values	
http://purl.obolibrary.org/obo/ICEMR_1001123	open well	http://purl.obolibrary.org/obo/ENVO_00003064	Drinking water source	INDIAN_1000123	Open well	values	
http://purl.obolibrary.org/obo/ICEMR_1001125	public tank/pump	http://purl.obolibrary.org/obo/ENVO_00003064	Drinking water source	INDIAN_1000125	Public tank/pump	values	
http://purl.obolibrary.org/obo/EUPATH_0000176	Electric	http://purl.obolibrary.org/obo/EUPATH_0000144	Assets	INDIAN_1000001	electricity_yn	values	
http://purl.obolibrary.org/obo/EUPATH_0000127	filter paper	http://purl.obolibrary.org/obo/OBI_0100051	Specimen type	INDIAN_1000100	Filter	values	
http://purl.obolibrary.org/obo/PATO_0000384	male	http://purl.obolibrary.org/obo/PATO_0000047	Sex	INDIAN_1000103	Male	values	
http://purl.obolibrary.org/obo/PATO_0000383	female	http://purl.obolibrary.org/obo/PATO_0000047	Sex	INDIAN_1000104	Female	values	
http://purl.obolibrary.org/obo/ENVO_01000513	asbestos roof	http://purl.obolibrary.org/obo/EUPATH_0000003	Roof material	INDIAN_1000116	Asbestos	values	
http://purl.obolibrary.org/obo/EUPATH_0000256	pipe into dwelling	http://purl.obolibrary.org/obo/ENVO_00003064	Drinking water source	INDIAN_1000121	Indoor plumbing	values	
http://purl.obolibrary.org/obo/ENVO_00003097	borehole	http://purl.obolibrary.org/obo/ENVO_00003064	Drinking water source	INDIAN_1000122	Bore well	values	
http://purl.obolibrary.org/obo/ENVO_01000599	river/stream	http://purl.obolibrary.org/obo/ENVO_00003064	Drinking water source	INDIAN_1000124	Stream/river	values	
