IRI,label,variable,dataFile,definition,codebookValues,parentIRI,parentLabel,termType,replaces,source category,ISA_Type,ISA_Parent,unitLabel,unitIRI,hidden,forceStringType
http://purl.obolibrary.org/obo/OBI_0003071,Subject ID,Bangladesh_healthy_5yr.txt::Child ID,Bangladesh_healthy_5yr.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Human,characteristicQualifier,Source,,,everywhere,yes
http://purl.obolibrary.org/obo/EUPATH_0000733,Weight-for-age z-score,Bangladesh_healthy_5yr.txt::WAZ,Bangladesh_healthy_5yr.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,variable,,Human,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/EUPATH_0011895,Weight-for-height z-score,Bangladesh_healthy_5yr.txt::WHZ,Bangladesh_healthy_5yr.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,variable,,Human,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/OBI_0001169,Age,BONUS.txt::age_at_collection_months,BONUS.txt,,,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,variable,,Human,characteristicQualifier,Source,months,http://purl.obolibrary.org/obo/UO_0000035,,
http://purl.obolibrary.org/obo/EUPATH_0000580,Antibiotic exposure,BONUS.txt::antibiotic_exposure,BONUS.txt,was the host exposed to antibiotics?,,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,variable,,Human,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/EUPATH_0031068,Breast milk,BONUS.txt::Breastmilk in diet,BONUS.txt,,,http://purl.obolibrary.org/obo/FOODON_03412974,Liquids for consumption,variable,,Human,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/NCIT_C105971,Calprotectin,BONUS.txt::Calprotectin,BONUS.txt,,,http://purl.obolibrary.org/obo/OBI_0000070,Laboratory test,variable,,Human,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/EUPATH_0009091,CFTR mutation (F508del),BONUS.txt::F508del-CFTR genotype,BONUS.txt,"Whether the patient was homozygous or heterozygous for mutations at the cystic fibrosis transmembrane conductance regulator (CFTR) gene, or whether they had other mutations relevant to cystic fibrosis.",,http://purl.obolibrary.org/obo/EUPATH_0000306,Participant genotype,variable,,Human,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/EUPATH_0009245,Fecal fat,BONUS.txt::Fecal fat percentage,BONUS.txt,,,http://purl.obolibrary.org/obo/OBI_0000070,Laboratory test,variable,,Human,characteristicQualifier,Source,%,http://purl.obolibrary.org/obo/UO_0000187,,
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,BONUS.txt::env_feature,BONUS.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000587,Environment information,variable,ENVO_00002297,Human,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,BONUS.txt::body_habitat,BONUS.txt,original body habitat where the sample was obtained from,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Human,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/UBERON_0000463,Host body product,BONUS.txt::body_product,BONUS.txt,"substance produced by the body, e.g. stool, mucus, where the sample was obtained from. For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA",,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Human,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,BONUS.txt::body_site,BONUS.txt,name of body site where the sample was obtained from,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Human,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/FOODON_03303130,Infant formula,BONUS.txt::Formula in diet,BONUS.txt,,,http://purl.obolibrary.org/obo/FOODON_03412974,Liquids for consumption,variable,,Human,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/EUPATH_0009261,Low length,BONUS.txt::Is low length,BONUS.txt,Information whether individual was classified as of low length,,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,variable,,Human,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/EUPATH_0009241,Low weight,BONUS.txt::Is low weight,BONUS.txt,Information whether individual was classified as of low weight,,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,variable,,Human,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/HP_0001738,Pancreatic insufficiency,BONUS.txt::Pancreatic insufficiency,BONUS.txt,,,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,variable,,Human,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/EUPATH_0009262,Received acid blocker,BONUS.txt::Received acid blocker,BONUS.txt,,,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,variable,,Human,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/EUPATH_0009263,Received proton pump inhibitor,BONUS.txt::Received protein pump inhibitor,BONUS.txt,,,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,variable,,Human,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/EUPATH_0011918,Recumbent length,BONUS.txt::Body length (cm),BONUS.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,variable,,Human,characteristicQualifier,Source,cm,http://purl.obolibrary.org/obo/UO_0000015,,
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,BONUS.txt::sample_type,BONUS.txt,,,http://purl.obolibrary.org/obo/EUPATH_0011996,Sample details,variable,,Human,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/PATO_0000047,Sex,BONUS.txt::sex,BONUS.txt,physical sex of the host,,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,variable,,Human,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/EUPATH_0000639,Study group,BONUS.txt::cohort,BONUS.txt,"Describes treatment, infection status, etc.","Co-housed Naive, Infected",http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Human,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/OBI_0003071,Subject ID,BONUS.txt::subject_id,BONUS.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Human,characteristicQualifier,Source,,,everywhere,yes
http://purl.obolibrary.org/obo/EUPATH_0009244,Table food,BONUS.txt::Table food in diet,BONUS.txt,,,http://purl.obolibrary.org/obo/EUPATH_0011732,Diet,variable,,Human,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/IAO_0000414,Weight,BONUS.txt::Host weight (kg),BONUS.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,variable,EUPATH_0000732,Human,characteristicQualifier,Source,kg,http://purl.obolibrary.org/obo/UO_0000009,,
http://purl.obolibrary.org/obo/OBI_0001169,Age,CAMP.txt::age,CAMP.txt,"age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees. The unit of age is year.",,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,variable,,Dog,characteristicQualifier,Source,years,http://purl.obolibrary.org/obo/UO_0000036,,
http://purl.obolibrary.org/obo/EUPATH_0009005,Animal sterilization,CAMP.txt::Animal sterilization,CAMP.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Dog,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/EUPATH_0010375,Case or control participant,CAMP.txt::case_control,CAMP.txt,,,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,variable,,Dog,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/ENVO_00000009,Country,CAMP.txt::country,CAMP.txt,,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,,Dog,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,CAMP.txt::env_feature,CAMP.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000587,Environment information,variable,ENVO_00002297,Dog,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,CAMP.txt::body_habitat,CAMP.txt,original body habitat where the sample was obtained from,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Dog,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/UBERON_0000463,Host body product,CAMP.txt::body_product,CAMP.txt,"substance produced by the body, e.g. stool, mucus, where the sample was obtained from. For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA",,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Dog,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,CAMP.txt::body_site,CAMP.txt,name of body site where the sample was obtained from,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Dog,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/EUPATH_0009015,Pathogen species,CAMP.txt::Parasite_found_species,CAMP.txt,,,http://purl.obolibrary.org/obo/OBI_0003039,Stool microbiology test,variable,,Dog,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/EUPATH_0009016,Pathogen type,CAMP.txt::Parasite_found_type,CAMP.txt,,,http://purl.obolibrary.org/obo/OBI_0003039,Stool microbiology test,variable,,Dog,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/EUPATH_0009004,Pet ownership,CAMP.txt::VHUP_#,CAMP.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Dog,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/SO_0001000,Region of 16S rRNA sequenced,CAMP.txt::region,CAMP.txt,,,http://purl.obolibrary.org/obo/OBI_0003069,Sequencing,variable,,Dog,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,CAMP.txt::sample_type,CAMP.txt,,,http://purl.obolibrary.org/obo/EUPATH_0011996,Sample details,variable,,Dog,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/EUPATH_0000604,Sequencing batch,CAMP.txt::run_prefix_prep,CAMP.txt,In which batch were samples sequenced together,,http://purl.obolibrary.org/obo/OBI_0003069,Sequencing,variable,,Dog,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/PATO_0000047,Sex,CAMP.txt::host_sex,CAMP.txt,physical sex of the host,,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,variable,,Dog,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/OBI_0003074,Subject common name,CAMP.txt::host_common_name,CAMP.txt,"common name of the host, e.g. human",,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,EUPATH_0000512,Dog,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/OBI_0001622,Title,CAMP.txt::title,CAMP.txt,,,http://purl.obolibrary.org/obo/OBI_0000066,Investigation type,variable,,Dog,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/ENVO_00000009,Country,Ciara_V1V3.txt::country,Ciara_V1V3.txt,,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,,Human,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/EUPATH_0009013,Cured,Ciara_V1V3.txt::Cured,Ciara_V1V3.txt,,,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,variable,,Human,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/EUPATH_0000747,DNA extraction date,Ciara_V1V3.txt::ExtractionDate,Ciara_V1V3.txt,Describes when the DNA was extracted,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,variable,,Human,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/EUPATH_0009014,DTH testing result,Ciara_V1V3.txt::DTH,Ciara_V1V3.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Human,characteristicQualifier,Source,mm squared,http://purl.obolibrary.org/obo/UO_0000082,,
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,Ciara_V1V3.txt::env_feature,Ciara_V1V3.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000587,Environment information,variable,ENVO_00002297,Human,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,Ciara_V1V3.txt::body_habitat,Ciara_V1V3.txt,original body habitat where the sample was obtained from,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Human,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/UBERON_0000463,Host body product,Ciara_V1V3.txt::body_product,Ciara_V1V3.txt,"substance produced by the body, e.g. stool, mucus, where the sample was obtained from. For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA",,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Human,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,Ciara_V1V3.txt::body_site,Ciara_V1V3.txt,name of body site where the sample was obtained from,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Human,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/EUPATH_0000621,Lesion size,Ciara_V1V3.txt::Lesion Size,Ciara_V1V3.txt,Describes the size of the lesion at the time the swab was collected,,http://purl.obolibrary.org/obo/EUPATH_0000610,Skin phenotype,variable,,Human,characteristicQualifier,Source,mm squared,http://purl.obolibrary.org/obo/UO_0000082,,
http://purl.obolibrary.org/obo/EUPATH_0000619,Number of treatments,Ciara_V1V3.txt::No. Treatment,Ciara_V1V3.txt,Describes the number of treatments needed before the lesion healed,,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,variable,,Human,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/SO_0001000,Region of 16S rRNA sequenced,Ciara_V1V3.txt::region,Ciara_V1V3.txt,,,http://purl.obolibrary.org/obo/OBI_0003069,Sequencing,variable,,Human,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,Ciara_V1V3.txt::sample_type,Ciara_V1V3.txt,,,http://purl.obolibrary.org/obo/EUPATH_0011996,Sample details,variable,,Human,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/EUPATH_0000604,Sequencing batch,Ciara_V1V3.txt::run_prefix_prep,Ciara_V1V3.txt,In which batch were samples sequenced together,,http://purl.obolibrary.org/obo/OBI_0003069,Sequencing,variable,,Human,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/EUPATH_0009012,Skin charateristics,Ciara_V1V3.txt::BodyType,Ciara_V1V3.txt,,"Sebaceous, Dry, Moist",http://purl.obolibrary.org/obo/EUPATH_0000610,Skin phenotype,variable,,Human,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/EUPATH_0000632,Skin lesion duration,Ciara_V1V3.txt::Lesion Duration,Ciara_V1V3.txt,Describes how long a lesion was present before swabbing it,,http://purl.obolibrary.org/obo/EUPATH_0000610,Skin phenotype,variable,,Human,characteristicQualifier,Source,days,http://purl.obolibrary.org/obo/UO_0000033,,
http://purl.obolibrary.org/obo/EUPATH_0000617,Skin type swabbed,Ciara_V1V3.txt::Site,Ciara_V1V3.txt,"Describes the type of skin swabbed (lesion, non-lesion (contralateral skin), etc)","Lesion, Border (adjacent to lesion), Normal (Contralateral skin)",http://purl.obolibrary.org/obo/EUPATH_0011996,Sample details,variable,,Human,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/OBI_0003071,Subject ID,Ciara_V1V3.txt::host_subject_id,Ciara_V1V3.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Human,characteristicQualifier,Source,,,everywhere,yes
http://purl.obolibrary.org/obo/OBI_0001622,Title,Ciara_V1V3.txt::title,Ciara_V1V3.txt,,,http://purl.obolibrary.org/obo/OBI_0000066,Investigation type,variable,,Human,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/EUPATH_0009010,Animal cage num,Ciara_V4.txt::Cage ID,Ciara_V4.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Mouse,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/EUPATH_0000640,Animal cage num in experiment,Ciara_V4.txt::Exp_Cage ID,Ciara_V4.txt,Cage # designated for that experiment,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Mouse,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/EUPATH_0009013,Cured,Ciara_V4.txt::Cured,Ciara_V4.txt,,,http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,variable,,Mouse,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/EUPATH_0000747,DNA extraction date,Ciara_V4.txt::ExtractionDate,Ciara_V4.txt,Describes when the DNA was extracted,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,variable,,Mouse,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/EUPATH_0009014,DTH testing result,Ciara_V4.txt::DTH,Ciara_V4.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Mouse,characteristicQualifier,Source,mm squared,http://purl.obolibrary.org/obo/UO_0000082,,
http://purl.obolibrary.org/obo/EUPATH_0000614,Ear thickness,Ciara_V4.txt::Thickness,Ciara_V4.txt,Measurement of ear thickness of a mouse,Ciara_V4.txt::mm,http://purl.obolibrary.org/obo/EUPATH_0000610,Skin phenotype,variable,,Mouse,characteristicQualifier,Source,mm,http://purl.obolibrary.org/obo/UO_0000016,,
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,Ciara_V4.txt::env_feature,Ciara_V4.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000587,Environment information,variable,ENVO_00002297,Mouse,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,Ciara_V4.txt::body_habitat,Ciara_V4.txt,original body habitat where the sample was obtained from,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Mouse,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/UBERON_0000463,Host body product,Ciara_V4.txt::body_product,Ciara_V4.txt,"substance produced by the body, e.g. stool, mucus, where the sample was obtained from. For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA",,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Mouse,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,Ciara_V4.txt::body_site,Ciara_V4.txt,name of body site where the sample was obtained from,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,variable,,Mouse,characteristicQualifier,Sample,,,,
http://purl.obolibrary.org/obo/EUPATH_0009011,Lesion score,Ciara_V4.txt::Lesion score,Ciara_V4.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000610,Skin phenotype,variable,,Mouse,characteristicQualifier,Source,,,,
http://purl.obolibrary.org/obo/EUPATH_0000621,Lesion size,Ciara_V4.txt::Lesion Size,Ciara_V4.txt,Describes the size of the lesion at the time the swab was collected,,http://purl.obolibrary.org/obo/EUPATH_0000610,Skin phenotype,variable,,Mouse,characteristicQualifier,Source,mm squared,http://purl.obolibrary.org/obo/UO_0000082,,
http://purl.obolibrary.org/obo/EUPATH_0000619,Number of treatments,Ciara_V4.txt::No. Treatment,Ciara_V4.txt,Describes the number of treatments needed before the lesion healed,,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,variable,,Mouse,characteristicQualifier,Source,,,,
