IRI,label,variable,dataset,definition,codebookValues,parentIRI,parentLabel,termType,replaces,category,ISA_Type,ISA_Parent
http://purl.obolibrary.org/obo/EUPATH_0000604,Sequencing batch,run_prefix_prep,CAMP.txt,In which batch were samples sequenced together,,http://purl.obolibrary.org/obo/EUPATH_0000603,Sequencing,variable,,Dog,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/PATO_0000047,Sex,host_sex,CAMP.txt,physical sex of the host,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Dog,characteristicQualifier,Source
http://purl.obolibrary.org/obo/OBI_0001622,Title,title,CAMP.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000605,Study summary,variable,,Dog,characteristicQualifier,Source
http://purl.obolibrary.org/obo/NCIT_C53693,Canine breed,Breed_Strain,ENTiCE.txt,Canine Breed,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Dog,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0009009,CCECAI,CCECAI,ENTiCE.txt,Canine Chronic Enteropathy Clinical Activity Index,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Dog,characteristicQualifier,Source
http://purl.obolibrary.org/obo/ENVO_00000004,Country,country,ENTiCE.txt,,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,OBI_0001627,Dog,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0009006,Days in study,Timepoint post-treatment,ENTiCE.txt,,,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection,variable,,Dog,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,env_feature,ENTiCE.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000587,Environment information,variable,ENVO_00002297,Dog,characteristicQualifier,Source
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,body_habitat,ENTiCE.txt,original body habitat where the sample was obtained from,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Dog,characteristicQualifier,Source
http://purl.obolibrary.org/obo/UBERON_0000463,Host body product,body_product,ENTiCE.txt,"substance produced by the body, e.g. stool, mucus, where the sample was obtained from. For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA",,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Dog,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,body_site,ENTiCE.txt,name of body site where the sample was obtained from,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Dog,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0000512,Host common name,host_common_name,ENTiCE.txt,"common name of the host, e.g. human",,http://purl.obolibrary.org/obo/EUPATH_0000589,Host information,variable,,Dog,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0009007,Host phenotype,phenotype,ENTiCE.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Dog,characteristicQualifier,Source
http://purl.obolibrary.org/obo/SO_0001000,Region of 16S rRNA sequenced,region,ENTiCE.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000603,Sequencing,variable,,Dog,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,sample_type,ENTiCE.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,variable,,Dog,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/PATO_0000047,Sex,host_sex,ENTiCE.txt,physical sex of the host,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Dog,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0000606,Subject ID,host_subject_id,ENTiCE.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,variable,,Dog,characteristicQualifier,Source
http://purl.obolibrary.org/obo/OBI_0001622,Title,title,ENTiCE.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000605,Study summary,variable,,Dog,characteristicQualifier,Source
http://purl.obolibrary.org/obo/OBI_0001169,Age (years),host_age,EMP_1064_Bee_Microbiome.txt,"age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees. The unit of age is year.",,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Honey bee,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0000583,Bee colony tetracycline,colony_tetracycline,EMP_1064_Bee_Microbiome.txt,was the bee colony treated with tetracycline,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Honey bee,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0000592,Bee larval tetracycline,larval_tetracycline,EMP_1064_Bee_Microbiome.txt,were bee larvae treated with tetracycline?,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Honey bee,characteristicQualifier,Source
http://purl.obolibrary.org/obo/ENVO_00000004,Country,country,EMP_1064_Bee_Microbiome.txt,,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,OBI_0001627,Honey bee,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0000578,Depth,depth,EMP_1064_Bee_Microbiome.txt,"depth is defined as the vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly. Depth can be reported as an interval for subsurface samples",,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,,Honey bee,characteristicQualifier,Source
http://purl.obolibrary.org/obo/ENVO_00000176,Elevation (feet),elevation,EMP_1064_Bee_Microbiome.txt,the elevation of the sampling site as measured by the vertical distance from mean sea level,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,,Honey bee,characteristicQualifier,Source
http://purl.obolibrary.org/obo/ENVO_00000428,Environment (biome),env_biome,EMP_1064_Bee_Microbiome.txt,"Biomes are defined based on factors such as plant structures, leaf types, plant spacing, and other factors like climate. Biome should be treated as the descriptor of the broad ecological context of a sample. Examples include: desert, taiga, deciduous wood",,http://purl.obolibrary.org/obo/EUPATH_0000587,Environment information,variable,,Honey bee,characteristicQualifier,Source
http://purl.obolibrary.org/obo/ENVO_00010483,Environment (material),env_matter,EMP_1064_Bee_Microbiome.txt,"The environmental material level refers to the material that was displaced by the sample, or material in which a sample was embedded, prior to the sampling event. Environmental material terms are generally mass nouns. Examples include: air, soil, or water",,http://purl.obolibrary.org/obo/EUPATH_0000587,Environment information,variable,,Honey bee,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,env_feature,EMP_1064_Bee_Microbiome.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000587,Environment information,variable,ENVO_00002297,Honey bee,characteristicQualifier,Source
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,body_habitat,EMP_1064_Bee_Microbiome.txt,original body habitat where the sample was obtained from,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Honey bee,characteristicQualifier,Source
http://purl.obolibrary.org/obo/UBERON_0000463,Host body product,body_product,EMP_1064_Bee_Microbiome.txt,"substance produced by the body, e.g. stool, mucus, where the sample was obtained from. For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA",,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Honey bee,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,body_site,EMP_1064_Bee_Microbiome.txt,name of body site where the sample was obtained from,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Honey bee,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0000512,Host common name,host_common_name,EMP_1064_Bee_Microbiome.txt,"common name of the host, e.g. human",,http://purl.obolibrary.org/obo/EUPATH_0000589,Host information,variable,,Honey bee,characteristicQualifier,Source
http://purl.obolibrary.org/obo/UBERON_0000105,Host life stage,host_life_stage,EMP_1064_Bee_Microbiome.txt,description of life stage of host,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Honey bee,characteristicQualifier,Source
http://purl.obolibrary.org/obo/OBI_0001620,Latitude (degrees),latitude,EMP_1064_Bee_Microbiome.txt,,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,,Honey bee,characteristicQualifier,Source
http://purl.obolibrary.org/obo/OBI_0001621,Longitude (degrees),longitude,EMP_1064_Bee_Microbiome.txt,,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,variable,,Honey bee,characteristicQualifier,Source
http://purl.obolibrary.org/obo/OBI_0001619,Sample collection date,collection_timestamp,EMP_1064_Bee_Microbiome.txt,"The time of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01",,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection,variable,,Honey bee,protocolParameter,specimen collection
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,sample_type,EMP_1064_Bee_Microbiome.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,variable,,Honey bee,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/PATO_0000047,Sex,sex,EMP_1064_Bee_Microbiome.txt,physical sex of the host,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Honey bee,characteristicQualifier,Source
http://purl.obolibrary.org/obo/REO_0000699,Social role,role,EMP_1064_Bee_Microbiome.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Honey bee,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0000606,Subject ID,host_subject_id,EMP_1064_Bee_Microbiome.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,variable,,Honey bee,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0009010,Animal cage num,Cage ID,Ciara_V4.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Mouse,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0000640,Animal cage num in experiment,Exp_Cage ID,Ciara_V4.txt,Cage # designated for that experiment,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Mouse,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0009013,Cured,Cured,Ciara_V4.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Mouse,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0000747,DNA extraction date,ExtractionDate,Ciara_V4.txt,Describes when the DNA was extracted,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,variable,,Mouse,protocolParameter,DNA extraction
http://purl.obolibrary.org/obo/EUPATH_0009014,DTH testing result (mm squared),DTH,Ciara_V4.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Mouse,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0000614,Ear thickness (mm),Thickness,Ciara_V4.txt,Measurement of ear thickness of a mouse,mm,http://purl.obolibrary.org/obo/EUPATH_0000610,Skin phenotype,variable,,Mouse,characteristicQualifier,Source
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,env_feature,Ciara_V4.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000587,Environment information,variable,ENVO_00002297,Mouse,characteristicQualifier,Source
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,body_habitat,Ciara_V4.txt,original body habitat where the sample was obtained from,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Mouse,characteristicQualifier,Source
http://purl.obolibrary.org/obo/UBERON_0000463,Host body product,body_product,Ciara_V4.txt,"substance produced by the body, e.g. stool, mucus, where the sample was obtained from. For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA",,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Mouse,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,body_site,Ciara_V4.txt,name of body site where the sample was obtained from,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Mouse,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0000512,Host common name,host_common_name,Ciara_V4.txt,"common name of the host, e.g. human",,http://purl.obolibrary.org/obo/EUPATH_0000589,Host information,variable,,Mouse,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0009011,Lesion score,Lesion score,Ciara_V4.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000610,Skin phenotype,variable,,Mouse,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0000621,Lesion size (mm squared),Lesion Size,Ciara_V4.txt,Describes the size of the lesion at the time the swab was collected,,http://purl.obolibrary.org/obo/EUPATH_0000610,Skin phenotype,variable,,Mouse,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0000619,Number of treatments,No. Treatment,Ciara_V4.txt,Describes the number of treatments needed before the lesion healed,,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,variable,,Mouse,characteristicQualifier,Source
http://purl.obolibrary.org/obo/SO_0001000,Region of 16S rRNA sequenced,region,Ciara_V4.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000603,Sequencing,variable,,Mouse,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0000613,Sample collection time post infection (days),Days post-infection,Ciara_V4.txt,Describes when the samples were collected following infection,days,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection,variable,,Mouse,characteristicQualifier,Source
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,sample_type,Ciara_V4.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,variable,,Mouse,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0000604,Sequencing batch,run_prefix_prep,Ciara_V4.txt,In which batch were samples sequenced together,,http://purl.obolibrary.org/obo/EUPATH_0000603,Sequencing,variable,,Mouse,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/PATO_0000047,Sex,host_sex,Ciara_V4.txt,physical sex of the host,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Mouse,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0009012,Skin charateristics,BodyType,Ciara_V4.txt,,"Sebaceous, Dry, Moist",http://purl.obolibrary.org/obo/EUPATH_0000610,Skin phenotype,variable,,Mouse,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0000632,Skin lesion duration (days),Lesion Duration,Ciara_V4.txt,Describes how long a lesion was present before swabbing it,,http://purl.obolibrary.org/obo/EUPATH_0000610,Skin phenotype,variable,,Mouse,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0000617,Skin type swabbed,Site,Ciara_V4.txt,"Describes the type of skin swabbed (lesion, non-lesion (contralateral skin), etc)","Lesion, Border (adjacent to lesion), Normal (Contralateral skin)",http://purl.obolibrary.org/obo/OBI_0000659,Sample collection,variable,,Mouse,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/EUPATH_0000639,Study group,Group,Ciara_V4.txt,"Describes treatment, infection status, etc.","Co-housed Naive, Infected",http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Mouse,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0000606,Subject ID,host_subject_id,Ciara_V4.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,variable,,Mouse,characteristicQualifier,Source
http://purl.obolibrary.org/obo/OBI_0001622,Title,title,Ciara_V4.txt,,,http://purl.obolibrary.org/obo/EUPATH_0000605,Study summary,variable,,Mouse,characteristicQualifier,Source
http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,Treatment,Ciara_V4.txt,A processual entity whose completion is hypothesized (by a healthcare provider) to alleviate the signs and symptoms associated with a disorder,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,variable,,Mouse,characteristicQualifier,Source
http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test,,,,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,category,,,,
http://purl.obolibrary.org/obo/OBI_0600047,Sequencing assay,,,,,http://www.w3.org/2002/07/owl#Thing,,category,,,,
http://purl.obolibrary.org/obo/OGMS_0000015,Clinical history,,,,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,category,,,,
http://purl.obolibrary.org/obo/EUPATH_0000587,Environment information,,,,,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,category,,,,
http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,,,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,category,,,,
http://purl.obolibrary.org/obo/EUPATH_0000589,Host information,,,,,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,category,,,,
http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,,,,,http://purl.obolibrary.org/obo/EUPATH_0000589,Host information,category,,,,
http://purl.obolibrary.org/obo/EUPATH_0009016,Pathogen type,,,,,http://purl.obolibrary.org/obo/EUPATH_0000724,Stool microbiology test,category,,,,
http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,,,http://www.w3.org/2002/07/owl#Thing,,category,,,,
http://purl.obolibrary.org/obo/OBI_0000659,Sample collection,,,,,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,category,,,,
http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,,,,,http://www.w3.org/2002/07/owl#Thing,,category,,,,
http://purl.obolibrary.org/obo/EUPATH_0000603,Sequencing,,,,,http://purl.obolibrary.org/obo/OBI_0600047,Sequencing assay,category,,,,
http://purl.obolibrary.org/obo/EUPATH_0000610,Skin phenotype,,,,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,category,,,,
http://purl.obolibrary.org/obo/EUPATH_0000724,Stool microbiology test,,,,,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test,category,,,,
http://purl.obolibrary.org/obo/EUPATH_0000605,Study summary,,,,,http://www.w3.org/2002/07/owl#Thing,,category,,,,
http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,,,,,http://purl.obolibrary.org/obo/EUPATH_0000612,Human or Animal,category,,,,
