Term Ontology IRI	Display Label	Term parent ontology IRI	Term Parent Display Label	Data Dictionary ID	PRISM Data Dictionary Label (en)	Term Type	PRISM Preferred Label (en)	Prism Description	EuPath Definition	ID#
http://purl.obolibrary.org/obo/EUPATH_0000116	Human Biting Rate (HBR)	http://purl.obolibrary.org/obo/EUPATH_0000312	Aggregated Entomological Measurement	PRISM_0100015	Ave_anopheles	variable	Human Biting Rate (HBR)	Average number of Anopheles females trapped per night	Average number of Anopheles females trapped per night	1.5.2
http://purl.obolibrary.org/obo/EUPATH_0000048	Asexual parasites present	http://purl.obolibrary.org/obo/OGMS_0000018	Laboratory Findings	PRISM_0100016	Bsdich	variable	Asexual parasites present	"Asexual parasites in the blood, as determined by microscopy"	"Asexual parasites in the blood, as determined by microscopy"	3.4.4
http://purl.obolibrary.org/obo/EUPATH_0000156	Cough duration	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	PRISM_0100017	cduration	variable	duration of cough			3.2.6.6
http://purl.obolibrary.org/obo/EUPATH_0000036	Basis of complicated diagnosis	http://purl.obolibrary.org/obo/EUPATH_0000316	Malaria severity and basis	PRISM_0100018	cmcategory	variable	Basis of complicated diagnosis			3.3.1.5
http://purl.obolibrary.org/obo/EUPATH_0000040	Complicated malaria	http://purl.obolibrary.org/obo/EUPATH_0000316	Malaria severity and basis	PRISM_0100019	complicatedmalaria	variable	Complicated malaria	"Diagnosis of malaria with danger signs including inability to sit up or stand, vomiting, unable to breastfeed or drink and lethargy, or criteria for severe malaria."	"Diagnosis of malaria with danger signs including inability to sit up or stand, vomiting, unable to breastfeed or drink and lethargy, or criteria for severe malaria."	3.3.1.4
http://purl.obolibrary.org/obo/SYMP_0000614	Cough	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	PRISM_0100020	Cough	variable	Cough			3.2.6.5
http://purl.obolibrary.org/obo/EUPATH_0000319	Date of hospital admission	http://purl.obolibrary.org/obo/EUPATH_0000308	Hospitalization	PRISM_0100021	date of hospital admission	variable	Date of hospital admission			
http://purl.obolibrary.org/obo/EUPATH_0000320	Date of hospital discharge	http://purl.obolibrary.org/obo/EUPATH_0000308	Hospitalization	PRISM_0100022	date of hospital discharge	variable	Date of hospital discharge			
http://purl.obolibrary.org/obo/EUPATH_0000150	Date of death	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	PRISM_0100023	dateofdeath	variable	date of death			
http://purl.obolibrary.org/obo/EUPATH_0000191	Days since enrollment	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	PRISM_0100024	dayssinceenrollment	variable	Days since enrollment	Number of days from time of participant enrollment in study until current visit	Number of days from time of participant enrollment in study until current visit	3.1.11
http://purl.obolibrary.org/obo/EUPATH_0000157	Diarrhea duration	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	PRISM_0100025	dduration	variable	duration of diarrhea			3.2.6.8
http://purl.obolibrary.org/obo/EUPATH_0000089	Asymptomatic parasitemia	http://purl.obolibrary.org/obo/OGMS_0000073	Diagnosis	PRISM_0100026	diagnosis of asymptomatic parasitemia	variable	Asymptomatic parasitemia	Diagnosis based on presence of asexual parasites by microscopy in the absence of subjective fever or documented elevated temperature	Diagnosis based on presence of asexual parasites by microscopy in the absence of subjective fever or documented elevated temperature	3.3.1.8
http://purl.obolibrary.org/obo/DOID_13250	Diarrhea	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	PRISM_0100027	Diarrhea	variable	Diarrhea	Abnormally increased frequency of loose or watery bowel movements	Abnormally increased frequency of loose or watery bowel movements	3.2.6.7
http://purl.obolibrary.org/obo/EUPATH_0000194	Discparity	http://purl.obolibrary.org/obo/EUPATH_0000324	Mosquito Parity	PRISM_0100028	discparity	variable	Discparity	Number of female Anopheles dissected for parity in a collection	Number of female Anopheles dissected for parity in a collection	1.5.8.1
http://purl.obolibrary.org/obo/EUPATH_0000054	Subcounty in Uganda	http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	PRISM_0100029	DISTRICT	variable	subcounty in Uganda	"Subcounty in Uganda (Walukuba<Jinja, Kihihi<Kanungu, Nagongera<Tororo)"	"Subcounty in Uganda (Walukuba<Jinja, Kihihi<Kanungu, Nagongera<Tororo)"	1.1
http://purl.obolibrary.org/obo/EUPATH_0000161	Joint pains duration	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	PRISM_0100030	djointpains	variable	duration of joint pains			3.2.6.18
http://purl.obolibrary.org/obo/EUPATH_0000032	Date of birth	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	PRISM_0100031	DOB	variable	date of birth			
http://purl.obolibrary.org/obo/EUPATH_0000321	Diagnosis at discharge	http://purl.obolibrary.org/obo/EUPATH_0000308	Hospitalization	PRISM_0100032	Diagnosis at discharge	variable	Diagnosis at discharge			3.3.2
http://purl.obolibrary.org/obo/ICEMR_0100001	Easting coordinate	http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	PRISM_0100033	easting	variable			Easting refers to eastward-measured distance (or the x-coordinate). The terms easting and northing are geographic Cartesian coordinates for a point. Easting and northing coordinates are commonly measured in metres from a horizontal datum.	
http://purl.obolibrary.org/obo/EUPATH_0000015	Eaves	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	PRISM_0100034	eaves	variable	Eaves	Nature of eaves (exposure to outside air)	Nature of eaves (exposure to outside air)	1.2.5
http://purl.obolibrary.org/obo/EUPATH_0000151	Enrollment date	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	PRISM_0100035	enrollperiod	variable	Enrollment date	Date participant first enrolled in study	Date participant first enrolled in study	2.1.2
http://purl.obolibrary.org/obo/SYMP_0019177	Fatigue	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	PRISM_0100036	Fatigue	variable	Fatigue	Fatigue or malaise	Fatigue or malaise	3.2.6.13
http://purl.obolibrary.org/obo/EUPATH_0000164	Subjective fever duration	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	PRISM_0100037	fduration	variable	duration of subjective fever			3.2.6.12
http://purl.obolibrary.org/obo/EUPATH_0000097	Febrile	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	PRISM_0100038	febrile	variable	Febrile	Elevated temperature or subjective fever	Elevated temperature or subjective fever	3.2.5
http://purl.obolibrary.org/obo/EUPATH_0000192	Fed A. funestus	http://purl.obolibrary.org/obo/EUPATH_0000322	Anopheles funestus	PRISM_0100039	fedfunes	variable	Fed A. funestus	Number of female Anopheles funestus with a recent blood meal	Number of female Anopheles funestus with a recent blood meal	1.5.5.2
http://purl.obolibrary.org/obo/EUPATH_0000193	Fed A. gambiae	http://purl.obolibrary.org/obo/EUPATH_0000323	Anopheles gambiae sl	PRISM_0100040	fedgamb	variable	Fed A. gambiae	Number of female Anopheles gambiae with a recent blood meal	Number of female Anopheles gambiae with a recent blood meal	1.5.4.2
http://purl.obolibrary.org/obo/EUPATH_0000200	Anopheles Other	http://purl.obolibrary.org/obo/EUPATH_0000313	Individual Entomogical Measurement	PRISM_0100041	femotherano	variable	Anopheles Other	Number of other female Anopheles species	Number of other female Anopheles species	1.5.6
http://purl.obolibrary.org/obo/EUPATH_0000100	Fever (subjective)	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	PRISM_0100042	fever	variable	Fever (subjective)	"Subjective fever, as reported by the study participant or their parent/guardian"	"Subjective fever, as reported by the study participant or their parent/guardian"	3.2.6.11
http://purl.obolibrary.org/obo/EUPATH_0000006	Floor material	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	PRISM_0100043	floortype	variable	Floor material	Primary material of floors	Primary material of floors	1.2.9
http://purl.obolibrary.org/obo/EUPATH_0000158	Fatigue duration	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	PRISM_0100044	fmduration	variable	duration of fatigue			3.2.6.14
http://purl.obolibrary.org/obo/EUPATH_0000023	Cooking fuel	http://purl.obolibrary.org/obo/EUPATH_0000302	Facilities	PRISM_0100045	FUELTYPE	variable	Cooking fuel	Primary fuel used for cooking	Primary fuel used for cooking	1.3.1
http://purl.obolibrary.org/obo/EUPATH_0000202	Unable to assess A. funestus	http://purl.obolibrary.org/obo/EUPATH_0000322	Anopheles funestus	PRISM_0100046	funesunableassess	variable	Unable to assess A. funestus	Number of Anopheles funestus that could not be assessed	Number of Anopheles funestus that could not be assessed	1.5.5.5
http://purl.obolibrary.org/obo/EUPATH_0000033	G6PD Genotype	http://purl.obolibrary.org/obo/EUPATH_0000306	Participant Genotype	PRISM_0100047	G6PD	variable	G6PD Genotype			2.2.4.2
http://purl.obolibrary.org/obo/EUPATH_0000203	Unable to assess A. gambiae	http://purl.obolibrary.org/obo/EUPATH_0000323	Anopheles gambiae sl	PRISM_0100048	gambiaeunableassess	variable	Unable to assess A. gambiae	Number of Anopheles gambiae that could not be assessed	Number of Anopheles gambiae that could not be assessed	1.5.4.5
http://purl.obolibrary.org/obo/EUPATH_0000207	Gametocytes present	http://purl.obolibrary.org/obo/OGMS_0000018	Laboratory Findings	PRISM_0100049	gametocytes	variable	Gametocytes present			3.4.6
http://purl.obolibrary.org/obo/PATO_0000047	Sex	http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	PRISM_0100050	gender	variable	Sex			2.2.3
http://purl.obolibrary.org/obo/EUPATH_0000197	Gravid A. funestus	http://purl.obolibrary.org/obo/EUPATH_0000322	Anopheles funestus	PRISM_0100051	gravidfunes	variable	Gravid A. funestus	Number of gravid or semi-gravid Anopheles funestus	Number of gravid or semi-gravid Anopheles funestus	1.5.5.4
http://purl.obolibrary.org/obo/EUPATH_0000198	Gravid A. gambiae	http://purl.obolibrary.org/obo/EUPATH_0000323	Anopheles gambiae sl	PRISM_0100052	gravidgamb	variable	Gravid A. gambiae	Number of gravid or semi-gravid Anopheles gambiae	Number of gravid or semi-gravid Anopheles gambiae	1.5.4.4
http://purl.obolibrary.org/obo/EUPATH_0000035	HbS Genotype	http://purl.obolibrary.org/obo/EUPATH_0000306	Participant Genotype	PRISM_0100053	hbs	variable	HbS Genotype			2.2.4.3
http://purl.obolibrary.org/obo/EUPATH_0000159	Headache duration	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	PRISM_0100054	hduration	variable	duration of headache			3.2.6.16
http://purl.obolibrary.org/obo/HP_0002315	Headache	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	PRISM_0100055	Headache	variable	Headache	"Cephalgia, or pain sensed in various parts of the head, not confined to the area of distribution of any nerve"	"Cephalgia, or pain sensed in various parts of the head, not confined to the area of distribution of any nerve"	3.2.6.15
http://purl.obolibrary.org/obo/IAO_0000408	Height	http://purl.obolibrary.org/obo/OGMS_0000083	Physical Examination	PRISM_0100056	height	variable	Height			3.1.5
http://purl.obolibrary.org/obo/EUPATH_0000047	Hemoglobin	http://purl.obolibrary.org/obo/OGMS_0000018	Laboratory Findings	PRISM_0100057	hemoglobin	variable	Hemoglobin	Blood hemoglobin (g/dl)	Blood hemoglobin (g/dl)	3.4.2
http://purl.obolibrary.org/obo/EUPATH_0000094	Household ID	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	PRISM_0100058	hhid	variable	Household ID			2.1.4
http://purl.obolibrary.org/obo/EUPATH_0000027	# meals / day	http://purl.obolibrary.org/obo/EUPATH_0000304	Socioeconomic Factors	PRISM_0100059	HHMEALS	variable	# meals / day	Number of meals eaten by household on an average day	Number of meals eaten by household on an average day	1.4.4
http://purl.obolibrary.org/obo/EUPATH_0000028	# meat meals / week	http://purl.obolibrary.org/obo/EUPATH_0000304	Socioeconomic Factors	PRISM_0100060	HHNUMT	variable	# meat meals / week	Number of meals per week that household eats meat	Number of meals per week that household eats meat	1.4.6
http://purl.obolibrary.org/obo/EUPATH_0000029	Food problems / week	http://purl.obolibrary.org/obo/EUPATH_0000304	Socioeconomic Factors	PRISM_0100061	HHPSF	variable	Food problems / week	Number of times per week that household has difficulty in satisfying food needs	Number of times per week that household has difficulty in satisfying food needs	1.4.5
http://purl.obolibrary.org/obo/EUPATH_0000025	# rooms	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	PRISM_0100062	HHROOMS	variable	# rooms	Number of rooms in dwelling used for sleeping (scalar measurement)	Number of rooms in dwelling used for sleeping (scalar measurement)	1.2.2
http://purl.obolibrary.org/obo/EUPATH_0000201	# sleeping places	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	PRISM_0100063	HHSPACES	variable	# sleeping places	"How many sleeping spaces (mats, mattresses, beds are available in your household? (scalar measurement)"	"How many sleeping spaces (mats, mattresses, beds are available in your household? (scalar measurement)"	1.2.3
http://purl.obolibrary.org/obo/EUPATH_0000002	Dwelling type	http://purl.obolibrary.org/obo/EUPATH_0000301	Dwelling Summary	PRISM_0100064	housetype	variable	Dwelling type	"Nature of accommodation (building; part of building; caravan, houseboat or other mobile accommodation; etc)"	"Nature of accommodation (building; part of building; caravan, houseboat or other mobile accommodation; etc)"	1.2.4
http://purl.obolibrary.org/obo/EUPATH_0000216	ITN last night	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	PRISM_0100065	itnlastnight	variable	ITN last night	Slept in an insectside treated net last night?	Slept in an insectside treated net last night?	3.1.9
http://purl.obolibrary.org/obo/HP_0000952	Jaundice	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	PRISM_0100066	Jaundice	variable	Jaundice	"Yellow pigmentation of the skin or sclera due to bilirubin, the result of increased bilirubin in the bloodstream"	"Yellow pigmentation of the skin or sclera due to bilirubin, the result of increased bilirubin in the bloodstream"	3.2.6.9
http://purl.obolibrary.org/obo/EUPATH_0000160	Jaundice duration	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	PRISM_0100067	jduration	variable	duration of jaundice			3.2.6.10
http://purl.obolibrary.org/obo/SYMP_0000064	Joint pains	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	PRISM_0100068	jointpains	variable	Joint pains			3.2.6.17
http://purl.obolibrary.org/obo/EUPATH_0000152	Last date observed	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	PRISM_0100069	lastdate	variable	Last date observed	Date participant last seen in study	Date participant last seen in study	2.1.3
http://purl.obolibrary.org/obo/EUPATH_0000090	Symptomatic malaria	http://purl.obolibrary.org/obo/OGMS_0000073	Diagnosis	PRISM_0100070	Malaria	variable	Symptomatic malaria			3.3.1.7
http://purl.obolibrary.org/obo/EUPATH_0000058	Malaria medication	http://purl.obolibrary.org/obo/EUPATH_0000057	Medication	PRISM_0100071	malaria medication	variable	Malaria medication	Malaria medication only	Malaria medication only	3.5.2
http://purl.obolibrary.org/obo/EUPATH_0000162	Muscle aches duration	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	PRISM_0100072	mduration	variable	duration of muscle aches			3.2.6.20
http://purl.obolibrary.org/obo/EUPATH_0000091	Date of visit	http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	PRISM_0100073	monthyear	variable	Date of visit	Month and year	Month and year	3.1.2
http://purl.obolibrary.org/obo/EUPATH_0000252	Muscle aches	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	PRISM_0100074	muscleaches	variable	Muscle aches			3.2.6.19
http://purl.obolibrary.org/obo/EUPATH_0000318	Admitting hospital	http://purl.obolibrary.org/obo/EUPATH_0000308	Hospitalization	PRISM_0100075	NOH	variable	Admitting hospital			
http://purl.obolibrary.org/obo/EUPATH_0000059	Non-malaria medication	http://purl.obolibrary.org/obo/EUPATH_0000057	Medication	PRISM_0100076	non-malaria medication	variable	Non-malaria medication	Non-malaria medication only	Non-malaria medication only	3.5.3
http://purl.obolibrary.org/obo/ICEMR_0100002	Northing coordinate	http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	PRISM_0100077	northing	variable			Northing refers to the northward-measured distance (or the y-coordinate). The terms easting and northing are geographic Cartesian coordinates for a point. Easting and northing coordinates are commonly measured in metres from a horizontal datum.	
http://purl.obolibrary.org/obo/EUPATH_0000195	Nulliparous	http://purl.obolibrary.org/obo/EUPATH_0000324	Mosquito Parity	PRISM_0100078	nulliparous	variable	Nulliparous	Female anopheles  that have never layed eggs	Female anopheles  that have never layed eggs	1.5.8.3
http://purl.obolibrary.org/obo/EUPATH_0000134	Num Collections	http://purl.obolibrary.org/obo/EUPATH_0000312	Aggregated Entomological Measurement	PRISM_0100079	num collections	variable	Num Collections	Total number of nosquito collections per ?????	Total number of nosquito collections per ?????	1.5.1
http://purl.obolibrary.org/obo/EUPATH_0000026	# acres	http://purl.obolibrary.org/obo/EUPATH_0000304	Socioeconomic Factors	PRISM_0100080	NUMALAND	variable	# acres	Size of property (in acres)	Size of property (in acres)	1.4.3
http://purl.obolibrary.org/obo/EUPATH_0000218	Total Anopheles positive	http://purl.obolibrary.org/obo/EUPATH_0000325	Sporozoite Testing	PRISM_0100081	numberpositive	variable	Total Anopheles positive	Total number of Anopheles with Plasmodium sporozoites	Total number of Anopheles with Plasmodium sporozoites	1.5.7.5
http://purl.obolibrary.org/obo/EUPATH_0000217	Total Anopheles tested	http://purl.obolibrary.org/obo/EUPATH_0000325	Sporozoite Testing	PRISM_0100082	numbertested	variable	Total Anopheles tested	Total number of Anopheles examined for sporozoites	Total number of Anopheles examined for sporozoites	1.5.7.4
http://purl.obolibrary.org/obo/EUPATH_0000019	# residents in dwelling	http://purl.obolibrary.org/obo/EUPATH_0000304	Socioeconomic Factors	PRISM_0100083	NUMPEOP	variable	# residents in dwelling	Number of people in household (scalar measurement)	Number of people in household (scalar measurement)	1.2.1
http://purl.obolibrary.org/obo/EUPATH_0000092	Asexual parasite density	http://purl.obolibrary.org/obo/OGMS_0000018	Laboratory Findings	PRISM_0100084	parasitedensity	variable	Asexual parasite density	Number of asexual parasites in the blood (counts per microliter)	Number of asexual parasites in the blood (counts per microliter)	3.4.5
http://purl.obolibrary.org/obo/EUPATH_0000196	Parous	http://purl.obolibrary.org/obo/EUPATH_0000324	Mosquito Parity	PRISM_0100085	parous	variable	Parous	Female anopheles that have layed eggs before or are pregnant	Female anopheles that have layed eggs before or are pregnant	1.5.8.2
http://purl.obolibrary.org/obo/OGMS_0000015	Other medical complaint	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	PRISM_0100086	rfa	variable	Other medical complaint			3.2.6.25
http://purl.obolibrary.org/obo/EUPATH_0000003	Roof material	http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	PRISM_0100087	rooftype	variable	Roof material	Primary material of roof	Primary material of roof	1.2.7
http://purl.obolibrary.org/obo/OBI_0100051	Specimen type	http://purl.obolibrary.org/obo/OGMS_0000018	Laboratory Findings	PRISM_0100088	sample_type	variable	Specimen type	Type of sample/specimen collected during a clinical visit	Type of sample/specimen collected during a clinical visit	3.4.7
http://purl.obolibrary.org/obo/EUPATH_0000219	Time of screening	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	PRISM_0100089	screening	variable	Time of screening			2.1.5
http://purl.obolibrary.org/obo/EUPATH_0000163	Seizures duration	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	PRISM_0100090	sduration	variable	duration of seizures			3.2.6.22
http://purl.obolibrary.org/obo/SYMP_0000124	Seizures	http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	PRISM_0100091	seizure	variable	Seizures	"Intermittent abnormality of the central nervous system (FMA:HP:0002011) due to sudden, excessive, disorderly discharge of cerebral neurons; characterized by some combination of disturbance of sensation, loss of consciousness, impairment of psychic function, or convulsive movements (epilepsy is used to describe chronic, recurrent seizures)"	"Intermittent abnormality of the central nervous system (FMA:HP:0002011) due to sudden, excessive, disorderly discharge of cerebral neurons; characterized by some combination of disturbance of sensation, loss of consciousness, impairment of psychic function, or convulsive movements (epilepsy is used to describe chronic, recurrent seizures)"	3.2.6.21
http://purl.obolibrary.org/obo/OBI_0400065	Lighting source	http://purl.obolibrary.org/obo/EUPATH_0000302	Facilities	PRISM_0100092	SENERGY	variable	Lighting source	Primary source of artificial lighting	Primary source of artificial lighting	1.3.3
http://purl.obolibrary.org/obo/EUPATH_0000046	Severe malaria criteria	http://purl.obolibrary.org/obo/EUPATH_0000316	Malaria severity and basis	PRISM_0100093	sevmalcat	variable	Severe malaria criteria			3.3.1.6
http://purl.obolibrary.org/obo/ENVO_00003064	Drinking water source	http://purl.obolibrary.org/obo/EUPATH_0000302	Facilities	PRISM_0100094	SWATER	variable	Drinking water source	Primary source of drinking water	Primary source of drinking water	1.3.2
http://purl.obolibrary.org/obo/EUPATH_0000110	Temperature	http://purl.obolibrary.org/obo/OGMS_0000083	Physical Examination	PRISM_0100095	temperature	variable	Temperature	Temperature (in degrees Celsius)	Temperature (in degrees Celsius)	3.4.1
http://purl.obolibrary.org/obo/EUPATH_0000143	Categorical household wealth index	http://purl.obolibrary.org/obo/EUPATH_0000301	Dwelling Summary	PRISM_0100096	tertile	variable	categorical household wealth index	"Top, middle or bottom third of Household Wealth Index scale."	"Top, middle or bottom third of Household Wealth Index scale."	1.4.2
http://purl.obolibrary.org/obo/ICEMR_0100003	Human waste disposal	http://purl.obolibrary.org/obo/EUPATH_0000302	Facilities	PRISM_0100097	TFACLTY	variable	Excreta disposal	Nature of toilet	facilitate for excreta disposal	1.3.4
http://purl.obolibrary.org/obo/EUPATH_0000138	Observation period	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	PRISM_0100098	Total Observation Period	variable	Observation period	Total period of participant observation	Total period of participant observation	2.1.1
http://purl.obolibrary.org/obo/EUPATH_0000121	Total clinical visits	http://purl.obolibrary.org/obo/EUPATH_0000305	Aggregated Visit Details	PRISM_0100099	Total Visits	variable	Total clinical visits			2.3.1
http://purl.obolibrary.org/obo/EUPATH_0000123	Total visits with asymptomatic parasitemia	http://purl.obolibrary.org/obo/EUPATH_0000305	Aggregated Visit Details	PRISM_0100100	Total Visits With Asymp Para	variable	Total visits with asymptomatic parasitemia			2.3.6
http://purl.obolibrary.org/obo/EUPATH_0000122	Total visits with malaria	http://purl.obolibrary.org/obo/EUPATH_0000305	Aggregated Visit Details	PRISM_0100101	Total Visits With Malaria Dx	variable	Total visits with malaria			2.3.3
http://purl.obolibrary.org/obo/EUPATH_0000135	# Female Anopheles collected	http://purl.obolibrary.org/obo/EUPATH_0000313	Individual Entomogical Measurement	PRISM_0100102	Total_anopheles	variable	# Female Anopheles collected	Total # female Anopheles collected	Total # female Anopheles collected	1.5.3
http://purl.obolibrary.org/obo/EUPATH_0000136	# A. funestus	http://purl.obolibrary.org/obo/EUPATH_0000322	Anopheles funestus	PRISM_0100103	Total_funestus	variable	# A. funestus	Number of female Anopheles funestus collected	Number of female Anopheles funestus collected	1.5.5.1
http://purl.obolibrary.org/obo/EUPATH_0000137	# A. gambiae	http://purl.obolibrary.org/obo/EUPATH_0000323	Anopheles gambiae sl	PRISM_0100104	Total_gambiae	variable	# A. gambiae	Number of female Anopheles gambiae collected	Number of female Anopheles gambiae collected	1.5.4.1
http://purl.obolibrary.org/obo/EUPATH_0000204	Unfed A. funestus	http://purl.obolibrary.org/obo/EUPATH_0000322	Anopheles funestus	PRISM_0100105	unfedfunes	variable	Unfed A. funestus	Number of female Anopheles funestus without a recent blood meal	Number of female Anopheles funestus without a recent blood meal	1.5.5.3
http://purl.obolibrary.org/obo/EUPATH_0000205	Unfed A. gambiae	http://purl.obolibrary.org/obo/EUPATH_0000323	Anopheles gambiae sl	PRISM_0100106	unfedgamb	variable	Unfed A. gambiae	Number of female Anopheles gambiae without a recent blood meal	Number of female Anopheles gambiae without a recent blood meal	1.5.4.3
