variable	variable.1	values	mappedTerm
questionnaire_form_1::x36._state_of_residence	questionnaire_form_1::x36._state_of_residence	34_-_Uttar_Pradesh	Uttar Pradesh
questionnaire_form_1::x36._state_of_residence	questionnaire_form_1::x36._state_of_residence	99_-_Uncertain	Uncertain
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	02_-_Andhra_Pradesh	Andhra Pradesh
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	03_-_Arunachal_Pradesh	Arunachal Pradesh
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	04_-_Assam	Assam
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	05_-_Bihar	Bihar
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	06_-_Chandigarh	Chandigarh
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	07_-_Chhattisgarh	Chhattisgarh
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	08_-_Daman_Diu_and_Nagra_Haveli	Daman Diu and Nagra Haveli
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	09_-_Goa	Goa
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	10_-_Gujarat	Gujarat
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	11_-_Haryana	Haryana
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	12_-_Himachal_Pradesh	Himachal Pradesh
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	14_-_Jharkhand	Jharkhand
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	15_-_Karnataka	Karnataka
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	16_-_Kerala	Kerala
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	18_-_Madhya_Pradesh	Madhya Pradesh
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	19_-_Maharashtra	Maharashtra
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	20_-_Manipur	Manipur
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	21_-_Meghalaya	Meghalaya
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	22_-_Mizoram	Mizoram
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	24_-_National_Capital_Delhi	National Capital Delhi
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	25_-_Orissa	Orissa
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	27_-_Punjab	Punjab
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	28_-_Rajasthan	Rajasthan
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	29_-_Sikkim	Sikkim
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	30_-_Tamil_Nadu	Tamil Nadu
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	31_-_Telangana	Telangana
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	32_-_Tripura	Tripura
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	33_-_Uttarakhand	Uttarakhand
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	34_-_Uttar_Pradesh	Uttar Pradesh
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	35_-_West_Bengal	West Bengal
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	36_-_Outside_of_India	Outside of India
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	00_-_Missing	Missing
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	99_-_Uncertain	Uncertain
questionnaire_form_1::x37._state_of_birth	questionnaire_form_1::x37._state_of_birth	NA	Not applicable
questionnaire_form_2::x38._move_in_last_1_m.	questionnaire_form_2::x38._move_in_last_1_m.	00_-_Missing	Missing
questionnaire_form_2::x38._move_in_last_1_m.	questionnaire_form_2::x38._move_in_last_1_m.	01_-_Yes	Yes
questionnaire_form_2::x38._move_in_last_1_m.	questionnaire_form_2::x38._move_in_last_1_m.	02_-_No	No
questionnaire_form_2::x38._move_in_last_1_m.	questionnaire_form_2::x38._move_in_last_1_m.	99_-_Uncertain	Uncertain
questionnaire_form_2::x38._move_in_last_1_m.	questionnaire_form_2::x38._move_in_last_1_m.	NA	:::UNDEF:::
questionnaire_form_2::x39._state	questionnaire_form_2::x39._state	01_-_Andaman_&_Car_Nicobar_Island	Andaman and Car Nicobar Island
questionnaire_form_2::x39._state	questionnaire_form_2::x39._state	02_-_Andhra_Pradesh	Andhra Pradesh
questionnaire_form_2::x39._state	questionnaire_form_2::x39._state	03_-_arunachal_pradesh	Arunachal Pradesh
questionnaire_form_2::x39._state	questionnaire_form_2::x39._state	04_-_assam	Assam
questionnaire_form_2::x39._state	questionnaire_form_2::x39._state	05_-_Bihar	Bihar
questionnaire_form_2::x39._state	questionnaire_form_2::x39._state	06_-_Chandigarh	Chandigarh
questionnaire_form_2::x39._state	questionnaire_form_2::x39._state	07_-_Chhattisgarh	Chhattisgarh
questionnaire_form_2::x39._state	questionnaire_form_2::x39._state	08_-_Daman_Diu_and_Nagra_Haveli	Daman Diu and Nagra Haveli
questionnaire_form_2::x39._state	questionnaire_form_2::x39._state	09_-_Goa	Goa
questionnaire_form_2::x39._state	questionnaire_form_2::x39._state	10_-_Gujarat	Gujarat
questionnaire_form_2::x39._state	questionnaire_form_2::x39._state	14_-_Jharkhand	Jharkhand
questionnaire_form_2::x39._state	questionnaire_form_2::x39._state	15_-_Karnataka	Karnataka
questionnaire_form_2::x39._state	questionnaire_form_2::x39._state	18_-_Madhya_Pradesh	Madhya Pradesh
questionnaire_form_2::x39._state	questionnaire_form_2::x39._state	19_-_Maharashtra	Maharashtra
questionnaire_form_2::x39._state	questionnaire_form_2::x39._state	25_-_Orissa	Orissa
questionnaire_form_2::x39._state	questionnaire_form_2::x39._state	28_-_Rajasthan	Rajasthan
questionnaire_form_2::x39._state	questionnaire_form_2::x39._state	34_-_Uttar_Pradesh	Uttar Pradesh
questionnaire_form_2::x39._state	questionnaire_form_2::x39._state	35_-_West_Bengal	West Bengal
questionnaire_form_2::x39._state	questionnaire_form_2::x39._state	36_-_Outside_of_India	Outside of India
questionnaire_form_2::x39._state	questionnaire_form_2::x39._state	00_-_Missing	Missing
questionnaire_form_2::x39._state	questionnaire_form_2::x39._state	99_-_Uncertain	Uncertain
questionnaire_form_2::x39._state	questionnaire_form_2::x39._state	NA	Not applicable
questionnaire_form_2::x40._move_in_last_12_m.	questionnaire_form_2::x40._move_in_last_12_m.	00_-_Missing	Missing
questionnaire_form_2::x40._move_in_last_12_m.	questionnaire_form_2::x40._move_in_last_12_m.	01_-_Yes	Yes
questionnaire_form_2::x40._move_in_last_12_m.	questionnaire_form_2::x40._move_in_last_12_m.	02_-_No	No
questionnaire_form_2::x40._move_in_last_12_m.	questionnaire_form_2::x40._move_in_last_12_m.	99_-_Uncertain	Uncertain
questionnaire_form_2::x40._move_in_last_12_m.	questionnaire_form_2::x40._move_in_last_12_m.	NA	:::UNDEF:::
questionnaire_form_2::x41._state_1	questionnaire_form_2::x41._state_1	01_-_Andaman_&_Car_Nicobar_Island	Andaman and Car Nicobar Island
questionnaire_form_2::x41._state_1	questionnaire_form_2::x41._state_1	02_-_Andhra_Pradesh	Andhra Pradesh
questionnaire_form_2::x41._state_1	questionnaire_form_2::x41._state_1	03_-_arunachal_pradesh	Arunachal Pradesh
questionnaire_form_2::x41._state_1	questionnaire_form_2::x41._state_1	04_-_Assam	Assam
questionnaire_form_2::x41._state_1	questionnaire_form_2::x41._state_1	05_-_Bihar	Bihar
questionnaire_form_2::x41._state_1	questionnaire_form_2::x41._state_1	08_-_Daman_Diu_and_Nagra_Haveli	Daman Diu and Nagra Haveli
questionnaire_form_2::x41._state_1	questionnaire_form_2::x41._state_1	09_-_Goa	Goa
questionnaire_form_2::x41._state_1	questionnaire_form_2::x41._state_1	10_-_Gujarat	Gujarat
questionnaire_form_2::x41._state_1	questionnaire_form_2::x41._state_1	14_-_Jharkhand	Jharkhand
questionnaire_form_2::x41._state_1	questionnaire_form_2::x41._state_1	15_-_Karnataka	Karnataka
questionnaire_form_2::x41._state_1	questionnaire_form_2::x41._state_1	18_-_Madhya_Pradesh	Madhya Pradesh
questionnaire_form_2::x41._state_1	questionnaire_form_2::x41._state_1	19_-_Maharashtra	Maharashtra
questionnaire_form_2::x41._state_1	questionnaire_form_2::x41._state_1	21_-_meghalaya	Meghalaya
questionnaire_form_2::x41._state_1	questionnaire_form_2::x41._state_1	24_-_National_Capital_Delhi	National Capital Delhi
questionnaire_form_2::x41._state_1	questionnaire_form_2::x41._state_1	27_-_Punjab	Punjab
questionnaire_form_2::x41._state_1	questionnaire_form_2::x41._state_1	28_-_Rajasthan	Rajasthan
questionnaire_form_2::x41._state_1	questionnaire_form_2::x41._state_1	30_-_Tamil_Nadu	Tamil Nadu
questionnaire_form_2::x41._state_1	questionnaire_form_2::x41._state_1	33_-_Uttarakhand	Uttarakhand
questionnaire_form_2::x41._state_1	questionnaire_form_2::x41._state_1	34_-_Uttar_Pradesh	Uttar Pradesh
questionnaire_form_2::x41._state_1	questionnaire_form_2::x41._state_1	35_-_West_Bengal	West Bengal
questionnaire_form_2::x41._state_1	questionnaire_form_2::x41._state_1	36_-_Outside_of_India	Outside of India
questionnaire_form_2::x41._state_1	questionnaire_form_2::x41._state_1	00_-_Missing	Missing
questionnaire_form_2::x41._state_1	questionnaire_form_2::x41._state_1	NA	Not applicable
questionnaire_form_2::x42._state_2	questionnaire_form_2::x42._state_2	03_-_arunachal_pradesh	Arunachal Pradesh
questionnaire_form_2::x42._state_2	questionnaire_form_2::x42._state_2	09_-_Goa	Goa
questionnaire_form_2::x42._state_2	questionnaire_form_2::x42._state_2	10_-_Gujarat	Gujarat
questionnaire_form_2::x42._state_2	questionnaire_form_2::x42._state_2	14_-_Jharkhand	Jharkhand
questionnaire_form_2::x42._state_2	questionnaire_form_2::x42._state_2	15_-_Karnataka	Karnataka
questionnaire_form_2::x42._state_2	questionnaire_form_2::x42._state_2	16_-_Kerala	Kerala
questionnaire_form_2::x42._state_2	questionnaire_form_2::x42._state_2	18_-_Madhya_Pradesh	Madhya Pradesh
questionnaire_form_2::x42._state_2	questionnaire_form_2::x42._state_2	19_-_Maharashtra	Maharashtra
questionnaire_form_2::x42._state_2	questionnaire_form_2::x42._state_2	21_-_meghalaya	Meghalaya
questionnaire_form_2::x42._state_2	questionnaire_form_2::x42._state_2	24_-_National_Capital_Delhi	National Capital Delhi
questionnaire_form_2::x42._state_2	questionnaire_form_2::x42._state_2	25_-_Orissa	Orissa
questionnaire_form_2::x42._state_2	questionnaire_form_2::x42._state_2	27_-_Punjab	Punjab
questionnaire_form_2::x42._state_2	questionnaire_form_2::x42._state_2	30_-_Tamil_Nadu	Tamil Nadu
questionnaire_form_2::x42._state_2	questionnaire_form_2::x42._state_2	34_-_Uttar_Pradesh	Uttar Pradesh
questionnaire_form_2::x42._state_2	questionnaire_form_2::x42._state_2	35_-_West_Bengal	West Bengal
questionnaire_form_2::x42._state_2	questionnaire_form_2::x42._state_2	36_-_Outside_of_India	Outside of India
questionnaire_form_2::x42._state_2	questionnaire_form_2::x42._state_2	00_-_Missing	Missing
questionnaire_form_2::x42._state_2	questionnaire_form_2::x42._state_2	NA	Not applicable
questionnaire_form_2::x43._state_3	questionnaire_form_2::x43._state_3	03_-_arunachal_pradesh	Arunachal Pradesh
questionnaire_form_2::x43._state_3	questionnaire_form_2::x43._state_3	05_-_Bihar	Bihar
questionnaire_form_2::x43._state_3	questionnaire_form_2::x43._state_3	09_-_Goa	Goa
questionnaire_form_2::x43._state_3	questionnaire_form_2::x43._state_3	19_-_Maharashtra	Maharashtra
questionnaire_form_2::x43._state_3	questionnaire_form_2::x43._state_3	21_-_meghalaya	Meghalaya
questionnaire_form_2::x43._state_3	questionnaire_form_2::x43._state_3	27_-_Punjab	Punjab
questionnaire_form_2::x43._state_3	questionnaire_form_2::x43._state_3	28_-_Rajasthan	Rajasthan
questionnaire_form_2::x43._state_3	questionnaire_form_2::x43._state_3	30_-_Tamil_Nadu	Tamil Nadu
questionnaire_form_2::x43._state_3	questionnaire_form_2::x43._state_3	00_-_Missing	Missing
questionnaire_form_2::x43._state_3	questionnaire_form_2::x43._state_3	NA	Not applicable
questionnaire_form_2::x44._occupation	questionnaire_form_2::x44._occupation	01_-_not_employed	Not employed
questionnaire_form_2::x44._occupation	questionnaire_form_2::x44._occupation	02_-_don't_know	Don't know
questionnaire_form_2::x44._occupation	questionnaire_form_2::x44._occupation	03_-_farmer	Farmer
questionnaire_form_2::x44._occupation	questionnaire_form_2::x44._occupation	04_-_office_worker	Office worker
questionnaire_form_2::x44._occupation	questionnaire_form_2::x44._occupation	05_-_housewife	Housewife
questionnaire_form_2::x44._occupation	questionnaire_form_2::x44._occupation	06_-_local_trade	Local trade
questionnaire_form_2::x44._occupation	questionnaire_form_2::x44._occupation	07_-_plantation_worker	Plantation worker
questionnaire_form_2::x44._occupation	questionnaire_form_2::x44._occupation	08_-_construction_worker	Construction worker
questionnaire_form_2::x44._occupation	questionnaire_form_2::x44._occupation	09_-_factory_worker	Factory worker
questionnaire_form_2::x44._occupation	questionnaire_form_2::x44._occupation	10_-_student	Student
questionnaire_form_2::x44._occupation	questionnaire_form_2::x44._occupation	11_-_soldier	Soldier
questionnaire_form_2::x44._occupation	questionnaire_form_2::x44._occupation	12_-_miner	Miner
questionnaire_form_2::x44._occupation	questionnaire_form_2::x44._occupation	13_-_police	Police
questionnaire_form_2::x44._occupation	questionnaire_form_2::x44._occupation	14_-_forest_worker	Forest worker
questionnaire_form_2::x44._occupation	questionnaire_form_2::x44._occupation	15_-_other	Other
questionnaire_form_2::x44._occupation	questionnaire_form_2::x44._occupation	00_-_missing	Missing
questionnaire_form_2::x44._occupation	questionnaire_form_2::x44._occupation	99_-_uncertain	Uncertain
questionnaire_form_2::x44._occupation	questionnaire_form_2::x44._occupation	NA	Not applicable
questionnaire_form_3::x45._travel_in_last_1_m.	questionnaire_form_3::x45._travel_in_last_1_m.	00_-_Missing	Missing
questionnaire_form_3::x45._travel_in_last_1_m.	questionnaire_form_3::x45._travel_in_last_1_m.	01_-_Yes	Yes
questionnaire_form_3::x45._travel_in_last_1_m.	questionnaire_form_3::x45._travel_in_last_1_m.	02_-_No	No
questionnaire_form_3::x45._travel_in_last_1_m.	questionnaire_form_3::x45._travel_in_last_1_m.	99_-_Uncertain	Uncertain
questionnaire_form_3::x45._travel_in_last_1_m.	questionnaire_form_3::x45._travel_in_last_1_m.	NA	:::UNDEF:::
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	01_-_Andaman_&_Car_Nicobar_Island	Andaman and Car Nicobar Island
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	02_-_Andhra_Pradesh	Andhra Pradesh
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	03_-_arunachal_pradesh	Arunachal Pradesh
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	04_-_Assam	Assam
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	05_-_Bihar	Bihar
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	07_-_Chhattisgarh	Chhattisgarh
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	08_-_daman_diu_and_nagra_haveli	Daman Diu and Nagra Haveli
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	09_-_Goa	Goa
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	10_-_gujarat	Gujarat
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	11_-_Haryana	Haryana
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	13_-_Jammu_and_Kashmir	Jammu and Kashmir
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	14_-_Jharkhand	Jharkhand
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	15_-_Karnataka	Karnataka
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	16_-_Kerala	Kerala
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	17_-_lakhshyadweep	Lakhshyadweep
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	18_-_Madhya_Pradesh	Madhya Pradesh
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	19_-_Maharashtra	Maharashtra
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	21_-_meghalaya	Meghalaya
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	22_-_Mizoram	Mizoram
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	23_-_nagaland	Nagaland
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	24_-_National_Capital_Delhi	National Capital Delhi
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	25_-_Orissa	Orissa
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	28_-_Rajasthan	Rajasthan
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	30_-_Tamil_Nadu	Tamil Nadu
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	34_-_Uttar_Pradesh	Uttar Pradesh
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	35_-_West_Bengal	West Bengal
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	00_-_Missing	Missing
questionnaire_form_3::x46._state	questionnaire_form_3::x46._state	NA	Not applicable
questionnaire_form_3::x47._travel_in_last_12_m.	questionnaire_form_3::x47._travel_in_last_12_m.	00_-_Missing	Missing
questionnaire_form_3::x47._travel_in_last_12_m.	questionnaire_form_3::x47._travel_in_last_12_m.	01_-_Yes	Yes
questionnaire_form_3::x47._travel_in_last_12_m.	questionnaire_form_3::x47._travel_in_last_12_m.	02_-_No	No
questionnaire_form_3::x47._travel_in_last_12_m.	questionnaire_form_3::x47._travel_in_last_12_m.	99_-_Uncertain	Uncertain
questionnaire_form_3::x47._travel_in_last_12_m.	questionnaire_form_3::x47._travel_in_last_12_m.	NA	:::UNDEF:::
questionnaire_form_3::x48._state_1	questionnaire_form_3::x48._state_1	02_-_Andhra_Pradesh	Andhra Pradesh
