Full Name	Term IRI	Parent	Parent IRI	ID	Comment name (GeneBank)	definition	Synonym	Package	type	Term type
respirable particulate matter	http://purl.obolibrary.org/obo/MICRO_0000306	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_resp_part_matter	resp_part_matter	concentration of substances that remain suspended in the air, and comprise mixtures of organic and inorganic substances (PM10 and PM2.5); can report multiple PM's by entering numeric values preceded by name of PM		environmental package	air	variable
sample salinity	http://purl.obolibrary.org/obo/MICRO_0000310	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_samp_salinity	samp_salinity	salinity of sample, i.e. measure of total salt concentration		environmental package	air	variable
sample storage duration	http://purl.obolibrary.org/obo/MICRO_0000312	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_samp_store_dur	samp_store_dur	duration for which sample was stored		environmental package	air	variable
sample storage location	http://purl.obolibrary.org/obo/MICRO_0000313	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_samp_store_loc	samp_store_loc	location at which sample was stored, usually name of a specific freezer/room		environmental package	air	variable
sample storage temperature	http://purl.obolibrary.org/obo/MICRO_0000314	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_samp_store_temp	samp_store_temp	temperature at which sample was stored, e.g. -80 degree Celsius		environmental package	air	variable
sample volume or weight for DNA extraction	http://purl.obolibrary.org/obo/MICRO_0000315	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_samp_vol_we_dna_ext	samp_vol_we_dna_ext	volume (mL) or weight (g) of sample processed for DNA extraction		environmental package	air	variable
solar irradiance	http://purl.obolibrary.org/obo/MICRO_0000330	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_solar_irradiance	solar_irradiance	the amount of solar energy that arrives at a specific area of a surface during a specific time interval		environmental package	air	variable
temperature	http://purl.obolibrary.org/obo/MICRO_0000350	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_temp	temp	temperature of the sample at time of sampling		environmental package	air	variable
ventilation rate	http://purl.obolibrary.org/obo/MICRO_0000378	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_ventilation_rate	ventilation_rate	ventilation rate of the system in the sampled premises		environmental package	air	variable
ventilation type	http://purl.obolibrary.org/obo/MICRO_0000379	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_ventilation_type	ventilation_type	ventilation system used in the sampled premises		environmental package	air	variable
volatile organic compounds	http://purl.obolibrary.org/obo/MICRO_0000380	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_volatile_org_comp	volatile_org_comp	concentration of carbon-based chemicals that easily evaporate at room temperature; can report multiple volatile organic compounds by entering numeric values preceded by name of compound		environmental package	air	variable
wind direction	http://purl.obolibrary.org/obo/MICRO_0000388	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_wind_direction	wind_direction	wind direction is the direction from which a wind originates		environmental package	air	variable
wind speed	http://purl.obolibrary.org/obo/MICRO_0000389	air	http://purl.obolibrary.org/obo/MICRO_0000003	MiXS_wind_speed	wind_speed	speed of wind measured at the time of sampling		environmental package	air	variable
absolute air humidity	http://purl.obolibrary.org/obo/MICRO_0000134	built-environment	http://purl.obolibrary.org/obo/MICRO_0000004	MiXS_abs_air_humidity	abs_air_humidity	actual mass of water vapor - mh20 - present in the air water vapor mixture		environmental package	built environment	variable
air temperature	http://purl.obolibrary.org/obo/MICRO_0000136	built-environment	http://purl.obolibrary.org/obo/MICRO_0000004	MiXS_air_temp	air_temp	temperature of the air at the time of sampling		environmental package	built environment	variable
building occupancy type 	http://purl.obolibrary.org/obo/MICRO_0000159	built-environment	http://purl.obolibrary.org/obo/MICRO_0000004	MiXS_build_occup_type	build_occup_type	the primary function for which a building or discrete part of a building is intended to be used		environmental package	built environment	variable
building setting	http://purl.obolibrary.org/obo/MICRO_0000160	built-environment	http://purl.obolibrary.org/obo/MICRO_0000004	MiXS_building_setting	building_setting	a location (geography) where a building is set		environmental package	built environment	variable
dew point 	http://purl.obolibrary.org/obo/MICRO_0000179	built-environment	http://purl.obolibrary.org/obo/MICRO_0000004	MiXS_dew_point	dew_point	the temperature to which a given parcel of humid air must be cooled, at constant barometric pressure, for water vapor to condense into water. 		environmental package	built environment	variable
filter type	http://purl.obolibrary.org/obo/MICRO_0000202	built-environment	http://purl.obolibrary.org/obo/MICRO_0000004	MiXS_filter_type	filter_type	a device which removes solid particulates or airborne molecular contaminants		environmental package	built environment	variable
heating and cooling system type	http://purl.obolibrary.org/obo/MICRO_0000218	built-environment	http://purl.obolibrary.org/obo/MICRO_0000004	MiXS_heat_cool_type	heat_cool_type	methods of conditioning or heating a room or building		environmental package	built environment	variable
indoor space 	http://purl.obolibrary.org/obo/MICRO_0000230	built-environment	http://purl.obolibrary.org/obo/MICRO_0000004	MiXS_indoor_space	indoor_space	a distinguishable space within a structure, the purpose for which discrete areas of a building is used		environmental package	built environment	variable
indoor surface	http://purl.obolibrary.org/obo/MICRO_0000231	built-environment	http://purl.obolibrary.org/obo/MICRO_0000004	MiXS_indoor_surf	indoor_surf	type of indoor surface		environmental package	built environment	variable
light type	http://purl.obolibrary.org/obo/MICRO_0000236	built-environment	http://purl.obolibrary.org/obo/MICRO_0000004	MiXS_light_type	light_type	application of light to achieve some practical or aesthetic effect. Lighting includes the use of both artificial light sources such as lamps and light fixtures, as well as natural illumination by capturing daylight. Can also include absence of light		environmental package	built environment	variable
occupancy at sampling	http://purl.obolibrary.org/obo/MICRO_0000263	built-environment	http://purl.obolibrary.org/obo/MICRO_0000004	MiXS_occup_samp	occup_samp	number of occupants present at time of sample within the given space		environmental package	built environment	variable
occupant density at sampling	http://purl.obolibrary.org/obo/MICRO_0000264	built-environment	http://purl.obolibrary.org/obo/MICRO_0000004	MiXS_occupant_dens_samp	occupant_dens_samp	average number of occupants at time of sampling per square footage		environmental package	built environment	variable
relative air humidity	http://purl.obolibrary.org/obo/MICRO_0000305	built-environment	http://purl.obolibrary.org/obo/MICRO_0000004	MiXS_rel_air_humidity	rel_air_humidity	partial vapor and air pressure, density of the vapor and air, or by the actual mass of the vapor and air		environmental package	built environment	variable
sample size sorting method	http://purl.obolibrary.org/obo/MICRO_0000311	built-environment	http://purl.obolibrary.org/obo/MICRO_0000004	MiXS_samp_sort_meth	samp_sort_meth	method by which samples are sorted		environmental package	built environment	variable
space typical state 	http://purl.obolibrary.org/obo/MICRO_0000334	built-environment	http://purl.obolibrary.org/obo/MICRO_0000004	MiXS_space_typ_state	space_typ_state	customary or normal state of the space		environmental package	built environment	variable
substructure type 	http://purl.obolibrary.org/obo/MICRO_0000339	built-environment	http://purl.obolibrary.org/obo/MICRO_0000004	MiXS_substructure_type	substructure_type	the substructure or under building is that largely hidden section of the building which is built off the foundations to the ground floor level		environmental package	built environment	variable
surface-air contaminant	http://purl.obolibrary.org/obo/MICRO_0000342	built-environment	http://purl.obolibrary.org/obo/MICRO_0000004	MiXS_surf_air_cont	surf_air_cont	contaminant identified on surface		environmental package	built environment	variable
surface humidity	http://purl.obolibrary.org/obo/MICRO_0000343	built-environment	http://purl.obolibrary.org/obo/MICRO_0000004	MiXS_surf_humidity	surf_humidity	surfaces: water activity as a function of air and material moisture		environmental package	built environment	variable
surface material	http://purl.obolibrary.org/obo/MICRO_0000344	built-environment	http://purl.obolibrary.org/obo/MICRO_0000004	MiXS_surf_material	surf_material	surface materials at the point of sampling		environmental package	built environment	variable
surface moisture	http://purl.obolibrary.org/obo/MICRO_0000345	built-environment	http://purl.obolibrary.org/obo/MICRO_0000004	MiXS_surf_moisture	surf_moisture	water held on a surface		environmental package	built environment	variable
surface moisture pH 	http://purl.obolibrary.org/obo/MICRO_0000346	built-environment	http://purl.obolibrary.org/obo/MICRO_0000004	MiXS_surf_moisture_ph	surf_moisture_ph	pH measurement of surface		environmental package	built environment	variable
surface temperature	http://purl.obolibrary.org/obo/MICRO_0000347	built-environment	http://purl.obolibrary.org/obo/MICRO_0000004	MiXS_surf_temp	surf_temp	temperature of the surface at the time of sampling		environmental package	built environment	variable
typical occupant density	http://purl.obolibrary.org/obo/MICRO_0000374	built-environment	http://purl.obolibrary.org/obo/MICRO_0000004	MiXS_typ_occupant_dens	typ_occupant_dens	customary or normal density of occupants		environmental package	built environment	variable
depth	http://purl.obolibrary.org/obo/MICRO_0000100	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_depth	depth	Please refer to the definitions of depth in the environmental packages	geographic location (depth)	environmental package	host-associated	variable
host age	http://purl.obolibrary.org/obo/MICRO_0000101	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_age	host_age	age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees	age	environmental package	host-associated	variable
host blood pressure diastolic	http://purl.obolibrary.org/obo/MICRO_0000102	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_blood_press_diast	host_blood_press_diast	resting diastolic blood pressure, measured as mm mercury	blood_press_diast	environmental package	host-associated	variable
host blood pressure systolic	http://purl.obolibrary.org/obo/MICRO_0000103	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_blood_press_syst	host_blood_press_syst	resting systolic blood pressure, measured as mm mercury	blood_press_syst	environmental package	host-associated	variable
host body habitat	http://purl.obolibrary.org/obo/MICRO_0000104	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_body_habitat	host_body_habitat	original body habitat where the sample was obtained from	body_habitat	environmental package	host-associated	variable
host body product	http://purl.obolibrary.org/obo/MICRO_0000106	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_body_product	host_body_product	substance produced by the body, e.g. stool, mucus, where the sample was obtained from. For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA	body_product	environmental package	host-associated	variable
host body site	http://purl.obolibrary.org/obo/MICRO_0000107	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_body_site	host_body_site	name of body site where the sample was obtained from	body_site	environmental package	host-associated	variable
host body temperature	http://purl.obolibrary.org/obo/MICRO_0000108	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_body_temp	host_body_temp	core body temperature of the host when sample was collected	body_temp	environmental package	host-associated	variable
host color	http://purl.obolibrary.org/obo/MICRO_0000109	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_color	host_color	the color of host	color	environmental package	host-associated	variable
host common name	http://purl.obolibrary.org/obo/MICRO_0000110	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_common_name	host_common_name	common name of the host, e.g. human	common_name	environmental package	host-associated	variable
host diet	http://purl.obolibrary.org/obo/MICRO_0000111	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_diet	host_diet	type of diet depending on the host, for animals omnivore, herbivore etc., for humans high-fat, meditteranean etc.; can include multiple diet types	diet	environmental package	host-associated	variable
host disease status	http://purl.obolibrary.org/obo/MICRO_0000112	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_disease_stat	host_disease_stat	list of diseases with which the host has been diagnosed; can include multiple diagnoses. the value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology) at http://www.disease-ontology.org, other hosts are free text	disease_stat	environmental package	host-associated	variable
host dry mass	http://purl.obolibrary.org/obo/MICRO_0000113	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_dry_mass	host_dry_mass	measurement of dry mass	dry_mass	environmental package	host-associated	variable
host family relationship	http://purl.obolibrary.org/obo/MICRO_0000114	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_family_relationship	host_family_relationship	relationships to other hosts in the same study; can include multiple relationships	family_relationship	environmental package	host-associated	variable
host genotype	http://purl.obolibrary.org/obo/MICRO_0000115	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_genotype	host_genotype	observed genotype	genotype	environmental package	host-associated	variable
host growth conditions	http://purl.obolibrary.org/obo/MICRO_0000116	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_growth_cond	host_growth_cond	literature reference giving growth conditions of the host	growth_cond	environmental package	host-associated	variable
host height	http://purl.obolibrary.org/obo/MICRO_0000117	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_height	host_height	the height of subject	height	environmental package	host-associated	variable
host infra-specific name	http://purl.obolibrary.org/obo/MICRO_0000119	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_infra_specific_name	host_infra_specific_name	taxonomic information about the host below subspecies level	infra_specific_name	environmental package	host-associated	variable
host infra-specific rank	http://purl.obolibrary.org/obo/MICRO_0000120	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_infra_specific_rank	host_infra_specific_rank	taxonomic rank information about the host below subspecies level, such as variety, form, rank etc.	infra_specific_rank	environmental package	host-associated	variable
host last meal	http://purl.obolibrary.org/obo/MICRO_0000121	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_last_meal	host_last_meal	content of last meal and time since feeding; can include multiple values	last_meal	environmental package	host-associated	variable
host length	http://purl.obolibrary.org/obo/MICRO_0000122	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_length	host_length	the length of subject	length	environmental package	host-associated	variable
host life stage	http://purl.obolibrary.org/obo/MICRO_0000123	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_life_stage	host_life_stage	description of life stage of host	life_stage	environmental package	host-associated	variable
host phenotype	http://purl.obolibrary.org/obo/MICRO_0000125	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_phenotype	host_phenotype	phenotype of host. For Phenotypic quality Ontology (PATO) (v 2013-10-28) terms, please see http://purl.bioontology.org/ontology/PATO	phenotype	environmental package	host-associated	variable
host sex	http://purl.obolibrary.org/obo/MICRO_0000127	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_sex	host_sex	physical sex of the host	sex	environmental package	host-associated	variable
host shape	http://purl.obolibrary.org/obo/MICRO_0000128	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_shape	host_shape	morphological shape of host 	shape	environmental package	host-associated	variable
host subject id	http://purl.obolibrary.org/obo/MICRO_0000129	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_subject_id	host_subject_id	a unique identifier by which each subject can be referred to, de-identified, e.g. #131	subject_id	environmental package	host-associated	variable
host substrate	http://purl.obolibrary.org/obo/MICRO_0000130	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_substrate	host_substrate	the growth substrate of the host 	substrate	environmental package	host-associated	variable
host taxid	http://purl.obolibrary.org/obo/MICRO_0000131	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_taxid	host_taxid	NCBI taxon id of the host, e.g. 9606	taxid	environmental package	host-associated	variable
host total mass	http://purl.obolibrary.org/obo/MICRO_0000132	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_host_tot_mass	host_tot_mass	total mass of the host at collection, the unit depends on host	tot_mass	environmental package	host-associated	variable
depth	http://purl.obolibrary.org/obo/MICRO_0000177	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_depth	depth	depth is defined as the vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly. Depth can be reported as an interval for subsurface samples		environmental package	host-associated	variable
gravidity	http://purl.obolibrary.org/obo/MICRO_0000213	host-associated	http://purl.obolibrary.org/obo/MICRO_0000005	MiXS_gravidity	gravidity	whether or not subject is gravid, and if yes date due or date post-conception, specifying which is used		environmental package	host-associated	variable
host body-mass index	http://purl.obolibrary.org/obo/MICRO_0000105	human-associated	http://purl.obolibrary.org/obo/MICRO_0000006	MiXS_host_body_mass_index	host_body_mass_index	body mass index, calculated as weight/(height)squared	body_mass_index	environmental package	human-associated	variable
host HIV status	http://purl.obolibrary.org/obo/MICRO_0000118	human-associated	http://purl.obolibrary.org/obo/MICRO_0000006	MiXS_host_hiv_stat	host_hiv_stat	HIV status of subject, if yes HAART initiation status should also be indicated as [YES or NO]	hiv_stat	environmental package	human-associated	variable
host occupation	http://purl.obolibrary.org/obo/MICRO_0000124	human-associated	http://purl.obolibrary.org/obo/MICRO_0000006	MiXS_host_occupation	host_occupation	most frequent job performed by subject	occupation	environmental package	human-associated	variable
host pulse	http://purl.obolibrary.org/obo/MICRO_0000126	human-associated	http://purl.obolibrary.org/obo/MICRO_0000006	MiXS_host_pulse	host_pulse	resting pulse, measured as beats per minute	pulse	environmental package	human-associated	variable
amniotic fluid/color	http://purl.obolibrary.org/obo/MICRO_0000145	human-associated	http://purl.obolibrary.org/obo/MICRO_0000006	MiXS_amniotic_fluid_color	amniotic_fluid_color	specification of the color of the amniotic fluid sample		environmental package	human-associated	variable
blood/blood disorder	http://purl.obolibrary.org/obo/MICRO_0000157	human-associated	http://purl.obolibrary.org/obo/MICRO_0000006	MiXS_blood_blood_disord	blood_blood_disord	history of blood disorders; can include multiple disorders		environmental package	human-associated	variable
major diet change in last six months	http://purl.obolibrary.org/obo/MICRO_0000180	human-associated	http://purl.obolibrary.org/obo/MICRO_0000006	MiXS_diet_last_six_month	diet_last_six_month	specification of major diet changes in the last six months, if yes the change should be specified		environmental package	human-associated	variable
drug usage	http://purl.obolibrary.org/obo/MICRO_0000194	human-associated	http://purl.obolibrary.org/obo/MICRO_0000006	MiXS_drug_usage	drug_usage	any drug used by subject and the frequency of usage; can include multiple drugs used		environmental package	human-associated	variable
amniotic fluid/foetal health status	http://purl.obolibrary.org/obo/MICRO_0000206	human-associated	http://purl.obolibrary.org/obo/MICRO_0000006	MiXS_foetal_health_stat	foetal_health_stat	specification of foetal health status, should also include abortion		environmental package	human-associated	variable
amniotic fluid/gestation state	http://purl.obolibrary.org/obo/MICRO_0000211	human-associated	http://purl.obolibrary.org/obo/MICRO_0000006	MiXS_gestation_state	gestation_state	specification of the gestation state		environmental package	human-associated	variable
IHMC ethnicity	http://purl.obolibrary.org/obo/MICRO_0000228	human-associated	http://purl.obolibrary.org/obo/MICRO_0000006	MiXS_ihmc_ethnicity	ihmc_ethnicity	ethnicity of the subject		environmental package	human-associated	variable
IHMC medication code	http://purl.obolibrary.org/obo/MICRO_0000229	human-associated	http://purl.obolibrary.org/obo/MICRO_0000006	MiXS_ihmc_medication_code	ihmc_medication_code	can include multiple medication codes		environmental package	human-associated	variable
urine/kidney disorder	http://purl.obolibrary.org/obo/MICRO_0000234	human-associated	http://purl.obolibrary.org/obo/MICRO_0000006	MiXS_kidney_disord	kidney_disord	history of kidney disorders; can include multiple disorders		environmental package	human-associated	variable
amniotic fluid/maternal health status	http://purl.obolibrary.org/obo/MICRO_0000244	human-associated	http://purl.obolibrary.org/obo/MICRO_0000006	MiXS_maternal_health_stat	maternal_health_stat	specification of the maternal health status		environmental package	human-associated	variable
medical history performed	http://purl.obolibrary.org/obo/MICRO_0000248	human-associated	http://purl.obolibrary.org/obo/MICRO_0000006	MiXS_medic_hist_perform	medic_hist_perform	whether full medical history was collected		environmental package	human-associated	variable
lung/nose-throat disorder	http://purl.obolibrary.org/obo/MICRO_0000262	human-associated	http://purl.obolibrary.org/obo/MICRO_0000006	MiXS_nose_throat_disord	nose_throat_disord	history of nose-throat disorders; can include multiple disorders		environmental package	human-associated	variable
presence of pets or farm animals	http://purl.obolibrary.org/obo/MICRO_0000277	human-associated	http://purl.obolibrary.org/obo/MICRO_0000006	MiXS_pet_farm_animal	pet_farm_animal	specification of presence of pets or farm animals in the environment of subject, if yes the animals should be specified; can include multiple animals present		environmental package	human-associated	variable
lung/pulmonary disorder	http://purl.obolibrary.org/obo/MICRO_0000300	human-associated	http://purl.obolibrary.org/obo/MICRO_0000006	MiXS_pulmonary_disord	pulmonary_disord	history of pulmonary disorders; can include multiple disorders		environmental package	human-associated	variable
smoker	http://purl.obolibrary.org/obo/MICRO_0000326	human-associated	http://purl.obolibrary.org/obo/MICRO_0000006	MiXS_smoker	smoker	specification of smoking status		environmental package	human-associated	variable
study completion status	http://purl.obolibrary.org/obo/MICRO_0000338	human-associated	http://purl.obolibrary.org/obo/MICRO_0000006	MiXS_study_complt_stat	study_complt_stat	specification of study completion status, if no the reason should be specified		environmental package	human-associated	variable
travel outside the country in last six months	http://purl.obolibrary.org/obo/MICRO_0000371	human-associated	http://purl.obolibrary.org/obo/MICRO_0000006	MiXS_travel_out_six_month	travel_out_six_month	specification of the countries travelled in the last six months; can include multiple travels		environmental package	human-associated	variable
twin sibling presence	http://purl.obolibrary.org/obo/MICRO_0000373	human-associated	http://purl.obolibrary.org/obo/MICRO_0000006	MiXS_twin_sibling	twin_sibling	specification of twin sibling presence		environmental package	human-associated	variable
urine/collection method	http://purl.obolibrary.org/obo/MICRO_0000375	human-associated	http://purl.obolibrary.org/obo/MICRO_0000006	MiXS_urine_collect_meth	urine_collect_meth	specification of urine collection method		environmental package	human-associated	variable
urine/urogenital tract disorder	http://purl.obolibrary.org/obo/MICRO_0000377	human-associated	http://purl.obolibrary.org/obo/MICRO_0000006	MiXS_urogenit_tract_disor	urogenit_tract_disor	history of urogenitaltract disorders; can include multiple disorders		environmental package	human-associated	variable
weight loss in last three months	http://purl.obolibrary.org/obo/MICRO_0000387	human-associated	http://purl.obolibrary.org/obo/MICRO_0000006	MiXS_weight_loss_3_month	weight_loss_3_month	specification of weight loss in the last three months, if yes should be further specified to include amount of weight loss		environmental package	human-associated	variable
gastrointestinal tract disorder	http://purl.obolibrary.org/obo/MICRO_0000210	human-gut	http://purl.obolibrary.org/obo/MICRO_0000007	MiXS_gastrointest_disord	gastrointest_disord	history of gastrointestinal tract disorders; can include multiple disorders 		environmental package	human-gut	variable
liver disorder	http://purl.obolibrary.org/obo/MICRO_0000240	human-gut	http://purl.obolibrary.org/obo/MICRO_0000007	MiXS_liver_disord	liver_disord	history of liver disorders; can include multiple disorders		environmental package	human-gut	variable
special diet	http://purl.obolibrary.org/obo/MICRO_0000335	human-gut	http://purl.obolibrary.org/obo/MICRO_0000007	MiXS_special_diet	special_diet	specification of special diet; can include multiple special diets		environmental package	human-gut	variable
nose/mouth/teeth/throat disorder	http://purl.obolibrary.org/obo/MICRO_0000261	human-oral	http://purl.obolibrary.org/obo/MICRO_0000007	MiXS_nose_mouth_teeth_throat_disord	nose_mouth_teeth_throat_disord	history of nose/mouth/teeth/throat disorders; can include multiple disorders		environmental package	human-oral	variable
time since last toothbrushing	http://purl.obolibrary.org/obo/MICRO_0000356	human-oral	http://purl.obolibrary.org/obo/MICRO_0000007	MiXS_time_last_toothbrush	time_last_toothbrush	specification of the time since last toothbrushing		environmental package	human-oral	variable
dermatology disorder	http://purl.obolibrary.org/obo/MICRO_0000178	human-skin	http://purl.obolibrary.org/obo/MICRO_0000008	MiXS_dermatology_disord	dermatology_disord	history of dermatology disorders; can include multiple disorders		environmental package	human-skin	variable
dominant hand	http://purl.obolibrary.org/obo/MICRO_0000190	human-skin	http://purl.obolibrary.org/obo/MICRO_0000008	MiXS_dominant_hand	dominant_hand	dominant hand of the subject		environmental package	human-skin	variable
time since last wash	http://purl.obolibrary.org/obo/MICRO_0000357	human-skin	http://purl.obolibrary.org/obo/MICRO_0000008	MiXS_time_since_last_wash	time_since_last_wash	specification of the time since last wash		environmental package	human-skin	variable
birth control	http://purl.obolibrary.org/obo/MICRO_0000155	human-vaginal	http://purl.obolibrary.org/obo/MICRO_0000009	MiXS_birth_control	birth_control	specification of birth control medication used		environmental package	human-vaginal	variable
douche	http://purl.obolibrary.org/obo/MICRO_0000191	human-vaginal	http://purl.obolibrary.org/obo/MICRO_0000009	MiXS_douche	douche	date of most recent douche		environmental package	human-vaginal	variable
gynecological disorder	http://purl.obolibrary.org/obo/MICRO_0000217	human-vaginal	http://purl.obolibrary.org/obo/MICRO_0000009	MiXS_gynecologic_disord	gynecologic_disord	history of gynecological disorders; can include multiple disorders		environmental package	human-vaginal	variable
