colOrder,IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
20,http://purl.obolibrary.org/obo/EUPATH_0064408,Prevalence of genotype including mixed infection,per,,act_partner_drug_surveyor_data_vbase,,Sample,http://purl.obolibrary.org/obo/EUPATH_0028019,Aggregated lab tests,Prevalence of genotype including mixed infection,81,variable,new term needed,,,,WARNN,,,,,,,,,
21,http://purl.obolibrary.org/obo/EUPATH_0064409,Status of mixed infections,iore,,act_partner_drug_surveyor_data_vbase,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,Status of mixed infections (included or excluded in the calculation of specific genotypes),E,variable,,,,,WARNN,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,,WARNN,,,,,,,,,
,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,,WARNN,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,,Participant,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,category,,,,,WARNN,,,,,,,,,
,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection process,,,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,category,,,,,WARNN,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,,,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0033307,Eukaryota in blood,,,category,,,,,WARNN,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0028019,Aggregated lab tests,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,,WARNN,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0033307,Eukaryota in blood,,,,,Sample,http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,,,category,,,,,WARNN,,,,,,,,,
,http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,,,,,Sample,http://purl.obolibrary.org/obo/OBI_0000070,Laboratory test,,,category,,,,,WARNN,,,,,,,,,
,http://purl.obolibrary.org/obo/OBI_0000070,Laboratory test,,,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,category,,,,,WARNN,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,Participant,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,,WARNN,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,,,,,Sample,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,,WARNN,,,,,,,,,
