colOrder,IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
,http://purl.obolibrary.org/obo/EUPATH_0043205,GEOHASH 3,geohash3,5,,,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable, derived",,,,,WWARN,,,,everywhere,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043206,GEOHASH 4,geohash4,6,,,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable, derived",,,,,WWARN,,,,everywhere,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043207,GEOHASH 5,geohash5,7,,,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable, derived",,,,,WWARN,,,,everywhere,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043208,GEOHASH 6,geohash6,8,,,Community,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,"variable, derived",,,,,WWARN,,,,everywhere,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0064414,Plasmodium in blood,,,,,Community,http://purl.obolibrary.org/obo/EUPATH_0064410,Community aggregated lab tests,,,category,,,,,WWARN,,,,,,,,,
7,http://purl.obolibrary.org/obo/EUPATH_0043256,Sample collection start year,study.start,1,act_partner_drug_surveyor_data_vbase,,Community,http://purl.obolibrary.org/obo/EUPATH_0064411,Community sample collection process,Start year of sample collection,2004,variable,new term needed,,yes,,WWARN,,,,,,1984,2015,,
8,http://purl.obolibrary.org/obo/EUPATH_0043257,Sample collection end year,study.end,2,act_partner_drug_surveyor_data_vbase,,Community,http://purl.obolibrary.org/obo/EUPATH_0064411,Community sample collection process,End year of sample collection,2004,variable,new term needed,,yes,,WWARN,,,,,,1994,2015,,
18,http://purl.obolibrary.org/obo/EUPATH_0064406,Antimalarial resistance type,drug,,act_partner_drug_surveyor_data_vbase,,Community,http://purl.obolibrary.org/obo/EUPATH_0064414,Plasmodium in blood,Drug that genotype is linked to,Amodiaquine,variable,new term needed,,,,WWARN,,,,,,,,,
9,http://purl.obolibrary.org/obo/EUPATH_0064402,Genotype or haplotype assessed,marker.type,,act_partner_drug_surveyor_data_vbase,,Community,http://purl.obolibrary.org/obo/EUPATH_0064414,Plasmodium in blood,Genotype/Haplotype assessed,pfmdr1 86Y,variable,,,,,WWARN,,,,,,,,,
10,http://purl.obolibrary.org/obo/EUPATH_0064403,Infected blood sample count,tested,,act_partner_drug_surveyor_data_vbase,,Community,http://purl.obolibrary.org/obo/EUPATH_0064414,Plasmodium in blood,Sample size,69,variable,new term needed,,,,WWARN,,,,,,,,,
19,http://purl.obolibrary.org/obo/EUPATH_0064407,Mutation group specific mutation linked to,marker.group,,act_partner_drug_surveyor_data_vbase,,Community,http://purl.obolibrary.org/obo/EUPATH_0064414,Plasmodium in blood,Group of mutation that mutation is linked to,pfmdr1 86Y,variable,new term needed,,,,WWARN,,,,,,,,,
20,http://purl.obolibrary.org/obo/EUPATH_0064408,Prevalence of genotype including mixed infection,percentage,,act_partner_drug_surveyor_data_vbase,,Community,http://purl.obolibrary.org/obo/EUPATH_0064414,Plasmodium in blood,Prevalence of genotype including mixed infection,81,variable,new term needed,,,,WWARN,,,,,,,,,
12,http://purl.obolibrary.org/obo/EUPATH_0064405,Specific genotype or haplotype including mixed infections sample count,mixed.present,,act_partner_drug_surveyor_data_vbase,,Community,http://purl.obolibrary.org/obo/EUPATH_0064414,Plasmodium in blood,Number of samples with specific genotype/haplotype including mixed infections,56,variable,new term needed,,,,WWARN,,,,,,,,,
11,http://purl.obolibrary.org/obo/EUPATH_0064404,Specific genotype or haplotype sample count,present,,act_partner_drug_surveyor_data_vbase,,Community,http://purl.obolibrary.org/obo/EUPATH_0064414,Plasmodium in blood,Number of samples with specific genotype/haplotype,45,variable,new term needed,,,,WWARN,,,,,,,,,
21,http://purl.obolibrary.org/obo/EUPATH_0064409,Status of mixed infections,included.or.excluded,,act_partner_drug_surveyor_data_vbase,,Community,http://purl.obolibrary.org/obo/EUPATH_0064414,Plasmodium in blood,Status of mixed infections (included or excluded in the calculation of specific genotypes),E,variable,,,,,WWARN,,,,,,,,,
3,http://purl.obolibrary.org/obo/ENVO_00000009,Country,country,,act_partner_drug_surveyor_data_vbase,,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Country,Ethiopia,variable,,,,,WWARN,,,yes,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,,,,,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,category,,,,,WWARN,,,,,,,,,
4,http://purl.obolibrary.org/obo/EUPATH_0021094,Study site,site,,act_partner_drug_surveyor_data_vbase,,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Location name,Dilla,variable,,,,,WWARN,,,yes,,,,,,
13,http://purl.obolibrary.org/obo/IAO_0000442,Authors of publication,author,,act_partner_drug_surveyor_data_vbase,,Community,http://purl.obolibrary.org/obo/IAO_0000311,Publication information,Authors of publication,Schunk M,variable,new term needed,,,,WWARN,,,,,,,,,
15,http://purl.obolibrary.org/obo/MI_0614,Publication URL,publication.url,,act_partner_drug_surveyor_data_vbase,,Community,http://purl.obolibrary.org/obo/IAO_0000311,Publication information,Publication URL,http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=1524791&tool=pmcentrez&rendertype=abstract,variable,new term needed,,,,WWARN,,,,,,,,,
14,http://purl.obolibrary.org/obo/MI_0886,Publication year,publication.year,,act_partner_drug_surveyor_data_vbase,,Community,http://purl.obolibrary.org/obo/IAO_0000311,Publication information,Publication year,2006,variable,new term needed,,yes,,WWARN,,,,,,2001,2017,,
17,http://purl.obolibrary.org/obo/OBI_0001617,PubMed ID,pubmed.id,,act_partner_drug_surveyor_data_vbase,,Community,http://purl.obolibrary.org/obo/IAO_0000311,Publication information,Pub Med ID of publication,16817953,variable,new term needed,,,,WWARN,,,,,,,,,yes
16,http://purl.obolibrary.org/obo/MI_1091,Title of publication,title,,act_partner_drug_surveyor_data_vbase,,Community,http://purl.obolibrary.org/obo/IAO_0000311,Publication information,Title of publication,High prevalence of drug-resistance mutations in Plasmodium falciparum and Plasmodium vivax in southern Ethiopia.,variable,new term needed,,,,WWARN,,,,,,,,,
,http://purl.obolibrary.org/obo/EUPATH_0035127,Community,,,,,Community,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,,WWARN,,,,,,,,,
,,,,,,,,,,,,,,,,,WWARN,,,,,,,,,
