colOrder,variable,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,timeVarying,percentMissing,flag
17,waterother,jaintia_data_2021-01-22_1315visits1_2_hh,discard,,,A8. Specify other water supply [Batai che],NA,,,,NA,waterother,jaintia_data_2021-01-22_1315visits1_2_hh::waterother,lgl,NA,NA,NA,n/a,0,NA,1,no data
18,toilet_rad,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,A9. Is a toilet available? [Ka jingem painkhana?],"1, No toilet for household/open defecation [Ym em thaw lai painkhana ha iung] | 2, Pit latrine available [Dei theh um] | 3, Other [Kiwi kiwi tawon]",,,,NA,toilet_rad,jaintia_data_2021-01-22_1315visits1_2_hh::toilet_rad,int,2,NA,NA,1 to 2,2,NA,0,duplicated variable
19,toiletother,jaintia_data_2021-01-22_1315visits1_2_hh,discard,,,A10. Specify other toilet availability [Batai che],NA,,,,NA,toiletother,jaintia_data_2021-01-22_1315visits1_2_hh::toiletother,lgl,NA,NA,NA,n/a,0,NA,1,no data
20,toiletuse_rad,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,"A11. If there is a toilet, do people in the household use it? [Lada don jaka leit bar, ki briew ha iing ki pyndonkam ne em?] ","1, Yes, always [Hooid, barobor] | 2, Yes, sometimes [Hooid, teng-teng] | 3, No [Em]",,,,NA,toiletuse_rad,jaintia_data_2021-01-22_1315visits1_2_hh::toiletuse_rad,int,1,NA,NA,1 to 3,3,NA,0.119186047,duplicated variable
21,mobphone_yn,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,A12. Is there a mobile phone present in your household? [Em mobile phone hi ha iung iong phi?],NA,,,,NA,mobphone_yn,jaintia_data_2021-01-22_1315visits1_2_hh::mobphone_yn,int,0,NA,NA,0 to 1,2,NA,0,duplicated variable
22,mobphonesickuse_rad,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,A13. Do you use a mobile phone when somebody is sick in the household? [Juh pynem kam phi ia ka mobile phone mynda em wa kjut ha iung?],"1, Yes | 2, No | 3, Don't know",,,,NA,mobphonesickuse_rad,jaintia_data_2021-01-22_1315visits1_2_hh::mobphonesickuse_rad,int,1,NA,NA,1 to 2,2,NA,0.24127907,duplicated variable
23,mobphone_use,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,"A14. If yes, who do you call? [Man da em was kjut ha iung, yei ii phone phi?]",NA,,,,NA,mobphone_use,jaintia_data_2021-01-22_1315visits1_2_hh::mobphone_use,chr,Calling relatives,NA,NA,>10 unique values,15,NA,0.328488372,duplicated variable
24,walls_rad,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,A15. Building material used for walls of the house (observe),"1, Mud | 2, Brick | 3, Concrete | 4, Thatch | 5, Stone | 6, Wood | 7, Other",,,,NA,walls_rad,jaintia_data_2021-01-22_1315visits1_2_hh::walls_rad,int,6,NA,NA,1 to 6,6,NA,0,duplicated variable
25,wallsother,jaintia_data_2021-01-22_1315visits1_2_hh,discard,,,A16. Specify other building material,NA,,,,NA,wallsother,jaintia_data_2021-01-22_1315visits1_2_hh::wallsother,lgl,NA,NA,NA,n/a,0,NA,1,no data
26,roof_rad,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,A17. Type of roof of the house (observe),"1, Thatched | 2, Concrete | 3, Tiles | 4, Thatched and tiles | 5, Tin | 6, Other",,,,NA,roof_rad,jaintia_data_2021-01-22_1315visits1_2_hh::roof_rad,int,5,NA,NA,1 to 5,4,NA,0,duplicated variable
27,roofother,jaintia_data_2021-01-22_1315visits1_2_hh,discard,,,A18. Specify other roof type,NA,,,,NA,roofother,jaintia_data_2021-01-22_1315visits1_2_hh::roofother,lgl,NA,NA,NA,n/a,0,NA,1,no data
28,healthcare_rad,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,A19. What do you typically use for health care? [Heiwon I thaw juh lai e sumar phi?],"1, Public health clinic [Thaw e sumar ha sorkar] | 2, Private health clinic [Jaka e sumar chimet] | 3, Community health worker [U/ka nongkreh wa iatoh wa ka koit ka khiah ha chnong] | 4, Other [Kiwi kiwi]",,,,NA,healthcare_rad,jaintia_data_2021-01-22_1315visits1_2_hh::healthcare_rad,int,1,NA,NA,1 to 2,2,NA,0,duplicated variable
29,healthcareother,jaintia_data_2021-01-22_1315visits1_2_hh,discard,,,A20. Specify other health care option [Batai shai],NA,,,,NA,healthcareother,jaintia_data_2021-01-22_1315visits1_2_hh::healthcareother,lgl,NA,NA,NA,n/a,0,NA,1,no data
30,dist2clinic,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,A21. What is the distance to this typical source of health care? [Katwon ka jingjngai cha ka thaw e dawai heini?],NA,,,,"enter a NUMBER, or enter 'DK' if answer is ""Don't know""",dist2clinic,jaintia_data_2021-01-22_1315visits1_2_hh::dist2clinic,chr,DK,NA,NA,>10 unique values,16,NA,0,duplicated variable
31,dist2clinicunits,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,A22. units,"1, meters | 2, kilometers | 3, Don't know",,,,NA,dist2clinicunits,jaintia_data_2021-01-22_1315visits1_2_hh::dist2clinicunits,int,3,NA,NA,1 to 3,3,NA,0.005813953,duplicated variable
32,transport2clinic_rad,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,A23. What type of transport would you usually use to go there? [Dei I ii juh pynemkam ioh u lai cheite?],"1, Walking [Lai kjat] | 2, Bicycle [Bisikil] | 3, Motorcycle [Motorcycle] | 4, Car [kari] | 5, Public transport (bus, auto-rickshaw, taxi) [(bus, auto-rickshaw, taxi) Kari Paitbah] | 6, Other [Kiwi kiwi] | 7, Don't know [Ym tip)",,,,NA,transport2clinic_rad,jaintia_data_2021-01-22_1315visits1_2_hh::transport2clinic_rad,int,1,NA,NA,1 to 5,3,NA,0,duplicated variable
33,transport2clinicother,jaintia_data_2021-01-22_1315visits1_2_hh,discard,,,A24. Specify other type of transport [Batai shai],NA,,,,NA,transport2clinicother,jaintia_data_2021-01-22_1315visits1_2_hh::transport2clinicother,lgl,NA,NA,NA,n/a,0,NA,1,no data
34,transport2clinictime,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,A25. How long would it usually take you to get there using that type of transport? (minutes),NA,,,,"enter a NUMBER of MINUTES, or enter 'DK' if answer is ""Don't know""",transport2clinictime,jaintia_data_2021-01-22_1315visits1_2_hh::transport2clinictime,chr,15,NA,NA,>10 unique values,20,NA,0,duplicated variable
35,pig,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,A26. Pig [Sniang],"1, Yes | 2, No",,,,NA,pig,jaintia_data_2021-01-22_1315visits1_2_hh::pig,int,2,NA,NA,1 to 2,2,NA,0,duplicated variable
36,buffalo_cow,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,A27. Buffalo/cow [Muit/Masi],"1, Yes | 2, No",,,,NA,buffalo_cow,jaintia_data_2021-01-22_1315visits1_2_hh::buffalo_cow,int,2,NA,NA,1 to 2,2,NA,0,duplicated variable
37,goat,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,A28. Goat [Blang],"1, Yes | 2, No",,,,NA,goat,jaintia_data_2021-01-22_1315visits1_2_hh::goat,int,2,NA,NA,1 to 2,2,NA,0,duplicated variable
38,poultry,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,A29. Poultry [Syiar],"1, Yes | 2, No",,,,NA,poultry,jaintia_data_2021-01-22_1315visits1_2_hh::poultry,int,1,NA,NA,1 to 2,2,NA,0,duplicated variable
39,animsinhouse_yn,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,A30. Are there animals living with you inside the house? [Em phi ki mrad ki wa sah lang hapoh iung?],NA,,,,NA,animsinhouse_yn,jaintia_data_2021-01-22_1315visits1_2_hh::animsinhouse_yn,int,0,NA,NA,0 to 1,2,NA,0,duplicated variable
40,animsinhouseyes,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,"A31. If yes, which animals? [Lada hooid, mrad aiu?] ",NA,,,,NA,animsinhouseyes,jaintia_data_2021-01-22_1315visits1_2_hh::animsinhouseyes,chr,Cat,NA,NA,", CaT, Cat, Cat and dog, Cats, Dog, Dog and cat, Dog and cats, Dogs",8,NA,0.627906977,duplicated variable
41,mosquitoesinhouse_rad,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,A32. Are there mosquitoes in your house? [Don skain pyrjong ha iing jong phi?] ,"1, Yes, always [Hooid, barobor] | 2, Yes, sometimes [Hooid, teng teng] | 3, Only in the rainy season [Tang ha ka por slap] | 4, No [Em] | 5, Other [Kiwei kiwei]",,,,NA,mosquitoesinhouse_rad,jaintia_data_2021-01-22_1315visits1_2_hh::mosquitoesinhouse_rad,int,3,NA,NA,1 to 3,3,NA,0,duplicated variable
42,mosquitoesinhouseother,jaintia_data_2021-01-22_1315visits1_2_hh,discard,,,A33. Specify other time when mosquitoes are in house [Batai shai],NA,,,,NA,mosquitoesinhouseother,jaintia_data_2021-01-22_1315visits1_2_hh::mosquitoesinhouseother,lgl,NA,NA,NA,n/a,0,NA,1,no data
43,net_yn,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,B1. Does your household have a net? [Em musari phi ha iung?],NA,,,,NA,net_yn,jaintia_data_2021-01-22_1315visits1_2_hh::net_yn,int,1,NA,NA,1 to 1,1,NA,0,duplicated variable
44,net_number,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,"B2. If yes, number of nets in the household [Katwon tylli ki musari em phi ha iung]",NA,,,,NA,net_number,jaintia_data_2021-01-22_1315visits1_2_hh::net_number,int,1,NA,NA,1 to 10,8,NA,0,duplicated variable
45,itn_yn,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,B3. Are any of the nets ITNs? [Em na kini ki musari kiwa toh ki ITNs?],NA,,,,NA,itn_yn,jaintia_data_2021-01-22_1315visits1_2_hh::itn_yn,int,1,NA,NA,1 to 1,1,NA,0.002906977,duplicated variable
46,itnwhyno,jaintia_data_2021-01-22_1315visits1_2_hh,discard,,,"B4. If no, is there a specific reason why there is no ITN? [Lada em, don kino kino ki daw ba phim don ITN?] ",NA,,,,NA,itnwhyno,jaintia_data_2021-01-22_1315visits1_2_hh::itnwhyno,lgl,NA,NA,NA,n/a,0,NA,1,no data
47,itn_number,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,B5. How many nets are ITNs? [Katwon ITN?],NA,,,,NA,itn_number,jaintia_data_2021-01-22_1315visits1_2_hh::itn_number,int,1,NA,NA,1 to 6,6,NA,0.002906977,duplicated variable
48,itngetwhen,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,B6. How long ago did you get the ITN? (How many years ago?) [La katnu snem ioh phi ia ka ITN?],NA,,,,NA,itngetwhen,jaintia_data_2021-01-22_1315visits1_2_hh::itngetwhen,int,2,NA,NA,1 to 4,4,NA,0.002906977,duplicated variable
49,itnwash_yn,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,B7. Do you wash your ITN? [Juh sait phi ka ITN?],NA,,,,NA,itnwash_yn,jaintia_data_2021-01-22_1315visits1_2_hh::itnwash_yn,int,1,NA,NA,0 to 1,2,NA,0.002906977,duplicated variable
50,itnwashnum,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,"B8. If yes, how many times have you washed it since you got the ITN? [Katwon sien da dep sait phi ka naduh I por wa ioh phi ka, ka ITN?]",NA,,,,NA,itnwashnum,jaintia_data_2021-01-22_1315visits1_2_hh::itnwashnum,int,2,NA,NA,0 to 10,11,NA,0.011627907,duplicated variable
51,itnhole_yn,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,B9. Does the ITN have holes or other defects? [Don kino kino ki thliew lymne jingthut ha ka ITN jong phi?] ,NA,,,,NA,itnhole_yn,jaintia_data_2021-01-22_1315visits1_2_hh::itnhole_yn,int,0,NA,NA,0 to 1,2,NA,0.00872093,duplicated variable
52,itnholerepair_yn,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,"B10. If the ITN has holes, does somebody repair the net? [Lada pai thlu ka ITN iong phi, em mo ki wa juh pynchna ia ki?]",NA,,,,NA,itnholerepair_yn,jaintia_data_2021-01-22_1315visits1_2_hh::itnholerepair_yn,int,1,NA,NA,0 to 1,2,NA,0.139534884,duplicated variable
53,coil_yn,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,B11. Does your household use coils? [Juh pynemkam phi u coil ha iung?],NA,,,,NA,coil_yn,jaintia_data_2021-01-22_1315visits1_2_hh::coil_yn,int,0,NA,NA,0 to 1,2,NA,0,duplicated variable
54,coilusewhen_chk___1,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,"1, Daytime [Mynsngi]",NA,,,,NA,coilusewhen_chk___1,jaintia_data_2021-01-22_1315visits1_2_hh::coilusewhen_chk___1,int,0,NA,NA,0 to 0,1,NA,0,duplicated variable
55,coilusewhen_chk___2,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,"2, Evening [Janmiet]",NA,,,,NA,coilusewhen_chk___2,jaintia_data_2021-01-22_1315visits1_2_hh::coilusewhen_chk___2,int,0,NA,NA,0 to 1,2,NA,0,duplicated variable
56,coilusewhen_chk___3,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,"3, Night  time [Mynmiet]",NA,,,,NA,coilusewhen_chk___3,jaintia_data_2021-01-22_1315visits1_2_hh::coilusewhen_chk___3,int,0,NA,NA,0 to 1,2,NA,0,duplicated variable
57,coilusewhen_chk___4,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,"4, Other [Kiwei kiwei]",NA,,,,NA,coilusewhen_chk___4,jaintia_data_2021-01-22_1315visits1_2_hh::coilusewhen_chk___4,int,0,NA,NA,0 to 0,1,NA,0,duplicated variable
58,coilusewhenother,jaintia_data_2021-01-22_1315visits1_2_hh,discard,,,B13. Specify other time of coil use [Batai shai],NA,,,,NA,coilusewhenother,jaintia_data_2021-01-22_1315visits1_2_hh::coilusewhenother,lgl,NA,NA,NA,n/a,0,NA,1,no data
59,coilusefreq_rad,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,"B14. If yes, how often do you use them? [Katwon sien juh pynemkam phi ki?]","1, Always [Man I por] | 2, Sometimes [Tein tein] | 3, Rarely [Duna Bha]",,,,NA,coilusefreq_rad,jaintia_data_2021-01-22_1315visits1_2_hh::coilusefreq_rad,int,2,NA,NA,1 to 2,2,NA,0.415697674,duplicated variable
60,mat_yn,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,B15. Does your household use mats? [Ka long iing jong phi ka pyndonkam ia ki (mat) ban pynduna ia u skain pyrjong?] ,NA,,,,NA,mat_yn,jaintia_data_2021-01-22_1315visits1_2_hh::mat_yn,int,0,NA,NA,0 to 1,2,NA,0,duplicated variable
61,matusewhen_chk___1,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,NA,NA,,,,NA,matusewhen_chk___1,jaintia_data_2021-01-22_1315visits1_2_hh::matusewhen_chk___1,int,0,NA,NA,0 to 1,2,NA,0,duplicated variable
62,matusewhen_chk___2,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,NA,NA,,,,NA,matusewhen_chk___2,jaintia_data_2021-01-22_1315visits1_2_hh::matusewhen_chk___2,int,0,NA,NA,0 to 1,2,NA,0,duplicated variable
63,matusewhen_chk___3,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,NA,NA,,,,NA,matusewhen_chk___3,jaintia_data_2021-01-22_1315visits1_2_hh::matusewhen_chk___3,int,0,NA,NA,0 to 1,2,NA,0,duplicated variable
64,matusewhen_chk___4,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,NA,NA,,,,NA,matusewhen_chk___4,jaintia_data_2021-01-22_1315visits1_2_hh::matusewhen_chk___4,int,0,NA,NA,0 to 0,1,NA,0,duplicated variable
65,matusewhenother,jaintia_data_2021-01-22_1315visits1_2_hh,discard,,,B17. Specify other time of mat use [Batai shai],NA,,,,NA,matusewhenother,jaintia_data_2021-01-22_1315visits1_2_hh::matusewhenother,lgl,NA,NA,NA,n/a,0,NA,1,no data
66,matusefreq_rad,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,"B18. If yes, how often do you use them? [Lada hooid, katno sein phi ju pyndonkam ia ki?] ","1, Always [Barobor] | 2, Sometimes [Teng teng] | 3, Rarely [Kham niar]",,,,NA,matusefreq_rad,jaintia_data_2021-01-22_1315visits1_2_hh::matusefreq_rad,int,2,NA,NA,1 to 2,2,NA,0.927325581,duplicated variable
67,vape_yn,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,B19. Does your household use vaporizers? [Ha iung iong phi juh pynemkam phi ia ki vaporizers?],NA,,,,NA,vape_yn,jaintia_data_2021-01-22_1315visits1_2_hh::vape_yn,int,0,NA,NA,0 to 1,2,NA,0,duplicated variable
68,vapeusewhen_chk___1,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,NA,NA,,,,NA,vapeusewhen_chk___1,jaintia_data_2021-01-22_1315visits1_2_hh::vapeusewhen_chk___1,int,0,NA,NA,0 to 1,2,NA,0,duplicated variable
69,vapeusewhen_chk___2,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,NA,NA,,,,NA,vapeusewhen_chk___2,jaintia_data_2021-01-22_1315visits1_2_hh::vapeusewhen_chk___2,int,0,NA,NA,0 to 1,2,NA,0,duplicated variable
70,vapeusewhen_chk___3,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,NA,NA,,,,NA,vapeusewhen_chk___3,jaintia_data_2021-01-22_1315visits1_2_hh::vapeusewhen_chk___3,int,0,NA,NA,0 to 1,2,NA,0,duplicated variable
71,vapeusewhen_chk___4,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,NA,NA,,,,NA,vapeusewhen_chk___4,jaintia_data_2021-01-22_1315visits1_2_hh::vapeusewhen_chk___4,int,0,NA,NA,0 to 0,1,NA,0,duplicated variable
72,vapeusewhenother,jaintia_data_2021-01-22_1315visits1_2_hh,discard,,,B21. Specify other time of vaporizer use [Batai che],NA,,,,NA,vapeusewhenother,jaintia_data_2021-01-22_1315visits1_2_hh::vapeusewhenother,lgl,NA,NA,NA,n/a,0,NA,1,no data
73,vapeusefreq_rad,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,"B22. If yes, how often do you use them? [Katwon sien juh pynemkam phi ki?]","1, Always [Man I por] | 2, Sometimes [Tein tein] | 3, Rarely [Duna Bha]",,,,NA,vapeusefreq_rad,jaintia_data_2021-01-22_1315visits1_2_hh::vapeusefreq_rad,int,1,NA,NA,1 to 2,2,NA,0.956395349,duplicated variable
74,antimozspray_myn,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,B23. Use Insecticide spray? [Pyndonkam dawai synreit?],"1, Yes | 2, No",,,,NA,antimozspray_myn,jaintia_data_2021-01-22_1315visits1_2_hh::antimozspray_myn,int,2,NA,NA,1 to 2,2,NA,0,duplicated variable
75,antimozdung_myn,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,B24. Use burning neem leaves or cow dung? [Juh thang phi deisla neem lane ka ait masi],"1, Yes | 2, No",,,,NA,antimozdung_myn,jaintia_data_2021-01-22_1315visits1_2_hh::antimozdung_myn,int,2,NA,NA,2 to 2,1,NA,0,duplicated variable
76,antimozbushes_myn,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,B25. Clear bushes around house [Pynkhuid yei I nuit ha pchem iung],"1, Yes | 2, No",,,,NA,antimozbushes_myn,jaintia_data_2021-01-22_1315visits1_2_hh::antimozbushes_myn,int,1,NA,NA,1 to 2,2,NA,0,duplicated variable
77,antimozstagnant_myn,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,B26. Clear stagnant water pools around house [Juh pynkhuid yei um wa lang hajan iung],"1, Yes | 2, No",,,,NA,antimozstagnant_myn,jaintia_data_2021-01-22_1315visits1_2_hh::antimozstagnant_myn,int,1,NA,NA,1 to 1,1,NA,0,duplicated variable
78,antimozlarvicide_myn,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,B27. Use larvicide in ponds around the house [Pyndonkam dawai ban synreit ha ki pung ha jan iing],"1, Yes | 2, No",,,,NA,antimozlarvicide_myn,jaintia_data_2021-01-22_1315visits1_2_hh::antimozlarvicide_myn,int,2,NA,NA,1 to 2,2,NA,0,duplicated variable
79,antimozwindows_myn,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,B28. Keep windows/door closed in evening [Khang yei jingkhang/ jingkhang-iit ha I por janmiet],"1, Yes | 2, No",,,,NA,antimozwindows_myn,jaintia_data_2021-01-22_1315visits1_2_hh::antimozwindows_myn,int,1,NA,NA,1 to 2,2,NA,0,duplicated variable
80,antimozscreening_myn,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,B29. Screening of windows [Kah pyrda yei jingkhang-iit],"1, Yes | 2, No",,,,NA,antimozscreening_myn,jaintia_data_2021-01-22_1315visits1_2_hh::antimozscreening_myn,int,2,NA,NA,1 to 2,2,NA,0,duplicated variable
81,antimozother_myn,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,B30. Other [Kiwei kiwei],"1, Yes | 2, No",,,,NA,antimozother_myn,jaintia_data_2021-01-22_1315visits1_2_hh::antimozother_myn,int,2,NA,NA,1 to 2,2,NA,0,duplicated variable
82,antimozother,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,B31. Specify mosquito prevention method [Batai shai],NA,,,,NA,antimozother,jaintia_data_2021-01-22_1315visits1_2_hh::antimozother,chr,Burning jute bags,NA,NA,", Burning egg tray, Burning jute bags",2,NA,0.99127907,duplicated variable
83,chalkmark_yn,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,"B32. Are there chalk markings on the house indicating that DDT spraying was performed? (DO NOT ASK this, just observe, and choose Yes or No.)",NA,,,,NA,chalkmark_yn,jaintia_data_2021-01-22_1315visits1_2_hh::chalkmark_yn,int,0,NA,NA,0 to 1,2,NA,0,duplicated variable
84,chalkmarkdate,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,"B33. If Yes, What is the most recent date indicated?",NA,,,,NA,chalkmarkdate,jaintia_data_2021-01-22_1315visits1_2_hh::chalkmarkdate,chr,4/4/17,date?,NA,", 1/2/2018, 3/2/2016, 4/4/2017, 9/14/2018, 9/2/2018, 9/20/2018",6,NA,0.944767442,duplicated variable
85,sprayedhouse_rad,jaintia_data_2021-01-22_1315visits1_2_hh,keep,,,B34. Has your house been sprayed with insecticide within the last 12 months? [Lah synreit dawai ia ka iing jong phi 12 bnai mynshwa?] ,"1, Yes | 2, No | 3, Don't know",,,,NA,sprayedhouse_rad,jaintia_data_2021-01-22_1315visits1_2_hh::sprayedhouse_rad,int,2,NA,NA,1 to 2,2,NA,0,duplicated variable
