ISA Presenter Name,Project name,Study name,Study design,Investigation type,WHO indicator subdomain,Disease,Sample type,Population included,Data access level*,Country,Sex,Age,Household count,Participant count,Observation count,Sample count,Entomology collection count,Years,Additional data,Presenter #
ISASimple_Gates_LLINE-UP_rct_RSRC,,LLINEUP Cluster Randomized Trial,Randomized controlled/clinical trial,Experimental,Communicable disease,Malaria,Blood sample,Neonate; Infant; Child; Adult,,Uganda,Female; Male,,,,,,,2017; 2018; 2029,,35
ISASimple_ICEMR_Malawi_case_control_RSRC,ICEMR,Malawi ICEMR Case-Control,Case-control,Observational,Communicable disease,Malaria,Blood sample,Infant; Child,,Malawi,Female; Male,,,,,,,2012; 2013; 2014; 2015; 2016; 2017,,24
ISASimple_Gates_MAL-ED_phase3_RSRC,,MAL-ED 0-60m Cohort,Cohort,Observational,"Reproductive, maternal, newborn, child and adolescent health; Communicable disease; Nutrition",Diarrheal disease; Respiratory condition,Blood sample; Stool sample; Urine sample,Neonate; Infant; Child,,Bangladesh; Brazil; India; Nepal; Pakistan; Peru; South Africa; Tanzania,Female; Male,,,,,,,2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017,MicrobiomeDB,17
ISASimple_Gates_Namibia_rfMDA_rfVC_RSRC,,Namibia rfMDA RAVC Cluster Randomized Trial,Randomized controlled/clinical trial,Experimental,Communicable disease,Malaria,Blood sample,Neonate; Infant; Child; Adult,,Namibia,Female; Male,,,,,,,2017,,34
ISASimple_Gates_PERCH_case_control_RSRC,,PERCH Case Control,Case-control,Observational,"Reproductive, maternal, newborn, child and adolescent health; Communicable disease",Respiratory condition,Blood sample; Nasopharyngeal swab sample; Oropharyngeal swab sample; Pleural fluid sample; Induced sputum sample; Endotracheal tube sample; Gastric fluid sample; Urine sample,Infant; Child,,Kenya; The Gambia; Mali; Zambia; South Africa; Thailand; Bangladesh,Female; Male,,,,,,,2011; 2012; 2013; 2014,,25
ISASimple_ICEMR_PRISM_cohort_RSRC,ICEMR,PRISM ICEMR Cohort,Cohort,Observational,"Reproductive, maternal, newborn, child and adolescent health; Communicable disease",Malaria,Blood sample,Infant; Child; Adult,,Uganda,Female; Male,,,,,,,2011; 2012; 2013; 2014; 2015; 2016; 2017,VectorBase; PlasmoDB,1
ISASimple_ICEMR_PRISM2_cohort_RSRC,ICEMR,PRISM2 ICEMR Cohort,Cohort,Observational,Communicable disease,Malaria,Blood sample,Infant; Child; Adult,,Uganda,Female; Male,,,,,,,2017; 2018; 2019,VectorBase,2
ISASimple_General_PROMOTE_BC3_cohort_RSRC,PROMOTE,PROMOTE BC3 Cohort,Randomized controlled/clinical trial,Experimental,"Reproductive, maternal, newborn, child and adolescent health; Communicable disease",Malaria,Blood sample,Infant; Adult,,Uganda,Female; Male,,,,,,,2016; 2017; 2018,,32
ISASimple_Gates_PROVIDE_rct_RSRC,,PROVIDE Randomized Controlled Trial,Randomized controlled/clinical trial,Experimental,"Reproductive, maternal, newborn, child and adolescent health; Communicable disease",Diarrheal disease,Stool sample; Urine sample; Blood sample; Maternal blood sample; Maternal breast milk sample; Saliva sample; Breath sample,Neonate; Infant; Child,,Bangladesh,Female; Male,,,,,,,2011; 2012; 2013; 2014,,29
ISASimple_Gates_SCORE_burundi_RSRC,SCORE,SCORE Burundi Cross-sectional,Cross-sectional,Observational,Communicable disease,Schistosomiasis,Stool sample; Urine sample,Child,,Burundi,Female; Male,,,,,,,2014,,22
ISASimple_Gates_SCORE_five_country_RSRC,SCORE,SCORE Five Country Cross-sectional,Cross-sectional,Observational,Communicable disease,Schistosomiasis,Stool sample; Urine sample,Child,,Cameroon; Cote d'Ivoire; Ethiopia; Kenya; and Uganda,Female; Male,,,,,,,2012,,21
ISASimple_Gates_SCORE_moz_RSRC,SCORE,SCORE Mozambique S. haematobium Cluster Randomized Trial,Randomized controlled/clinical trial,Experimental,Communicable disease,Schistosomiasis,Urine sample,Child; Adult,,Mozambique,Female; Male,,,,,,,2011; 2012; 2013; 2014; 2015,,19
ISASimple_Gates_SCORE_niger_RSRC,SCORE,SCORE Niger S. haematobium Cluster Randomized Trial,Randomized controlled/clinical trial,Experimental,Communicable disease,Schistosomiasis,Urine sample,Child; Adult,,Niger,Female; Male,,,,,,,2011; 2012; 2013; 2014; 2015,,20
ISASimple_Gates_SCORE_rwanda_RSRC,SCORE,SCORE Rwanda Cross-sectional,Cross-sectional,Observational,Communicable disease,Schistosomiasis,Stool sample; Urine sample,Child,,Rwanda,Female; Male,,,,,,,2014,,23
ISASimple_Gates_SCORE_cx_RSRC,SCORE,SCORE S. mansoni Cluster Randomized Trial,Randomized controlled/clinical trial,Experimental,Communicable disease,Schistosomiasis,Stool sample,Child; Adult,,Cote d'Ivoire; Kenya; Tanzania,Female; Male,,,,,,,2011; 2012; 2013; 2014; 2015; 2016,,18
ISASimple_Gates_SCORE_Sm_cohort_RSRC,SCORE,SCORE S. mansoni Cohort Study,Cohort,Observational,Communicable disease,Schistosomiasis,Stool sample,Child,,Kenya; Tanzania,Female; Male,,,,,,,2011; 2012; 2013; 2014; 2015,,21
ISASimple_Gates_SCORE_seasonal_RSRC,SCORE,SCORE Seasonal Transmission S. haematobium Cluster Randomized Trial,Randomized controlled/clinical trial,Experimental,Communicable disease,Schistosomiasis,Stool sample; Urine sample,Child; Adult,,Cote d'Ivoire,Female; Male,,,,,,,2015; 2016; 2017; 2018; 2019,,26
ISASimple_Gates_SCORE_zanzibar_RSRC,SCORE,SCORE Zanzibar S. haematobium Cluster Randomized Trial,Randomized controlled/clinical trial,Experimental,Communicable disease,Schistosomiasis,Urine sample,Child,,Zanzibar,Female; Male,,,,,,,2012; 2013; 2014; 2015; 2016; 2017,,30
ISASimple_ICEMR_South_Asia_surveillance_expanded_RSRC,ICEMR,South Asia ICEMR Surveillance Extended,Cohort,Observational,Communicable disease,Malaria,Blood sample,Infant; Child; Adult,,India,Female; Male,,,,,,,2012; 2013; 2014; 2015; 2016; 2017,,7
ISASimple_ICEMR_South_Asia_surveillance_RSRC,ICEMR,South Asia ICEMR Surveillance,Cohort,Observational,Communicable disease,Malaria,Blood sample,Infant; Child; Adult,,India,Female; Male,,,,,,,2012; 2013; 2014; 2015; 2016; 2017,,6
ISASimple_ICEMR_SoutheastAsia_surveillance_RSRC,ICEMR,Southeast Asia ICEMR Surveillance,,Surveillance,Communicable disease,Malaria,Blood sample,Neonate; Infant; Child; Adult,,Thailand,Female; Male,,,,,,,2011; 2012; 2013; 2014; 2015; 2016; 2017,,25
ISASimple_ICEMR_SouthernAfrica_cohort_RSRC,ICEMR,Southern Africa ICEMR Cross-sectional,Cross-sectional,Observational,Communicable disease,Malaria,Blood sample,Infant; Child; Adult,,Zambia; Zimbabwe,Female; Male,,,,,,,2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019,,10
ISASimple_General_UMSP_surveillance_RSRC,,UMSP Surveillance,,Surveillance,Communicable disease,Malaria,Blood sample,Infant; Child; Adult,,Uganda,Female; Male,,,,,,,2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019,,27
ISASimple_Gates_VIDA_case_control_RSRC,VIDA,VIDA Case Control,Case-control,Observational,"Reproductive, maternal, newborn, child and adolescent health; Communicable disease",Diarrheal disease,Stool sample,Neonate; Infant; Child,,Kenya; Mali; The Gambia,Female; Male,,,,,,,2015; 2016; 2017; 2018,,15
ISASimple_Gates_WASHb_Bangladesh_rct_RSRC,WASH Benefits,WASH Benefits Bangladesh Cluster Randomized Trial,Randomized controlled/clinical trial,Experimental,"Reproductive, maternal, newborn, child and adolescent health; Communicable disease; Nutrition",Diarrheal disease,No samples,Neonate; Infant; Child,,Bangladesh,Female; Male,,,,,,,2012; 2013; 2014; 2015,,16
ISASimple_Gates_WASHb_Kenya_rct_RSRC,WASH Benefits,WASH Benefits Kenya Cluster Randomized Trial,Randomized controlled/clinical trial,Experimental,"Reproductive, maternal, newborn, child and adolescent health; Communicable disease",Diarrheal disease,No samples,Neonate; Infant; Child,,Kenya,Female; Male,,,,,,,2012; 2013; 2014; 2015,,
ISASimple_ICEMR_WestAfrica_cohort_RSRC,ICEMR,West Africa ICEMR Cohort,Cohort,Observational,Communicable disease,Malaria,Blood sample,Infant; Child; Adult,,Mali,Female; Male,,,,,,,2012; 2013; 2014; 2015; 2016,,26
ISASimple_General_NHS_nhs_111cs_RSRC,,,,Surveillance,,Respiratory condition,No samples,Adult,,United Kingdom,Female; Male,,,,,,,2019,,35
ISASimple_Gates_VIDA_HUCS_Gambia_Mali_survey_RSRC,VIDA HUCS,VIDA HUCS Gambia Mali Survey,Cross-sectional,Observational,"Reproductive, maternal, newborn, child and adolescent health; Communicable disease",Diarrheal disease,No samples,Neonate; Infant; Child,,The Gambia; Mali,Female; Male,,,,,,,,,
ISASimple_Gates_VIDA_HUCS_Kenya_survey_RSRC,VIDA HUCS,VIDA HUCS Kenya Survey,,Observational,"Reproductive, maternal, newborn, child and adolescent health; Communicable disease",Diarrheal disease,No samples,Neonate; Infant; Child,,Kenya,Female; Male,,,,,,,,,
ISASimple_Gates_G-ANC_rct_RSRC,,Group Antenatal Care Cluster Randomized Trial,Randomized controlled/clinical trial,Experimental,"Reproductive, maternal, newborn, child and adolescent health",,No samples,Pregnant women,,Nigeria;Kenya,Female,,,,,,,2016; 2017; 2018,,
ISASimple_General_COVID-19_India_cohort_RSRC,,COVID-19 India Cohort,Cohort,Observational,Communicable disease,Respiratory condition,Throat swab sample; Nasopharyngeal swab sample,Child; Adult,,India,Female; Male,,,,,,,2020,,
