variable,colOrder,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,timeVarying,percentMissing,flag,IRI,label,displayOrder,parentLabel,parentIRI
uniquehhid,12,cdc lt database through october 29th 2020,discard,NA,NA,Unique household ID (hhid+date),NA,NA,,,,uniqueHHid,cdc lt database through october 29th 2020::uniquehhid,dbl,1.01E+13,NA,NA,10100530122167 to 31503260122208,317,NA,0,NA,NA,NA,NA,NA,NA
uniqueltid,13,cdc lt database through october 29th 2020,discard,NA,NA,Uniqueid LT ID (hhid+date+room number),NA,NA,,,,uniqueLTid,cdc lt database through october 29th 2020::uniqueltid,dbl,1.01E+14,NA,NA,101005301221671 to 315032601222082,526,NA,0,NA,NA,NA,NA,NA,NA
collections,14,cdc lt database through october 29th 2020,discard,NA,NA,Each CDC LT collection done,NA,NA,,,,collections,cdc lt database through october 29th 2020::collections,dbl,1,NA,NA,1 to 1,1,NA,0,duplicated variable,NA,NA,NA,NA,NA
totalanopheles,15,cdc lt database through october 29th 2020,keep,Total number of female anopheles caught in light trap,Observation,Total number of female anopheles collected,,variable,,,,totalanopheles,cdc lt database through october 29th 2020::totalanopheles,dbl,154,NA,NA,0 to 284,76,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020122,Total female Anopheles count,NA,CDC light trap,http://purl.obolibrary.org/obo/EUPATH_0020228
totalgambiae,16,cdc lt database through october 29th 2020,keep,NA,NA,Total number of female An. gambiae collected,NA,NA,,,,totalgambiae,cdc lt database through october 29th 2020::totalgambiae,dbl,142,NA,NA,0 to 279,68,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000137,Female Anopheles gambiae count,NA,NA,NA
totalfunestus,17,cdc lt database through october 29th 2020,keep,NA,NA,Total number of female An. funestus collected,NA,NA,,,,totalfunestus,cdc lt database through october 29th 2020::totalfunestus,dbl,12,NA,NA,0 to 20,17,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000136,Female Anopheles funestus count,NA,NA,NA
totalother,18,cdc lt database through october 29th 2020,keep,NA,NA,Total number of other female An. collected,NA,NA,,,,totalother,cdc lt database through october 29th 2020::totalother,dbl,0,NA,NA,0 to 6,5,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000200,Other female Anopheles species count,NA,NA,NA
fedgamb,19,cdc lt database through october 29th 2020,keep,NA,NA,Total blood fed An. gambiae,NA,NA,,,,fedgamb,cdc lt database through october 29th 2020::fedgamb,dbl,1,NA,NA,0 to 6,6,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000193,Bloodfed Anopheles gambiae count,NA,NA,NA
unfedgamb,20,cdc lt database through october 29th 2020,keep,NA,NA,Total unfed An. gambiae,NA,NA,,,,unfedgamb,cdc lt database through october 29th 2020::unfedgamb,dbl,134,NA,NA,0 to 279,64,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000205,Unfed Anopheles gambiae count,NA,NA,NA
gravidgambie,21,cdc lt database through october 29th 2020,keep,NA,NA,Total gravid/semigravid An. gambiae,NA,NA,,,,gravidgambie,cdc lt database through october 29th 2020::gravidgambie,dbl,2,NA,NA,0 to 14,13,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000198,Gravid Anopheles gambiae count,NA,NA,NA
gunableassess,22,cdc lt database through october 29th 2020,keep,NA,NA,Total An. gambiae unable to assess,NA,NA,,,,gunableassess,cdc lt database through october 29th 2020::gunableassess,dbl,5,NA,NA,0 to 10,9,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000203,Unable to assess Anopheles gambiae count,NA,NA,NA
fedfunes,23,cdc lt database through october 29th 2020,keep,NA,NA,Total blood fed An. funestus,NA,NA,,,,fedfunes,cdc lt database through october 29th 2020::fedfunes,dbl,0,NA,NA,0 to 3,4,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000192,Bloodfed Anopheles funestus count,NA,NA,NA
unfedfunes,24,cdc lt database through october 29th 2020,keep,NA,NA,Total unfed An. funestus,NA,NA,,,,unfedfunes,cdc lt database through october 29th 2020::unfedfunes,dbl,12,NA,NA,0 to 15,16,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000204,Unfed Anopheles funestus count,NA,NA,NA
gravidfunes,25,cdc lt database through october 29th 2020,keep,NA,NA,Total gravid/semigravid An. funestus,NA,NA,,,,gravidfunes,cdc lt database through october 29th 2020::gravidfunes,dbl,0,NA,NA,0 to 5,6,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000197,Gravid Anopheles funestus count,NA,NA,NA
funableassess,26,cdc lt database through october 29th 2020,keep,NA,NA,Total An. funestus unable to assess,NA,NA,,,,funableassess,cdc lt database through october 29th 2020::funableassess,dbl,0,NA,NA,0 to 3,4,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000202,Unable to assess Anopheles funestus count,NA,NA,NA
fedanoph,27,cdc lt database through october 29th 2020,keep,NA,NA,Total blood fed other An.,NA,NA,,,,fedanoph,cdc lt database through october 29th 2020::fedanoph,dbl,0,NA,NA,0 to 0,1,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020082,Bloodfed other Anopheles species count,NA,NA,NA
unfedanoph,28,cdc lt database through october 29th 2020,keep,NA,NA,Total unfed other An.,NA,NA,,,,unfedanoph,cdc lt database through october 29th 2020::unfedanoph,dbl,0,NA,NA,0 to 6,5,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020197,Unfed other Anopheles species count,NA,NA,NA
gravidanoph,29,cdc lt database through october 29th 2020,keep,NA,NA,Total gravid/semigravid other An.,NA,NA,,,,gravidanoph,cdc lt database through october 29th 2020::gravidanoph,dbl,0,NA,NA,0 to 3,4,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020086,Gravid/semigravid  other Anopheles species count,NA,NA,NA
unableassessanoph,30,cdc lt database through october 29th 2020,keep,NA,NA,Total other An. unable to assess,NA,NA,,,,unableassessanoph,cdc lt database through october 29th 2020::unableassessanoph,dbl,0,NA,NA,0 to 2,3,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020188,Unable to assess other Anopheles species count,NA,NA,NA
discparity,31,cdc lt database through october 29th 2020,keep,NA,NA,Number of mosquitoes disected for parity,NA,NA,,,,discparity,cdc lt database through october 29th 2020::discparity,dbl,10,NA,NA,0 to 22,20,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000194,Anopheles dissected for parity (count),NA,NA,NA
parous,32,cdc lt database through october 29th 2020,keep,NA,NA,Number of parous mosquitoes,NA,NA,,,,parous,cdc lt database through october 29th 2020::parous,dbl,7,NA,NA,0 to 15,16,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000196,Anopheles parous (count),NA,NA,NA
nulliparous,33,cdc lt database through october 29th 2020,keep,NA,NA,Number of nulliparous mosquitoes,NA,NA,,,,nulliparous,cdc lt database through october 29th 2020::nulliparous,dbl,3,NA,NA,0 to 13,10,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000195,Anopheles nulliparous (count),NA,NA,NA
culex,34,cdc lt database through october 29th 2020,keep,NA,NA,Number of Culex mosquitoes,NA,NA,,,,culex,cdc lt database through october 29th 2020::culex,dbl,16,NA,NA,0 to 120,42,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0020210,Culex count,NA,NA,NA
barcode,35,cdc lt database through october 29th 2020,discard,NA,NA,Barcode,NA,NA,"don't know how to handle, not worth loading if it doesn't link to other data",,,barcode,cdc lt database through october 29th 2020::barcode,chr,T24EUZ,NA,NA,>10 unique values,317,NA,0,duplicated variable,NA,NA,NA,NA,NA
hhid,1,household survey bednet level data_final,discard,NA,NA,Household ID number,NA,NA,,,,hhid,household survey bednet level data_final::hhid,dbl,101007203,NA,NA,101007203 to 315032101,35,NA,0,duplicated variable,NA,NA,NA,NA,NA
district,2,household survey bednet level data_final,discard,NA,NA,District,NA,NA,,,,District,household survey bednet level data_final::district,dbl+lbl,1,NA,NA,1 to 2,2,NA,0,duplicated variable,NA,NA,NA,NA,NA
parish,3,household survey bednet level data_final,discard,NA,NA,Parish,NA,NA,,,,Parish,household survey bednet level data_final::parish,dbl+lbl,1,NA,NA,1 to 3,3,NA,0,duplicated variable,NA,NA,NA,NA,NA
village,4,household survey bednet level data_final,discard,NA,NA,Village,NA,NA,,,,Village,household survey bednet level data_final::village,dbl+lbl,101,NA,NA,101 to 315,8,NA,0,duplicated variable,NA,NA,NA,NA,NA
netnum,5,household survey bednet level data_final,discard,NA,NA,Net number,NA,NA,,,,netnum,household survey bednet level data_final::netnum,dbl,2,NA,NA,1 to 6,6,NA,0,NA,NA,NA,NA,NA,NA
obs,6,household survey bednet level data_final,discard,NA,NA,Whether or not the net was observed,NA,NA,,,,obs,household survey bednet level data_final::obs,dbl+lbl,1,NA,NA,1 to 1,1,NA,0,NA,NA,NA,NA,NA,NA
howoldnet,7,household survey bednet level data_final,discard,NA,NA,How many months ago did your household obtain the net?,NA,NA,,,,howoldnet,household survey bednet level data_final::howoldnet,dbl+lbl,37,NA,NA,0 to 37,7,NA,0,NA,NA,NA,NA,NA,NA
howoldnetcat,8,household survey bednet level data_final,discard,NA,NA,Months since bednet obtained categories,NA,NA,,,,howoldnetcat,household survey bednet level data_final::howoldnetcat,dbl+lbl,6,NA,NA,1 to 6,4,NA,0,NA,NA,NA,NA,NA,NA
wherenet,9,household survey bednet level data_final,discard,NA,NA,Where did you get net from?,NA,NA,,,,wherenet,household survey bednet level data_final::wherenet,dbl+lbl,0,NA,NA,0 to 9,3,NA,0,NA,NA,NA,NA,NA,NA
spcfro,10,household survey bednet level data_final,discard,NA,NA,other source of net,NA,NA,,,,spcfro,household survey bednet level data_final::spcfro,dbl,-9,NA,NA,-9 to -9,1,NA,0,NA,NA,NA,NA,NA,NA
free,11,household survey bednet level data_final,discard,NA,NA,Was the net free or paid for,NA,NA,,,,free,household survey bednet level data_final::free,dbl+lbl,1,NA,NA,1 to 1,1,NA,0,NA,NA,NA,NA,NA,NA
brandnet,12,household survey bednet level data_final,discard,NA,NA,Brand of the net,NA,NA,,,,brandnet,household survey bednet level data_final::brandnet,dbl+lbl,4,NA,NA,1 to 8,3,NA,0,NA,NA,NA,NA,NA,NA
whetherllin,13,household survey bednet level data_final,discard,NA,NA,Whether or not the net is an LLIN,NA,NA,,,,whetherLLIN,household survey bednet level data_final::whetherllin,dbl+lbl,1,NA,NA,1 to 1,1,NA,0,NA,NA,NA,NA,NA,NA
otherb,14,household survey bednet level data_final,discard,NA,NA,Other brand of net,NA,NA,,,,otherb,household survey bednet level data_final::otherb,chr,-9,NA,NA,"-9, RAKOOL, YAKOOL, YAKOOL LLIN, YARKOOL, YORKOOL, YORKOOL LLIN (100% WRAP KNITTED POLYESTER), YORKOOL LLIN (100%WRAP KNITTED POLYESTER)",8,NA,0,NA,NA,NA,NA,NA,NA
slpnet,15,household survey bednet level data_final,discard,NA,NA,Did anyone sleep under the net last night?,NA,NA,,,,slpnet,household survey bednet level data_final::slpnet,dbl+lbl,1,NA,NA,0 to 1,2,NA,0,NA,NA,NA,NA,NA,NA
whynotused,16,household survey bednet level data_final,discard,NA,NA,Why bednet not used,NA,NA,,,,whynotused,household survey bednet level data_final::whynotused,dbl+lbl,-9,NA,NA,-9 to 96,7,NA,0,NA,NA,NA,NA,NA,NA
nutoohot,17,household survey bednet level data_final,discard,NA,NA,Too hot,NA,NA,,,,nutoohot,household survey bednet level data_final::nutoohot,dbl,-9,NA,NA,-9 to 0,2,NA,0,NA,NA,NA,NA,NA,NA
nusmell,18,household survey bednet level data_final,discard,NA,NA,Don't like smell,NA,NA,,,,nusmell,household survey bednet level data_final::nusmell,dbl,-9,NA,NA,-9 to 0,2,NA,0,NA,NA,NA,NA,NA,NA
nunomos,19,household survey bednet level data_final,discard,NA,NA,No mosquitoes,NA,NA,,,,nunomos,household survey bednet level data_final::nunomos,dbl,-9,NA,NA,-9 to 0,2,NA,0,NA,NA,NA,NA,NA,NA
nuold,20,household survey bednet level data_final,discard,NA,NA,Net too old/too many holes,NA,NA,,,,nuold,household survey bednet level data_final::nuold,dbl,-9,NA,NA,-9 to 1,3,NA,0,NA,NA,NA,NA,NA,NA
nunothung,21,household survey bednet level data_final,discard,NA,NA,Net not hung,NA,NA,,,,nunothung,household survey bednet level data_final::nunothung,dbl,-9,NA,NA,-9 to 1,3,NA,0,NA,NA,NA,NA,NA,NA
nudirty,22,household survey bednet level data_final,discard,NA,NA,Net too dirty,NA,NA,,,,nudirty,household survey bednet level data_final::nudirty,dbl,-9,NA,NA,-9 to 0,2,NA,0,NA,NA,NA,NA,NA,NA
nunotkillins,23,household survey bednet level data_final,discard,NA,NA,Net no longer kill insects,NA,NA,,,,nunotkillins,household survey bednet level data_final::nunotkillins,dbl,-9,NA,NA,-9 to 0,2,NA,0,NA,NA,NA,NA,NA,NA
nufirerisk,24,household survey bednet level data_final,discard,NA,NA,Concerned about fire risk,NA,NA,,,,nufirerisk,household survey bednet level data_final::nufirerisk,dbl,-9,NA,NA,-9 to 0,2,NA,0,NA,NA,NA,NA,NA,NA
nuother,25,household survey bednet level data_final,discard,NA,NA,Other reason net not used,NA,NA,,,,nuother,household survey bednet level data_final::nuother,dbl,-9,NA,NA,-9 to 1,3,NA,0,NA,NA,NA,NA,NA,NA
othrnt,26,household survey bednet level data_final,discard,NA,NA,Other reasons,NA,NA,,,,othrnt,household survey bednet level data_final::othrnt,chr,-9,NA,NA,"-9, IT ITCHES, KEEPING FOR FUTURE USE, STILL USING THE OLD ONE, STILL USING THE OLD ONES, THAT THEY WERE TOLD TO FIRST WAIT TO USE THEM FOR TWO WEEKS, THAT THEY WERE TOLD TO WAIT FOR TWO WEEKS BEFORE THEY CAN USE THEM, WAITING FOR THE INSECTICIDES TO REDUCE",8,NA,0,NA,NA,NA,NA,NA,NA
nthung,27,household survey bednet level data_final,discard,NA,NA,Why net not hung,NA,NA,,,,nthung,household survey bednet level data_final::nthung,dbl,-9,NA,NA,-9 to 96,5,NA,0,NA,NA,NA,NA,NA,NA
sleptunder1,28,household survey bednet level data_final,discard,NA,NA,1st cohort ID number sleeping under this net,NA,NA,,,,sleptunder1,household survey bednet level data_final::sleptunder1,dbl,137,NA,NA,1 to 418,53,NA,0.329113924,NA,NA,NA,NA,NA,NA
sleptunder2,29,household survey bednet level data_final,discard,NA,NA,2nd cohort ID number sleeping under this net,NA,NA,,,,sleptunder2,household survey bednet level data_final::sleptunder2,dbl,138,NA,NA,2 to 421,38,NA,0.518987342,NA,NA,NA,NA,NA,NA
sleptunder3,30,household survey bednet level data_final,discard,NA,NA,3rd cohort ID number sleeping under this net,NA,NA,,,,sleptunder3,household survey bednet level data_final::sleptunder3,dbl,139,NA,NA,11 to 420,17,NA,0.784810127,NA,NA,NA,NA,NA,NA
sleptunder4,31,household survey bednet level data_final,discard,NA,NA,4th cohort ID number sleeping under this net,NA,NA,,,,sleptunder4,household survey bednet level data_final::sleptunder4,dbl,332,NA,NA,12 to 332,3,NA,0.962025316,NA,NA,NA,NA,NA,NA
sleptunder5,32,household survey bednet level data_final,discard,NA,NA,5th cohort ID number sleeping under this net,NA,NA,,,,sleptunder5,household survey bednet level data_final::sleptunder5,dbl,34,NA,NA,34 to 34,1,NA,0.987341772,NA,NA,NA,NA,NA,NA
sleptunder6,33,household survey bednet level data_final,discard,NA,NA,6th cohort ID number sleeping under this net,NA,NA,,,,sleptunder6,household survey bednet level data_final::sleptunder6,dbl,35,NA,NA,35 to 35,1,NA,0.987341772,NA,NA,NA,NA,NA,NA
sleptunder7,34,household survey bednet level data_final,discard,NA,NA,7th cohort ID number sleeping under this net,NA,NA,,,,sleptunder7,household survey bednet level data_final::sleptunder7,dbl,NA,NA,NA,Inf to -Inf,0,NA,1,no data,NA,NA,NA,NA,NA
numundernet,35,household survey bednet level data_final,discard,NA,NA,Number of cohort participants who slept under this net,NA,NA,,,,numundernet,household survey bednet level data_final::numundernet,dbl,3,NA,NA,0 to 6,6,NA,0,duplicated variable,NA,NA,NA,NA,NA
hhid,1,household survey household level data_final,discard,NA,NA,Household ID number,NA,NA,,,,hhid,household survey household level data_final::hhid,dbl,110002801,NA,NA,101005301 to 315032601,80,NA,0,duplicated variable,NA,NA,NA,NA,NA
district,2,household survey household level data_final,keep,NA,NA,District,NA,NA,,,,District,household survey household level data_final::district,dbl+lbl,1,NA,NA,1 to 2,2,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0000054,'Sub-county in Uganda',NA,NA,NA
parish,3,household survey household level data_final,keep,NA,NA,Parish,NA,NA,,,,Parish,household survey household level data_final::parish,dbl+lbl,1,NA,NA,1 to 3,3,NA,0,duplicated variable,http://purl.obolibrary.org/obo/EUPATH_0040014,Parish,NA,NA,NA
village,4,household survey household level data_final,keep,NA,NA,Village,NA,NA,,,,Village,household survey household level data_final::village,dbl+lbl,110,NA,NA,101 to 315,10,NA,0,duplicated variable,http://purl.obolibrary.org/obo/ENVO_01000773,Village,NA,NA,NA
latitude,5,household survey household level data_final,discard,NA,NA,Latitude,NA,NA,,,,Latitude,household survey household level data_final::latitude,dbl,0.562194027,NA,NA,0.554660959169269 to 0.615951027721167,80,NA,0,duplicated variable,NA,NA,NA,NA,NA
longitude,6,household survey household level data_final,discard,NA,NA,Longitude,NA,NA,,,,Longitude,household survey household level data_final::longitude,dbl,34.12815602,NA,NA,34.1148899774998 to 34.1765019949525,80,NA,0,duplicated variable,NA,NA,NA,NA,NA
elevation,7,household survey household level data_final,discard,NA,NA,Elevation in meters,NA,NA,,,,Elevation,household survey household level data_final::elevation,dbl,1153.718018,NA,NA,1095.481567 to 1192.300537,79,NA,0.0125,duplicated variable,NA,NA,NA,NA,NA
npeople,8,household survey household level data_final,keep,,Household,Number of household members,,variable,,,,npeople,household survey household level data_final::npeople,dbl,4,NA,NA,3 to 7,5,NA,0,NA,http://purl.obolibrary.org/obo/EUPATH_0000019,Persons living in house,NA,Socioeconomic factors,http://purl.obolibrary.org/obo/EUPATH_0000304
ncohort,9,household survey household level data_final,keep,Number of people within the household enrolled in the study,Household,Number of  people enrolled in cohort,,variable,,,,ncohort,household survey household level data_final::ncohort,dbl,4,NA,NA,3 to 7,5,NA,0,NA,http://purl.obolibrary.org/obo/EUPATH_0020247,Persons enrolled in study,5,Household administrative information,http://purl.obolibrary.org/obo/EUPATH_0020097
intnum,10,household survey household level data_final,discard,NA,NA,Interviewer's number,NA,NA,,,,intnum,household survey household level data_final::intnum,dbl,10,NA,NA,10 to 13,3,NA,0,NA,NA,NA,NA,NA,NA
surveydate,11,household survey household level data_final,keep,,Household,Date household survey done,,variable,,,,surveydate,household survey household level data_final::surveydate,date,18492,date?,NA,18485 to 18507,8,NA,0,NA,http://purl.obolibrary.org/obo/EUPATH_0021085,Household data collection date,NA,Household,http://purl.obolibrary.org/obo/PCO_0000024
swater,12,household survey household level data_final,keep,,Household,Main source of drinking water,,variable,,,,swater,household survey household level data_final::swater,dbl+lbl,10,NA,NA,10 to 41,6,NA,0,NA,http://purl.obolibrary.org/obo/ENVO_00003064,Drinking water source,NA,Household water,http://purl.obolibrary.org/obo/EUPATH_0000731
otherscs,13,household survey household level data_final,discard,NA,NA,Other source of water,NA,NA,,,,otherscs,household survey household level data_final::otherscs,dbl,-9,NA,NA,-9 to -9,1,NA,0,NA,NA,NA,NA,NA,NA
tfaclty,14,household survey household level data_final,keep,,Household,Toilet facility,,variable,,,,tfaclty,household survey household level data_final::tfaclty,dbl+lbl,4,NA,NA,3 to 8,5,NA,0,NA,http://purl.obolibrary.org/obo/EUPATH_0000335,Human waste facilities,NA,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596
otherfcy,15,household survey household level data_final,discard,NA,NA,Other kind of toilet,NA,NA,,,,otherfcy,household survey household level data_final::otherfcy,dbl,-9,NA,NA,-9 to -9,1,NA,0,NA,NA,NA,NA,NA,NA
fueltype,16,household survey household level data_final,keep,,Household,Fuel type used for cooking,,variable,,,,fueltype,household survey household level data_final::fueltype,dbl+lbl,6,NA,NA,5 to 6,2,NA,0,NA,http://purl.obolibrary.org/obo/EUPATH_0000023,Cooking fuel,1,Dwelling facilities,http://purl.obolibrary.org/obo/EUPATH_0000302
otherfuel,17,household survey household level data_final,discard,NA,NA,Other fuel type,NA,NA,,,,otherfuel,household survey household level data_final::otherfuel,dbl,-9,NA,NA,-9 to -9,1,NA,0,NA,NA,NA,NA,NA,NA
senergy,18,household survey household level data_final,keep,,Household,Main lighting energy source,,variable,,,,senergy,household survey household level data_final::senergy,dbl+lbl,7,NA,NA,1 to 9,7,NA,0,NA,http://purl.obolibrary.org/obo/OBI_0400065,Lighting source,3,Dwelling facilities,http://purl.obolibrary.org/obo/EUPATH_0000302
othereng,19,household survey household level data_final,discard,NA,NA,Other lighting source,NA,NA,,,,othereng,household survey household level data_final::othereng,dbl,-9,NA,NA,-9 to -9,1,NA,0,NA,NA,NA,NA,NA,NA
mmfloor,20,household survey household level data_final,keep,,Household,Main floor material,,variable,,,,mmfloor,household survey household level data_final::mmfloor,dbl+lbl,12,NA,NA,11 to 35,3,NA,0,NA,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,2,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303
othermmf,21,household survey household level data_final,discard,NA,NA,Other floor material,NA,NA,,,,othermmf,household survey household level data_final::othermmf,dbl,-9,NA,NA,-9 to -9,1,NA,0,NA,NA,NA,NA,NA,NA
mmroof,22,household survey household level data_final,keep,,Household,Main roof material,,variable,,,,mmroof,household survey household level data_final::mmroof,dbl+lbl,11,NA,NA,11 to 22,2,NA,0,NA,http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,4,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303
othermmr,23,household survey household level data_final,discard,NA,NA,Other roof material,NA,NA,,,,othermmr,household survey household level data_final::othermmr,dbl,-9,NA,NA,-9 to -9,1,NA,0,NA,NA,NA,NA,NA,NA
mmewalls,24,household survey household level data_final,keep,,Household,Exterior wall material,,variable,,,,mmewalls,household survey household level data_final::mmewalls,dbl+lbl,21,NA,NA,21 to 34,4,NA,0,NA,http://purl.obolibrary.org/obo/EUPATH_0000009,Wall material,3,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303
othermme,25,household survey household level data_final,discard,NA,NA,Other exterior wall material,NA,NA,,,,othermme,household survey household level data_final::othermme,chr,-9,NA,NA,"-9, MUD BLOCKS AND MUD, MUD SAND-WITCH WITH MUD",3,NA,0,NA,NA,NA,NA,NA,NA
eaves,26,household survey household level data_final,keep,,Household,Type of eaves,,variable,,,,eaves,household survey household level data_final::eaves,dbl+lbl,1,NA,NA,1 to 2,2,NA,0,NA,http://purl.obolibrary.org/obo/EUPATH_0000015,Eaves,5,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303
windows,27,household survey household level data_final,keep,,Household,Household has windows,NA,variable,,,,windows,household survey household level data_final::windows,dbl+lbl,0,NA,NA,0 to 1,2,NA,0,NA,http://purl.obolibrary.org/obo/EUPATH_0020171,Sleeping rooms with windows,9,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303
covered,28,household survey household level data_final,keep,,Household,Windows covered,,variable,,,,covered,household survey household level data_final::covered,dbl+lbl,-9,NA,NA,-9 to 1,3,NA,0,NA,http://purl.obolibrary.org/obo/EUPATH_0020212,Windows covered,6,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303
hhrooms,29,household survey household level data_final,keep,,Household,How many rooms used for sleeping?,NA,variable,,,,hhrooms,household survey household level data_final::hhrooms,dbl,1,NA,NA,1 to 4,4,NA,0,NA,http://purl.obolibrary.org/obo/EUPATH_0000025,Sleeping rooms in dwelling,8,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303
hhspaces,30,household survey household level data_final,keep,,Household,How many sleeping spaces?,,variable,,,,hhspaces,household survey household level data_final::hhspaces,dbl,2,NA,NA,2 to 6,5,NA,0,NA,http://purl.obolibrary.org/obo/EUPATH_0000201,Sleeping places count,7,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303
electricity,31,household survey household level data_final,keep,,Household,Does your household have electricity?,,value,,,,electricity,household survey household level data_final::electricity,dbl+lbl,0,NA,NA,0 to 1,2,NA,0,NA,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,NA,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144
