"displayOrder","variable","dataFile","IRI","label","definition","category","parentLabel","parentIRI","termType","colOrder","codebookDescription","codebookValues","notesForOnt"
"","hh_00m::ppbaselinecat","hh_00m","on hold, waiting for provider feedback","Baseline parasite prevalence categorization","Plasmodium parasite prevalence at baseline.","Household","Household","","variable, derived","","Baseline parasite prevalence categories","","on hold, waiting for provider feedback"
"","hh_00m::rmsleep","hh_00m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_00m::timeown","hh_00m","on hold, waiting for provider feedback","","","","","","variable","","months since LLIN dist ","","on hold, waiting for provider feedback"
"","hh_00m::timeowncat","hh_00m","on hold, waiting for provider feedback","","","","","","variable","","months since LLIN dist categories","","on hold, waiting for provider feedback"
"","hh_00m::totalsleptnet","hh_00m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_00m::wave","hh_00m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_00m::wealthcat","hh_00m","on hold, waiting for provider feedback","","","","","","variable","","Wealth index divided into tertiles","","on hold, waiting for provider feedback"
"","hh_00m::wealthindex","hh_00m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_06m::anophelesb","hh_06m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_06m::entodate","hh_06m","http://purl.obolibrary.org/obo/EUPATH_0020003 (on hold, waiting for provider feedback)","Collection date","Date that mosquitoes resting indoors on walls were collected, using prokopack aspirators.","Entomology","Entomology collection","","variable","","","",""
"","hh_06m::funestusfcomp","hh_06m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_06m::gambiaefcomp","hh_06m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_06m::hangoruse","hh_06m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_06m::include","hh_06m","on hold, waiting for provider feedback","","","","","","variable","","Whether to include household in final anlaysis","","on hold, waiting for provider feedback"
"","hh_06m::llincatpp","hh_06m","on hold, waiting for provider feedback","Per protocol intervention assignment","Type of long-lasting insecticide-treated bednet (LLIN) received, for per-protocol analysis.","Household","Household","","variable","","Type of LLIN recieved for per protocol analysis","","on hold, waiting for provider feedback"
"","hh_06m::llindichpp","hh_06m","on hold, waiting for provider feedback","Per protocol intervention assignment, dichotomized","Clusters were randomized to receive either conventional long-lasting insecticide-treated bednets (LLINs) or LLINs containing piperonyl butoxide (PBO). Conventional LLINs include PermaNet 2.0 and Olyset Net. PBO LLINs include PermaNet 3.0 and Olyset Plus.","Household","Household","","variable","","Intervention arm dichotomized for per protocol analysis","","on hold, waiting for provider feedback"
"","hh_06m::loganophelesb","hh_06m","on hold, waiting for provider feedback","","","Household","Household","","variable, derived","","","","on hold, waiting for provider feedback"
"","hh_06m::stillhavenet","hh_06m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_06m::wave","hh_06m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_06m::wherenow","hh_06m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_12m::entodate","hh_12m","http://purl.obolibrary.org/obo/EUPATH_0020003 (on hold, waiting for provider feedback)","Collection date","Date that mosquitoes resting indoors on walls were collected, using prokopack aspirators.","Entomology","Entomology collection","","variable","","","",""
"","hh_12m::funestusfcomp","hh_12m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_12m::gambiaefcomp","hh_12m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_12m::include","hh_12m","on hold, waiting for provider feedback","","","","","","variable","","Whether to include household in final anlaysis","","on hold, waiting for provider feedback"
"","hh_12m::inttime","hh_12m","on hold, waiting for provider feedback","Entomology survey date","","Entomology","Entomology","","variable","","","","on hold, waiting for provider feedback"
"","hh_12m::llincatpp","hh_12m","on hold, waiting for provider feedback","Per protocol intervention assignment","Type of long-lasting insecticide-treated bednet (LLIN) received, for per-protocol analysis.","Household","Household","","variable","","Type of LLIN recieved for per protocol analysis","","on hold, waiting for provider feedback"
"","hh_12m::llindichpp","hh_12m","on hold, waiting for provider feedback","Per protocol intervention assignment, dichotomized","Clusters were randomized to receive either conventional long-lasting insecticide-treated bednets (LLINs) or LLINs containing piperonyl butoxide (PBO). Conventional LLINs include PermaNet 2.0 and Olyset Net. PBO LLINs include PermaNet 3.0 and Olyset Plus.","Household","Household","","variable","","Intervention arm dichotomized for per protocol analysis","","on hold, waiting for provider feedback"
"","hh_12m::wave","hh_12m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_18m::entodate","hh_18m","http://purl.obolibrary.org/obo/EUPATH_0020003 (on hold, waiting for provider feedback)","Collection date","Date that mosquitoes resting indoors on walls were collected, using prokopack aspirators.","Entomology","Entomology collection","","variable","","","",""
"","hh_18m::funestusfcomp","hh_18m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_18m::gambiaefcomp","hh_18m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_18m::include","hh_18m","on hold, waiting for provider feedback","","","","","","variable","","Whether to include household in final anlaysis","","on hold, waiting for provider feedback"
"","hh_18m::inttime","hh_18m","on hold, waiting for provider feedback","Entomology survey date","","Entomology","Entomology","","variable","","","","on hold, waiting for provider feedback"
"","hh_18m::llincatpp","hh_18m","on hold, waiting for provider feedback","Per protocol intervention assignment","Type of long-lasting insecticide-treated bednet (LLIN) received, for per-protocol analysis.","Household","Household","","variable","","Type of LLIN recieved for per protocol analysis","","on hold, waiting for provider feedback"
"","hh_18m::llindichpp","hh_18m","on hold, waiting for provider feedback","Per protocol intervention assignment, dichotomized","Clusters were randomized to receive either conventional long-lasting insecticide-treated bednets (LLINs) or LLINs containing piperonyl butoxide (PBO). Conventional LLINs include PermaNet 2.0 and Olyset Net. PBO LLINs include PermaNet 3.0 and Olyset Plus.","Household","Household","","variable","","Intervention arm dichotomized for per protocol analysis","","on hold, waiting for provider feedback"
"","hh_18m::wave","hh_18m","on hold, waiting for provider feedback","","","","","","variable","","","","on hold, waiting for provider feedback"
"","hh_member_00m::includehr","hh_member_00m","on hold, waiting for provider feedback","","","","","","variable","","Whether to include household member in final household resident level analyses","","on hold, waiting for provider feedback"
"","hh_member_06m::includehr","hh_member_06m","on hold, waiting for provider feedback","","","","","","variable","","Whether to include household member in final household resident level analyses","","on hold, waiting for provider feedback"
"","hh_member_12m::includehr","hh_member_12m","on hold, waiting for provider feedback","","","","","","variable","","Whether to include household member in final household resident level analyses","","on hold, waiting for provider feedback"
"","hh_member_18m::includehr","hh_member_18m","on hold, waiting for provider feedback","","","","","","variable","","Whether to include household member in final household resident level analyses","","on hold, waiting for provider feedback"
"","hh_00m::adequateitns","hh_00m","new IRI","1 ITN per 2 people","Whether there was at least 1 insecticide-treated bednet (ITN) per 2 people.","Household","Household vector intervention","","variable","","Whether at least 1 ITN per 2 persons","","new term, suggested parent = Household vector intervention"
"","hh_00m::adequatenets","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0020219","1 bednet per 2 people","Whether there was at least 1 bednet per 2 people.","Household","Household vector intervention","","variable","","Whether at least 1 bednet per 2 persons","",""
"","hh_00m::ahwker","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0020230","Community health worker present","Whether there was a community health worker (community medicine distributor, village health team, community own resource person) who distributes malaria medicines in the  community.","Household","Dwelling environment","","variable","","Is there a community health worker (community medicine distributor/CMD, village health team/VHT, community own resource person/CORP) who distributes malaria medicines in your village or community?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_00m::airbricks","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000018","Air bricks","Whether air bricks were installed above windows.","Household","Dwelling characteristics","","variable","","Airbricks above windows?","1 = Yes, 2 = No, 8 = Don’t know",""
"","hh_00m::amchwker","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0020229","Community health worker has malaria medication","Whether the community health worker had malaria medication available at the time of survey.","Household","Dwelling environment","","variable","","Does the community health worker currently have malaria medicines available?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_00m::anophelesf","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000135","Female Anopheles count","Number of female Anopheline mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles results","","variable","","","",""
"","hh_00m::anophelesm","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0025031","Male Anopheles count","Number of male Anopheline mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles results","","variable","","","",""
"","hh_00m::anyitncol","hh_00m","new IRI","Household ITNs","Whether the household has any insecticide-treated bednets (ITNs) that can be used while sleeping.","Household","Household vector intervention","","variable","","Whether the house has any ITNs","","new term, suggested parent = Household vector intervention"
"","hh_00m::anynet","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0020225","Bednet count","Number of bednets of any type in the household.","Household","Household vector intervention","","variable","","","",""
"","hh_00m::anynetcat","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0020226","Bednet count categorization","Categorization of the number of bednets of any type in the household.","Household","Household vector intervention","","variable","","Catergories of number of nets per household","",""
"","hh_00m::bankacco","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000167","Bank account","Whether any member of the household owned or had access to a bank account.","Household","Assets","","value","","A bank account?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_00m::bed","hh_00m","http://purl.obolibrary.org/obo/ENVO_00000501","Bed","Whether the household had a bed.","Household","Assets","","value","","Bed?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_00m::bicycle","hh_00m","http://purl.obolibrary.org/obo/ENVO_01000614","Bicycle","Whether any member of the household owned or had access to a bicycle.","Household","Assets","","value","","A bicycle?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_00m::bloodfedfunestus","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000192","Bloodfed Anopheles funestus count","Number of female Anopheles funestus who had a recent blood meal. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles funestus results","","variable","","","",""
"","hh_00m::bloodfedgambiae","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000193","Bloodfed Anopheles gambiae count","Number of female Anopheles gambiae who had a recent blood meal. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles gambiae sl results","","variable","","","",""
"","hh_00m::burnyn","hh_00m","new IRI","Burn to keep mosquitoes away","Whether the household burned anything last night inside of the dwelling to keep mosquitoes away.","Household","Household vector intervention","","variable","","Did you burn anything to keep away mosquitoes in the house last night?","1 = Yes, 2 = No, 8 = Don’t know, 9 = Refused to answer, -9=Skipped","new term, suggested parent = Household vector intervention"
"","hh_00m::car","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000171","Car or truck","Whether any member of the household owned or had access to a car or truck.","Household","Assets","","value","","A car or truck?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_00m::cassette","hh_00m","http://purl.obolibrary.org/obo/ENVO_01000578","Cassette player","Whether the household had a cassette player.","Household","Assets","","value","","Cassette player?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_00m::ceiling","hh_00m","new IRI","Ceiling","Whether the dwelling has a ceiling or screened ceiling.","Household","Dwelling characteristics","","variable","","A ceiling (STATA label = 'Screened ceiling')","1 = Yes, 2 = No, 8 = Don’t know","new term, suggested parent = Dwelling characteristics"
"","hh_00m::chair","hh_00m","http://purl.obolibrary.org/obo/ENVO_01000586","Chair","Whether the household had chairs.","Household","Assets","","value","","Chairs?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_00m::clock","hh_00m","http://purl.obolibrary.org/obo/ENVO_01000596","Clock","Whether the household had a clock.","Household","Assets","","value","","Clock?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_00m::closetime","hh_00m","new IRI","Time doors and windows closed","If the doors and/or windows were closed last night to keep mosquitoes out of the house, the time at which the doors and/or windows were closed.","Household","Household vector intervention","","variable","","If yes, at what time did you close the windows / doors?","Before 6pm, 6-7pm, 7-8pm, 8-9pm, 9-10pm, After 10pm","new term, suggested parent = Household vector intervention"
"","hh_00m::closewindow","hh_00m","new IRI","Doors and windows closed","Whether the doors and/or windows were closed last night to keep mosquitoes out of the house.","Household","Household vector intervention","","variable","","Did you close the windows / doors to keep out mosquitoes last night","1 = Yes, 2 = No, 8 = Don’t know, 9 = Refused to answer, -9=Skipped","new term, suggested parent = Household vector intervention"
"","hh_00m::cluster","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0035024","Cluster ID","Clusters--defined as one health sub-district--were randomly assigned to one of four study arms. 104 clusters cover 48 districts in Eastern and Western Uganda, and were the unit of randomization for intervention assignment.","Household","Household administrative information","","variable","","Cluster Code / Health sub-district number","Cluster codes 001-104",""
"","hh_00m::covered","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0020212","Windows covered","Whether any of the windows were covered with glass, screens, or other material.","Household","Dwelling characteristics","","variable","","Are any of the windows covered?

Glass, screening, other material, etc.","1 - Yes, 0 - No",""
"","hh_00m::cupboard","hh_00m","http://purl.obolibrary.org/obo/ENVO_01000595","Cupboard","Whether the household had a cupboard.","Household","Assets","","value","","Cupboard?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_00m::date","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0021085","Household data collection date","","Household","Household","","variable, derived","","date of start of interview","",""
"","hh_00m::desktop","hh_00m","new IRI","Desktop computer","Whether any member of the household owned or had access to a desktop computer.","Household","Assets","","value","","Desktop?","1 - Yes, 0 - No","new term, suggested parent = Assets"
"","hh_00m::device","hh_00m","new IRI","Internet device type","If any member of the household owned or had access to a device that can access the internet, the type of device.","Household","Socioeconomic factors","","value","","If yes, what type of device?","1 – Smartphone, 2 – Tablet, 3 – Laptop computer, 4 – Desktop computer, -7: Don't know","new term, suggested parent = Socioeconomic factors"
"","hh_00m::dhfcty","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0020213","Health facility distance","Distance to the nearest health facility, in kilometers. Distances less than 1km were recorded as 0km. Distances greater than 100km were recorded as 100km.","Household","Dwelling environment","","variable","","How far is it to the nearest health facility? If less than 1 km, enter 0. If more than 100 km, enter 100","0-100, -7: Don't know, -8: Refused to answer",""
"","hh_00m::dhfctycat","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0020214","Health facility distance categorization","Categorization of the distance (in kilometers) to the nearest health facility.","Household","Dwelling environment","","variable","","Distance to nearest health facility categories","",""
"","hh_00m::district","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000407","District","48 districts in Eastern and Western Uganda were included, covering a wide range of epidemiological settings with varying levels of malaria transmission and insecticide resistance.","Household","Geographic location","","variable","","","",""
"","hh_00m::dmarkt","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0020215","Market distance","Distance to the nearest market, in kilometers.","Household","Dwelling environment","","variable","","How far is it to the nearest market place?","0-100, -7: Don't know, -8: Refused to answer",""
"","hh_00m::eanum","hh_00m","new IRI","Enumeration area ID","The primary sampling unit were  enumeration areas identified in the 2014 Ugandan national census. Ten enumeration areas were randomly selected in each of the health sub-districts. Within each sampled enumeration area, 5 households were randomly enrolled, for a total of 50 households sampled per cluster. .","Household","Household administrative information","","variable","","Enumeration number","1 to 10","new term, suggested parent = Household administrative information"
"","hh_00m::eaves","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000015","Eaves","Type of eaves that the dwelling had.","Household","Dwelling characteristics","","variable","","Does the household have eaves? (STATA label = 'type of eaves')","1 - Yes, 0 - No",""
"","hh_00m::electricity","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0021084","Electricity","Whether the household had electricity.","Household","Assets","","value","","Electricity?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_00m::enrolled","hh_00m","new IRI","Household enrolled","Whether the household was enrolled in the cross-sectional household survey.","Household","Household administrative information","","variable","","Household enrolled in the survey?","1 - Yes, 0 - No","new term, suggested parent = Household administrative information"
"","hh_00m::entoinclude","hh_00m","new IRI","Entomology surveyed","Whether the household was one of the 20% of enrolled households that were randomly included in the entomology survey.","Entomology","Entomology observation details","","variable","","","","new term, suggested parent = Entomology observation details (new parent category)"
"","hh_00m::exclreason","hh_00m","new IRI","Reason household not enrolled","If the household was not enrolled in the cross-sectional household survey, the reason for exclusion.","Household","Household administrative information","","variable","","If not enrolled, reason for exclusion?","1 - Dwelling destroyed or not found, 2 - Household vacant, 3 - Unable to locate adult, 4 - No household resident between 2-10 years of age present (with an adult caregiver willing to provide informed consent for the clinical survey), 5 - No adult aged 18 years or older, 6 - Adult was not usual resident who was present in this household the previous night,7 - Adult resident not willing to provide informed consent  
","new term, suggested parent = Household administrative information"
"","hh_00m::fridge","hh_00m","http://purl.obolibrary.org/obo/ENVO_01000583","Refrigerator","Whether the household had a refrigerator.","Household","Assets","","value","","Refrigerator","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_00m::fueltype","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000023","Cooking fuel","The main type of fuel the household used for cooking.","Household","Dwelling facilities","","variable","","What type of fuel does your household mainly use for cooking?","1 - electricity, 2 - lpg/natural gas, 3 - biogas, 4 - paraffin/kerosene, 5 - charcoal, 6 - firewood, 7 - straw/shrubs/grass, 8 - animal dung, 95 - no food cooked in household, 96 - other, -8: Refused to answer",""
"","hh_00m::funestusf","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000136","Female Anopheles funestus count","Number of female Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles funestus results","","variable","","Number of female Anopheles funestus","Numeric",""
"","hh_00m::funestusm","hh_00m","new IRI","Male Anopheles funestus count","Number of male Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles funestus results","","variable","","Number of male Anopheles funestus","Numeric","new term, suggested parent = Anopheles funestus results"
"","hh_00m::gambiaef","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000137","Female Anopheles gambiae count","Number of female Anopheles gambiae mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles gambiae sl results","","variable","","Number of female anopheles gambiae","Numeric",""
"","hh_00m::gambiaem","hh_00m","new IRI","Male Anopheles gambiae count","Number of male Anopheles gambiae mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles gambiae sl results","","variable","","Number of male anopheles gambiae","Numeric","new term, suggested parent = Anopheles gambiae sl results"
"","hh_00m::gpspray","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000441","Sprayed in the last 12 months","Whether permission for indoor residual spraying (IRS) of interior walls of the dwelling against mosquitoes was granted at any time in the past 12 months.","Household","Household vector intervention","","variable","","Did you grant them permission to spray the interior walls of your dwelling?","1 - Yes, 0 - No",""
"","hh_00m::gravidfunestus","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000197","Gravid Anopheles funestus count","Number of gravid female Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles funestus results","","variable","","","",""
"","hh_00m::gravidgambiae","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000198","Gravid Anopheles gambiae count","Number of gravid female Anopheles funestus gambiae. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles gambiae sl results","","variable","","","",""
"","hh_00m::halfgravidfunestus","hh_00m","new IRI","Semigravid Anopheles funestus count","Number of semigravid female Anopheles funestus mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles funestus results","","variable","","","","new term, suggested parent = Anopheles funestus results"
"","hh_00m::halfgravidgambiae","hh_00m","new IRI","Semigravid Anopheles gambiae count","Number of semigravid female Anopheles gambiae mosquitoes. Mosquitoes were collected from a subset of enrolled households at each study timepoint.","Entomology","Anopheles gambiae sl results","","variable","","","","new term, suggested parent = Anopheles gambiae sl results"
"","hh_00m::havenets","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0020232","Household bednets","Whether the household has any bednets that can be used while sleeping.","Household","Household vector intervention","","variable","","Does your household have any mosquito nets that can be used while sleeping?","1 - Yes, 0 - No",""
"","hh_00m::health_sub_district","hh_00m","new IRI","Health sub-district","104 health sub-districts (each serving approximately 100,000 people) cover 48 districts in Eastern and Western Uganda.","Household","Geographic location","","variable","","","","new term, suggested parent = Geographic location"
"","hh_00m::hhid","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000094","Household ID","","Household","Household","","variable","","Household ID number","9 digit code",""
"","hh_00m::hhmeals","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000027","Meals per day","Number of meals the household usually ate per day.","Household","Food security","","variable","","Now I would like to ask you about the food your household eats.
How many meals does your household usually have per day?","1-8, -8: Refused to answer",""
"","hh_00m::hhmealscat","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0020237","Meals per day categorization","Categorization of the number of meals the household usually ate per day.","Household","Food security","","variable","","Number of meals per day","",""
"","hh_00m::hhnumt","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000028","Meat meals per week","Number of days during the past week when the household ate meat.","Household","Food security","","variable","","In the past week, on how many days did the household eat meat?","0-7, -8: Refused to answer",""
"","hh_00m::hhnumtcat","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0020238","Meat meals per week categorization","Categorization of the number of days during the past week when the household ate meat.","Household","Food security","","variable","","Number of days eating meat in the past week","",""
"","hh_00m::hhpsf","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000029","Food problems per week","Number of times during the previous week where there were problems in satisfying the food needs of the household.","Household","Food security","","variable","","How often in the last year did you have problems in  satisfying the  food needs of the household?","1 - never, 2 - seldom, 3 - sometimes, 4 - often, 5 - always, -7: Don't know, -8: Refused to answer",""
"","hh_00m::hhrooms","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000025","Sleeping rooms in dwelling","Number of rooms in the household that were used for sleeping, including rooms that are outside of the main dwelling.","Household","Dwelling characteristics","","variable","","How many rooms in your household  are used for sleeping? (INCLUDING ROOMS OUTSIDE THE MAIN DWELLING). If there are 15 or more rooms, enter 15","1-15, -7: Don't know, -8: Refused to answer",""
"","hh_00m::hhspaces","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000201","Sleeping places count","Number of sleeping places (mats, mattresses or beds) that were available in the household. Households that had more than 25 sleeping places available had the sleeping places count recorded as 25.","Household","Dwelling characteristics","","variable","","How many sleeping spaces like mats, mattresses,  or beds are available in your household? If there are 25 or more sleeping places, enter 25","1-25, -7: Don't know, -8: Refused to answer",""
"","hh_00m::internet","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0020205","Internet device","Whether any member of the household owned or had access to a device to access the internet.","Household","Assets","","value","","A device that can be used to access the internet?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
"","hh_00m::itn","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0041014","ITN bednet count","Number of insecticide-treated bednets (ITNs) in the household.","Household","Household vector intervention","","variable","","","",""
"","hh_00m::itncat","hh_00m","new IRI","ITN bednet count categorization","Categorization of the number of insecticide-treated bednets (ITNs) in the household.","Household","Household vector intervention","","variable","","Catergories of number of nets per household","","new term, suggested parent = Household vector intervention"
"","hh_00m::itnsperperson","hh_00m","new IRI","ITNs per person","Number of insecticide-treated bednets (ITNs) per person in the household.","Household","Household vector intervention","","variable","","","","new term, suggested parent = Household vector intervention"
"","hh_00m::laptop","hh_00m","new IRI","Laptop computer","Whether any member of the household owned or had access to a laptop computer.","Household","Assets","","value","","Laptop","1 - Yes, 0 - No","new term, suggested parent = Assets"
"","hh_00m::llincat","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0035014","Intervention assignment","Clusters were randomized to receive one of 4 types of long-lasting insecticide-treated bednets (LLINs): (1) PermaNet 2.0, (2) PermaNet 3.0, (3) Olyset Net, or (4) Olyset Plus.","Household","Household","","variable","","Type of LLIN cluster assinged to","",""
"","hh_00m::llindich","hh_00m","new IRI","Intervention assignment, dichotomized","Clusters were randomized to receive either conventional long-lasting insecticide-treated bednets (LLINs) or LLINs containing piperonyl butoxide (PBO). Conventional LLINs include PermaNet 2.0 and Olyset Net. PBO LLINs include PermaNet 3.0 and Olyset Plus.","Household","Household","","variable","","Intervention arm dichotomized","","new term, suggested parent = Household"
"","hh_00m::mboat","hh_00m","http://purl.obolibrary.org/obo/EUPATH_0000179","Boat with a motor","Whether any member of the household owned or had access to a boat with a motor.","Household","Assets","","value","","A boat with a motor?","1 - Yes, 0 - No, -7: Don't know, -8: Refused to answer",""
