8sites_diet5y::agedays	OBI_0001169	na	:::UNDEF:::	
illnessfull::fev_sc	EUPATH_0010499	1	1 point - Mother reported fever	2
micro_x::fev_sc	EUPATH_0010499	1	1 point - Mother reported fever	2
illnessfull::safact	EUPATH_0010526	1	Sleepy	2
bf2::cafbegbf	EUPATH_0011010	1	1 hour to 24 hours	2
fsq::fsqfday	EUPATH_0011135	1	1 point - Rarely	2
fsq::fsqfdislike	EUPATH_0011136	1	1 point - Rarely	2
fsq::fsqfdiv	EUPATH_0011137	1	1 point - Rarely	2
fsq::fsqffew	EUPATH_0011138	1	1 point - Rarely	2
fsq::fsqfhung	EUPATH_0011139	1	1 point - Rarely	2
fsq::fsqflim	EUPATH_0011141	1	1 point - Rarely	2
fsq::fsqfnofood	EUPATH_0011142	1	1 point - Rarely	2
fsq::fsqfshort	EUPATH_0011143	1	1 point - Rarely	2
fsq::fsqfsmall	EUPATH_0011144	1	1 point - Rarely	2
fsq::hfiacat	EUPATH_0011145	2	Mildly food insecure	2
mn_iar::iarcat	EUPATH_0011175	1	 50ug/L to 100ug/L	2
illnessfull::safdehyd	HP_0001944	1	Some	2
micro_x::maxdehyd	EUPATH_0010491	2	Severe	3
illnessfull::dur_sc	EUPATH_0010495	2	2 points - 5-7 days	3
micro_x::dur_sc	EUPATH_0010495	2	2 points - 5-7 days	3
illnessfull::ls_sc	EUPATH_0010496	3	3 points - 8+ loose stools	3
micro_x::ls_sc	EUPATH_0010496	3	3 points - 8+ loose stools	3
illnessfull::vom_sc	EUPATH_0010497	2	2 points - 2 days	3
micro_x::vom_sc	EUPATH_0010497	2	2 points - 2 days	3
illnessfull::dehyd_sc	EUPATH_0010498	3	3 points - Severe dehydration	3
micro_x::dehyd_sc	EUPATH_0010498	2	2 points - Some dehydration	2
illnessfull::fev_sc	EUPATH_0010499	2	2 points -Fever >37.5C confirmed by field worker	3
micro_x::fev_sc	EUPATH_0010499	2	2 points - Fever >37.5C confirmed by field worker	3
illnessfull::safact	EUPATH_0010526	2	Difficult to awaken	3
bf2::cafbegbf	EUPATH_0011010	2	1 day to 3 days	3
fsq::fsqfday	EUPATH_0011135	2	2 points - Sometimes	3
fsq::fsqfdislike	EUPATH_0011136	2	2 points - Sometimes	3
fsq::fsqfdiv	EUPATH_0011137	2	2 points - Sometimes	3
fsq::fsqffew	EUPATH_0011138	2	2 points - Sometimes	3
fsq::fsqfhung	EUPATH_0011139	2	2 points - Sometimes	3
fsq::fsqflim	EUPATH_0011141	2	2 points - Sometimes	3
fsq::fsqfnofood	EUPATH_0011142	2	2 points - Sometimes	3
fsq::fsqfshort	EUPATH_0011143	2	2 points - Sometimes	3
fsq::fsqfsmall	EUPATH_0011144	2	2 points - Sometimes	3
fsq::hfiacat	EUPATH_0011145	3	Moderately food insecure	3
mn_iar::iarcat	EUPATH_0011175	2	 50ug/L or less	3
illnessfull::safdehyd	HP_0001944	2	Severe	3
illnessfull::dur_sc	EUPATH_0010495	3	3 points - 8+ days	4
micro_x::dur_sc	EUPATH_0010495	3	3 points - 8+ days	4
illnessfull::vom_sc	EUPATH_0010497	3	3 points - 3+ days	4
micro_x::vom_sc	EUPATH_0010497	3	3 points - 3+ days	4
micro_x::dehyd_sc	EUPATH_0010498	3	3 points - Severe dehydration	3
bf2::cafbegbf	EUPATH_0011010	3	4+ days	4
fsq::fsqfday	EUPATH_0011135	3	3 points - Often	4
fsq::fsqfdislike	EUPATH_0011136	3	3 points - Often	4
fsq::fsqfdiv	EUPATH_0011137	3	3 points - Often	4
fsq::fsqffew	EUPATH_0011138	3	3 points - Often	4
fsq::fsqfhung	EUPATH_0011139	3	3 points - Often	4
fsq::fsqflim	EUPATH_0011141	3	3 points - Often	4
fsq::fsqfnofood	EUPATH_0011142	3	3 points - Often	4
fsq::fsqfshort	EUPATH_0011143	3	3 points - Often	4
fsq::fsqfsmall	EUPATH_0011144	3	3 points - Often	4
fsq::hfiacat	EUPATH_0011145	4	Severely food insecure	4
wami_0_5y::newdrink	EUPATH_0011603	4	4 points - Improved	5
wami_0_5y::newsanitation	EUPATH_0011607	4	4 points - Improved	5
illnessfull::safrr1	CMO_0000289	0	:::UNDEF:::	
illnessfull::safrr1	CMO_0000289	NA	:::UNDEF:::	
zscores_all::country_id	ENVO_00000009	BGD	Bangladesh	
zscores_all::country_id	ENVO_00000009	BRF	Brazil	
zscores_all::country_id	ENVO_00000009	INV	India	
zscores_all::country_id	ENVO_00000009	NEB	Nepal	
zscores_all::country_id	ENVO_00000009	PEL	Peru	
zscores_all::country_id	ENVO_00000009	PKN	Pakistan	
zscores_all::country_id	ENVO_00000009	SAV	South Africa	
zscores_all::country_id	ENVO_00000009	TZH	Tanzania	
wami_0_5y::fseamatt	ENVO_00000501	0	No	
wami_0_5y::fseamatt	ENVO_00000501	1	Yes	
wami_0_5y::fseamatt	ENVO_00000501	NA	:::UNDEF:::	
wami_0_5y::fsewdrink	ENVO_00003064	1	Improved: piped into dwelling (in-house plumbing to at least 1 tap)	
wami_0_5y::fsewdrink	ENVO_00003064	2	Improved: piped into yard or plot (piped to a tap outside the house but in the yard)	
wami_0_5y::fsewdrink	ENVO_00003064	3	Improved: public tap or standpipe (public water point used by community members)	
wami_0_5y::fsewdrink	ENVO_00003064	4	Improved: tube well or borehole (deep hole reaching ground water delivered through a pump)	
wami_0_5y::fsewdrink	ENVO_00003064	5	Improved: protected well (dug well that is protected from runoff water and covered)	
wami_0_5y::fsewdrink	ENVO_00003064	6	Unimproved: unprotected well (dug well that is unprotected from runoff water and/or unprotected from bird droppings and animals)	
wami_0_5y::fsewdrink	ENVO_00003064	7	Unimproved: surface water (river, dam, lake, pond, stream, canal, or irrigation canal)	
wami_0_5y::fsewdrink	ENVO_00003064	8	Improved (except Peru): Other	
wami_0_5y::fseatv	ENVO_01000579	0	No	
wami_0_5y::fseatv	ENVO_01000579	1	Yes	
wami_0_5y::fseatv	ENVO_01000579	NA	:::UNDEF:::	
wami_0_5y::fsearef	ENVO_01000583	0	No	
wami_0_5y::fsearef	ENVO_01000583	1	Yes	
wami_0_5y::fsearef	ENVO_01000583	NA	:::UNDEF:::	
wami_0_5y::fseatab	ENVO_01000584	0	No	
wami_0_5y::fseatab	ENVO_01000584	1	Yes	
wami_0_5y::fseatab	ENVO_01000584	NA	:::UNDEF:::	
wami_0_5y::fseachair2	ENVO_01000586	0	No	
wami_0_5y::fseachair2	ENVO_01000586	1	Yes	
wami_0_5y::fseachair2	ENVO_01000586	NA	:::UNDEF:::	
wami_0_5y::fseroof	EUPATH_0000003	1	No roof	
wami_0_5y::fseroof	EUPATH_0000003	2	Thatch	
wami_0_5y::fseroof	EUPATH_0000003	3	Metal	
wami_0_5y::fseroof	EUPATH_0000003	4	Wood	
wami_0_5y::fseroof	EUPATH_0000003	5	Brick	
wami_0_5y::fseroof	EUPATH_0000003	6	Tiles	
wami_0_5y::fseroof	EUPATH_0000003	7	Slate	
wami_0_5y::fseroof	EUPATH_0000003	8	Other	
wami_0_5y::fsefloor	EUPATH_0000006	1	Earth, sand, clay, mud, or dung	
wami_0_5y::fsefloor	EUPATH_0000006	2	Wood	
wami_0_5y::fsefloor	EUPATH_0000006	3	Ceramic tiles or vinyl	
wami_0_5y::fsefloor	EUPATH_0000006	4	Cement or concrete	
wami_0_5y::fsefloor	EUPATH_0000006	5	Other	
wami_0_5y::fsewall	EUPATH_0000009	1	No walls	
wami_0_5y::fsewall	EUPATH_0000009	2	Mud	
wami_0_5y::fsewall	EUPATH_0000009	3	Wood	
wami_0_5y::fsewall	EUPATH_0000009	4	Cement or concrete	
wami_0_5y::fsewall	EUPATH_0000009	5	Stone	
wami_0_5y::fsewall	EUPATH_0000009	6	Metal	
wami_0_5y::fsewall	EUPATH_0000009	7	Other	
illnessfull::saftemp	EUPATH_0000110	0	:::UNDEF:::	
illnessfull::saftemp	EUPATH_0000110	NA	:::UNDEF:::	
wami_0_5y::fseabank	EUPATH_0000167	0	No	
wami_0_5y::fseabank	EUPATH_0000167	1	Yes	
wami_0_5y::fseabank	EUPATH_0000167	NA	:::UNDEF:::	
illnessfull::safabt	EUPATH_0000582	0	Antibiotics, none	
illnessfull::safabt	EUPATH_0000582	1	Penicillin	
illnessfull::safabt	EUPATH_0000582	2	Cephalosporins	
illnessfull::safabt	EUPATH_0000582	3	Sulfonamides	
illnessfull::safabt	EUPATH_0000582	4	Macrolides	
illnessfull::safabt	EUPATH_0000582	5	Tetracyclines	
illnessfull::safabt	EUPATH_0000582	6	Fluoroquinolones	
illnessfull::safabt	EUPATH_0000582	7	Antibiotics, unknown	
illnessfull::safabt	EUPATH_0000582	8	Metronidazole	
illnessfull::safabt	EUPATH_0000582	9	Antibiotics, other	
illnessfull::safabt	EUPATH_0000582	NA	:::UNDEF:::	
mn_blood::agpval1	EUPATH_0000647	NA	:::UNDEF:::	
illnessfull::diar	EUPATH_0000665	0	No	
illnessfull::diar	EUPATH_0000665	1	Yes	
illnessfull::diar	EUPATH_0000665	NA	:::UNDEF:::	
mn_blood::bllconc	EUPATH_0000688	NA	:::UNDEF:::	
mpo_neo_ala::srfstmucus	EUPATH_0000711	0	No	
mpo_neo_ala::srfstmucus	EUPATH_0000711	1	Yes	
mpo_neo_ala::srfstmucus	EUPATH_0000711	NA	:::UNDEF:::	
zscores_all::lh	EUPATH_0000719	0	Length	
zscores_all::lh	EUPATH_0000719	1	Height	
observation_date	EUPATH_0004991	NA	:::UNDEF:::	
illnessfull::safrr2	EUPATH_0010097	0	:::UNDEF:::	
illnessfull::safrr2	EUPATH_0010097	NA	:::UNDEF:::	
micro_x::srfconsist	EUPATH_0010217	1	Watery	
micro_x::srfconsist	EUPATH_0010217	2	Liquid	
micro_x::srfconsist	EUPATH_0010217	3	Soft	
micro_x::srfconsist	EUPATH_0010217	4	Formed	
illnessfull::dur	EUPATH_0010238	0	:::UNDEF:::	
illnessfull::maxls	EUPATH_0010240	NA	:::UNDEF:::	
zscores_all::window	EUPATH_0010438	0	Out of target window	
zscores_all::window	EUPATH_0010438	1	In target window	
zscores_all::window	EUPATH_0010438	2	In extended window	
illnessfull::depi3	EUPATH_0010471	0	No diarrhea	
illnessfull::depi3	EUPATH_0010471	1	Day within diarrheal episode	
illnessfull::depi3	EUPATH_0010471	2	First day of diarrheal episode	
illnessfull::dnum3	EUPATH_0010472	0	:::UNDEF:::	
illnessfull::dint3	EUPATH_0010473	0	No	
illnessfull::dint3	EUPATH_0010473	1	Yes	
illnessfull::dint3	EUPATH_0010473	NA	:::UNDEF:::	
illnessfull::dprev3	EUPATH_0010474	0	No	
illnessfull::dprev3	EUPATH_0010474	1	Yes	
mpo_neo_ala::dprev3	EUPATH_0010474	0	No	
mpo_neo_ala::dprev3	EUPATH_0010474	1	Yes	
mpo_neo_ala::dprev3	EUPATH_0010474	NA	:::UNDEF:::	
illnessfull::dayep	EUPATH_0010475	NA	:::UNDEF:::	
illnessfull::lastdiar	EUPATH_0010482	NA	:::UNDEF:::	
illnessfull::sumvom	EUPATH_0010486	NA	:::UNDEF:::	
illnessfull::maxb	EUPATH_0010487	0	No	
illnessfull::maxb	EUPATH_0010487	1	Yes	
illnessfull::maxb	EUPATH_0010487	NA	:::UNDEF:::	
illnessfull::maxsafint	EUPATH_0010488	0	No	
illnessfull::maxsafint	EUPATH_0010488	1	Yes	
illnessfull::maxsafint	EUPATH_0010488	NA	:::UNDEF:::	
illnessfull::sumsafint	EUPATH_0010489	NA	:::UNDEF:::	
illnessfull::maxtemp	EUPATH_0010492	0	:::UNDEF:::	
illnessfull::maxtemp	EUPATH_0010492	NA	:::UNDEF:::	
illnessfull::maxfever	EUPATH_0010493	0	No	
illnessfull::maxfever	EUPATH_0010493	1	Yes	
micro_x::maxfever	EUPATH_0010493	0	No	
micro_x::maxfever	EUPATH_0010493	1	Yes	
illnessfull::maxfever	EUPATH_0010493	NA	:::UNDEF:::	
micro_x::maxfever	EUPATH_0010493	NA	:::UNDEF:::	
illnessfull::fever	EUPATH_0010494	0	No	
illnessfull::fever	EUPATH_0010494	1	Yes	
micro_x::fever	EUPATH_0010494	0	No	
micro_x::fever	EUPATH_0010494	1	Yes	
illnessfull::fever	EUPATH_0010494	NA	:::UNDEF:::	
micro_x::fever	EUPATH_0010494	NA	:::UNDEF:::	
illnessfull::dur_sc	EUPATH_0010495	NA	:::UNDEF:::	
illnessfull::ls_sc	EUPATH_0010496	NA	:::UNDEF:::	
illnessfull::vom_sc	EUPATH_0010497	NA	:::UNDEF:::	
micro_x::vom_sc	EUPATH_0010497	NA	:::UNDEF:::	
illnessfull::dehyd_sc	EUPATH_0010498	NA	:::UNDEF:::	
illnessfull::fev_sc	EUPATH_0010499	NA	:::UNDEF:::	
illnessfull::score	EUPATH_0010500	NA	:::UNDEF:::	
illnessfull::alri	EUPATH_0010506	0	No	
illnessfull::alri	EUPATH_0010506	1	Yes	
illnessfull::alri	EUPATH_0010506	NA	:::UNDEF:::	
illnessfull::aepi3	EUPATH_0010507	0	No ALRI	
illnessfull::aepi3	EUPATH_0010507	1	Day within ALRI episode	
illnessfull::aepi3	EUPATH_0010507	2	First day of ALRI episode	
illnessfull::anum3	EUPATH_0010508	0	:::UNDEF:::	
illnessfull::aint3	EUPATH_0010509	0	No	
illnessfull::aint3	EUPATH_0010509	1	Yes	
illnessfull::aint3	EUPATH_0010509	NA	:::UNDEF:::	
illnessfull::aprev3	EUPATH_0010510	0	No	
illnessfull::aprev3	EUPATH_0010510	1	Yes	
illnessfull::aprev3	EUPATH_0010510	NA	:::UNDEF:::	
illnessfull::adayep	EUPATH_0010518	NA	:::UNDEF:::	
illnessfull::ill	EUPATH_0010519	0	No	
illnessfull::ill	EUPATH_0010519	1	Yes	
illnessfull::ill	EUPATH_0010519	NA	:::UNDEF:::	
illnessfull::ddiar	EUPATH_0010520	0	No	
illnessfull::ddiar	EUPATH_0010520	1	Yes	
illnessfull::ddiar	EUPATH_0010520	NA	:::UNDEF:::	
illnessfull::dalri	EUPATH_0010521	0	No	
illnessfull::dalri	EUPATH_0010521	1	Yes	
illnessfull::dalri	EUPATH_0010521	NA	:::UNDEF:::	
illnessfull::dmal	EUPATH_0010522	0	No	
illnessfull::dmal	EUPATH_0010522	1	Yes	
illnessfull::dmal	EUPATH_0010522	NA	:::UNDEF:::	
illnessfull::gemsdef	EUPATH_0010524	0	No	
illnessfull::gemsdef	EUPATH_0010524	1	Yes	
illnessfull::gemsdef	EUPATH_0010524	NA	:::UNDEF:::	
illnessfull::safill	EUPATH_0010525	0	No	
illnessfull::safill	EUPATH_0010525	1	Yes	
illnessfull::safill	EUPATH_0010525	NA	:::UNDEF:::	
illnessfull::safact	EUPATH_0010526	NA	:::UNDEF:::	
illnessfull::safint	EUPATH_0010527	0	Normal appetite	
illnessfull::safint	EUPATH_0010527	1	Less than normal appetite	
illnessfull::safint	EUPATH_0010527	NA	:::UNDEF:::	
illnessfull::safvom	EUPATH_0010528	0	No	
illnessfull::safvom	EUPATH_0010528	1	Yes	
illnessfull::safvom	EUPATH_0010528	NA	:::UNDEF:::	
illnessfull::safear	EUPATH_0010529	0	No	
illnessfull::safear	EUPATH_0010529	1	Yes	
illnessfull::safear	EUPATH_0010529	NA	:::UNDEF:::	
illnessfull::safab	EUPATH_0010530	0	No	
illnessfull::safab	EUPATH_0010530	1	Yes	
illnessfull::safab	EUPATH_0010530	NA	:::UNDEF:::	
illnessfull::safdiar	EUPATH_0010532	0	No	
illnessfull::safdiar	EUPATH_0010532	1	Yes	
illnessfull::safdiar	EUPATH_0010532	NA	:::UNDEF:::	
illnessfull::safnumls	EUPATH_0010533	NA	:::UNDEF:::	
illnessfull::safblood	EUPATH_0010534	0	No	
illnessfull::safblood	EUPATH_0010534	1	Yes	
illnessfull::safblood	EUPATH_0010534	NA	:::UNDEF:::	
illnessfull::safort	EUPATH_0010536	0	No	
illnessfull::safort	EUPATH_0010536	1	Yes	
illnessfull::safort	EUPATH_0010536	NA	:::UNDEF:::	
illnessfull::safsamp	EUPATH_0010537	0	No	
illnessfull::safsamp	EUPATH_0010537	1	Yes	
illnessfull::safsamp	EUPATH_0010537	NA	:::UNDEF:::	
illnessfull::safcough	EUPATH_0010538	0	No	
illnessfull::safcough	EUPATH_0010538	1	Yes	
illnessfull::safcough	EUPATH_0010538	NA	:::UNDEF:::	
illnessfull::safshb	EUPATH_0010539	0	No	
illnessfull::safshb	EUPATH_0010539	1	Yes	
illnessfull::safshb	EUPATH_0010539	NA	:::UNDEF:::	
illnessfull::safind	EUPATH_0010540	0	No	
illnessfull::safind	EUPATH_0010540	1	Yes	
illnessfull::safind	EUPATH_0010540	NA	:::UNDEF:::	
illnessfull::safalri	EUPATH_0010543	0	No	
illnessfull::safalri	EUPATH_0010543	1	Yes	
illnessfull::safalri	EUPATH_0010543	NA	:::UNDEF:::	
illnessfull::saffev	EUPATH_0010544	0	No	
illnessfull::saffev	EUPATH_0010544	1	Yes	
illnessfull::saffev	EUPATH_0010544	NA	:::UNDEF:::	
illnessfull::safref	EUPATH_0010546	0	No	
illnessfull::safref	EUPATH_0010546	1	Yes	
illnessfull::safref	EUPATH_0010546	NA	:::UNDEF:::	
micro_x::flag_archivesample	EUPATH_0010548	0	No	
micro_x::flag_archivesample	EUPATH_0010548	1	Yes	
micro_x::flag_archivesample	EUPATH_0010548	NA	:::UNDEF:::	
micro_x::flag_ltf_14	EUPATH_0010552	0	No	
micro_x::flag_ltf_14	EUPATH_0010552	1	Yes	
micro_x::flag_ltf_14	EUPATH_0010552	NA	:::UNDEF:::	
micro_x::flag_ltf_28	EUPATH_0010553	0	No	
micro_x::flag_ltf_28	EUPATH_0010553	1	Yes	
micro_x::flag_ltf_28	EUPATH_0010553	NA	:::UNDEF:::	
micro_x::flag_ltf_7	EUPATH_0010554	0	No	
micro_x::flag_ltf_7	EUPATH_0010554	1	Yes	
micro_x::flag_ltf_7	EUPATH_0010554	NA	:::UNDEF:::	
micro_x::flag_ncf_filed	EUPATH_0010556	0	No	
micro_x::flag_ncf_filed	EUPATH_0010556	1	Yes	
micro_x::flag_ncf_filed	EUPATH_0010556	NA	:::UNDEF:::	
micro_x::flag_qns	EUPATH_0010558	0	No	
micro_x::flag_qns	EUPATH_0010558	1	Yes	
micro_x::flag_qns	EUPATH_0010558	NA	:::UNDEF:::	
micro_x::flag_safend	EUPATH_0010559	0	No	
micro_x::flag_safend	EUPATH_0010559	1	Yes	
micro_x::flag_safend	EUPATH_0010559	NA	:::UNDEF:::	
micro_x::flag_timezerost	EUPATH_0010561	0	No	
micro_x::flag_timezerost	EUPATH_0010561	1	Yes	
micro_x::flag_timezerost	EUPATH_0010561	NA	:::UNDEF:::	
micro_x::flag_nrvtesting	EUPATH_0010562	0	No	
micro_x::flag_nrvtesting	EUPATH_0010562	1	Yes	
micro_x::flag_nrvtesting	EUPATH_0010562	NA	:::UNDEF:::	
micro_x::bdfcbcult	EUPATH_0010564	0	No	
micro_x::bdfcbcult	EUPATH_0010564	1	Yes	
micro_x::bdfcbcult	EUPATH_0010564	NA	:::UNDEF:::	
micro_x::bdfcultper	EUPATH_0010565	0	No	
micro_x::bdfcultper	EUPATH_0010565	1	Yes	
micro_x::bdfcultper	EUPATH_0010565	NA	:::UNDEF:::	
micro_x::bdftesting	EUPATH_0010566	0	No	
micro_x::bdftesting	EUPATH_0010566	1	Yes	
micro_x::bdftesting	EUPATH_0010566	NA	:::UNDEF:::	
micro_x::complete_testing_d	EUPATH_0010567	0	No	
micro_x::complete_testing_d	EUPATH_0010567	1	Yes	
micro_x::complete_testing_d	EUPATH_0010567	NA	:::UNDEF:::	
micro_x::complete_testing_dnomdf	EUPATH_0010568	0	No	
micro_x::complete_testing_dnomdf	EUPATH_0010568	1	Yes	
micro_x::complete_testing_dnomdf	EUPATH_0010568	NA	:::UNDEF:::	
micro_x::complete_testing_dnomdfnrv	EUPATH_0010569	0	No	
micro_x::complete_testing_dnomdfnrv	EUPATH_0010569	1	Yes	
micro_x::complete_testing_dnomdfnrv	EUPATH_0010569	NA	:::UNDEF:::	
micro_x::complete_testing_dwonrv	EUPATH_0010570	0	No	
micro_x::complete_testing_dwonrv	EUPATH_0010570	1	Yes	
micro_x::complete_testing_dwonrv	EUPATH_0010570	NA	:::UNDEF:::	
micro_x::complete_testing_m	EUPATH_0010571	0	No	
micro_x::complete_testing_m	EUPATH_0010571	1	Yes	
micro_x::complete_testing_m	EUPATH_0010571	NA	:::UNDEF:::	
micro_x::complete_testing_m_noa	EUPATH_0010572	0	No	
micro_x::complete_testing_m_noa	EUPATH_0010572	1	Yes	
micro_x::complete_testing_m_noa	EUPATH_0010572	NA	:::UNDEF:::	
micro_x::complete_testing_m_noz	EUPATH_0010573	0	No	
micro_x::complete_testing_m_noz	EUPATH_0010573	1	Yes	
micro_x::complete_testing_m_noz	EUPATH_0010573	NA	:::UNDEF:::	
micro_x::complete_testing_m_noz_noa	EUPATH_0010574	0	No	
micro_x::complete_testing_m_noz_noa	EUPATH_0010574	1	Yes	
micro_x::complete_testing_m_noz_noa	EUPATH_0010574	NA	:::UNDEF:::	
micro_x::complete_testing_mnomdf	EUPATH_0010575	0	No	
micro_x::complete_testing_mnomdf	EUPATH_0010575	1	Yes	
micro_x::complete_testing_mnomdf	EUPATH_0010575	NA	:::UNDEF:::	
micro_x::complete_testing_mnomdf_noz_noa	EUPATH_0010576	0	No	
micro_x::complete_testing_mnomdf_noz_noa	EUPATH_0010576	1	Yes	
micro_x::complete_testing_mnomdf_noz_noa	EUPATH_0010576	NA	:::UNDEF:::	
micro_x::ecpecolipcr	EUPATH_0010577	0	No	
micro_x::ecpecolipcr	EUPATH_0010577	1	Yes	
micro_x::ecpecolipcr	EUPATH_0010577	NA	:::UNDEF:::	
micro_x::ecptesting	EUPATH_0010578	0	No	
micro_x::ecptesting	EUPATH_0010578	1	Yes	
micro_x::ecptesting	EUPATH_0010578	NA	:::UNDEF:::	
micro_x::fvfadenoelisa	EUPATH_0010579	0	No	
micro_x::fvfadenoelisa	EUPATH_0010579	1	Yes	
micro_x::fvfadenoelisa	EUPATH_0010579	NA	:::UNDEF:::	
micro_x::fvfastroelisa	EUPATH_0010580	0	No	
micro_x::fvfastroelisa	EUPATH_0010580	1	Yes	
micro_x::fvfastroelisa	EUPATH_0010580	NA	:::UNDEF:::	
micro_x::fvfrotaelisa	EUPATH_0010581	0	No	
micro_x::fvfrotaelisa	EUPATH_0010581	1	Yes	
micro_x::fvfrotaelisa	EUPATH_0010581	NA	:::UNDEF:::	
micro_x::fvftesting	EUPATH_0010582	0	No	
micro_x::fvftesting	EUPATH_0010582	1	Yes	
micro_x::fvftesting	EUPATH_0010582	NA	:::UNDEF:::	
micro_x::mdfmodstain	EUPATH_0010583	0	No	
micro_x::mdfmodstain	EUPATH_0010583	1	Yes	
micro_x::mdfmodstain	EUPATH_0010583	NA	:::UNDEF:::	
micro_x::mdftesting	EUPATH_0010584	0	No	
micro_x::mdftesting	EUPATH_0010584	1	Yes	
micro_x::mdftesting	EUPATH_0010584	NA	:::UNDEF:::	
micro_x::mdftests	EUPATH_0010585	0	No	
micro_x::mdftests	EUPATH_0010585	1	Yes	
micro_x::mdftests	EUPATH_0010585	NA	:::UNDEF:::	
micro_x::mdfwetprep	EUPATH_0010586	0	Wet prep microscopy not performed	
micro_x::mdfwetprep	EUPATH_0010586	1	Formalin concentrate only	
micro_x::mdfwetprep	EUPATH_0010586	2	Direct only	
micro_x::mdfwetprep	EUPATH_0010586	3	Concentrate and direct	
micro_x::nrvnorortpcr	EUPATH_0010588	0	No	
micro_x::nrvnorortpcr	EUPATH_0010588	1	Yes	
micro_x::nrvnorortpcr	EUPATH_0010588	NA	:::UNDEF:::	
micro_x::nrvtesting	EUPATH_0010589	0	No	
micro_x::nrvtesting	EUPATH_0010589	1	Yes	
micro_x::nrvtesting	EUPATH_0010589	NA	:::UNDEF:::	
micro_x::pefcryptelisa	EUPATH_0010590	0	No	
micro_x::pefcryptelisa	EUPATH_0010590	1	Yes	
micro_x::pefcryptelisa	EUPATH_0010590	NA	:::UNDEF:::	
micro_x::pefehistelisa	EUPATH_0010591	0	No	
micro_x::pefehistelisa	EUPATH_0010591	1	Yes	
micro_x::pefehistelisa	EUPATH_0010591	NA	:::UNDEF:::	
micro_x::pefgiarelisa	EUPATH_0010592	0	No	
micro_x::pefgiarelisa	EUPATH_0010592	1	Yes	
micro_x::pefgiarelisa	EUPATH_0010592	NA	:::UNDEF:::	
micro_x::peftesting	EUPATH_0010593	0	No	
micro_x::peftesting	EUPATH_0010593	1	Yes	
micro_x::peftesting	EUPATH_0010593	NA	:::UNDEF:::	
micro_x::adeno	EUPATH_0010599	0	No	
micro_x::adeno	EUPATH_0010599	1	Yes	
micro_x::aeromonas	EUPATH_0010603	0	No	
micro_x::aeromonas	EUPATH_0010603	1	Yes	
micro_x::aeromonas	EUPATH_0010603	NA	:::UNDEF:::	
micro_x::alumb	EUPATH_0010607	0	No	
micro_x::alumb	EUPATH_0010607	1	Yes	
micro_x::astro	EUPATH_0010611	0	No	
micro_x::astro	EUPATH_0010611	1	Yes	
micro_x::atric	EUPATH_0010615	0	No	
micro_x::atric	EUPATH_0010615	1	Yes	
micro_x::atypicalepec	EUPATH_0010619	0	No	
micro_x::atypicalepec	EUPATH_0010619	1	Yes	
