dataFile,variable,codebookDescription,codebookValues,termType,IRI,label,displayOrder,definition,category,parentLabel,parentIRI,replaces
uptake-baseline-public,uptake-baseline-public::chlorine,,,"1. YES,
0. NO",http://purl.obolibrary.org/obo/EUPATH_0037011,Chlorine detected in stored drinking water,,Presence of free chlorine detected in drinking water,Household,Household water,http://purl.obolibrary.org/obo/EUPATH_0000731,NA
uptake-midline-public,uptake-midline-public::chlorine,,,"1. YES,
0. NO",http://purl.obolibrary.org/obo/EUPATH_0037011,Chlorine detected in stored drinking water,,Presence of free chlorine detected in drinking water,Household,Household water,http://purl.obolibrary.org/obo/EUPATH_0000731,NA
uptake-endline-public,uptake-endline-public::chlorine,,,"1. YES,
0. NO",http://purl.obolibrary.org/obo/EUPATH_0037011,Chlorine detected in stored drinking water,,Presence of free chlorine detected in drinking water,Household,Household water,http://purl.obolibrary.org/obo/EUPATH_0000731,NA
diar-public,diar-public::clock,,"0. No clock,
1. Has clock,
9. Missing/DK",value,http://purl.obolibrary.org/obo/ENVO_01000596,Clock,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
endline-anthro-public,endline-anthro-public::clock,,"0. No clock,
1. Has clock,
9. Missing/DK",value,http://purl.obolibrary.org/obo/ENVO_01000596,Clock,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
midline-anthro-public,midline-anthro-public::clock,,"0. No clock,
1. Has clock,
9. Missing/DK",value,http://purl.obolibrary.org/obo/ENVO_01000596,Clock,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
mortality-public,mortality-public::clusterid,Cluster ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,,The unit of randomization. A cluster consisted of a group of 8 proximate compounds (multiple households sharing a common courtyard) within a village that were visited by a single local promoter and separated by at least a 15 min walk.,Community,Community administrative information,http://purl.obolibrary.org/obo/EUPATH_0035125,NA
bruise-public,bruise-public::clusterid,Cluster ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,,The unit of randomization. A cluster consisted of a group of 8 proximate compounds (multiple households sharing a common courtyard) within a village that were visited by a single local promoter and separated by at least a 15 min walk.,Community,Community administrative information,http://purl.obolibrary.org/obo/EUPATH_0035125,NA
diar-public,diar-public::clusterid,Cluster ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,,The unit of randomization. A cluster consisted of a group of 8 proximate compounds (multiple households sharing a common courtyard) within a village that were visited by a single local promoter and separated by at least a 15 min walk.,Community,Community administrative information,http://purl.obolibrary.org/obo/EUPATH_0035125,NA
endline-anthro-public,endline-anthro-public::clusterid,Cluster ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,,The unit of randomization. A cluster consisted of a group of 8 proximate compounds (multiple households sharing a common courtyard) within a village that were visited by a single local promoter and separated by at least a 15 min walk.,Community,Community administrative information,http://purl.obolibrary.org/obo/EUPATH_0035125,NA
midline-anthro-public,midline-anthro-public::clusterid,Cluster ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,,The unit of randomization. A cluster consisted of a group of 8 proximate compounds (multiple households sharing a common courtyard) within a village that were visited by a single local promoter and separated by at least a 15 min walk.,Community,Community administrative information,http://purl.obolibrary.org/obo/EUPATH_0035125,NA
blind-tr-public,blind-tr-public::clusterid,Cluster ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,,The unit of randomization. A cluster consisted of a group of 8 proximate compounds (multiple households sharing a common courtyard) within a village that were visited by a single local promoter and separated by at least a 15 min walk.,Community,Community administrative information,http://purl.obolibrary.org/obo/EUPATH_0035125,NA
tr-public,tr-public::clusterid,Cluster ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,,The unit of randomization. A cluster consisted of a group of 8 proximate compounds (multiple households sharing a common courtyard) within a village that were visited by a single local promoter and separated by at least a 15 min walk.,Community,Community administrative information,http://purl.obolibrary.org/obo/EUPATH_0035125,NA
tracking-public,tracking-public::clusterid,Cluster ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,,The unit of randomization. A cluster consisted of a group of 8 proximate compounds (multiple households sharing a common courtyard) within a village that were visited by a single local promoter and separated by at least a 15 min walk.,Community,Community administrative information,http://purl.obolibrary.org/obo/EUPATH_0035125,NA
uptake-baseline-public,uptake-baseline-public::clusterid,Cluster ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,,The unit of randomization. A cluster consisted of a group of 8 proximate compounds (multiple households sharing a common courtyard) within a village that were visited by a single local promoter and separated by at least a 15 min walk.,Community,Community administrative information,http://purl.obolibrary.org/obo/EUPATH_0035125,NA
uptake-midline-public,uptake-midline-public::clusterid,Cluster ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,,The unit of randomization. A cluster consisted of a group of 8 proximate compounds (multiple households sharing a common courtyard) within a village that were visited by a single local promoter and separated by at least a 15 min walk.,Community,Community administrative information,http://purl.obolibrary.org/obo/EUPATH_0035125,NA
uptake-endline-public,uptake-endline-public::clusterid,Cluster ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,,The unit of randomization. A cluster consisted of a group of 8 proximate compounds (multiple households sharing a common courtyard) within a village that were visited by a single local promoter and separated by at least a 15 min walk.,Community,Community administrative information,http://purl.obolibrary.org/obo/EUPATH_0035125,NA
,,,NA,category,http://purl.obolibrary.org/obo/EUPATH_0035127,Community,NA,,Community,,http://www.w3.org/2002/07/owl#Thing,NA
,,,NA,category,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,NA,,Community,Community,http://purl.obolibrary.org/obo/EUPATH_0035127,NA
mortality-public,mortality-public::compoundid,Compound ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0035025,Compound ID,,"Compounds consist of multiple households (typically 1–4), usually comprising blood relatives, who share a common courtyard.",Household,Household administrative information,http://purl.obolibrary.org/obo/EUPATH_0020097,NA
bruise-public,bruise-public::compoundid,Compound ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0035025,Compound ID,,"Compounds consist of multiple households (typically 1–4), usually comprising blood relatives, who share a common courtyard.",Household,Household administrative information,http://purl.obolibrary.org/obo/EUPATH_0020097,NA
diar-public,diar-public::compoundid,Compound ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0035025,Compound ID,,"Compounds consist of multiple households (typically 1–4), usually comprising blood relatives, who share a common courtyard.",Household,Household administrative information,http://purl.obolibrary.org/obo/EUPATH_0020097,NA
endline-anthro-public,endline-anthro-public::compoundid,Compound ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0035025,Compound ID,,"Compounds consist of multiple households (typically 1–4), usually comprising blood relatives, who share a common courtyard.",Household,Household administrative information,http://purl.obolibrary.org/obo/EUPATH_0020097,NA
midline-anthro-public,midline-anthro-public::compoundid,Compound ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0035025,Compound ID,,"Compounds consist of multiple households (typically 1–4), usually comprising blood relatives, who share a common courtyard.",Household,Household administrative information,http://purl.obolibrary.org/obo/EUPATH_0020097,NA
tracking-public,tracking-public::compoundid,Compound ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0035025,Compound ID,,"Compounds consist of multiple households (typically 1–4), usually comprising blood relatives, who share a common courtyard.",Household,Household administrative information,http://purl.obolibrary.org/obo/EUPATH_0020097,NA
diar-public,diar-public::tr,Randomized treatment assignment,"1. Control,
2. Water,
3. Sanitation,
4. Handwashing,
5. WSH,
6. Nutrition,
7. Nutrition + WSH,
8. Passive Control",variable,http://purl.obolibrary.org/obo/EUPATH_0035014,Compound study arm,,Randomized treatment assignment at the cluster level. ,Community,Community administrative information,http://purl.obolibrary.org/obo/EUPATH_0035125,NA
tr-public,tr-public::tr,Randomized treatment assignment,"1. Control,
2. Water,
3. Sanitation,
4. Handwashing,
5. WSH,
6. Nutrition,
7. Nutrition + WSH,
8. Passive Control",variable,http://purl.obolibrary.org/obo/EUPATH_0035014,Compound study arm,,Randomized treatment assignment at the cluster level. ,Community,Community administrative information,http://purl.obolibrary.org/obo/EUPATH_0035125,NA
diar-public,diar-public::time,,NA,variable,http://purl.obolibrary.org/obo/EUPATH_0035016,Compound study timepoint,NA,"urvey data on compounds were collected at enrollment (year 0, baseline), 1 year post-intervention (midline), and 2 years post-intervention (endline). If you would like to view only data from a particular timepoint for all variables, please make sure to select that timepoint for variables in three locations: 'Compound study timepoint' (under 'Compound'), 'Household study timepoint' (under 'Household') and 'Study timepoint' (under 'Observation').",Community,Community,http://purl.obolibrary.org/obo/EUPATH_0035127,NA
tr-public,tr-public::country,Country,,"variable, derived",http://purl.obolibrary.org/obo/ENVO_00000004,Country,,,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,NA
mortality-public,mortality-public::childdeath,,"1. YES,
0. NO",variable,http://purl.obolibrary.org/obo/EUPATH_0000671,Death information,,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,NA
,,,NA,category,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,NA,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,NA
diar-public,diar-public::diarr2,,"1. YES,
0. NO",variable,http://purl.obolibrary.org/obo/EUPATH_0035098,"Diarrhea case during the last 2 days, caregiver report",,"Whether the participant was classified as a diarrhea case within the last 2 days. To meet the definition for a diarrhea case, the participant must have had 3+ loose or watery stools in 24 hours OR 1+ stool with blood. Caregiver reported symptoms were assessed in target children 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age). Caregiver reported symptoms were also assessed in sibling/neighbor participants at enrollment, midline, and endline.",Observation,Symptoms by caregiver report,http://purl.obolibrary.org/obo/EUPATH_0011878,NA
diar-public,diar-public::diarr7,,"1. YES,
0. NO",variable,http://purl.obolibrary.org/obo/EUPATH_0035097,"Diarrhea case during the last 7 days, caregiver report",,"Whether the participant was classified as a diarrhea case within the last 7 days. To meet the definition for a diarrhea case, the participant must have had 3+ loose or watery stools in 24 hours OR 1+ stool with blood. This variable, with a 7-day recall period, was used in the primary analysis to improve power as there was no evidence for differential recall by arm. Caregiver reported symptoms were assessed in target children 1 year after intervention initiation (midline, when target children were 8-15m of age) and 2 years after intervention initiation (endline, when target children were 21-27m of age). Caregiver reported symptoms were also assessed in sibling/neighbor participants at enrollment, midline, and endline.",Observation,Symptoms by caregiver report,http://purl.obolibrary.org/obo/EUPATH_0011878,NA
diar-public,diar-public::dog,"HOW MANY DOGS BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don t ",,value,http://purl.obolibrary.org/obo/EUPATH_0037004,Dog count,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
endline-anthro-public,endline-anthro-public::dog,"HOW MANY DOGS BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don t ",,value,http://purl.obolibrary.org/obo/EUPATH_0037004,Dog count,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
midline-anthro-public,midline-anthro-public::dog,"HOW MANY DOGS BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don t ",,value,http://purl.obolibrary.org/obo/EUPATH_0037004,Dog count,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
,,,NA,category,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,NA,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
,,,NA,category,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,NA,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
diar-public,diar-public::elec,,"0. No electricity,
1. Has electricity,
9. Missing/DK",value,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
endline-anthro-public,endline-anthro-public::elec,,"0. No electricity,
1. Has electricity,
9. Missing/DK",value,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
midline-anthro-public,midline-anthro-public::elec,,"0. No electricity,
1. Has electricity,
9. Missing/DK",value,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
diar-public,diar-public::week_baseline,Week of baseline survey,,variable,http://purl.obolibrary.org/obo/EUPATH_0037001,Enrollment week,,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,NA
endline-anthro-public,endline-anthro-public::week_baseline,Week of baseline survey,,variable,http://purl.obolibrary.org/obo/EUPATH_0037001,Enrollment week,,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,NA
midline-anthro-public,midline-anthro-public::week_baseline,Week of baseline survey,,variable,http://purl.obolibrary.org/obo/EUPATH_0037001,Enrollment week,,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,NA
midline-anthro-public,midline-anthro-public::year_baseline,Year of baseline survey,,variable,http://purl.obolibrary.org/obo/EUPATH_0010370,Enrollment year,,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,NA
diar-public,diar-public::floor,,"0. Earth/dung,
1. Concrete,
9. Missing/DK",variable,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,NA
endline-anthro-public,endline-anthro-public::floor,,"0. Earth/dung,
1. Cement/concrete,
9. Missing/DK",variable,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,NA
midline-anthro-public,midline-anthro-public::floor,,"0. Earth/dung,
1. Cement/concrete,
9. Missing/DK",variable,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,,,Household,Dwelling characteristics,http://purl.obolibrary.org/obo/EUPATH_0000303,NA
diar-public,diar-public::cooker,,"0. No gas cooker,
1. Has gas cooker,
9. Missing/DK",value,http://purl.obolibrary.org/obo/EUPATH_0022008,Gas stove,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
endline-anthro-public,endline-anthro-public::cooker,,"0. No gas cooker,
1. Has gas cooker,
9. Missing/DK",value,http://purl.obolibrary.org/obo/EUPATH_0022008,Gas stove,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
midline-anthro-public,midline-anthro-public::cooker,,"0. No gas cooker,
1. Has gas cooker,
9. Missing/DK",value,http://purl.obolibrary.org/obo/EUPATH_0022008,Gas stove,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
,,,NA,category,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,NA,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
diar-public,diar-public::goat,"HOW MANY GOATS BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don t",,variable,http://purl.obolibrary.org/obo/EUPATH_0037005,Goat count,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
endline-anthro-public,endline-anthro-public::goat,"HOW MANY GOATS BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don t",,variable,http://purl.obolibrary.org/obo/EUPATH_0037005,Goat count,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
midline-anthro-public,midline-anthro-public::goat,"HOW MANY GOATS BELONG TO YOUR HOUSEHOLD? IF NONE, ENTER ì0î YOU CAN SELECT Don t",,variable,http://purl.obolibrary.org/obo/EUPATH_0037005,Goat count,,,Household,Assets,http://purl.obolibrary.org/obo/EUPATH_0000144,NA
endline-anthro-public,endline-anthro-public::headc,,,variable,http://purl.obolibrary.org/obo/EUPATH_0000683,Head circumference (cm),,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,NA
midline-anthro-public,midline-anthro-public::headc,,,variable,http://purl.obolibrary.org/obo/EUPATH_0000683,Head circumference (cm),,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,NA
endline-anthro-public,endline-anthro-public::underhc,,,variable,http://purl.obolibrary.org/obo/EUPATH_0035076,Head circumference-for-age z-score flag,,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,NA
midline-anthro-public,midline-anthro-public::underhc,,,variable,http://purl.obolibrary.org/obo/EUPATH_0035076,Head circumference-for-age z-score flag,,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,NA
endline-anthro-public,endline-anthro-public::hcz,,,variable,http://purl.obolibrary.org/obo/EUPATH_0035075,"Head circumference-for-age z-score, using median circumference",,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,NA
midline-anthro-public,midline-anthro-public::hcz,,,variable,http://purl.obolibrary.org/obo/EUPATH_0035075,"Head circumference-for-age z-score, using median circumference",,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,NA
endline-anthro-public,endline-anthro-public::childht,,,variable,http://purl.obolibrary.org/obo/EUPATH_0010075,Height (cm),,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,NA
midline-anthro-public,midline-anthro-public::childht,,,variable,http://purl.obolibrary.org/obo/EUPATH_0010075,Height (cm),,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,NA
,,,NA,category,http://purl.obolibrary.org/obo/PCO_0000024,Household,NA,,Household,,http://www.w3.org/2002/07/owl#Thing,NA
,,,NA,category,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,NA,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
mortality-public,mortality-public::hhid,Household ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0000094,Household ID,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
bruise-public,bruise-public::hhid,Household ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0000094,Household ID,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
diar-public,diar-public::hhid,Household ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0000094,Household ID,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
endline-anthro-public,endline-anthro-public::hhid,Household ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0000094,Household ID,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
midline-anthro-public,midline-anthro-public::hhid,Household ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0000094,Household ID,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
tracking-public,tracking-public::hhid,Household ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0000094,Household ID,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
uptake-baseline-public,uptake-baseline-public::hhid,Household ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0000094,Household ID,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
uptake-endline-public,uptake-endline-public::hhid,Household ID,,variable,http://purl.obolibrary.org/obo/EUPATH_0000094,Household ID,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,NA
