overallOrder,variable,dataFile,keepDiscard,IRI,label,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,variable_dataFile,type,example,dateTime,formatCode,minValue,maxValue,values,uniqueValueCount,percentMissing,flag
30,vil_mp2,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Mpemba zone 2 village,"1, Chamba | 2, Davide | 3, John | 4, Khudu | 5, Khunju | 6, Kuluwenda | 7, Malekano | 8, Mboola | 9, Mpingo | 10, Mwambula | 11, Mwembere | 12, Sanganiza | 13, Scott | 14, Solomoni | 15, Tambala",,,,NA,vil_mp2,chr,9,NA,NA,n/a,n/a,>10 unique values,16,0.985348299,NA
31,vil_mp3,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Mpemba zone 3 village,"1, Binali | 2, Chikoja | 3, Gombe | 4, Jana | 5, Kanyasulu | 6, Kumbokola | 7, Mabala | 8, Malonga | 9, Maluwa | 10, Mang'oma | 11, Matowa | 12, Mbande | 13, Mbendera | 14, Mphande | 15, Mwamadi | 16, Nambaja | 17, Namonde | 18, Pasonje | 19, Sankweche | 20, Sukali | 21, Suweja",,,,NA,vil_mp3,chr,18,NA,NA,n/a,n/a,>10 unique values,20,0.986462171,NA
32,vil_mp4,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Mpemba zone 4 village,"1, Chikaonda | 2, Chunga | 3, Kambalame | 4, Kapuchi | 5, Kumwambe | 6, Lomosi | 7, Luwayo | 8, Matanga | 9, Mkwapatira | 10, Mmanga | 11, Mwangata | 12, Mwengo | 13, Ndile | 14, Njowe",,,,NA,vil_mp4,chr,7,NA,NA,n/a,n/a,>10 unique values,15,0.984834204,NA
33,vil_mpun,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,"If zone is unknown, specify village",NA,,,,NA,vil_mpun,chr,MILAMBO,NA,NA,n/a,n/a,>10 unique values,11,0.999057493,NA
34,nd_zone,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Ndirande zone,"1, Zone 1 | 2, Zone 2 | 3, Zone 3 | 4, Zone 4 | -9, Unknown",,,,NA,nd_zone,chr,2,NA,NA,n/a,n/a,", -9, 1, 2, 3, 4",5,0.880387285,NA
35,vil_nd1,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Ndirande zone 1 village,"1, Nyambabwe (Magalasi, PTC, Superior) | 2, Newlines (mtamballika)",,,,NA,vil_nd1,chr,2,NA,NA,n/a,n/a,", 1, 2",2,0.9951161,NA
36,vil_nd2,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Ndirande zone 2 village,"1, Chakana | 2, Golio / Mulanga | 3, Matope | 4, Mpembu | 5, Mtambalika (proper) | 6, Makata (somanje)",,,,NA,vil_nd2,chr,6,NA,NA,n/a,n/a,", 1, 2, 3, 4, 5, 6",6,0.931882444,NA
37,vil_nd3,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Ndirande zone 3 village,"1, Gamulani | 2, George | 3, Majiga | 4, Zambia | 5, Nyambabwe B (Police lines)",,,,NA,vil_nd3,chr,3,NA,NA,n/a,n/a,", 1, 2, 3, 4, 5, 6, 7, 8",8,0.963670637,NA
38,vil_nd4,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Ndirande zone 4 village,"1, Gaisi (mbayani) | 2, Likhubula (mbayani) | 3, Mangochi (mbayani) | 4, Mateme (mbayani) | 5, Mwachande (chirimba) | 6, Ndalama (mbayani) | 7, Suya (chirimba)",,,,NA,vil_nd4,chr,4,NA,NA,n/a,n/a,", 1, 2, 3, 4, 5, 6, 7, 8",8,0.989803787,NA
39,vil_ndun,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,"If zone is unknown, specify village",NA,,,,NA,vil_ndun,chr,JUMBE,NA,NA,n/a,n/a,", JUMBE",1,0.999914318,NA
40,zn_zone,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Zingwangwa zone,"1, Zone 1 | 2, Zone 2 | 3, Zone 3 | 4, Zone 4 | -9, Unknown",,,,NA,zn_zone,chr,2,NA,NA,n/a,n/a,", -9, 1, 2, 3, 4",5,0.880730015,NA
41,vil_zn1,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Zingwangwa zone 1 village,"1, Chitawira | 2, Manja | 3, Naperi | 4, Nkolokosa | 5, Mount pleasant | 6, Sunnyside | 7, Moneymen",,,,NA,vil_zn1,chr,3,NA,NA,n/a,n/a,", 1, 2, 3, 4, 5, 6, 7",7,0.995887242,NA
42,vil_zn2,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Zingwangwa zone 2 village,"1, Chatha | 2, Chilobwe | 3, Chimwankhunda | 4, Soche Quarry | 5, Zingwangwa",,,,NA,vil_zn2,chr,2,NA,NA,n/a,n/a,", 1, 2, 3, 4, 5",5,0.927426956,NA
43,vil_zn3,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Zingwangwa zone 3 village,"1, Baluti | 2, Kampala | 3, Manase Chiwandira | 4, Manase Sunani | 5, Maliro | 6, Kausiwa | 7, Martin | 8, Nancholi | 9, Wiskes",,,,NA,vil_zn3,chr,3,NA,NA,n/a,n/a,", 1, 2, 3, 4, 8",5,0.963242224,NA
44,vil_zn4,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Zingwangwa zone 4 village,"1, Bismark | 2, Chingondo | 3, Chuma | 4, Kajombo | 5, Nkoma | 6, Songolo | 7, Chinzukira | 8, Daniel | 9, Kachulu A & B | 10, Kadammanja | 11, Kambango | 12, Milambo | 13, Monjeza | 14, Msusa",,,,NA,vil_zn4,chr,1,NA,NA,n/a,n/a,>10 unique values,16,0.994516323,NA
45,vil_znun,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,"If zone is unknown, specify village",NA,,,,NA,vil_znun,chr,DANIEL,NA,NA,n/a,n/a,", BAKILI, BENI, DANIEL, NKOMA",4,0.99965727,NA
46,agecheck_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Is this child aged 6 to 59 months?,"0, No | 1, Yes",,,,NA,agecheck_ses,chr,1,NA,NA,n/a,n/a,", 0, 1",2,0.001285237,NA
47,resident_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Is this child a resident of the health centre’s catchment area?,"0, No | 1, Yes",,,,NA,resident_ses,chr,1,NA,NA,n/a,n/a,", 0, 1",2,0.00102819,NA
48,symptoms,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Was the child sick with the same symptoms and treated with an effective anti-malarial drug in the last 7 days?,"0, No | 1, Yes",,,,NA,symptoms,chr,0,NA,NA,n/a,n/a,", 0, 1",2,0.001456602,NA
49,last_seven,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,"Was the child previously enrolled in the ICEMR urban malaria study? 
<i>(Ask the mother the probing questions to determine if the child was previously enrolled in the urban malaria study - If health passport is available verify mother's response and look for the subject ID barcode label.</i>)","0, No | 1, Yes | -9, Unknown",,,,NA,last_seven,chr,0,NA,NA,n/a,n/a,", 0, 1",2,0.000514095,NA
50,patid,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,discard,,,,,"If yes and the health passport is available, scan the Patient ID barcode label.",NA,,,,NA,patid,chr,9YZ7,NA,NA,n/a,n/a,>10 unique values,44,0.996058607,NA
51,prevcase_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,"If yes, was the child previously enrolled in the study as a case? 
<br><i>(1. If the health passport is available, look for and scan the Patient ID barcode label in the health passport to find  the previous final case-control assignment for the child.
<br>2. If health passport is not available, the child should be enrolled and previous enrolment status will be searched in the database.)</i>","0, No | 1, Yes | 2, Child previously enrolled but health passport forgotten | -9, Unknown",,,,NA,prevcase_ses,chr,0,NA,NA,n/a,n/a,", -9, 0, 1, 3",4,0.255248051,NA
52,hhcase_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Is this child from a household where another child has been previously enrolled in the urban malaria study in the past 12 months?,"0, No | 1, Yes | -9, Unknown",,,,NA,hhcase_ses,chr,0,NA,NA,n/a,n/a,", -9, 0, 1",3,0.000428412,NA
53,eligible_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,"Is the child eligible to be enrolled in the study?<br> <i>(If yes, administer the informed consent.)</i>","0, No | 1, Yes",,,,NA,eligible_ses,chr,1,NA,NA,n/a,n/a,", 0, 1",2,0.000257047,NA
54,consent_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Did the parent/guardian give written informed consent for the child to be screened for malaria and participate in this study?,"0, No | 1, Yes",,,,NA,consent_ses,chr,1,NA,NA,n/a,n/a,", 0, 1",2,0.009767801,NA
55,part_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,Will the child be enrolled in the study?,"0, No | 1, Yes",,,,NA,part_ses,chr,1,NA,NA,n/a,n/a,", 0, 1",2,0.009425071,NA
56,proj3sampleid,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,discard,,,,,"If yes, place the Patient ID barcode label in the health passport and scan.",NA,,,,NA,proj3sampleid,chr,S7PK,NA,NA,n/a,n/a,>10 unique values,11115,0.016279668,NA
57,study_id,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,keep,,,,,ICEMR Project 3 Patient ID,NA,,,,NA,study_id,chr,P3-1111583-9,NA,NA,n/a,n/a,>10 unique values,11222,0.012338274,NA
58,elignoenr_ses___1,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,discard,,,,,"Child is eligible to enrol in the study,  but is not. Indicate the reason(s) for not enrolling in the study: Planning to be away from the house during the period for the household visit",NA,,,,NA,elignoenr_ses___1,int,0,NA,NA,0,1,0 to 1,2,0,NA
59,elignoenr_ses___2,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,discard,,,,,Does not want to be visited by the field worker at home,NA,,,,NA,elignoenr_ses___2,int,0,NA,NA,0,0,0 to 0,1,0,NA
60,elignoenr_ses___3,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,discard,,,,,Child accompanied by a non-guardian who cannot give consent,NA,,,,NA,elignoenr_ses___3,int,0,NA,NA,0,1,0 to 1,2,0,NA
61,elignoenr_ses___4,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,discard,,,,,Mother concerned father would disapprove or father communicated unwillingness to consent ,NA,,,,NA,elignoenr_ses___4,int,0,NA,NA,0,1,0 to 1,2,0,NA
62,elignoenr_ses___5,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,discard,,,,,Other,NA,,,,NA,elignoenr_ses___5,int,0,NA,NA,0,1,0 to 1,2,0,NA
63,ic_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,discard,,,,,"If other, specify",NA,,,,NA,ic_ses,chr,DOES NOT MEET THE ENTRY CRITERIA,NA,NA,n/a,n/a,", DOES NOT MEET THE ENTRY CRITERIA, HE DID NOT WANT TO PARTICIPATE AND HAVE HIS BLOOD TESTED FOR MALARIA, NOT INERESTED, NOT INTERESTED, NOT INTERESTED TO JOIN THE STUDY.",5,0.999571588,NA
64,comm_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,discard,,,,,Comments,NA,,,,NA,comm_ses,chr,The original screening eCRF is missing. This record was created as a placeholder to allow for merging purposes to display the site.,NA,NA,n/a,n/a,>10 unique values,23,0.97875075,NA
65,study_eligibility_and_screening_form_complete,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,discard,,,,,NA,NA,,,What do the values mean? Should we load this?,NA,study_eligibility_and_screening_form_complete,int,2,NA,NA,0,2,0 to 2,3,0,NA
1,study_id,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,ICEMR Project 3 Patient ID,NA,,,,NA,study_id,chr,P3-000001-1,NA,NA,n/a,n/a,>10 unique values,13727,0,duplicated
1,study_id,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,ICEMR Project 3 Patient ID,NA,,,,NA,study_id,chr,P3-000001-1,NA,NA,n/a,n/a,>10 unique values,13727,0,duplicated
2,dbsprep,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Dried blood spot prepared?,"0, No | 1, Yes | -9, Unknown",,,,NA,dbsprep,chr,1,NA,NA,n/a,n/a,", -9, 0, 1",3,0.209260589,NA
3,dbsprepsp,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,"If no, specify the reason",NA,,,,NA,dbsprepsp,chr,NA,NA,NA,n/a,n/a,,0,1,no data
4,diagtest,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,discard,,,,,Has the malaria rapid diagnostic test been prepared?,"0, No | 1, Yes | -9, Unknown",,,,NA,diagtest,chr,1,NA,NA,n/a,n/a,", -9, 0, 1",3,0.425340991,NA
5,specdate0r,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,keep,,,,,Specimen analysis date,NA,,,,yyyy-mm-dd (Enter 1911-11-11 if unknown.),specdate0r,date,2/22/16,date?,%Y-%m-%d,10/1/14,3/31/17,2014-10-01 to 2017-03-31,488,0.429002154,NA
