overallOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt
31,vil_mp3,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Mpemba zone 3 village,"1, Binali | 2, Chikoja | 3, Gombe | 4, Jana | 5, Kanyasulu | 6, Kumbokola | 7, Mabala | 8, Malonga | 9, Maluwa | 10, Mang'oma | 11, Matowa | 12, Mbande | 13, Mbendera | 14, Mphande | 15, Mwamadi | 16, Nambaja | 17, Namonde | 18, Pasonje | 19, Sankweche | 20, Sukali | 21, Suweja",variable,
32,vil_mp4,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Mpemba zone 4 village,"1, Chikaonda | 2, Chunga | 3, Kambalame | 4, Kapuchi | 5, Kumwambe | 6, Lomosi | 7, Luwayo | 8, Matanga | 9, Mkwapatira | 10, Mmanga | 11, Mwangata | 12, Mwengo | 13, Ndile | 14, Njowe",variable,
33,vil_mpun,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,"If zone is unknown, specify village",,variable,
34,nd_zone,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Zone,,Household,Geographic location,GAZ_00000448,Ndirande zone,"1, Zone 1 | 2, Zone 2 | 3, Zone 3 | 4, Zone 4 | -9, Unknown",variable,
35,vil_nd1,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Ndirande zone 1 village,"1, Nyambabwe (Magalasi, PTC, Superior) | 2, Newlines (mtamballika)",variable,
36,vil_nd2,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Ndirande zone 2 village,"1, Chakana | 2, Golio / Mulanga | 3, Matope | 4, Mpembu | 5, Mtambalika (proper) | 6, Makata (somanje)",variable,
37,vil_nd3,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Ndirande zone 3 village,"1, Gamulani | 2, George | 3, Majiga | 4, Zambia | 5, Nyambabwe B (Police lines)",variable,
38,vil_nd4,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Ndirande zone 4 village,"1, Gaisi (mbayani) | 2, Likhubula (mbayani) | 3, Mangochi (mbayani) | 4, Mateme (mbayani) | 5, Mwachande (chirimba) | 6, Ndalama (mbayani) | 7, Suya (chirimba)",variable,
39,vil_ndun,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,"If zone is unknown, specify village",,variable,
40,zn_zone,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Zone,,Household,Geographic location,GAZ_00000448,Zingwangwa zone,"1, Zone 1 | 2, Zone 2 | 3, Zone 3 | 4, Zone 4 | -9, Unknown",variable,
41,vil_zn1,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Zingwangwa zone 1 village,"1, Chitawira | 2, Manja | 3, Naperi | 4, Nkolokosa | 5, Mount pleasant | 6, Sunnyside | 7, Moneymen",variable,
42,vil_zn2,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Zingwangwa zone 2 village,"1, Chatha | 2, Chilobwe | 3, Chimwankhunda | 4, Soche Quarry | 5, Zingwangwa",variable,
43,vil_zn3,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Zingwangwa zone 3 village,"1, Baluti | 2, Kampala | 3, Manase Chiwandira | 4, Manase Sunani | 5, Maliro | 6, Kausiwa | 7, Martin | 8, Nancholi | 9, Wiskes",variable,
44,vil_zn4,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,Zingwangwa zone 4 village,"1, Bismark | 2, Chingondo | 3, Chuma | 4, Kajombo | 5, Nkoma | 6, Songolo | 7, Chinzukira | 8, Daniel | 9, Kachulu A & B | 10, Kadammanja | 11, Kambango | 12, Milambo | 13, Monjeza | 14, Msusa",variable,
45,vil_znun,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Village,,Household,Geographic location,GAZ_00000448,"If zone is unknown, specify village",,variable,
46,agecheck_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Participant 5-69 months,Participant required to be 5-69 months old,Participant,Eligibility criteria,EUPATH_0010036,Is this child aged 6 to 59 months?,"0, No | 1, Yes",variable,
47,resident_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Resident of health center catchment area,Participant required to be part of health center catchment area,Participant,Eligibility criteria,EUPATH_0010036,Is this child a resident of the health centreís catchment area?,"0, No | 1, Yes",variable,
48,symptoms,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Treated with effective anti-malarial in past 7 days,Participant cannot have been sick with the same symptoms and treated with an effective anti-malarial drug in the last 7 days,Participant,Eligibility criteria,EUPATH_0010036,Was the child sick with the same symptoms and treated with an effective anti-malarial drug in the last 7 days?,"0, No | 1, Yes",variable,
49,last_seven,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Previously enrolled in study,Participant cannot have been previously enrolled in study,Participant,Eligibility criteria,EUPATH_0010036,"Was the child previously enrolled in the ICEMR urban malaria study? 
<i>(Ask the mother the probing questions to determine if the child was previously enrolled in the urban malaria study - If health passport is available verify mother's response and look for the subject ID barcode label.</i>)","0, No | 1, Yes | -9, Unknown",variable,
51,prevcase_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Previous case in study,Participant cannot have been previously enrolled as a case in study,Participant,Eligibility criteria,EUPATH_0010036,"If yes, was the child previously enrolled in the study as a case? 
<br><i>(1. If the health passport is available, look for and scan the Patient ID barcode label in the health passport to find  the previous final case-control assignment for the child.
<br>2. If health passport is not available, the child should be enrolled and previous enrolment status will be searched in the database.)</i>","0, No | 1, Yes | 2, Child previously enrolled but health passport forgotten | -9, Unknown",variable,
52,hhcase_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,,Household had another child enrolled in study in past year,,Participant,Administrative information,EUPATH_0010035,Is this child from a household where another child has been previously enrolled in the urban malaria study in the past 12 months?,"0, No | 1, Yes | -9, Unknown",variable,
53,eligible_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,EUPATH_0010418,Eligible for enrollment,,Participant,Eligibility criteria,EUPATH_0010036,"Is the child eligible to be enrolled in the study?<br> <i>(If yes, administer the informed consent.)</i>","0, No | 1, Yes",variable,
54,consent_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,EUPATH_0010420,Consent for enrollment given,,Participant,Eligibility criteria,EUPATH_0010036,Did the parent/guardian give written informed consent for the child to be screened for malaria and participate in this study?,"0, No | 1, Yes",variable,
55,part_ses,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,EUPATH_0010424,Participant enrolled,,Participant,Eligibility criteria,EUPATH_0010036,Will the child be enrolled in the study?,"0, No | 1, Yes",variable,
57,study_id,DATA_WHICEMR_PROJECT_3_SCREENING_ABAULENI_2019-02-28-11-41-09.csv,EUPATH_0000095,Participant ID,,Participant,Participant,EUPATH_0000096,ICEMR Project 3 Patient ID,,variable,
1,study_id,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,EUPATH_0000095,Participant ID,,Participant,Participant,EUPATH_0000096,ICEMR Project 3 Patient ID,,variable,
5,specdate0r,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,RDT analysis date,,Sample,Microbiology tests performed,EUPATH_0011800,Specimen analysis date,,variable,
6,rdtres,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,,,Sample,Plasmodium,NCBITaxon_5820,What is the RDT result?,"0, Negative | 1, Positive | 2, Invalid |3, Not done",variable,
12,specdate1r,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Microscopy analysis date,,Sample,Microscopy,EUPATH_0011802,Specimen analysis date,,variable,
15,thicksmres1r,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,EUPATH_0024314,"Plasmodium present, by thick smear microscopy",,Sample,Plasmodium,NCBITaxon_5820,What is the thick blood smear result?,"0, Negative | 1, Positive | -9, Not done",variable,
17,thicksmwbc1r,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Plasmodium thick smear microscopy denominator,Which WBC the thick smear microscopy results use as a denominator,Sample,Plasmodium,NCBITaxon_5820,"If positive, is the result based on 200 or 100 WBC?","2, 200 WBC | 1, 100 WBC | -9, Not done",variable,
18,thicksmpara1r,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,"Plasmodium density (per 200 WBC), by thick smear microscopy",,Sample,Plasmodium,NCBITaxon_5820,"If positive, how many parasites per 200 WBC?",,variable,
19,thicksmpd1r,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,EUPATH_0000537,"Plasmodium density (per uL blood), by microscopy",Assumes an average of 8000 WBC/uL blood. Counted on a thick blood smear.,Sample,Plasmodium,NCBITaxon_5820,Parasite density for results based on 200 WBC,[thicksmpara1r]*40,variable,map multiple variables to same IRI
20,thicksm100para1r,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,"Plasmodium density (per 100 WBC), by thick smear microscopy",,Sample,Plasmodium,NCBITaxon_5820,"If positive, how many parasites per 100 WBC?",,variable,
21,thicksm100pd1r,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,EUPATH_0000537,"Plasmodium density (per uL blood), by microscopy",Assumes an average of 8000 WBC/uL blood. Counted on a thick blood smear.,Sample,Plasmodium,NCBITaxon_5820,Parasite density for results based on 100 WBC,[thicksm100para1r]*80,variable,map multiple variables to same IRI
22,thicksmnd1r,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Reason microscopy not performed,Reason counts for Plasmodium by thick smear microscopy were not collected,Sample,Microscopy,EUPATH_0011802,"If positive and not done, indicate reason",,variable,
24,thinsmpd1r,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,"Plasmodium density (per 500 RBC), by thin smear microscopy",,Sample,Plasmodium,NCBITaxon_5820,What is the thin blood smear result?,,variable,
29,reasonvis___1,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Fever,,Observation,Symptoms,EUPATH_0021002,What is the reason for visiting the clinic with this participant today? Fever,,value,
30,reasonvis___2,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,SYMP_0019174,Chills,,Observation,Symptoms,EUPATH_0021002,Chills ,,value,
31,reasonvis___3,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,EUPATH_0022054,Body pains,,Observation,Symptoms,EUPATH_0021002,Body pains,,value,
32,reasonvis___4,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,HP_0002315,Headache,,Observation,Symptoms,EUPATH_0021002,Headache,,value,
33,reasonvis___5,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,SYMP_0000614,Cough,,Observation,Symptoms,EUPATH_0021002,Cough,,value,
34,reasonvis___6,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Difficulty breathing,,Observation,Symptoms,EUPATH_0021002,Difficulty breathing,,value,
35,reasonvis___7,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Sore throat,,Observation,Symptoms,EUPATH_0021002,Sore throat,,value,
36,reasonvis___8,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Runny nose or nasal congestion,,Observation,Symptoms,EUPATH_0021002,Runny nose or nasal congestion,,value,
37,reasonvis___9,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Other,,Observation,Symptoms,EUPATH_0021002,Other,,value,
38,reasonvissp,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Other reason for clinic visit,,Observation,Signs and symptoms,EUPATH_0000309,"If other, specify",,variable,
39,feverdur_units,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Fever duration units,,Observation,Signs and symptoms,EUPATH_0000309,What is the duration of fever?,"1, Days | 2, Weeks",variable,
40,feverdur,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Fever duration,,Observation,Signs and symptoms,EUPATH_0000309,Specify the duration of fever,,variable,
41,chilldur_units,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Chills duration units,,Observation,Signs and symptoms,EUPATH_0000309,What is the duration of chills?,"1, Days | 2, Weeks",variable,
42,chilldur,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Chills duration ,,Observation,Signs and symptoms,EUPATH_0000309,Specify the duration of chills,,variable,
43,bpaindur_units,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Back pain duration units,,Observation,Signs and symptoms,EUPATH_0000309,What is the duration of body pains?,"1, Days | 2, Weeks",variable,
44,bpaindur,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Back pain duration,,Observation,Signs and symptoms,EUPATH_0000309,Specify the duration of body pains,,variable,
45,headdur_units,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Headache duration units,,Observation,Signs and symptoms,EUPATH_0000309,What is the duration of headache?,"1, Days | 2, Weeks",variable,
46,headdur,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Headache duration,,Observation,Signs and symptoms,EUPATH_0000309,Specify the duration of headache,,variable,
47,coughdur_units,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Cough duration units,,Observation,Signs and symptoms,EUPATH_0000309,What is the duration of cough?,"1, Days | 2, Weeks",variable,
48,coughdur,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Cough duration,,Observation,Signs and symptoms,EUPATH_0000309,Specify the duration of cough,,variable,
49,dbreathdur_units,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Difficulty breathing duration units,,Observation,Signs and symptoms,EUPATH_0000309,What is the duration of difficulty breathing?,"1, Days | 2, Weeks",variable,
50,dbreathdur,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Difficulty breathing duration,,Observation,Signs and symptoms,EUPATH_0000309,Specify the duration of difficulty breathing,,variable,
51,sthroatdur_units,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Sore throat duration units,,Observation,Signs and symptoms,EUPATH_0000309,What is the duration of sore throat?,"1, Days | 2, Weeks",variable,
52,sthroatdur,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Sore throat duration,,Observation,Signs and symptoms,EUPATH_0000309,Specify the duration of sore throat,,variable,
53,rnosedur_units,DATA_WHICEMR_PROJECT_3_URBAN_MALARIA_ABAULENI_2019-02-28-11-43-09.csv,,Runny nose or nasal congestion duration units,,Observation,Signs and symptoms,EUPATH_0000309,What is the duration of runny nose or nasal congestion?,"1, Days | 2, Weeks",variable,
